1913_147990_000000_000000	When I turned back to my room the place seemed much pleasanter than before.	When I turned back to my room the place seemed much pleasanter than before.	false	0	2.37	16.866686
1913_147990_000005_000007	A couple of jack-rabbits, run in off the prairie, could not have been more innocent of what awaited them than were Lena and I.	A couple of jack rabbits, run in off the prairie, could not have been more innocent of what awaited them than were Lena and i	true	141.77	148.9	23.562437
1913_147990_000006_000000	Our excitement began with the rise of the curtain, when the moody Varville, seated before the fire, interrogated Nanine.	Our excitement began with the rise of the curtain, when the moody Varville, seated before the fire, interrogated Nanine.	true	150.17	157.6	21.380568
1913_147990_000006_000001	Decidedly, there was a new tang about this dialogue.	Decidedly, there was a new tang about this dialogue.	true	158.09	161.5	21.263597
1913_147990_000006_000002	I had never heard in the theater lines that were alive, that presupposed and took for granted, like those which passed between Varville and Marguerite in the brief encounter before her friends entered.	I had never heard in the theater lines that were alive, that presupposed and took for granted, like those which passed between Varville and Marguerite in the brief encounter before her friends entered.	false	161.66	172.18	20.579952
1913_147990_000006_000003	This introduced the most brilliant, worldly, the most enchantingly gay scene I had ever looked upon.	This introduced the most brilliant, worldly, the most enchantingly gay scene I had ever looked upon.	true	172.88	178.2	20.923794
1913_147990_000006_000004	I had never seen champagne bottles opened on the stage before--indeed, I had never seen them opened anywhere.	I had never seen champagne bottles opened on the stage before-indeed, I had never seen them opened anywhere.	false	178.2	184.84	19.383106
1913_147990_000006_000005	The memory of that supper makes me hungry now; the sight of it then, when I had only a students' boarding-house dinner behind me, was delicate torment.	The memory of that supper makes me hungry now; the sight of it then, when I had only a students' boarding house dinner behind me, was delicate torment.	false	185.42	194.59	22.916256
1913_147990_000006_000006	I seem to remember gilded chairs and tables (arranged hurriedly by footmen in white gloves and stockings), linen of dazzling whiteness, glittering glass, silver dishes, a great bowl of fruit, and the reddest of roses.	I seem to remember gilded chairs and tables (arranged hurriedly by footmen in white gloves and stockings), linen of dazzling whiteness, glittering glass, silver dishes, a great bowl of fruit, and the reddest of roses.	true	195.2	208.57	20.447124
1913_147990_000006_000007	The room was invaded by beautiful women and dashing young men, laughing and talking together.	The room was invaded by beautiful women and dashing young men, laughing and talking together.	true	209.09	214.51	19.81467
1913_147990_000006_000008	The men were dressed more or less after the period in which the play was written; the women were not.	The men were dressed more or less after the period in which the play was written; the women were not.	true	215	220.42	20.592415
1913_147990_000006_000009	I saw no inconsistency.	I saw no inconsistency.	true	220.88	222.76	20.342276
1913_147990_000006_000010	Their talk seemed to open to one the brilliant world in which they lived; every sentence made one older and wiser, every pleasantry enlarged one's horizon.	Their talk seemed to open to one the brilliant world in which they lived; every sentence made one older and wiser, every pleasantry enlarged one's horizon.	true	223.37	233.14	21.755373
1913_147990_000006_000011	One could experience excess and satiety without the inconvenience of learning what to do with one's hands in a drawing-room!	One could experience excess and satiety without the inconvenience of learning what to do with one's hands in a drawing room!	true	233.45	239.98	21.403826
1913_147990_000006_000012	When the characters all spoke at once and I missed some of the phrases they flashed at each other, I was in misery.	When the characters all spoke at once and I missed some of the phrases they flashed at each other, I was in misery.	true	240.68	246.94	20.629354
1913_147990_000006_000013	I strained my ears and eyes to catch every exclamation.	I strained my ears and eyes to catch every exclamation.	true	247.25	250.81	19.2779
1913_147990_000007_000000	The actress who played Marguerite was even then old-fashioned, though historic.	The actress who played Marguerite was even then old-fashioned, though historic.	true	253.22	258.01	23.057417
1913_147990_000007_000001	She had been a member of Daly's famous New York company, and afterward a "star" under his direction.	She had been a member of Daly's famous New York company, and afterward a "star" under his direction.	true	258.38	264.19	21.79618
1913_147990_000007_000002	She was a woman who could not be taught, it is said, though she had a crude natural force which carried with people whose feelings were accessible and whose taste was not squeamish.	She was a woman who could not be taught, it is said, though she had a crude natural force which carried with people whose feelings were accessible and whose taste was not squeamish.	true	264.53	274.72	20.954542
1913_147990_000007_000003	She was already old, with a ravaged countenance and a physique curiously hard and stiff.	She was already old, with a ravaged countenance and a physique curiously hard and stiff.	true	275.3	280.78	22.241703
1913_147990_000007_000004	She moved with difficulty--I think she was lame--I seem to remember some story about a malady of the spine.	She moved with difficulty-I think she was lame-I seem to remember some story about a malady of the spine.	true	281.18	288.73	19.872793
1913_147990_000007_000005	Her Armand was disproportionately young and slight, a handsome youth, perplexed in the extreme.	Her Armand was disproportionately young and slight, a handsome youth, perplexed in the extreme.	true	289.4	295.33	19.898275
1913_147990_000007_000006	But what did it matter?	But what did it matter?	true	295.79	297.16	20.376434
1913_147990_000007_000007	I believed devoutly in her power to fascinate him, in her dazzling loveliness.	I believed devoutly in her power to fascinate him, in her dazzling loveliness.	true	297.56	302.2	21.328207
1913_147990_000007_000008	I believed her young, ardent, reckless, disillusioned, under sentence, feverish, avid of pleasure.	I believed her young, ardent, reckless, disillusioned, under sentence, feverish, avid of pleasure.	true	302.39	310.06	21.30789
1913_147990_000007_000009	I wanted to cross the footlights and help the slim-waisted Armand in the frilled shirt to convince her that there was still loyalty and devotion in the world.	I wanted to cross the footlights and help the slim waisted Armand in the frilled shirt to convince her that there was still loyalty and devotion in the world.	true	310.16	318.04	21.938612
1913_147990_000007_000010	Her sudden illness, when the gayety was at its height, her pallor, the handkerchief she crushed against her lips, the cough she smothered under the laughter while Gaston kept playing the piano lightly--it all wrung my heart.	Her sudden illness, when the gayety was at its height, her pallor, the handkerchief she crushed against her lips, the cough she smothered under the laughter while Gaston kept playing the piano lightly-it all wrung my heart.	true	318.74	333.1	21.882435
1913_147990_000007_000011	But not so much as her cynicism in the long dialogue with her lover which followed.	But not so much as her cynicism in the long dialogue with her lover which followed.	true	333.56	338.05	22.168901
1913_147990_000007_000012	How far was I from questioning her unbelief!	How far was I from questioning her unbelief!	true	338.48	341.56	20.347467
1913_147990_000007_000013	While the charmingly sincere young man pleaded with her--accompanied by the orchestra in the old "Traviata" duet, "misterioso, misterioso!"--she maintained her bitter skepticism, and the curtain fell on her dancing recklessly with the others, after Armand had been sent away with his flower.	While the charmingly sincere young man pleaded with her-accompanied by the orchestra in the old "Traviata" duet, "misterioso, misterioso!"--she maintained her bitter skepticism, and the curtain fell on her dancing recklessly with the others, after Armand had been sent away with his flower.	false	341.99	358.09	20.06758
1913_147990_000008_000000	Between the acts we had no time to forget.	Between the acts we had no time to forget.	true	359.24	361.87	21.391527
1913_147990_000008_000001	The orchestra kept sawing away at the "Traviata" music, so joyous and sad, so thin and far-away, so clap-trap and yet so heart-breaking.	The orchestra kept sawing away at the "Traviata" music, so joyous and sad, so thin and far away, so clap trap and yet so heart breaking.	true	362.12	370.54	22.857754
1913_147990_000008_000002	After the second act I left Lena in tearful contemplation of the ceiling, and went out into the lobby to smoke.	After the second act one left Lena in tearful contemplation of the ceiling, and went out into the lobby to smoke.	false	371.3	377.85	22.237574
1913_147990_000008_000003	As I walked about there I congratulated myself that I had not brought some Lincoln girl who would talk during the waits about the Junior dances, or whether the cadets would camp at Plattsmouth.	As I walked about there I congratulated myself that I had not brought some Lincoln girl who would talk during the waits about the Junior dances, or whether the cadets would camp at Plattsmouth.	true	377.85	388.36	22.45692
1913_147990_000008_000004	Lena was at least a woman, and I was a man.	Lena was at least a woman, and I was a man.	true	388.73	393.705	18.93092
1913_147990_000009_000000	Through the scene between Marguerite and the elder Duval, Lena wept unceasingly, and I sat helpless to prevent the closing of that chapter of idyllic love, dreading the return of the young man whose ineffable happiness was only to be the measure of his fall.	Through the scene between Marguerite and the elder Duval, Lena wept unceasingly, and I sat helpless to prevent the closing of that chapter of idyllic love, dreading the return of the young man whose ineffable happiness was only to be the measure of his fall.	true	393.705	408.34	21.890049
1913_147990_000010_000000	I suppose no woman could have been further in person, voice, and temperament from Dumas' appealing heroine than the veteran actress who first acquainted me with her.	I suppose no woman could have been further in person, voice, and temperament from Dumas' appealing heroine than the veteran actress who first acquainted me with her.	false	409.4	419.47	20.762186
1913_147990_000010_000001	Her conception of the character was as heavy and uncompromising as her diction; she bore hard on the idea and on the consonants.	Her conception of the character was as heavy and uncompromising as her diction; she bore hard on the idea and on the consonants.	true	419.66	428.35	22.151339
1913_147990_000010_000002	At all times she was highly tragic, devoured by remorse. Lightness of stress or behavior was far from her.	At all times she was highly tragic, devoured by remorse. Lightness of stress or behavior was far from her.	true	428.96	435.88	23.639088
1913_147990_000010_000003	Her voice was heavy and deep: "Ar-r-r-mond!" she would begin, as if she were summoning him to the bar of Judgment.	Her voice was heavy and deep: "Ar r r mond!" she would begin, as if she were summoning him to the bar of Judgment.	false	436.19	444.7	21.395815
1913_147990_000010_000004	But the lines were enough.	But the lines were enough.	true	445.16	446.8	20.985764
1913_147990_000010_000005	She had only to utter them. They created the character in spite of her.	She had only to utter them. They created the character in spite of her.	false	447.14	452.76	21.808573
1913_147990_000011_000000	The heartless world which Marguerite re-entered with Varville had never been so glittering and reckless as on the night when it gathered in Olympe's salon for the fourth act.	The heartless world which Marguerite re-entered with Varville had never been so glittering and reckless as on the night when it gathered in Olympe's salon for the fourth act.	false	452.76	462.73	22.284746
1913_147990_000011_000001	There were chandeliers hung from the ceiling, I remember, many servants in livery, gaming-tables where the men played with piles of gold, and a staircase down which the guests made their entrance.	There were chandeliers hung from the ceiling, I remember, many servants in livery, gaming tables where the men played with piles of gold, and a staircase down which the guests made their entrance.	true	463.28	473.95	20.757895
1913_147990_000011_000002	After all the others had gathered round the card tables, and young Duval had been warned by Prudence, Marguerite descended the staircase with Varville; such a cloak, such a fan, such jewels--and her face!	After all the others had gathered round the card tables, and young Duval had been warned by Prudence, Marguerite descended the staircase with Varville; such a cloak, such a fan, such jewels-and her face!	true	474.41	487.75	21.343056
1913_147990_000011_000003	One knew at a glance how it was with her.	One knew at a glance how it was with her.	false	488.66	491.53	17.153904
1913_147990_000011_000004	When Armand, with the terrible words, "Look, all of you, I owe this woman nothing!" flung the gold and bank-notes at the half-swooning Marguerite, Lena cowered beside me and covered her face with her hands.	When Armand, with the terrible words, "Look, all of you, I owe this woman nothing!" flung the gold and bank notes at the half swooning Marguerite, Lena cowered beside me and covered her face with her hands.	true	492.65	505.3	22.20736
1913_147990_000012_000000	The curtain rose on the bedroom scene.	The curtain rose on the bedroom scene.	true	506.27	508.66	17.093224
1913_147990_000012_000001	By this time there was n't a nerve in me that had n't been twisted.	By this time there was n't a nerve in me that had n't been twisted.	true	509.48	512.89	18.421625
1913_147990_000012_000002	Nanine alone could have made me cry.	Nanine alone could have made me cry.	true	513.44	515.49	18.321878
1913_147990_000012_000003	I loved Nanine tenderly; and Gaston, how one clung to that good fellow!	I loved Nanine tenderly; and Gaston, how one clung to that good fellow!	true	515.49	520.42	20.723038
1913_147990_000012_000004	The New Year's presents were not too much; nothing could be too much now.	The New Year's presents were not too much; nothing could be too much now.	true	521.09	525.04	23.117886
1913_147990_000012_000005	I wept unrestrainedly.	I wept unrestrainedly.	true	526.1	527.92	24.108198
1913_147990_000012_000006	Even the handkerchief in my breast-pocket, worn for elegance and not at all for use, was wet through by the time that moribund woman sank for the last time into the arms of her lover.	Even the handkerchief in my breast pocket, worn for elegance and not at all for use, was wet through by the time that moribund woman sank for the last time into the arms of her lover.	true	528.38	538.48	21.432072
1913_147990_000013_000000	When we reached the door of the theater, the streets were shining with rain.	When we reached the door of the theater, the streets were shining with rain.	true	540.35	543.97	21.464842
1913_147990_000013_000001	I had prudently brought along Mrs. Harling's useful Commencement present, and I took Lena home under its shelter.	I had prudently brought along mrs Harling's useful Commencement present, and I took Lena home under its shelter.	true	544.46	551.2	20.39111
1913_147990_000013_000002	After leaving her, I walked slowly out into the country part of the town where I lived.	After leaving her, I walked slowly out into the country part of the town where I lived.	true	551.99	557.11	23.510689
1913_147990_000013_000003	The lilacs were all blooming in the yards, and the smell of them after the rain, of the new leaves and the blossoms together, blew into my face with a sort of bitter sweetness.	The lilacs were all blooming in the yards, and the smell of them after the rain, of the new leaves and the blossoms together, blew into my face with a sort of bitter sweetness.	true	557.54	566.8	23.065208
1913_147990_000013_000004	I tramped through the puddles and under the showery trees, mourning for Marguerite Gauthier as if she had died only yesterday, sighing with the spirit of 1840, which had sighed so much, and which had reached me only that night, across long years and several languages, through the person of an infirm old actress.	I tramped through the puddles and under the showery trees, mourning for Marguerite Gauthier as if she had died only yesterday, sighing with the spirit of eighteen forty, which had sighed so much, and which had reached me only that night, across long years and several languages, through the person of an infirm old actress.	true	567.5	588.16	20.787872
1913_147990_000013_000005	The idea is one that no circumstances can frustrate.	The idea is one that no circumstances can frustrate.	true	588.86	592.66	19.244623
1913_147990_000013_000006	Wherever and whenever that piece is put on, it is April.	Wherever and whenever that piece is put on, it is April.	false	593.87	603.51	18.258362
