4098_11546_000000_000000	"THEO."	"THEO."	false	2.4	21.285	24.442411
4098_11546_000008_000000	"Lady Throckmorton is up-stairs reading," she explained.	"Lady Throckmorton is up stairs reading," she explained.	true	151.88	155.02	19
4098_11546_000008_000001	"I will go and tell her you are here." There were no bells in the house at Downport, and no servants to answer if any one had rang one, and, very naturally, Theo forgot she was not at Downport.	"I will go and tell her you are here." There were no bells in the house at Downport, and no servants to answer if any one had rang one, and, very naturally, Theo forgot she was not at Downport.	true	155.12	165.82	20.929384
4098_11546_000009_000000	"Excuse me.	"Excuse me.	true	165.98	166.65	21.020777
4098_11546_000009_000001	No," said Mr. Denis Oglethorpe.	No," said mr Denis Oglethorpe.	true	166.65	168.975	23.019262
4098_11546_000009_000002	"I would not disturb her on any account; and, besides, I know she will be down directly.	"I would not disturb her on any account; and, besides, I know she will be down directly.	true	168.975	173.445	23.29022
4098_11546_000009_000003	She never reads late in the evening.	She never reads late in the evening.	true	173.445	175.36	22.75577
4098_11546_000009_000004	This is a very handsome dog, Miss North."	This is a very handsome dog, Miss North."	true	175.64	178.12	21.62679
4098_11546_000010_000000	"Very handsome, indeed," was Theo's reply.	"Very handsome, indeed," was Theo's reply.	true	178.4	181.09	22.913227
4098_11546_000010_000001	"Come here, Sabre."	"Come here, Sabre."	true	181.13	182.35	25.058865
4098_11546_000011_000000	Sabre stalked majestically to her side, and laid his head upon her knee. Theo stroked him softly, raising her eyes quite seriously to Mr. Oglethorpe's face.	Sabre stalked majestically to her side, and laid his head upon her knee. Theo stroked him softly, raising her eyes quite seriously to mr Oglethorpe's face.	true	182.84	192.22	23.79855
4098_11546_000012_000000	"He reminds me of Sir Dugald himself," she said.	"He reminds me of Sir Dugald himself," she said.	true	192.95	196.21	23.066698
4098_11546_000013_000000	Mr. Denis Oglethorpe smiled faintly.	mr Denis Oglethorpe smiled faintly.	true	196.67	199.125	20.899511
4098_11546_000013_000001	He was not very fond of Sir Dugald, and the perfect gravity and _naivete_ with which this pretty, unsophisticated young sultana had made her comment had amounted to a very excellent joke.	He was not very fond of Sir Dugald, and the perfect gravity and underscore naivete underscore with which this pretty, unsophisticated young sultana had made her comment had amounted to a very excellent joke.	false	199.125	210.73	23.822937
4098_11546_000014_000000	"Does he?" he returned, as quietly as possible, and then his glance meeting Theo's, she broke into a little burst of horror-stricken self-reproach.	"Does he?" he returned, as quietly as possible, and then his glance meeting Theo's, she broke into a little burst of horror stricken self reproach.	true	211.04	220.57	22.822517
4098_11546_000015_000000	"Oh, dear!" she exclaimed.	"Oh, dear!" she exclaimed.	true	220.88	222.615	25.931547
4098_11546_000015_000001	"I oughtn't to have said that, ought I? I forgot how rude it would sound; but, indeed, I only meant that Sabre was so slow and heavy, and--and so indifferent to people, somehow.	"I oughtn't to have said that, ought I? I forgot how rude it would sound; but, indeed, I only meant that Sabre was so slow and heavy, and-and so indifferent to people, somehow.	true	222.615	232.54	22.131475
4098_11546_000015_000002	I don't think he cares about being liked at all."	I don't think he cares about being liked at all."	true	232.58	234.88	23.823463
4098_11546_000016_000000	She was so abashed at her blunder, that she looked absolutely imploring, and Mr. Denis Oglethorpe smiled again.	She was so abashed at her blunder, that she looked absolutely imploring, and mr Denis Oglethorpe smiled again.	true	235.76	242.295	22.592766
4098_11546_000016_000001	He felt inclined to make friends with Theodora.	He felt inclined to make friends with Theodora.	true	242.295	245.08	18.997778
4098_11546_000017_000000	"There is a little girl staying at Lady Throckmorton's," he had said to Priscilla.	"There is a little girl staying at Lady Throckmorton's," he had said to Priscilla.	true	246.14	250.275	23.701605
4098_11546_000017_000001	"A relative of hers.	"A relative of hers.	true	250.275	251.59	26.713718
4098_11546_000017_000002	A pretty creature, too, Priscilla, for a bread-and-butter Miss."	A pretty creature, too, Priscilla, for a bread and butter Miss."	true	251.6	254.89	22.762993
4098_11546_000018_000000	But just at this moment, he thought better of the matter.	But just at this moment, he thought better of the matter.	true	255.68	258.79	23.627743
4098_11546_000018_000001	What tender, speechful eyes she had!	What tender, speechful eyes she had!	true	258.89	261.49	20.831976
4098_11546_000018_000002	He was aroused to a recognition of their beauty all at once.	He was aroused to a recognition of their beauty all at once.	true	261.65	264.94	20.304289
4098_11546_000018_000003	What contour there was in the turn of arm and shoulder under the close-fitting purple cloth!	What contour there was in the turn of arm and shoulder under the close fitting purple cloth!	true	264.98	270.28	24.769531
4098_11546_000018_000004	He was artistically thankful that there was no other trimming of the straight bodice than the line of buttons that descended from the full white ruff of swansdown at her throat, to her delicate, trim waist.	He was artistically thankful that there was no other trimming of the straight bodice than the line of buttons that descended from the full white ruff of swansdown at her throat, to her delicate, trim waist.	false	270.29	281.08	24
4098_11546_000018_000005	Her unconscious stateliness of girlish form, and the conscious shyness of her manner, were the loveliest inconsistency in the world.	Her unconscious stateliness of girlish form, and the conscious shyness of her manner, were the loveliest inconsistency in the world.	true	281.24	288.94	21
4098_11546_000019_000000	"Oh, I shall not tell Sir Dugald," he said to her, good-humoredly. "Besides, I think the comparison an excellent one.	"Oh, I shall not tell Sir Dugald," he said to her, good humoredly. "Besides, I think the comparison an excellent one.	false	289.4	296.65	23.614187
4098_11546_000019_000001	I don't know anything in London so like Sir Dugald as Sir Dugald's dog."	I don't know anything in London so like Sir Dugald as Sir Dugald's dog."	true	296.81	301.21	20.96401
4098_11546_000020_000000	Theodora stroked Sabre, apologetically, but could scarcely find courage to speak.	Theodora stroked Sabre, apologetically, but could scarcely find courage to speak.	true	301.43	306.28	23.069382
4098_11546_000020_000001	She had stood somewhat in awe of Mr. Denis Oglethorpe, even at first, and her discomfort was rapidly increasing.	She had stood somewhat in awe of mr Denis Oglethorpe, even at first, and her discomfort was rapidly increasing.	true	306.32	312.85	22.144547
4098_11546_000020_000002	He must think her dreadfully stupid, though he was good-humored enough to make light of her silly speech.	He must think her dreadfully stupid, though he was good humored enough to make light of her silly speech.	true	312.92	318.52	22.884104
4098_11546_000020_000003	Certainly Priscilla never made such a silly speech in her life; but then, how could one teach French and Latin, and be anything but ponderously discreet?	Certainly Priscilla never made such a silly speech in her life; but then, how could one teach French and Latin, and be anything but ponderously discreet?	true	318.59	327.22	23.88158
4098_11546_000021_000000	Mr. Denis Oglethorpe was not thinking of Priscilla's wisdom, however; he was thinking of Theodora North; he was thinking that he must have been very blind not to have seen before that his friend's niece was a beauty of the first water, young as she was.	mr Denis Oglethorpe was not thinking of Priscilla's wisdom, however; he was thinking of Theodora North; he was thinking that he must have been very blind not to have seen before that his friend's niece was a beauty of the first water, young as she was.	true	327.65	341.56	22.816278
4098_11546_000021_000001	But he had been tired and fagged out, he remembered, on the first occasion of their meeting--too tired to think of anything but his appointment at Broome street, and Priscilla's Greek grammar.	But he had been tired and fagged out, he remembered, on the first occasion of their meeting-too tired to think of anything but his appointment at Broome street, and Priscilla's Greek grammar.	true	341.72	351.13	23.150728
4098_11546_000021_000002	And now in recognizing what he had before passed by, he was quite glad to find the girl so young and inexperienced--so modest, in a sweet way.	And now in recognizing what he had before passed by, he was quite glad to find the girl so young and inexperienced-so modest, in a sweet way.	true	351.41	359.71	23.605858
4098_11546_000021_000003	It was easy, as well as proper enough, to talk to her unceremoniously without the trouble of being diffuse and complimentary. So he made himself agreeable, and Theodora listened until she quite forgot Sir Dugald, and only remembered Sabre, because his big heavy head was on her knee, and she was stroking it.	It was easy, as well as proper enough, to talk to her unceremoniously without the trouble of being diffuse and complimentary. So he made himself agreeable, and Theodora listened until she quite forgot Sir Dugald, and only remembered Sabre, because his big heavy head was on her knee, and she was stroking it.	true	359.84	378.73	23.227442
4098_11546_000022_000000	"And you were never in London before?" he said at length.	"And you were never in London before?" he said at length.	true	379.85	383.05	19.462229
4098_11546_000023_000000	"No, sir," Theo answered.	"No, sir," Theo answered.	true	383.15	385.06	22.922857
4098_11546_000023_000001	"This is the first time.	"This is the first time.	false	385.1	386.49	23.29881
4098_11546_000023_000002	I was never even out of Downport before."	I was never even out of Downport before."	true	386.49	388.9	25.268166
4098_11546_000024_000000	"Then we must take you to see the lions," he said, "if Lady Throckmorton will let us, Miss Theodora.	"Then we must take you to see the lions," he said, "if Lady Throckmorton will let us, Miss Theodora.	true	389.54	395.02	20.347538
4098_11546_000024_000001	I wonder if she would let us?	I wonder if she would let us?	false	395.06	396.705	21.354269
4098_11546_000024_000002	If she would, I have a lady friend who knows them all, from the grisliest, downward, and I know she would like to help me to exhibit them to you.	If she would, I have a lady friend who knows them all, from the grisliest, downward, and I know she would like to help me to exhibit them to you.	false	396.705	403.74	23.431492
4098_11546_000024_000003	How should you like that?"	How should you like that?"	true	403.74	405.07	26.42141
4098_11546_000025_000000	"Better than anything in the world," glowing with delighted surprise. "If it wouldn't be too much trouble," she added, quite apologetically.	"Better than anything in the world," glowing with delighted surprise. "If it wouldn't be too much trouble," she added, quite apologetically.	true	405.56	413.65	23.109997
4098_11546_000026_000000	Mr. Denis Oglethorpe smiled.	mr Denis Oglethorpe smiled.	true	414.08	416.2	25.439703
4098_11546_000027_000000	"It would be simply delightful," he said.	"It would be simply delightful," he said.	true	416.45	418.9	26.417305
4098_11546_000027_000001	"I should like it better than anything in the world, too.	"I should like it better than anything in the world, too.	true	418.97	421.54	27
4098_11546_000027_000002	We will appeal to Lady Throckmorton."	We will appeal to Lady Throckmorton."	true	421.61	423.61	26.701563
4098_11546_000028_000000	"When Priscilla was in London--"	"When Priscilla was in London-"	true	424.43	426.12	20.871614
4098_11546_000028_000001	Theodora was beginning a minute later, when the handsome face changed suddenly as her companion turned upon her in evident surprise.	Theodora was beginning a minute later, when the handsome face changed suddenly as her companion turned upon her in evident surprise.	true	426.12	433.72	20.103746
4098_11546_000029_000000	"Priscilla?" he repeated, after her.	"Priscilla?" he repeated, after her.	true	433.97	436.48	24.03228
4098_11546_000030_000000	"How stupid I am!" she ejaculated, distressedly.	"How stupid I am!" she ejaculated, distressedly.	false	436.97	440.14	21.630352
4098_11546_000030_000001	"I meant to say Pamela. My eldest sister's name is Pamela, and--and--"	"I meant to say Pamela. My eldest sister's name is Pamela, and-and-"	true	440.18	444.73	21.816204
4098_11546_000031_000000	"And you said Priscilla by mistake," interposed Oglethorpe, with a sudden accession of gravity.	"And you said Priscilla by mistake," interposed Oglethorpe, with a sudden accession of gravity.	true	445.19	450.79	22.71703
4098_11546_000031_000001	"Priscilla is a little like Pamela."	"Priscilla is a little like Pamela."	true	450.8	453.1	20.322483
4098_11546_000032_000000	It needed nothing more than this simple slip of Theodora North's tongue to assure him that Lady Throckmorton had been telling her the story of his engagement to Miss Gower, and, as might be anticipated, he was not as devoutly grateful to her ladyship as he might have been.	It needed nothing more than this simple slip of Theodora North's tongue to assure him that Lady Throckmorton had been telling her the story of his engagement to Miss Gower, and, as might be anticipated, he was not as devoutly grateful to her ladyship as he might have been.	true	453.92	468.94	24.616846
4098_11546_000032_000001	He was careless to a fault in some things, and punctilious to a fault in others; and he was very punctilious about Priscilla Gower.	He was careless to a fault in some things, and punctilious to a fault in others; and he was very punctilious about Priscilla Gower.	true	469.85	476.98	22.687447
4098_11546_000032_000002	He was not an ardent lover, but he was a conscientiously honorable one, and, apart from his respect for his betrothed, he was very impatient of interference with his affairs; and my lady was not chary of interfering when the fancy seized her.	He was not an ardent lover, but he was a conscientiously honorable one, and, apart from his respect for his betrothed, he was very impatient of interference with his affairs; and my lady was not chary of interfering when the fancy seized her.	true	477.2	490.99	23.517939
4098_11546_000032_000003	It roused his pride to think how liberally he must have been discussed, and, consequently, when Lady Throckmorton joined them, he was not in the most amiable of moods.	It roused his pride to think how liberally he must have been discussed, and, consequently, when Lady Throckmorton joined them, he was not in the most amiable of moods.	true	491.63	500.59	21.114374
4098_11546_000032_000004	But he managed to end his conversation with Theo unconstrainedly enough.	But he managed to end his conversation with Theo unconstrainedly enough.	true	500.81	505.21	21.78931
4098_11546_000032_000005	He even gained her ladyship's consent to their plan.	He even gained her ladyship's consent to their plan.	true	505.49	508.72	21.088377
4098_11546_000032_000006	It was curiously plain how they both appeared to agree in thinking her a child, and treating her as one. Not that Theo cared about that.	It was curiously plain how they both appeared to agree in thinking her a child, and treating her as one. Not that Theo cared about that.	false	509.27	517.12	23.558138
4098_11546_000032_000007	She had been so used to Pamela, that she would have felt half afraid of being treated with any greater ceremony; but still she could clearly understand that Mr. Oglethorpe did not speak to her as he would have spoken to Miss Gower.	She had been so used to Pamela, that she would have felt half afraid of being treated with any greater ceremony; but still she could clearly understand that mr Oglethorpe did not speak to her as he would have spoken to Miss Gower.	true	517.16	528.97	22.722502
4098_11546_000032_000008	But free from any touch of light gallantry as his manner toward the girl was, Denis Oglethorpe did not forget her this night.	But free from any touch of light gallantry as his manner toward the girl was, Denis Oglethorpe did not forget her this night.	true	529.07	536.13	22.440298
4098_11546_000032_000009	On the contrary, he remembered her very distinctly, and had in his mind a very exact mental representation of her purple robe, soft white ruff, and all, as he buttoned up his paletot over his chest in walking homeward.	On the contrary, he remembered her very distinctly, and had in his mind a very exact mental representation of her purple robe, soft white ruff, and all, as he buttoned up his paletot over his chest in walking homeward.	false	536.13	550.36	23.573933
4098_11546_000032_000010	But he thought of her carelessly and honestly enough, as a beautiful young creature years behind him in experience, and utterly beyond him in all possibility of any sentimental fancy.	But he thought of her carelessly and honestly enough, as a beautiful young creature years behind him in experience, and utterly beyond him in all possibility of any sentimental fancy.	true	550.67	561.22	22.281359
4098_11546_000033_000000	The friendship existing between Lady Throckmorton and this young man was a queer, inconsistent sentiment enough, and yet was a friendship, and a mature one.	The friendship existing between Lady Throckmorton and this young man was a queer, inconsistent sentiment enough, and yet was a friendship, and a mature one.	true	562.79	571.66	21.864655
4098_11546_000033_000001	The two had encountered each other some years ago, when Denis had been by no means in his palmiest days.	The two had encountered each other some years ago, when Denis had been by no means in his palmiest days.	true	572.03	577.96	20.625662
4098_11546_000033_000002	In fact, my lady had picked him up when he stood in sore need of friends, and Oglethorpe never forgot a favor.	In fact, my lady had picked him up when he stood in sore need of friends, and Oglethorpe never forgot a favor.	true	577.97	584.17	22.514603
4098_11546_000033_000003	He never forgot to be grateful to Lady Throckmorton; and so, despite the wide difference between their respective ages and positions, their mutual liking had ripened into a familiarity of relationship which made them more like elder sister and younger brother than anything else.	He never forgot to be grateful to Lady Throckmorton; and so, despite the wide difference between their respective ages and positions, their mutual liking had ripened into a familiarity of relationship which made them more like elder sister and younger brother than anything else.	true	584.27	599.53	24
4098_11546_000033_000004	Oglethorpe, junior, was pretty much what Oglethorpe, senior, had been, and notwithstanding her practical views, Lady Throckmorton liked him none the worse for it.	Oglethorpe, junior, was pretty much what Oglethorpe, senior, had been, and notwithstanding her practical views, Lady Throckmorton liked him none the worse for it.	true	599.75	608.32	24.986307
4098_11546_000033_000005	She petted and patronized him, questioned and advised him, and if he did not please her, rated him roundly without the slightest compunction.	She petted and patronized him, questioned and advised him, and if he did not please her, rated him roundly without the slightest compunction.	false	609.11	617.14	21.410643
4098_11546_000033_000006	In fact, she was a woman of caprices even at sixty-five, and Denis Oglethorpe was one of her caprices.	In fact, she was a woman of caprices even at sixty five, and Denis Oglethorpe was one of her caprices.	true	617.57	624.21	22.8941
4098_11546_000034_000000	And, in like manner, Theodora North became another of them.	And, in like manner, Theodora North became another of them.	true	624.21	627.7	24.897675
4098_11546_000034_000001	Finding her tractable, she became quite fond of her, in her own way, and was at least generous to lavishness in her treatment of her.	Finding her tractable, she became quite fond of her, in her own way, and was at least generous to lavishness in her treatment of her.	true	627.83	635.29	22.765972
4098_11546_000035_000000	"You are very handsome, indeed, Theodora," she said to her a few days after her arrival.	"You are very handsome, indeed, Theodora," she said to her a few days after her arrival.	true	635.9	641.17	22.449955
4098_11546_000035_000001	"Of course, you know that--ten times handsomer than ever poor Pamela could have been.	"Of course, you know that-ten times handsomer than ever poor Pamela could have been.	false	641.33	645.795	22.50988
4098_11546_000035_000002	Your figure is perfect, and you have eyes like a Syrian, instead of a commonplace English woman.	Your figure is perfect, and you have eyes like a Syrian, instead of a commonplace English woman.	true	645.795	651.37	23.354988
4098_11546_000035_000003	I am going to give you a rose-pink satin dress.	I am going to give you a rose pink satin dress.	true	651.47	654.225	19.55387
4098_11546_000035_000004	Rose-pink is just your shade, and some day, when we go out together, I will lend you some of my diamonds."	Rose pink is just your shade, and some day, when we go out together, I will lend you some of my diamonds."	true	654.225	659.59	23.949099
4098_11546_000036_000000	After this whimsical manner she lavished presents upon her whenever she had a new fancy.	After this whimsical manner she lavished presents upon her whenever she had a new fancy.	false	660.08	664.93	19
4098_11546_000036_000001	In truth, her generosity was constitutional, and she had been generous enough toward Pamela, but she had never been so extravagant as she was with Theodora.	In truth, her generosity was constitutional, and she had been generous enough toward Pamela, but she had never been so extravagant as she was with Theodora.	false	665.12	674.17	22.924301
4098_11546_000036_000002	Theodora was an actual beauty, of an uncommon type, in the face of her ignorance of manners and customs. Pamela had never, at her best, been more than a delicately pretty girl.	Theodora was an actual beauty, of an uncommon type, in the face of her ignorance of manners and customs. Pamela had never, at her best, been more than a delicately pretty girl.	true	674.48	685.75	23.75428
4098_11546_000037_000000	In the meantime, Denis Oglethorpe made friendly calls as usual, and always meeting Theodora, found her very pleasant to talk to and look at. He found out her enthusiastic admiration for the poetic effusions of his youth, and in consideration thereof, good-humoredly presented her with a copy of the volume, with some very witty verses written on the fly-leaf in a flourishing hand.	In the meantime, Denis Oglethorpe made friendly calls as usual, and always meeting Theodora, found her very pleasant to talk to and look at. He found out her enthusiastic admiration for the poetic effusions of his youth, and in consideration thereof, good humoredly presented her with a copy of the volume, with some very witty verses written on the fly leaf in a flourishing hand.	true	686.12	708.64	21.695469
4098_11546_000037_000001	It was worth while to amuse Theodora, she was so pretty and unassuming in her delight at his carelessly-amiable efforts for her entertainment.	It was worth while to amuse Theodora, she was so pretty and unassuming in her delight at his carelessly amiable efforts for her entertainment.	true	709.13	717.76	23.32316
4098_11546_000037_000002	She was only a mere child after all at sixteen, with Downport in the background; so he felt quite honestly at ease in being attentive to her girlish requirements.	She was only a mere child after all at sixteen, with Downport in the background; so he felt quite honestly at ease in being attentive to her girlish requirements.	true	718.07	727.45	25.245676
4098_11546_000037_000003	Better that he should amuse her than that she should be left to the mercy of men who would perhaps have the execrable taste to spoil her pretty childish ways with flattery.	Better that he should amuse her than that she should be left to the mercy of men who would perhaps have the execrable taste to spoil her pretty childish ways with flattery.	true	728.51	737.89	20
4098_11546_000038_000000	"Don't let all these fine people and fine speeches turn your head, Theodora," he would say, in a tone that might either have been jest or earnest.	"Don't let all these fine people and fine speeches turn your head, Theodora," he would say, in a tone that might either have been jest or earnest.	true	738.77	746.5	24.02885
4098_11546_000038_000001	"They spoiled me in my infancy, and my unfortunate experience causes me to warn you."	"They spoiled me in my infancy, and my unfortunate experience causes me to warn you."	true	746.66	751.9	23.120432
4098_11546_000039_000000	But whether he jested or not, Theo was always inclined to listen to him with some degree of serious belief.	But whether he jested or not, Theo was always inclined to listen to him with some degree of serious belief.	true	752.33	758.68	21.182953
4098_11546_000039_000001	She took his advice when it was proffered, and regarded his wisdom as the wisdom of an oracle.	She took his advice when it was proffered, and regarded his wisdom as the wisdom of an oracle.	true	758.69	763.9	22.774153
4098_11546_000039_000002	Who should know better than he what was right?	Who should know better than he what was right?	true	764.36	766.575	21.705864
4098_11546_000039_000003	His indifference to the rule of opinion could only be the result of conscious perfection, and his careless satires were to her the most brilliant of witticisms.	His indifference to the rule of opinion could only be the result of conscious perfection, and his careless satires were to her the most brilliant of witticisms.	true	766.575	775.9	22.580921
4098_11546_000039_000004	He paid her his first compliment the night the rose-colored satin-dress came home.	He paid her his first compliment the night the rose colored satin dress came home.	true	776.45	781.18	23.53282
4098_11546_000040_000000	They were going to see Faust together with Lady Throckmorton, and she had finished dressing early, and came down to the drawing-room, and there Denis found her when he came up-stairs--the thick, lustrous folds of satin billowing upon the carpet around her feet, something white, and soft, and heavy wrapped about her.	They were going to see Faust together with Lady Throckmorton, and she had finished dressing early, and came down to the drawing room, and there Denis found her when he came up stairs-the thick, lustrous folds of satin billowing upon the carpet around her feet, something white, and soft, and heavy wrapped about her.	false	781.55	798.52	23.424519
4098_11546_000041_000000	He was conscious of a faint shock of delight on first beholding her.	He was conscious of a faint shock of delight on first beholding her.	true	799.46	803.05	23.530483
4098_11546_000041_000001	He had just left Priscilla, pale and heavy-eyed, in dun-colored merino, poring over a Greek dictionary, and the sudden entering the bright room, and finding himself facing Theodora North in rose-colored satin, was a little like electricity.	He had just left Priscilla, pale and heavy eyed, in dun colored merino, poring over a Greek dictionary, and the sudden entering the bright room, and finding himself facing Theodora North in rose colored satin, was a little like electricity.	true	803.57	817.66	22.132057
4098_11546_000042_000000	"Oh! it's Theodora, is it?" he said, slowly, when he recovered himself. "Thank you, Theodora."	"Oh! it's Theodora, is it?" he said, slowly, when he recovered himself. "Thank you, Theodora."	true	818.06	824.44	21.344475
4098_11546_000043_000000	"What for?" asked Theo, blushing.	"What for?" asked Theo, blushing.	true	824.87	827.62	22.949368
4098_11546_000044_000000	"For the rose-colored satin," he returned, complacently.	"For the rose colored satin," he returned, complacently.	true	828.08	831.22	22.844046
4098_11546_000044_000001	"It is so very becoming.	"It is so very becoming.	true	831.29	832.83	25.163485
4098_11546_000044_000002	You look like a sultana, my dear Theodora."	You look like a sultana, my dear Theodora."	true	832.83	835.51	21.325434
4098_11546_000045_000000	Theo looked up at him for a second, and then looked down.	Theo looked up at him for a second, and then looked down.	true	836.39	839.2	23.216633
4098_11546_000045_000001	Much as she admired Mr. Denis Oglethorpe, she never quite comprehended him.	Much as she admired mr Denis Oglethorpe, she never quite comprehended him.	true	839.27	843.61	22.023224
4098_11546_000045_000002	He had such an eccentric fashion of being almost curt sometimes.	He had such an eccentric fashion of being almost curt sometimes.	true	843.8	847.54	23.686865
4098_11546_000045_000003	She had seen him actually give a faint start when he entered, and she had not understood that, and now he had paid her a compliment, but with so much of something puzzling hidden in his quiet-sounding voice, that she did not understand that either--and he saw she did not.	She had seen him actually give a faint start when he entered, and she had not understood that, and now he had paid her a compliment, but with so much of something puzzling hidden in his quiet sounding voice, that she did not understand that either-and he saw she did not.	false	847.94	862.51	22.813814
4098_11546_000046_000000	"I have been making a fine speech to Theodora," he said to Lady Throckmorton, when she came in.	"I have been making a fine speech to Theodora," he said to Lady Throckmorton, when she came in.	true	863.42	868.51	22.020243
4098_11546_000046_000001	"And she does not comprehend it in the least."	"And she does not comprehend it in the least."	true	868.58	871.03	22.261517
4098_11546_000047_000000	It was somewhat singular, Theo thought, that he should be so silent after this, for he was silent.	It was somewhat singular, Theo thought, that he should be so silent after this, for he was silent.	true	872	877.935	21.367308
4098_11546_000047_000001	He even seemed absent-minded, for some reason or other.	He even seemed absent minded, for some reason or other.	true	877.935	880.9	19
4098_11546_000047_000002	He did not talk to her as much as usual, and she was quite sure he paid very little attention to Faust.	He did not talk to her as much as usual, and she was quite sure he paid very little attention to Faust.	true	881.03	886.71	23.07106
4098_11546_000048_000000	But during the final act she found that he was not looking at the stage at all; but was sitting in the shadow of the box-curtain watching herself.	But during the final act she found that he was not looking at the stage at all; but was sitting in the shadow of the box curtain watching herself.	false	886.71	891.06	23.662
4098_11546_000048_000001	She had been deeply interested in Marguerite a minute before, and, in her heart-touched pleasure, had leant upon the edge of the box, her whole face thrilled with excitement.	She had been deeply interested in Marguerite a minute before, and, in her heart touched pleasure, had leant upon the edge of the box, her whole face thrilled with excitement.	false	891.06	892.74	26.438236
