2127_138047_000000_000000	"No, senor," said Sancho; "but I have heard say that none ever passed the horns of the moon."	"No, senor," said Sancho; "but I have heard say that none ever passed the horns of the moon."	false	0	3.54	23.14894
2127_138047_000007_000000	"Well then," said Sancho, "let the island come; and I'll try and be such a governor, that in spite of scoundrels I'll go to heaven; and it's not from any craving to quit my own humble condition or better myself, but from the desire I have to try what it tastes like to be a governor."	"Well then," said Sancho, "let the island come; and I'll try and be such a governor, that in spite of scoundrels I'll go to heaven; and it's not from any craving to quit my own humble condition or better myself, but from the desire I have to try what it tastes like to be a governor."	false	126.5	141.64	21
2127_138047_000008_000000	"If you once make trial of it, Sancho," said the duke, "you'll eat your fingers off after the government, so sweet a thing is it to command and be obeyed.	"If you once make trial of it, Sancho," said the duke, "you'll eat your fingers off after the government, so sweet a thing is it to command and be obeyed.	false	142.1	150.45	22.355312
2127_138047_000008_000001	Depend upon it when your master comes to be emperor (as he will beyond a doubt from the course his affairs are taking), it will be no easy matter to wrest the dignity from him, and he will be sore and sorry at heart to have been so long without becoming one."	Depend upon it when your master comes to be emperor (as he will beyond a doubt from the course his affairs are taking), it will be no easy matter to wrest the dignity from him, and he will be sore and sorry at heart to have been so long without becoming one."	false	150.45	164.68	19
2127_138047_000009_000000	"Senor," said Sancho, "it is my belief it's a good thing to be in command, if it's only over a drove of cattle."	"Senor," said Sancho, "it is my belief it's a good thing to be in command, if it's only over a drove of cattle."	true	165.17	172.18	20.013935
2127_138047_000010_000000	"May I be buried with you, Sancho," said the duke, "but you know everything; I hope you will make as good a governor as your sagacity promises; and that is all I have to say; and now remember to-morrow is the day you must set out for the government of the island, and this evening they will provide you with the proper attire for you to wear, and all things requisite for your departure."	"May I be buried with you, Sancho," said the duke, "but you know everything; I hope you will make as good a governor as your sagacity promises; and that is all I have to say; and now remember to morrow is the day you must set out for the government of the island, and this evening they will provide you with the proper attire for you to wear, and all things requisite for your departure."	true	172.82	194.74	21.276756
2127_138047_000011_000000	"Let them dress me as they like," said Sancho; "however I'm dressed I'll be Sancho Panza."	"Let them dress me as they like," said Sancho; "however I'm dressed I'll be Sancho Panza."	false	195.05	200.76	24.029108
2127_138047_000012_000000	"That's true," said the duke; "but one's dress must be suited to the office or rank one holds; for it would not do for a jurist to dress like a soldier, or a soldier like a priest.	"That's true," said the duke; "but one's dress must be suited to the office or rank one holds; for it would not do for a jurist to dress like a soldier, or a soldier like a priest.	false	200.76	210.615	20.964113
2127_138047_000012_000001	You, Sancho, shall go partly as a lawyer, partly as a captain, for, in the island I am giving you, arms are needed as much as letters, and letters as much as arms."	You, Sancho, shall go partly as a lawyer, partly as a captain, for, in the island I am giving you, arms are needed as much as letters, and letters as much as arms."	true	210.615	220.57	22
2127_138047_000013_000000	"Of letters I know but little," said Sancho, "for I don't even know the A B C; but it is enough for me to have the Christus in my memory to be a good governor.	"Of letters I know but little," said Sancho, "for I don't even know the A B C; but it is enough for me to have the Christus in my memory to be a good governor.	true	220.85	229.15	17
2127_138047_000013_000001	As for arms, I'll handle those they give me till I drop, and then, God be my help!"	As for arms, I'll handle those they give me till I drop, and then, God be my help!"	true	229.16	234.52	21.754715
2127_138047_000014_000000	"With so good a memory," said the duke, "Sancho cannot go wrong in anything."	"With so good a memory," said the duke, "Sancho cannot go wrong in anything."	true	234.89	239.8	22.305372
2127_138047_000015_000000	Here Don Quixote joined them; and learning what passed, and how soon Sancho was to go to his government, he with the duke's permission took him by the hand, and retired to his room with him for the purpose of giving him advice as to how he was to demean himself in his office.	Here Don Quixote joined them; and learning what passed, and how soon Sancho was to go to his government, he with the duke's permission took him by the hand, and retired to his room with him for the purpose of giving him advice as to how he was to demean himself in his office.	true	240.86	254.82	19
2127_138047_000015_000001	As soon as they had entered the chamber he closed the door after him, and almost by force made Sancho sit down beside him, and in a quiet tone thus addressed him: "I give infinite thanks to heaven, friend Sancho, that, before I have met with any good luck, fortune has come forward to meet thee.	As soon as they had entered the chamber he closed the door after him, and almost by force made Sancho sit down beside him, and in a quiet tone thus addressed him: "I give infinite thanks to heaven, friend Sancho, that, before I have met with any good luck, fortune has come forward to meet thee.	true	254.82	271.78	19.448029
2127_138047_000015_000002	I who counted upon my good fortune to discharge the recompense of thy services, find myself still waiting for advancement, while thou, before the time, and contrary to all reasonable expectation, seest thyself blessed in the fulfillment of thy desires.	I who counted upon my good fortune to discharge the recompense of thy services, find myself still waiting for advancement, while thou, before the time, and contrary to all reasonable expectation, seest thyself blessed in the fulfillment of thy desires.	false	271.82	288.45	18
2127_138047_000015_000003	Some will bribe, beg, solicit, rise early, entreat, persist, without attaining the object of their suit; while another comes, and without knowing why or wherefore, finds himself invested with the place or office so many have sued for; and here it is that the common saying, 'There is good luck as well as bad luck in suits,' applies.	Some will bribe, beg, solicit, rise early, entreat, persist, without attaining the object of their suit; while another comes, and without knowing why or wherefore, finds himself invested with the place or office so many have sued for; and here it is that the common saying, 'There is good luck as well as bad luck in suits,' applies.	true	288.45	310.15	22
2127_138047_000015_000004	Thou, who, to my thinking, art beyond all doubt a dullard, without early rising or night watching or taking any trouble, with the mere breath of knight-errantry that has breathed upon thee, seest thyself without more ado governor of an island, as though it were a mere matter of course.	Thou, who, to my thinking, art beyond all doubt a dullard, without early rising or night watching or taking any trouble, with the mere breath of knight errantry that has breathed upon thee, seest thyself without more ado governor of an island, as though it were a mere matter of course.	true	310.25	327.25	21
2127_138047_000015_000005	This I say, Sancho, that thou attribute not the favour thou hast received to thine own merits, but give thanks to heaven that disposes matters beneficently, and secondly thanks to the great power the profession of knight-errantry contains in itself.	This I say, Sancho, that thou attribute not the favour thou hast received to thine own merits, but give thanks to heaven that disposes matters beneficently, and secondly thanks to the great power the profession of knight errantry contains in itself.	false	327.71	343.275	21
2127_138047_000015_000006	With a heart, then, inclined to believe what I have said to thee, attend, my son, to thy Cato here who would counsel thee and be thy polestar and guide to direct and pilot thee to a safe haven out of this stormy sea wherein thou art about to ingulf thyself; for offices and great trusts are nothing else but a mighty gulf of troubles.	With a heart, then, inclined to believe what I have said to thee, attend, my son, to thy Cato here who would counsel thee and be thy polestar and guide to direct and pilot thee to a safe haven out of this stormy sea wherein thou art about to ingulf thyself; for offices and great trusts are nothing else but a mighty gulf of troubles.	true	343.275	364.24	20.833864
2127_138047_000016_000000	"First of all, my son, thou must fear God, for in the fear of him is wisdom, and being wise thou canst not err in aught.	"First of all, my son, thou must fear God, for in the fear of him is wisdom, and being wise thou canst not err in aught.	false	364.58	372.87	22.470604
2127_138047_000017_000000	"Secondly, thou must keep in view what thou art, striving to know thyself, the most difficult thing to know that the mind can imagine.	"Secondly, thou must keep in view what thou art, striving to know thyself, the most difficult thing to know that the mind can imagine.	true	372.87	381	19
2127_138047_000017_000001	If thou knowest thyself, it will follow thou wilt not puff thyself up like the frog that strove to make himself as large as the ox; if thou dost, the recollection of having kept pigs in thine own country will serve as the ugly feet for the wheel of thy folly."	If thou knowest thyself, it will follow thou wilt not puff thyself up like the frog that strove to make himself as large as the ox; if thou dost, the recollection of having kept pigs in thine own country will serve as the ugly feet for the wheel of thy folly."	false	381	398.4	23.052341
2127_138047_000018_000000	"That's the truth," said Sancho; "but that was when I was a boy; afterwards when I was something more of a man it was geese I kept, not pigs.	"That's the truth," said Sancho; "but that was when I was a boy; afterwards when I was something more of a man it was geese I kept, not pigs.	true	398.4	406.36	21.741562
2127_138047_000018_000001	But to my thinking that has nothing to do with it; for all who are governors don't come of a kingly stock."	But to my thinking that has nothing to do with it; for all who are governors don't come of a kingly stock."	true	406.58	411.7	19.558987
2127_138047_000019_000000	"True," said Don Quixote, "and for that reason those who are not of noble origin should take care that the dignity of the office they hold he accompanied by a gentle suavity, which wisely managed will save them from the sneers of malice that no station escapes.	"True," said Don Quixote, "and for that reason those who are not of noble origin should take care that the dignity of the office they hold he accompanied by a gentle suavity, which wisely managed will save them from the sneers of malice that no station escapes.	true	411.95	426.85	19
2127_138047_000020_000000	"Glory in thy humble birth, Sancho, and be not ashamed of saying thou art peasant-born; for when it is seen thou art not ashamed no one will set himself to put thee to the blush; and pride thyself rather upon being one of lowly virtue than a lofty sinner.	"Glory in thy humble birth, Sancho, and be not ashamed of saying thou art peasant born; for when it is seen thou art not ashamed no one will set himself to put thee to the blush; and pride thyself rather upon being one of lowly virtue than a lofty sinner.	false	427.25	443.08	19
2127_138047_000020_000001	Countless are they who, born of mean parentage, have risen to the highest dignities, pontifical and imperial, and of the truth of this I could give thee instances enough to weary thee.	Countless are they who, born of mean parentage, have risen to the highest dignities, pontifical and imperial, and of the truth of this I could give thee instances enough to weary thee.	false	443.09	454.95	20.304682
2127_138047_000021_000000	"Remember, Sancho, if thou make virtue thy aim, and take a pride in doing virtuous actions, thou wilt have no cause to envy those who have princely and lordly ones, for blood is an inheritance, but virtue an acquisition, and virtue has in itself alone a worth that blood does not possess.	"Remember, Sancho, if thou make virtue thy aim, and take a pride in doing virtuous actions, thou wilt have no cause to envy those who have princely and lordly ones, for blood is an inheritance, but virtue an acquisition, and virtue has in itself alone a worth that blood does not possess.	false	454.95	472.87	18
2127_138047_000022_000000	"This being so, if perchance anyone of thy kinsfolk should come to see thee when thou art in thine island, thou art not to repel or slight him, but on the contrary to welcome him, entertain him, and make much of him; for in so doing thou wilt be approved of heaven (which is not pleased that any should despise what it hath made), and wilt comply with the laws of well-ordered nature.	"This being so, if perchance anyone of thy kinsfolk should come to see thee when thou art in thine island, thou art not to repel or slight him, but on the contrary to welcome him, entertain him, and make much of him; for in so doing thou wilt be approved of heaven (which is not pleased that any should despise what it hath made), and wilt comply with the laws of well ordered nature.	false	473.6	496.45	21
2127_138047_000023_000000	"If thou carriest thy wife with thee (and it is not well for those that administer governments to be long without their wives), teach and instruct her, and strive to smooth down her natural roughness; for all that may be gained by a wise governor may be lost and wasted by a boorish stupid wife.	"If thou carriest thy wife with thee (and it is not well for those that administer governments to be long without their wives), teach and instruct her, and strive to smooth down her natural roughness; for all that may be gained by a wise governor may be lost and wasted by a boorish stupid wife.	true	497.6	515.53	22.817045
2127_138047_000024_000000	"If perchance thou art left a widower--a thing which may happen--and in virtue of thy office seekest a consort of higher degree, choose not one to serve thee for a hook, or for a fishing-rod, or for the hood of thy 'won't have it;' for verily, I tell thee, for all the judge's wife receives, the husband will be held accountable at the general calling to account; where he will have repay in death fourfold, items that in life he regarded as naught.	"If perchance thou art left a widower-a thing which may happen-and in virtue of thy office seekest a consort of higher degree, choose not one to serve thee for a hook, or for a fishing rod, or for the hood of thy 'won't have it;' for verily, I tell thee, for all the judge's wife receives, the husband will be held accountable at the general calling to account; where he will have repay in death fourfold, items that in life he regarded as naught.	false	516.02	543.7	21
2127_138047_000025_000000	"Never go by arbitrary law, which is so much favoured by ignorant men who plume themselves on cleverness.	"Never go by arbitrary law, which is so much favoured by ignorant men who plume themselves on cleverness.	true	544.4	551.05	16
2127_138047_000026_000000	"Let the tears of the poor man find with thee more compassion, but not more justice, than the pleadings of the rich.	"Let the tears of the poor man find with thee more compassion, but not more justice, than the pleadings of the rich.	false	551.72	558.7	22
2127_138047_000027_000000	"Strive to lay bare the truth, as well amid the promises and presents of the rich man, as amid the sobs and entreaties of the poor.	"Strive to lay bare the truth, as well amid the promises and presents of the rich man, as amid the sobs and entreaties of the poor.	true	558.89	566.95	17
2127_138047_000028_000000	"When equity may and should be brought into play, press not the utmost rigour of the law against the guilty; for the reputation of the stern judge stands not higher than that of the compassionate.	"When equity may and should be brought into play, press not the utmost rigour of the law against the guilty; for the reputation of the stern judge stands not higher than that of the compassionate.	true	567.47	579.1	20
2127_138047_000029_000000	"If perchance thou permittest the staff of justice to swerve, let it be not by the weight of a gift, but by that of mercy.	"If perchance thou permittest the staff of justice to swerve, let it be not by the weight of a gift, but by that of mercy.	true	579.65	587.2	22
2127_138047_000030_000000	"If it should happen thee to give judgment in the cause of one who is thine enemy, turn thy thoughts away from thy injury and fix them on the justice of the case.	"If it should happen thee to give judgment in the cause of one who is thine enemy, turn thy thoughts away from thy injury and fix them on the justice of the case.	false	587.72	597.34	18
2127_138047_000031_000000	"Let not thine own passion blind thee in another man's cause; for the errors thou wilt thus commit will be most frequently irremediable; or if not, only to be remedied at the expense of thy good name and even of thy fortune.	"Let not thine own passion blind thee in another man's cause; for the errors thou wilt thus commit will be most frequently irremediable; or if not, only to be remedied at the expense of thy good name and even of thy fortune.	false	597.89	612.79	20
2127_138047_000032_000000	"If any handsome woman come to seek justice of thee, turn away thine eyes from her tears and thine ears from her lamentations, and consider deliberately the merits of her demand, if thou wouldst not have thy reason swept away by her weeping, and thy rectitude by her sighs.	"If any handsome woman come to seek justice of thee, turn away thine eyes from her tears and thine ears from her lamentations, and consider deliberately the merits of her demand, if thou wouldst not have thy reason swept away by her weeping, and thy rectitude by her sighs.	false	613.64	631.54	18
2127_138047_000033_000000	"Abuse not by word him whom thou hast to punish in deed, for the pain of punishment is enough for the unfortunate without the addition of thine objurgations.	"Abuse not by word him whom thou hast to punish in deed, for the pain of punishment is enough for the unfortunate without the addition of thine objurgations.	false	632.18	642.64	17
2127_138047_000034_000000	"Bear in mind that the culprit who comes under thy jurisdiction is but a miserable man subject to all the propensities of our depraved nature, and so far as may be in thy power show thyself lenient and forbearing; for though the attributes of God are all equal, to our eyes that of mercy is brighter and loftier than that of justice.	"Bear in mind that the culprit who comes under thy jurisdiction is but a miserable man subject to all the propensities of our depraved nature, and so far as may be in thy power show thyself lenient and forbearing; for though the attributes of God are all equal, to our eyes that of mercy is brighter and loftier than that of justice.	false	643.58	665.8	22.937641
2127_138047_000035_000000	"If thou followest these precepts and rules, Sancho, thy days will be long, thy fame eternal, thy reward abundant, thy felicity unutterable; thou wilt marry thy children as thou wouldst; they and thy grandchildren will bear titles; thou wilt live in peace and concord with all men; and, when life draws to a close, death will come to thee in calm and ripe old age, and the light and loving hands of thy great-grandchildren will close thine eyes.	"If thou followest these precepts and rules, Sancho, thy days will be long, thy fame eternal, thy reward abundant, thy felicity unutterable; thou wilt marry thy children as thou wouldst; they and thy grandchildren will bear titles; thou wilt live in peace and concord with all men; and, when life draws to a close, death will come to thee in calm and ripe old age, and the light and loving hands of thy great grandchildren will close thine eyes.	false	666.05	695.74	20
2127_138047_000036_000000	"What I have thus far addressed to thee are instructions for the adornment of thy mind; listen now to those which tend to that of the body."	"What I have thus far addressed to thee are instructions for the adornment of thy mind; listen now to those which tend to that of the body."	false	696.29	708.21	21.175407
2127_138047_000037_000000	CHAPTER XLIII.	CHAPTER forty three.	false	708.21	713.47	20.51996
2127_138047_000038_000000	OF THE SECOND SET OF COUNSELS DON QUIXOTE GAVE SANCHO PANZA	OF THE SECOND SET OF COUNSELS DON QUIXOTE GAVE SANCHO PANZA	true	713.84	717.88	21.164415
2127_138047_000039_000000	Who, hearing the foregoing discourse of Don Quixote, would not have set him down for a person of great good sense and greater rectitude of purpose?	Who, hearing the foregoing discourse of Don Quixote, would not have set him down for a person of great good sense and greater rectitude of purpose?	true	718.73	727.09	23.113956
2127_138047_000039_000001	But, as has been frequently observed in the course of this great history, he only talked nonsense when he touched on chivalry, and in discussing all other subjects showed that he had a clear and unbiassed understanding; so that at every turn his acts gave the lie to his intellect, and his intellect to his acts; but in the case of these second counsels that he gave Sancho he showed himself to have a lively turn of humour, and displayed conspicuously his wisdom, and also his folly.	But, as has been frequently observed in the course of this great history, he only talked nonsense when he touched on chivalry, and in discussing all other subjects showed that he had a clear and unbiassed understanding; so that at every turn his acts gave the lie to his intellect, and his intellect to his acts; but in the case of these second counsels that he gave Sancho he showed himself to have a lively turn of humour, and displayed conspicuously his wisdom, and also his folly.	true	727.16	753.73	24
2127_138047_000040_000000	Sancho listened to him with the deepest attention, and endeavoured to fix his counsels in his memory, like one who meant to follow them and by their means bring the full promise of his government to a happy issue. Don Quixote, then, went on to say:	Sancho listened to him with the deepest attention, and endeavoured to fix his counsels in his memory, like one who meant to follow them and by their means bring the full promise of his government to a happy issue. Don Quixote, then, went on to say:	true	753.89	767.41	20
2127_138047_000041_000000	"With regard to the mode in which thou shouldst govern thy person and thy house, Sancho, the first charge I have to give thee is to be clean, and to cut thy nails, not letting them grow as some do, whose ignorance makes them fancy that long nails are an ornament to their hands, as if those excrescences they neglect to cut were nails, and not the talons of a lizard-catching kestrel--a filthy and unnatural abuse.	"With regard to the mode in which thou shouldst govern thy person and thy house, Sancho, the first charge I have to give thee is to be clean, and to cut thy nails, not letting them grow as some do, whose ignorance makes them fancy that long nails are an ornament to their hands, as if those excrescences they neglect to cut were nails, and not the talons of a lizard catching kestrel-a filthy and unnatural abuse.	false	768.59	793.15	18
2127_138047_000042_000000	"Go not ungirt and loose, Sancho; for disordered attire is a sign of an unstable mind, unless indeed the slovenliness and slackness is to be set down to craft, as was the common opinion in the case of Julius Caesar.	"Go not ungirt and loose, Sancho; for disordered attire is a sign of an unstable mind, unless indeed the slovenliness and slackness is to be set down to craft, as was the common opinion in the case of Julius Caesar.	true	793.49	807.85	19
2127_138047_000043_000000	"Ascertain cautiously what thy office may be worth; and if it will allow thee to give liveries to thy servants, give them respectable and serviceable, rather than showy and gay ones, and divide them between thy servants and the poor; that is to say, if thou canst clothe six pages, clothe three and three poor men, and thus thou wilt have pages for heaven and pages for earth; the vainglorious never think of this new mode of giving liveries.	"Ascertain cautiously what thy office may be worth; and if it will allow thee to give liveries to thy servants, give them respectable and serviceable, rather than showy and gay ones, and divide them between thy servants and the poor; that is to say, if thou canst clothe six pages, clothe three and three poor men, and thus thou wilt have pages for heaven and pages for earth; the vainglorious never think of this new mode of giving liveries.	false	808.16	835.81	19
2127_138047_000044_000000	"Eat not garlic nor onions, lest they find out thy boorish origin by the smell; walk slowly and speak deliberately, but not in such a way as to make it seem thou art listening to thyself, for all affectation is bad.	"Eat not garlic nor onions, lest they find out thy boorish origin by the smell; walk slowly and speak deliberately, but not in such a way as to make it seem thou art listening to thyself, for all affectation is bad.	false	836.84	852.07	21.585524
2127_138047_000045_000000	"Dine sparingly and sup more sparingly still; for the health of the whole body is forged in the workshop of the stomach.	"Dine sparingly and sup more sparingly still; for the health of the whole body is forged in the workshop of the stomach.	true	852.62	861.07	21
2127_138047_000046_000000	"Be temperate in drinking, bearing in mind that wine in excess keeps neither secrets nor promises.	"Be temperate in drinking, bearing in mind that wine in excess keeps neither secrets nor promises.	true	861.44	868.36	17
2127_138047_000047_000000	"Take care, Sancho, not to chew on both sides, and not to eruct in anybody's presence."	"Take care, Sancho, not to chew on both sides, and not to eruct in anybody's presence."	true	868.76	875.95	21.659739
2127_138047_000048_000000	"Eruct!" said Sancho; "I don't know what that means."	"Eruct!" said Sancho; "I don't know what that means."	true	876.65	880.12	20.089554
2127_138047_000049_000000	"To eruct, Sancho," said Don Quixote, "means to belch, and that is one of the filthiest words in the Spanish language, though a very expressive one; and therefore nice folk have had recourse to the Latin, and instead of belch say eruct, and instead of belches say eructations; and if some do not understand these terms it matters little, for custom will bring them into use in the course of time, so that they will be readily understood; this is the way a language is enriched; custom and the public are all-powerful there."	"To eruct, Sancho," said Don Quixote, "means to belch, and that is one of the filthiest words in the Spanish language, though a very expressive one; and therefore nice folk have had recourse to the Latin, and instead of belch say eruct, and instead of belches say eructations; and if some do not understand these terms it matters little, for custom will bring them into use in the course of time, so that they will be readily understood; this is the way a language is enriched; custom and the public are all powerful there."	false	880.49	913.6	21
2127_138047_000050_000000	"In truth, senor," said Sancho, "one of the counsels and cautions I mean to bear in mind shall be this, not to belch, for I'm constantly doing it."	"In truth, senor," said Sancho, "one of the counsels and cautions I mean to bear in mind shall be this, not to belch, for I'm constantly doing it."	true	914.15	922.87	20.901974
2127_138047_000051_000000	"Eruct, Sancho, not belch," said Don Quixote.	"Eruct, Sancho, not belch," said Don Quixote.	true	923.27	927.46	23.879372
2127_138047_000052_000000	"Eruct, I shall say henceforth, and I swear not to forget it," said Sancho.	"Eruct, I shall say henceforth, and I swear not to forget it," said Sancho.	true	927.71	932.32	24
2127_138047_000053_000000	"Likewise, Sancho," said Don Quixote, "thou must not mingle such a quantity of proverbs in thy discourse as thou dost; for though proverbs are short maxims, thou dost drag them in so often by the head and shoulders that they savour more of nonsense than of maxims."	"Likewise, Sancho," said Don Quixote, "thou must not mingle such a quantity of proverbs in thy discourse as thou dost; for though proverbs are short maxims, thou dost drag them in so often by the head and shoulders that they savour more of nonsense than of maxims."	false	932.57	948.58	17
2127_138047_000054_000000	"God alone can cure that," said Sancho; "for I have more proverbs in me than a book, and when I speak they come so thick together into my mouth that they fall to fighting among themselves to get out; that's why my tongue lets fly the first that come, though they may not be pat to the purpose.	"God alone can cure that," said Sancho; "for I have more proverbs in me than a book, and when I speak they come so thick together into my mouth that they fall to fighting among themselves to get out; that's why my tongue lets fly the first that come, though they may not be pat to the purpose.	true	948.83	964.24	22
2127_138047_000054_000001	But I'll take care henceforward to use such as befit the dignity of my office; for 'in a house where there's plenty, supper is soon cooked,' and 'he who binds does not wrangle,' and 'the bell-ringer's in a safe berth,' and 'giving and keeping require brains.'"	But I'll take care henceforward to use such as befit the dignity of my office; for 'in a house where there's plenty, supper is soon cooked,' and 'he who binds does not wrangle,' and 'the bell ringer's in a safe berth,' and 'giving and keeping require brains.'"	false	964.43	980.77	22.603836
2127_138047_000055_000000	"That's it, Sancho!" said Don Quixote; "pack, tack, string proverbs together; nobody is hindering thee!	"That's it, Sancho!" said Don Quixote; "pack, tack, string proverbs together; nobody is hindering thee!	false	980.9	988.27	22
2127_138047_000055_000001	'My mother beats me, and I go on with my tricks.' I am bidding thee avoid proverbs, and here in a second thou hast shot out a whole litany of them, which have as much to do with what we are talking about as 'over the hills of Ubeda.' Mind, Sancho, I do not say that a proverb aptly brought in is objectionable; but to pile up and string together proverbs at random makes conversation dull and vulgar.	'My mother beats me, and I go on with my tricks.' I am bidding thee avoid proverbs, and here in a second thou hast shot out a whole litany of them, which have as much to do with what we are talking about as 'over the hills of Ubeda.' Mind, Sancho, I do not say that a proverb aptly brought in is objectionable; but to pile up and string together proverbs at random makes conversation dull and vulgar.	false	988.37	1011.67	20
2127_138047_000056_000000	"When thou ridest on horseback, do not go lolling with thy body on the back of the saddle, nor carry thy legs stiff or sticking out from the horse's belly, nor yet sit so loosely that one would suppose thou wert on Dapple; for the seat on a horse makes gentlemen of some and grooms of others.	"When thou ridest on horseback, do not go lolling with thy body on the back of the saddle, nor carry thy legs stiff or sticking out from the horse's belly, nor yet sit so loosely that one would suppose thou wert on Dapple; for the seat on a horse makes gentlemen of some and grooms of others.	false	1012.37	1028.98	18
2127_138047_000057_000000	"Be moderate in thy sleep; for he who does not rise early does not get the benefit of the day; and remember, Sancho, diligence is the mother of good fortune, and indolence, its opposite, never yet attained the object of an honest ambition.	"Be moderate in thy sleep; for he who does not rise early does not get the benefit of the day; and remember, Sancho, diligence is the mother of good fortune, and indolence, its opposite, never yet attained the object of an honest ambition.	false	1029.65	1043.56	20
2127_138047_000058_000000	"The last counsel I will give thee now, though it does not tend to bodily improvement, I would have thee carry carefully in thy memory, for I believe it will be no less useful to thee than those I have given thee already, and it is this--never engage in a dispute about families, at least in the way of comparing them one with another; for necessarily one of those compared will be better than the other, and thou wilt be hated by the one thou hast disparaged, and get nothing in any shape from the one thou hast exalted.	"The last counsel I will give thee now, though it does not tend to bodily improvement, I would have thee carry carefully in thy memory, for I believe it will be no less useful to thee than those I have given thee already, and it is this-never engage in a dispute about families, at least in the way of comparing them one with another; for necessarily one of those compared will be better than the other, and thou wilt be hated by the one thou hast disparaged, and get nothing in any shape from the one thou hast exalted.	false	1044.44	1073.77	20
