475_124999_000000_000000	Mine shares seems to fit the case better than ploughshares.	Mine shares seems to fit the case better than ploughshares.	false	4.53	10.29	18.777315
475_124999_000011_000000	Reginald recalled the lilies of the field, "which simply sat and looked beautiful, and defied competition."	Reginald recalled the lilies of the field, "which simply sat and looked beautiful, and defied competition."	true	156.35	163.69	19.152039
475_124999_000012_000000	"But that is not an example for us to follow," gasped Amabel.	"But that is not an example for us to follow," gasped Amabel.	true	164.6	169.63	18.401905
475_124999_000013_000000	"Unfortunately, we can't afford to.	"Unfortunately, we can't afford to.	true	170.63	173.29	19.430277
475_124999_000013_000001	You don't know what a world of trouble I take in trying to rival the lilies in their artistic simplicity."	You don't know what a world of trouble I take in trying to rival the lilies in their artistic simplicity."	true	173.51	180.31	19.155985
475_124999_000014_000000	"You are really indecently vain of your appearance.	"You are really indecently vain of your appearance.	false	181.76	184.93	16
475_124999_000014_000001	A good life is infinitely preferable to good looks."	A good life is infinitely preferable to good looks."	true	185.06	189.1	20.77981
475_124999_000015_000000	"You agree with me that the two are incompatible.	"You agree with me that the two are incompatible.	true	189.74	192.7	19.978598
475_124999_000015_000001	I always say beauty is only sin deep."	I always say beauty is only sin deep."	false	192.95	199.32	18.63001
475_124999_000016_000000	Amabel began to realise that the battle is not always to the strong-minded.	Amabel began to realise that the battle is not always to the strong minded.	true	199.32	204.4	19
475_124999_000016_000001	With the immemorial resource of her sex, she abandoned the frontal attack, and laid stress on her unassisted labours in parish work, her mental loneliness, her discouragements--and at the right moment she produced strawberries and cream.	With the immemorial resource of her sex, she abandoned the frontal attack, and laid stress on her unassisted labours in parish work, her mental loneliness, her discouragements-and at the right moment she produced strawberries and cream.	true	205.25	221.65	19.286064
475_124999_000016_000002	Reginald was obviously affected by the latter, and when his preceptress suggested that he might begin the strenuous life by helping her to supervise the annual outing of the bucolic infants who composed the local choir, his eyes shone with the dangerous enthusiasm of a convert.	Reginald was obviously affected by the latter, and when his preceptress suggested that he might begin the strenuous life by helping her to supervise the annual outing of the bucolic infants who composed the local choir, his eyes shone with the dangerous enthusiasm of a convert.	true	222.65	240.91	19.486933
475_124999_000017_000000	Reginald entered on the strenuous life alone, as far as Amabel was concerned.	Reginald entered on the strenuous life alone, as far as Amabel was concerned.	true	244.49	249.28	17
475_124999_000017_000001	The most virtuous women are not proof against damp grass, and Amabel kept her bed with a cold.	The most virtuous women are not proof against damp grass, and Amabel kept her bed with a cold.	false	249.65	256.57	19.80902
475_124999_000017_000002	Reginald called it a dispensation; it had been the dream of his life to stage-manage a choir outing.	Reginald called it a dispensation; it had been the dream of his life to stage manage a choir outing.	false	257.21	264.97	18.740517
475_124999_000017_000003	With strategic insight, he led his shy, bullet-headed charges to the nearest woodland stream and allowed them to bathe; then he seated himself on their discarded garments and discoursed on their immediate future, which, he decreed, was to embrace a Bacchanalian procession through the village. Forethought had provided the occasion with a supply of tin whistles, but the introduction of a he-goat from a neighbouring orchard was a brilliant afterthought.	With strategic insight, he led his shy, bullet headed charges to the nearest woodland stream and allowed them to bathe; then he seated himself on their discarded garments and discoursed on their immediate future, which, he decreed, was to embrace a Bacchanalian procession through the village. Forethought had provided the occasion with a supply of tin whistles, but the introduction of a he goat from a neighbouring orchard was a brilliant afterthought.	false	265.28	294.94	19.245079
475_124999_000017_000004	Properly, Reginald explained, there should have been an outfit of panther skins; as it was, those who had spotted handkerchiefs were allowed to wear them, which they did with thankfulness.	Properly, Reginald explained, there should have been an outfit of panther skins; as it was, those who had spotted handkerchiefs were allowed to wear them, which they did with thankfulness.	true	296.06	308.11	19.603815
475_124999_000017_000005	Reginald recognised the impossibility, in the time at his disposal, of teaching his shivering neophytes a chant in honour of Bacchus, so he started them off with a more familiar, if less appropriate, temperance hymn.	Reginald recognised the impossibility, in the time at his disposal, of teaching his shivering neophytes a chant in honour of Bacchus, so he started them off with a more familiar, if less appropriate, temperance hymn.	true	309.47	324.19	18.801214
475_124999_000017_000006	After all, he said, it is the spirit of the thing that counts.	After all, he said, it is the spirit of the thing that counts.	true	325.25	329.11	20.514599
475_124999_000017_000007	Following the etiquette of dramatic authors on first nights, he remained discreetly in the background while the procession, with extreme diffidence and the goat, wound its way lugubriously towards the village.	Following the etiquette of dramatic authors on first nights, he remained discreetly in the background while the procession, with extreme diffidence and the goat, wound its way lugubriously towards the village.	true	330.53	342.76	20.312382
475_124999_000017_000008	The singing had died down long before the main street was reached, but the miserable wailing of pipes brought the inhabitants to their doors.	The singing had died down long before the main street was reached, but the miserable wailing of pipes brought the inhabitants to their doors.	true	343.67	352.93	19.584784
475_124999_000017_000009	Reginald said he had seen something like it in pictures; the villagers had seen nothing like it in their lives, and remarked as much freely.	Reginald said he had seen something like it in pictures; the villagers had seen nothing like it in their lives, and remarked as much freely.	true	354.47	363.52	18.222008
475_124999_000018_000000	Reginald's family never forgave him.	Reginald's family never forgave him.	true	364.4	367.72	17.681639
475_124999_000018_000001	They had no sense of humour.	They had no sense of humour.	false	368.09	377.97	16.992435
