7247_77778_000003_000000	XIII	thirteen
7247_77778_000014_000012	I put on my hat and walked out refreshed, having slept from five-twenty until twelve, or six hours and forty minutes straight.	I put on my hat and walked out refreshed, having slept from five twenty until twelve, or six hours and forty minutes straight.
7247_77778_000014_000014	The curtain had hardly risen before I retired to the little ante-room of the box our party occupied and dozed off into a fathomless sleep.	The curtain had hardly risen before I retired to the little ante room of the box our party occupied and dozed off into a fathomless sleep.
7247_77778_000014_000015	I didn't wake up this time until nine o'clock the next day, the rest of the party having gone off without awakening me as a sort of joke.	I didn't wake up this time until nine o'clock the next day, the rest of the party having gone off without awakening me as a sort of joke.
7247_77778_000014_000016	Clearly Wagner, according to my way of thinking, then, deserves to rank among the most effective narcotics known to modern science.	Clearly Wagner, according to my way of thinking, then, deserves to rank among the most effective narcotics known to modern science.
7247_77778_000014_000018	And, best of all, there was no reaction: no splitting headache or shaky hand the next day, but just the calm, quiet, contented feeling that goes with the sense of having got completely rested up."	And, best of all, there was no reaction: no splitting headache or shaky hand the next day, but just the calm, quiet, contented feeling that goes with the sense of having got completely rested up."
7247_77778_000015_000000	"You run a dreadful risk, however," said the Doctor, with a sarcastic smile.	"You run a dreadful risk, however," said the Doctor, with a sarcastic smile.
7247_77778_000015_000001	"The Wagner habit is a terrible thing to acquire, Mr. Idiot."	"The Wagner habit is a terrible thing to acquire, mr Idiot."
7247_77778_000016_000000	"That may be," said the Idiot; "worse than the sulfonal habit by a great deal, I am told; but I am in no danger of becoming a victim to it while it costs from five to seven dollars a dose.	"That may be," said the Idiot; "worse than the sulfonal habit by a great deal, I am told; but I am in no danger of becoming a victim to it while it costs from five to seven dollars a dose.
7247_77778_000016_000002	He had spent the day down at Asbury Park, and had eaten not wisely but too copiously.	He had spent the day down at Asbury Park, and had eaten not wisely but too copiously.
7247_77778_000016_000007	At the second bar of the 'Lost Chord' the awful pain that was gradually gnawing away at his vitals seemed to lose its poignancy in the face of the greater suffering, and physical relief was instant.	At the second bar of the 'Lost Chord' the awful pain that was gradually gnawing away at his vitals seemed to lose its poignancy in the face of the greater suffering, and physical relief was instant.
7247_77778_000016_000008	As the musician proceeded, the internal disorder yielded gradually to the external and finally passed away, entirely leaving him so far from prostrate that by 1 A. M. he was out of bed and actually girding himself with a shot-gun and an Indian club to go up-stairs for a physical encounter with the cornetist."	As the musician proceeded, the internal disorder yielded gradually to the external and finally passed away, entirely leaving him so far from prostrate that by one a m he was out of bed and actually girding himself with a shot gun and an Indian club to go up stairs for a physical encounter with the cornetist."
7247_77778_000017_000000	"And you reason from this that Sullivan's 'Lost Chord' is a cure for cholera morbus, eh?" sneered the Doctor.	"And you reason from this that Sullivan's 'Lost Chord' is a cure for cholera morbus, eh?" sneered the Doctor.
7247_77778_000018_000000	"It would seem so," said the Idiot.	"It would seem so," said the Idiot.
7247_77778_000018_000003	Scientific experiment will demonstrate before long just what composition will cure specific ills.	Scientific experiment will demonstrate before long just what composition will cure specific ills.
7247_77778_000018_000005	Instead of dosing the kids with cod-liver oil when they need a tonic, they will be set to work at a mechanical piano and braced up on 'Narcissus.' 'There'll Be a Hot Time in the Old Town To-night' will become an effective remedy for a sudden chill.	Instead of dosing the kids with cod liver oil when they need a tonic, they will be set to work at a mechanical piano and braced up on 'Narcissus.' 'There'll Be a Hot Time in the Old Town To night' will become an effective remedy for a sudden chill.
7247_77778_000018_000007	Tchaikowsky, to be well shaken before taken, will be an effective remedy for a torpid liver, and the man or woman who suffers from lassitude will doubtless find in the lively airs of our two-step composers an efficient tonic to bring their vitality up to a high standard of activity.	Tchaikowsky, to be well shaken before taken, will be an effective remedy for a torpid liver, and the man or woman who suffers from lassitude will doubtless find in the lively airs of our two step composers an efficient tonic to bring their vitality up to a high standard of activity.
7247_77778_000019_000000	"And the drug stores will be driven out of business, I presume," said the Doctor.	"And the drug stores will be driven out of business, I presume," said the Doctor.
7247_77778_000020_000000	"No," said the Idiot.	"No," said the Idiot.
7247_77778_000020_000001	"They will substitute music for drugs, that is all.	"They will substitute music for drugs, that is all.
7247_77778_000020_000003	This alone will serve to popularize sickness, and, instead of being driven out of business, their trade will pick up."	This alone will serve to popularize sickness, and, instead of being driven out of business, their trade will pick up."
7247_77778_000021_000000	"And the doctor, and the doctor's gig, and all the appurtenances of his profession--what becomes of them?" demanded the Doctor.	"And the doctor, and the doctor's gig, and all the appurtenances of his profession-what becomes of them?" demanded the Doctor.
7247_77778_000023_000000	"And why, pray?" asked the Doctor.	"And why, pray?" asked the Doctor.
7247_77778_000023_000001	"Because there are no more drugs, must the physician walk?"	"Because there are no more drugs, must the physician walk?"
7247_77778_000024_000000	"Not at all," said the Idiot.	"Not at all," said the Idiot.
