480_126336_000000_000000	KING GRISLY-BEARD	KING GRISLY BEARD	true	25.845	27.49	19.709146
480_126336_000004_000000	Two days after there came by a travelling fiddler, who began to play under the window and beg alms; and when the king heard him, he said, 'Let him come in.' So they brought in a dirty-looking fellow; and when he had sung before the king and the princess, he begged a boon.	Two days after there came by a travelling fiddler, who began to play under the window and beg alms; and when the king heard him, he said, 'Let him come in.' So they brought in a dirty looking fellow; and when he had sung before the king and the princess, he begged a boon.	false	163.1	184.51	20.57181
480_126336_000004_000001	Then the king said, 'You have sung so well, that I will give you my daughter for your wife.' The princess begged and prayed; but the king said, 'I have sworn to give you to the first comer, and I will keep my word.' So words and tears were of no avail; the parson was sent for, and she was married to the fiddler.	Then the king said, 'You have sung so well, that I will give you my daughter for your wife.' The princess begged and prayed; but the king said, 'I have sworn to give you to the first comer, and I will keep my word.' So words and tears were of no avail; the parson was sent for, and she was married to the fiddler.	false	185.93	214.21	21.140278
480_126336_000004_000002	When this was over the king said, 'Now get ready to go--you must not stay here--you must travel on with your husband.'	When this was over the king said, 'Now get ready to go-you must not stay here-you must travel on with your husband.'	true	215.24	223.54	22.112404
480_126336_000005_000000	Then the fiddler went his way, and took her with him, and they soon came to a great wood.	Then the fiddler went his way, and took her with him, and they soon came to a great wood.	false	225.68	231.46	21.158716
480_126336_000005_000001	'Pray,' said she, 'whose is this wood?' 'It belongs to King Grisly-beard,' answered he; 'hadst thou taken him, all had been thine.' 'Ah! unlucky wretch that I am!' sighed she; 'would that I had married King Grisly-beard!' Next they came to some fine meadows.	'Pray,' said she, 'whose is this wood?' 'It belongs to King Grisly beard,' answered he; 'hadst thou taken him, all had been thine.' 'Ah! unlucky wretch that I am!' sighed she; 'would that I had married King Grisly beard!' Next they came to some fine meadows.	false	232.13	257.44	20.427082
480_126336_000005_000002	'Whose are these beautiful green meadows?' said she.	'Whose are these beautiful green meadows?' said she.	true	258.53	262.18	22.01183
480_126336_000005_000003	'They belong to King Grisly-beard, hadst thou taken him, they had all been thine.' 'Ah! unlucky wretch that I am!' said she; 'would that I had married King Grisly-beard!'	'They belong to King Grisly beard, hadst thou taken him, they had all been thine.' 'Ah! unlucky wretch that I am!' said she; 'would that I had married King Grisly beard!'	false	263.78	278.35	21.046093
480_126336_000006_000000	Then they came to a great city.	Then they came to a great city.	true	280.55	282.58	20.432503
480_126336_000006_000001	'Whose is this noble city?' said she. 'It belongs to King Grisly-beard; hadst thou taken him, it had all been thine.' 'Ah! wretch that I am!' sighed she; 'why did I not marry King Grisly-beard?' 'That is no business of mine,' said the fiddler: 'why should you wish for another husband?	'Whose is this noble city?' said she. 'It belongs to King Grisly beard; hadst thou taken him, it had all been thine.' 'Ah! wretch that I am!' sighed she; 'why did I not marry King Grisly beard?' 'That is no business of mine,' said the fiddler: 'why should you wish for another husband?	false	283.82	310.57	21.77076
480_126336_000006_000002	Am not I good enough for you?'	Am not I good enough for you?'	true	311.06	313.21	20.029799
480_126336_000007_000000	At last they came to a small cottage.	At last they came to a small cottage.	true	316.13	318.73	25.56505
480_126336_000007_000001	'What a paltry place!' said she; 'to whom does that little dirty hole belong?' Then the fiddler said, 'That is your and my house, where we are to live.' 'Where are your servants?' cried she.	'What a paltry place!' said she; 'to whom does that little dirty hole belong?' Then the fiddler said, 'That is your and my house, where we are to live.' 'Where are your servants?' cried she.	false	319.73	336.97	20.860704
480_126336_000007_000002	'What do we want with servants?' said he; 'you must do for yourself whatever is to be done.	'What do we want with servants?' said he; 'you must do for yourself whatever is to be done.	false	337.61	343.87	21.028069
480_126336_000007_000003	Now make the fire, and put on water and cook my supper, for I am very tired.' But the princess knew nothing of making fires and cooking, and the fiddler was forced to help her.	Now make the fire, and put on water and cook my supper, for I am very tired.' But the princess knew nothing of making fires and cooking, and the fiddler was forced to help her.	false	344.84	359.08	22.834301
480_126336_000007_000004	When they had eaten a very scanty meal they went to bed; but the fiddler called her up very early in the morning to clean the house.	When they had eaten a very scanty meal they went to bed; but the fiddler called her up very early in the morning to clean the house.	true	360.44	368.56	22.36767
480_126336_000007_000005	Thus they lived for two days: and when they had eaten up all there was in the cottage, the man said, 'Wife, we can't go on thus, spending money and earning nothing.	Thus they lived for two days: and when they had eaten up all there was in the cottage, the man said, 'Wife, we can't go on thus, spending money and earning nothing.	false	369.77	382.69	22.084177
480_126336_000007_000006	You must learn to weave baskets.' Then he went out and cut willows, and brought them home, and she began to weave; but it made her fingers very sore.	You must learn to weave baskets.' Then he went out and cut willows, and brought them home, and she began to weave; but it made her fingers very sore.	true	383.45	395.61	20.414263
480_126336_000007_000007	'I see this work won't do,' said he: 'try and spin; perhaps you will do that better.' So she sat down and tried to spin; but the threads cut her tender fingers till the blood ran.	'I see this work won't do,' said he: 'try and spin; perhaps you will do that better.' So she sat down and tried to spin; but the threads cut her tender fingers till the blood ran.	false	395.61	410.08	22.346893
480_126336_000007_000008	'See now,' said the fiddler, 'you are good for nothing; you can do no work: what a bargain I have got!	'See now,' said the fiddler, 'you are good for nothing; you can do no work: what a bargain I have got!	false	411.35	418.66	23.491896
480_126336_000007_000009	However, I'll try and set up a trade in pots and pans, and you shall stand in the market and sell them.' 'Alas!' sighed she, 'if any of my father's court should pass by and see me standing in the market, how they will laugh at me!'	However, I'll try and set up a trade in pots and pans, and you shall stand in the market and sell them.' 'Alas!' sighed she, 'if any of my father's court should pass by and see me standing in the market, how they will laugh at me!'	false	420.26	436.39	21.935316
480_126336_000008_000000	But her husband did not care for that, and said she must work, if she did not wish to die of hunger.	But her husband did not care for that, and said she must work, if she did not wish to die of hunger.	true	438.92	444.46	22.795769
480_126336_000008_000001	At first the trade went well; for many people, seeing such a beautiful woman, went to buy her wares, and paid their money without thinking of taking away the goods.	At first the trade went well; for many people, seeing such a beautiful woman, went to buy her wares, and paid their money without thinking of taking away the goods.	true	446.15	455.83	21.327583
480_126336_000008_000002	They lived on this as long as it lasted; and then her husband bought a fresh lot of ware, and she sat herself down with it in the corner of the market; but a drunken soldier soon came by, and rode his horse against her stall, and broke all her goods into a thousand pieces.	They lived on this as long as it lasted; and then her husband bought a fresh lot of ware, and she sat herself down with it in the corner of the market; but a drunken soldier soon came by, and rode his horse against her stall, and broke all her goods into a thousand pieces.	false	457.85	476.16	20.544863
480_126336_000008_000003	Then she began to cry, and knew not what to do.	Then she began to cry, and knew not what to do.	false	476.16	480.82	21.654173
480_126336_000008_000004	'Ah! what will become of me?' said she; 'what will my husband say?' So she ran home and told him all.	'Ah! what will become of me?' said she; 'what will my husband say?' So she ran home and told him all.	true	482.33	492.49	20.601694
480_126336_000008_000005	'Who would have thought you would have been so silly,' said he, 'as to put an earthenware stall in the corner of the market, where everybody passes? but let us have no more crying; I see you are not fit for this sort of work, so I have been to the king's palace, and asked if they did not want a kitchen-maid; and they say they will take you, and there you will have plenty to eat.'	'Who would have thought you would have been so silly,' said he, 'as to put an earthenware stall in the corner of the market, where everybody passes? but let us have no more crying; I see you are not fit for this sort of work, so I have been to the king's palace, and asked if they did not want a kitchen maid; and they say they will take you, and there you will have plenty to eat.'	false	494.3	518.83	21.58767
480_126336_000009_000000	Thus the princess became a kitchen-maid, and helped the cook to do all the dirtiest work; but she was allowed to carry home some of the meat that was left, and on this they lived.	Thus the princess became a kitchen maid, and helped the cook to do all the dirtiest work; but she was allowed to carry home some of the meat that was left, and on this they lived.	true	520.85	531.94	22.46532
480_126336_000010_000000	She had not been there long before she heard that the king's eldest son was passing by, going to be married; and she went to one of the windows and looked out.	She had not been there long before she heard that the king's eldest son was passing by, going to be married; and she went to one of the windows and looked out.	false	533.45	543.34	21.259514
480_126336_000010_000001	Everything was ready, and all the pomp and brightness of the court was there.	Everything was ready, and all the pomp and brightness of the court was there.	true	544.22	549.13	21.349781
480_126336_000010_000002	Then she bitterly grieved for the pride and folly which had brought her so low.	Then she bitterly grieved for the pride and folly which had brought her so low.	true	550.1	555.22	20.31681
480_126336_000010_000003	And the servants gave her some of the rich meats, which she put into her basket to take home.	And the servants gave her some of the rich meats, which she put into her basket to take home.	false	556.7	561.79	23.319283
480_126336_000011_000000	All on a sudden, as she was going out, in came the king's son in golden clothes; and when he saw a beautiful woman at the door, he took her by the hand, and said she should be his partner in the dance; but she trembled for fear, for she saw that it was King Grisly-beard, who was making sport of her.	All on a sudden, as she was going out, in came the king's son in golden clothes; and when he saw a beautiful woman at the door, he took her by the hand, and said she should be his partner in the dance; but she trembled for fear, for she saw that it was King Grisly beard, who was making sport of her.	false	563.54	585.1	21.421705
480_126336_000011_000001	However, he kept fast hold, and led her in; and the cover of the basket came off, so that the meats in it fell about.	However, he kept fast hold, and led her in; and the cover of the basket came off, so that the meats in it fell about.	false	587.24	595.21	23.308027
480_126336_000011_000002	Then everybody laughed and jeered at her; and she was so abashed, that she wished herself a thousand feet deep in the earth.	Then everybody laughed and jeered at her; and she was so abashed, that she wished herself a thousand feet deep in the earth.	true	596.15	604.3	20.323364
480_126336_000011_000003	She sprang to the door to run away; but on the steps King Grisly-beard overtook her, and brought her back and said, 'Fear me not!	She sprang to the door to run away; but on the steps King Grisly beard overtook her, and brought her back and said, 'Fear me not!	false	604.76	614.17	24.021095
480_126336_000011_000004	I am the fiddler who has lived with you in the hut.	I am the fiddler who has lived with you in the hut.	false	615.44	619.06	22.18476
480_126336_000011_000005	I brought you there because I really loved you.	I brought you there because I really loved you.	true	620.39	623.68	20.641748
480_126336_000011_000006	I am also the soldier that overset your stall.	I am also the soldier that overset your stall.	true	624.77	627.97	20.482838
480_126336_000011_000007	I have done all this only to cure you of your silly pride, and to show you the folly of your ill-treatment of me.	I have done all this only to cure you of your silly pride, and to show you the folly of your ill treatment of me.	true	629.45	637.03	21
480_126336_000011_000008	Now all is over: you have learnt wisdom, and it is time to hold our marriage feast.'	Now all is over: you have learnt wisdom, and it is time to hold our marriage feast.'	true	637.76	645.61	20.162945
480_126336_000012_000000	Then the chamberlains came and brought her the most beautiful robes; and her father and his whole court were there already, and welcomed her home on her marriage.	Then the chamberlains came and brought her the most beautiful robes; and her father and his whole court were there already, and welcomed her home on her marriage.	true	646.37	657.16	21.696009
480_126336_000012_000001	Joy was in every face and every heart.	Joy was in every face and every heart.	true	658.1	661.36	22.037739
480_126336_000012_000002	The feast was grand; they danced and sang; all were merry; and I only wish that you and I had been of the party.	The feast was grand; they danced and sang; all were merry; and I only wish that you and I had been of the party.	false	661.61	672.3	20.991549
480_126336_000013_000000	IRON HANS	IRON HANS	false	672.3	672.36	-20
480_126336_000014_000000	There was once upon a time a king who had a great forest near his palace, full of all kinds of wild animals.	There was once upon a time a king who had a great forest near his palace, full of all kinds of wild animals.	false	672.36	673.05	-20
480_126336_000014_000001	One day he sent out a huntsman to shoot him a roe, but he did not come back.	One day he sent out a huntsman to shoot him a roe, but he did not come back.	false	673.05	673.62	-20
480_126336_000014_000002	'Perhaps some accident has befallen him,' said the king, and the next day he sent out two more huntsmen who were to search for him, but they too stayed away. Then on the third day, he sent for all his huntsmen, and said: 'Scour the whole forest through, and do not give up until you have found all three.' But of these also, none came home again, none were seen again. From that time forth, no one would any longer venture into the forest, and it lay there in deep stillness and solitude, and nothing was seen of it, but sometimes an eagle or a hawk flying over it.	'Perhaps some accident has befallen him,' said the king, and the next day he sent out two more huntsmen who were to search for him, but they too stayed away. Then on the third day, he sent for all his huntsmen, and said: 'Scour the whole forest through, and do not give up until you have found all three.' But of these also, none came home again, none were seen again. From that time forth, no one would any longer venture into the forest, and it lay there in deep stillness and solitude, and nothing was seen of it, but sometimes an eagle or a hawk flying over it.	false	673.62	675.12	21.259398
480_126336_000014_000003	This lasted for many years, when an unknown huntsman announced himself to the king as seeking a situation, and offered to go into the dangerous forest.	This lasted for many years, when an unknown huntsman announced himself to the king as seeking a situation, and offered to go into the dangerous forest.	false	675.12	675.12	
480_126336_000014_000004	The king, however, would not give his consent, and said: 'It is not safe in there; I fear it would fare with you no better than with the others, and you would never come out again.' The huntsman replied: 'Lord, I will venture it at my own risk, of fear I know nothing.'	The king, however, would not give his consent, and said: 'It is not safe in there; I fear it would fare with you no better than with the others, and you would never come out again.' The huntsman replied: 'Lord, I will venture it at my own risk, of fear I know nothing.'	false	675.12	676.35	22.009344
