6727_10344_000002_000000	QUESTION 67	QUESTION sixty seven
6727_10344_000052_000008	It was fitting, then, as an evidence of the Divine wisdom, that among the works of distinction the production of light should take first place, since light is a form of the primary body, and because it is more common quality.	It was fitting, then, as an evidence of the Divine wisdom, that among the works of distinction the production of light should take first place, since light is a form of the primary body, and because it is more common quality.
6727_10344_000053_000001	And there is yet a fourth, already touched upon in the objections; that day cannot be unless light exists, which was made therefore on the first day.	And there is yet a fourth, already touched upon in the objections; that day cannot be unless light exists, which was made therefore on the first day.
6727_10344_000055_000001	But this cannot well be maintained, as in the beginning of Genesis Holy Scripture records the institution of that order of nature which henceforth is to endure.	But this cannot well be maintained, as in the beginning of genesis Holy Scripture records the institution of that order of nature which henceforth is to endure.
6727_10344_000055_000002	We cannot, then, say that what was made at that time afterwards ceased to exist.	We cannot, then, say that what was made at that time afterwards ceased to exist.
6727_10344_000056_000000	Others, therefore, held that this luminous nebula continues in existence, but so closely attached to the sun as to be indistinguishable.	Others, therefore, held that this luminous nebula continues in existence, but so closely attached to the sun as to be indistinguishable.
6727_10344_000056_000002	On this account it is held by some that the sun's body was made out of this nebula.	On this account it is held by some that the sun's body was made out of this nebula.
6727_10344_000056_000003	This, too, is impossible to those at least who believe that the sun is different in its nature from the four elements, and naturally incorruptible.	This, too, is impossible to those at least who believe that the sun is different in its nature from the four elements, and naturally incorruptible.
6727_10344_000056_000004	For in that case its matter cannot take on another form.	For in that case its matter cannot take on another form.
6727_10344_000057_000002	Thus, then, in the production of this light a triple distinction was made between light and darkness. First, as to the cause, forasmuch as in the substance of the sun we have the cause of light, and in the opaque nature of the earth the cause of darkness.	Thus, then, in the production of this light a triple distinction was made between light and darkness. First, as to the cause, forasmuch as in the substance of the sun we have the cause of light, and in the opaque nature of the earth the cause of darkness.
6727_10344_000058_000003	Nor does the nature of a luminous body seem to admit of the withdrawal of light, so long as the body is actually present; though this might be effected by a miracle.	Nor does the nature of a luminous body seem to admit of the withdrawal of light, so long as the body is actually present; though this might be effected by a miracle.
6727_10344_000058_000006	We hold, then, that the movement of the heavens is twofold.	We hold, then, that the movement of the heavens is twofold.
6727_10344_000058_000007	Of these movements, one is common to the entire heaven, and is the cause of day and night.	Of these movements, one is common to the entire heaven, and is the cause of day and night.
6727_10344_000058_000008	This, as it seems, had its beginning on the first day.	This, as it seems, had its beginning on the first day.
6727_10344_000058_000009	The other varies in proportion as it affects various bodies, and by its variations is the cause of the succession of days, months, and years.	The other varies in proportion as it affects various bodies, and by its variations is the cause of the succession of days, months, and years.
6727_10344_000058_000010	Thus it is, that in the account of the first day the distinction between day and night alone is mentioned; this distinction being brought about by the common movement of the heavens.	Thus it is, that in the account of the first day the distinction between day and night alone is mentioned; this distinction being brought about by the common movement of the heavens.
