781_127518_000003_000000	I Go to Bristol	I Go to Bristol
781_127518_000013_000000	Blandly himself found the HISPANIOLA, and by the most admirable management got her for the merest trifle.	Blandly himself found the HISPANIOLA, and by the most admirable management got her for the merest trifle.
781_127518_000013_000001	There is a class of men in Bristol monstrously prejudiced against Blandly.	There is a class of men in Bristol monstrously prejudiced against Blandly.
781_127518_000013_000002	They go the length of declaring that this honest creature would do anything for money, that the HISPANIOLA belonged to him, and that he sold it me absurdly high--the most transparent calumnies.	They go the length of declaring that this honest creature would do anything for money, that the HISPANIOLA belonged to him, and that he sold it me absurdly high-the most transparent calumnies.
781_127518_000013_000003	None of them dare, however, to deny the merits of the ship.	None of them dare, however, to deny the merits of the ship.
781_127518_000014_000001	The workpeople, to be sure--riggers and what not--were most annoyingly slow; but time cured that.	The workpeople, to be sure-riggers and what not-were most annoyingly slow; but time cured that.
781_127518_000014_000002	It was the crew that troubled me.	It was the crew that troubled me.
781_127518_000016_000000	I was standing on the dock, when, by the merest accident, I fell in talk with him.	I was standing on the dock, when, by the merest accident, I fell in talk with him.
781_127518_000016_000001	I found he was an old sailor, kept a public-house, knew all the seafaring men in Bristol, had lost his health ashore, and wanted a good berth as cook to get to sea again.	I found he was an old sailor, kept a public house, knew all the seafaring men in Bristol, had lost his health ashore, and wanted a good berth as cook to get to sea again.
781_127518_000017_000001	Long John Silver, he is called, and has lost a leg; but that I regarded as a recommendation, since he lost it in his country's service, under the immortal Hawke.	Long john Silver, he is called, and has lost a leg; but that I regarded as a recommendation, since he lost it in his country's service, under the immortal Hawke.
781_127518_000017_000002	He has no pension, Livesey.	He has no pension, Livesey.
781_127518_000018_000000	Well, sir, I thought I had only found a cook, but it was a crew I had discovered.	Well, sir, I thought I had only found a cook, but it was a crew I had discovered.
781_127518_000018_000001	Between Silver and myself we got together in a few days a company of the toughest old salts imaginable--not pretty to look at, but fellows, by their faces, of the most indomitable spirit.	Between Silver and myself we got together in a few days a company of the toughest old salts imaginable-not pretty to look at, but fellows, by their faces, of the most indomitable spirit.
781_127518_000018_000002	I declare we could fight a frigate.	I declare we could fight a frigate.
781_127518_000019_000001	He showed me in a moment that they were just the sort of fresh-water swabs we had to fear in an adventure of importance.	He showed me in a moment that they were just the sort of fresh water swabs we had to fear in an adventure of importance.
781_127518_000020_000000	I am in the most magnificent health and spirits, eating like a bull, sleeping like a tree, yet I shall not enjoy a moment till I hear my old tarpaulins tramping round the capstan.	I am in the most magnificent health and spirits, eating like a bull, sleeping like a tree, yet I shall not enjoy a moment till I hear my old tarpaulins tramping round the capstan.
781_127518_000020_000001	Seaward, ho!	Seaward, ho!
781_127518_000020_000002	Hang the treasure!	Hang the treasure!
781_127518_000020_000004	So now, Livesey, come post; do not lose an hour, if you respect me.	So now, Livesey, come post; do not lose an hour, if you respect me.
781_127518_000021_000000	Let young Hawkins go at once to see his mother, with Redruth for a guard; and then both come full speed to Bristol. John Trelawney	Let young Hawkins go at once to see his mother, with Redruth for a guard; and then both come full speed to Bristol. john Trelawney
781_127518_000022_000000	Postscript--I did not tell you that Blandly, who, by the way, is to send a consort after us if we don't turn up by the end of August, had found an admirable fellow for sailing master--a stiff man, which I regret, but in all other respects a treasure.	Postscript-I did not tell you that Blandly, who, by the way, is to send a consort after us if we don't turn up by the end of August, had found an admirable fellow for sailing master-a stiff man, which I regret, but in all other respects a treasure.
781_127518_000022_000001	Long John Silver unearthed a very competent man for a mate, a man named Arrow.	Long john Silver unearthed a very competent man for a mate, a man named Arrow.
781_127518_000022_000002	I have a boatswain who pipes, Livesey; so things shall go man-o'-war fashion on board the good ship HISPANIOLA.	I have a boatswain who pipes, Livesey; so things shall go man o'-war fashion on board the good ship HISPANIOLA.
781_127518_000023_000000	I forgot to tell you that Silver is a man of substance; I know of my own knowledge that he has a banker's account, which has never been overdrawn.	I forgot to tell you that Silver is a man of substance; I know of my own knowledge that he has a banker's account, which has never been overdrawn.
781_127518_000023_000001	He leaves his wife to manage the inn; and as she is a woman of colour, a pair of old bachelors like you and I may be excused for guessing that it is the wife, quite as much as the health, that sends him back to roving. J. T.	He leaves his wife to manage the inn; and as she is a woman of colour, a pair of old bachelors like you and I may be excused for guessing that it is the wife, quite as much as the health, that sends him back to roving. j t
781_127518_000024_000000	P.P.S.--Hawkins may stay one night with his mother. J. T.	p p s--Hawkins may stay one night with his mother. j t
781_127518_000025_000000	You can fancy the excitement into which that letter put me.	You can fancy the excitement into which that letter put me.
781_127518_000025_000001	I was half beside myself with glee; and if ever I despised a man, it was old Tom Redruth, who could do nothing but grumble and lament.	I was half beside myself with glee; and if ever I despised a man, it was old Tom Redruth, who could do nothing but grumble and lament.
781_127518_000025_000002	Any of the under-gamekeepers would gladly have changed places with him; but such was not the squire's pleasure, and the squire's pleasure was like law among them all.	Any of the under gamekeepers would gladly have changed places with him; but such was not the squire's pleasure, and the squire's pleasure was like law among them all.
781_127518_000025_000003	Nobody but old Redruth would have dared so much as even to grumble.	Nobody but old Redruth would have dared so much as even to grumble.
781_127518_000026_000000	The next morning he and I set out on foot for the Admiral Benbow, and there I found my mother in good health and spirits.	The next morning he and I set out on foot for the Admiral Benbow, and there I found my mother in good health and spirits.
781_127518_000026_000001	The captain, who had so long been a cause of so much discomfort, was gone where the wicked cease from troubling.	The captain, who had so long been a cause of so much discomfort, was gone where the wicked cease from troubling.
781_127518_000026_000002	The squire had had everything repaired, and the public rooms and the sign repainted, and had added some furniture--above all a beautiful armchair for mother in the bar.	The squire had had everything repaired, and the public rooms and the sign repainted, and had added some furniture-above all a beautiful armchair for mother in the bar.
781_127518_000026_000003	He had found her a boy as an apprentice also so that she should not want help while I was gone.	He had found her a boy as an apprentice also so that she should not want help while I was gone.
781_127518_000027_000000	It was on seeing that boy that I understood, for the first time, my situation.	It was on seeing that boy that I understood, for the first time, my situation.
781_127518_000027_000002	I am afraid I led that boy a dog's life, for as he was new to the work, I had a hundred opportunities of setting him right and putting him down, and I was not slow to profit by them.	I am afraid I led that boy a dog's life, for as he was new to the work, I had a hundred opportunities of setting him right and putting him down, and I was not slow to profit by them.
781_127518_000028_000000	The night passed, and the next day, after dinner, Redruth and I were afoot again and on the road.	The night passed, and the next day, after dinner, Redruth and I were afoot again and on the road.
781_127518_000028_000002	One of my last thoughts was of the captain, who had so often strode along the beach with his cocked hat, his sabre-cut cheek, and his old brass telescope. Next moment we had turned the corner and my home was out of sight.	One of my last thoughts was of the captain, who had so often strode along the beach with his cocked hat, his sabre cut cheek, and his old brass telescope. Next moment we had turned the corner and my home was out of sight.
781_127518_000029_000000	The mail picked us up about dusk at the Royal George on the heath.	The mail picked us up about dusk at the Royal George on the heath.
781_127518_000031_000000	"Bristol," said Tom.	"Bristol," said Tom.
781_127518_000031_000001	"Get down."	"Get down."
781_127518_000032_000000	Mr. Trelawney had taken up his residence at an inn far down the docks to superintend the work upon the schooner.	mr Trelawney had taken up his residence at an inn far down the docks to superintend the work upon the schooner.
781_127518_000032_000001	Thither we had now to walk, and our way, to my great delight, lay along the quays and beside the great multitude of ships of all sizes and rigs and nations.	Thither we had now to walk, and our way, to my great delight, lay along the quays and beside the great multitude of ships of all sizes and rigs and nations.
781_127518_000032_000002	In one, sailors were singing at their work, in another there were men aloft, high over my head, hanging to threads that seemed no thicker than a spider's. Though I had lived by the shore all my life, I seemed never to have been near the sea till then.	In one, sailors were singing at their work, in another there were men aloft, high over my head, hanging to threads that seemed no thicker than a spider's. Though I had lived by the shore all my life, I seemed never to have been near the sea till then.
781_127518_000033_000000	And I was going to sea myself, to sea in a schooner, with a piping boatswain and pig-tailed singing seamen, to sea, bound for an unknown island, and to seek for buried treasure!	And I was going to sea myself, to sea in a schooner, with a piping boatswain and pig tailed singing seamen, to sea, bound for an unknown island, and to seek for buried treasure!
781_127518_000034_000000	While I was still in this delightful dream, we came suddenly in front of a large inn and met Squire Trelawney, all dressed out like a sea-officer, in stout blue cloth, coming out of the door with a smile on his face and a capital imitation of a sailor's walk.	While I was still in this delightful dream, we came suddenly in front of a large inn and met Squire Trelawney, all dressed out like a sea officer, in stout blue cloth, coming out of the door with a smile on his face and a capital imitation of a sailor's walk.
781_127518_000035_000000	"Here you are," he cried, "and the doctor came last night from London. Bravo!	"Here you are," he cried, "and the doctor came last night from London. Bravo!
781_127518_000035_000001	The ship's company complete!"	The ship's company complete!"
781_127518_000036_000000	"Oh, sir," cried I, "when do we sail?"	"Oh, sir," cried I, "when do we sail?"
781_127518_000037_000000	"Sail!" says he.	"Sail!" says he.
781_127518_000038_000000	8	eight
781_127518_000039_000000	At the Sign of the Spy-glass	At the Sign of the Spy glass
781_127518_000040_000000	WHEN I had done breakfasting the squire gave me a note addressed to John Silver, at the sign of the Spy-glass, and told me I should easily find the place by following the line of the docks and keeping a bright lookout for a little tavern with a large brass telescope for sign.	WHEN I had done breakfasting the squire gave me a note addressed to john Silver, at the sign of the Spy glass, and told me I should easily find the place by following the line of the docks and keeping a bright lookout for a little tavern with a large brass telescope for sign.
781_127518_000040_000001	I set off, overjoyed at this opportunity to see some more of the ships and seamen, and picked my way among a great crowd of people and carts and bales, for the dock was now at its busiest, until I found the tavern in question.	I set off, overjoyed at this opportunity to see some more of the ships and seamen, and picked my way among a great crowd of people and carts and bales, for the dock was now at its busiest, until I found the tavern in question.
781_127518_000041_000001	The sign was newly painted; the windows had neat red curtains; the floor was cleanly sanded.	The sign was newly painted; the windows had neat red curtains; the floor was cleanly sanded.
781_127518_000041_000002	There was a street on each side and an open door on both, which made the large, low room pretty clear to see in, in spite of clouds of tobacco smoke.	There was a street on each side and an open door on both, which made the large, low room pretty clear to see in, in spite of clouds of tobacco smoke.
781_127518_000042_000000	The customers were mostly seafaring men, and they talked so loudly that I hung at the door, almost afraid to enter.	The customers were mostly seafaring men, and they talked so loudly that I hung at the door, almost afraid to enter.
781_127518_000043_000000	As I was waiting, a man came out of a side room, and at a glance I was sure he must be Long John.	As I was waiting, a man came out of a side room, and at a glance I was sure he must be Long john.
781_127518_000043_000001	His left leg was cut off close by the hip, and under the left shoulder he carried a crutch, which he managed with wonderful dexterity, hopping about upon it like a bird.	His left leg was cut off close by the hip, and under the left shoulder he carried a crutch, which he managed with wonderful dexterity, hopping about upon it like a bird.
781_127518_000043_000003	Indeed, he seemed in the most cheerful spirits, whistling as he moved about among the tables, with a merry word or a slap on the shoulder for the more favoured of his guests.	Indeed, he seemed in the most cheerful spirits, whistling as he moved about among the tables, with a merry word or a slap on the shoulder for the more favoured of his guests.
781_127518_000044_000000	Now, to tell you the truth, from the very first mention of Long John in Squire Trelawney's letter I had taken a fear in my mind that he might prove to be the very one-legged sailor whom I had watched for so long at the old Benbow.	Now, to tell you the truth, from the very first mention of Long john in Squire Trelawney's letter I had taken a fear in my mind that he might prove to be the very one legged sailor whom I had watched for so long at the old Benbow.
781_127518_000044_000001	But one look at the man before me was enough.	But one look at the man before me was enough.
781_127518_000044_000002	I had seen the captain, and Black Dog, and the blind man, Pew, and I thought I knew what a buccaneer was like--a very different creature, according to me, from this clean and pleasant-tempered landlord.	I had seen the captain, and Black Dog, and the blind man, Pew, and I thought I knew what a buccaneer was like-a very different creature, according to me, from this clean and pleasant tempered landlord.
781_127518_000045_000000	I plucked up courage at once, crossed the threshold, and walked right up to the man where he stood, propped on his crutch, talking to a customer.	I plucked up courage at once, crossed the threshold, and walked right up to the man where he stood, propped on his crutch, talking to a customer.
781_127518_000046_000000	"Mr. Silver, sir?" I asked, holding out the note.	"mr Silver, sir?" I asked, holding out the note.
781_127518_000047_000001	And who may you be?" And then as he saw the squire's letter, he seemed to me to give something almost like a start.	And who may you be?" And then as he saw the squire's letter, he seemed to me to give something almost like a start.
781_127518_000048_000001	"I see.	"I see.
781_127518_000048_000002	You are our new cabin-boy; pleased I am to see you."	You are our new cabin boy; pleased I am to see you."
781_127518_000050_000000	Just then one of the customers at the far side rose suddenly and made for the door.	Just then one of the customers at the far side rose suddenly and made for the door.
781_127518_000050_000001	It was close by him, and he was out in the street in a moment.	It was close by him, and he was out in the street in a moment.
781_127518_000050_000002	But his hurry had attracted my notice, and I recognized him at glance.	But his hurry had attracted my notice, and I recognized him at glance.
781_127518_000050_000003	It was the tallow-faced man, wanting two fingers, who had come first to the Admiral Benbow.	It was the tallow faced man, wanting two fingers, who had come first to the Admiral Benbow.
781_127518_000051_000000	"Oh," I cried, "stop him!	"Oh," I cried, "stop him!
781_127518_000051_000001	It's Black Dog!"	It's Black Dog!"
781_127518_000052_000000	"I don't care two coppers who he is," cried Silver.	"I don't care two coppers who he is," cried Silver.
781_127518_000052_000001	"But he hasn't paid his score.	"But he hasn't paid his score.
781_127518_000052_000002	Harry, run and catch him."	Harry, run and catch him."
781_127518_000053_000000	One of the others who was nearest the door leaped up and started in pursuit.	One of the others who was nearest the door leaped up and started in pursuit.
781_127518_000054_000000	"If he were Admiral Hawke he shall pay his score," cried Silver; and then, relinquishing my hand, "Who did you say he was?" he asked.	"If he were Admiral Hawke he shall pay his score," cried Silver; and then, relinquishing my hand, "Who did you say he was?" he asked.
781_127518_000054_000001	"Black what?"	"Black what?"
781_127518_000055_000000	"Dog, sir," said I. "Has Mr. Trelawney not told you of the buccaneers? He was one of them."	"Dog, sir," said i "Has mr Trelawney not told you of the buccaneers? He was one of them."
781_127518_000056_000000	"So?" cried Silver.	"So?" cried Silver.
781_127518_000056_000001	"In my house!	"In my house!
781_127518_000056_000002	Ben, run and help Harry.	Ben, run and help Harry.
781_127518_000056_000003	One of those swabs, was he?	One of those swabs, was he?
781_127518_000056_000005	Step up here."	Step up here."
781_127518_000058_000000	"Now, Morgan," said Long John very sternly, "you never clapped your eyes on that Black--Black Dog before, did you, now?"	"Now, Morgan," said Long john very sternly, "you never clapped your eyes on that Black-Black Dog before, did you, now?"
781_127518_000059_000000	"Not I, sir," said Morgan with a salute.	"Not I, sir," said Morgan with a salute.
781_127518_000061_000000	"No, sir."	"No, sir."
781_127518_000062_000001	"If you had been mixed up with the like of that, you would never have put another foot in my house, you may lay to that.	"If you had been mixed up with the like of that, you would never have put another foot in my house, you may lay to that.
781_127518_000062_000002	And what was he saying to you?"	And what was he saying to you?"
781_127518_000064_000001	"Don't rightly know, don't you!	"Don't rightly know, don't you!
781_127518_000064_000002	Perhaps you don't happen to rightly know who you was speaking to, perhaps?	Perhaps you don't happen to rightly know who you was speaking to, perhaps?
781_127518_000064_000004	Pipe up!	Pipe up!
781_127518_000064_000005	What was it?"	What was it?"
781_127518_000065_000000	"We was a-talkin' of keel-hauling," answered Morgan.	"We was a talkin' of keel hauling," answered Morgan.
781_127518_000066_000001	And a mighty suitable thing, too, and you may lay to that.	And a mighty suitable thing, too, and you may lay to that.
781_127518_000066_000002	Get back to your place for a lubber, Tom."	Get back to your place for a lubber, Tom."
781_127518_000067_000001	And now," he ran on again, aloud, "let's see--Black Dog?	And now," he ran on again, aloud, "let's see-Black Dog?
781_127518_000067_000002	No, I don't know the name, not I. Yet I kind of think I've--yes, I've seen the swab.	No, I don't know the name, not i Yet I kind of think I've-yes, I've seen the swab.
781_127518_000068_000000	"That he did, you may be sure," said I. "I knew that blind man too.	"That he did, you may be sure," said i "I knew that blind man too.
781_127518_000068_000001	His name was Pew."	His name was Pew."
781_127518_000069_000003	Ah, he looked a shark, he did!	Ah, he looked a shark, he did!
781_127518_000069_000004	If we run down this Black Dog, now, there'll be news for Cap'n Trelawney!	If we run down this Black Dog, now, there'll be news for Cap'n Trelawney!
781_127518_000069_000006	He should run him down, hand over hand, by the powers!	He should run him down, hand over hand, by the powers!
781_127518_000069_000007	He talked o' keel-hauling, did he?	He talked o' keel hauling, did he?
781_127518_000069_000008	I'LL keel-haul him!"	I'LL keel haul him!"
781_127518_000070_000000	All the time he was jerking out these phrases he was stumping up and down the tavern on his crutch, slapping tables with his hand, and giving such a show of excitement as would have convinced an Old Bailey judge or a Bow Street runner.	All the time he was jerking out these phrases he was stumping up and down the tavern on his crutch, slapping tables with his hand, and giving such a show of excitement as would have convinced an Old Bailey judge or a Bow Street runner.
781_127518_000070_000001	My suspicions had been thoroughly reawakened on finding Black Dog at the Spy-glass, and I watched the cook narrowly.	My suspicions had been thoroughly reawakened on finding Black Dog at the Spy glass, and I watched the cook narrowly.
781_127518_000071_000001	There's Cap'n Trelawney--what's he to think? Here I have this confounded son of a Dutchman sitting in my own house drinking of my own rum!	There's Cap'n Trelawney-what's he to think? Here I have this confounded son of a Dutchman sitting in my own house drinking of my own rum!
781_127518_000071_000002	Here you comes and tells me of it plain; and here I let him give us all the slip before my blessed deadlights!	Here you comes and tells me of it plain; and here I let him give us all the slip before my blessed deadlights!
781_127518_000071_000005	I see that when you first come in.	I see that when you first come in.
781_127518_000071_000006	Now, here it is: What could I do, with this old timber I hobble on?	Now, here it is: What could I do, with this old timber I hobble on?
781_127518_000071_000007	When I was an A B master mariner I'd have come up alongside of him, hand over hand, and broached him to in a brace of old shakes, I would; but now--"	When I was an A B master mariner I'd have come up alongside of him, hand over hand, and broached him to in a brace of old shakes, I would; but now-"
781_127518_000072_000000	And then, all of a sudden, he stopped, and his jaw dropped as though he had remembered something.	And then, all of a sudden, he stopped, and his jaw dropped as though he had remembered something.
781_127518_000074_000000	And falling on a bench, he laughed until the tears ran down his cheeks. I could not help joining, and we laughed together, peal after peal, until the tavern rang again.	And falling on a bench, he laughed until the tears ran down his cheeks. I could not help joining, and we laughed together, peal after peal, until the tavern rang again.
781_127518_000075_000000	"Why, what a precious old sea-calf I am!" he said at last, wiping his cheeks.	"Why, what a precious old sea calf I am!" he said at last, wiping his cheeks.
781_127518_000075_000001	"You and me should get on well, Hawkins, for I'll take my davy I should be rated ship's boy.	"You and me should get on well, Hawkins, for I'll take my davy I should be rated ship's boy.
781_127518_000075_000002	But come now, stand by to go about.	But come now, stand by to go about.
781_127518_000075_000003	This won't do.	This won't do.
781_127518_000075_000005	I'll put on my old cockerel hat, and step along of you to Cap'n Trelawney, and report this here affair. For mind you, it's serious, young Hawkins; and neither you nor me's come out of it with what I should make so bold as to call credit.	I'll put on my old cockerel hat, and step along of you to Cap'n Trelawney, and report this here affair. For mind you, it's serious, young Hawkins; and neither you nor me's come out of it with what I should make so bold as to call credit.
781_127518_000075_000006	Nor you neither, says you; not smart--none of the pair of us smart.	Nor you neither, says you; not smart-none of the pair of us smart.
781_127518_000075_000007	But dash my buttons!	But dash my buttons!
781_127518_000077_000001	I began to see that here was one of the best of possible shipmates.	I began to see that here was one of the best of possible shipmates.
781_127518_000079_000000	Long John told the story from first to last, with a great deal of spirit and the most perfect truth.	Long john told the story from first to last, with a great deal of spirit and the most perfect truth.
781_127518_000080_000000	The two gentlemen regretted that Black Dog had got away, but we all agreed there was nothing to be done, and after he had been complimented, Long John took up his crutch and departed.	The two gentlemen regretted that Black Dog had got away, but we all agreed there was nothing to be done, and after he had been complimented, Long john took up his crutch and departed.
781_127518_000081_000000	"All hands aboard by four this afternoon," shouted the squire after him.	"All hands aboard by four this afternoon," shouted the squire after him.
781_127518_000082_000000	"Aye, aye, sir," cried the cook, in the passage.	"Aye, aye, sir," cried the cook, in the passage.
781_127518_000084_000000	"The man's a perfect trump," declared the squire.	"The man's a perfect trump," declared the squire.
781_127518_000085_000000	"And now," added the doctor, "Jim may come on board with us, may he not?"	"And now," added the doctor, "Jim may come on board with us, may he not?"
781_127518_000086_000001	"Take your hat, Hawkins, and we'll see the ship."	"Take your hat, Hawkins, and we'll see the ship."
