7258_91906_000001_000000	(1876.)	(eighteen seventy six.)
7258_91906_000007_000000	This prodigal multiplicity and superfluity of resurrections seems to have been not a little embarrassing to modern Christian champions, though doubtless it did not in the least trouble the primitive non-scientific believers, to whom nothing was more natural than the unnatural, including the supernatural and the infranatural.	This prodigal multiplicity and superfluity of resurrections seems to have been not a little embarrassing to modern Christian champions, though doubtless it did not in the least trouble the primitive non scientific believers, to whom nothing was more natural than the unnatural, including the supernatural and the infranatural.
7258_91906_000007_000002	But the difficulties of the poor apologist are enormously increased if he must further contend that many bodies of the saints came out of their graves, and went into the holy city, and appeared unto many, and still there is no external evidence.	But the difficulties of the poor apologist are enormously increased if he must further contend that many bodies of the saints came out of their graves, and went into the holy city, and appeared unto many, and still there is no external evidence.
7258_91906_000007_000005	Once in the imperial archives, the record of the miracle would have spread everywhere; all subsequent historians would have related it, all subsequent writers referred to it.	Once in the imperial archives, the record of the miracle would have spread everywhere; all subsequent historians would have related it, all subsequent writers referred to it.
7258_91906_000007_000006	So it is no wonder that, recoiling from these manifold impossibilities, the Christian advocates prefer to dwell on the one resurrection as if it were unique, and avoid dwelling on the others that by the very same testimony immediately followed it.	So it is no wonder that, recoiling from these manifold impossibilities, the Christian advocates prefer to dwell on the one resurrection as if it were unique, and avoid dwelling on the others that by the very same testimony immediately followed it.
7258_91906_000007_000007	It is very significant that neither in the Acts nor in the Epistles is there any allusion to these resurrections.	It is very significant that neither in the Acts nor in the Epistles is there any allusion to these resurrections.
7258_91906_000007_000008	When Peter and the others were preaching the resurrection of Christ, why did they not adduce and produce some of these many, risen saints, whose visible, tangible, living and speaking evidence would have been irresistible?	When peter and the others were preaching the resurrection of Christ, why did they not adduce and produce some of these many, risen saints, whose visible, tangible, living and speaking evidence would have been irresistible?
7258_91906_000008_000000	Just as the resurrection of Jesus could be accepted without misgiving by the non-scientific early Christians, to whom miracles appeared among the most frequent occurrences of life, so could the ascension.	Just as the resurrection of Jesus could be accepted without misgiving by the non scientific early Christians, to whom miracles appeared among the most frequent occurrences of life, so could the ascension.
7258_91906_000008_000001	Their earth was a plane, vaulted by the sky, lamped by the little sun and moon and stars; above this vault was Heaven, where their God dwelt enthroned; they knew nothing of the law of gravitation; their Christ, standing in the flesh on the Mount of Olives, floated up through this vault to sit enthroned beside his Father in the most natural supernatural manner.	Their earth was a plane, vaulted by the sky, lamped by the little sun and moon and stars; above this vault was Heaven, where their God dwelt enthroned; they knew nothing of the law of gravitation; their Christ, standing in the flesh on the Mount of Olives, floated up through this vault to sit enthroned beside his Father in the most natural supernatural manner.
7258_91906_000008_000004	Where is the Heaven for its God? where the Hell for its Devil?	Where is the Heaven for its God? where the Hell for its Devil?
7258_91906_000010_000003	Why did their risen Lord only slink about among his own disciples, appearing to these but at flying instants: why did he not, with his well-known features and with the wounds of the nails and the spear in his body, confront the chief priests and Pilate and the whole of Jerusalem, and compel them to acknowledge and bear enduring witness to his resurrection?	Why did their risen Lord only slink about among his own disciples, appearing to these but at flying instants: why did he not, with his well-known features and with the wounds of the nails and the spear in his body, confront the chief priests and Pilate and the whole of Jerusalem, and compel them to acknowledge and bear enduring witness to his resurrection?
7258_91906_000010_000004	Why did he not summon all the people from the highest to the lowest to the solemn spectacle of his ascension, securing multitudinous and permanently recorded evidence such as none of us could doubt?	Why did he not summon all the people from the highest to the lowest to the solemn spectacle of his ascension, securing multitudinous and permanently recorded evidence such as none of us could doubt?
7258_91906_000010_000005	We might go on asking Why? and Why? and Why? in this fashion on a hundred points, confident that to not one of our questions could the Christian apologist give a straightforward and satisfactory answer.	We might go on asking Why? and Why? and Why? in this fashion on a hundred points, confident that to not one of our questions could the Christian apologist give a straightforward and satisfactory answer.
