1859_145703_000002_000000	THE DONKEY CABBAGE	THE DONKEY CABBAGE
1859_145703_000015_000002	For who can fetch them? Only the birds who fly; a man, never.'	For who can fetch them? Only the birds who fly; a man, never.'
1859_145703_000016_000000	'If you have no other trouble,' said the Hunter, 'that one I can easily remove from your heart.'	'If you have no other trouble,' said the Hunter, 'that one I can easily remove from your heart.'
1859_145703_000017_000001	The precious stones sparkled so brightly on all sides that it was a pleasure to see them, and they collected the most beautiful and costly together. But now the old witch had through her caused the Hunter's eyes to become heavy.	The precious stones sparkled so brightly on all sides that it was a pleasure to see them, and they collected the most beautiful and costly together. But now the old witch had through her caused the Hunter's eyes to become heavy.
1859_145703_000019_000001	As soon as he was sound asleep she unfastened the cloak from his shoulders, threw it on her own, left the granite and stones, and wished herself home again.	As soon as he was sound asleep she unfastened the cloak from his shoulders, threw it on her own, left the granite and stones, and wished herself home again.
1859_145703_000020_000000	But when the Hunter had finished his sleep and awoke, he found that his love had betrayed him and left him alone on the wild mountain.	But when the Hunter had finished his sleep and awoke, he found that his love had betrayed him and left him alone on the wild mountain.
1859_145703_000022_000000	The giants came up, and the first pushed him with his foot, and said, 'What sort of an earthworm is that?'	The giants came up, and the first pushed him with his foot, and said, 'What sort of an earthworm is that?'
1859_145703_000023_000000	The second said, 'Crush him dead.'	The second said, 'Crush him dead.'
1859_145703_000024_000000	But the third said contemptuously, 'It is not worth the trouble!	But the third said contemptuously, 'It is not worth the trouble!
1859_145703_000025_000004	The Hunter then looked about him, saying, 'If only I had something to eat!	The Hunter then looked about him, saying, 'If only I had something to eat!
1859_145703_000025_000008	At last he got hold of another kind of cabbage, but scarcely had swallowed it when he felt another change, and he once more regained his human form.	At last he got hold of another kind of cabbage, but scarcely had swallowed it when he felt another change, and he once more regained his human form.
1859_145703_000026_000001	When he awoke the next morning he broke off a head of the bad and a head of the good cabbage, thinking, 'This will help me to regain my own, and to punish faithlessness.' Then he put the heads in his pockets, climbed the wall, and started off to seek the castle of his love.	When he awoke the next morning he broke off a head of the bad and a head of the good cabbage, thinking, 'This will help me to regain my own, and to punish faithlessness.' Then he put the heads in his pockets, climbed the wall, and started off to seek the castle of his love.
1859_145703_000027_000000	'I am so tired,' he said, 'I can go no farther.'	'I am so tired,' he said, 'I can go no farther.'
1859_145703_000028_000000	The witch asked, 'Countryman, who are you, and what is your business?'	The witch asked, 'Countryman, who are you, and what is your business?'
1859_145703_000031_000000	'Why not?' he answered; 'I have brought two heads with me, and will give you one.'	'Why not?' he answered; 'I have brought two heads with me, and will give you one.'
1859_145703_000033_000000	Now the servant came into the kitchen, and when she saw the salad standing there ready cooked she was about to carry it up, but on the way, according to her old habit, she tasted it and ate a couple of leaves.	Now the servant came into the kitchen, and when she saw the salad standing there ready cooked she was about to carry it up, but on the way, according to her old habit, she tasted it and ate a couple of leaves.
1859_145703_000034_000000	Then thought the Hunter, 'The cabbage must have already begun to work.' And he said, 'I will go to the kitchen and fetch it myself.'	Then thought the Hunter, 'The cabbage must have already begun to work.' And he said, 'I will go to the kitchen and fetch it myself.'
1859_145703_000042_000000	The miller replied, 'Why not?	The miller replied, 'Why not?
1859_145703_000042_000001	What shall I do with them?'	What shall I do with them?'
1859_145703_000044_000002	'The two others,' he added, 'are certainly not dead, and get their three meals every day, but they are so sad that they cannot last much longer.'	'The two others,' he added, 'are certainly not dead, and get their three meals every day, but they are so sad that they cannot last much longer.'
1859_145703_000045_000000	Then the Hunter took pity on them, laid aside his anger, and told the miller to drive them back again.	Then the Hunter took pity on them, laid aside his anger, and told the miller to drive them back again.
1859_145703_000046_000000	But he changed his mind, and said, 'Keep it; it makes no difference, for I will take you to be my own dear true wife.'	But he changed his mind, and said, 'Keep it; it makes no difference, for I will take you to be my own dear true wife.'
