6510_62558_000000_000000	No reply was possible to these questions.	No reply was possible to these questions.	false	0	1.89	18
6510_62558_000012_000002	Do you imagine that the convicts will not see you leave it, that they will not allow you to enter the forest, and that they will not attack it during your absence, knowing that there is no one here but a wounded boy and a man?"	Do you imagine that the convicts will not see you leave it, that they will not allow you to enter the forest, and that they will not attack it during your absence, knowing that there is no one here but a wounded boy and a man?"	true	245.15	258.91	20
6510_62558_000013_000000	"You are right, captain," replied Pencroft, his chest swelling with sullen anger.	"You are right, captain," replied Pencroft, his chest swelling with sullen anger.	true	259.34	265	20.798386
6510_62558_000013_000001	"You are right; they will do all they can to retake the corral, which they know to be well stored; and alone you could not hold it against them."	"You are right; they will do all they can to retake the corral, which they know to be well stored; and alone you could not hold it against them."	true	265.25	275.14	20.21368
6510_62558_000014_000000	"Oh, if we were only at Granite House!"	"Oh, if we were only at Granite House!"	true	275.33	278.17	20.116547
6510_62558_000015_000000	"If we were at Granite House," answered the engineer, "the case would be very different.	"If we were at Granite House," answered the engineer, "the case would be very different.	true	278.45	283.275	16.680376
6510_62558_000015_000001	There I should not be afraid to leave Herbert with one, while the other three went to search the forests of the island.	There I should not be afraid to leave Herbert with one, while the other three went to search the forests of the island.	true	283.275	290.23	17
6510_62558_000015_000002	But we are at the corral, and it is best to stay here until we can leave it together."	But we are at the corral, and it is best to stay here until we can leave it together."	true	290.42	296.08	20
6510_62558_000016_000000	Cyrus Harding's reasoning was unanswerable, and his companions understood it well.	Cyrus Harding's reasoning was unanswerable, and his companions understood it well.	true	296.9	302.53	18
6510_62558_000017_000000	"If only Ayrton was still one of us!" said Gideon Spilett.	"If only Ayrton was still one of us!" said Gideon Spilett.	true	302.78	307.5	21.278542
6510_62558_000017_000001	"Poor fellow! his return to social life will have been but of short duration."	"Poor fellow! his return to social life will have been but of short duration."	true	307.5	313.42	21.105562
6510_62558_000018_000000	"If he is dead," added Pencroft, in a peculiar tone.	"If he is dead," added Pencroft, in a peculiar tone.	true	313.91	318.22	20.294094
6510_62558_000019_000000	"Do you hope, then, Pencroft, that the villains have spared him?" asked Gideon Spilett.	"Do you hope, then, Pencroft, that the villains have spared him?" asked Gideon Spilett.	false	318.77	324.63	21.862549
6510_62558_000020_000000	"Yes, if they had any interest in doing so."	"Yes, if they had any interest in doing so."	true	324.63	328.21	21.258018
6510_62558_000021_000000	"What! you suppose that Ayrton finding his old companions, forgetting all that he owes us--"	"What! you suppose that Ayrton finding his old companions, forgetting all that he owes us-"	true	328.49	334.24	19.116907
6510_62558_000022_000000	"Who knows?" answered the sailor, who did not hazard this shameful supposition without hesitating.	"Who knows?" answered the sailor, who did not hazard this shameful supposition without hesitating.	true	334.64	340.9	16.766918
6510_62558_000023_000000	"Pencroft," said Harding, taking the sailor's arm, "that is a wicked idea of yours, and you will distress me much if you persist in speaking thus.	"Pencroft," said Harding, taking the sailor's arm, "that is a wicked idea of yours, and you will distress me much if you persist in speaking thus.	false	341.57	352.59	19.256756
6510_62558_000023_000001	I will answer for Ayrton's fidelity."	I will answer for Ayrton's fidelity."	true	352.59	355.38	19
6510_62558_000024_000000	"And I also," added the reporter quickly.	"And I also," added the reporter quickly.	true	355.38	358.06	20.394312
6510_62558_000025_000000	"Yes, yes, captain, I was wrong," replied Pencroft; "it was a wicked idea indeed that I had, and nothing justifies it.	"Yes, yes, captain, I was wrong," replied Pencroft; "it was a wicked idea indeed that I had, and nothing justifies it.	true	358.97	368.5	19.420431
6510_62558_000025_000001	But what can I do?	But what can I do?	true	368.93	369.96	18.087738
6510_62558_000025_000002	I'm not in my senses.	I'm not in my senses.	false	369.96	371.58	5
6510_62558_000025_000003	This imprisonment in the corral wearies me horribly, and I have never felt so excited as I do now.	This imprisonment in the corral wearies me horribly, and I have never felt so excited as I do now.	true	371.58	378.69	16
6510_62558_000026_000000	"Be patient, Pencroft," replied the engineer.	"Be patient, Pencroft," replied the engineer.	false	378.69	382.24	19.810837
6510_62558_000026_000001	"How long will it be, my dear Spilett, before you think Herbert may be carried to Granite House?"	"How long will it be, my dear Spilett, before you think Herbert may be carried to Granite House?"	false	382.31	388.03	20.545095
6510_62558_000027_000000	"That is difficult to say, Cyrus," answered the reporter, "for any imprudence might involve terrible consequences.	"That is difficult to say, Cyrus," answered the reporter, "for any imprudence might involve terrible consequences.	true	388.55	396.37	20.876528
6510_62558_000027_000001	But his convalescence is progressing, and if he continues to gain strength, in eight days from now--well, we shall see."	But his convalescence is progressing, and if he continues to gain strength, in eight days from now-well, we shall see."	true	396.68	405.34	21
6510_62558_000028_000000	Eight days!	Eight days!	true	405.44	406.81	21.067587
6510_62558_000028_000001	That would put off the return to Granite House until the first days of December.	That would put off the return to Granite House until the first days of December.	false	406.94	411.93	20.285355
6510_62558_000028_000002	At this time two months of spring had already passed.	At this time two months of spring had already passed.	true	411.93	415.93	23.29242
6510_62558_000028_000003	The weather was fine, and the heat began to be great.	The weather was fine, and the heat began to be great.	true	415.97	419.145	20.2993
6510_62558_000028_000004	The forests of the island were in full leaf, and the time was approaching when the usual crops ought to be gathered.	The forests of the island were in full leaf, and the time was approaching when the usual crops ought to be gathered.	true	419.145	425.95	20.654879
6510_62558_000028_000005	The return to the plateau of Prospect Heights would, therefore, be followed by extensive agricultural labors, interrupted only by the projected expedition through the island.	The return to the plateau of Prospect Heights would, therefore, be followed by extensive agricultural labors, interrupted only by the projected expedition through the island.	true	426.89	437.83	18
6510_62558_000029_000000	It can, therefore, be well understood how injurious this seclusion in the corral must have been to the colonists.	It can, therefore, be well understood how injurious this seclusion in the corral must have been to the colonists.	true	438.17	445.57	17
6510_62558_000030_000000	But if they were compelled to bow before necessity, they did not do so without impatience.	But if they were compelled to bow before necessity, they did not do so without impatience.	true	446	452.41	20
6510_62558_000031_000000	Once or twice the reporter ventured out into the road and made the tour of the palisade.	Once or twice the reporter ventured out into the road and made the tour of the palisade.	true	452.6	458.13	16
6510_62558_000031_000001	Top accompanied him, and Gideon Spilett, his gun cocked, was ready for any emergency.	Top accompanied him, and Gideon Spilett, his gun cocked, was ready for any emergency.	false	458.13	465.28	19.957167
6510_62558_000032_000000	He met with no misadventure and found no suspicious traces.	He met with no misadventure and found no suspicious traces.	true	465.89	470.68	20.05112
6510_62558_000032_000001	His dog would have warned him of any danger, and, as Top did not bark, it might be concluded that there was nothing to fear at the moment at least, and that the convicts were occupied in another part of the island.	His dog would have warned him of any danger, and, as Top did not bark, it might be concluded that there was nothing to fear at the moment at least, and that the convicts were occupied in another part of the island.	true	471.02	485.47	19.73458
6510_62558_000033_000000	However, on his second sortie, on the 27th of November, Gideon Spilett, who had ventured a quarter of a mile into the woods, towards the south of the mountain, remarked that Top scented something.	However, on his second sortie, on the twenty seventh of November, Gideon Spilett, who had ventured a quarter of a mile into the woods, towards the south of the mountain, remarked that Top scented something.	true	486.14	498.82	20.690708
6510_62558_000033_000001	The dog had no longer his unconcerned manner; he went backwards and forwards, ferreting among the grass and bushes as if his smell had revealed some suspicious object to him.	The dog had no longer his unconcerned manner; he went backwards and forwards, ferreting among the grass and bushes as if his smell had revealed some suspicious object to him.	true	498.98	511.75	18.510206
6510_62558_000034_000000	Gideon Spilett followed Top, encouraged him, excited him by his voice, while keeping a sharp look-out, his gun ready to fire, and sheltering himself behind the trees.	Gideon Spilett followed Top, encouraged him, excited him by his voice, while keeping a sharp look out, his gun ready to fire, and sheltering himself behind the trees.	true	512	523.3	20.334734
6510_62558_000034_000001	It was not probable that Top scented the presence of man, for in that case, he would have announced it by half-uttered, sullen, angry barks.	It was not probable that Top scented the presence of man, for in that case, he would have announced it by half uttered, sullen, angry barks.	true	523.82	533.38	20.270317
6510_62558_000034_000002	Now, as he did not growl, it was because danger was neither near nor approaching.	Now, as he did not growl, it was because danger was neither near nor approaching.	true	533.75	539.98	18
6510_62558_000035_000000	Nearly five minutes passed thus, Top rummaging, the reporter following him prudently when, all at once, the dog rushed towards a thick bush, and drew out a rag.	Nearly five minutes passed thus, Top rummaging, the reporter following him prudently when, all at once, the dog rushed towards a thick bush, and drew out a rag.	true	540.86	553.24	21.741528
6510_62558_000036_000000	It was a piece of cloth, stained and torn, which Spilett immediately brought back to the corral.	It was a piece of cloth, stained and torn, which Spilett immediately brought back to the corral.	false	553.31	560.2	21.678923
6510_62558_000036_000001	There it was examined by the colonists, who found that it was a fragment of Ayrton's waistcoat, a piece of that felt, manufactured solely by the Granite House factory.	There it was examined by the colonists, who found that it was a fragment of Ayrton's waistcoat, a piece of that felt, manufactured solely by the Granite House factory.	true	560.27	571.9	20.436272
6510_62558_000037_000000	"You see, Pencroft," observed Harding, "there has been resistance on the part of the unfortunate Ayrton.	"You see, Pencroft," observed Harding, "there has been resistance on the part of the unfortunate Ayrton.	true	572.33	580.03	19.46256
6510_62558_000037_000001	The convicts have dragged him away in spite of himself!	The convicts have dragged him away in spite of himself!	true	580.16	583.81	19.654554
6510_62558_000037_000002	Do you still doubt his honesty?"	Do you still doubt his honesty?"	true	583.97	585.97	19.25006
6510_62558_000038_000000	"No, captain," answered the sailor, "and I repented of my suspicion a long time ago!	"No, captain," answered the sailor, "and I repented of my suspicion a long time ago!	true	586.34	592.51	20.489845
6510_62558_000038_000001	But it seems to me that something may be learned from the incident."	But it seems to me that something may be learned from the incident."	true	592.73	596.29	20
6510_62558_000039_000000	"What is that?" asked the reporter.	"What is that?" asked the reporter.	true	596.75	598.93	22.166525
6510_62558_000040_000000	"It is that Ayrton was not killed at the corral!	"It is that Ayrton was not killed at the corral!	true	599.78	602.76	17
6510_62558_000040_000001	That they dragged him away living, since he has resisted.	That they dragged him away living, since he has resisted.	false	602.76	606.52	17.362507
6510_62558_000040_000002	Therefore, perhaps, he is still living!"	Therefore, perhaps, he is still living!"	true	606.56	609.1	20.948845
6510_62558_000041_000000	"Perhaps, indeed," replied the engineer, who remained thoughtful.	"Perhaps, indeed," replied the engineer, who remained thoughtful.	true	609.29	614.29	21.062244
6510_62558_000042_000000	This was a hope, to which Ayrton's companions could still hold.	This was a hope, to which Ayrton's companions could still hold.	true	614.78	618.94	20
6510_62558_000042_000001	Indeed, they had before believed that, surprised in the corral, Ayrton had fallen by a bullet, as Herbert had fallen.	Indeed, they had before believed that, surprised in the corral, Ayrton had fallen by a bullet, as Herbert had fallen.	true	618.95	627.55	21.176268
6510_62558_000042_000002	But if the convicts had not killed him at first, if they had brought him living to another part of the island, might it not be admitted that he was still their prisoner? Perhaps, even, one of them had found in Ayrton his old Australian companion Ben Joyce, the chief of the escaped convicts.	But if the convicts had not killed him at first, if they had brought him living to another part of the island, might it not be admitted that he was still their prisoner? Perhaps, even, one of them had found in Ayrton his old Australian companion Ben Joyce, the chief of the escaped convicts.	true	627.89	648.49	20.47497
6510_62558_000042_000003	And who knows but that they had conceived the impossible hope of bringing back Ayrton to themselves?	And who knows but that they had conceived the impossible hope of bringing back Ayrton to themselves?	false	648.77	655.87	20
6510_62558_000042_000004	He would have been very useful to them, if they had been able to make him turn traitor!	He would have been very useful to them, if they had been able to make him turn traitor!	true	656.12	661.39	21
6510_62558_000043_000000	This incident was, therefore, favorably interpreted at the corral, and it no longer appeared impossible that they should find Ayrton again. On his side, if he was only a prisoner, Ayrton would no doubt do all he could to escape from the hands of the villains, and this would be a powerful aid to the settlers!	This incident was, therefore, favorably interpreted at the corral, and it no longer appeared impossible that they should find Ayrton again. On his side, if he was only a prisoner, Ayrton would no doubt do all he could to escape from the hands of the villains, and this would be a powerful aid to the settlers!	true	661.79	684.4	21.002611
6510_62558_000044_000000	"At any rate," observed Gideon Spilett, "if happily Ayrton did manage to escape, he would go directly to Granite House, for he could not know of the attempted assassination of which Herbert has been a victim, and consequently would never think of our being imprisoned in the corral."	"At any rate," observed Gideon Spilett, "if happily Ayrton did manage to escape, he would go directly to Granite House, for he could not know of the attempted assassination of which Herbert has been a victim, and consequently would never think of our being imprisoned in the corral."	true	685.28	704.64	19.58956
6510_62558_000045_000000	"Oh!	"Oh!	false	704.64	706.41	100
6510_62558_000045_000001	I wish that he was there, at Granite House!" cried Pencroft, "and that we were there, too!	I wish that he was there, at Granite House!" cried Pencroft, "and that we were there, too!	true	706.41	711.94	18
6510_62558_000045_000002	For, although the rascals can do nothing to our house, they may plunder the plateau, our plantations, our poultry-yard!"	For, although the rascals can do nothing to our house, they may plunder the plateau, our plantations, our poultry yard!"	true	712.1	718.89	18
6510_62558_000046_000000	Pencroft had become a thorough farmer, heartily attached to his crops. But it must be said that Herbert was more anxious than any to return to Granite House, for he knew how much the presence of the settlers was needed there.	Pencroft had become a thorough farmer, heartily attached to his crops. But it must be said that Herbert was more anxious than any to return to Granite House, for he knew how much the presence of the settlers was needed there.	true	718.89	732.46	21
6510_62558_000046_000001	And it was he who was keeping them at the corral! Therefore, one idea occupied his mind--to leave the corral, and when! He believed he could bear removal to Granite House.	And it was he who was keeping them at the corral! Therefore, one idea occupied his mind-to leave the corral, and when! He believed he could bear removal to Granite House.	true	732.68	745.74	19.623428
6510_62558_000046_000002	He was sure his strength would return more quickly in his room, with the air and sight of the sea!	He was sure his strength would return more quickly in his room, with the air and sight of the sea!	false	745.74	751.93	19
6510_62558_000047_000000	Several times he pressed Gideon Spilett, but the latter, fearing, with good reason, that Herbert's wounds, half healed, might reopen on the way, did not give the order to start.	Several times he pressed Gideon Spilett, but the latter, fearing, with good reason, that Herbert's wounds, half healed, might reopen on the way, did not give the order to start.	true	752.42	763.75	21.19563
6510_62558_000048_000000	However, something occurred which compelled Cyrus Harding and his two friends to yield to the lad's wish, and God alone knew that this determination might cause them grief and remorse.	However, something occurred which compelled Cyrus Harding and his two friends to yield to the lad's wish, and God alone knew that this determination might cause them grief and remorse.	true	764	778.69	18.798668
6510_62558_000049_000000	It was the 29th of November, seven o'clock in the evening.	It was the twenty ninth of November, seven o'clock in the evening.	true	780.14	784.39	19
6510_62558_000049_000001	The three settlers were talking in Herbert's room, when they heard Top utter quick barks.	The three settlers were talking in Herbert's room, when they heard Top utter quick barks.	false	784.61	790.84	21.976233
6510_62558_000050_000000	Harding, Pencroft, and Spilett seized their guns and ran out of the house.	Harding, Pencroft, and Spilett seized their guns and ran out of the house.	true	791.12	795.37	17
6510_62558_000050_000001	Top, at the foot of the palisade, was jumping, barking, but it was with pleasure, not anger.	Top, at the foot of the palisade, was jumping, barking, but it was with pleasure, not anger.	true	795.53	802.66	21.662586
6510_62558_000051_000000	"Some one is coming."	"Some one is coming."	true	802.82	804.15	19.543932
6510_62558_000052_000000	"Yes."	"Yes."	true	804.15	805.03	22.164045
6510_62558_000053_000000	"It is not an enemy!"	"It is not an enemy!"	true	805.31	806.86	16.120285
6510_62558_000054_000000	"Neb, perhaps?"	"Neb, perhaps?"	true	807.17	808.63	22.620274
6510_62558_000055_000000	"Or Ayrton?"	"Or Ayrton?"	true	808.73	809.83	21.198229
6510_62558_000056_000000	These words had hardly been exchanged between the engineer and his two companions when a body leaped over the palisade and fell on the ground inside the corral.	These words had hardly been exchanged between the engineer and his two companions when a body leaped over the palisade and fell on the ground inside the corral.	true	810.02	821.68	19.503681
6510_62558_000057_000000	It was Jup, Master Jup in person, to whom Top immediately gave a most cordial reception.	It was Jup, Master Jup in person, to whom Top immediately gave a most cordial reception.	false	821.99	829.56	20.510126
6510_62558_000058_000000	"Jup!" exclaimed Pencroft.	"Jup!" exclaimed Pencroft.	false	829.56	832.74	22.10325
6510_62558_000059_000000	"Neb has sent him to us," said the reporter.	"Neb has sent him to us," said the reporter.	false	832.74	836.14	20.779573
6510_62558_000060_000000	"Then," replied the engineer, "he must have some note on him."	"Then," replied the engineer, "he must have some note on him."	true	836.39	840.28	19
6510_62558_000061_000000	Pencroft rushed up to the orang.	Pencroft rushed up to the orang.	false	840.53	843.03	20.41863
6510_62558_000061_000001	Certainly if Neb had any important matter to communicate to his master he could not employ a more sure or more rapid messenger, who could pass where neither the colonists could, nor even Top himself.	Certainly if Neb had any important matter to communicate to his master he could not employ a more sure or more rapid messenger, who could pass where neither the colonists could, nor even Top himself.	false	843.03	857.92	20.674385
6510_62558_000062_000000	Cyrus Harding was not mistaken.	Cyrus Harding was not mistaken.	true	858.38	860.88	20.23018
6510_62558_000062_000001	At Jup's neck hung a small bag, and in this bag was found a little note traced by Neb's hand.	At Jup's neck hung a small bag, and in this bag was found a little note traced by Neb's hand.	true	860.88	868.36	20.414505
6510_62558_000063_000000	The despair of Harding and his companions may be imagined when they read these words:--	The despair of Harding and his companions may be imagined when they read these words:--	true	869.54	875.68	18
6510_62558_000064_000000	"Friday, six o'clock in the morning.	"Friday, six o'clock in the morning.	true	875.87	878.74	18.46059
6510_62558_000065_000000	"Plateau invaded by convicts.	"Plateau invaded by convicts.	true	878.78	881.59	19.67609
6510_62558_000066_000000	"Neb."	"Neb."	true	881.81	882.7	20.402658
6510_62558_000067_000000	They gazed at each other without uttering a word, then they re-entered the house.	They gazed at each other without uttering a word, then they re-entered the house.	true	883.82	890.17	19.554466
6510_62558_000067_000001	What were they to do?	What were they to do?	true	890.42	892.06	21.110756
6510_62558_000067_000002	The convicts on Prospect Heights! that was disaster, devastation, ruin.	The convicts on Prospect Heights! that was disaster, devastation, ruin.	true	892.16	899.08	21.886318
6510_62558_000068_000000	Herbert, on seeing the engineer, the reporter, and Pencroft re-enter, guessed that their situation was aggravated, and when he saw Jup, he no longer doubted that some misfortune menaced Granite House.	Herbert, on seeing the engineer, the reporter, and Pencroft re-enter, guessed that their situation was aggravated, and when he saw Jup, he no longer doubted that some misfortune menaced Granite House.	false	899.84	913.9	19.907764
6510_62558_000069_000000	"Captain Harding," said he, "I must go; I can bear the journey.	"Captain Harding," said he, "I must go; I can bear the journey.	true	914.54	919.77	19.368605
6510_62558_000069_000001	I must go."	I must go."	true	919.77	921.52	20.532093
6510_62558_000070_000000	Gideon Spilett approached Herbert; then, having looked at him,--	Gideon Spilett approached Herbert; then, having looked at him,--	true	922.1	926.35	22.523468
6510_62558_000071_000000	"Let us go, then!" said he.	"Let us go, then!" said he.	true	927.08	929.86	20.45488
6510_62558_000072_000000	The question was quickly decided whether Herbert should be carried on a litter or in the cart which had brought Ayrton to the corral.	The question was quickly decided whether Herbert should be carried on a litter or in the cart which had brought Ayrton to the corral.	true	930.23	937.09	17
6510_62558_000072_000001	The motion of the litter would have been more easy for the wounded lad, but it would have necessitated two bearers, that is to say, there would have been two guns less for defense if an attack was made on the road.	The motion of the litter would have been more easy for the wounded lad, but it would have necessitated two bearers, that is to say, there would have been two guns less for defense if an attack was made on the road.	true	937.25	950.8	18.956661
6510_62558_000072_000002	Would they not, on the contrary, by employing the cart leave every arm free? Was it impossible to place the mattress on which Herbert was lying in it, and to advance with so much care that any jolt should be avoided?	Would they not, on the contrary, by employing the cart leave every arm free? Was it impossible to place the mattress on which Herbert was lying in it, and to advance with so much care that any jolt should be avoided?	true	951.2	967.87	20.637157
6510_62558_000072_000003	It could be done.	It could be done.	true	968.03	969.31	19.33514
6510_62558_000073_000000	The cart was brought.	The cart was brought.	true	969.53	970.875	22.766787
6510_62558_000073_000001	Pencroft harnessed the onager.	Pencroft harnessed the onager.	true	970.875	972.79	21.67647
6510_62558_000073_000002	Cyrus Harding and the reporter raised Herbert's mattress and placed it on the bottom of the cart.	Cyrus Harding and the reporter raised Herbert's mattress and placed it on the bottom of the cart.	true	972.89	978.25	19
6510_62558_000073_000003	The weather was fine.	The weather was fine.	true	978.71	980.14	20.258846
6510_62558_000073_000004	The sun's bright rays glanced through the trees.	The sun's bright rays glanced through the trees.	true	980.18	983.41	19
6510_62558_000074_000000	"Are the guns ready?" asked Cyrus Harding.	"Are the guns ready?" asked Cyrus Harding.	true	983.96	986.98	19.289557
6510_62558_000075_000000	They were.	They were.	true	987.08	988.06	19.667776
6510_62558_000075_000001	The engineer and Pencroft, each armed with a double-barreled gun, and Gideon Spilett carrying his rifle, had nothing to do but start.	The engineer and Pencroft, each armed with a double barreled gun, and Gideon Spilett carrying his rifle, had nothing to do but start.	true	988.22	997.63	20.809132
6510_62558_000076_000000	"Are you comfortable, Herbert?" asked the engineer.	"Are you comfortable, Herbert?" asked the engineer.	true	997.91	1001.11	19.59191
6510_62558_000077_000000	"Ah, captain," replied the lad, "don't be uneasy, I shall not die on the road!"	"Ah, captain," replied the lad, "don't be uneasy, I shall not die on the road!"	false	1001.6	1008.76	18.683006
6510_62558_000078_000000	While speaking thus, it could be seen that the poor boy had called up all his energy, and by the energy of a powerful will had collected his failing strength.	While speaking thus, it could be seen that the poor boy had called up all his energy, and by the energy of a powerful will had collected his failing strength.	false	1009.13	1020.25	20.936592
6510_62558_000079_000000	The engineer felt his heart sink painfully.	The engineer felt his heart sink painfully.	true	1020.77	1024	22
6510_62558_000079_000001	He still hesitated to give the signal for departure; but that would have driven Herbert to despair--killed him perhaps.	He still hesitated to give the signal for departure; but that would have driven Herbert to despair-killed him perhaps.	true	1024.28	1032.85	19.487
6510_62558_000080_000000	"Forward!" said Harding.	"Forward!" said Harding.	true	1034.03	1036.15	16.833162
6510_62558_000081_000000	The gate of the corral was opened.	The gate of the corral was opened.	true	1036.7	1038.63	20.146513
6510_62558_000081_000001	Jup and Top, who knew when to be silent, ran in advance.	Jup and Top, who knew when to be silent, ran in advance.	false	1038.63	1043.65	19.392189
6510_62558_000081_000002	The cart came out, the gate was reclosed, and the onager, led by Pencroft, advanced at a slow pace.	The cart came out, the gate was reclosed, and the onager, led by Pencroft, advanced at a slow pace.	false	1043.81	1052.74	21.998623
6510_62558_000082_000000	Certainly, it would have been safer to have taken a different road than that which led straight from the corral to Granite House, but the cart would have met with great difficulties in moving under the trees.	Certainly, it would have been safer to have taken a different road than that which led straight from the corral to Granite House, but the cart would have met with great difficulties in moving under the trees.	true	1053.26	1065.55	20.306145
