6510_62558_000001_000000	Chapter 9	Chapter nine
6510_62558_000010_000000	"My dear Spilett, and you, Pencroft," answered Harding, "let us reason coolly.	"My dear Spilett, and you, Pencroft," answered Harding, "let us reason coolly.
6510_62558_000010_000001	If the convicts were hid in one spot of the island, if we knew that spot, and had only to dislodge them, I would undertake a direct attack; but is there not occasion to fear, on the contrary, that they are sure to fire the first shot?"	If the convicts were hid in one spot of the island, if we knew that spot, and had only to dislodge them, I would undertake a direct attack; but is there not occasion to fear, on the contrary, that they are sure to fire the first shot?"
6510_62558_000011_000000	"Well, captain," cried Pencroft, "a bullet does not always reach its mark."	"Well, captain," cried Pencroft, "a bullet does not always reach its mark."
6510_62558_000012_000000	"That which struck Herbert did not miss, Pencroft," replied the engineer.	"That which struck Herbert did not miss, Pencroft," replied the engineer.
6510_62558_000012_000002	Do you imagine that the convicts will not see you leave it, that they will not allow you to enter the forest, and that they will not attack it during your absence, knowing that there is no one here but a wounded boy and a man?"	Do you imagine that the convicts will not see you leave it, that they will not allow you to enter the forest, and that they will not attack it during your absence, knowing that there is no one here but a wounded boy and a man?"
6510_62558_000013_000000	"You are right, captain," replied Pencroft, his chest swelling with sullen anger.	"You are right, captain," replied Pencroft, his chest swelling with sullen anger.
6510_62558_000013_000001	"You are right; they will do all they can to retake the corral, which they know to be well stored; and alone you could not hold it against them."	"You are right; they will do all they can to retake the corral, which they know to be well stored; and alone you could not hold it against them."
6510_62558_000014_000000	"Oh, if we were only at Granite House!"	"Oh, if we were only at Granite House!"
6510_62558_000015_000002	But we are at the corral, and it is best to stay here until we can leave it together."	But we are at the corral, and it is best to stay here until we can leave it together."
6510_62558_000017_000000	"If only Ayrton was still one of us!" said Gideon Spilett.	"If only Ayrton was still one of us!" said Gideon Spilett.
6510_62558_000017_000001	"Poor fellow! his return to social life will have been but of short duration."	"Poor fellow! his return to social life will have been but of short duration."
6510_62558_000018_000000	"If he is dead," added Pencroft, in a peculiar tone.	"If he is dead," added Pencroft, in a peculiar tone.
6510_62558_000020_000000	"Yes, if they had any interest in doing so."	"Yes, if they had any interest in doing so."
6510_62558_000024_000000	"And I also," added the reporter quickly.	"And I also," added the reporter quickly.
6510_62558_000027_000000	"That is difficult to say, Cyrus," answered the reporter, "for any imprudence might involve terrible consequences.	"That is difficult to say, Cyrus," answered the reporter, "for any imprudence might involve terrible consequences.
6510_62558_000027_000001	But his convalescence is progressing, and if he continues to gain strength, in eight days from now--well, we shall see."	But his convalescence is progressing, and if he continues to gain strength, in eight days from now-well, we shall see."
6510_62558_000028_000000	Eight days!	Eight days!
6510_62558_000028_000002	At this time two months of spring had already passed.	At this time two months of spring had already passed.
6510_62558_000028_000003	The weather was fine, and the heat began to be great.	The weather was fine, and the heat began to be great.
6510_62558_000028_000004	The forests of the island were in full leaf, and the time was approaching when the usual crops ought to be gathered.	The forests of the island were in full leaf, and the time was approaching when the usual crops ought to be gathered.
6510_62558_000030_000000	But if they were compelled to bow before necessity, they did not do so without impatience.	But if they were compelled to bow before necessity, they did not do so without impatience.
6510_62558_000032_000000	He met with no misadventure and found no suspicious traces.	He met with no misadventure and found no suspicious traces.
6510_62558_000033_000000	However, on his second sortie, on the 27th of November, Gideon Spilett, who had ventured a quarter of a mile into the woods, towards the south of the mountain, remarked that Top scented something.	However, on his second sortie, on the twenty seventh of November, Gideon Spilett, who had ventured a quarter of a mile into the woods, towards the south of the mountain, remarked that Top scented something.
6510_62558_000034_000000	Gideon Spilett followed Top, encouraged him, excited him by his voice, while keeping a sharp look-out, his gun ready to fire, and sheltering himself behind the trees.	Gideon Spilett followed Top, encouraged him, excited him by his voice, while keeping a sharp look out, his gun ready to fire, and sheltering himself behind the trees.
6510_62558_000034_000001	It was not probable that Top scented the presence of man, for in that case, he would have announced it by half-uttered, sullen, angry barks.	It was not probable that Top scented the presence of man, for in that case, he would have announced it by half uttered, sullen, angry barks.
6510_62558_000035_000000	Nearly five minutes passed thus, Top rummaging, the reporter following him prudently when, all at once, the dog rushed towards a thick bush, and drew out a rag.	Nearly five minutes passed thus, Top rummaging, the reporter following him prudently when, all at once, the dog rushed towards a thick bush, and drew out a rag.
6510_62558_000036_000001	There it was examined by the colonists, who found that it was a fragment of Ayrton's waistcoat, a piece of that felt, manufactured solely by the Granite House factory.	There it was examined by the colonists, who found that it was a fragment of Ayrton's waistcoat, a piece of that felt, manufactured solely by the Granite House factory.
6510_62558_000038_000000	"No, captain," answered the sailor, "and I repented of my suspicion a long time ago!	"No, captain," answered the sailor, "and I repented of my suspicion a long time ago!
6510_62558_000038_000001	But it seems to me that something may be learned from the incident."	But it seems to me that something may be learned from the incident."
6510_62558_000039_000000	"What is that?" asked the reporter.	"What is that?" asked the reporter.
6510_62558_000040_000002	Therefore, perhaps, he is still living!"	Therefore, perhaps, he is still living!"
6510_62558_000041_000000	"Perhaps, indeed," replied the engineer, who remained thoughtful.	"Perhaps, indeed," replied the engineer, who remained thoughtful.
6510_62558_000042_000000	This was a hope, to which Ayrton's companions could still hold.	This was a hope, to which Ayrton's companions could still hold.
6510_62558_000042_000001	Indeed, they had before believed that, surprised in the corral, Ayrton had fallen by a bullet, as Herbert had fallen.	Indeed, they had before believed that, surprised in the corral, Ayrton had fallen by a bullet, as Herbert had fallen.
6510_62558_000042_000002	But if the convicts had not killed him at first, if they had brought him living to another part of the island, might it not be admitted that he was still their prisoner? Perhaps, even, one of them had found in Ayrton his old Australian companion Ben Joyce, the chief of the escaped convicts.	But if the convicts had not killed him at first, if they had brought him living to another part of the island, might it not be admitted that he was still their prisoner? Perhaps, even, one of them had found in Ayrton his old Australian companion Ben Joyce, the chief of the escaped convicts.
6510_62558_000042_000004	He would have been very useful to them, if they had been able to make him turn traitor!	He would have been very useful to them, if they had been able to make him turn traitor!
6510_62558_000043_000000	This incident was, therefore, favorably interpreted at the corral, and it no longer appeared impossible that they should find Ayrton again. On his side, if he was only a prisoner, Ayrton would no doubt do all he could to escape from the hands of the villains, and this would be a powerful aid to the settlers!	This incident was, therefore, favorably interpreted at the corral, and it no longer appeared impossible that they should find Ayrton again. On his side, if he was only a prisoner, Ayrton would no doubt do all he could to escape from the hands of the villains, and this would be a powerful aid to the settlers!
6510_62558_000046_000000	Pencroft had become a thorough farmer, heartily attached to his crops. But it must be said that Herbert was more anxious than any to return to Granite House, for he knew how much the presence of the settlers was needed there.	Pencroft had become a thorough farmer, heartily attached to his crops. But it must be said that Herbert was more anxious than any to return to Granite House, for he knew how much the presence of the settlers was needed there.
6510_62558_000047_000000	Several times he pressed Gideon Spilett, but the latter, fearing, with good reason, that Herbert's wounds, half healed, might reopen on the way, did not give the order to start.	Several times he pressed Gideon Spilett, but the latter, fearing, with good reason, that Herbert's wounds, half healed, might reopen on the way, did not give the order to start.
6510_62558_000050_000001	Top, at the foot of the palisade, was jumping, barking, but it was with pleasure, not anger.	Top, at the foot of the palisade, was jumping, barking, but it was with pleasure, not anger.
6510_62558_000052_000000	"Yes."	"Yes."
6510_62558_000054_000000	"Neb, perhaps?"	"Neb, perhaps?"
6510_62558_000055_000000	"Or Ayrton?"	"Or Ayrton?"
6510_62558_000062_000000	Cyrus Harding was not mistaken.	Cyrus Harding was not mistaken.
6510_62558_000062_000001	At Jup's neck hung a small bag, and in this bag was found a little note traced by Neb's hand.	At Jup's neck hung a small bag, and in this bag was found a little note traced by Neb's hand.
6510_62558_000066_000000	"Neb."	"Neb."
6510_62558_000067_000001	What were they to do?	What were they to do?
6510_62558_000067_000002	The convicts on Prospect Heights! that was disaster, devastation, ruin.	The convicts on Prospect Heights! that was disaster, devastation, ruin.
6510_62558_000069_000001	I must go."	I must go."
6510_62558_000070_000000	Gideon Spilett approached Herbert; then, having looked at him,--	Gideon Spilett approached Herbert; then, having looked at him,--
6510_62558_000071_000000	"Let us go, then!" said he.	"Let us go, then!" said he.
6510_62558_000072_000002	Would they not, on the contrary, by employing the cart leave every arm free? Was it impossible to place the mattress on which Herbert was lying in it, and to advance with so much care that any jolt should be avoided?	Would they not, on the contrary, by employing the cart leave every arm free? Was it impossible to place the mattress on which Herbert was lying in it, and to advance with so much care that any jolt should be avoided?
6510_62558_000073_000000	The cart was brought.	The cart was brought.
6510_62558_000073_000001	Pencroft harnessed the onager.	Pencroft harnessed the onager.
6510_62558_000073_000003	The weather was fine.	The weather was fine.
6510_62558_000075_000001	The engineer and Pencroft, each armed with a double-barreled gun, and Gideon Spilett carrying his rifle, had nothing to do but start.	The engineer and Pencroft, each armed with a double barreled gun, and Gideon Spilett carrying his rifle, had nothing to do but start.
6510_62558_000079_000000	The engineer felt his heart sink painfully.	The engineer felt his heart sink painfully.
6510_62558_000081_000000	The gate of the corral was opened.	The gate of the corral was opened.
6510_62558_000082_000000	Certainly, it would have been safer to have taken a different road than that which led straight from the corral to Granite House, but the cart would have met with great difficulties in moving under the trees.	Certainly, it would have been safer to have taken a different road than that which led straight from the corral to Granite House, but the cart would have met with great difficulties in moving under the trees.
6510_62558_000083_000001	However, it was not probable that the convicts would have yet left the plateau of Prospect Heights.	However, it was not probable that the convicts would have yet left the plateau of Prospect Heights.
6510_62558_000084_000002	They would, therefore, be safe at that time, and if there was any occasion for firing, it would probably not be until they were in the neighborhood of Granite House. However, the colonists kept a strict watch.	They would, therefore, be safe at that time, and if there was any occasion for firing, it would probably not be until they were in the neighborhood of Granite House. However, the colonists kept a strict watch.
6510_62558_000085_000001	It had left the corral at half-past seven.	It had left the corral at half past seven.
6510_62558_000086_000000	They approached the plateau.	They approached the plateau.
6510_62558_000086_000002	Cyrus Harding expected to find it in its place; supposing that the convicts would have crossed it, and that, after having passed one of the streams which enclosed the plateau, they would have taken the precaution to lower it again, so as to keep open a retreat.	Cyrus Harding expected to find it in its place; supposing that the convicts would have crossed it, and that, after having passed one of the streams which enclosed the plateau, they would have taken the precaution to lower it again, so as to keep open a retreat.
6510_62558_000088_000000	At that moment Pencroft stopped the onager, and in a hoarse voice,--	At that moment Pencroft stopped the onager, and in a hoarse voice,--
6510_62558_000092_000001	He heard, and ran to meet them.	He heard, and ran to meet them.
6510_62558_000093_000000	The convicts had left the plateau nearly half-an-hour before, having devastated it!	The convicts had left the plateau nearly half an hour before, having devastated it!
6510_62558_000094_000000	"And Mr. Herbert?" asked Neb.	"And mr Herbert?" asked Neb.
6510_62558_000095_000000	Gideon Spilett returned to the cart.	Gideon Spilett returned to the cart.
