1283_129808_000000_000000	CHAPTER XXVIII.	CHAPTER twenty eight.	true	15.825	17.08	29.185293
1283_129808_000008_000003	My men demand it.	My men demand it.	true	171.5	172.72	22.935112
1283_129808_000008_000004	They are not satisfied."	They are not satisfied."	true	172.76	174.31	29.00841
1283_129808_000009_000000	"Of what are they not satisfied?" demanded the Baron.	"Of what are they not satisfied?" demanded the Baron.	true	174.53	177.43	24.595882
1283_129808_000010_000000	"Of your honesty, M. de Rivarol."	"Of your honesty, m de Rivarol."	false	177.5	179.65	23.088667
1283_129808_000011_000000	A blow in the face could scarcely have taken the Frenchman more aback. He stiffened, and drew himself up, his eyes blazing, his face of a deathly pallor.	A blow in the face could scarcely have taken the Frenchman more aback. He stiffened, and drew himself up, his eyes blazing, his face of a deathly pallor.	true	180.08	188.44	23.743643
1283_129808_000011_000001	The clerks at the tables laid down their pens, and awaited the explosion in a sort of terror.	The clerks at the tables laid down their pens, and awaited the explosion in a sort of terror.	true	188.72	193.69	22.728577
1283_129808_000012_000000	For a long moment there was silence.	For a long moment there was silence.	false	193.88	195.48	23.247936
1283_129808_000012_000001	Then the great gentleman delivered himself in a voice of concentrated anger.	Then the great gentleman delivered himself in a voice of concentrated anger.	true	195.48	199.09	20
1283_129808_000012_000002	"Do you really dare so much, you and the dirty thieves that follow you?	"Do you really dare so much, you and the dirty thieves that follow you?	true	199.19	203.32	24.684853
1283_129808_000012_000003	God's Blood!	God's Blood!	true	203.36	204.435	27.858072
1283_129808_000012_000004	You shall answer to me for that word, though it entail a yet worse dishonour to meet you. Faugh!"	You shall answer to me for that word, though it entail a yet worse dishonour to meet you. Faugh!"	false	204.435	210.12	24.433096
1283_129808_000013_000000	"I will remind you," said Blood, "that I am speaking not for myself, but for my men.	"I will remind you," said Blood, "that I am speaking not for myself, but for my men.	true	210.12	214.81	22.022598
1283_129808_000013_000001	It is they who are not satisfied, they who threaten that unless satisfaction is afforded them, and promptly, they will take it."	It is they who are not satisfied, they who threaten that unless satisfaction is afforded them, and promptly, they will take it."	true	214.97	222.28	23.3574
1283_129808_000014_000000	"Take it?" said Rivarol, trembling in his rage.	"Take it?" said Rivarol, trembling in his rage.	false	222.59	225.285	26.149609
1283_129808_000014_000001	"Let them attempt it, and...."	"Let them attempt it, and...."	true	225.285	226.69	30.920658
1283_129808_000015_000000	"Now don't be rash.	"Now don't be rash.	true	226.76	228.09	22.992004
1283_129808_000015_000001	My men are within their rights, as you are aware. They demand to know when this sharing of the spoil is to take place, and when they are to receive the fifth for which their articles provide."	My men are within their rights, as you are aware. They demand to know when this sharing of the spoil is to take place, and when they are to receive the fifth for which their articles provide."	false	228.09	238.09	22.236963
1283_129808_000016_000000	"God give me patience!	"God give me patience!	true	238.7	240.13	20.217903
1283_129808_000016_000001	How can we share the spoil before it has been completely gathered?"	How can we share the spoil before it has been completely gathered?"	true	240.2	243.34	23.097816
1283_129808_000017_000000	"My men have reason to believe that it is gathered; and, anyway, they view with mistrust that it should all be housed aboard your ships, and remain in your possession.	"My men have reason to believe that it is gathered; and, anyway, they view with mistrust that it should all be housed aboard your ships, and remain in your possession.	true	243.77	252.52	21.816128
1283_129808_000017_000001	They say that hereafter there will be no ascertaining what the spoil really amounts to."	They say that hereafter there will be no ascertaining what the spoil really amounts to."	true	253.16	257.62	22.707264
1283_129808_000018_000000	"But--name of Heaven!--I have kept books.	"But-name of Heaven!--I have kept books.	true	257.84	260.46	24.789116
1283_129808_000018_000001	They are there for all to see."	They are there for all to see."	true	260.46	262.15	20.984373
1283_129808_000019_000000	"They do not wish to see account-books.	"They do not wish to see account books.	true	262.76	264.94	26.30595
1283_129808_000019_000001	Few of them can read.	Few of them can read.	true	265.04	266.17	17.552813
1283_129808_000019_000002	They want to view the treasure itself.	They want to view the treasure itself.	true	266.75	268.74	24.798328
1283_129808_000019_000003	They know--you compel me to be blunt--that the accounts have been falsified.	They know-you compel me to be blunt-that the accounts have been falsified.	true	268.74	272.79	26.806637
1283_129808_000019_000004	Your books show the spoil of Cartagena to amount to some ten million livres.	Your books show the spoil of Cartagena to amount to some ten million livres.	false	272.79	277.29	23.426788
1283_129808_000019_000005	The men know--and they are very skilled in these computations--that it exceeds the enormous total of forty millions.	The men know-and they are very skilled in these computations-that it exceeds the enormous total of forty millions.	true	277.29	283.27	23.002642
1283_129808_000019_000006	They insist that the treasure itself be produced and weighed in their presence, as is the custom among the Brethren of the Coast."	They insist that the treasure itself be produced and weighed in their presence, as is the custom among the Brethren of the Coast."	true	283.46	290.11	24.895082
1283_129808_000020_000000	"I know nothing of filibuster customs." The gentleman was disdainful.	"I know nothing of filibuster customs." The gentleman was disdainful.	true	291.23	295.45	26.559887
1283_129808_000021_000000	"But you are learning quickly."	"But you are learning quickly."	true	295.7	297.37	26.344824
1283_129808_000022_000000	"What do you mean, you rogue?	"What do you mean, you rogue?	true	298.19	299.655	26.376774
1283_129808_000022_000001	I am a leader of armies, not of plundering thieves."	I am a leader of armies, not of plundering thieves."	true	299.655	302.35	23.773344
1283_129808_000023_000000	"Oh, but of course!" Blood's irony laughed in his eyes.	"Oh, but of course!" Blood's irony laughed in his eyes.	true	302.48	306.1	22.46743
1283_129808_000023_000001	"Yet, whatever you may be, I warn you that unless you yield to a demand that I consider just and therefore uphold, you may look for trouble, and it would not surprise me if you never leave Cartagena at all, nor convey a single gold piece home to France."	"Yet, whatever you may be, I warn you that unless you yield to a demand that I consider just and therefore uphold, you may look for trouble, and it would not surprise me if you never leave Cartagena at all, nor convey a single gold piece home to France."	false	306.47	319.68	22.745052
1283_129808_000024_000000	"Ah, pardieu!	"Ah, pardieu!	false	319.68	321.3	23.181904
1283_129808_000024_000001	Am I to understand that you are threatening me?"	Am I to understand that you are threatening me?"	true	321.3	323.53	24
1283_129808_000025_000000	"Come, come, M. le Baron!	"Come, come, m le Baron!	false	323.66	325.3	23.000391
1283_129808_000025_000001	I warn you of the trouble that a little prudence may avert.	I warn you of the trouble that a little prudence may avert.	true	325.46	328.63	22.772142
1283_129808_000025_000002	You do not know on what a volcano you are sitting. You do not know the ways of buccaneers.	You do not know on what a volcano you are sitting. You do not know the ways of buccaneers.	true	328.85	333.67	21.548113
1283_129808_000025_000003	If you persist, Cartagena will be drenched in blood, and whatever the outcome the King of France will not have been well served."	If you persist, Cartagena will be drenched in blood, and whatever the outcome the King of France will not have been well served."	false	333.98	340.6	24.454992
1283_129808_000026_000000	That shifted the basis of the argument to less hostile ground.	That shifted the basis of the argument to less hostile ground.	true	341.18	344.23	23.592493
1283_129808_000026_000001	Awhile yet it continued, to be concluded at last by an ungracious undertaking from M. de Rivarol to submit to the demands of the buccaneers.	Awhile yet it continued, to be concluded at last by an ungracious undertaking from m de Rivarol to submit to the demands of the buccaneers.	false	344.48	352	25.018665
1283_129808_000026_000002	He gave it with an extreme ill-grace, and only because Blood made him realize at last that to withhold it longer would be dangerous.	He gave it with an extreme ill grace, and only because Blood made him realize at last that to withhold it longer would be dangerous.	true	352.34	358.93	23.325506
1283_129808_000026_000003	In an engagement, he might conceivably defeat Blood's followers.	In an engagement, he might conceivably defeat Blood's followers.	true	359.36	362.71	22.503004
1283_129808_000026_000004	But conceivably he might not.	But conceivably he might not.	true	362.84	364.63	22.727068
1283_129808_000026_000005	And even if he succeeded, the effort would be so costly to him in men that he might not thereafter find himself in sufficient strength to maintain his hold of what he had seized.	And even if he succeeded, the effort would be so costly to him in men that he might not thereafter find himself in sufficient strength to maintain his hold of what he had seized.	true	364.79	373.45	23.2894
1283_129808_000027_000000	The end of it all was that he gave a promise at once to make the necessary preparations, and if Captain Blood and his officers would wait upon him on board the Victorieuse to-morrow morning, the treasure should be produced, weighed in their presence, and their fifth share surrendered there and then into their own keeping.	The end of it all was that he gave a promise at once to make the necessary preparations, and if Captain Blood and his officers would wait upon him on board the Victorieuse to morrow morning, the treasure should be produced, weighed in their presence, and their fifth share surrendered there and then into their own keeping.	false	374.12	389.17	22.701513
1283_129808_000028_000000	Among the buccaneers that night there was hilarity over the sudden abatement of M. de Rivarol's monstrous pride.	Among the buccaneers that night there was hilarity over the sudden abatement of m de Rivarol's monstrous pride.	false	389.84	395.65	23.180473
1283_129808_000028_000001	But when the next dawn broke over Cartagena, they had the explanation of it.	But when the next dawn broke over Cartagena, they had the explanation of it.	true	395.75	399.91	23.947573
1283_129808_000028_000002	The only ships to be seen in the harbour were the Arabella and the Elizabeth riding at anchor, and the Atropos and the Lachesis careened on the beach for repair of the damage sustained in the bombardment.	The only ships to be seen in the harbour were the Arabella and the Elizabeth riding at anchor, and the Atropos and the Lachesis careened on the beach for repair of the damage sustained in the bombardment.	false	400.16	410.62	24.038961
1283_129808_000028_000003	The French ships were gone.	The French ships were gone.	true	410.96	412.45	23.523237
1283_129808_000028_000004	They had been quietly and secretly warped out of the harbour under cover of night, and three sails, faint and small, on the horizon to westward was all that remained to be seen of them.	They had been quietly and secretly warped out of the harbour under cover of night, and three sails, faint and small, on the horizon to westward was all that remained to be seen of them.	false	412.52	422.02	23.489996
1283_129808_000028_000005	The absconding M. de Rivarol had gone off with the treasure, taking with him the troops and mariners he had brought from France.	The absconding m de Rivarol had gone off with the treasure, taking with him the troops and mariners he had brought from France.	false	422.6	428.62	22.255184
1283_129808_000028_000006	He had left behind him at Cartagena not only the empty-handed buccaneers, whom he had swindled, but also M. de Cussy and the volunteers and negroes from Hispaniola, whom he had swindled no less.	He had left behind him at Cartagena not only the empty handed buccaneers, whom he had swindled, but also m de Cussy and the volunteers and negroes from Hispaniola, whom he had swindled no less.	false	428.93	440.26	21.837372
1283_129808_000029_000000	The two parties were fused into one by their common fury, and before the exhibition of it the inhabitants of that ill-fated town were stricken with deeper terror than they had yet known since the coming of this expedition.	The two parties were fused into one by their common fury, and before the exhibition of it the inhabitants of that ill fated town were stricken with deeper terror than they had yet known since the coming of this expedition.	true	441.68	452.2	23.927044
1283_129808_000030_000000	Captain Blood alone kept his head, setting a curb upon his deep chagrin. He had promised himself that before parting from M. de Rivarol he would present a reckoning for all the petty affronts and insults to which that unspeakable fellow--now proved a scoundrel--had subjected him.	Captain Blood alone kept his head, setting a curb upon his deep chagrin. He had promised himself that before parting from m de Rivarol he would present a reckoning for all the petty affronts and insults to which that unspeakable fellow-now proved a scoundrel-had subjected him.	false	453.05	468.19	27.314646
1283_129808_000031_000000	"We must follow," he declared.	"We must follow," he declared.	true	468.74	470.505	21.408794
1283_129808_000031_000001	"Follow and punish."	"Follow and punish."	true	470.505	471.82	28.794756
1283_129808_000032_000000	At first that was the general cry.	At first that was the general cry.	true	472.37	474.22	28.903225
1283_129808_000032_000001	Then came the consideration that only two of the buccaneer ships were seaworthy--and these could not accommodate the whole force, particularly being at the moment indifferently victualled for a long voyage.	Then came the consideration that only two of the buccaneer ships were seaworthy-and these could not accommodate the whole force, particularly being at the moment indifferently victualled for a long voyage.	true	474.29	483.52	25.199896
1283_129808_000032_000002	The crews of the Lachesis and Atropos and with them their captains, Wolverstone and Yberville, renounced the intention.	The crews of the Lachesis and Atropos and with them their captains, Wolverstone and Yberville, renounced the intention.	false	483.8	492.04	25.687677
1283_129808_000032_000003	After all, there would be a deal of treasure still hidden in Cartagena.	After all, there would be a deal of treasure still hidden in Cartagena.	true	492.77	496.48	26.640469
1283_129808_000032_000004	They would remain behind to extort it whilst fitting their ships for sea.	They would remain behind to extort it whilst fitting their ships for sea.	true	496.76	500.29	21.139915
1283_129808_000032_000005	Let Blood and Hagthorpe and those who sailed with them do as they pleased.	Let Blood and Hagthorpe and those who sailed with them do as they pleased.	true	500.39	504.82	23.391485
1283_129808_000033_000000	Then only did Blood realize the rashness of his proposal, and in attempting to draw back he almost precipitated a battle between the two parties into which that same proposal had now divided the buccaneers. And meanwhile those French sails on the horizon were growing less and less.	Then only did Blood realize the rashness of his proposal, and in attempting to draw back he almost precipitated a battle between the two parties into which that same proposal had now divided the buccaneers. And meanwhile those French sails on the horizon were growing less and less.	false	505.82	520.515	23.091461
1283_129808_000033_000001	Blood was reduced to despair.	Blood was reduced to despair.	true	520.515	522.22	23.274479
1283_129808_000033_000002	If he went off now, Heaven knew what would happen to the town, the temper of those whom he was leaving being what it was.	If he went off now, Heaven knew what would happen to the town, the temper of those whom he was leaving being what it was.	true	522.32	528.19	22.596737
1283_129808_000033_000003	Yet if he remained, it would simply mean that his own and Hagthorpe's crews would join in the saturnalia and increase the hideousness of events now inevitable.	Yet if he remained, it would simply mean that his own and Hagthorpe's crews would join in the saturnalia and increase the hideousness of events now inevitable.	true	528.47	536.92	22.626394
1283_129808_000033_000004	Unable to reach a decision, his own men and Hagthorpe's took the matter off his hands, eager to give chase to Rivarol.	Unable to reach a decision, his own men and Hagthorpe's took the matter off his hands, eager to give chase to Rivarol.	true	537.44	543.76	25.25752
1283_129808_000033_000005	Not only was a dastardly cheat to be punished but an enormous treasure to be won by treating as an enemy this French commander who, himself, had so villainously broken the alliance.	Not only was a dastardly cheat to be punished but an enormous treasure to be won by treating as an enemy this French commander who, himself, had so villainously broken the alliance.	true	544.43	554.08	23.679325
1283_129808_000034_000000	When Blood, torn as he was between conflicting considerations, still hesitated, they bore him almost by main force aboard the Arabella.	When Blood, torn as he was between conflicting considerations, still hesitated, they bore him almost by main force aboard the Arabella.	true	554.99	562.3	23.968367
1283_129808_000035_000000	Within an hour, the water-casks at least replenished and stowed aboard, the Arabella and the Elizabeth put to sea upon that angry chase.	Within an hour, the water casks at least replenished and stowed aboard, the Arabella and the Elizabeth put to sea upon that angry chase.	true	562.64	569.65	23.387491
1283_129808_000036_000000	"When we were well at sea, and the Arabella's course was laid," writes Pitt, in his log, "I went to seek the Captain, knowing him to be in great trouble of mind over these events.	"When we were well at sea, and the Arabella's course was laid," writes Pitt, in his log, "I went to seek the Captain, knowing him to be in great trouble of mind over these events.	false	570.68	579.61	25.026154
1283_129808_000036_000001	I found him sitting alone in his cabin, his head in his hands, torment in the eyes that stared straight before him, seeing nothing."	I found him sitting alone in his cabin, his head in his hands, torment in the eyes that stared straight before him, seeing nothing."	true	579.92	586.75	25.074177
1283_129808_000037_000000	"What now, Peter?" cried the young Somerset mariner.	"What now, peter?" cried the young Somerset mariner.	false	587.42	590.445	26.935484
1283_129808_000037_000001	"Lord, man, what is there here to fret you?	"Lord, man, what is there here to fret you?	false	590.445	592.9	24.930838
1283_129808_000037_000002	Surely 't isn't the thought of Rivarol!"	Surely 't isn't the thought of Rivarol!"	true	592.94	594.85	26.243961
1283_129808_000038_000000	"No," said Blood thickly.	"No," said Blood thickly.	true	595.31	597.19	28.301073
1283_129808_000038_000001	And for once he was communicative.	And for once he was communicative.	true	597.35	599.17	24.197874
1283_129808_000038_000002	It may well be that he must vent the thing that oppressed him or be driven mad by it.	It may well be that he must vent the thing that oppressed him or be driven mad by it.	true	599.36	603.61	24.115654
1283_129808_000038_000003	And Pitt, after all, was his friend and loved him, and, so, a proper man for confidences.	And Pitt, after all, was his friend and loved him, and, so, a proper man for confidences.	true	603.65	608.86	27.811102
1283_129808_000038_000004	"But if she knew!	"But if she knew!	true	609.38	610.66	23.680073
1283_129808_000038_000005	If she knew!	If she knew!	true	610.67	611.445	26.183954
1283_129808_000038_000006	O God!	O God!	true	611.445	612.435	24.881205
1283_129808_000038_000007	I had thought to have done with piracy; thought to have done with it for ever.	I had thought to have done with piracy; thought to have done with it for ever.	true	612.435	616.39	26.50893
1283_129808_000038_000008	Yet here have I been committed by this scoundrel to the worst piracy that ever I was guilty of.	Yet here have I been committed by this scoundrel to the worst piracy that ever I was guilty of.	false	616.64	621.07	22.825571
1283_129808_000038_000009	Think of Cartagena!	Think of Cartagena!	true	621.23	622.57	29.756021
1283_129808_000038_000010	Think of the hell those devils will be making of it now!	Think of the hell those devils will be making of it now!	true	622.64	625.2	20.589418
1283_129808_000038_000011	And I must have that on my soul!"	And I must have that on my soul!"	true	625.2	626.98	22.240152
1283_129808_000039_000000	"Nay, Peter--'t isn't on your soul; but on Rivarol's.	"Nay, peter--'t isn't on your soul; but on Rivarol's.	true	627.35	630.45	23.452652
1283_129808_000039_000001	It is that dirty thief who has brought all this about.	It is that dirty thief who has brought all this about.	false	630.45	633.46	23.086325
1283_129808_000039_000002	What could you have done to prevent it?"	What could you have done to prevent it?"	true	633.71	635.56	22.679193
1283_129808_000040_000000	"I would have stayed if it could have availed."	"I would have stayed if it could have availed."	true	635.75	638.01	25.191084
1283_129808_000041_000000	"It could not, and you know it.	"It could not, and you know it.	false	638.01	639.855	29.495102
1283_129808_000041_000001	So why repine?"	So why repine?"	true	639.855	641.11	29.524239
1283_129808_000042_000000	"There is more than that to it," groaned Blood.	"There is more than that to it," groaned Blood.	true	641.78	644.08	29.192884
1283_129808_000042_000001	"What now?	"What now?	true	644.12	644.97	24.980982
1283_129808_000042_000002	What remains? Loyal service with the English was made impossible for me.	What remains? Loyal service with the English was made impossible for me.	false	644.97	648.975	22.105585
1283_129808_000042_000003	Loyal service with France has led to this; and that is equally impossible hereafter. What to live clean, I believe the only thing is to go and offer my sword to the King of Spain."	Loyal service with France has led to this; and that is equally impossible hereafter. What to live clean, I believe the only thing is to go and offer my sword to the King of Spain."	true	648.975	658.42	23.817263
1283_129808_000043_000000	But something remained--the last thing that he could have expected--something towards which they were rapidly sailing over the tropical, sunlit sea.	But something remained-the last thing that he could have expected-something towards which they were rapidly sailing over the tropical, sunlit sea.	true	659.09	666.28	23.773493
1283_129808_000043_000001	All this against which he now inveighed so bitterly was but a necessary stage in the shaping of his odd destiny.	All this against which he now inveighed so bitterly was but a necessary stage in the shaping of his odd destiny.	true	666.5	672.46	23.982973
1283_129808_000044_000000	Setting a course for Hispaniola, since they judged that thither must Rivarol go to refit before attempting to cross to France, the Arabella and the Elizabeth ploughed briskly northward with a moderately favourable wind for two days and nights without ever catching a glimpse of their quarry.	Setting a course for Hispaniola, since they judged that thither must Rivarol go to refit before attempting to cross to France, the Arabella and the Elizabeth ploughed briskly northward with a moderately favourable wind for two days and nights without ever catching a glimpse of their quarry.	true	673.01	687.34	23.319992
1283_129808_000044_000001	The third dawn brought with it a haze which circumscribed their range of vision to something between two and three miles, and deepened their growing vexation and their apprehension that M. de Rivarol might escape them altogether.	The third dawn brought with it a haze which circumscribed their range of vision to something between two and three miles, and deepened their growing vexation and their apprehension that m de Rivarol might escape them altogether.	false	688.04	699.34	22.866867
1283_129808_000045_000000	Their position then--according to Pitt's log--was approximately 75 deg. 30' W. Long. by 17 deg.	Their position then-according to Pitt's log-was approximately seventy five d e g. thirty feet w Long. by seventeen d e g.	false	699.77	706.56	25.275312
1283_129808_000045_000001	45' N. Lat., so that they had Jamaica on their larboard beam some thirty miles to westward, and, indeed, away to the northwest, faintly visible as a bank of clouds, appeared the great ridge of the Blue Mountains whose peaks were thrust into the clear upper air above the low-lying haze.	forty five feet n Lat., so that they had Jamaica on their larboard beam some thirty miles to westward, and, indeed, away to the northwest, faintly visible as a bank of clouds, appeared the great ridge of the Blue Mountains whose peaks were thrust into the clear upper air above the low lying haze.	false	706.56	722.32	23.065878
1283_129808_000045_000002	The wind, to which they were sailing very close, was westerly, and it bore to their ears a booming sound which in less experienced ears might have passed for the breaking of surf upon a lee shore.	The wind, to which they were sailing very close, was westerly, and it bore to their ears a booming sound which in less experienced ears might have passed for the breaking of surf upon a lee shore.	true	722.81	732.43	23.0783
1283_129808_000046_000000	"Guns!" said Pitt, who stood with Blood upon the quarter-deck.	"Guns!" said Pitt, who stood with Blood upon the quarter deck.	true	732.98	736.47	24.750286
1283_129808_000046_000001	Blood nodded, listening.	Blood nodded, listening.	true	736.47	737.86	23.601496
1283_129808_000047_000000	"Ten miles away, perhaps fifteen--somewhere off Port Royal, I should judge," Pitt added.	"Ten miles away, perhaps fifteen-somewhere off Port Royal, I should judge," Pitt added.	true	738.38	743.22	27.201984
1283_129808_000047_000001	Then he looked at his captain.	Then he looked at his captain.	false	743.22	744.6	28.022728
1283_129808_000047_000002	"Does it concern us?" he asked.	"Does it concern us?" he asked.	true	744.6	746.5	24.052368
1283_129808_000048_000000	"Guns off Port Royal... that should argue Colonel Bishop at work.	"Guns off Port Royal... that should argue Colonel Bishop at work.	true	747.71	751.39	28.439116
1283_129808_000048_000001	And against whom should he be in action but against friends of ours I think it may concern us.	And against whom should he be in action but against friends of ours I think it may concern us.	true	751.58	756.97	22.406527
1283_129808_000048_000002	Anyway, we'll stand in to investigate.	Anyway, we'll stand in to investigate.	true	757.19	759.67	30.064587
1283_129808_000048_000003	Bid them put the helm over."	Bid them put the helm over."	true	759.74	761.41	27.245935
1283_129808_000049_000000	Close-hauled they tacked aweather, guided by the sound of combat, which grew in volume and definition as they approached it.	Close hauled they tacked aweather, guided by the sound of combat, which grew in volume and definition as they approached it.	true	761.69	767.41	22.528059
1283_129808_000049_000001	Thus for an hour, perhaps.	Thus for an hour, perhaps.	true	767.84	769.45	26.058754
1283_129808_000049_000002	Then, as, telescope to his eye, Blood raked the haze, expecting at any moment to behold the battling ships, the guns abruptly ceased.	Then, as, telescope to his eye, Blood raked the haze, expecting at any moment to behold the battling ships, the guns abruptly ceased.	true	769.58	777.13	25.872936
1283_129808_000050_000000	They held to their course, nevertheless, with all hands on deck, eagerly, anxiously scanning the sea ahead.	They held to their course, nevertheless, with all hands on deck, eagerly, anxiously scanning the sea ahead.	true	777.83	783.7	23.79025
1283_129808_000050_000001	And presently an object loomed into view, which soon defined itself for a great ship on fire.	And presently an object loomed into view, which soon defined itself for a great ship on fire.	true	784.01	789.04	23.187313
1283_129808_000050_000002	As the Arabella with the Elizabeth following closely raced nearer on their north-westerly tack, the outlines of the blazing vessel grew clearer. Presently her masts stood out sharp and black above the smoke and flames, and through his telescope Blood made out plainly the pennon of St. George fluttering from her maintop.	As the Arabella with the Elizabeth following closely raced nearer on their north westerly tack, the outlines of the blazing vessel grew clearer. Presently her masts stood out sharp and black above the smoke and flames, and through his telescope Blood made out plainly the pennon of saint George fluttering from her maintop.	true	789.23	805.24	23.917097
1283_129808_000051_000000	"An English ship!" he cried.	"An English ship!" he cried.	true	805.73	807.55	28.658533
