272_130229_000000_000000	Three Months Later	Three Months Later	true	0.78	2.05	18.64956
272_130229_000002_000000	Five Months Later	Five Months Later	true	91.49	93.19	19.29505
272_130229_000003_000000	It is not a kangaroo.	It is not a kangaroo.	true	93.47	95.19	22.480074
272_130229_000003_000001	No, for it supports itself by holding to her finger, and thus goes a few steps on its hind legs, and then falls down.	No, for it supports itself by holding to her finger, and thus goes a few steps on its hind legs, and then falls down.	true	95.19	102.01	20
272_130229_000003_000002	It is probably some kind of a bear; and yet it has no tail--as yet--and no fur, except on its head.	It is probably some kind of a bear; and yet it has no tail-as yet-and no fur, except on its head.	true	102.5	109.33	24.19805
272_130229_000003_000003	It still keeps on growing--that is a curious circumstance, for bears get their growth earlier than this.	It still keeps on growing-that is a curious circumstance, for bears get their growth earlier than this.	false	109.73	115.39	26.939606
272_130229_000003_000004	Bears are dangerous--since our catastrophe--and I shall not be satisfied to have this one prowling about the place much longer without a muzzle on.	Bears are dangerous-since our catastrophe-and I shall not be satisfied to have this one prowling about the place much longer without a muzzle on.	true	115.85	123.64	22.1281
272_130229_000003_000005	I have offered to get her a kangaroo if she would let this one go, but it did no good--she is determined to run us into all sorts of foolish risks, I think.	I have offered to get her a kangaroo if she would let this one go, but it did no good-she is determined to run us into all sorts of foolish risks, I think.	true	124.34	133	24
272_130229_000003_000006	She was not like this before she lost her mind.	She was not like this before she lost her mind.	true	133.52	136.39	23.872057
272_130229_000004_000000	A Fortnight Later	A Fortnight Later	true	137.21	138.76	28.801725
272_130229_000005_000000	I examined its mouth.	I examined its mouth.	true	139.4	141.3	24.88103
272_130229_000005_000001	There is no danger yet; it has only one tooth.	There is no danger yet; it has only one tooth.	true	141.3	144.37	24.05981
272_130229_000005_000002	It has no tail yet.	It has no tail yet.	true	144.38	145.93	20.987663
272_130229_000005_000003	It makes more noise now than it ever did before--and mainly at night.	It makes more noise now than it ever did before-and mainly at night.	true	146.12	150.07	20.123055
272_130229_000005_000004	I have moved out.	I have moved out.	true	150.86	152.56	25.41649
272_130229_000005_000005	But I shall go over, mornings, to breakfast, and to see if it has more teeth. If it gets a mouthful of teeth, it will be time for it to go, tail or no tail, for a bear does not need a tail in order to be dangerous.	But I shall go over, mornings, to breakfast, and to see if it has more teeth. If it gets a mouthful of teeth, it will be time for it to go, tail or no tail, for a bear does not need a tail in order to be dangerous.	false	153.83	165.04	22.779135
272_130229_000006_000000	Four Months Later	Four Months Later	true	166.22	167.68	25.189175
272_130229_000007_000000	I have been off hunting and fishing a month, up in the region that she calls Buffalo; I don't know why, unless it is because there are not any buffaloes there.	I have been off hunting and fishing a month, up in the region that she calls Buffalo; I don't know why, unless it is because there are not any buffaloes there.	false	168.71	176.29	22.164991
272_130229_000007_000001	Meantime the bear has learned to paddle around all by itself on its hind legs, and says "poppa" and "momma."	Meantime the bear has learned to paddle around all by itself on its hind legs, and says "poppa" and "momma."	true	176.72	183.22	22.113636
272_130229_000007_000002	It is certainly a new species.	It is certainly a new species.	true	183.56	185.62	18.787418
272_130229_000007_000003	This resemblance to words may be purely accidental, of course, and may have no purpose or meaning; but even in that case it is still extraordinary, and is a thing which no other bear can do.	This resemblance to words may be purely accidental, of course, and may have no purpose or meaning; but even in that case it is still extraordinary, and is a thing which no other bear can do.	true	185.84	195.75	22
272_130229_000007_000004	This imitation of speech, taken together with general absence of fur and entire absence of tail, sufficiently indicates that this is a new kind of bear.	This imitation of speech, taken together with general absence of fur and entire absence of tail, sufficiently indicates that this is a new kind of bear.	false	195.75	195.96	-20
272_130229_000007_000005	The further study of it will be exceedingly interesting.	The further study of it will be exceedingly interesting.	false	195.96	196.02	-20
272_130229_000007_000006	Meantime I will go off on a far expedition among the forests of the North and make an exhaustive search.	Meantime I will go off on a far expedition among the forests of the North and make an exhaustive search.	false	196.02	196.2	-20
272_130229_000007_000007	There must certainly be another one somewhere, and this one will be less dangerous when it has company of its own species.	There must certainly be another one somewhere, and this one will be less dangerous when it has company of its own species.	false	196.2	196.38	-20
272_130229_000007_000008	I will go straightway; but I will muzzle this one first.	I will go straightway; but I will muzzle this one first.	false	196.38	196.47	-20
272_130229_000008_000000	Three Months Later	Three Months Later	true	196.47	197.92	17.873583
272_130229_000009_000000	It has been a weary, weary hunt, yet I have had no success.	It has been a weary, weary hunt, yet I have had no success.	true	198.62	202.45	16
272_130229_000009_000001	In the mean time, without stirring from the home estate, she has caught another one!	In the mean time, without stirring from the home estate, she has caught another one!	true	202.94	206.71	17.664976
272_130229_000009_000002	I never saw such luck.	I never saw such luck.	true	206.9	208.6	19.605543
272_130229_000009_000003	I might have hunted these woods a hundred years, I never should have run across that thing.	I might have hunted these woods a hundred years, I never should have run across that thing.	true	209.21	213.73	18.793932
272_130229_000010_000000	Next Day	Next Day	true	215.51	216.58	24.631517
272_130229_000011_000000	I have been comparing the new one with the old one, and it is perfectly plain that they are the same breed.	I have been comparing the new one with the old one, and it is perfectly plain that they are the same breed.	false	218.06	223.06	22
272_130229_000011_000001	I was going to stuff one of them for my collection, but she is prejudiced against it for some reason or other; so I have relinquished the idea, though I think it is a mistake.	I was going to stuff one of them for my collection, but she is prejudiced against it for some reason or other; so I have relinquished the idea, though I think it is a mistake.	true	223.49	232.39	22.834843
272_130229_000011_000002	It would be an irreparable loss to science if they should get away.	It would be an irreparable loss to science if they should get away.	true	232.61	235.87	23
272_130229_000011_000003	The old one is tamer than it was, and can laugh and talk like the parrot, having learned this, no doubt, from being with the parrot so much, and having the imitative faculty in a highly developed degree.	The old one is tamer than it was, and can laugh and talk like the parrot, having learned this, no doubt, from being with the parrot so much, and having the imitative faculty in a highly developed degree.	true	236.39	247.3	21.66966
272_130229_000011_000004	I shall be astonished if it turns out to be a new kind of parrot, and yet I ought not to be astonished, for it has already been everything else it could think of, since those first days when it was a fish.	I shall be astonished if it turns out to be a new kind of parrot, and yet I ought not to be astonished, for it has already been everything else it could think of, since those first days when it was a fish.	true	248.21	258.735	24.210552
272_130229_000011_000005	The new one is as ugly now as the old one was at first; has the same sulphur-and-raw-meat complexion and the same singular head without any fur on it.	The new one is as ugly now as the old one was at first; has the same sulphur and raw meat complexion and the same singular head without any fur on it.	true	258.735	268.87	17.348904
272_130229_000011_000006	She calls it Abel.	She calls it Abel.	true	269.3	271.3	22.483208
272_130229_000012_000000	Ten Years Later	Ten Years Later	true	272.27	273.58	20.141624
272_130229_000013_000000	They are boys; we found it out long ago.	They are boys; we found it out long ago.	true	274.91	278.53	22.801727
272_130229_000013_000001	It was their coming in that small, immature shape that puzzled us; we were not used to it. There are some girls now.	It was their coming in that small, immature shape that puzzled us; we were not used to it. There are some girls now.	true	279.14	286.42	18.836452
272_130229_000013_000002	Abel is a good boy, but if Cain had stayed a bear it would have improved him.	Abel is a good boy, but if Cain had stayed a bear it would have improved him.	false	286.79	290.92	20.35281
272_130229_000013_000003	After all these years, I see that I was mistaken about Eve in the beginning; it is better to live outside the Garden with her than inside it without her. At first I thought she talked too much; but now I should be sorry to have that voice fall silent and pass out of my life.	After all these years, I see that I was mistaken about Eve in the beginning; it is better to live outside the Garden with her than inside it without her. At first I thought she talked too much; but now I should be sorry to have that voice fall silent and pass out of my life.	false	291.71	310.18	20.110617
272_130229_000013_000004	Blessed be the chestnut that brought us near together and taught me to know the goodness of her heart and the sweetness of her spirit!	Blessed be the chestnut that brought us near together and taught me to know the goodness of her heart and the sweetness of her spirit!	true	310.61	318.75	24.141733
