4438_52195_000000_000000	CHAPTER XII	CHAPTER twelve	false	0.06	7.75	26.058125
4438_52195_000008_000006	On investigating this sound he identified it as the final snort of Bernard Higginbotham, which somehow had not penetrated to his brain before.	On investigating this sound he identified it as the final snort of Bernard Higginbotham, which somehow had not penetrated to his brain before.	true	218.03	227.38	24.892372
4438_52195_000009_000000	As Ruth's front door closed behind them and he came down the steps with her, he found himself greatly perturbed.	As Ruth's front door closed behind them and he came down the steps with her, he found himself greatly perturbed.	false	228.65	235.42	24.653494
4438_52195_000009_000001	It was not unalloyed bliss, taking her to the lecture.	It was not unalloyed bliss, taking her to the lecture.	true	235.82	239.65	23.475563
4438_52195_000009_000002	He did not know what he ought to do.	He did not know what he ought to do.	true	240.56	242.59	23.920223
4438_52195_000009_000003	He had seen, on the streets, with persons of her class, that the women took the men's arms.	He had seen, on the streets, with persons of her class, that the women took the men's arms.	true	242.93	248.95	23.64849
4438_52195_000009_000004	But then, again, he had seen them when they didn't; and he wondered if it was only in the evening that arms were taken, or only between husbands and wives and relatives.	But then, again, he had seen them when they didn't; and he wondered if it was only in the evening that arms were taken, or only between husbands and wives and relatives.	true	249.23	260.2	21.563154
4438_52195_000010_000000	Just before he reached the sidewalk, he remembered Minnie.	Just before he reached the sidewalk, he remembered Minnie.	true	260.21	263.38	25.278357
4438_52195_000010_000001	Minnie had always been a stickler.	Minnie had always been a stickler.	true	263.75	265.72	25.77968
4438_52195_000010_000002	She had called him down the second time she walked out with him, because he had gone along on the inside, and she had laid the law down to him that a gentleman always walked on the outside--when he was with a lady.	She had called him down the second time she walked out with him, because he had gone along on the inside, and she had laid the law down to him that a gentleman always walked on the outside-when he was with a lady.	false	266.03	278.38	23.33933
4438_52195_000010_000003	And Minnie had made a practice of kicking his heels, whenever they crossed from one side of the street to the other, to remind him to get over on the outside.	And Minnie had made a practice of kicking his heels, whenever they crossed from one side of the street to the other, to remind him to get over on the outside.	true	279.53	288.76	22.83787
4438_52195_000010_000004	He wondered where she had got that item of etiquette, and whether it had filtered down from above and was all right.	He wondered where she had got that item of etiquette, and whether it had filtered down from above and was all right.	false	289.28	295.51	21.532314
4438_52195_000011_000000	It wouldn't do any harm to try it, he decided, by the time they had reached the sidewalk; and he swung behind Ruth and took up his station on the outside.	It wouldn't do any harm to try it, he decided, by the time they had reached the sidewalk; and he swung behind ruth and took up his station on the outside.	true	296.15	305.65	22.87798
4438_52195_000011_000001	Then the other problem presented itself.	Then the other problem presented itself.	true	306.32	308.715	23.062904
4438_52195_000011_000002	Should he offer her his arm?	Should he offer her his arm?	false	308.715	310.63	22.171722
4438_52195_000011_000003	He had never offered anybody his arm in his life.	He had never offered anybody his arm in his life.	true	310.91	313.93	23.496729
4438_52195_000011_000004	The girls he had known never took the fellows' arms.	The girls he had known never took the fellows' arms.	true	314.24	317.2	23.546984
4438_52195_000011_000005	For the first several times they walked freely, side by side, and after that it was arms around the waists, and heads against the fellows' shoulders where the streets were unlighted.	For the first several times they walked freely, side by side, and after that it was arms around the waists, and heads against the fellows' shoulders where the streets were unlighted.	false	317.6	327.58	21.36965
4438_52195_000011_000006	But this was different.	But this was different.	true	327.95	329.295	25.135155
4438_52195_000011_000007	She wasn't that kind of a girl. He must do something.	She wasn't that kind of a girl. He must do something.	true	329.295	332.89	26.770994
4438_52195_000012_000000	He crooked the arm next to her--crooked it very slightly and with secret tentativeness, not invitingly, but just casually, as though he was accustomed to walk that way.	He crooked the arm next to her-crooked it very slightly and with secret tentativeness, not invitingly, but just casually, as though he was accustomed to walk that way.	false	333.77	344.11	25.005932
4438_52195_000012_000001	And then the wonderful thing happened.	And then the wonderful thing happened.	true	344.84	347.32	24.66227
4438_52195_000012_000002	He felt her hand upon his arm.	He felt her hand upon his arm.	true	347.87	350.05	24.16077
4438_52195_000012_000003	Delicious thrills ran through him at the contact, and for a few sweet moments it seemed that he had left the solid earth and was flying with her through the air.	Delicious thrills ran through him at the contact, and for a few sweet moments it seemed that he had left the solid earth and was flying with her through the air.	true	350.3	359.59	23.938946
4438_52195_000012_000004	But he was soon back again, perturbed by a new complication.	But he was soon back again, perturbed by a new complication.	true	360.35	364	27.351133
4438_52195_000012_000005	They were crossing the street. This would put him on the inside.	They were crossing the street. This would put him on the inside.	true	364.31	368.235	23.795893
4438_52195_000012_000006	He should be on the outside.	He should be on the outside.	true	368.235	370.42	24.08832
4438_52195_000012_000007	Should he therefore drop her arm and change over?	Should he therefore drop her arm and change over?	true	370.79	373.51	23.079407
4438_52195_000012_000008	And if he did so, would he have to repeat the manoeuvre the next time?	And if he did so, would he have to repeat the manoeuvre the next time?	true	373.91	377.745	24.463211
4438_52195_000012_000009	And the next?	And the next?	true	377.745	378.82	28.997072
4438_52195_000012_000010	There was something wrong about it, and he resolved not to caper about and play the fool.	There was something wrong about it, and he resolved not to caper about and play the fool.	true	379.19	384.07	23.58092
4438_52195_000012_000011	Yet he was not satisfied with his conclusion, and when he found himself on the inside, he talked quickly and earnestly, making a show of being carried away by what he was saying, so that, in case he was wrong in not changing sides, his enthusiasm would seem the cause for his carelessness.	Yet he was not satisfied with his conclusion, and when he found himself on the inside, he talked quickly and earnestly, making a show of being carried away by what he was saying, so that, in case he was wrong in not changing sides, his enthusiasm would seem the cause for his carelessness.	true	385.46	403.15	22.712826
4438_52195_000013_000000	As they crossed Broadway, he came face to face with a new problem.	As they crossed Broadway, he came face to face with a new problem.	true	405.05	409.06	26.133024
4438_52195_000013_000001	In the blaze of the electric lights, he saw Lizzie Connolly and her giggly friend.	In the blaze of the electric lights, he saw Lizzie Connolly and her giggly friend.	true	409.64	414.37	25.078516
4438_52195_000013_000002	Only for an instant he hesitated, then his hand went up and his hat came off.	Only for an instant he hesitated, then his hand went up and his hat came off.	true	414.89	419.95	25.075708
4438_52195_000013_000003	He could not be disloyal to his kind, and it was to more than Lizzie Connolly that his hat was lifted.	He could not be disloyal to his kind, and it was to more than Lizzie Connolly that his hat was lifted.	true	420.14	426.76	25.04317
4438_52195_000013_000004	She nodded and looked at him boldly, not with soft and gentle eyes like Ruth's, but with eyes that were handsome and hard, and that swept on past him to Ruth and itemized her face and dress and station.	She nodded and looked at him boldly, not with soft and gentle eyes like Ruth's, but with eyes that were handsome and hard, and that swept on past him to ruth and itemized her face and dress and station.	true	427.13	439.51	23.2574
4438_52195_000013_000005	And he was aware that Ruth looked, too, with quick eyes that were timid and mild as a dove's, but which saw, in a look that was a flutter on and past, the working-class girl in her cheap finery and under the strange hat that all working-class girls were wearing just then.	And he was aware that ruth looked, too, with quick eyes that were timid and mild as a dove's, but which saw, in a look that was a flutter on and past, the working class girl in her cheap finery and under the strange hat that all working class girls were wearing just then.	true	440.45	457.45	24.002403
4438_52195_000014_000000	"What a pretty girl!" Ruth said a moment later.	"What a pretty girl!" ruth said a moment later.	true	458.3	461.44	27.248491
4438_52195_000015_000000	Martin could have blessed her, though he said:-	Martin could have blessed her, though he said:-	true	461.96	465.31	27.517532
4438_52195_000016_000000	"I don't know.	"I don't know.	true	465.47	466.425	20.020166
4438_52195_000016_000001	I guess it's all a matter of personal taste, but she doesn't strike me as being particularly pretty."	I guess it's all a matter of personal taste, but she doesn't strike me as being particularly pretty."	true	466.425	471.4	22.963436
4438_52195_000017_000000	"Why, there isn't one woman in ten thousand with features as regular as hers.	"Why, there isn't one woman in ten thousand with features as regular as hers.	true	472.07	476.32	23.278069
4438_52195_000017_000001	They are splendid.	They are splendid.	true	476.45	477.79	23.658756
4438_52195_000017_000002	Her face is as clear-cut as a cameo.	Her face is as clear cut as a cameo.	true	477.8	480.18	24.224743
4438_52195_000017_000003	And her eyes are beautiful."	And her eyes are beautiful."	true	480.18	481.81	22.36011
4438_52195_000018_000000	"Do you think so?" Martin queried absently, for to him there was only one beautiful woman in the world, and she was beside him, her hand upon his arm.	"Do you think so?" Martin queried absently, for to him there was only one beautiful woman in the world, and she was beside him, her hand upon his arm.	true	482.51	492.76	22.950848
4438_52195_000019_000000	"Do I think so?	"Do I think so?	true	493.46	494.74	26.661737
4438_52195_000019_000001	If that girl had proper opportunity to dress, Mr. Eden, and if she were taught how to carry herself, you would be fairly dazzled by her, and so would all men."	If that girl had proper opportunity to dress, mr Eden, and if she were taught how to carry herself, you would be fairly dazzled by her, and so would all men."	true	494.93	504.1	24.078512
4438_52195_000020_000000	"She would have to be taught how to speak," he commented, "or else most of the men wouldn't understand her.	"She would have to be taught how to speak," he commented, "or else most of the men wouldn't understand her.	true	504.95	510.79	25.509794
4438_52195_000020_000001	I'm sure you couldn't understand a quarter of what she said if she just spoke naturally."	I'm sure you couldn't understand a quarter of what she said if she just spoke naturally."	true	511.04	515.02	24
4438_52195_000021_000000	"Nonsense!	"Nonsense!	true	515.45	516.52	20.520815
4438_52195_000021_000001	You are as bad as Arthur when you try to make your point."	You are as bad as Arthur when you try to make your point."	false	516.62	519.61	30.185759
4438_52195_000022_000000	"You forget how I talked when you first met me.	"You forget how I talked when you first met me.	true	520.61	523.09	28.30629
4438_52195_000022_000001	I have learned a new language since then.	I have learned a new language since then.	true	523.25	525.4	25.284107
4438_52195_000022_000002	Before that time I talked as that girl talks.	Before that time I talked as that girl talks.	true	525.53	528.01	30.557934
4438_52195_000022_000003	Now I can manage to make myself understood sufficiently in your language to explain that you do not know that other girl's language.	Now I can manage to make myself understood sufficiently in your language to explain that you do not know that other girl's language.	true	528.35	535.15	22.174335
4438_52195_000022_000004	And do you know why she carries herself the way she does?	And do you know why she carries herself the way she does?	true	535.7	538.54	22.103136
4438_52195_000022_000005	I think about such things now, though I never used to think about them, and I am beginning to understand--much."	I think about such things now, though I never used to think about them, and I am beginning to understand-much."	true	539.03	544.96	24.474176
4438_52195_000023_000000	"But why does she?"	"But why does she?"	true	545.45	546.79	24.274406
4438_52195_000024_000000	"She has worked long hours for years at machines.	"She has worked long hours for years at machines.	true	547.52	550.48	20.989586
4438_52195_000024_000001	When one's body is young, it is very pliable, and hard work will mould it like putty according to the nature of the work.	When one's body is young, it is very pliable, and hard work will mould it like putty according to the nature of the work.	true	550.79	557.74	23.180023
4438_52195_000024_000002	I can tell at a glance the trades of many workingmen I meet on the street.	I can tell at a glance the trades of many workingmen I meet on the street.	true	558.02	561.88	22.21886
4438_52195_000024_000003	Look at me.	Look at me.	true	561.98	562.96	24.952942
4438_52195_000024_000004	Why am I rolling all about the shop?	Why am I rolling all about the shop?	true	563	565.3	24.137936
4438_52195_000024_000005	Because of the years I put in on the sea.	Because of the years I put in on the sea.	true	565.46	567.64	21.509924
4438_52195_000024_000006	If I'd put in the same years cow-punching, with my body young and pliable, I wouldn't be rolling now, but I'd be bow-legged.	If I'd put in the same years cow punching, with my body young and pliable, I wouldn't be rolling now, but I'd be bow legged.	false	568.25	575.115	22.89691
4438_52195_000024_000007	And so with that girl. You noticed that her eyes were what I might call hard.	And so with that girl. You noticed that her eyes were what I might call hard.	true	575.115	580.03	23.956934
4438_52195_000024_000008	She has never been sheltered.	She has never been sheltered.	true	580.19	581.95	25.33604
4438_52195_000024_000009	She has had to take care of herself, and a young girl can't take care of herself and keep her eyes soft and gentle like--like yours, for example."	She has had to take care of herself, and a young girl can't take care of herself and keep her eyes soft and gentle like-like yours, for example."	true	582.23	590.32	25.16371
4438_52195_000025_000000	"I think you are right," Ruth said in a low voice.	"I think you are right," ruth said in a low voice.	true	591.08	594.34	24.007774
4438_52195_000025_000001	"And it is too bad. She is such a pretty girl."	"And it is too bad. She is such a pretty girl."	true	595.46	598.42	27.81918
4438_52195_000026_000000	He looked at her and saw her eyes luminous with pity.	He looked at her and saw her eyes luminous with pity.	true	599.6	602.68	23.618338
4438_52195_000026_000001	And then he remembered that he loved her and was lost in amazement at his fortune that permitted him to love her and to take her on his arm to a lecture.	And then he remembered that he loved her and was lost in amazement at his fortune that permitted him to love her and to take her on his arm to a lecture.	true	603.08	611.86	22.938652
4438_52195_000027_000000	Who are you, Martin Eden? he demanded of himself in the looking-glass, that night when he got back to his room.	Who are you, Martin Eden? he demanded of himself in the looking glass, that night when he got back to his room.	true	613.43	620.38	21.81761
4438_52195_000027_000001	He gazed at himself long and curiously.	He gazed at himself long and curiously.	false	620.75	623.26	27.694328
4438_52195_000027_000002	Who are you?	Who are you?	true	623.78	625.005	21.958672
4438_52195_000027_000003	What are you?	What are you?	true	625.005	626.11	22.269974
4438_52195_000027_000004	Where do you belong?	Where do you belong?	true	626.24	627.91	22.160141
4438_52195_000027_000005	You belong by rights to girls like Lizzie Connolly.	You belong by rights to girls like Lizzie Connolly.	true	628.37	631.21	21.613678
4438_52195_000027_000006	You belong with the legions of toil, with all that is low, and vulgar, and unbeautiful.	You belong with the legions of toil, with all that is low, and vulgar, and unbeautiful.	true	631.85	636.85	23.926079
4438_52195_000027_000007	You belong with the oxen and the drudges, in dirty surroundings among smells and stenches.	You belong with the oxen and the drudges, in dirty surroundings among smells and stenches.	true	637.4	642.85	22.558262
4438_52195_000027_000008	There are the stale vegetables now.	There are the stale vegetables now.	true	643.43	645.495	21.32139
4438_52195_000027_000009	Those potatoes are rotting.	Those potatoes are rotting.	true	645.495	647.08	20.629833
4438_52195_000027_000010	Smell them, damn you, smell them.	Smell them, damn you, smell them.	true	647.12	649.42	22.539043
4438_52195_000027_000011	And yet you dare to open the books, to listen to beautiful music, to learn to love beautiful paintings, to speak good English, to think thoughts that none of your own kind thinks, to tear yourself away from the oxen and the Lizzie Connollys and to love a pale spirit of a woman who is a million miles beyond you and who lives in the stars!	And yet you dare to open the books, to listen to beautiful music, to learn to love beautiful paintings, to speak good English, to think thoughts that none of your own kind thinks, to tear yourself away from the oxen and the Lizzie Connollys and to love a pale spirit of a woman who is a million miles beyond you and who lives in the stars!	false	650.15	670.87	23.429266
4438_52195_000027_000012	Who are you? and what are you?	Who are you? and what are you?	true	671.66	674.32	22.634123
4438_52195_000027_000013	damn you!	damn you!	true	674.51	675.49	24.878773
4438_52195_000027_000014	And are you going to make good?	And are you going to make good?	true	675.8	678.01	24.926815
4438_52195_000028_000000	He shook his fist at himself in the glass, and sat down on the edge of the bed to dream for a space with wide eyes.	He shook his fist at himself in the glass, and sat down on the edge of the bed to dream for a space with wide eyes.	true	679.31	686.29	24.679125
4438_52195_000028_000001	Then he got out note-book and algebra and lost himself in quadratic equations, while the hours slipped by, and the stars dimmed, and the gray of dawn flooded against his window.	Then he got out note book and algebra and lost himself in quadratic equations, while the hours slipped by, and the stars dimmed, and the gray of dawn flooded against his window.	true	687.53	698.88	23.291004
4438_52195_000029_000000	CHAPTER XIII	CHAPTER thirteen	false	698.88	699.15	-20
4438_52195_000030_000000	It was the knot of wordy socialists and working-class philosophers that held forth in the City Hall Park on warm afternoons that was responsible for the great discovery.	It was the knot of wordy socialists and working class philosophers that held forth in the City Hall Park on warm afternoons that was responsible for the great discovery.	false	699.15	700.32	56.1324
4438_52195_000030_000001	Once or twice in the month, while riding through the park on his way to the library, Martin dismounted from his wheel and listened to the arguments, and each time he tore himself away reluctantly.	Once or twice in the month, while riding through the park on his way to the library, Martin dismounted from his wheel and listened to the arguments, and each time he tore himself away reluctantly.	false	700.32	700.32	
4438_52195_000030_000002	The tone of discussion was much lower than at Mr. Morse's table.	The tone of discussion was much lower than at mr Morse's table.	false	700.32	700.5	20
4438_52195_000030_000003	The men were not grave and dignified.	The men were not grave and dignified.	false	700.5	700.59	16
4438_52195_000030_000004	They lost their tempers easily and called one another names, while oaths and obscene allusions were frequent on their lips.	They lost their tempers easily and called one another names, while oaths and obscene allusions were frequent on their lips.	false	700.59	700.83	26
4438_52195_000030_000005	Once or twice he had seen them come to blows.	Once or twice he had seen them come to blows.	false	700.83	700.95	25
4438_52195_000030_000006	And yet, he knew not why, there seemed something vital about the stuff of these men's thoughts.	And yet, he knew not why, there seemed something vital about the stuff of these men's thoughts.	false	700.95	701.13	14
4438_52195_000030_000007	Their logomachy was far more stimulating to his intellect than the reserved and quiet dogmatism of Mr. Morse. These men, who slaughtered English, gesticulated like lunatics, and fought one another's ideas with primitive anger, seemed somehow to be more alive than Mr. Morse and his crony, Mr. Butler.	Their logomachy was far more stimulating to his intellect than the reserved and quiet dogmatism of mr Morse. These men, who slaughtered English, gesticulated like lunatics, and fought one another's ideas with primitive anger, seemed somehow to be more alive than mr Morse and his crony, mr Butler.	false	701.13	701.73	-1
