5239_32139_000002_000000	CHAPTER V.	CHAPTER five
5239_32139_000037_000001	They regarded agriculture as the principal interest of the nation, and held great agricultural fairs and festivals for the interchange of the productions of the farmers.	They regarded agriculture as the principal interest of the nation, and held great agricultural fairs and festivals for the interchange of the productions of the farmers.
5239_32139_000038_000000	15.	fifteen.
5239_32139_000038_000001	The king opened the agricultural season by a great celebration, and, like the kings of Egypt, he put his hand to the plough, and ploughed the first furrow.	The king opened the agricultural season by a great celebration, and, like the kings of Egypt, he put his hand to the plough, and ploughed the first furrow.
5239_32139_000039_000000	16.	sixteen.
5239_32139_000040_000000	17.	seventeen.
5239_32139_000040_000001	There was a striking resemblance between the architecture of the Peruvians and that of some of the nations of the Old World.	There was a striking resemblance between the architecture of the Peruvians and that of some of the nations of the Old World.
5239_32139_000040_000002	It is enough for me to quote Mr. Ferguson's words, that the coincidence between the buildings of the Incas and the Cyclopean remains attributed to the Pelasgians in Italy and Greece "is the most remarkable in the history of architecture."	It is enough for me to quote mr Ferguson's words, that the coincidence between the buildings of the Incas and the Cyclopean remains attributed to the Pelasgians in Italy and Greece "is the most remarkable in the history of architecture."
5239_32139_000044_000000	Even the mode of decorating their palaces and temples finds a parallel in the Old World.	Even the mode of decorating their palaces and temples finds a parallel in the Old World.
5239_32139_000044_000001	A recent writer says:	A recent writer says:
5239_32139_000047_000001	"that a study of ancient Peruvian pottery has constantly reminded me of forms with which we are familiar in Egyptian archaeology."	"that a study of ancient Peruvian pottery has constantly reminded me of forms with which we are familiar in Egyptian archaeology."
5239_32139_000049_000000	In Peru we find vases with very much the same style of face.	In Peru we find vases with very much the same style of face.
5239_32139_000050_000000	I might pursue those parallels much farther; but it seems to me that these extraordinary coincidences must have arisen either from identity of origin or long-continued ancient intercourse.	I might pursue those parallels much farther; but it seems to me that these extraordinary coincidences must have arisen either from identity of origin or long continued ancient intercourse.
5239_32139_000053_000000	"Senor Lopez's view, that the Peruvians were Aryans who left the parent stock long before the Teutonic or Hellenic races entered Europe, is supported by arguments drawn from language, from the traces of institutions, from religious beliefs, from legendary records, and artistic remains.	"Senor Lopez's view, that the Peruvians were Aryans who left the parent stock long before the Teutonic or Hellenic races entered Europe, is supported by arguments drawn from language, from the traces of institutions, from religious beliefs, from legendary records, and artistic remains.
5239_32139_000053_000001	The evidence from language is treated scientifically, and not as a kind of ingenious guessing.	The evidence from language is treated scientifically, and not as a kind of ingenious guessing.
5239_32139_000053_000002	Senor Lopez first combats the idea that the living dialect of Peru is barbarous and fluctuating.	Senor Lopez first combats the idea that the living dialect of Peru is barbarous and fluctuating.
5239_32139_000053_000003	It is not one of the casual and shifting forms of speech produced by nomad races.	It is not one of the casual and shifting forms of speech produced by nomad races.
5239_32139_000053_000004	To which of the stages of language does this belong--the agglutinative, in which one root is fastened on to another, and a word is formed in which the constitutive elements are obviously distinct, or the inflexional, where the auxiliary roots get worn down and are only distinguishable by the philologist?	To which of the stages of language does this belong-the agglutinative, in which one root is fastened on to another, and a word is formed in which the constitutive elements are obviously distinct, or the inflexional, where the auxiliary roots get worn down and are only distinguishable by the philologist?
5239_32139_000054_000001	But many of these forms are due to a scanty alphabet, and really express familiar sounds; and many, again, result from the casual spelling of the Spaniards.	But many of these forms are due to a scanty alphabet, and really express familiar sounds; and many, again, result from the casual spelling of the Spaniards.
5239_32139_000056_000006	It is impossible to do more than refer to the supposed Aryan roots contained in the glossary, but it may be noticed that the future of the Quichuan verb is formed in s--I love, Munani; I shall love, Munasa--and that the affixes denoting cases in the noun are curiously like the Greek prepositions."	It is impossible to do more than refer to the supposed Aryan roots contained in the glossary, but it may be noticed that the future of the Quichuan verb is formed in s-I love, Munani; I shall love, Munasa-and that the affixes denoting cases in the noun are curiously like the Greek prepositions."
5239_32139_000059_000000	[Since the above was written I have received a letter from Dr. Falb, dated Leipsic, April 5th, 1881.	[Since the above was written I have received a letter from dr Falb, dated Leipsic, april fifth eighteen eighty one.
5239_32139_000059_000002	A work from such a source, upon so curious and important a subject, will be looked for with great interest.]	A work from such a source, upon so curious and important a subject, will be looked for with great interest.]
5239_32139_000060_000000	But it is impossible that the Quichuas and Aimaras could have passed across the wide Atlantic to Europe if there had been no stepping-stone in the shape of Atlantis with its bridge-like ridges connecting the two continents.	But it is impossible that the Quichuas and Aimaras could have passed across the wide Atlantic to Europe if there had been no stepping stone in the shape of Atlantis with its bridge like ridges connecting the two continents.
