5239_32139_000000_000000	Neptune was Poseidon, according to Plato, founder of Atlantis.	Neptune was Poseidon, according to Plato, founder of Atlantis.	false	0	5.94	24.55937
5239_32139_000007_000002	We have here a tradition of castes like that preserved in the four tribal names of Athens." The laboring class (naturally enough in a new colony) obtained the supremacy, and its leader was named Pirhua-manco, revealer of Pir, light (p[~u]r, Umbrian pir).	We have here a tradition of castes like that preserved in the four tribal names of Athens." The laboring class (naturally enough in a new colony) obtained the supremacy, and its leader was named Pirhua manco, revealer of p i r, light (p[~ u]r, Umbrian p i r).	false	180.41	199.9	24.511467
5239_32139_000007_000003	Do the laws which control the changes of language, by which a labial succeeds a labial, indicate that the Mero or Merou of Theopompus, the name of Atlantis, was carried by the colonists of Atlantis to South America (as the name of old York was transplanted in a later age to New York), and became in time Perou or Peru?	Do the laws which control the changes of language, by which a labial succeeds a labial, indicate that the Mero or Merou of Theopompus, the name of Atlantis, was carried by the colonists of Atlantis to South America (as the name of old York was transplanted in a later age to New York), and became in time Perou or Peru?	false	200	224.295	24.283583
5239_32139_000007_000004	Was not the Nubian "Island of Merou," with its pyramids built by "red men," a similar transplantation?	Was not the Nubian "Island of Merou," with its pyramids built by "red men," a similar transplantation?	true	224.295	231.82	23.793596
5239_32139_000007_000005	And when the Hindoo priest points to his sacred emblem with five projecting points upon it, and tells us that they typify "Mero and the four quarters of the world," does he not refer to Atlantis and its ancient universal empire?	And when the Hindoo priest points to his sacred emblem with five projecting points upon it, and tells us that they typify "Mero and the four quarters of the world," does he not refer to Atlantis and its ancient universal empire?	false	231.95	247.02	23
5239_32139_000008_000000	Manco, in the names of the Peruvian colonists, it has been urged, was the same as Mannus, Mann, and the Santhal Maniko.	Manco, in the names of the Peruvian colonists, it has been urged, was the same as Mannus, Mann, and the Santhal Maniko.	false	247.02	255.555	24
5239_32139_000008_000001	It reminds us of Menes, Minos, etc., who are found at the beginning of so many of the Old World traditions.	It reminds us of Menes, Minos, etc, who are found at the beginning of so many of the Old World traditions.	false	255.555	263.2	21.491276
5239_32139_000009_000000	The Quichuas--this invading people--were originally a fair skinned race, with blue eyes and light and even auburn hair; they had regular features, large heads, and large bodies.	The Quichuas-this invading people-were originally a fair skinned race, with blue eyes and light and even auburn hair; they had regular features, large heads, and large bodies.	false	263.36	275.2	22.973602
5239_32139_000009_000001	Their descendants are to this day an olive-skinned people, much lighter in color than the Indian tribes subjugated by them.	Their descendants are to this day an olive skinned people, much lighter in color than the Indian tribes subjugated by them.	true	275.33	283.48	23
5239_32139_000010_000000	They were a great race.	They were a great race.	true	283.58	285.3	22.637253
5239_32139_000010_000001	Peru, as it was known to the Spaniards, held very much the same relation to the ancient Quichua civilization as England in the sixteenth century held to the civilization of the empire of the Caesars.	Peru, as it was known to the Spaniards, held very much the same relation to the ancient Quichua civilization as England in the sixteenth century held to the civilization of the empire of the Caesars.	false	285.3	298.48	21
5239_32139_000010_000002	The Incas were simply an offshoot, who, descending from the mountains, subdued the rude races of the sea-coast, and imposed their ancient civilization upon them.	The Incas were simply an offshoot, who, descending from the mountains, subdued the rude races of the sea coast, and imposed their ancient civilization upon them.	true	298.58	308.29	20.97133
5239_32139_000011_000000	The Quichua nation extended at one time over a region of country more than two thousand miles long.	The Quichua nation extended at one time over a region of country more than two thousand miles long.	false	308.45	315.01	21.935017
5239_32139_000011_000001	This whole region, when the Spaniards arrived, "was a populous and prosperous empire, complete in its civil organization, supported by an efficient system of industry, and presenting a notable development of some of the more important arts of civilized life." (Baldwin's "Ancient America," p. 222.)	This whole region, when the Spaniards arrived, "was a populous and prosperous empire, complete in its civil organization, supported by an efficient system of industry, and presenting a notable development of some of the more important arts of civilized life." (Baldwin's "Ancient America," p. two hundred twenty two.)	false	315.05	334.53	24.004583
5239_32139_000012_000000	The companions of Pizarro found everywhere the evidences of a civilization of vast antiquity.	The companions of Pizarro found everywhere the evidences of a civilization of vast antiquity.	true	334.53	340.9	19
5239_32139_000012_000001	Cieca de Leon mentions "great edifices" that were in ruins at Tiahuanaca, "an artificial hill raised on a groundwork of stone," and "two stone idols, apparently made by skilful artificers," ten or twelve feet high, clothed in long robes.	c i e c a de Leon mentions "great edifices" that were in ruins at Tiahuanaca, "an artificial hill raised on a groundwork of stone," and "two stone idols, apparently made by skilful artificers," ten or twelve feet high, clothed in long robes.	false	341.03	357.79	24.49146
5239_32139_000012_000002	"In this place, also," says De Leon, "there are stones so large and so overgrown that our wonder is excited, it being incomprehensible how the power of man could have placed them where we see them.	"In this place, also," says De Leon, "there are stones so large and so overgrown that our wonder is excited, it being incomprehensible how the power of man could have placed them where we see them.	true	357.8	369.94	20
5239_32139_000012_000003	They are variously wrought, and some of them, having the form of men, must have been idols. Near the walls are many caves and excavations under the earth; but in another place, farther west, are other and greater monuments, such as large gate-ways with hinges, platforms, and porches, each made of a single stone.	They are variously wrought, and some of them, having the form of men, must have been idols. Near the walls are many caves and excavations under the earth; but in another place, farther west, are other and greater monuments, such as large gate ways with hinges, platforms, and porches, each made of a single stone.	true	370.01	389.98	22.486403
5239_32139_000012_000004	It surprised me to see these enormous gate-ways, made of great masses of stone, some of which were thirty feet long, fifteen high, and six thick."	It surprised me to see these enormous gate ways, made of great masses of stone, some of which were thirty feet long, fifteen high, and six thick."	true	390.08	399.72	22.384764
5239_32139_000013_000000	The capital of the Chimus of Northern Peru at Gran-Chimu was conquered by the Incas after a long and bloody struggle, and the capital was given up to barbaric ravage and spoliation.	The capital of the Chimus of Northern Peru at Gran Chimu was conquered by the Incas after a long and bloody struggle, and the capital was given up to barbaric ravage and spoliation.	false	399.72	411.855	18
5239_32139_000013_000001	But its remains exist to-day, the marvel of the Southern Continent, covering not less than twenty square miles.	But its remains exist to day, the marvel of the Southern Continent, covering not less than twenty square miles.	true	411.855	418.63	22.529463
5239_32139_000013_000002	Tombs, temples, and palaces arise on every hand, ruined but still traceable.	Tombs, temples, and palaces arise on every hand, ruined but still traceable.	true	418.73	424.81	22.398825
5239_32139_000013_000003	Immense pyramidal structures, some of them half a mile in circuit; vast areas shut in by massive walls, each containing its water-tank, its shops, municipal edifices, and the dwellings of its inhabitants, and each a branch of a larger organization; prisons, furnaces for smelting metals, and almost every concomitant of civilization, existed in the ancient Chimu capital.	Immense pyramidal structures, some of them half a mile in circuit; vast areas shut in by massive walls, each containing its water tank, its shops, municipal edifices, and the dwellings of its inhabitants, and each a branch of a larger organization; prisons, furnaces for smelting metals, and almost every concomitant of civilization, existed in the ancient Chimu capital.	false	425.03	449.8	22.268353
5239_32139_000013_000004	One of the great pyramids, called the "Temple of the Sun," is 812 feet long by 470 wide, and 150 high.	One of the great pyramids, called the "Temple of the Sun," is eight hundred twelve feet long by four hundred seventy wide, and one hundred fifty high.	false	449.9	458.655	23
5239_32139_000013_000005	These vast structures have been ruined for centuries, but still the work of excavation is going on.	These vast structures have been ruined for centuries, but still the work of excavation is going on.	true	458.655	464.35	23.451277
5239_32139_000014_000000	One of the centres of the ancient Quichua civilization was around Lake Titicaca.	One of the centres of the ancient Quichua civilization was around Lake Titicaca.	true	464.42	469.78	22.038643
5239_32139_000014_000001	The buildings here, as throughout Peru, were all constructed of hewn stone, and had doors and windows with posts, sills, and thresholds of stone.	The buildings here, as throughout Peru, were all constructed of hewn stone, and had doors and windows with posts, sills, and thresholds of stone.	true	469.79	479.29	23.739918
5239_32139_000015_000000	At Cuelap, in Northern Peru, remarkable ruins were found.	At Cuelap, in Northern Peru, remarkable ruins were found.	true	479.42	483.64	24.538183
5239_32139_000015_000001	"They consist of a wall of wrought stones 3600 feet long, 560 broad, and 150 high, constituting a solid mass with a level summit.	"They consist of a wall of wrought stones three thousand six hundred feet long, five hundred sixty broad, and one hundred fifty high, constituting a solid mass with a level summit.	false	483.74	493.63	21.833775
5239_32139_000015_000002	On this mass was another 600 feet long, 500 broad, and 150 high," making an aggregate height of three hundred feet!	On this mass was another six hundred feet long, five hundred broad, and one hundred fifty high," making an aggregate height of three hundred feet!	false	493.67	502.695	21.621002
5239_32139_000015_000003	In it were rooms and cells which were used as tombs.	In it were rooms and cells which were used as tombs.	true	502.695	506.08	21.236252
5239_32139_000016_000000	Very ancient ruins, showing remains of large and remarkable edifices, were found near Huamanga, and described by Cieca de Leon.	Very ancient ruins, showing remains of large and remarkable edifices, were found near Huamanga, and described by c i e c a de Leon.	false	506.15	515.38	17
5239_32139_000016_000001	The native traditions said this city was built "by bearded white men, who came there long before the time of the Incas, and established a settlement."	The native traditions said this city was built "by bearded white men, who came there long before the time of the Incas, and established a settlement."	false	515.57	524.56	22
5239_32139_000017_000000	"The Peruvians made large use of aqueducts, which they built with notable skill, using hewn stones and cement, and making them very substantial." One extended four hundred and fifty miles across sierras and over rivers.	"The Peruvians made large use of aqueducts, which they built with notable skill, using hewn stones and cement, and making them very substantial." One extended four hundred and fifty miles across sierras and over rivers.	false	524.69	538.93	22.355875
5239_32139_000017_000001	Think of a stone aqueduct reaching from the city of New York to the State of North Carolina!	Think of a stone aqueduct reaching from the city of New York to the State of North Carolina!	true	539.06	544.44	26.447088
5239_32139_000018_000000	The public roads of the Peruvians were most remarkable; they were built on masonry.	The public roads of the Peruvians were most remarkable; they were built on masonry.	true	544.44	549.31	23.853754
5239_32139_000018_000001	One of these roads ran along the mountains through the whole length of the empire, from Quito to Chili; another, starting from this at Cuzco, went down to the coast, and extended northward to the equator.	One of these roads ran along the mountains through the whole length of the empire, from Quito to Chili; another, starting from this at Cuzco, went down to the coast, and extended northward to the equator.	false	549.41	561.4	23.732714
5239_32139_000018_000002	These roads were from twenty to twenty-five feet wide, were macadamized with pulverized stone mixed with lime and bituminous cement, and were walled in by strong walls "more than a fathom in thickness." In many places these roads were cut for leagues through the rock; great ravines were filled up with solid masonry; rivers were crossed by suspension bridges, used here ages before their introduction into Europe.	These roads were from twenty to twenty five feet wide, were macadamized with pulverized stone mixed with lime and bituminous cement, and were walled in by strong walls "more than a fathom in thickness." In many places these roads were cut for leagues through the rock; great ravines were filled up with solid masonry; rivers were crossed by suspension bridges, used here ages before their introduction into Europe.	true	561.5	586.71	23.88184
5239_32139_000018_000003	Says Baldwin, "The builders of our Pacific Railroad, with their superior engineering skill and mechanical appliances, might reasonably shrink from the cost and the difficulties of such a work as this. Extending from one degree north of Quito to Cuzco, and from Cuzco to Chili, it was quite as long as the two Pacific railroads, and its wild route among the mountains was far more difficult." Sarmiento, describing it, said, "It seems to me that if the emperor (Charles V.) should see fit to order the construction of another road like that which leads from Quito to Cuzco, or that which from Cuzco goes toward Chili, I certainly think he would not be able to make it, with all his power." Humboldt said, "This road was marvellous; none of the Roman roads I had seen in Italy, in the south of France, or in Spain, appeared to me more imposing than this work of the ancient Peruvians."	Says Baldwin, "The builders of our Pacific Railroad, with their superior engineering skill and mechanical appliances, might reasonably shrink from the cost and the difficulties of such a work as this. Extending from one degree north of Quito to Cuzco, and from Cuzco to Chili, it was quite as long as the two Pacific railroads, and its wild route among the mountains was far more difficult." Sarmiento, describing it, said, "It seems to me that if the emperor (Charles the fifth) should see fit to order the construction of another road like that which leads from Quito to Cuzco, or that which from Cuzco goes toward Chili, I certainly think he would not be able to make it, with all his power." Humboldt said, "This road was marvellous; none of the Roman roads I had seen in Italy, in the south of France, or in Spain, appeared to me more imposing than this work of the ancient Peruvians."	false	586.71	640.45	23.779907
5239_32139_000019_000000	Along these great roads caravansaries were established for the accommodation of travellers.	Along these great roads caravansaries were established for the accommodation of travellers.	false	640.67	646.45	22.227575
5239_32139_000020_000000	These roads were ancient in the time of the Incas.	These roads were ancient in the time of the Incas.	false	646.58	649.66	24.64509
5239_32139_000020_000001	They were the work of the white, auburn-haired, bearded men from Atlantis, thousands of years before the time of the Incas.	They were the work of the white, auburn haired, bearded men from Atlantis, thousands of years before the time of the Incas.	true	649.82	657.31	23.643732
5239_32139_000020_000002	When Huayna Capac marched his army over the main road to invade Quito, it was so old and decayed "that he found great difficulties in the passage," and he immediately ordered the necessary reconstructions.	When Huayna Capac marched his army over the main road to invade Quito, it was so old and decayed "that he found great difficulties in the passage," and he immediately ordered the necessary reconstructions.	false	657.83	672.4	24.361555
5239_32139_000021_000000	It is not necessary, in a work of this kind, to give a detailed description of the arts and civilization of the Peruvians.	It is not necessary, in a work of this kind, to give a detailed description of the arts and civilization of the Peruvians.	false	673.01	680.235	18
5239_32139_000021_000001	They were simply marvellous.	They were simply marvellous.	true	680.235	682.21	19.723307
5239_32139_000021_000002	Their works in cotton and wool exceeded in fineness anything known in Europe at that time.	Their works in cotton and wool exceeded in fineness anything known in Europe at that time.	true	682.79	689.2	25.673586
5239_32139_000021_000003	They had carried irrigation, agriculture, and the cutting of gems to a point equal to that of the Old World.	They had carried irrigation, agriculture, and the cutting of gems to a point equal to that of the Old World.	true	689.48	696.13	21.95392
5239_32139_000021_000004	Their accumulations of the precious metals exceeded anything previously known in the history of the world.	Their accumulations of the precious metals exceeded anything previously known in the history of the world.	true	696.2	703.09	22.90354
5239_32139_000021_000005	In the course of twenty-five years after the Conquest the Spaniards sent from Peru to Spain more than eight hundred millions of dollars of gold, nearly all of it taken from the Peruvians as "booty." In one of their palaces "they had an artificial garden, the soil of which was made of small pieces of fine gold, and this was artificially planted with different kinds of maize, which were of gold, their stems, leaves, and ears.	In the course of twenty five years after the Conquest the Spaniards sent from Peru to Spain more than eight hundred millions of dollars of gold, nearly all of it taken from the Peruvians as "booty." In one of their palaces "they had an artificial garden, the soil of which was made of small pieces of fine gold, and this was artificially planted with different kinds of maize, which were of gold, their stems, leaves, and ears.	false	703.4	729.04	23.281982
5239_32139_000021_000006	Besides this, they had more than twenty sheep (llamas) with their lambs, attended by shepherds, all made of gold." In a description of one lot of golden articles, sent to Spain in 1534 by Pizarro, there is mention of "four llamas, ten statues of women of full size, and a cistern of gold, so curious that it excited the wonder of all."	Besides this, they had more than twenty sheep (llamas) with their lambs, attended by shepherds, all made of gold." In a description of one lot of golden articles, sent to Spain in fifteen thirty four by Pizarro, there is mention of "four llamas, ten statues of women of full size, and a cistern of gold, so curious that it excited the wonder of all."	false	729.38	751.66	22.27743
5239_32139_000022_000000	Can any one read these details and declare Plato's description of Atlantis to be fabulous, simply because he tells us of the enormous quantities of gold and silver possessed by the people?	Can any one read these details and declare Plato's description of Atlantis to be fabulous, simply because he tells us of the enormous quantities of gold and silver possessed by the people?	true	751.94	763.15	23.51732
5239_32139_000022_000001	Atlantis was the older country, the parent country, the more civilized country; and, doubtless, like the Peruvians, its people regarded the precious metals as sacred to their gods; and they had been accumulating them from all parts of the world for countless ages.	Atlantis was the older country, the parent country, the more civilized country; and, doubtless, like the Peruvians, its people regarded the precious metals as sacred to their gods; and they had been accumulating them from all parts of the world for countless ages.	true	763.49	778.39	23.048935
5239_32139_000022_000002	If the story of Plato is true, there now lies beneath the waters of the Atlantic, covered, doubtless, by hundreds of feet of volcanic debris, an amount of gold and silver exceeding many times that brought to Europe from Peru, Mexico, and Central America since the time of Columbus; a treasure which, if brought to light, would revolutionize the financial values of the world.	If the story of Plato is true, there now lies beneath the waters of the Atlantic, covered, doubtless, by hundreds of feet of volcanic debris, an amount of gold and silver exceeding many times that brought to Europe from Peru, Mexico, and Central America since the time of Columbus; a treasure which, if brought to light, would revolutionize the financial values of the world.	false	778.67	802.78	23
5239_32139_000023_000000	I have already shown, in the chapter upon the similarities between the civilizations of the Old and New Worlds, some of the remarkable coincidences which existed between the Peruvians and the ancient European races; I will again briefly, refer to a few of them:	I have already shown, in the chapter upon the similarities between the civilizations of the Old and New Worlds, some of the remarkable coincidences which existed between the Peruvians and the ancient European races; I will again briefly, refer to a few of them:	true	803	818.59	21.963774
5239_32139_000024_000000	1.	one.	true	818.84	819.495	38.77924
5239_32139_000024_000001	They worshipped the sun, moon, and planets.	They worshipped the sun, moon, and planets.	true	819.495	822.33	23.194267
5239_32139_000025_000000	2.	two.	false	822.33	823.35	22.464542
5239_32139_000025_000001	They believed in the immortality of the soul.	They believed in the immortality of the soul.	true	823.35	826.12	19.448746
5239_32139_000026_000000	3.	three.	true	826.34	826.965	19.994925
5239_32139_000026_000001	They believed in the resurrection of the body, and accordingly embalmed their dead.	They believed in the resurrection of the body, and accordingly embalmed their dead.	true	826.965	831.48	23.8827
5239_32139_000027_000000	4.	four.	false	831.48	832.5	22.167377
5239_32139_000027_000001	The priest examined the entrails of the animals offered in sacrifice, and, like the Roman augurs, divined the future from their appearance.	The priest examined the entrails of the animals offered in sacrifice, and, like the Roman augurs, divined the future from their appearance.	true	832.5	841.24	23.388987
5239_32139_000028_000000	5.	five.	true	841.46	842.145	20.162764
5239_32139_000028_000001	They had an order of women vowed to celibacy--vestal virgins-nuns; and a violation of their vow was punished, in both continents, by their being buried alive.	They had an order of women vowed to celibacy-vestal virgins nuns; and a violation of their vow was punished, in both continents, by their being buried alive.	false	842.145	852.25	20.535788
5239_32139_000029_000000	6.	six.	true	852.5	853.215	35.589855
5239_32139_000029_000001	They divided the year into twelve months.	They divided the year into twelve months.	true	853.215	855.58	21.63033
5239_32139_000030_000000	7.	seven.	true	855.83	856.575	21.452303
5239_32139_000030_000001	Their enumeration was by tens; the people were divided into decades and hundreds, like the Anglo-Saxons; and the whole nation into bodies of 500, 1000, and 10,000, with a governor over each.	Their enumeration was by tens; the people were divided into decades and hundreds, like the Anglo Saxons; and the whole nation into bodies of five hundred, one thousand, and ten thousand, with a governor over each.	false	856.575	869.32	21.76624
5239_32139_000031_000000	8.	eight.	true	869.57	870.345	36.856728
5239_32139_000031_000001	They possessed castes; and the trade of the father descended to the son, as in India.	They possessed castes; and the trade of the father descended to the son, as in India.	true	870.345	875.65	21.34614
5239_32139_000032_000000	9.	nine.	true	875.96	876.855	20.713314
5239_32139_000032_000001	They had bards and minstrels, who sung at the great festivals.	They had bards and minstrels, who sung at the great festivals.	true	876.855	880.33	24.312874
5239_32139_000033_000000	10.	ten.	true	880.55	881.235	26.11881
5239_32139_000033_000001	Their weapons were the same as those of the Old World, and made after the same pattern.	Their weapons were the same as those of the Old World, and made after the same pattern.	true	881.235	885.97	22.381746
5239_32139_000034_000000	11.	eleven.	true	886.22	886.905	34.573154
5239_32139_000034_000001	They drank toasts and invoked blessings.	They drank toasts and invoked blessings.	true	886.905	889.72	22.7258
5239_32139_000035_000000	12.	twelve.	true	889.94	890.61	25.804888
5239_32139_000035_000001	They built triumphal arches for their returning heroes, and strewed the road before them with leaves and flowers.	They built triumphal arches for their returning heroes, and strewed the road before them with leaves and flowers.	true	890.61	896.95	21.615236
5239_32139_000036_000000	13.	thirteen.	true	897.2	897.99	28.276175
5239_32139_000036_000001	They used sedan-chairs.	They used sedan chairs.	true	897.99	900.13	19.903402
5239_32139_000037_000000	14.	fourteen.	true	900.44	901.395	29.305872
5239_32139_000037_000001	They regarded agriculture as the principal interest of the nation, and held great agricultural fairs and festivals for the interchange of the productions of the farmers.	They regarded agriculture as the principal interest of the nation, and held great agricultural fairs and festivals for the interchange of the productions of the farmers.	true	901.395	911.56	22.709764
5239_32139_000038_000000	15.	fifteen.	true	911.75	912.81	25.456905
5239_32139_000038_000001	The king opened the agricultural season by a great celebration, and, like the kings of Egypt, he put his hand to the plough, and ploughed the first furrow.	The king opened the agricultural season by a great celebration, and, like the kings of Egypt, he put his hand to the plough, and ploughed the first furrow.	true	912.81	921.7	22.506466
5239_32139_000039_000000	16.	sixteen.	true	921.92	922.995	26.598698
5239_32139_000039_000001	They had an order of knighthood, in which the candidate knelt before the king; his sandals were put on by a nobleman, very much as the spurs were buckled on the European knight; he was then allowed to use the girdle or sash around the loins, corresponding to the toga virilis of the Romans; he was then crowned with flowers.	They had an order of knighthood, in which the candidate knelt before the king; his sandals were put on by a nobleman, very much as the spurs were buckled on the European knight; he was then allowed to use the girdle or sash around the loins, corresponding to the toga virilis of the romans; he was then crowned with flowers.	false	922.995	943.57	22.16513
5239_32139_000039_000002	According to Fernandez, the candidates wore white shirts, like the knights of the Middle Ages, with a cross embroidered in front.	According to Fernandez, the candidates wore white shirts, like the knights of the Middle Ages, with a cross embroidered in front.	false	943.76	951.28	23.676548
5239_32139_000040_000000	17.	seventeen.	true	951.56	952.545	30.454208
5239_32139_000040_000001	There was a striking resemblance between the architecture of the Peruvians and that of some of the nations of the Old World.	There was a striking resemblance between the architecture of the Peruvians and that of some of the nations of the Old World.	true	952.545	959.08	22.766428
5239_32139_000040_000002	It is enough for me to quote Mr. Ferguson's words, that the coincidence between the buildings of the Incas and the Cyclopean remains attributed to the Pelasgians in Italy and Greece "is the most remarkable in the history of architecture."	It is enough for me to quote mr Ferguson's words, that the coincidence between the buildings of the Incas and the Cyclopean remains attributed to the Pelasgians in Italy and Greece "is the most remarkable in the history of architecture."	true	959.33	973.9	22.351812
5239_32139_000041_000000	OWL-HEADED VASES, TROY AND PERU	OWL HEADED VASES, TROY AND PERU	true	974.18	976.93	19.327732
5239_32139_000042_000000	The illustrations on page 397 strikingly confirm Mr. Ferguson's views.	The illustrations on page three hundred ninety seven strikingly confirm mr Ferguson's views.	false	977.12	982.18	21.748346
5239_32139_000043_000000	"The sloping jambs, the window cornice, the polygonal masonry, and other forms so closely resemble what is found in the old Pelasgic cities of Greece and Italy, that it is difficult to resist the conclusion that there may be some relation between them."	"The sloping jambs, the window cornice, the polygonal masonry, and other forms so closely resemble what is found in the old Pelasgic cities of Greece and Italy, that it is difficult to resist the conclusion that there may be some relation between them."	false	982.46	997.93	21
5239_32139_000044_000000	Even the mode of decorating their palaces and temples finds a parallel in the Old World.	Even the mode of decorating their palaces and temples finds a parallel in the Old World.	true	998.03	1003.39	23.284184
5239_32139_000044_000001	A recent writer says:	A recent writer says:	true	1003.49	1005.58	20.916422
5239_32139_000045_000000	"We may end by observing, what seems to have escaped Senor Lopez, that the interior of an Inca palace, with its walls covered with gold, as described by Spaniards, with its artificial golden flowers and golden beasts, must have been exactly like the interior of the house of Alkinous or Menelaus--	"We may end by observing, what seems to have escaped Senor Lopez, that the interior of an Inca palace, with its walls covered with gold, as described by Spaniards, with its artificial golden flowers and golden beasts, must have been exactly like the interior of the house of Alkinous or Menelaus-	false	1005.71	1025.43	21.95971
5239_32139_000046_000000	"'The doors were framed of gold, Where underneath the brazen floor doth glass Silver pilasters, which with grace uphold Lintel of silver framed; the ring was burnished gold, And dogs on each side of the door there stand, Silver and golden.'"	"'The doors were framed of gold, Where underneath the brazen floor doth glass Silver pilasters, which with grace uphold Lintel of silver framed; the ring was burnished gold, And dogs on each side of the door there stand, Silver and golden.'"	false	1025.43	1042.39	21.625933
5239_32139_000047_000000	"I can personally testify" (says Winchell, "Preadamites," p. 387)	"I can personally testify" (says Winchell, "Preadamites," p. three hundred eighty seven)	false	1042.58	1047.64	24.825352
5239_32139_000047_000001	"that a study of ancient Peruvian pottery has constantly reminded me of forms with which we are familiar in Egyptian archaeology."	"that a study of ancient Peruvian pottery has constantly reminded me of forms with which we are familiar in Egyptian archaeology."	true	1047.86	1056.22	23.492022
5239_32139_000048_000000	Dr. Schliemann, in his excavations of the ruins of Troy, found a number of what he calls "owl-headed idols" and vases.	dr Schliemann, in his excavations of the ruins of Troy, found a number of what he calls "owl headed idols" and vases.	false	1056.22	1065.28	21.752884
5239_32139_000048_000001	I give specimens on page 398 and page 400.	I give specimens on page three hundred ninety eight and page four hundred.	false	1065.44	1069.45	23.596428
5239_32139_000049_000000	In Peru we find vases with very much the same style of face.	In Peru we find vases with very much the same style of face.	true	1069.45	1073.92	22.74594
