4278_187018_000001_000000	CHAPTER 23	CHAPTER twenty three
4278_187018_000027_000001	Chris started up and joined the men gathered solemnly about the grave, and as he searched among them, knew a great sense of relief and joy when he saw, standing at the grave head, the Captain and Mr. Finney.	Chris started up and joined the men gathered solemnly about the grave, and as he searched among them, knew a great sense of relief and joy when he saw, standing at the grave head, the Captain and mr Finney.
4278_187018_000027_000002	As Chris came up to them, Captain Blizzard was speaking, a Bible in his hand.	As Chris came up to them, Captain Blizzard was speaking, a Bible in his hand.
4278_187018_000028_000001	We harbored a viper, men, who meant to destroy our ship and cargo and leave us to who knows what fate?	We harbored a viper, men, who meant to destroy our ship and cargo and leave us to who knows what fate?
4278_187018_000029_000000	He paused again, but there was not a stir from his audience.	He paused again, but there was not a stir from his audience.
4278_187018_000029_000001	From under their dirty headkerchiefs or straggly unkempt hair, the men who knew no other life but the sea, no happiness or danger unconnected with it, never took their eyes from their captain.	From under their dirty headkerchiefs or straggly unkempt hair, the men who knew no other life but the sea, no happiness or danger unconnected with it, never took their eyes from their captain.
4278_187018_000030_000001	Therefore, feeling as I do for my ship and my men, I cannot bring myself to read the holy words over this man who had no charity in his heart."	Therefore, feeling as I do for my ship and my men, I cannot bring myself to read the holy words over this man who had no charity in his heart."
4278_187018_000033_000001	It is not proper that he should be left without even a token of respect." He gestured with his plump hand to the Bible.	It is not proper that he should be left without even a token of respect." He gestured with his plump hand to the Bible.
4278_187018_000035_000000	"I am the Resurrection and the Life--"	"I am the Resurrection and the Life-"
4278_187018_000036_000000	But Chris, watching the disappearing backs of the Captain and first mate, was thinking what a curious and fortunate thing it was that the bales had fallen on Zachary just at the right time, and when there was not a ripple on the cove.	But Chris, watching the disappearing backs of the Captain and first mate, was thinking what a curious and fortunate thing it was that the bales had fallen on Zachary just at the right time, and when there was not a ripple on the cove.
4278_187018_000037_000000	Chris watched the fat short man and the tall lean one go, resolution and anger still evident even in the set of their shoulders.	Chris watched the fat short man and the tall lean one go, resolution and anger still evident even in the set of their shoulders.
