8152_258993_000000_000000	CHAPTER 41	CHAPTER forty one	false	0.57	26.31	20.443737
8152_258993_000004_000009	The essential mark of consumption is the using of the income as it arises, not necessarily the using up of the material agents that afford it, though this frequently occurs as well.	The essential mark of consumption is the using of the income as it arises, not necessarily the using up of the material agents that afford it, though this frequently occurs as well.	true	88.97	99.78	19.294937
8152_258993_000005_000000	[Sidenote: Consumers' choice as influencing value]	[Sidenote: Consumers' choice as influencing value]	false	99.78	101.31	18.411724
8152_258993_000006_000000	2.	two.	false	101.31	101.55	-20
8152_258993_000006_000001	_The kind of consumption affects the value of material agents._ Each buyer helps to determine the use of productive agents.	underscore The kind of consumption affects the value of material agents.underscore Each buyer helps to determine the use of productive agents.	false	101.55	108.94	20.575512
8152_258993_000006_000002	The control of purchasing power means the potential control of industry to that degree. It was necessary in discussing the enterpriser to recognize that the buyer eventually dictates the direction of industry; the enterpriser seeks to produce that for which there is most demand.	The control of purchasing power means the potential control of industry to that degree. It was necessary in discussing the enterpriser to recognize that the buyer eventually dictates the direction of industry; the enterpriser seeks to produce that for which there is most demand.	true	109.31	125.92	20.652401
8152_258993_000006_000003	A change of taste affects the value of natural agents.	A change of taste affects the value of natural agents.	true	126.2	129.58	22.35438
8152_258993_000006_000004	An increase in the demand for meat affects the value of wheat and potatoes, and also the land used for producing them.	An increase in the demand for meat affects the value of wheat and potatoes, and also the land used for producing them.	true	129.65	136.44	18.515545
8152_258993_000006_000005	A change in the national diet may be equivalent to the discovery or to the destruction of half a continent.	A change in the national diet may be equivalent to the discovery or to the destruction of half a continent.	true	136.44	142.48	17
8152_258993_000006_000006	If one chooses to drink wine instead of buying statuary, he increases the value of vineyards and decreases that of marble quarries: If one drinks beer, he bids for barley; if he eats candy, he may be offering a bounty for beets.	If one chooses to drink wine instead of buying statuary, he increases the value of vineyards and decreases that of marble quarries: If one drinks beer, he bids for barley; if he eats candy, he may be offering a bounty for beets.	true	142.61	157.48	19.296745
8152_258993_000006_000007	Therefore, choosing vines or violets, pictures or pretzels, each with his nickel helps to determine what shall be produced.	Therefore, choosing vines or violets, pictures or pretzels, each with his nickel helps to determine what shall be produced.	true	157.61	165.66	21.02272
8152_258993_000007_000000	[Sidenote: Inventions influencing value]	[Sidenote: Inventions influencing value]	false	165.66	166.47	24.268082
8152_258993_000008_000000	The distribution of wealth thus affects the value of agents.	The distribution of wealth thus affects the value of agents.	true	166.47	170.14	22
8152_258993_000008_000001	The wealthy spend relatively more for luxuries, the poor for food and other essentials.	The wealthy spend relatively more for luxuries, the poor for food and other essentials.	true	170.39	176.26	21.286463
8152_258993_000008_000002	Where wealth and incomes are very nearly equally distributed, the demand of different families will be for much the same kinds of goods.	Where wealth and incomes are very nearly equally distributed, the demand of different families will be for much the same kinds of goods.	false	176.54	183.76	20.47738
8152_258993_000008_000003	If there were no rich men, the demand for vineyards producing fine wines would be less.	If there were no rich men, the demand for vineyards producing fine wines would be less.	true	183.95	188.74	20.979374
8152_258993_000008_000004	The very best qualities of goods take on the highest prices when there is a small, but very wealthy, class of purchasers.	The very best qualities of goods take on the highest prices when there is a small, but very wealthy, class of purchasers.	true	189.14	196.03	23
8152_258993_000009_000000	Inventions often shift demand, and value follows.	Inventions often shift demand, and value follows.	true	197.21	200.65	20.93266
8152_258993_000009_000001	The invention of the bicycle with pneumatic tires, coincident with the adoption of electric traction for street cars, reduced the price of horses between 1890 and 1895.	The invention of the bicycle with pneumatic tires, coincident with the adoption of electric traction for street cars, reduced the price of horses between eighteen ninety and eighteen ninety five.	true	200.96	211.57	20.935516
8152_258993_000009_000002	This doubtless was a factor in agricultural land values at that time.	This doubtless was a factor in agricultural land values at that time.	false	212.3	216.16	22.089058
8152_258993_000009_000003	This change was sudden, extreme, and temporary, and there has since been a gradual adjustment and a return to the former values.	This change was sudden, extreme, and temporary, and there has since been a gradual adjustment and a return to the former values.	true	216.44	224.52	23.468134
8152_258993_000010_000000	[Sidenote: Consumers' choice as affecting productive forces]	[Sidenote: Consumers' choice as affecting productive forces]	false	224.52	225.39	6
8152_258993_000011_000000	3.	three.	true	225.39	226.02	23.634262
8152_258993_000011_000001	_The production of the next period may be radically affected by the use now made of agents._ Some consumption takes the form of using up and reducing the stock of wealth.	underscore The production of the next period may be radically affected by the use now made of agents.underscore Some consumption takes the form of using up and reducing the stock of wealth.	false	226.02	236.32	18.544035
8152_258993_000011_000002	The demand for lumber causes the disappearance of the forests, whereas the demand for oranges stimulates the planting of orange trees.	The demand for lumber causes the disappearance of the forests, whereas the demand for oranges stimulates the planting of orange trees.	true	236.54	244.09	19.572172
8152_258993_000011_000003	The reckless exploitation of natural resources leaves society poorer.	The reckless exploitation of natural resources leaves society poorer.	true	244.52	248.65	19.473244
8152_258993_000011_000004	Great herds of buffalo were slaughtered to get the hides, which were of comparatively slight value.	Great herds of buffalo were slaughtered to get the hides, which were of comparatively slight value.	true	249.11	254.2	20.351448
8152_258993_000011_000005	Rich land has been exhausted to get a few harvests.	Rich land has been exhausted to get a few harvests.	true	254.39	257.65	20.43393
8152_258993_000012_000000	War is a use of wealth for ends believed at the time to be necessary and believed to forward social welfare better in the long run than would dishonorable submission; but it causes misery and leaves industry prostrate.	War is a use of wealth for ends believed at the time to be necessary and believed to forward social welfare better in the long run than would dishonorable submission; but it causes misery and leaves industry prostrate.	true	257.99	270.79	15
8152_258993_000012_000001	The forms taken by saving are affected by the choice of expenditure.	The forms taken by saving are affected by the choice of expenditure.	false	271.49	275.56	20.756178
8152_258993_000012_000002	In war the savings of individuals are given to the government and used for destructive purposes.	In war the savings of individuals are given to the government and used for destructive purposes.	true	276.05	281.29	17.42977
8152_258993_000012_000003	The lender parts with his wealth and society uses it up.	The lender parts with his wealth and society uses it up.	true	281.54	284.955	21.712933
8152_258993_000012_000004	While the lender has a claim on the industry and on the remaining property of the community, society as a whole is the poorer.	While the lender has a claim on the industry and on the remaining property of the community, society as a whole is the poorer.	true	284.955	291.67	19.173735
8152_258993_000012_000005	If the savings had taken the form of public buildings, libraries, railroads, and factories, the wealth and income of society as a whole would have been enhanced.	If the savings had taken the form of public buildings, libraries, railroads, and factories, the wealth and income of society as a whole would have been enhanced.	true	291.77	301.29	19.741474
8152_258993_000013_000000	[Sidenote: Consumers' choice as affecting wages]	[Sidenote: Consumers' choice as affecting wages]	false	301.29	302.82	14.216385
8152_258993_000014_000000	4.	four.	false	302.82	303.09	23.637384
8152_258993_000014_000001	_The kind of consumption affects the wages of the various classes of labor._ That an increase in the supply of a given grade of labor reduces its wages and encourages its use, and vice versa, is a truth that became familiar in the study of wages.	underscore The kind of consumption affects the wages of the various classes of labor.underscore That an increase in the supply of a given grade of labor reduces its wages and encourages its use, and vice versa, is a truth that became familiar in the study of wages.	false	303.09	317.53	20.111712
8152_258993_000014_000002	An influence also is exerted from the side of goods upon the price of labor.	An influence also is exerted from the side of goods upon the price of labor.	true	317.87	322.59	20.549011
8152_258993_000014_000003	A shift of demand from one kind of goods to another depresses the wage of the one kind of labor and raises that of the other.	A shift of demand from one kind of goods to another depresses the wage of the one kind of labor and raises that of the other.	false	322.59	330.79	19.556623
8152_258993_000014_000004	A low grade of labor that performs only simple tasks, and those but badly, is injured if demand shifts to better products.	A low grade of labor that performs only simple tasks, and those but badly, is injured if demand shifts to better products.	true	330.83	338.65	20.905428
8152_258993_000014_000005	Back of the sweat-shop shirt is the problem of the inefficient worker.	Back of the sweat shop shirt is the problem of the inefficient worker.	true	338.78	343.18	20
8152_258993_000014_000006	Progress takes place by the effort of labor to increase its efficiency and to move into higher paid callings, and at the same time by the desire of the purchaser to buy as good a quality as he can.	Progress takes place by the effort of labor to increase its efficiency and to move into higher paid callings, and at the same time by the desire of the purchaser to buy as good a quality as he can.	false	343.25	354.75	16
8152_258993_000015_000000	[Sidenote: The consumer's responsibility]	[Sidenote: The consumer's responsibility]	false	354.75	355.38	18
8152_258993_000016_000000	Every buyer then determines in some degree the direction of industry. The market is a democracy where every penny gives a right of vote.	Every buyer then determines in some degree the direction of industry. The market is a democracy where every penny gives a right of vote.	true	355.38	363.46	20.451748
8152_258993_000016_000001	It is the thought of the society called "The Consumers' League" that through purchases, pressure may be brought to bear upon the employer to provide better conditions of work.	It is the thought of the society called "The Consumers' League" that through purchases, pressure may be brought to bear upon the employer to provide better conditions of work.	false	363.62	372.73	20.716702
8152_258993_000016_000002	The members of The Consumers' League refuse to buy goods not made under sanitary conditions.	The members of The Consumers' League refuse to buy goods not made under sanitary conditions.	true	373.25	378.78	19.25298
8152_258993_000016_000003	Undoubtedly there is here a great economic force which an enlightened public opinion, even without a formal association, can make in large measure effective.	Undoubtedly there is here a great economic force which an enlightened public opinion, even without a formal association, can make in large measure effective.	true	378.78	387.64	20.43406
8152_258993_000016_000004	Every individual may organize a consumer's league, leaguing himself with the powers of righteousness.	Every individual may organize a consumer's league, leaguing himself with the powers of righteousness.	true	387.71	393.16	18.229773
8152_258993_000016_000005	Will he read a yellow journal or a pink or a white one?	Will he read a yellow journal or a pink or a white one?	true	393.71	397.17	23.330044
8152_258993_000016_000006	A nickel or two will buy either.	A nickel or two will buy either.	false	397.17	399.67	19.946396
8152_258993_000016_000007	He has a dollar; will he go to the theater or buy ten dishes of ice-cream?	He has a dollar; will he go to the theater or buy ten dishes of ice cream?	true	399.92	404.59	22.542318
8152_258993_000016_000008	He decides to buy a book, and more type and paper are made, and more printers are employed; he subscribes to foreign missions and Christian workers penetrate farther into Africa.	He decides to buy a book, and more type and paper are made, and more printers are employed; he subscribes to foreign missions and Christian workers penetrate farther into Africa.	true	404.9	415.87	21.48843
8152_258993_000016_000009	Every purchase has far-reaching consequences.	Every purchase has far reaching consequences.	true	416.09	418.66	21.183792
8152_258993_000016_000010	You may spend your monthly allowance as an agent of iniquity or of truth.	You may spend your monthly allowance as an agent of iniquity or of truth.	true	418.82	423.34	22.542542
8152_258993_000016_000011	You cannot escape a choice even by burying the money, for that is either a demand for gold or a gift to the issuer of paper currency.	You cannot escape a choice even by burying the money, for that is either a demand for gold or a gift to the issuer of paper currency.	true	423.38	431.64	20.51101
8152_258993_000017_000000	Sec.	Sec.	false	431.64	432.63	100
8152_258993_000017_000001	II.	two.	false	432.63	433.65	23.4306
8152_258993_000017_000002	REACTION UPON THE EFFICIENCY OF THE WORKERS	REACTION UPON THE EFFICIENCY OF THE WORKERS	false	433.65	435.57	11
8152_258993_000018_000000	[Sidenote: Instinctive choice as related to welfare]	[Sidenote: Instinctive choice as related to welfare]	false	435.57	436.71	26.126764
8152_258993_000019_000000	1.	one.	true	436.71	437.31	22.395494
8152_258993_000019_000001	_All consumption works some temporary change in the consumer, making him a more or less efficient producer._ Most consumption goods are used to gratify a wish of the moment.	underscore All consumption works some temporary change in the consumer, making him a more or less efficient producer.underscore Most consumption goods are used to gratify a wish of the moment.	false	437.31	447.64	21.369543
8152_258993_000019_000002	Many actions are governed by impulse rather than by reason; but in general this impulse is in harmony with the interests of efficiency.	Many actions are governed by impulse rather than by reason; but in general this impulse is in harmony with the interests of efficiency.	true	447.71	454.72	18.444685
8152_258993_000019_000003	In primitive society instinct and appetite must generally have been safe guides.	In primitive society instinct and appetite must generally have been safe guides.	true	455.36	459.85	21.482534
8152_258993_000019_000004	Food not merely appeased hunger and gratified the palate, but it gave strength.	Food not merely appeased hunger and gratified the palate, but it gave strength.	true	459.86	464.44	20.943459
8152_258993_000019_000005	Sensations of cold, hunger, and thirst were developed by nature to stimulate men to do the things that helped them to survive.	Sensations of cold, hunger, and thirst were developed by nature to stimulate men to do the things that helped them to survive.	false	464.6	471.405	22.170282
8152_258993_000019_000006	In primitive societies there are few chances to seek pleasures that are not favorable to efficiency.	In primitive societies there are few chances to seek pleasures that are not favorable to efficiency.	true	471.405	476.76	18
8152_258993_000019_000007	In the struggle for existence the more efficient tribes survive, and those that develop many abnormal tastes must perish.	In the struggle for existence the more efficient tribes survive, and those that develop many abnormal tastes must perish.	true	476.76	483.79	20.316587
8152_258993_000019_000008	But the conditions of modern life are more complex, and temptations beset men on every side.	But the conditions of modern life are more complex, and temptations beset men on every side.	true	484.01	489.73	21.059418
8152_258993_000019_000009	Tastes are pampered and appetite is gratified at the expense of later welfare.	Tastes are pampered and appetite is gratified at the expense of later welfare.	true	490.01	494.31	18
8152_258993_000020_000000	[Sidenote: Choice of foods]	[Sidenote: Choice of foods]	false	494.31	495.69	58.15365
8152_258993_000021_000000	2.	two.	false	495.69	496.02	24
8152_258993_000021_000001	_The physical efficiency of the worker is conditioned on wise consumption._ Chemists and physiologists are telling now in accurate terms how the nutritive values of foods differ.	underscore The physical efficiency of the worker is conditioned on wise consumption.underscore Chemists and physiologists are telling now in accurate terms how the nutritive values of foods differ.	false	496.02	506.11	19.067724
8152_258993_000021_000002	Food values are not measured by the pleasure afforded the palate.	Food values are not measured by the pleasure afforded the palate.	true	506.45	509.8	21.321249
8152_258993_000021_000003	The wide variety and greater choice now possible, even to the modest purse, make the chance of error much greater than in simpler conditions.	The wide variety and greater choice now possible, even to the modest purse, make the chance of error much greater than in simpler conditions.	true	510.32	517.72	21.2346
8152_258993_000021_000004	This subject, already touched upon in the sections on the efficiency of labor, deserves further notice.	This subject, already touched upon in the sections on the efficiency of labor, deserves further notice.	true	517.82	523.78	20.345173
8152_258993_000021_000005	From youth to age, the foolish choice of goods yields its harvest of ultimate misery.	From youth to age, the foolish choice of goods yields its harvest of ultimate misery.	true	523.97	529.54	20.27297
8152_258993_000021_000006	When babies are fed on crackers dipped in coffee, or, as among the Italian immigrants, on stale bread dipped in sour wine, there is a poor foundation laid for a vigorous manhood.	When babies are fed on crackers dipped in coffee, or, as among the Italian immigrants, on stale bread dipped in sour wine, there is a poor foundation laid for a vigorous manhood.	true	529.76	540.49	21.99626
8152_258993_000021_000007	Rich and poor cook too much for taste and too little for nutrition or digestion.	Rich and poor cook too much for taste and too little for nutrition or digestion.	true	540.56	545.65	23.127253
8152_258993_000021_000008	Much cooking is still done in ways fit only for our grandfathers who had cast-iron stomachs and worked in the open air. Culinary methods have not been adapted as yet to a sedentary life.	Much cooking is still done in ways fit only for our grandfathers who had cast iron stomachs and worked in the open air. Culinary methods have not been adapted as yet to a sedentary life.	true	545.87	557.49	21
8152_258993_000022_000000	[Sidenote: Of drinks]	[Sidenote: Of drinks]	false	557.49	558.66	-4
8152_258993_000023_000000	Drinking tempts some men not only by taste, but by the appeal to sociability; to other coarser natures the joys of Bacchus offer the one hope of exhilaration.	Drinking tempts some men not only by taste, but by the appeal to sociability; to other coarser natures the joys of Bacchus offer the one hope of exhilaration.	true	558.66	568.39	21.61071
8152_258993_000023_000001	The pleasure from alcoholic liquor may at the moment outweigh the cost in money, but a diseased appetite forbids any reckoning of the vast psychic cost that follows.	The pleasure from alcoholic liquor may at the moment outweigh the cost in money, but a diseased appetite forbids any reckoning of the vast psychic cost that follows.	true	568.52	577.515	21.711298
8152_258993_000023_000002	The coin paid for the drink is the beginning of the expense; misery, disgrace, degeneracy, and bestialty too often are the unreckoned items.	The coin paid for the drink is the beginning of the expense; misery, disgrace, degeneracy, and bestialty too often are the unreckoned items.	true	577.515	586.41	20.723001
8152_258993_000024_000000	[Sidenote: Of clothing]	[Sidenote: Of clothing]	false	586.41	587.55	100
8152_258993_000025_000000	Clothing is primarily for ornament, secondly for physical comfort.	Clothing is primarily for ornament, secondly for physical comfort.	false	587.55	590.985	20.644224
8152_258993_000025_000001	That was the historical order, and it is the logical order in most minds to-day.	That was the historical order, and it is the logical order in most minds to day.	true	590.985	596.52	22.292454
8152_258993_000025_000002	How badly the two needs are harmonized!	How badly the two needs are harmonized!	true	596.52	598.84	17.926746
8152_258993_000025_000003	No wonder that the savage suffers in adopting civilized dress.	No wonder that the savage suffers in adopting civilized dress.	true	599.27	602.8	19
8152_258993_000025_000004	Travelers describe the African potentate, attired in a high hat and a bracelet, striving to outshine his rival resplendent in full-dress coat and a palm-leaf fan. Civilization is making headway there; but the student of primitive peoples finds one of the important causes of their decay to be their bad judgment in adopting civilized dress, unsuited to their customs and climate.	Travelers describe the African potentate, attired in a high hat and a bracelet, striving to outshine his rival resplendent in full dress coat and a palm leaf fan. Civilization is making headway there; but the student of primitive peoples finds one of the important causes of their decay to be their bad judgment in adopting civilized dress, unsuited to their customs and climate.	false	603.2	626.65	21.612696
8152_258993_000025_000005	A mistake is made likewise by workers in physical tasks in imitating the dress of the wealthy and professional classes.	A mistake is made likewise by workers in physical tasks in imitating the dress of the wealthy and professional classes.	true	627.2	634.21	21.59146
8152_258993_000025_000006	The dress of the higher classes often is chosen because of its unsuitableness for an active worker.	The dress of the higher classes often is chosen because of its unsuitableness for an active worker.	true	634.31	640.21	21.062107
8152_258993_000025_000007	It serves thus to mark its wearer as one engaged in delicate tasks or as a person of leisure.	It serves thus to mark its wearer as one engaged in delicate tasks or as a person of leisure.	true	640.34	645.88	22.5003
8152_258993_000025_000008	Possibly, therefore, because of their strong social ambitions, the manual workers in America more than elsewhere adopt a costume that is not sensible or sanitary.	Possibly, therefore, because of their strong social ambitions, the manual workers in America more than elsewhere adopt a costume that is not sensible or sanitary.	true	646.37	656.01	20.899578
8152_258993_000026_000000	[Sidenote: Reactions of enjoyment upon the intelligence]	[Sidenote: Reactions of enjoyment upon the intelligence]	false	656.01	656.505	100
8152_258993_000027_000000	3.	three.	true	656.505	657.15	23.477694
8152_258993_000027_000001	_The intelligence of the worker is affected by the form of his enjoyments._ This does not refer to the use made of spare time for regular study in night schools, correspondence schools, vacation work, but to the use of time when seeking recreation.	underscore The intelligence of the worker is affected by the form of his enjoyments.underscore This does not refer to the use made of spare time for regular study in night schools, correspondence schools, vacation work, but to the use of time when seeking recreation.	false	657.15	671.89	22.856829
8152_258993_000027_000002	The choice of recreation reacts upon the nature of the man.	The choice of recreation reacts upon the nature of the man.	true	672.53	675.97	20.79946
8152_258993_000027_000003	Will he read a book or play billiards?	Will he read a book or play billiards?	true	676.31	678.64	23.927826
8152_258993_000027_000004	In proper proportions both may be good, in excess both are evil.	In proper proportions both may be good, in excess both are evil.	true	678.89	683.56	22.792028
8152_258993_000027_000005	Liking realism, does he read Howells or the blood-curdling serial entitled "Piping the Mystery"?	Liking realism, does he read Howells or the blood curdling serial entitled "Piping the Mystery"?	true	683.9	690.04	22.241087
8152_258993_000027_000006	Does he devote his spare hours to the "Scientific American" or to the "Police Gazette"?	Does he devote his spare hours to the "Scientific American" or to the "Police Gazette"?	true	690.56	695.83	26.349604
8152_258993_000027_000007	At the moment there may be as much pleasure in one as in the other (and one might add, in Hibernian phrase, "Yes, and more too.").	At the moment there may be as much pleasure in one as in the other (and one might add, in Hibernian phrase, "Yes, and more too.").	true	696.71	705.79	22.205738
8152_258993_000027_000008	Does he enjoy music, the theater, or the cheaper attractions of Coney Island and the Bowery?	Does he enjoy music, the theater, or the cheaper attractions of Coney Island and the Bowery?	true	706.4	712.48	24.038025
8152_258993_000027_000009	Is his recreation permeated with a certain intellectual ambition?	Is his recreation permeated with a certain intellectual ambition?	true	713.06	717.04	21.996115
8152_258993_000027_000010	There may be just as much momentary joy in one choice as in another, and life is shaped by the direction of one's enjoyments.	There may be just as much momentary joy in one choice as in another, and life is shaped by the direction of one's enjoyments.	false	717.71	725.46	20.073292
8152_258993_000027_000011	Much depends on the natural bent; some natures incline to the healthy as the plant grows toward the sun.	Much depends on the natural bent; some natures incline to the healthy as the plant grows toward the sun	true	725.46	731.89	21.129066
8152_258993_000027_000012	With most characters much depends on the influences of neighborhood life; thus the boy's clubs and college settlements of the cities, the schools and playgrounds of the villages, are tending to surround child life with healthier conditions, that will mould it into better social habits.	With most characters much depends on the influences of neighborhood life; thus the boy's clubs and college settlements of the cities, the schools and playgrounds of the villages, are tending to surround child life with healthier conditions, that will mould it into better social habits.	true	732.23	747.54	20.946247
8152_258993_000028_000000	[Sidenote: Reaction upon the character]	[Sidenote: Reaction upon the character]	false	747.54	750.57	20.192429
8152_258993_000029_000000	4.	four.	false	750.57	750.57	
8152_258993_000029_000001	_The form of the worker's expenditures affects his industrial virtues._ This is not a moral lecture; it is a look at the economic side of the subject.	underscore The form of the worker's expenditures affects his industrial virtues.underscore This is not a moral lecture; it is a look at the economic side of the subject.	false	750.57	759.58	21.697939
8152_258993_000029_000002	There are some moral qualities, however, that are closely connected with efficiency, while others are not.	There are some moral qualities, however, that are closely connected with efficiency, while others are not.	true	760.01	765.58	23.74615
8152_258993_000029_000003	Some individuals are corrupt in private personal relations, but "square" in business dealings.	Some individuals are corrupt in private personal relations, but "square" in business dealings.	true	765.62	771.63	21.589886
8152_258993_000029_000004	But usually there is some connection between the two, and under modern conditions this is becoming closer.	But usually there is some connection between the two, and under modern conditions this is becoming closer.	true	771.63	777.1	23.00234
8152_258993_000029_000005	Fitness for daily tasks is affected by the daily thoughts of the worker.	Fitness for daily tasks is affected by the daily thoughts of the worker.	true	777.32	781.48	22.436853
8152_258993_000029_000006	Sordid and foul thoughts, like an internal malady, sap the economic efficiency of the worker; clean, bright thoughts act as a tonic.	Sordid and foul thoughts, like an internal malady, sap the economic efficiency of the worker; clean, bright thoughts act as a tonic.	true	781.52	789.7	21.781908
8152_258993_000029_000007	Drink, gambling, fast living, unfit men for positions of trust, while many pastimes leave the moral nature cleaner and stronger.	Drink, gambling, fast living, unfit men for positions of trust, while many pastimes leave the moral nature cleaner and stronger.	true	790.22	799.18	23.011948
8152_258993_000029_000008	Few can live a double life--honorable, conscientious, and exact in one part of the day, and corrupt in another.	Few can live a double life-honorable, conscientious, and exact in one part of the day, and corrupt in another.	true	799.34	806.47	22.58069
8152_258993_000029_000009	Dr. Jekylls and Mr. Hydes are not often found in real life.	dr Jekylls and mr Hydes are not often found in real life.	true	806.69	810.46	19.838114
8152_258993_000029_000010	The habitual train of thought in leisure hours possesses and controls the man throughout his work.	The habitual train of thought in leisure hours possesses and controls the man throughout his work.	true	810.53	815.95	19.985977
8152_258993_000029_000011	It is said that "A man is what his work makes him," but it is equally true that a man's work tends to become what he is.	It is said that "A man is what his work makes him," but it is equally true that a man's work tends to become what he is.	true	816.38	824.2	22.476183
8152_258993_000029_000012	A man fit for a higher kind of work rises to it in the usual order of things; but no matter how humble the task, it partakes of the worth and wholesomeness of its doer.	A man fit for a higher kind of work rises to it in the usual order of things; but no matter how humble the task, it partakes of the worth and wholesomeness of its doer.	true	824.87	835.62	21.50765
8152_258993_000030_000000	Sec.	Sec.	false	835.62	836.55	100
8152_258993_000030_000001	III. EFFECTS ON THE ABIDING WELFARE OF THE CONSUMER	three. EFFECTS ON THE ABIDING WELFARE OF THE CONSUMER	true	836.55	840.06	21.149467
8152_258993_000031_000000	[Sidenote: Production vs. welfare]	[Sidenote: Production vs welfare]	false	840.06	840.87	13
8152_258993_000032_000000	1.	one.	true	840.87	841.44	20.357037
8152_258993_000032_000001	_Man and his welfare are the end and aim of the economic process._ The starting point of industry is wants; the goal is welfare.	underscore Man and his welfare are the end and aim of the economic process.underscore The starting point of industry is wants; the goal is welfare.	false	841.44	850.6	21.450905
8152_258993_000032_000002	Momentary gratification is only a way-station, not the journey's end.	Momentary gratification is only a way station, not the journey's end.	true	851.33	855.55	20.361069
8152_258993_000032_000003	Too often, in economic reasoning, things are looked at from the employer's point of view.	Too often, in economic reasoning, things are looked at from the employer's point of view.	true	855.74	860.86	21.297611
8152_258993_000032_000004	The older writers, such as Ricardo and Mill, were inclined to take what John B. Clark has called the "feed and work" view,--the view that the workman is merely an agent of production, a means to an end; that his food, the same as coal for an engine, is to be thought of rather as employer's cost than as consumer's gratification.	The older writers, such as Ricardo and Mill, were inclined to take what john b Clark has called the "feed and work" view,--the view that the workman is merely an agent of production, a means to an end; that his food, the same as coal for an engine, is to be thought of rather as employer's cost than as consumer's gratification.	false	861.05	882.64	22.06952
8152_258993_000032_000005	But, in the broader view, the welfare of men as men is the subject most worthy of economic study.	But, in the broader view, the welfare of men as men is the subject most worthy of economic study.	true	882.98	889.48	20.107254
8152_258993_000032_000006	The workman's food is to gratify his hunger, primarily; not merely to make him a better working machine.	The workman's food is to gratify his hunger, primarily; not merely to make him a better working machine.	true	890.03	896.23	21.715597
8152_258993_000032_000007	This reverses the order of the older reasoning.	This reverses the order of the older reasoning.	true	896.48	899.715	19.601707
8152_258993_000032_000008	The use made of the income is itself a kind of production--its last stage.	The use made of the income is itself a kind of production-its last stage.	true	899.715	905.08	22.516275
8152_258993_000032_000009	Is the process, on the whole, worth while? This can only be judged by finding whether, on the whole, the welfare of man has been furthered.	Is the process, on the whole, worth while? This can only be judged by finding whether, on the whole, the welfare of man has been furthered.	true	905.9	914.01	21.132643
8152_258993_000033_000000	[Sidenote: The marginal application of income]	[Sidenote: The marginal application of income]	false	914.01	915.51	18.063425
8152_258993_000034_000000	2.	two.	false	915.51	915.75	22.496866
8152_258993_000034_000001	_An income yields the maximum gratification when it is apportioned among goods so that their marginal utilities, as nearly as possible, are equal._ Even a small income is income capable of many applications.	underscore An income yields the maximum gratification when it is apportioned among goods so that their marginal utilities, as nearly as possible, are equal.underscore Even a small income is income capable of many applications.	false	915.75	928.09	20
8152_258993_000034_000002	The choice lies among many thousands of articles.	The choice lies among many thousands of articles.	true	928.28	931	20.37024
8152_258993_000034_000003	Utility varies not only according to the kinds of good, but according to the varying quantities of each.	Utility varies not only according to the kinds of good, but according to the varying quantities of each.	true	931.19	936.82	20.823505
8152_258993_000034_000004	Every moment, therefore, the conditions of a choice are changing.	Every moment, therefore, the conditions of a choice are changing.	true	937.07	940.42	22.54461
