6499_91098_000000_000000	ADDITIONS. FINAL ADVICE IN REGARD TO HOLY COMMUNION.	ADDITIONS. FINAL ADVICE IN REGARD TO HOLY COMMUNION.	true	10.98	16.09	22.38909
6499_91098_000010_000000	In spite of these vague fears that seem to extinguish hope within my soul, I know that although Thou art the mighty and strong God before whom the cherubim veil themselves with their wings, the just and all-seeing God who discovers blemishes in the purest souls, still Thou wishest to be in the most Holy Sacrament only the Victim whose Blood effaces the sins of the world; the Good Shepherd who hastens after the strayed sheep and carries it tenderly and unreproachfully back to the fold; the divine Mediator who comes _not to judge but to save_.[28] All this I know, O my God! and therefore _I hope_.	In spite of these vague fears that seem to extinguish hope within my soul, I know that although Thou art the mighty and strong God before whom the cherubim veil themselves with their wings, the just and all seeing God who discovers blemishes in the purest souls, still Thou wishest to be in the most Holy Sacrament only the Victim whose Blood effaces the sins of the world; the Good Shepherd who hastens after the strayed sheep and carries it tenderly and unreproachfully back to the fold; the divine Mediator who comes underscore not to judge but to save underscore.[twenty eight] All this I know, O my God! and therefore underscore I hope underscore.	false	397.07	445.92	20.313208
6499_91098_000011_000000	Act of Love.	Act of Love.	true	445.92	447.13	27.464687
6499_91098_000012_000000	Notwithstanding the coldness and insensibility that benumb my soul, I know that _I love Thee_, O my God! since my will prefers Thy service to all the joys of this world, since Thy grace is the sole good to which I aspire, and because I suffer so much by reason of my lack of sensible love for Thee.	Notwithstanding the coldness and insensibility that benumb my soul, I know that underscore I love Thee underscore, O my God! since my will prefers Thy service to all the joys of this world, since Thy grace is the sole good to which I aspire, and because I suffer so much by reason of my lack of sensible love for Thee.	false	447.77	473.52	21.52692
6499_91098_000013_000000	Act of Desire.	Act of Desire.	true	473.52	475.03	23.531246
6499_91098_000014_000000	No, I am not indifferent, Thou knowest, O my God! that I am not indifferent to this Most Holy Sacrament which I approach unmoved by any sensible feeling: for Thou seest that although I find in Holy Communion neither relish nor consolation, I would yet make any sacrifice in order to receive it.	No, I am not indifferent, Thou knowest, O my God! that I am not indifferent to this Most Holy Sacrament which I approach unmoved by any sensible feeling: for Thou seest that although I find in Holy Communion neither relish nor consolation, I would yet make any sacrifice in order to receive it.	true	475.49	499.63	23.333382
6499_91098_000015_000000	Act of Contrition.	Act of Contrition.	true	500.72	502.33	23.991144
6499_91098_000016_000000	I feel neither hatred nor horror of sins to which the world does not attach shame and contempt; I experience no sensible sorrow for the sins I have committed, but I know, O my God! that, with the assistance of Thy grace, my will denounces them, for I am resolved to commit them no more. I have taken this resolution because sin displeases Thee and because all that swerves from eternal order is abhorrent to Thy infinite sanctity.	I feel neither hatred nor horror of sins to which the world does not attach shame and contempt; I experience no sensible sorrow for the sins I have committed, but I know, O my God! that, with the assistance of Thy grace, my will denounces them, for I am resolved to commit them no more. I have taken this resolution because sin displeases Thee and because all that swerves from eternal order is abhorrent to Thy infinite sanctity.	false	503.09	537.42	21.960476
6499_91098_000016_000001	_I believe, then, that I am contrite_, O my God! because I believe in Thy promises, and if Thou dost not always grant us the consolation of realizing our contrition, Thou wilt never refuse its justifying virtue to those who humbly implore it; and this I do.	underscore I believe, then, that I am contrite underscore, O my God! because I believe in Thy promises, and if Thou dost not always grant us the consolation of realizing our contrition, Thou wilt never refuse its justifying virtue to those who humbly implore it; and this I do.	false	537.42	559.68	21.143858
6499_91098_000017_000000	No, my God, I shall not pray Thee to grant me sensible enjoyment, not even that of Thy spiritual gifts: what I implore of Thy grace is to keep my will ever turned towards Thee and never to permit it to fall or wander anew on the earth.	No, my God, I shall not pray Thee to grant me sensible enjoyment, not even that of Thy spiritual gifts: what I implore of Thy grace is to keep my will ever turned towards Thee and never to permit it to fall or wander anew on the earth.	false	559.68	578.73	20.643188
6499_91098_000018_000000	_Lord! into Thy hands I commend my spirit._	underscore Lord! into Thy hands I commend my spirit.underscore	false	578.73	583.35	19.987186
6499_91098_000019_000000	(Read _The Imitation_, Chapters IV., XIV., XV. of B. IV.; and Chapters XXV., XLVIII and LII of B. III.)	(Read underscore The Imitation underscore, Chapters i v., fourteen., fifteen. of b i v.; and Chapters twenty five., x l v i i i and LII of b three.)	false	583.35	584.49	-20
6499_91098_000020_000000	If you have an ardent desire for the sensible love of God, a desire that cannot but be pleasing to Him provided you are at the same time resigned to be deprived of it, remember that according to Saint John Chrysostom it can be obtained only by fidelity to prayer.	If you have an ardent desire for the sensible love of God, a desire that cannot but be pleasing to Him provided you are at the same time resigned to be deprived of it, remember that according to Saint john Chrysostom it can be obtained only by fidelity to prayer.	true	584.49	605.05	24.071117
6499_91098_000020_000001	God wishes, says the Saint, to make us realize by experience that we cannot have His love but from Himself, and that this love, which is the true happiness of our souls, is not to be acquired by the reflections of our minds or the natural efforts of our hearts, but by the gratuitous infusion of the Holy Ghost.	God wishes, says the Saint, to make us realize by experience that we cannot have His love but from Himself, and that this love, which is the true happiness of our souls, is not to be acquired by the reflections of our minds or the natural efforts of our hearts, but by the gratuitous infusion of the Holy Ghost.	false	605.72	630.82	22.239208
6499_91098_000020_000002	Yes, this love is so great a good that God wishes to be the sole dispenser of it: He bestows it only in proportion as we ask it of Him, and ordinarily makes us wait for some time before He grants it.	Yes, this love is so great a good that God wishes to be the sole dispenser of it: He bestows it only in proportion as we ask it of Him, and ordinarily makes us wait for some time before He grants it.	true	631.43	647.59	22.268003
6499_91098_000021_000000	There are few prayers better calculated to dispose the soul to receive this great grace than the XVI. and XVII. chapters of the IVth.	There are few prayers better calculated to dispose the soul to receive this great grace than the sixteen. and seventeen. chapters of the fourth.	true	648.35	658.74	24.354975
6499_91098_000021_000001	Book, and XXI. and XXXIV. of the IIId.	Book, and twenty one. and thirty four. of the i i i d.	false	658.74	662.76	27.451881
6499_91098_000021_000002	Book of _The Imitation_.	Book of underscore The Imitation underscore.	false	662.76	665.76	25.864836
6499_91098_000022_000000	For thanksgiving after Communion, read Chapters XXXIV., V., XXI., II. and X. of the III.	For thanksgiving after Communion, read Chapters thirty four., v, twenty one., two. and x of the three.	false	665.76	675.09	27.36973
6499_91098_000022_000001	Book of _The Imitation_.	Book of underscore The Imitation underscore.	false	675.09	697.65	21.358637
