1629_139710_000000_000000	He died in the fifty-fifth year of his age, and the twenty-fifth of his reign.	He died in the fifty fifth year of his age, and the twenty fifth of his reign.	false	0	17.37	20.090868
1629_139710_000008_000009	He wrote a miserable letter to the King, beseeching and entreating to be allowed to see him.	He wrote a miserable letter to the King, beseeching and entreating to be allowed to see him.	true	385.64	389.62	17
1629_139710_000008_000010	When he was taken to London, and conveyed bound into the King's presence, he crawled to him on his knees, and made a most degrading exhibition.	When he was taken to London, and conveyed bound into the King's presence, he crawled to him on his knees, and made a most degrading exhibition.	false	389.78	396.3	16
1629_139710_000008_000011	As James never forgave or relented towards anybody, he was not likely to soften towards the issuer of the Lyme proclamation, so he told the suppliant to prepare for death.	As james never forgave or relented towards anybody, he was not likely to soften towards the issuer of the Lyme proclamation, so he told the suppliant to prepare for death.	true	396.3	405.76	19
1629_139710_000009_000000	On the fifteenth of July, one thousand six hundred and eighty-five, this unfortunate favourite of the people was brought out to die on Tower Hill. The crowd was immense, and the tops of all the houses were covered with gazers.	On the fifteenth of July, one thousand six hundred and eighty five, this unfortunate favourite of the people was brought out to die on Tower Hill. The crowd was immense, and the tops of all the houses were covered with gazers.	true	406.19	416.98	15
1629_139710_000009_000001	He had seen his wife, the daughter of the Duke of Buccleuch, in the Tower, and had talked much of a lady whom he loved far better--the LADY HARRIET WENTWORTH--who was one of the last persons he remembered in this life.	He had seen his wife, the daughter of the Duke of Buccleuch, in the Tower, and had talked much of a lady whom he loved far better-the LADY HARRIET WENTWORTH-who was one of the last persons he remembered in this life.	true	417.26	427.72	17
1629_139710_000009_000002	Before laying down his head upon the block he felt the edge of the axe, and told the executioner that he feared it was not sharp enough, and that the axe was not heavy enough.	Before laying down his head upon the block he felt the edge of the axe, and told the executioner that he feared it was not sharp enough, and that the axe was not heavy enough.	true	427.94	435.67	15
1629_139710_000009_000003	On the executioner replying that it was of the proper kind, the Duke said, 'I pray you have a care, and do not use me so awkwardly as you used my Lord Russell.' The executioner, made nervous by this, and trembling, struck once and merely gashed him in the neck.	On the executioner replying that it was of the proper kind, the Duke said, 'I pray you have a care, and do not use me so awkwardly as you used my Lord Russell.' The executioner, made nervous by this, and trembling, struck once and merely gashed him in the neck.	true	435.71	449.41	17
1629_139710_000009_000004	Upon this, the Duke of Monmouth raised his head and looked the man reproachfully in the face.	Upon this, the Duke of Monmouth raised his head and looked the man reproachfully in the face.	true	449.45	453.73	13
1629_139710_000009_000005	Then he struck twice, and then thrice, and then threw down the axe, and cried out in a voice of horror that he could not finish that work.	Then he struck twice, and then thrice, and then threw down the axe, and cried out in a voice of horror that he could not finish that work.	true	453.98	460.84	19
1629_139710_000009_000006	The sheriffs, however, threatening him with what should be done to himself if he did not, he took it up again and struck a fourth time and a fifth time.	The sheriffs, however, threatening him with what should be done to himself if he did not, he took it up again and struck a fourth time and a fifth time.	true	461.06	468.19	16.910765
1629_139710_000009_000007	Then the wretched head at last fell off, and James, Duke of Monmouth, was dead, in the thirty-sixth year of his age.	Then the wretched head at last fell off, and james, Duke of Monmouth, was dead, in the thirty sixth year of his age.	true	468.41	474.16	14
1629_139710_000009_000008	He was a showy, graceful man, with many popular qualities, and had found much favour in the open hearts of the English.	He was a showy, graceful man, with many popular qualities, and had found much favour in the open hearts of the English.	true	474.44	480.19	17
1629_139710_000010_000000	The atrocities, committed by the Government, which followed this Monmouth rebellion, form the blackest and most lamentable page in English history. The poor peasants, having been dispersed with great loss, and their leaders having been taken, one would think that the implacable King might have been satisfied.	The atrocities, committed by the Government, which followed this Monmouth rebellion, form the blackest and most lamentable page in English history. The poor peasants, having been dispersed with great loss, and their leaders having been taken, one would think that the implacable King might have been satisfied.	true	480.65	494.74	17
1629_139710_000010_000001	But no; he let loose upon them, among other intolerable monsters, a COLONEL KIRK, who had served against the Moors, and whose soldiers--called by the people Kirk's lambs, because they bore a lamb upon their flag, as the emblem of Christianity--were worthy of their leader.	But no; he let loose upon them, among other intolerable monsters, a COLONEL KIRK, who had served against the Moors, and whose soldiers-called by the people Kirk's lambs, because they bore a lamb upon their flag, as the emblem of Christianity-were worthy of their leader.	false	494.78	509.05	16
1629_139710_000010_000002	The atrocities committed by these demons in human shape are far too horrible to be related here.	The atrocities committed by these demons in human shape are far too horrible to be related here.	true	509.45	514.63	18
1629_139710_000010_000003	It is enough to say, that besides most ruthlessly murdering and robbing them, and ruining them by making them buy their pardons at the price of all they possessed, it was one of Kirk's favourite amusements, as he and his officers sat drinking after dinner, and toasting the King, to have batches of prisoners hanged outside the windows for the company's diversion; and that when their feet quivered in the convulsions of death, he used to swear that they should have music to their dancing, and would order the drums to beat and the trumpets to play.	It is enough to say, that besides most ruthlessly murdering and robbing them, and ruining them by making them buy their pardons at the price of all they possessed, it was one of Kirk's favourite amusements, as he and his officers sat drinking after dinner, and toasting the King, to have batches of prisoners hanged outside the windows for the company's diversion; and that when their feet quivered in the convulsions of death, he used to swear that they should have music to their dancing, and would order the drums to beat and the trumpets to play.	false	514.79	539.65	14
1629_139710_000010_000004	The detestable King informed him, as an acknowledgment of these services, that he was 'very well satisfied with his proceedings.' But the King's great delight was in the proceedings of Jeffreys, now a peer, who went down into the west, with four other judges, to try persons accused of having had any share in the rebellion. The King pleasantly called this 'Jeffreys's campaign.' The people down in that part of the country remember it to this day as The Bloody Assize.	The detestable King informed him, as an acknowledgment of these services, that he was 'very well satisfied with his proceedings.' But the King's great delight was in the proceedings of Jeffreys, now a peer, who went down into the west, with four other judges, to try persons accused of having had any share in the rebellion. The King pleasantly called this 'Jeffreys's campaign.' The people down in that part of the country remember it to this day as The Bloody Assize.	true	539.99	562.66	16
1629_139710_000011_000000	It began at Winchester, where a poor deaf old lady, MRS.	It began at Winchester, where a poor deaf old lady, mrs	true	563.42	566.07	16
1629_139710_000011_000001	ALICIA LISLE, the widow of one of the judges of Charles the First (who had been murdered abroad by some Royalist assassins), was charged with having given shelter in her house to two fugitives from Sedgemoor.	ALICIA LISLE, the widow of one of the judges of Charles the First (who had been murdered abroad by some Royalist assassins), was charged with having given shelter in her house to two fugitives from Sedgemoor.	true	566.07	575.35	13
1629_139710_000011_000002	Three times the jury refused to find her guilty, until Jeffreys bullied and frightened them into that false verdict.	Three times the jury refused to find her guilty, until Jeffreys bullied and frightened them into that false verdict.	true	575.72	581.11	14
1629_139710_000011_000003	When he had extorted it from them, he said, 'Gentlemen, if I had been one of you, and she had been my own mother, I would have found her guilty;'--as I dare say he would.	When he had extorted it from them, he said, 'Gentlemen, if I had been one of you, and she had been my own mother, I would have found her guilty;'--as I dare say he would.	true	581.45	589.47	16
1629_139710_000011_000004	He sentenced her to be burned alive, that very afternoon.	He sentenced her to be burned alive, that very afternoon.	true	589.47	592.51	17
1629_139710_000011_000005	The clergy of the cathedral and some others interfered in her favour, and she was beheaded within a week.	The clergy of the cathedral and some others interfered in her favour, and she was beheaded within a week.	true	592.58	596.98	18
1629_139710_000011_000006	As a high mark of his approbation, the King made Jeffreys Lord Chancellor; and he then went on to Dorchester, to Exeter, to Taunton, and to Wells.	As a high mark of his approbation, the King made Jeffreys Lord Chancellor; and he then went on to Dorchester, to Exeter, to Taunton, and to Wells.	true	597.2	604.57	14
1629_139710_000011_000007	It is astonishing, when we read of the enormous injustice and barbarity of this beast, to know that no one struck him dead on the judgment-seat.	It is astonishing, when we read of the enormous injustice and barbarity of this beast, to know that no one struck him dead on the judgment seat.	true	604.67	611.29	14
1629_139710_000011_000008	It was enough for any man or woman to be accused by an enemy, before Jeffreys, to be found guilty of high treason. One man who pleaded not guilty, he ordered to be taken out of court upon the instant, and hanged; and this so terrified the prisoners in general that they mostly pleaded guilty at once.	It was enough for any man or woman to be accused by an enemy, before Jeffreys, to be found guilty of high treason. One man who pleaded not guilty, he ordered to be taken out of court upon the instant, and hanged; and this so terrified the prisoners in general that they mostly pleaded guilty at once.	false	611.39	625.69	16
1629_139710_000011_000009	At Dorchester alone, in the course of a few days, Jeffreys hanged eighty people; besides whipping, transporting, imprisoning, and selling as slaves, great numbers.	At Dorchester alone, in the course of a few days, Jeffreys hanged eighty people; besides whipping, transporting, imprisoning, and selling as slaves, great numbers.	true	626.21	634.45	17
1629_139710_000011_000010	He executed, in all, two hundred and fifty, or three hundred.	He executed, in all, two hundred and fifty, or three hundred.	true	634.52	637.69	19
1629_139710_000012_000000	These executions took place, among the neighbours and friends of the sentenced, in thirty-six towns and villages.	These executions took place, among the neighbours and friends of the sentenced, in thirty six towns and villages.	true	638.06	643.03	16
1629_139710_000012_000001	Their bodies were mangled, steeped in caldrons of boiling pitch and tar, and hung up by the roadsides, in the streets, over the very churches.	Their bodies were mangled, steeped in caldrons of boiling pitch and tar, and hung up by the roadsides, in the streets, over the very churches.	true	643.19	649.84	15
1629_139710_000012_000002	The sight and smell of heads and limbs, the hissing and bubbling of the infernal caldrons, and the tears and terrors of the people, were dreadful beyond all description.	The sight and smell of heads and limbs, the hissing and bubbling of the infernal caldrons, and the tears and terrors of the people, were dreadful beyond all description.	true	650.06	657.37	15
1629_139710_000012_000003	One rustic, who was forced to steep the remains in the black pot, was ever afterwards called 'Tom Boilman.' The hangman has ever since been called Jack Ketch, because a man of that name went hanging and hanging, all day long, in the train of Jeffreys.	One rustic, who was forced to steep the remains in the black pot, was ever afterwards called 'Tom Boilman.' The hangman has ever since been called Jack Ketch, because a man of that name went hanging and hanging, all day long, in the train of Jeffreys.	true	657.68	669.64	16
1629_139710_000012_000004	You will hear much of the horrors of the great French Revolution.	You will hear much of the horrors of the great French Revolution.	true	670.13	672.88	16
1629_139710_000012_000005	Many and terrible they were, there is no doubt; but I know of nothing worse, done by the maddened people of France in that awful time, than was done by the highest judge in England, with the express approval of the King of England, in The Bloody Assize.	Many and terrible they were, there is no doubt; but I know of nothing worse, done by the maddened people of France in that awful time, than was done by the highest judge in England, with the express approval of the King of England, in The Bloody Assize.	true	672.92	684.19	14
1629_139710_000013_000000	Nor was even this all.	Nor was even this all.	false	684.56	686.95	21.572702
1629_139710_000013_000001	Jeffreys was as fond of money for himself as of misery for others, and he sold pardons wholesale to fill his pockets.	Jeffreys was as fond of money for himself as of misery for others, and he sold pardons wholesale to fill his pockets.	true	687.2	693.1	11
1629_139710_000013_000002	The King ordered, at one time, a thousand prisoners to be given to certain of his favourites, in order that they might bargain with them for their pardons.	The King ordered, at one time, a thousand prisoners to be given to certain of his favourites, in order that they might bargain with them for their pardons.	true	693.29	699.94	15
1629_139710_000013_000003	The young ladies of Taunton who had presented the Bible, were bestowed upon the maids of honour at court; and those precious ladies made very hard bargains with them indeed.	The young ladies of Taunton who had presented the Bible, were bestowed upon the maids of honour at court; and those precious ladies made very hard bargains with them indeed.	true	700.25	707.89	17
1629_139710_000013_000004	When The Bloody Assize was at its most dismal height, the King was diverting himself with horse-races in the very place where Mrs. Lisle had been executed.	When The Bloody Assize was at its most dismal height, the King was diverting himself with horse races in the very place where mrs Lisle had been executed.	true	708.08	715.21	18
1629_139710_000013_000005	When Jeffreys had done his worst, and came home again, he was particularly complimented in the Royal Gazette; and when the King heard that through drunkenness and raging he was very ill, his odious Majesty remarked that such another man could not easily be found in England.	When Jeffreys had done his worst, and came home again, he was particularly complimented in the Royal Gazette; and when the King heard that through drunkenness and raging he was very ill, his odious Majesty remarked that such another man could not easily be found in England.	true	715.49	728.08	14
1629_139710_000013_000006	Besides all this, a former sheriff of London, named CORNISH, was hanged within sight of his own house, after an abominably conducted trial, for having had a share in the Rye House Plot, on evidence given by Rumsey, which that villain was obliged to confess was directly opposed to the evidence he had given on the trial of Lord Russell.	Besides all this, a former sheriff of London, named CORNISH, was hanged within sight of his own house, after an abominably conducted trial, for having had a share in the Rye House Plot, on evidence given by Rumsey, which that villain was obliged to confess was directly opposed to the evidence he had given on the trial of Lord Russell.	true	728.36	744.07	16
1629_139710_000013_000007	And on the very same day, a worthy widow, named ELIZABETH GAUNT, was burned alive at Tyburn, for having sheltered a wretch who himself gave evidence against her.	And on the very same day, a worthy widow, named ELIZABETH GAUNT, was burned alive at Tyburn, for having sheltered a wretch who himself gave evidence against her.	true	744.53	752.5	14
1629_139710_000013_000008	She settled the fuel about herself with her own hands, so that the flames should reach her quickly: and nobly said, with her last breath, that she had obeyed the sacred command of God, to give refuge to the outcast, and not to betray the wanderer.	She settled the fuel about herself with her own hands, so that the flames should reach her quickly: and nobly said, with her last breath, that she had obeyed the sacred command of God, to give refuge to the outcast, and not to betray the wanderer.	true	752.75	764.56	17
1629_139710_000014_000000	After all this hanging, beheading, burning, boiling, mutilating, exposing, robbing, transporting, and selling into slavery, of his unhappy subjects, the King not unnaturally thought that he could do whatever he would.	After all this hanging, beheading, burning, boiling, mutilating, exposing, robbing, transporting, and selling into slavery, of his unhappy subjects, the King not unnaturally thought that he could do whatever he would.	true	765.11	775.39	15
1629_139710_000014_000001	So, he went to work to change the religion of the country with all possible speed; and what he did was this.	So, he went to work to change the religion of the country with all possible speed; and what he did was this.	true	775.46	780.61	17
1629_139710_000015_000000	He first of all tried to get rid of what was called the Test Act--which prevented the Catholics from holding public employments--by his own power of dispensing with the penalties.	He first of all tried to get rid of what was called the Test Act-which prevented the Catholics from holding public employments-by his own power of dispensing with the penalties.	true	781.07	789.31	18
1629_139710_000015_000001	He tried it in one case, and, eleven of the twelve judges deciding in his favour, he exercised it in three others, being those of three dignitaries of University College, Oxford, who had become Papists, and whom he kept in their places and sanctioned. He revived the hated Ecclesiastical Commission, to get rid of COMPTON, Bishop of London, who manfully opposed him.	He tried it in one case, and, eleven of the twelve judges deciding in his favour, he exercised it in three others, being those of three dignitaries of University College, Oxford, who had become Papists, and whom he kept in their places and sanctioned. He revived the hated Ecclesiastical Commission, to get rid of COMPTON, Bishop of London, who manfully opposed him.	false	789.47	807.1	16
1629_139710_000015_000002	He solicited the Pope to favour England with an ambassador, which the Pope (who was a sensible man then) rather unwillingly did.	He solicited the Pope to favour England with an ambassador, which the Pope (who was a sensible man then) rather unwillingly did.	true	807.32	813.58	16
1629_139710_000015_000003	He flourished Father Petre before the eyes of the people on all possible occasions.	He flourished Father Petre before the eyes of the people on all possible occasions.	true	813.95	818.52	20
1629_139710_000015_000004	He favoured the establishment of convents in several parts of London.	He favoured the establishment of convents in several parts of London.	true	818.52	821.65	17
1629_139710_000015_000005	He was delighted to have the streets, and even the court itself, filled with Monks and Friars in the habits of their orders.	He was delighted to have the streets, and even the court itself, filled with Monks and Friars in the habits of their orders.	true	821.81	827.11	13
1629_139710_000015_000006	He constantly endeavoured to make Catholics of the Protestants about him.	He constantly endeavoured to make Catholics of the Protestants about him.	true	827.24	830.56	17
1629_139710_000015_000007	He held private interviews, which he called 'closetings,' with those Members of Parliament who held offices, to persuade them to consent to the design he had in view.	He held private interviews, which he called 'closetings,' with those Members of Parliament who held offices, to persuade them to consent to the design he had in view.	true	830.78	838.12	14
1629_139710_000015_000008	When they did not consent, they were removed, or resigned of themselves, and their places were given to Catholics.	When they did not consent, they were removed, or resigned of themselves, and their places were given to Catholics.	true	838.4	843.37	12
1629_139710_000015_000009	He displaced Protestant officers from the army, by every means in his power, and got Catholics into their places too.	He displaced Protestant officers from the army, by every means in his power, and got Catholics into their places too.	true	843.62	848.95	14
1629_139710_000015_000010	He tried the same thing with the corporations, and also (though not so successfully) with the Lord Lieutenants of counties.	He tried the same thing with the corporations, and also (though not so successfully) with the Lord Lieutenants of counties.	true	849.29	854.8	15
1629_139710_000015_000011	To terrify the people into the endurance of all these measures, he kept an army of fifteen thousand men encamped on Hounslow Heath, where mass was openly performed in the General's tent, and where priests went among the soldiers endeavouring to persuade them to become Catholics.	To terrify the people into the endurance of all these measures, he kept an army of fifteen thousand men encamped on Hounslow Heath, where mass was openly performed in the General's tent, and where priests went among the soldiers endeavouring to persuade them to become Catholics.	true	855.02	867.19	13
1629_139710_000015_000012	For circulating a paper among those men advising them to be true to their religion, a Protestant clergyman, named JOHNSON, the chaplain of the late Lord Russell, was actually sentenced to stand three times in the pillory, and was actually whipped from Newgate to Tyburn.	For circulating a paper among those men advising them to be true to their religion, a Protestant clergyman, named JOHNSON, the chaplain of the late Lord Russell, was actually sentenced to stand three times in the pillory, and was actually whipped from Newgate to Tyburn.	true	867.38	880	17
