337_123033_000000_000000	Part III	Part three	false	10.68	24.06	21.032545
337_123033_000006_000008	Then the hard-faced man came back again and offered twenty-three pounds.	Then the hard faced man came back again and offered twenty three pounds.	true	255.62	260.38	22
337_123033_000006_000009	A very close bargain was being driven, for my salesman began to think he should not get all he asked, and must come down; but just then the gray-eyed man came back again.	A very close bargain was being driven, for my salesman began to think he should not get all he asked, and must come down; but just then the gray eyed man came back again.	true	260.84	274.93	21.476797
337_123033_000006_000010	I could not help reaching out my head toward him.	I could not help reaching out my head toward him.	true	275.09	278.26	22
337_123033_000006_000011	He stroked my face kindly.	He stroked my face kindly.	true	278.3	280.45	22
337_123033_000007_000000	"Well, old chap," he said, "I think we should suit each other.	"Well, old chap," he said, "I think we should suit each other.	false	280.7	284.74	24.992926
337_123033_000007_000001	I'll give twenty-four for him."	I'll give twenty four for him."	true	285.26	287.49	21.91269
337_123033_000008_000000	"Say twenty-five and you shall have him."	"Say twenty five and you shall have him."	true	287.49	290.08	23
337_123033_000009_000000	"Twenty-four ten," said my friend, in a very decided tone, "and not another sixpence--yes or no?"	"Twenty four ten," said my friend, in a very decided tone, "and not another sixpence-yes or no?"	true	290.09	297.49	21
337_123033_000010_000000	"Done," said the salesman; "and you may depend upon it there's a monstrous deal of quality in that horse, and if you want him for cab work he's a bargain."	"Done," said the salesman; "and you may depend upon it there's a monstrous deal of quality in that horse, and if you want him for cab work he's a bargain."	true	298.16	308.38	21
337_123033_000011_000000	The money was paid on the spot, and my new master took my halter, and led me out of the fair to an inn, where he had a saddle and bridle ready.	The money was paid on the spot, and my new master took my halter, and led me out of the fair to an inn, where he had a saddle and bridle ready.	false	308.6	318.67	20.668007
337_123033_000011_000001	He gave me a good feed of oats and stood by while I ate it, talking to himself and talking to me.	He gave me a good feed of oats and stood by while I ate it, talking to himself and talking to me.	true	318.95	326.44	22
337_123033_000011_000002	Half an hour after we were on our way to London, through pleasant lanes and country roads, until we came into the great London thoroughfare, on which we traveled steadily, till in the twilight we reached the great city.	Half an hour after we were on our way to London, through pleasant lanes and country roads, until we came into the great London thoroughfare, on which we traveled steadily, till in the twilight we reached the great city.	true	326.69	341.59	23
337_123033_000011_000003	The gas lamps were already lighted; there were streets to the right, and streets to the left, and streets crossing each other, for mile upon mile.	The gas lamps were already lighted; there were streets to the right, and streets to the left, and streets crossing each other, for mile upon mile.	true	341.9	351.52	22.970066
337_123033_000011_000004	I thought we should never come to the end of them.	I thought we should never come to the end of them.	true	351.71	354.52	22
337_123033_000011_000005	At last, in passing through one, we came to a long cab stand, when my rider called out in a cheery voice, "Good-night, governor!"	At last, in passing through one, we came to a long cab stand, when my rider called out in a cheery voice, "Good night, governor!"	false	354.62	364	23
337_123033_000012_000000	"Halloo!" cried a voice.	"Halloo!" cried a voice.	true	364.49	366.19	24.27402
337_123033_000012_000001	"Have you got a good one?"	"Have you got a good one?"	true	366.29	367.69	21.388153
337_123033_000013_000000	"I think so," replied my owner.	"I think so," replied my owner.	true	367.91	370.24	23
337_123033_000014_000000	"I wish you luck with him."	"I wish you luck with him."	true	370.49	372.105	25.456102
337_123033_000015_000000	"Thank you, governor," and he rode on.	"Thank you, governor," and he rode on.	true	372.105	374.8	20.61008
337_123033_000015_000001	We soon turned up one of the side streets, and about halfway up that we turned into a very narrow street, with rather poor-looking houses on one side, and what seemed to be coach-houses and stables on the other.	We soon turned up one of the side streets, and about halfway up that we turned into a very narrow street, with rather poor looking houses on one side, and what seemed to be coach houses and stables on the other.	true	375.11	389.17	24
337_123033_000016_000000	My owner pulled up at one of the houses and whistled.	My owner pulled up at one of the houses and whistled.	true	389.96	393.37	22
337_123033_000016_000001	The door flew open, and a young woman, followed by a little girl and boy, ran out. There was a very lively greeting as my rider dismounted.	The door flew open, and a young woman, followed by a little girl and boy, ran out. There was a very lively greeting as my rider dismounted.	false	393.8	403.57	22.513613
337_123033_000017_000000	"Now, then, Harry, my boy, open the gates, and mother will bring us the lantern."	"Now, then, Harry, my boy, open the gates, and mother will bring us the lantern."	true	403.61	408.64	23
337_123033_000018_000000	The next minute they were all standing round me in a small stable-yard.	The next minute they were all standing round me in a small stable yard.	true	409.01	413.8	17
337_123033_000019_000000	"Is he gentle, father?"	"Is he gentle, father?"	true	414.08	415.78	23.457533
337_123033_000020_000000	"Yes, Dolly, as gentle as your own kitten; come and pat him."	"Yes, Dolly, as gentle as your own kitten; come and pat him."	true	416	420.37	21.625885
337_123033_000021_000000	At once the little hand was patting about all over my shoulder without fear.	At once the little hand was patting about all over my shoulder without fear.	true	420.53	425.71	19
337_123033_000021_000001	How good it felt!	How good it felt!	true	426.23	427.96	25.88048
337_123033_000022_000000	"Let me get him a bran mash while you rub him down," said the mother.	"Let me get him a bran mash while you rub him down," said the mother.	true	428.3	432.52	14
337_123033_000023_000000	"Do, Polly, it's just what he wants; and I know you've got a beautiful mash ready for me."	"Do, Polly, it's just what he wants; and I know you've got a beautiful mash ready for me."	true	432.95	438.91	21
337_123033_000024_000000	"Sausage dumpling and apple turnover!" shouted the boy, which set them all laughing.	"Sausage dumpling and apple turnover!" shouted the boy, which set them all laughing.	true	439.49	445.54	19.547218
337_123033_000024_000001	I was led into a comfortable, clean-smelling stall, with plenty of dry straw, and after a capital supper I lay down, thinking I was going to be happy.	I was led into a comfortable, clean smelling stall, with plenty of dry straw, and after a capital supper I lay down, thinking I was going to be happy.	false	445.7	458.04	22.18814
337_123033_000025_000000	33 A London Cab Horse	thirty three A London Cab Horse	false	458.04	458.16	-20
337_123033_000026_000000	Jeremiah Barker was my new master's name, but as every one called him Jerry, I shall do the same.	Jeremiah Barker was my new master's name, but as every one called him Jerry, I shall do the same.	false	458.16	458.61	-2
337_123033_000026_000001	Polly, his wife, was just as good a match as a man could have.	Polly, his wife, was just as good a match as a man could have.	false	458.61	458.94	-4
337_123033_000026_000002	She was a plump, trim, tidy little woman, with smooth, dark hair, dark eyes, and a merry little mouth.	She was a plump, trim, tidy little woman, with smooth, dark hair, dark eyes, and a merry little mouth.	false	458.94	459.36	-5
337_123033_000026_000003	The boy was twelve years old, a tall, frank, good-tempered lad; and little Dorothy (Dolly they called her) was her mother over again, at eight years old.	The boy was twelve years old, a tall, frank, good tempered lad; and little Dorothy (Dolly they called her) was her mother over again, at eight years old.	false	459.36	460.02	40
337_123033_000026_000004	They were all wonderfully fond of each other; I never knew such a happy, merry family before or since.	They were all wonderfully fond of each other; I never knew such a happy, merry family before or since.	false	460.02	461.34	24.435362
337_123033_000026_000005	Jerry had a cab of his own, and two horses, which he drove and attended to himself.	Jerry had a cab of his own, and two horses, which he drove and attended to himself.	false	461.34	463.35	18.842854
337_123033_000026_000006	His other horse was a tall, white, rather large-boned animal called "Captain".	His other horse was a tall, white, rather large boned animal called "Captain".	false	463.35	463.35	
337_123033_000026_000007	He was old now, but when he was young he must have been splendid; he had still a proud way of holding his head and arching his neck; in fact, he was a high-bred, fine-mannered, noble old horse, every inch of him.	He was old now, but when he was young he must have been splendid; he had still a proud way of holding his head and arching his neck; in fact, he was a high bred, fine mannered, noble old horse, every inch of him.	false	463.35	463.35	
337_123033_000026_000008	He told me that in his early youth he went to the Crimean War; he belonged to an officer in the cavalry, and used to lead the regiment.	He told me that in his early youth he went to the Crimean War; he belonged to an officer in the cavalry, and used to lead the regiment.	false	463.35	463.35	
337_123033_000026_000009	I will tell more of that hereafter.	I will tell more of that hereafter.	false	463.35	463.35	
