3361_1150_000001_000000	Chapter 40	Chapter forty
3361_1150_000011_000001	Take your choice, but you must be satisfied with only one.	Take your choice, but you must be satisfied with only one.
3361_1150_000011_000002	There is but such a quantity of merit between them; just enough to make one good sort of man; and of late it has been shifting about pretty much.	There is but such a quantity of merit between them; just enough to make one good sort of man; and of late it has been shifting about pretty much.
3361_1150_000011_000003	For my part, I am inclined to believe it all Darcy's; but you shall do as you choose."	For my part, I am inclined to believe it all Darcy's; but you shall do as you choose."
3361_1150_000012_000000	It was some time, however, before a smile could be extorted from Jane.	It was some time, however, before a smile could be extorted from Jane.
3361_1150_000013_000000	"I do not know when I have been more shocked," said she.	"I do not know when I have been more shocked," said she.
3361_1150_000013_000001	"Wickham so very bad!	"Wickham so very bad!
3361_1150_000013_000002	It is almost past belief.	It is almost past belief.
3361_1150_000013_000003	And poor Mr. Darcy!	And poor mr Darcy!
3361_1150_000013_000004	Dear Lizzy, only consider what he must have suffered.	Dear Lizzy, only consider what he must have suffered.
3361_1150_000013_000005	Such a disappointment! and with the knowledge of your ill opinion, too! and having to relate such a thing of his sister!	Such a disappointment! and with the knowledge of your ill opinion, too! and having to relate such a thing of his sister!
3361_1150_000013_000006	It is really too distressing.	It is really too distressing.
3361_1150_000014_000000	"Oh! no, my regret and compassion are all done away by seeing you so full of both.	"Oh! no, my regret and compassion are all done away by seeing you so full of both.
3361_1150_000014_000001	I know you will do him such ample justice, that I am growing every moment more unconcerned and indifferent.	I know you will do him such ample justice, that I am growing every moment more unconcerned and indifferent.
3361_1150_000014_000002	Your profusion makes me saving; and if you lament over him much longer, my heart will be as light as a feather."	Your profusion makes me saving; and if you lament over him much longer, my heart will be as light as a feather."
3361_1150_000015_000000	"Poor Wickham! there is such an expression of goodness in his countenance! such an openness and gentleness in his manner!"	"Poor Wickham! there is such an expression of goodness in his countenance! such an openness and gentleness in his manner!"
3361_1150_000016_000000	"There certainly was some great mismanagement in the education of those two young men.	"There certainly was some great mismanagement in the education of those two young men.
3361_1150_000018_000000	"And yet I meant to be uncommonly clever in taking so decided a dislike to him, without any reason.	"And yet I meant to be uncommonly clever in taking so decided a dislike to him, without any reason.
3361_1150_000018_000001	It is such a spur to one's genius, such an opening for wit, to have a dislike of that kind.	It is such a spur to one's genius, such an opening for wit, to have a dislike of that kind.
3361_1150_000019_000000	"Lizzy, when you first read that letter, I am sure you could not treat the matter as you do now."	"Lizzy, when you first read that letter, I am sure you could not treat the matter as you do now."
3361_1150_000020_000000	"Indeed, I could not.	"Indeed, I could not.
3361_1150_000020_000001	I was uncomfortable enough, I may say unhappy.	I was uncomfortable enough, I may say unhappy.
3361_1150_000020_000002	And with no one to speak to about what I felt, no Jane to comfort me and say that I had not been so very weak and vain and nonsensical as I knew I had!	And with no one to speak to about what I felt, no Jane to comfort me and say that I had not been so very weak and vain and nonsensical as I knew I had!
3361_1150_000020_000003	Oh! how I wanted you!"	Oh! how I wanted you!"
3361_1150_000022_000000	"Certainly.	"Certainly.
3361_1150_000022_000001	But the misfortune of speaking with bitterness is a most natural consequence of the prejudices I had been encouraging.	But the misfortune of speaking with bitterness is a most natural consequence of the prejudices I had been encouraging.
3361_1150_000022_000002	There is one point on which I want your advice.	There is one point on which I want your advice.
3361_1150_000022_000003	I want to be told whether I ought, or ought not, to make our acquaintances in general understand Wickham's character."	I want to be told whether I ought, or ought not, to make our acquaintances in general understand Wickham's character."
3361_1150_000023_000000	Miss Bennet paused a little, and then replied, "Surely there can be no occasion for exposing him so dreadfully.	Miss Bennet paused a little, and then replied, "Surely there can be no occasion for exposing him so dreadfully.
3361_1150_000023_000001	What is your opinion?"	What is your opinion?"
3361_1150_000024_000000	"That it ought not to be attempted.	"That it ought not to be attempted.
3361_1150_000024_000001	Mr. Darcy has not authorised me to make his communication public.	mr Darcy has not authorised me to make his communication public.
3361_1150_000024_000002	On the contrary, every particular relative to his sister was meant to be kept as much as possible to myself; and if I endeavour to undeceive people as to the rest of his conduct, who will believe me?	On the contrary, every particular relative to his sister was meant to be kept as much as possible to myself; and if I endeavour to undeceive people as to the rest of his conduct, who will believe me?
3361_1150_000024_000003	The general prejudice against Mr. Darcy is so violent, that it would be the death of half the good people in Meryton to attempt to place him in an amiable light.	The general prejudice against mr Darcy is so violent, that it would be the death of half the good people in Meryton to attempt to place him in an amiable light.
3361_1150_000024_000004	I am not equal to it.	I am not equal to it.
3361_1150_000024_000005	Wickham will soon be gone; and therefore it will not signify to anyone here what he really is.	Wickham will soon be gone; and therefore it will not signify to anyone here what he really is.
3361_1150_000024_000006	Some time hence it will be all found out, and then we may laugh at their stupidity in not knowing it before.	Some time hence it will be all found out, and then we may laugh at their stupidity in not knowing it before.
3361_1150_000024_000007	At present I will say nothing about it."	At present I will say nothing about it."
3361_1150_000025_000000	"You are quite right.	"You are quite right.
3361_1150_000025_000001	To have his errors made public might ruin him for ever.	To have his errors made public might ruin him for ever.
3361_1150_000025_000002	He is now, perhaps, sorry for what he has done, and anxious to re-establish a character.	He is now, perhaps, sorry for what he has done, and anxious to re-establish a character.
3361_1150_000025_000003	We must not make him desperate."	We must not make him desperate."
3361_1150_000026_000000	The tumult of Elizabeth's mind was allayed by this conversation.	The tumult of Elizabeth's mind was allayed by this conversation.
3361_1150_000026_000002	But there was still something lurking behind, of which prudence forbade the disclosure.	But there was still something lurking behind, of which prudence forbade the disclosure.
3361_1150_000026_000003	She dared not relate the other half of Mr. Darcy's letter, nor explain to her sister how sincerely she had been valued by her friend.	She dared not relate the other half of mr Darcy's letter, nor explain to her sister how sincerely she had been valued by her friend.
3361_1150_000026_000004	Here was knowledge in which no one could partake; and she was sensible that nothing less than a perfect understanding between the parties could justify her in throwing off this last encumbrance of mystery.	Here was knowledge in which no one could partake; and she was sensible that nothing less than a perfect understanding between the parties could justify her in throwing off this last encumbrance of mystery.
3361_1150_000026_000005	"And then," said she, "if that very improbable event should ever take place, I shall merely be able to tell what Bingley may tell in a much more agreeable manner himself.	"And then," said she, "if that very improbable event should ever take place, I shall merely be able to tell what Bingley may tell in a much more agreeable manner himself.
3361_1150_000026_000006	The liberty of communication cannot be mine till it has lost all its value!"	The liberty of communication cannot be mine till it has lost all its value!"
3361_1150_000027_000000	She was now, on being settled at home, at leisure to observe the real state of her sister's spirits.	She was now, on being settled at home, at leisure to observe the real state of her sister's spirits.
3361_1150_000027_000001	Jane was not happy.	Jane was not happy.
3361_1150_000027_000002	She still cherished a very tender affection for Bingley.	She still cherished a very tender affection for Bingley.
3361_1150_000028_000001	For my part, I am determined never to speak of it again to anybody.	For my part, I am determined never to speak of it again to anybody.
3361_1150_000028_000002	I told my sister Phillips so the other day.	I told my sister Phillips so the other day.
3361_1150_000028_000003	But I cannot find out that Jane saw anything of him in London.	But I cannot find out that Jane saw anything of him in London.
3361_1150_000028_000004	Well, he is a very undeserving young man--and I do not suppose there's the least chance in the world of her ever getting him now.	Well, he is a very undeserving young man-and I do not suppose there's the least chance in the world of her ever getting him now.
3361_1150_000029_000000	"I do not believe he will ever live at Netherfield any more."	"I do not believe he will ever live at Netherfield any more."
3361_1150_000030_000000	"Oh well! it is just as he chooses.	"Oh well! it is just as he chooses.
3361_1150_000030_000001	Nobody wants him to come.	Nobody wants him to come.
3361_1150_000030_000002	Though I shall always say he used my daughter extremely ill; and if I was her, I would not have put up with it.	Though I shall always say he used my daughter extremely ill; and if I was her, I would not have put up with it.
3361_1150_000030_000003	Well, my comfort is, I am sure Jane will die of a broken heart; and then he will be sorry for what he has done."	Well, my comfort is, I am sure Jane will die of a broken heart; and then he will be sorry for what he has done."
3361_1150_000031_000000	But as Elizabeth could not receive comfort from any such expectation, she made no answer.	But as Elizabeth could not receive comfort from any such expectation, she made no answer.
3361_1150_000032_000001	Well, well, I only hope it will last.	Well, well, I only hope it will last.
3361_1150_000032_000002	And what sort of table do they keep?	And what sort of table do they keep?
3361_1150_000032_000003	Charlotte is an excellent manager, I dare say.	Charlotte is an excellent manager, I dare say.
3361_1150_000032_000004	If she is half as sharp as her mother, she is saving enough.	If she is half as sharp as her mother, she is saving enough.
3361_1150_000033_000000	"No, nothing at all."	"No, nothing at all."
3361_1150_000034_000004	Well, much good may it do them!	Well, much good may it do them!
3361_1150_000034_000005	And so, I suppose, they often talk of having Longbourn when your father is dead.	And so, I suppose, they often talk of having Longbourn when your father is dead.
3361_1150_000035_000000	"It was a subject which they could not mention before me."	"It was a subject which they could not mention before me."
3361_1150_000036_000000	"No; it would have been strange if they had; but I make no doubt they often talk of it between themselves.	"No; it would have been strange if they had; but I make no doubt they often talk of it between themselves.
3361_1150_000036_000001	Well, if they can be easy with an estate that is not lawfully their own, so much the better.	Well, if they can be easy with an estate that is not lawfully their own, so much the better.
