1401_146770_000000_000000	_Letter Number Twelve_	underscore Letter Number Twelve underscore	false	0	5.22	20
1401_146770_000018_000001	Keep it and tame it and bring it up with your children." I didn't have time to say anything more, and he didn't have time to answer, for two of the dogs who had got a little of their wind back sprang up and made a jump at the stag; and he, having got a little of his wind back, jerked his horn out of the hand of the man, and giving a sort of side spring backward among the bushes and rocks, away he went, the dogs after him.	Keep it and tame it and bring it up with your children." I didn't have time to say anything more, and he didn't have time to answer, for two of the dogs who had got a little of their wind back sprang up and made a jump at the stag; and he, having got a little of his wind back, jerked his horn out of the hand of the man, and giving a sort of side spring backward among the bushes and rocks, away he went, the dogs after him.	true	429.68	451.75	18
1401_146770_000019_000000	The man with the knife rushed out into the lane, and so did I, and so did the man on horseback, almost on top of me.	The man with the knife rushed out into the lane, and so did I, and so did the man on horseback, almost on top of me.	true	452.3	458.35	16
1401_146770_000019_000001	On the other side of the lane was a little gorge with rocks and trees and water at the bottom of it, and I was just in time to see the stag spring over the lane and drop out of sight among the rocks and the moss and the vines.	On the other side of the lane was a little gorge with rocks and trees and water at the bottom of it, and I was just in time to see the stag spring over the lane and drop out of sight among the rocks and the moss and the vines.	true	458.75	469.99	14
1401_146770_000020_000000	The man stood and swore at me regardless of my sex, so violent was his rage.	The man stood and swore at me regardless of my sex, so violent was his rage.	true	470.6	475.12	16
1401_146770_000021_000000	"If you was a man I'd break your head," he yelled.	"If you was a man I'd break your head," he yelled.	true	475.46	478.06	19.936142
1401_146770_000022_000000	"I'm glad I'm not," said I, "for I wouldn't want my head broken.	"I'm glad I'm not," said I, "for I wouldn't want my head broken.	true	478.07	481.36	16
1401_146770_000022_000001	But what troubles me is, that I'm afraid that deer has broken his legs or hurt himself some way, for I never saw anything drop on rocks in such a reckless manner, and the poor thing so tired."	But what troubles me is, that I'm afraid that deer has broken his legs or hurt himself some way, for I never saw anything drop on rocks in such a reckless manner, and the poor thing so tired."	true	481.46	491.59	18
1401_146770_000023_000000	The man swore again, and said something about wishing somebody else's legs had been broken; and then he shouted to the man on horseback to call off the dogs, which was of no use, for he was doing it already. Then he turned on me again.	The man swore again, and said something about wishing somebody else's legs had been broken; and then he shouted to the man on horseback to call off the dogs, which was of no use, for he was doing it already. Then he turned on me again.	false	492.23	505	18
1401_146770_000024_000000	"You are an American," he shouted.	"You are an American," he shouted.	true	505.88	507.85	18
1401_146770_000024_000001	"I might have known that.	"I might have known that.	false	507.86	509.31	17.931227
1401_146770_000024_000002	No English woman would ever have done such a beastly thing as that."	No English woman would ever have done such a beastly thing as that."	false	509.31	512.77	18
1401_146770_000025_000000	"You're mistaken there," I said; "there isn't a true English woman that lives who would not have done the same thing.	"You're mistaken there," I said; "there isn't a true English woman that lives who would not have done the same thing.	true	513.17	518.8	16
1401_146770_000025_000001	Your mother--"	Your mother-"	true	518.87	519.945	20.579788
1401_146770_000026_000000	"Confound my mother!" yelled the man.	"Confound my mother!" yelled the man.	true	519.945	522.16	20
1401_146770_000027_000000	"All right," said I; "that's all in your family and none of my business." Then he went off raging to where he had left his horse by a gatepost.	"All right," said I; "that's all in your family and none of my business." Then he went off raging to where he had left his horse by a gatepost.	false	522.47	529.72	20.166128
1401_146770_000028_000000	The other man, who was a good deal younger and more friendly, came up to me and said he wouldn't like to be in my boots, for I had spoiled a pretty piece of sport; and then he went on and told me that it had been a bad hunt, for instead of starting only one stag, three or four of them had been started, and they had had a bad time, for the hounds and the hunters had been mixed up in a nasty way.	The other man, who was a good deal younger and more friendly, came up to me and said he wouldn't like to be in my boots, for I had spoiled a pretty piece of sport; and then he went on and told me that it had been a bad hunt, for instead of starting only one stag, three or four of them had been started, and they had had a bad time, for the hounds and the hunters had been mixed up in a nasty way.	false	530.39	550.96	17
1401_146770_000028_000001	And at last, when the master of the hounds and most every one else had gone off over Dunkery Hill, and he didn't know whether they was after two stags or one, he and his mate, who was both whippers-in, had gone to turn part of the pack that had broken away, and had found that these dogs was after another stag, and so before they knew it they was in a hunt of their own, and they would have killed that stag if it had not been for me; and he said it was hard on his mate, for he knew he had it in mind that he was going to kill the only stag of the day.	And at last, when the master of the hounds and most every one else had gone off over Dunkery Hill, and he didn't know whether they was after two stags or one, he and his mate, who was both whippers in, had gone to turn part of the pack that had broken away, and had found that these dogs was after another stag, and so before they knew it they was in a hunt of their own, and they would have killed that stag if it had not been for me; and he said it was hard on his mate, for he knew he had it in mind that he was going to kill the only stag of the day.	false	551.42	579.94	17
1401_146770_000029_000000	He went on to say, that as for himself he wasn't so sorry, for this was Sir Skiddery Henchball's land, and when a stag was killed it belonged to the man whose land it died on.	He went on to say, that as for himself he wasn't so sorry, for this was Sir Skiddery Henchball's land, and when a stag was killed it belonged to the man whose land it died on.	false	580.82	590.56	18
1401_146770_000029_000001	He told me that the master of the hunt gets the head and the antlers, and the huntsman some other part, which I forget, but the owner of the land, no matter whether he's in the hunt or not, gets the body of the stag.	He told me that the master of the hunt gets the head and the antlers, and the huntsman some other part, which I forget, but the owner of the land, no matter whether he's in the hunt or not, gets the body of the stag.	true	590.9	602.59	19
1401_146770_000029_000002	"There's a cottage not a mile down this lane," said he, "with its thatch torn off, and my sister and her children live there, and Sir Skiddery turned them out on account of the rent, and so I'm glad the old skinflint didn't get the venison." And then he went off, being called by the other man.	"There's a cottage not a mile down this lane," said he, "with its thatch torn off, and my sister and her children live there, and Sir Skiddery turned them out on account of the rent, and so I'm glad the old skinflint didn't get the venison." And then he went off, being called by the other man.	false	602.84	618.73	19
1401_146770_000030_000000	I didn't know what time it was, but it seemed as if it must be getting on into the afternoon; and feeling that my deer hunt was over, I thought I had better lose no time in hunting up Jone, so I followed on after the men and the dogs, who was going to the main road, but keeping a little back of them, though, for I didn't know what the older one might do if he happened to turn and see me.	I didn't know what time it was, but it seemed as if it must be getting on into the afternoon; and feeling that my deer hunt was over, I thought I had better lose no time in hunting up Jone, so I followed on after the men and the dogs, who was going to the main road, but keeping a little back of them, though, for I didn't know what the older one might do if he happened to turn and see me.	false	619.34	638.59	15
1401_146770_000031_000000	I was sure that Jone had passed the little lane without seeing it, so I kept on the way we had been going, and got up all the speed I could, though I must say I was dreadfully tired, and even trembling a little, for while I had been stag hunting I was so excited I didn't know how much work I was doing.	I was sure that Jone had passed the little lane without seeing it, so I kept on the way we had been going, and got up all the speed I could, though I must say I was dreadfully tired, and even trembling a little, for while I had been stag hunting I was so excited I didn't know how much work I was doing.	true	639.29	655.45	17
1401_146770_000031_000001	There was sign-posts enough to tell me the way to Chedcombe, and so I kept straight on, up hill and down hill, until at last I saw a man ahead on a bicycle, which I soon knew to be Mr. Poplington.	There was sign posts enough to tell me the way to Chedcombe, and so I kept straight on, up hill and down hill, until at last I saw a man ahead on a bicycle, which I soon knew to be mr Poplington.	false	655.49	666.7	18.054512
1401_146770_000031_000002	He was surprised enough at seeing me, and told me my husband had gone ahead.	He was surprised enough at seeing me, and told me my husband had gone ahead.	true	666.92	670.84	15
1401_146770_000031_000003	I didn't explain anything, and it wasn't until we got nearly to Chedcombe that we met Jone.	I didn't explain anything, and it wasn't until we got nearly to Chedcombe that we met Jone.	true	671.15	675.76	14
1401_146770_000031_000004	He had been to Chedcombe, and was coming back.	He had been to Chedcombe, and was coming back.	true	675.98	678.34	21.146748
1401_146770_000032_000000	Jone is a good fellow, but he's got a will of his own, and he said that this would be the end of my tricycle riding, and that the next time we went out together on wheels he'd drive.	Jone is a good fellow, but he's got a will of his own, and he said that this would be the end of my tricycle riding, and that the next time we went out together on wheels he'd drive.	false	678.86	687.52	15
1401_146770_000032_000001	I didn't tell him anything about the stag hunt then, for he seemed to be in favor of doing all the talking himself; but after dinner, when we was all settled down quiet and comfortable, I told him and Mr. Poplington the story of the chase, and they both laughed, Mr. Poplington the most.	I didn't tell him anything about the stag hunt then, for he seemed to be in favor of doing all the talking himself; but after dinner, when we was all settled down quiet and comfortable, I told him and mr Poplington the story of the chase, and they both laughed, mr Poplington the most.	false	687.68	715.14	19.779457
