4957_36386_000003_000000	CHAPTER XI.	CHAPTER eleven.
4957_36386_000011_000003	We had vainly trusted to the evidence on these two points to induce the court to reject the confessions: and we were destined to be once more disappointed in anticipating that the same evidence would influence the verdict of the jury on the side of mercy.	We had vainly trusted to the evidence on these two points to induce the court to reject the confessions: and we were destined to be once more disappointed in anticipating that the same evidence would influence the verdict of the jury on the side of mercy.
4957_36386_000011_000004	After an absence of an hour, they returned into court with a verdict of "Guilty" against both the prisoners.	After an absence of an hour, they returned into court with a verdict of "Guilty" against both the prisoners.
4957_36386_000012_000001	This statement was not noticed by the bench.	This statement was not noticed by the bench.
4957_36386_000012_000002	The prisoners were both sentenced to death.	The prisoners were both sentenced to death.
4957_36386_000013_000001	Miss Meadowcroft informed her of the result of the trial.	Miss Meadowcroft informed her of the result of the trial.
4957_36386_000013_000002	Half an hour later, one of the women-servants handed to me an envelope bearing my name on it in Naomi's handwriting.	Half an hour later, one of the women servants handed to me an envelope bearing my name on it in Naomi's handwriting.
4957_36386_000014_000000	The envelope inclosed a letter, and with it a slip of paper on which Naomi had hurriedly written these words: "For God's sake, read the letter I send to you, and do something about it immediately!"	The envelope inclosed a letter, and with it a slip of paper on which Naomi had hurriedly written these words: "For God's sake, read the letter I send to you, and do something about it immediately!"
4957_36386_000015_000000	I looked at the letter.	I looked at the letter.
4957_36386_000015_000001	It assumed to be written by a gentleman in New York.	It assumed to be written by a gentleman in New York.
4957_36386_000015_000002	Only the day before, he had, by the merest accident, seen the advertisement for John Jago cut out of a newspaper and pasted into a book of "curiosities" kept by a friend.	Only the day before, he had, by the merest accident, seen the advertisement for john Jago cut out of a newspaper and pasted into a book of "curiosities" kept by a friend.
4957_36386_000015_000005	To his surprise, he was informed that the clerk had not appeared at his desk that day.	To his surprise, he was informed that the clerk had not appeared at his desk that day.
4957_36386_000015_000006	His employer had sent to his lodgings, and had been informed that he had suddenly packed up his hand-bag after reading the newspaper at breakfast; had paid his rent honestly, and had gone away, nobody knew where!	His employer had sent to his lodgings, and had been informed that he had suddenly packed up his hand bag after reading the newspaper at breakfast; had paid his rent honestly, and had gone away, nobody knew where!
4957_36386_000016_000000	It was late in the evening when I read these lines.	It was late in the evening when I read these lines.
4957_36386_000016_000001	I had time for reflection before it would be necessary for me to act.	I had time for reflection before it would be necessary for me to act.
4957_36386_000018_000000	The newspaper at his breakfast had no doubt given him his first information of the "finding" of the grand jury, and of the trial to follow.	The newspaper at his breakfast had no doubt given him his first information of the "finding" of the grand jury, and of the trial to follow.
4957_36386_000018_000001	It was in my experience of human nature that he should venture back to Narrabee under these circumstances, and under the influence of his infatuation for Naomi.	It was in my experience of human nature that he should venture back to Narrabee under these circumstances, and under the influence of his infatuation for Naomi.
4957_36386_000018_000002	More than this, it was again in my experience, I am sorry to say, that he should attempt to make the critical position of Ambrose a means of extorting Naomi's consent to listen favorably to his suit.	More than this, it was again in my experience, I am sorry to say, that he should attempt to make the critical position of Ambrose a means of extorting Naomi's consent to listen favorably to his suit.
4957_36386_000018_000003	Cruel indifference to the injury and the suffering which his sudden absence might inflict on others was plainly implied in his secret withdrawal from the farm.	Cruel indifference to the injury and the suffering which his sudden absence might inflict on others was plainly implied in his secret withdrawal from the farm.
4957_36386_000018_000004	The same cruel indifference, pushed to a further extreme, might well lead him to press his proposals privately on Naomi, and to fix her acceptance of them as the price to be paid for saving her cousin's life.	The same cruel indifference, pushed to a further extreme, might well lead him to press his proposals privately on Naomi, and to fix her acceptance of them as the price to be paid for saving her cousin's life.
4957_36386_000019_000000	To these conclusions I arrived after much thinking.	To these conclusions I arrived after much thinking.
4957_36386_000019_000001	I had determined, on Naomi's account, to clear the matter up; but it is only candid to add that my doubts of John Jago's existence remained unshaken by the letter.	I had determined, on Naomi's account, to clear the matter up; but it is only candid to add that my doubts of john Jago's existence remained unshaken by the letter.
4957_36386_000019_000002	I believed it to be nothing more nor less than a heartless and stupid "hoax."	I believed it to be nothing more nor less than a heartless and stupid "hoax."
4957_36386_000020_000001	I counted the strokes--midnight!	I counted the strokes-midnight!
4957_36386_000021_000000	I rose to go up to my room.	I rose to go up to my room.
4957_36386_000021_000001	Everybody else in the farm had retired to bed, as usual, more than an hour since.	Everybody else in the farm had retired to bed, as usual, more than an hour since.
4957_36386_000021_000002	The stillness in the house was breathless.	The stillness in the house was breathless.
4957_36386_000021_000003	I walked softly, by instinct, as I crossed the room to look out at the night.	I walked softly, by instinct, as I crossed the room to look out at the night.
4957_36386_000021_000004	A lovely moonlight met my view; it was like the moonlight on the fatal evening when Naomi had met John Jago on the garden walk.	A lovely moonlight met my view; it was like the moonlight on the fatal evening when Naomi had met john Jago on the garden walk.
4957_36386_000022_000000	My bedroom candle was on the side-table; I had just lighted it.	My bedroom candle was on the side table; I had just lighted it.
4957_36386_000022_000001	I was just leaving the room, when the door suddenly opened, and Naomi herself stood before me!	I was just leaving the room, when the door suddenly opened, and Naomi herself stood before me!
4957_36386_000023_000000	Recovering the first shook of her sudden appearance, I saw instantly in her eager eyes, in her deadly-pale cheeks, that something serious had happened.	Recovering the first shook of her sudden appearance, I saw instantly in her eager eyes, in her deadly pale cheeks, that something serious had happened.
4957_36386_000023_000001	A large cloak was thrown over her; a white handkerchief was tied over her head.	A large cloak was thrown over her; a white handkerchief was tied over her head.
4957_36386_000023_000002	Her hair was in disorder; she had evidently just risen in fear and in haste from her bed.	Her hair was in disorder; she had evidently just risen in fear and in haste from her bed.
4957_36386_000024_000000	"What is it?" I asked, advancing to meet her.	"What is it?" I asked, advancing to meet her.
4957_36386_000026_000000	"John Jago!" she whispered.	"john Jago!" she whispered.
4957_36386_000027_000000	You will think my obstinacy invincible.	You will think my obstinacy invincible.
4957_36386_000027_000001	I could hardly believe it, even then!	I could hardly believe it, even then!
4957_36386_000028_000000	"Where?" I asked.	"Where?" I asked.
4957_36386_000029_000000	"In the back-yard," she replied, "under my bedroom window!"	"In the back yard," she replied, "under my bedroom window!"
4957_36386_000030_000000	The emergency was far too serious to allow of any consideration for the small proprieties of every-day life.	The emergency was far too serious to allow of any consideration for the small proprieties of every day life.
4957_36386_000031_000000	"Let me see him!" I said.	"Let me see him!" I said.
4957_36386_000032_000000	"I am here to fetch you," she answered, in her frank and fearless way. "Come upstairs with me."	"I am here to fetch you," she answered, in her frank and fearless way. "Come upstairs with me."
4957_36386_000033_000000	Her room was on the first floor of the house, and was the only bedroom which looked out on the back-yard.	Her room was on the first floor of the house, and was the only bedroom which looked out on the back yard.
4957_36386_000033_000001	On our way up the stairs she told me what had happened.	On our way up the stairs she told me what had happened.
4957_36386_000034_000000	"I was in bed," she said, "but not asleep, when I heard a pebble strike against the window-pane.	"I was in bed," she said, "but not asleep, when I heard a pebble strike against the window pane.
4957_36386_000034_000001	I waited, wondering what it meant.	I waited, wondering what it meant.
4957_36386_000034_000002	Another pebble was thrown against the glass.	Another pebble was thrown against the glass.
4957_36386_000034_000003	So far, I was surprised, but not frightened.	So far, I was surprised, but not frightened.
4957_36386_000034_000004	I got up, and ran to the window to look out.	I got up, and ran to the window to look out.
4957_36386_000034_000005	There was John Jago looking up at me in the moonlight!"	There was john Jago looking up at me in the moonlight!"
4957_36386_000035_000000	"Did he see you?"	"Did he see you?"
4957_36386_000036_000000	"Yes.	"Yes.
4957_36386_000036_000001	He said, 'Come down and speak to me!	He said, 'Come down and speak to me!
4957_36386_000037_000000	"Did you answer him?"	"Did you answer him?"
4957_36386_000038_000001	What shall I do?"	What shall I do?"
4957_36386_000040_000000	We entered her room.	We entered her room.
4957_36386_000040_000001	Keeping cautiously behind the window-curtain, I looked out.	Keeping cautiously behind the window curtain, I looked out.
4957_36386_000041_000000	There he was!	There he was!
4957_36386_000041_000001	His beard and mustache were shaved off; his hair was close cut.	His beard and mustache were shaved off; his hair was close cut.
4957_36386_000042_000000	"What shall I do?" Naomi repeated.	"What shall I do?" Naomi repeated.
4957_36386_000045_000000	"Very good.	"Very good.
4957_36386_000045_000001	Show yourself at the window, and say to him, 'I am coming directly.'"	Show yourself at the window, and say to him, 'I am coming directly.'"
4957_36386_000046_000000	The brave girl obeyed me without a moment's hesitation.	The brave girl obeyed me without a moment's hesitation.
4957_36386_000047_000000	There had been no doubt about his eyes and his gait; there was no doubt now about his voice, as he answered softly from below--"All right!"	There had been no doubt about his eyes and his gait; there was no doubt now about his voice, as he answered softly from below-"All right!"
4957_36386_000049_000000	We left the house together, and separated silently.	We left the house together, and separated silently.
4957_36386_000049_000001	Naomi followed my instructions with a woman's quick intelligence where stratagems are concerned.	Naomi followed my instructions with a woman's quick intelligence where stratagems are concerned.
4957_36386_000049_000002	I had hardly been a minute in the tool-house before I heard him speaking to Naomi on the other side of the door.	I had hardly been a minute in the tool house before I heard him speaking to Naomi on the other side of the door.
4957_36386_000050_000000	The first words which I caught distinctly related to his motive for secretly leaving the farm.	The first words which I caught distinctly related to his motive for secretly leaving the farm.
4957_36386_000050_000001	Mortified pride--doubly mortified by Naomi's contemptuous refusal and by the personal indignity offered to him by Ambrose--was at the bottom of his conduct in absenting himself from Morwick.	Mortified pride-doubly mortified by Naomi's contemptuous refusal and by the personal indignity offered to him by Ambrose-was at the bottom of his conduct in absenting himself from Morwick.
4957_36386_000050_000002	He owned that he had seen the advertisement, and that it had actually encouraged him to keep in hiding!	He owned that he had seen the advertisement, and that it had actually encouraged him to keep in hiding!
4957_36386_000051_000001	It rests with you, Miss Naomi, to keep me here, and to persuade me to save Ambrose by showing myself and owning to my name."	It rests with you, Miss Naomi, to keep me here, and to persuade me to save Ambrose by showing myself and owning to my name."
4957_36386_000053_000000	He lowered his voice; but I could still hear him.	He lowered his voice; but I could still hear him.
4957_36386_000054_000000	"Promise you will marry me," he said, "and I will go before the magistrate to-morrow, and show him that I am a living man."	"Promise you will marry me," he said, "and I will go before the magistrate to morrow, and show him that I am a living man."
4957_36386_000055_000000	"Suppose I refuse?"	"Suppose I refuse?"
4957_36386_000056_000000	"In that case you will lose me again, and none of you will find me till Ambrose is hanged."	"In that case you will lose me again, and none of you will find me till Ambrose is hanged."
4957_36386_000058_000000	"If you attempt to give the alarm," he answered, "as true as God's above us, you will feel my hand on your throat!	"If you attempt to give the alarm," he answered, "as true as God's above us, you will feel my hand on your throat!
4957_36386_000058_000001	It's my turn now, miss; and I am not to be trifled with.	It's my turn now, miss; and I am not to be trifled with.
4957_36386_000058_000002	Will you have me for your husband--yes or no?"	Will you have me for your husband-yes or no?"
4957_36386_000059_000000	"No!" she answered, loudly and firmly.	"No!" she answered, loudly and firmly.
4957_36386_000060_000000	I burst open the door, and seized him as he lifted his hand on her.	I burst open the door, and seized him as he lifted his hand on her.
4957_36386_000060_000003	She struck up his pistol as he pulled it out of his pocket with his free hand and presented it at my head.	She struck up his pistol as he pulled it out of his pocket with his free hand and presented it at my head.
4957_36386_000060_000004	The bullet was fired into the air.	The bullet was fired into the air.
4957_36386_000060_000005	I tripped up his heels at the same moment.	I tripped up his heels at the same moment.
4957_36386_000060_000006	The report of the pistol had alarmed the house.	The report of the pistol had alarmed the house.
