534_127538_000000_000000	32	thirty two
534_127538_000017_000000	"Darby M'Graw," it wailed--for that is the word that best describes the sound--"Darby M'Graw!	"Darby M'Graw," it wailed-for that is the word that best describes the sound-"Darby M'Graw!
534_127538_000019_000000	"That fixes it!" gasped one.	"That fixes it!" gasped one.
534_127538_000019_000001	"Let's go."	"Let's go."
534_127538_000022_000000	Still Silver was unconquered.	Still Silver was unconquered.
534_127538_000022_000001	I could hear his teeth rattle in his head, but he had not yet surrendered.	I could hear his teeth rattle in his head, but he had not yet surrendered.
534_127538_000025_000001	"Don't you cross a sperrit."	"Don't you cross a sperrit."
534_127538_000026_000000	And the rest were all too terrified to reply.	And the rest were all too terrified to reply.
534_127538_000026_000001	They would have run away severally had they dared; but fear kept them together, and kept them close by John, as if his daring helped them.	They would have run away severally had they dared; but fear kept them together, and kept them close by john, as if his daring helped them.
534_127538_000026_000002	He, on his part, had pretty well fought his weakness down.	He, on his part, had pretty well fought his weakness down.
534_127538_000027_000000	"Sperrit?	"Sperrit?
534_127538_000027_000002	"But there's one thing not clear to me. There was an echo.	"But there's one thing not clear to me. There was an echo.
534_127538_000027_000004	That ain't in natur', surely?"	That ain't in natur', surely?"
534_127538_000028_000001	But you can never tell what will affect the superstitious, and to my wonder, George Merry was greatly relieved.	But you can never tell what will affect the superstitious, and to my wonder, George Merry was greatly relieved.
534_127538_000029_000000	"Well, that's so," he said.	"Well, that's so," he said.
534_127538_000029_000002	'Bout ship, mates!	'bout ship, mates!
534_127538_000031_000001	"Ben Gunn it were!"	"Ben Gunn it were!"
534_127538_000032_000000	"It don't make much odds, do it, now?" asked Dick.	"It don't make much odds, do it, now?" asked Dick.
534_127538_000032_000001	"Ben Gunn's not here in the body any more'n Flint."	"Ben Gunn's not here in the body any more'n Flint."
534_127538_000035_000001	Soon they were chatting together, with intervals of listening; and not long after, hearing no further sound, they shouldered the tools and set forth again, Merry walking first with Silver's compass to keep them on the right line with Skeleton Island.	Soon they were chatting together, with intervals of listening; and not long after, hearing no further sound, they shouldered the tools and set forth again, Merry walking first with Silver's compass to keep them on the right line with Skeleton Island.
534_127538_000035_000002	He had said the truth: dead or alive, nobody minded Ben Gunn.	He had said the truth: dead or alive, nobody minded Ben Gunn.
534_127538_000036_000000	Dick alone still held his Bible, and looked around him as he went, with fearful glances; but he found no sympathy, and Silver even joked him on his precautions.	Dick alone still held his Bible, and looked around him as he went, with fearful glances; but he found no sympathy, and Silver even joked him on his precautions.
534_127538_000037_000002	Not that!" and he snapped his big fingers, halting a moment on his crutch.	Not that!" and he snapped his big fingers, halting a moment on his crutch.
534_127538_000038_000000	But Dick was not to be comforted; indeed, it was soon plain to me that the lad was falling sick; hastened by heat, exhaustion, and the shock of his alarm, the fever, predicted by Dr. Livesey, was evidently growing swiftly higher.	But Dick was not to be comforted; indeed, it was soon plain to me that the lad was falling sick; hastened by heat, exhaustion, and the shock of his alarm, the fever, predicted by dr Livesey, was evidently growing swiftly higher.
534_127538_000040_000000	The first of the tall trees was reached, and by the bearings proved the wrong one.	The first of the tall trees was reached, and by the bearings proved the wrong one.
534_127538_000040_000001	So with the second.	So with the second.
534_127538_000040_000003	It was conspicuous far to sea both on the east and west and might have been entered as a sailing mark upon the chart.	It was conspicuous far to sea both on the east and west and might have been entered as a sailing mark upon the chart.
534_127538_000042_000000	Silver hobbled, grunting, on his crutch; his nostrils stood out and quivered; he cursed like a madman when the flies settled on his hot and shiny countenance; he plucked furiously at the line that held me to him and from time to time turned his eyes upon me with a deadly look. Certainly he took no pains to hide his thoughts, and certainly I read them like print.	Silver hobbled, grunting, on his crutch; his nostrils stood out and quivered; he cursed like a madman when the flies settled on his hot and shiny countenance; he plucked furiously at the line that held me to him and from time to time turned his eyes upon me with a deadly look. Certainly he took no pains to hide his thoughts, and certainly I read them like print.
534_127538_000045_000000	"Huzza, mates, all together!" shouted Merry; and the foremost broke into a run.	"Huzza, mates, all together!" shouted Merry; and the foremost broke into a run.
534_127538_000046_000000	And suddenly, not ten yards further, we beheld them stop.	And suddenly, not ten yards further, we beheld them stop.
534_127538_000046_000001	A low cry arose.	A low cry arose.
534_127538_000046_000002	Silver doubled his pace, digging away with the foot of his crutch like one possessed; and next moment he and I had come also to a dead halt.	Silver doubled his pace, digging away with the foot of his crutch like one possessed; and next moment he and I had come also to a dead halt.
534_127538_000047_000000	Before us was a great excavation, not very recent, for the sides had fallen in and grass had sprouted on the bottom.	Before us was a great excavation, not very recent, for the sides had fallen in and grass had sprouted on the bottom.
534_127538_000047_000001	In this were the shaft of a pick broken in two and the boards of several packing-cases strewn around.	In this were the shaft of a pick broken in two and the boards of several packing cases strewn around.
534_127538_000047_000002	On one of these boards I saw, branded with a hot iron, the name WALRUS--the name of Flint's ship.	On one of these boards I saw, branded with a hot iron, the name WALRUS-the name of Flint's ship.
534_127538_000048_000000	All was clear to probation.	All was clear to probation.
