3119_163519_000000_000000	THE BEST WISH	THE BEST WISH	false	22.005	29.59	21.494501
3119_163519_000017_000000	'I don't care a farthing for such a pack of rubbish', said the wife; 'if they don't like what they get they may lump it, and eat what they brought with them.	'I don't care a farthing for such a pack of rubbish', said the wife; 'if they don't like what they get they may lump it, and eat what they brought with them.	true	338	346.3	20
3119_163519_000017_000001	But just do come here, and see what you shall see! Such a handsome fellow as walks here, out in the yard, I never saw in all my born days.	But just do come here, and see what you shall see! Such a handsome fellow as walks here, out in the yard, I never saw in all my born days.	true	346.55	356.26	17
3119_163519_000017_000002	Shan't we ask him in and treat him a little; he looks as if he needed it, poor chap?' and then she went on:	Shan't we ask him in and treat him a little; he looks as if he needed it, poor chap?' and then she went on:	true	356.33	362.95	19
3119_163519_000018_000000	'Such a love! such a love!'	'Such a love! such a love!'	true	363.41	367.63	19.5417
3119_163519_000019_000000	'You never had much wit, and the little you had is clean gone, I can see', said the man, who was much more angry than the first innkeeper, and chased his wife back, neck and crop, into the kitchen.	'You never had much wit, and the little you had is clean gone, I can see', said the man, who was much more angry than the first innkeeper, and chased his wife back, neck and crop, into the kitchen.	false	368.15	379.63	20
3119_163519_000020_000000	'Into the kitchen with you, and don't stand glowering after lads', he said.	'Into the kitchen with you, and don't stand glowering after lads', he said.	true	380.03	384.73	23.467077
3119_163519_000021_000000	So she had to go in and mind her fish-kettle, and she dared not treat Boots, for she was afraid of her old man; but as she stood there making up the fire, she made an excuse for running out into the yard, and then and there she gave Boots a table-cloth, which was such that it covered itself with the best dishes you could think of, as soon as it was spread out.	So she had to go in and mind her fish kettle, and she dared not treat Boots, for she was afraid of her old man; but as she stood there making up the fire, she made an excuse for running out into the yard, and then and there she gave Boots a table cloth, which was such that it covered itself with the best dishes you could think of, as soon as it was spread out.	true	385.91	411.97	21.943901
3119_163519_000022_000000	'This you shall have', she said, 'because you're so handsome.'	'This you shall have', she said, 'because you're so handsome.'	false	412.4	417.37	14
3119_163519_000023_000000	So when the two brothers had eaten and drank of all that was in the house, and had paid the bill in hard cash, they set off again, and Boots stood up behind their carriage.	So when the two brothers had eaten and drank of all that was in the house, and had paid the bill in hard cash, they set off again, and Boots stood up behind their carriage.	true	418.46	429.28	17
3119_163519_000023_000001	But when they had gone so far that they grew hungry again, they turned into a third inn, and called for the best and dearest they could think of.	But when they had gone so far that they grew hungry again, they turned into a third inn, and called for the best and dearest they could think of.	true	429.89	439.15	19.88813
3119_163519_000024_000000	'For', said they, 'we are two kings on our travels, and as for our money, it grows like grass.'	'For', said they, 'we are two kings on our travels, and as for our money, it grows like grass.'	false	439.7	447.73	19
3119_163519_000025_000000	Well, when the innkeeper heard that, there was such a roasting, and baking, and boiling; why! you might smell the dinner at the next neighbour's house, though it wasn't so very near; and the innkeeper was at his wits' end to find all he wished to put before the two kings.	Well, when the innkeeper heard that, there was such a roasting, and baking, and boiling; why! you might smell the dinner at the next neighbour's house, though it wasn't so very near; and the innkeeper was at his wits' end to find all he wished to put before the two kings.	true	448.34	466.63	18
3119_163519_000025_000001	But Boots, he had to stand outside here too, and look after the things in the carriage.	But Boots, he had to stand outside here too, and look after the things in the carriage.	true	467.12	473.35	23.871164
3119_163519_000026_000000	So it was the same story over again.	So it was the same story over again.	true	474.47	477.43	15
3119_163519_000026_000001	The innkeeper's wife came to the window and peeped out, and there she saw the servant standing by the carriage.	The innkeeper's wife came to the window and peeped out, and there she saw the servant standing by the carriage.	true	477.56	484.17	12
3119_163519_000026_000002	Such a handsome chap she had never set eyes on before; so she looked and looked, and the more she stared the handsomer he seemed to the innkeeper's wife.	Such a handsome chap she had never set eyes on before; so she looked and looked, and the more she stared the handsomer he seemed to the innkeeper's wife.	true	484.17	493.69	15
3119_163519_000026_000003	Then out came the innkeeper, scampering through the room, with some dainty which the travelling kings had ordered, and he wasn't very soft-tongued when he saw his old dame standing and glowering out of the window.	Then out came the innkeeper, scampering through the room, with some dainty which the travelling kings had ordered, and he wasn't very soft tongued when he saw his old dame standing and glowering out of the window.	true	494.3	506.62	14
3119_163519_000027_000000	'Don't you know better than to stand gaping and staring there, when we have such great folk in the house', he said; 'back into the kitchen with you this minute, to your custards.'	'Don't you know better than to stand gaping and staring there, when we have such great folk in the house', he said; 'back into the kitchen with you this minute, to your custards.'	true	506.99	517	19
3119_163519_000028_000000	'Well! well!' she said, 'as for them, I don't care a pin.	'Well! well!' she said, 'as for them, I don't care a pin.	true	517.34	521.38	20
3119_163519_000028_000001	If they can't wait till the custards are baked, they may go without--that's all.	If they can't wait till the custards are baked, they may go without-that's all.	true	521.75	526.69	25.3476
3119_163519_000028_000002	But do, pray, come here, and you'll see such a lovely lad standing out here in the yard.	But do, pray, come here, and you'll see such a lovely lad standing out here in the yard.	true	526.85	532.93	14
3119_163519_000028_000003	Why I never saw such a pretty fellow in my life.	Why I never saw such a pretty fellow in my life.	true	533	536.26	17.767014
3119_163519_000028_000004	Shan't we ask him in now, and treat him a little, for he looks as if it would do him good.	Shan't we ask him in now, and treat him a little, for he looks as if it would do him good.	true	536.42	541.9	15
3119_163519_000028_000005	Oh! what a darling!	Oh! what a darling!	true	542	543.69	20.05965
3119_163519_000028_000006	What a darling!'	What a darling!'	true	543.69	545.22	22.538656
3119_163519_000029_000000	'A wanton gadabout you've been all your days, and so you are still', said her husband, who was in such a rage he scarce knew which leg to stand on; 'but if you don't be off to your custards this minute, I'll soon find out how to make you stir your stumps; see if I don't.'	'A wanton gadabout you've been all your days, and so you are still', said her husband, who was in such a rage he scarce knew which leg to stand on; 'but if you don't be off to your custards this minute, I'll soon find out how to make you stir your stumps; see if I don't.'	false	545.22	563.32	19
3119_163519_000030_000000	So the wife had off to her custards as fast as she could, for she knew that her husband would stand no nonsense; but as she stood there over the fire she stole out into the yard, and gave Boots a tap.	So the wife had off to her custards as fast as she could, for she knew that her husband would stand no nonsense; but as she stood there over the fire she stole out into the yard, and gave Boots a tap.	true	564.05	579.37	22
3119_163519_000031_000000	'If you only turn this tap', she said; 'you'll get the finest drink of whatever kind you choose, both mead, and wine, and brandy; and this you shall have because you are so handsome.'	'If you only turn this tap', she said; 'you'll get the finest drink of whatever kind you choose, both mead, and wine, and brandy; and this you shall have because you are so handsome.'	true	580.28	596.38	21.651098
3119_163519_000032_000000	So when the two brothers had eaten and drunk all they could, they started from the inn, and Boots stood up behind again as their servant, and thus they drove far and wide, till they came to a king's palace.	So when the two brothers had eaten and drunk all they could, they started from the inn, and Boots stood up behind again as their servant, and thus they drove far and wide, till they came to a king's palace.	true	598.34	612.7	19
3119_163519_000032_000001	There the two elder gave themselves out for two emperor's sons, and as they had plenty of money, and were so fine that their clothes shone again ever so far off, they were well treated.	There the two elder gave themselves out for two emperor's sons, and as they had plenty of money, and were so fine that their clothes shone again ever so far off, they were well treated.	true	613.64	627.58	19
3119_163519_000032_000002	They had rooms in the palace, and the king couldn't tell how to make enough of them.	They had rooms in the palace, and the king couldn't tell how to make enough of them.	true	628.04	632.92	19
3119_163519_000032_000003	But Boots, who went about in the same rags he stood in when he left home, and who had never a penny in his pocket, he was taken up by the king's guard, and put across to an island, whither they used to row over all the beggars and rogues that came to the palace.	But Boots, who went about in the same rags he stood in when he left home, and who had never a penny in his pocket, he was taken up by the king's guard, and put across to an island, whither they used to row over all the beggars and rogues that came to the palace.	false	633.26	652.18	22
3119_163519_000032_000004	This the king had ordered, because he wouldn't have the mirth at the palace spoilt by those dirty blackguards; and thither, too, only just as much food as would keep body and soul together was sent over everyday.	This the king had ordered, because he wouldn't have the mirth at the palace spoilt by those dirty blackguards; and thither, too, only just as much food as would keep body and soul together was sent over everyday.	true	652.82	667.81	23.319519
3119_163519_000032_000005	Now Boots' brothers saw very well that the guard was rowing him over to the island, but they were glad to be rid of him, and didn't pay the least heed to him.	Now Boots' brothers saw very well that the guard was rowing him over to the island, but they were glad to be rid of him, and didn't pay the least heed to him.	true	668.63	680.98	20
3119_163519_000033_000000	But when Boots got over there, he just pulled out his scissors and began to snip and cut in the air; so the scissors cut out the finest clothes any one would wish to see; silk and satin both, and all the beggars on the island were soon dressed far finer than the king and all his guests in the palace.	But when Boots got over there, he just pulled out his scissors and began to snip and cut in the air; so the scissors cut out the finest clothes any one would wish to see; silk and satin both, and all the beggars on the island were soon dressed far finer than the king and all his guests in the palace.	true	682.28	704.92	20
3119_163519_000033_000001	After that, Boots pulled out his table- cloth, and spread it out, and so they got food too, the poor beggars. Such a feast had never been seen at the king's palace, as was served that day at the Beggars' Isle.	After that, Boots pulled out his table cloth, and spread it out, and so they got food too, the poor beggars. Such a feast had never been seen at the king's palace, as was served that day at the Beggars' Isle.	true	705.74	721.84	22.769556
3119_163519_000034_000000	'Thirsty, too, I'll be bound you all are', said Boots, and out with his tap, gave it a turn, and so the beggars got all a drop to drink; and such ale and mead the king himself had never tasted in all his life.	'Thirsty, too, I'll be bound you all are', said Boots, and out with his tap, gave it a turn, and so the beggars got all a drop to drink; and such ale and mead the king himself had never tasted in all his life.	true	722.87	740.02	19.051926
3119_163519_000035_000000	So, next morning, when those who were to bring the beggars their food on the island, came rowing over with the scrapings of the porridge- pots and cheese-parings--that was what the poor wretches had--the beggars wouldn't so much as taste them, and the king's men fell to wondering what it could mean; but they wondered much more when they got a good look at the beggars, for they were so fine the guard thought they must be Emperors or Popes at least, and that they must have rowed to a wrong island; but when they looked better about them, they saw they were come to the old place.	So, next morning, when those who were to bring the beggars their food on the island, came rowing over with the scrapings of the porridge pots and cheese parings-that was what the poor wretches had-the beggars wouldn't so much as taste them, and the king's men fell to wondering what it could mean; but they wondered much more when they got a good look at the beggars, for they were so fine the guard thought they must be Emperors or Popes at least, and that they must have rowed to a wrong island; but when they looked better about them, they saw they were come to the old place.	false	741.23	779.14	22
3119_163519_000036_000000	Then they soon found out it must be he whom they had rowed out the day before who had brought the beggars on the island all this state and bravery; and as soon as they got back to the palace, they were not slow to tell how the man, whom they had rowed over the day before, had dressed out all the beggars so fine and grand that precious things fell from their clothes.	Then they soon found out it must be he whom they had rowed out the day before who had brought the beggars on the island all this state and bravery; and as soon as they got back to the palace, they were not slow to tell how the man, whom they had rowed over the day before, had dressed out all the beggars so fine and grand that precious things fell from their clothes.	true	779.78	804.97	18
3119_163519_000037_000000	'And as for the porridge and cheese we took, they wouldn't even taste them, so proud have they got', they said.	'And as for the porridge and cheese we took, they wouldn't even taste them, so proud have they got', they said.	true	805.64	813.58	21.226858
3119_163519_000038_000000	One of them, too, had smelt out that the lad had a pair of scissors which he cut out the clothes with.	One of them, too, had smelt out that the lad had a pair of scissors which he cut out the clothes with.	true	814.76	822.25	21.298985
3119_163519_000039_000000	'When he only snips with those scissors up in the air he snips and cuts out nothing but silk and satin', said he.	'When he only snips with those scissors up in the air he snips and cuts out nothing but silk and satin', said he.	true	822.8	831.82	21
3119_163519_000040_000000	So, when the Princess heard that, she had neither peace nor rest till she saw the lad and his scissors that cut out silk and satin from the air; such a pair was worth having, she thought, for with its help she would soon get all the finery she wished for.	So, when the Princess heard that, she had neither peace nor rest till she saw the lad and his scissors that cut out silk and satin from the air; such a pair was worth having, she thought, for with its help she would soon get all the finery she wished for.	true	832.43	851.62	20
3119_163519_000040_000001	Well, she begged the king so long and hard, he was forced to send a messenger for the lad who owned the scissors; and when he came to the palace, the Princess asked him if it were true that he had such and such a pair of scissors, and if he would sell it to her.	Well, she begged the king so long and hard, he was forced to send a messenger for the lad who owned the scissors; and when he came to the palace, the Princess asked him if it were true that he had such and such a pair of scissors, and if he would sell it to her.	true	852.32	868.9	20
3119_163519_000040_000002	Yes, it was all true he had such a pair, said Boots, but sell it he wouldn't; and with that he took the scissors out of his pocket, and snipped and snipped with them in the air till strips of silk and satin flew all about him.	Yes, it was all true he had such a pair, said Boots, but sell it he wouldn't; and with that he took the scissors out of his pocket, and snipped and snipped with them in the air till strips of silk and satin flew all about him.	true	869.21	883.8	23
3119_163519_000041_000000	'Nay, but you must sell me these scissors', said the Princess. 'You may ask what you please for them, but have them I must.'	'Nay, but you must sell me these scissors', said the Princess. 'You may ask what you please for them, but have them I must.'	false	883.8	891.61	17
3119_163519_000042_000000	No! Such a pair of scissors he wouldn't sell at any price, for he could never get such a pair again; and while they stood and haggled for the scissors, the Princess had time to look better at Boots, and she too thought with the innkeepers' wives that she had never seen such a handsome fellow before.	No! Such a pair of scissors he wouldn't sell at any price, for he could never get such a pair again; and while they stood and haggled for the scissors, the Princess had time to look better at Boots, and she too thought with the innkeepers' wives that she had never seen such a handsome fellow before.	false	891.98	915.34	21.5581
3119_163519_000042_000001	So she began to bargain for the scissors over again, and begged and prayed Boots to let her have them; he might ask many, many hundred dollars for them, 'twas all the same to her, so she got them.	So she began to bargain for the scissors over again, and begged and prayed Boots to let her have them; he might ask many, many hundred dollars for them, 'twas all the same to her, so she got them.	false	915.98	931.24	21
3119_163519_000043_000000	'No! sell them I won't', said Boots; 'but all the same, if I can get leave to sleep one night on the floor of the Princess' bedroom, close by the door, I'll give her the scissors.	'No! sell them I won't', said Boots; 'but all the same, if I can get leave to sleep one night on the floor of the Princess' bedroom, close by the door, I'll give her the scissors.	true	932.06	945.88	22.319845
3119_163519_000043_000001	I'll do her no harm, but if she's afraid, she may have two men to watch inside the room.'	I'll do her no harm, but if she's afraid, she may have two men to watch inside the room.'	true	946.1	953.26	19.42582
3119_163519_000044_000000	Yes! the Princess was glad enough to give him leave, for she was ready to grant him anything if she only got the scissors.	Yes! the Princess was glad enough to give him leave, for she was ready to grant him anything if she only got the scissors.	true	954.05	962.38	20
3119_163519_000044_000001	So Boots lay on the floor inside the Princess' bedroom that night, and two men stood watch there too; but the Princess didn't get much rest after all; for when she ought to have been asleep, she must open her eyes to look at Boots, and so it went on the whole night.	So Boots lay on the floor inside the Princess' bedroom that night, and two men stood watch there too; but the Princess didn't get much rest after all; for when she ought to have been asleep, she must open her eyes to look at Boots, and so it went on the whole night.	true	963.05	982.215	21
3119_163519_000044_000002	If she shut her eyes for a minute, she peeped out at him again the next, such a handsome fellow he seemed to her to be.	If she shut her eyes for a minute, she peeped out at him again the next, such a handsome fellow he seemed to her to be.	true	982.215	990.55	18
3119_163519_000045_000000	Next morning Boots was rowed over to the Beggars' isle again; but when they came with the porridge scrapings and cheese parings from the palace, there was no one who would taste them that day either, and so those who brought the food were more astonished than ever.	Next morning Boots was rowed over to the Beggars' isle again; but when they came with the porridge scrapings and cheese parings from the palace, there was no one who would taste them that day either, and so those who brought the food were more astonished than ever.	true	992.3	1007.95	17
3119_163519_000045_000001	But one of those who brought the food contrived to smell out that the lad who had owned the scissors owned also a table-cloth, which he only needed to spread out, and it was covered with all the good things he could wish for.	But one of those who brought the food contrived to smell out that the lad who had owned the scissors owned also a table cloth, which he only needed to spread out, and it was covered with all the good things he could wish for.	true	1008.71	1025.68	22
3119_163519_000045_000002	So when he got back to the palace, he wasn't long before he said:	So when he got back to the palace, he wasn't long before he said:	true	1026.2	1030.93	20
3119_163519_000046_000000	'Such hot joints and such custards I never saw the like of in the king's palace.'	'Such hot joints and such custards I never saw the like of in the king's palace.'	true	1030.94	1036.63	21
3119_163519_000047_000000	And when the Princess heard that, she told it to the king, and begged and prayed so long, that he was forced to send a messenger out to the island to fetch the lad who owned the table-cloth; and so Boots came back to the palace.	And when the Princess heard that, she told it to the king, and begged and prayed so long, that he was forced to send a messenger out to the island to fetch the lad who owned the table cloth; and so Boots came back to the palace.	false	1037.84	1054.35	21.83624
3119_163519_000047_000001	The Princess must and would have the cloth of him, and offered him gold and green woods for it, but Boots wouldn't sell it at any price.	The Princess must and would have the cloth of him, and offered him gold and green woods for it, but Boots wouldn't sell it at any price.	true	1054.35	1064.11	22
3119_163519_000048_000000	'But if I may have leave to lie on the bench by the Princess' bed- side to-night, she shall have the cloth; but if she's afraid, she is welcome to set four men to watch inside the room.'	'But if I may have leave to lie on the bench by the Princess' bed side to night, she shall have the cloth; but if she's afraid, she is welcome to set four men to watch inside the room.'	true	1064.72	1081.6	21.54052
3119_163519_000049_000000	Yes! the Princess agreed to this, so Boots lay down on the bench by the bed-side, and the four men watched; but if the Princess hadn't much sleep the night before, she had much less this, for she could scarce get a wink of sleep; there she lay wide awake looking at the lovely lad the whole night through, and after all, the night seemed too short.	Yes! the Princess agreed to this, so Boots lay down on the bench by the bed side, and the four men watched; but if the Princess hadn't much sleep the night before, she had much less this, for she could scarce get a wink of sleep; there she lay wide awake looking at the lovely lad the whole night through, and after all, the night seemed too short.	true	1081.73	1110.88	20.51672
3119_163519_000050_000000	Next morning Boots was rowed off again to the Beggars' island, though sorely against the Princess' will, so happy was she to be near him; but it was past praying for; to the island he must go, and there was an end of it.	Next morning Boots was rowed off again to the Beggars' island, though sorely against the Princess' will, so happy was she to be near him; but it was past praying for; to the island he must go, and there was an end of it.	false	1112.72	1127.11	20
3119_163519_000050_000001	But when those who brought the food to the beggars came with the porridge scrapings and cheese parings, there wasn't one of them who would even look at what the king sent, and those who brought it didn't wonder either; though they all thought it strange that none of them were thirsty.	But when those who brought the food to the beggars came with the porridge scrapings and cheese parings, there wasn't one of them who would even look at what the king sent, and those who brought it didn't wonder either; though they all thought it strange that none of them were thirsty.	true	1127.93	1145.08	17
3119_163519_000050_000002	But just then, one of the king's guard smelled out that the lad who had owned the scissors and the table-cloth had a tap besides, which, if one only turned it a little, gave out the rarest drink, both ale, and mead, and wine.	But just then, one of the king's guard smelled out that the lad who had owned the scissors and the table cloth had a tap besides, which, if one only turned it a little, gave out the rarest drink, both ale, and mead, and wine.	false	1145.27	1162.9	18
3119_163519_000050_000003	So when he came back to the palace, he couldn't keep his mouth shut this time any more than before; he went about telling high and low about the tap, and how easy it was to draw all sorts of drink out of it.	So when he came back to the palace, he couldn't keep his mouth shut this time any more than before; he went about telling high and low about the tap, and how easy it was to draw all sorts of drink out of it.	true	1163.21	1176.82	20
3119_163519_000051_000000	'And as for that mead and ale, I've never tasted the like of them in the king's palace; honey and syrup are nothing to them for sweetness.'	'And as for that mead and ale, I've never tasted the like of them in the king's palace; honey and syrup are nothing to them for sweetness.'	true	1177.43	1187.05	19
3119_163519_000052_000000	So when the Princess heard that, she was all for getting the tap, and was nothing loath to strike a bargain with the owner either.	So when the Princess heard that, she was all for getting the tap, and was nothing loath to strike a bargain with the owner either.	true	1187.96	1198.96	22.066849
3119_163519_000052_000001	So she went again to the king, and begged him to send a messenger to the Beggars' Isle after the lad who had owned the scissors and cloth, for now he had another thing worth having, she said; and when the king heard it was a tap, that was good to give the best ale and wine any one could drink, when one gave it a turn, he wasn't long in sending the messenger, I should think.	So she went again to the king, and begged him to send a messenger to the Beggars' Isle after the lad who had owned the scissors and cloth, for now he had another thing worth having, she said; and when the king heard it was a tap, that was good to give the best ale and wine any one could drink, when one gave it a turn, he wasn't long in sending the messenger, I should think.	true	1199.36	1226.08	19
3119_163519_000053_000000	So when Boots came up to the palace, the Princess asked whether it were true he had a tap which could do such and such things?	So when Boots came up to the palace, the Princess asked whether it were true he had a tap which could do such and such things?	true	1228.58	1236.46	22
3119_163519_000053_000001	'Yes! he had such a tap in his waistcoat pocket', said Boots; but when the Princess wished with all her might to buy it, Boots said, as he had said twice before, he wouldn't sell it, even if the Princess bade half the kingdom for it.	'Yes! he had such a tap in his waistcoat pocket', said Boots; but when the Princess wished with all her might to buy it, Boots said, as he had said twice before, he wouldn't sell it, even if the Princess bade half the kingdom for it.	true	1236.92	1252.48	23.411165
3119_163519_000054_000000	'But all the same', said Boots; 'if I may have leave to sleep on the Princess' bed to-night, outside the quilt, she shall have my tap. I'll not do her any harm; but, if she's afraid, she may set eight men to watch in her room.'	'But all the same', said Boots; 'if I may have leave to sleep on the Princess' bed to night, outside the quilt, she shall have my tap. I'll not do her any harm; but, if she's afraid, she may set eight men to watch in her room.'	true	1253.3	1271.62	24.433422
3119_163519_000055_000000	'Oh, no!' said the Princess, 'there was no need of that, she knew him now so well'; and so Boots lay outside the Princess' bed that night. But if she hadn't slept much the two nights before, she had less sleep that night; for she couldn't shut her eyes the livelong night, but lay and looked at Boots, who lay alongside her outside the quilt.	'Oh, no!' said the Princess, 'there was no need of that, she knew him now so well'; and so Boots lay outside the Princess' bed that night. But if she hadn't slept much the two nights before, she had less sleep that night; for she couldn't shut her eyes the livelong night, but lay and looked at Boots, who lay alongside her outside the quilt.	false	1272.02	1297.63	20.743586
