7754_108640_000000_000000	I replied as best I could--as only a true lover can.	I replied as best I could-as only a true lover can.
7754_108640_000002_000000	About all this there was a nobility of soul--a dignity of candor--which delighted--which enchanted me--which eternally riveted my chains.	About all this there was a nobility of soul-a dignity of candor-which delighted-which enchanted me-which eternally riveted my chains.
7754_108640_000002_000001	I could scarcely restrain the excessive transport which possessed me.	I could scarcely restrain the excessive transport which possessed me.
7754_108640_000003_000001	Your years surpass in some measure my own.	Your years surpass in some measure my own.
7754_108640_000003_000002	But what then? The customs of the world are so many conventional follies.	But what then? The customs of the world are so many conventional follies.
7754_108640_000003_000003	To those who love as ourselves, in what respect differs a year from an hour?	To those who love as ourselves, in what respect differs a year from an hour?
7754_108640_000003_000004	I am twenty-two, you say, granted: indeed, you may as well call me, at once, twenty-three.	I am twenty two, you say, granted: indeed, you may as well call me, at once, twenty three.
7754_108640_000004_000000	Here I paused for an instant, in the expectation that Madame Lalande would interrupt me by supplying her true age.	Here I paused for an instant, in the expectation that Madame Lalande would interrupt me by supplying her true age.
7754_108640_000004_000002	In the present instance, Eugenie, who for a few moments past had seemed to be searching for something in her bosom, at length let fall upon the grass a miniature, which I immediately picked up and presented to her.	In the present instance, Eugenie, who for a few moments past had seemed to be searching for something in her bosom, at length let fall upon the grass a miniature, which I immediately picked up and presented to her.
7754_108640_000005_000000	"Keep it!" she said, with one of her most ravishing smiles.	"Keep it!" she said, with one of her most ravishing smiles.
7754_108640_000005_000001	"Keep it for my sake--for the sake of her whom it too flatteringly represents. Besides, upon the back of the trinket you may discover, perhaps, the very information you seem to desire.	"Keep it for my sake-for the sake of her whom it too flatteringly represents. Besides, upon the back of the trinket you may discover, perhaps, the very information you seem to desire.
7754_108640_000005_000002	It is now, to be sure, growing rather dark--but you can examine it at your leisure in the morning.	It is now, to be sure, growing rather dark-but you can examine it at your leisure in the morning.
7754_108640_000005_000003	In the meantime, you shall be my escort home to-night.	In the meantime, you shall be my escort home to night.
7754_108640_000005_000005	I can promise you, too, some good singing.	I can promise you, too, some good singing.
7754_108640_000005_000006	We French are not nearly so punctilious as you Americans, and I shall have no difficulty in smuggling you in, in the character of an old acquaintance."	We French are not nearly so punctilious as you Americans, and I shall have no difficulty in smuggling you in, in the character of an old acquaintance."
7754_108640_000006_000000	With this, she took my arm, and I attended her home.	With this, she took my arm, and I attended her home.
7754_108640_000006_000003	In about an hour after my arrival, to be sure, a single shaded solar lamp was lit in the principal drawing-room; and this apartment, I could thus see, was arranged with unusual good taste and even splendor; but two other rooms of the suite, and in which the company chiefly assembled, remained, during the whole evening, in a very agreeable shadow.	In about an hour after my arrival, to be sure, a single shaded solar lamp was lit in the principal drawing room; and this apartment, I could thus see, was arranged with unusual good taste and even splendor; but two other rooms of the suite, and in which the company chiefly assembled, remained, during the whole evening, in a very agreeable shadow.
7754_108640_000006_000004	This is a well-conceived custom, giving the party at least a choice of light or shade, and one which our friends over the water could not do better than immediately adopt.	This is a well conceived custom, giving the party at least a choice of light or shade, and one which our friends over the water could not do better than immediately adopt.
7754_108640_000007_000000	The evening thus spent was unquestionably the most delicious of my life. Madame Lalande had not overrated the musical abilities of her friends; and the singing I here heard I had never heard excelled in any private circle out of Vienna.	The evening thus spent was unquestionably the most delicious of my life. Madame Lalande had not overrated the musical abilities of her friends; and the singing I here heard I had never heard excelled in any private circle out of Vienna.
7754_108640_000007_000001	The instrumental performers were many and of superior talents.	The instrumental performers were many and of superior talents.
7754_108640_000007_000002	The vocalists were chiefly ladies, and no individual sang less than well.	The vocalists were chiefly ladies, and no individual sang less than well.
7754_108640_000007_000004	I would have escorted her myself, but felt that, under the circumstances of my introduction to the house, I had better remain unobserved where I was.	I would have escorted her myself, but felt that, under the circumstances of my introduction to the house, I had better remain unobserved where I was.
7754_108640_000007_000005	I was thus deprived of the pleasure of seeing, although not of hearing, her sing.	I was thus deprived of the pleasure of seeing, although not of hearing, her sing.
7754_108640_000008_000000	The impression she produced upon the company seemed electrical but the effect upon myself was something even more.	The impression she produced upon the company seemed electrical but the effect upon myself was something even more.
7754_108640_000008_000001	I know not how adequately to describe it.	I know not how adequately to describe it.
7754_108640_000008_000005	Her voice embraced three complete octaves, extending from the contralto D to the D upper soprano, and, though sufficiently powerful to have filled the San Carlos, executed, with the minutest precision, every difficulty of vocal composition-ascending and descending scales, cadences, or fiorituri.	Her voice embraced three complete octaves, extending from the contralto D to the D upper soprano, and, though sufficiently powerful to have filled the San Carlos, executed, with the minutest precision, every difficulty of vocal composition ascending and descending scales, cadences, or fiorituri.
7754_108640_000008_000006	In the final of the Somnambula, she brought about a most remarkable effect at the words:	In the final of the Somnambula, she brought about a most remarkable effect at the words:
7754_108640_000011_000000	Here, in imitation of Malibran, she modified the original phrase of Bellini, so as to let her voice descend to the tenor G, when, by a rapid transition, she struck the G above the treble stave, springing over an interval of two octaves.	Here, in imitation of Malibran, she modified the original phrase of Bellini, so as to let her voice descend to the tenor G, when, by a rapid transition, she struck the G above the treble stave, springing over an interval of two octaves.
7754_108640_000012_000000	Upon rising from the piano after these miracles of vocal execution, she resumed her seat by my side; when I expressed to her, in terms of the deepest enthusiasm, my delight at her performance.	Upon rising from the piano after these miracles of vocal execution, she resumed her seat by my side; when I expressed to her, in terms of the deepest enthusiasm, my delight at her performance.
7754_108640_000013_000000	Our conversation was now long, earnest, uninterrupted, and totally unreserved.	Our conversation was now long, earnest, uninterrupted, and totally unreserved.
7754_108640_000013_000001	She made me relate many of the earlier passages of my life, and listened with breathless attention to every word of the narrative.	She made me relate many of the earlier passages of my life, and listened with breathless attention to every word of the narrative.
7754_108640_000013_000002	I concealed nothing--felt that I had a right to conceal nothing--from her confiding affection.	I concealed nothing-felt that I had a right to conceal nothing-from her confiding affection.
7754_108640_000013_000004	I even went so far as to speak of a slightly hectic cough with which, at one time, I had been troubled--of a chronic rheumatism--of a twinge of hereditary gout--and, in conclusion, of the disagreeable and inconvenient, but hitherto carefully concealed, weakness of my eyes.	I even went so far as to speak of a slightly hectic cough with which, at one time, I had been troubled-of a chronic rheumatism-of a twinge of hereditary gout-and, in conclusion, of the disagreeable and inconvenient, but hitherto carefully concealed, weakness of my eyes.
7754_108640_000014_000001	By the by," she continued, "have you any recollection-" and here I fancied that a blush, even through the gloom of the apartment, became distinctly visible upon her cheek--"have you any recollection, mon cher ami of this little ocular assistant, which now depends from my neck?"	By the by," she continued, "have you any recollection " and here I fancied that a blush, even through the gloom of the apartment, became distinctly visible upon her cheek-"have you any recollection, mon cher ami of this little ocular assistant, which now depends from my neck?"
7754_108640_000015_000000	As she spoke she twirled in her fingers the identical double eye-glass which had so overwhelmed me with confusion at the opera.	As she spoke she twirled in her fingers the identical double eye glass which had so overwhelmed me with confusion at the opera.
7754_108640_000016_000001	They formed a complex and magnificent toy, richly chased and filigreed, and gleaming with jewels, which, even in the deficient light, I could not help perceiving were of high value.	They formed a complex and magnificent toy, richly chased and filigreed, and gleaming with jewels, which, even in the deficient light, I could not help perceiving were of high value.
7754_108640_000017_000000	"Eh bien! mon ami" she resumed with a certain empressment of manner that rather surprised me--"Eh bien! mon ami, you have earnestly besought of me a favor which you have been pleased to denominate priceless.	"Eh bien! mon ami" she resumed with a certain empressment of manner that rather surprised me-"Eh bien! mon ami, you have earnestly besought of me a favor which you have been pleased to denominate priceless.
7754_108640_000017_000002	Should I yield to your entreaties--and, I may add, to the pleadings of my own bosom--would I not be entitled to demand of you a very--a very little boon in return?"	Should I yield to your entreaties-and, I may add, to the pleadings of my own bosom-would I not be entitled to demand of you a very-a very little boon in return?"
7754_108640_000018_000000	"Name it!" I exclaimed with an energy that had nearly drawn upon us the observation of the company, and restrained by their presence alone from throwing myself impetuously at her feet.	"Name it!" I exclaimed with an energy that had nearly drawn upon us the observation of the company, and restrained by their presence alone from throwing myself impetuously at her feet.
7754_108640_000018_000001	"Name it, my beloved, my Eugenie, my own!--name it!--but, alas! it is already yielded ere named."	"Name it, my beloved, my Eugenie, my own!--name it!--but, alas! it is already yielded ere named."
7754_108640_000019_000001	You shall conquer, for my sake, this affectation which leads you, as you yourself acknowledge, to the tacit or implied denial of your infirmity of vision.	You shall conquer, for my sake, this affectation which leads you, as you yourself acknowledge, to the tacit or implied denial of your infirmity of vision.
7754_108640_000019_000002	For, this infirmity you virtually deny, in refusing to employ the customary means for its relief.	For, this infirmity you virtually deny, in refusing to employ the customary means for its relief.
7754_108640_000019_000003	You will understand me to say, then, that I wish you to wear spectacles;--ah, hush!--you have already consented to wear them, for my sake.	You will understand me to say, then, that I wish you to wear spectacles;--ah, hush!--you have already consented to wear them, for my sake.
7754_108640_000019_000006	It is in the former mode, however, and habitually, that you have already consented to wear it for my sake."	It is in the former mode, however, and habitually, that you have already consented to wear it for my sake."
7754_108640_000020_000000	This request--must I confess it?--confused me in no little degree.	This request-must I confess it?--confused me in no little degree.
7754_108640_000020_000001	But the condition with which it was coupled rendered hesitation, of course, a matter altogether out of the question.	But the condition with which it was coupled rendered hesitation, of course, a matter altogether out of the question.
7754_108640_000021_000000	"It is done!" I cried, with all the enthusiasm that I could muster at the moment.	"It is done!" I cried, with all the enthusiasm that I could muster at the moment.
7754_108640_000021_000001	"It is done--it is most cheerfully agreed.	"It is done-it is most cheerfully agreed.
7754_108640_000021_000002	I sacrifice every feeling for your sake.	I sacrifice every feeling for your sake.
7754_108640_000021_000003	To-night I wear this dear eye-glass, as an eye-glass, and upon my heart; but with the earliest dawn of that morning which gives me the pleasure of calling you wife, I will place it upon my--upon my nose,--and there wear it ever afterward, in the less romantic, and less fashionable, but certainly in the more serviceable, form which you desire."	To night I wear this dear eye glass, as an eye glass, and upon my heart; but with the earliest dawn of that morning which gives me the pleasure of calling you wife, I will place it upon my-upon my nose,--and there wear it ever afterward, in the less romantic, and less fashionable, but certainly in the more serviceable, form which you desire."
7754_108640_000022_000000	Our conversation now turned upon the details of our arrangements for the morrow.	Our conversation now turned upon the details of our arrangements for the morrow.
7754_108640_000022_000001	Talbot, I learned from my betrothed, had just arrived in town. I was to see him at once, and procure a carriage.	Talbot, I learned from my betrothed, had just arrived in town. I was to see him at once, and procure a carriage.
7754_108640_000022_000002	The soiree would scarcely break up before two; and by this hour the vehicle was to be at the door, when, in the confusion occasioned by the departure of the company, Madame L. could easily enter it unobserved.	The soiree would scarcely break up before two; and by this hour the vehicle was to be at the door, when, in the confusion occasioned by the departure of the company, Madame l could easily enter it unobserved.
7754_108640_000023_000000	Having planned all this, I immediately took leave, and went in search of Talbot, but, on the way, I could not refrain from stepping into a hotel, for the purpose of inspecting the miniature; and this I did by the powerful aid of the glasses.	Having planned all this, I immediately took leave, and went in search of Talbot, but, on the way, I could not refrain from stepping into a hotel, for the purpose of inspecting the miniature; and this I did by the powerful aid of the glasses.
7754_108640_000023_000001	The countenance was a surpassingly beautiful one!	The countenance was a surpassingly beautiful one!
7754_108640_000023_000002	Those large luminous eyes!--that proud Grecian nose!--those dark luxuriant curls!--"Ah!" said I, exultingly to myself, "this is indeed the speaking image of my beloved!" I turned the reverse, and discovered the words--"Eugenie Lalande--aged twenty-seven years and seven months."	Those large luminous eyes!--that proud Grecian nose!--those dark luxuriant curls!--"Ah!" said I, exultingly to myself, "this is indeed the speaking image of my beloved!" I turned the reverse, and discovered the words-"Eugenie Lalande-aged twenty seven years and seven months."
7754_108640_000024_000001	He professed excessive astonishment, of course, but congratulated me most cordially, and proffered every assistance in his power.	He professed excessive astonishment, of course, but congratulated me most cordially, and proffered every assistance in his power.
7754_108640_000024_000002	In a word, we carried out our arrangement to the letter, and, at two in the morning, just ten minutes after the ceremony, I found myself in a close carriage with Madame Lalande--with Mrs. Simpson, I should say--and driving at a great rate out of town, in a direction Northeast by North, half-North.	In a word, we carried out our arrangement to the letter, and, at two in the morning, just ten minutes after the ceremony, I found myself in a close carriage with Madame Lalande-with mrs Simpson, I should say-and driving at a great rate out of town, in a direction Northeast by North, half North.
7754_108640_000025_000000	It had been determined for us by Talbot, that, as we were to be up all night, we should make our first stop at C--, a village about twenty miles from the city, and there get an early breakfast and some repose, before proceeding upon our route.	It had been determined for us by Talbot, that, as we were to be up all night, we should make our first stop at C-, a village about twenty miles from the city, and there get an early breakfast and some repose, before proceeding upon our route.
7754_108640_000025_000001	At four precisely, therefore, the carriage drew up at the door of the principal inn.	At four precisely, therefore, the carriage drew up at the door of the principal inn.
7754_108640_000025_000002	I handed my adored wife out, and ordered breakfast forthwith.	I handed my adored wife out, and ordered breakfast forthwith.
7754_108640_000026_000000	It was now nearly if not altogether daylight; and, as I gazed, enraptured, at the angel by my side, the singular idea came, all at once, into my head, that this was really the very first moment since my acquaintance with the celebrated loveliness of Madame Lalande, that I had enjoyed a near inspection of that loveliness by daylight at all.	It was now nearly if not altogether daylight; and, as I gazed, enraptured, at the angel by my side, the singular idea came, all at once, into my head, that this was really the very first moment since my acquaintance with the celebrated loveliness of Madame Lalande, that I had enjoyed a near inspection of that loveliness by daylight at all.
7754_108640_000027_000001	Ah! let me see!	Ah! let me see!
7754_108640_000027_000003	Yes; full easily do I call to mind the precise words of the dear promise you made to Eugenie last night.	Yes; full easily do I call to mind the precise words of the dear promise you made to Eugenie last night.
7754_108640_000027_000004	Listen!	Listen!
7754_108640_000027_000005	You spoke thus: 'It is done!--it is most cheerfully agreed!	You spoke thus: 'It is done!--it is most cheerfully agreed!
7754_108640_000027_000006	I sacrifice every feeling for your sake.	I sacrifice every feeling for your sake.
7754_108640_000029_000000	"Goodness gracious me!" I exclaimed, almost at the very instant that the rim of the spectacles had settled upon my nose--"My goodness gracious me!--why, what can be the matter with these glasses?" and taking them quickly off, I wiped them carefully with a silk handkerchief, and adjusted them again.	"Goodness gracious me!" I exclaimed, almost at the very instant that the rim of the spectacles had settled upon my nose-"My goodness gracious me!--why, what can be the matter with these glasses?" and taking them quickly off, I wiped them carefully with a silk handkerchief, and adjusted them again.
7754_108640_000030_000000	But if, in the first instance, there had occurred something which occasioned me surprise, in the second, this surprise became elevated into astonishment; and this astonishment was profound--was extreme--indeed I may say it was horrific.	But if, in the first instance, there had occurred something which occasioned me surprise, in the second, this surprise became elevated into astonishment; and this astonishment was profound-was extreme-indeed I may say it was horrific.
7754_108640_000030_000001	What, in the name of everything hideous, did this mean?	What, in the name of everything hideous, did this mean?
7754_108640_000030_000002	Could I believe my eyes?--could I?--that was the question.	Could I believe my eyes?--could I?--that was the question.
7754_108640_000030_000003	Was that--was that--was that rouge?	Was that-was that-was that rouge?
7754_108640_000030_000006	Jupiter, and every one of the gods and goddesses, little and big!	Jupiter, and every one of the gods and goddesses, little and big!
7754_108640_000030_000007	what--what--what--what had become of her teeth?	what-what-what-what had become of her teeth?
7754_108640_000030_000008	I dashed the spectacles violently to the ground, and, leaping to my feet, stood erect in the middle of the floor, confronting Mrs. Simpson, with my arms set a-kimbo, and grinning and foaming, but, at the same time, utterly speechless with terror and with rage.	I dashed the spectacles violently to the ground, and, leaping to my feet, stood erect in the middle of the floor, confronting mrs Simpson, with my arms set a kimbo, and grinning and foaming, but, at the same time, utterly speechless with terror and with rage.
7754_108640_000033_000000	"You wretch!" said I, catching my breath--"you--you--you villainous old hag!"	"You wretch!" said I, catching my breath-"you-you-you villainous old hag!"
7754_108640_000034_000001	Me not one single day more dan de eighty-doo."	Me not one single day more dan de eighty doo."
7754_108640_000035_000000	"Eighty-two!" I ejaculated, staggering to the wall--"eighty-two hundred thousand baboons!	"Eighty two!" I ejaculated, staggering to the wall-"eighty two hundred thousand baboons!
7754_108640_000036_000000	"To be sure!--dat is so!--ver true! but den de portraite has been take for dese fifty-five year.	"To be sure!--dat is so!--ver true! but den de portraite has been take for dese fifty five year.
7754_108640_000037_000000	"Moissart!" said I.	"Moissart!" said i
7754_108640_000038_000000	"Yes, Moissart," said she, mimicking my pronunciation, which, to speak the truth, was none of the best,--"and vat den?	"Yes, Moissart," said she, mimicking my pronunciation, which, to speak the truth, was none of the best,--"and vat den?
7754_108640_000039_000000	"Nothing, you old fright!--I know nothing about him at all; only I had an ancestor of that name, once upon a time."	"Nothing, you old fright!--I know nothing about him at all; only I had an ancestor of that name, once upon a time."
7754_108640_000041_000000	"Moissart?" I exclaimed, "and Voissart!	"Moissart?" I exclaimed, "and Voissart!
7754_108640_000043_000000	"Froissart!" said I, beginning to faint, "why, surely you don't say Moissart, and Voissart, and Croissart, and Froissart?"	"Froissart!" said I, beginning to faint, "why, surely you don't say Moissart, and Voissart, and Croissart, and Froissart?"
7754_108640_000046_000000	Meantime I sank aghast into the chair which she had vacated.	Meantime I sank aghast into the chair which she had vacated.
7754_108640_000046_000001	"Moissart and Voissart!" I repeated, thoughtfully, as she cut one of her pigeon-wings, and "Croissart and Froissart!" as she completed another--"Moissart and Voissart and Croissart and Napoleon Bonaparte Froissart!--why, you ineffable old serpent, that's me--that's me--d'ye hear?	"Moissart and Voissart!" I repeated, thoughtfully, as she cut one of her pigeon wings, and "Croissart and Froissart!" as she completed another-"Moissart and Voissart and Croissart and Napoleon Bonaparte Froissart!--why, you ineffable old serpent, that's me-that's me-d'ye hear?
7754_108640_000046_000003	I am Napoleon Bonaparte Froissart! and if I havn't married my great, great, grandmother, I wish I may be everlastingly confounded!"	I am Napoleon Bonaparte Froissart! and if I havn't married my great, great, grandmother, I wish I may be everlastingly confounded!"
7754_108640_000047_000000	Madame Eugenie Lalande, quasi Simpson--formerly Moissart--was, in sober fact, my great, great, grandmother.	Madame Eugenie Lalande, quasi Simpson-formerly Moissart-was, in sober fact, my great, great, grandmother.
7754_108640_000047_000001	In her youth she had been beautiful, and even at eighty-two, retained the majestic height, the sculptural contour of head, the fine eyes and the Grecian nose of her girlhood.	In her youth she had been beautiful, and even at eighty two, retained the majestic height, the sculptural contour of head, the fine eyes and the Grecian nose of her girlhood.
7754_108640_000047_000003	In this respect, indeed, she might have been regarded as little less than the equal of the celebrated Ninon De L'Enclos.	In this respect, indeed, she might have been regarded as little less than the equal of the celebrated Ninon De L'Enclos.
7754_108640_000049_000000	At the opera, my great, great, grandmother's attention was arrested by my notice; and, upon surveying me through her eye-glass, she was struck with a certain family resemblance to herself.	At the opera, my great, great, grandmother's attention was arrested by my notice; and, upon surveying me through her eye glass, she was struck with a certain family resemblance to herself.
7754_108640_000049_000001	Thus interested, and knowing that the heir she sought was actually in the city, she made inquiries of her party respecting me.	Thus interested, and knowing that the heir she sought was actually in the city, she made inquiries of her party respecting me.
7754_108640_000049_000003	The information thus obtained induced her to renew her scrutiny; and this scrutiny it was which so emboldened me that I behaved in the absurd manner already detailed. She returned my bow, however, under the impression that, by some odd accident, I had discovered her identity.	The information thus obtained induced her to renew her scrutiny; and this scrutiny it was which so emboldened me that I behaved in the absurd manner already detailed. She returned my bow, however, under the impression that, by some odd accident, I had discovered her identity.
7754_108640_000049_000004	When, deceived by my weakness of vision, and the arts of the toilet, in respect to the age and charms of the strange lady, I demanded so enthusiastically of Talbot who she was, he concluded that I meant the younger beauty, as a matter of course, and so informed me, with perfect truth, that she was "the celebrated widow, Madame Lalande."	When, deceived by my weakness of vision, and the arts of the toilet, in respect to the age and charms of the strange lady, I demanded so enthusiastically of Talbot who she was, he concluded that I meant the younger beauty, as a matter of course, and so informed me, with perfect truth, that she was "the celebrated widow, Madame Lalande."
7754_108640_000050_000002	By way of punishing me for this imprudence, she concocted with Talbot a plot.	By way of punishing me for this imprudence, she concocted with Talbot a plot.
7754_108640_000050_000003	He purposely kept out of my way to avoid giving me the introduction.	He purposely kept out of my way to avoid giving me the introduction.
7754_108640_000050_000006	When "Madame Lalande" was called upon to sing, the younger lady was intended; and it was she who arose to obey the call; my great, great, grandmother, to further the deception, arising at the same moment and accompanying her to the piano in the main drawing-room.	When "Madame Lalande" was called upon to sing, the younger lady was intended; and it was she who arose to obey the call; my great, great, grandmother, to further the deception, arising at the same moment and accompanying her to the piano in the main drawing room.
7754_108640_000050_000009	The eyeglass was presented by way of adding a reproof to the hoax--a sting to the epigram of the deception.	The eyeglass was presented by way of adding a reproof to the hoax-a sting to the epigram of the deception.
7754_108640_000050_000010	Its presentation afforded an opportunity for the lecture upon affectation with which I was so especially edified.	Its presentation afforded an opportunity for the lecture upon affectation with which I was so especially edified.
7754_108640_000050_000012	They suited me, in fact, to a T.	They suited me, in fact, to a t
7754_108640_000051_000000	The clergyman, who merely pretended to tie the fatal knot, was a boon companion of Talbot's, and no priest.	The clergyman, who merely pretended to tie the fatal knot, was a boon companion of Talbot's, and no priest.
7754_108640_000051_000001	He was an excellent "whip," however; and having doffed his cassock to put on a great-coat, he drove the hack which conveyed the "happy couple" out of town.	He was an excellent "whip," however; and having doffed his cassock to put on a great coat, he drove the hack which conveyed the "happy couple" out of town.
7754_108640_000051_000002	Talbot took a seat at his side.	Talbot took a seat at his side.
7754_108640_000051_000004	I believe I shall be forced to call them both out.	I believe I shall be forced to call them both out.
7754_108640_000052_000000	Nevertheless, I am not the husband of my great, great, grandmother; and this is a reflection which affords me infinite relief,--but I am the husband of Madame Lalande--of Madame Stephanie Lalande--with whom my good old relative, besides making me her sole heir when she dies--if she ever does--has been at the trouble of concocting me a match.	Nevertheless, I am not the husband of my great, great, grandmother; and this is a reflection which affords me infinite relief,--but I am the husband of Madame Lalande-of Madame Stephanie Lalande-with whom my good old relative, besides making me her sole heir when she dies-if she ever does-has been at the trouble of concocting me a match.
