7754_108640_000000_000000	I replied as best I could--as only a true lover can.	I replied as best I could-as only a true lover can.	true	31.095	35.05	22
7754_108640_000017_000002	Should I yield to your entreaties--and, I may add, to the pleadings of my own bosom--would I not be entitled to demand of you a very--a very little boon in return?"	Should I yield to your entreaties-and, I may add, to the pleadings of my own bosom-would I not be entitled to demand of you a very-a very little boon in return?"	true	647.81	659.92	23.539013
7754_108640_000018_000000	"Name it!" I exclaimed with an energy that had nearly drawn upon us the observation of the company, and restrained by their presence alone from throwing myself impetuously at her feet.	"Name it!" I exclaimed with an energy that had nearly drawn upon us the observation of the company, and restrained by their presence alone from throwing myself impetuously at her feet.	true	660.59	671.17	23.954294
7754_108640_000018_000001	"Name it, my beloved, my Eugenie, my own!--name it!--but, alas! it is already yielded ere named."	"Name it, my beloved, my Eugenie, my own!--name it!--but, alas! it is already yielded ere named."	true	671.54	679.54	23.543299
7754_108640_000019_000000	"You shall conquer, then, mon ami," said she, "for the sake of the Eugenie whom you love, this little weakness which you have at last confessed--this weakness more moral than physical--and which, let me assure you, is so unbecoming the nobility of your real nature--so inconsistent with the candor of your usual character--and which, if permitted further control, will assuredly involve you, sooner or later, in some very disagreeable scrape.	"You shall conquer, then, mon ami," said she, "for the sake of the Eugenie whom you love, this little weakness which you have at last confessed-this weakness more moral than physical-and which, let me assure you, is so unbecoming the nobility of your real nature-so inconsistent with the candor of your usual character-and which, if permitted further control, will assuredly involve you, sooner or later, in some very disagreeable scrape.	false	679.91	708.46	21.313072
7754_108640_000019_000001	You shall conquer, for my sake, this affectation which leads you, as you yourself acknowledge, to the tacit or implied denial of your infirmity of vision.	You shall conquer, for my sake, this affectation which leads you, as you yourself acknowledge, to the tacit or implied denial of your infirmity of vision.	true	708.77	718.57	23
7754_108640_000019_000002	For, this infirmity you virtually deny, in refusing to employ the customary means for its relief.	For, this infirmity you virtually deny, in refusing to employ the customary means for its relief.	true	719.12	726.13	22.508255
7754_108640_000019_000003	You will understand me to say, then, that I wish you to wear spectacles;--ah, hush!--you have already consented to wear them, for my sake.	You will understand me to say, then, that I wish you to wear spectacles;--ah, hush!--you have already consented to wear them, for my sake.	true	726.35	736.27	24.836004
7754_108640_000019_000004	You shall accept the little toy which I now hold in my hand, and which, though admirable as an aid to vision, is really of no very immense value as a gem.	You shall accept the little toy which I now hold in my hand, and which, though admirable as an aid to vision, is really of no very immense value as a gem.	false	736.49	746.11	16
7754_108640_000019_000005	You perceive that, by a trifling modification thus--or thus--it can be adapted to the eyes in the form of spectacles, or worn in the waistcoat pocket as an eye-glass.	You perceive that, by a trifling modification thus-or thus-it can be adapted to the eyes in the form of spectacles, or worn in the waistcoat pocket as an eye glass.	false	746.42	759.4	23.585575
7754_108640_000019_000006	It is in the former mode, however, and habitually, that you have already consented to wear it for my sake."	It is in the former mode, however, and habitually, that you have already consented to wear it for my sake."	true	759.89	767.14	21.895985
7754_108640_000020_000000	This request--must I confess it?--confused me in no little degree.	This request-must I confess it?--confused me in no little degree.	true	768.14	773.92	24.09815
7754_108640_000020_000001	But the condition with which it was coupled rendered hesitation, of course, a matter altogether out of the question.	But the condition with which it was coupled rendered hesitation, of course, a matter altogether out of the question.	true	774.26	780.04	22
7754_108640_000021_000000	"It is done!" I cried, with all the enthusiasm that I could muster at the moment.	"It is done!" I cried, with all the enthusiasm that I could muster at the moment.	true	780.68	785.295	20.6101
7754_108640_000021_000001	"It is done--it is most cheerfully agreed.	"It is done-it is most cheerfully agreed.	true	785.295	788.88	24.288355
7754_108640_000021_000002	I sacrifice every feeling for your sake.	I sacrifice every feeling for your sake.	true	788.88	791.65	21.627684
7754_108640_000021_000003	To-night I wear this dear eye-glass, as an eye-glass, and upon my heart; but with the earliest dawn of that morning which gives me the pleasure of calling you wife, I will place it upon my--upon my nose,--and there wear it ever afterward, in the less romantic, and less fashionable, but certainly in the more serviceable, form which you desire."	To night I wear this dear eye glass, as an eye glass, and upon my heart; but with the earliest dawn of that morning which gives me the pleasure of calling you wife, I will place it upon my-upon my nose,--and there wear it ever afterward, in the less romantic, and less fashionable, but certainly in the more serviceable, form which you desire."	true	791.84	815.98	21.925755
7754_108640_000022_000000	Our conversation now turned upon the details of our arrangements for the morrow.	Our conversation now turned upon the details of our arrangements for the morrow.	true	816.95	821.14	23
7754_108640_000022_000001	Talbot, I learned from my betrothed, had just arrived in town. I was to see him at once, and procure a carriage.	Talbot, I learned from my betrothed, had just arrived in town. I was to see him at once, and procure a carriage.	true	821.3	828.28	25.277653
7754_108640_000022_000002	The soiree would scarcely break up before two; and by this hour the vehicle was to be at the door, when, in the confusion occasioned by the departure of the company, Madame L. could easily enter it unobserved.	The soiree would scarcely break up before two; and by this hour the vehicle was to be at the door, when, in the confusion occasioned by the departure of the company, Madame l could easily enter it unobserved.	true	828.44	841.18	23
7754_108640_000022_000003	We were then to call at the house of a clergyman who would be in waiting; there be married, drop Talbot, and proceed on a short tour to the East, leaving the fashionable world at home to make whatever comments upon the matter it thought best.	We were then to call at the house of a clergyman who would be in waiting; there be married, drop Talbot, and proceed on a short tour to the East, leaving the fashionable world at home to make whatever comments upon the matter it thought best.	false	841.22	855.1	21.053793
7754_108640_000023_000000	Having planned all this, I immediately took leave, and went in search of Talbot, but, on the way, I could not refrain from stepping into a hotel, for the purpose of inspecting the miniature; and this I did by the powerful aid of the glasses.	Having planned all this, I immediately took leave, and went in search of Talbot, but, on the way, I could not refrain from stepping into a hotel, for the purpose of inspecting the miniature; and this I did by the powerful aid of the glasses.	true	855.77	869.59	22.750244
7754_108640_000023_000001	The countenance was a surpassingly beautiful one!	The countenance was a surpassingly beautiful one!	true	869.81	872.77	21
7754_108640_000023_000002	Those large luminous eyes!--that proud Grecian nose!--those dark luxuriant curls!--"Ah!" said I, exultingly to myself, "this is indeed the speaking image of my beloved!" I turned the reverse, and discovered the words--"Eugenie Lalande--aged twenty-seven years and seven months."	Those large luminous eyes!--that proud Grecian nose!--those dark luxuriant curls!--"Ah!" said I, exultingly to myself, "this is indeed the speaking image of my beloved!" I turned the reverse, and discovered the words-"Eugenie Lalande-aged twenty seven years and seven months."	true	872.84	894.19	20.609629
7754_108640_000024_000000	I found Talbot at home, and proceeded at once to acquaint him with my good fortune.	I found Talbot at home, and proceeded at once to acquaint him with my good fortune.	false	895.55	900.91	24.700855
7754_108640_000024_000001	He professed excessive astonishment, of course, but congratulated me most cordially, and proffered every assistance in his power.	He professed excessive astonishment, of course, but congratulated me most cordially, and proffered every assistance in his power.	true	901.13	909.07	24.415985
7754_108640_000024_000002	In a word, we carried out our arrangement to the letter, and, at two in the morning, just ten minutes after the ceremony, I found myself in a close carriage with Madame Lalande--with Mrs. Simpson, I should say--and driving at a great rate out of town, in a direction Northeast by North, half-North.	In a word, we carried out our arrangement to the letter, and, at two in the morning, just ten minutes after the ceremony, I found myself in a close carriage with Madame Lalande-with mrs Simpson, I should say-and driving at a great rate out of town, in a direction Northeast by North, half North.	true	909.59	928.06	21.47284
7754_108640_000025_000000	It had been determined for us by Talbot, that, as we were to be up all night, we should make our first stop at C--, a village about twenty miles from the city, and there get an early breakfast and some repose, before proceeding upon our route.	It had been determined for us by Talbot, that, as we were to be up all night, we should make our first stop at C-, a village about twenty miles from the city, and there get an early breakfast and some repose, before proceeding upon our route.	true	928.7	943.27	23.373201
7754_108640_000025_000001	At four precisely, therefore, the carriage drew up at the door of the principal inn.	At four precisely, therefore, the carriage drew up at the door of the principal inn.	true	943.49	948.28	24.239758
7754_108640_000025_000002	I handed my adored wife out, and ordered breakfast forthwith.	I handed my adored wife out, and ordered breakfast forthwith.	true	948.56	952.93	21.932943
7754_108640_000025_000003	In the meantime we were shown into a small parlor, and sat down.	In the meantime we were shown into a small parlor, and sat down.	true	953.36	956.92	19.899948
7754_108640_000026_000000	It was now nearly if not altogether daylight; and, as I gazed, enraptured, at the angel by my side, the singular idea came, all at once, into my head, that this was really the very first moment since my acquaintance with the celebrated loveliness of Madame Lalande, that I had enjoyed a near inspection of that loveliness by daylight at all.	It was now nearly if not altogether daylight; and, as I gazed, enraptured, at the angel by my side, the singular idea came, all at once, into my head, that this was really the very first moment since my acquaintance with the celebrated loveliness of Madame Lalande, that I had enjoyed a near inspection of that loveliness by daylight at all.	true	957.56	978.52	21.723232
7754_108640_000027_000000	"And now, mon ami," said she, taking my hand, and so interrupting this train of reflection, "and now, mon cher ami, since we are indissolubly one--since I have yielded to your passionate entreaties, and performed my portion of our agreement--I presume you have not forgotten that you also have a little favor to bestow--a little promise which it is your intention to keep.	"And now, mon ami," said she, taking my hand, and so interrupting this train of reflection, "and now, mon cher ami, since we are indissolubly one-since I have yielded to your passionate entreaties, and performed my portion of our agreement-I presume you have not forgotten that you also have a little favor to bestow-a little promise which it is your intention to keep.	false	979.13	1002.83	21.47752
7754_108640_000027_000001	Ah! let me see!	Ah! let me see!	true	1002.83	1004.28	28.949842
7754_108640_000027_000002	Let me remember!	Let me remember!	true	1004.28	1005.49	18
7754_108640_000027_000003	Yes; full easily do I call to mind the precise words of the dear promise you made to Eugenie last night.	Yes; full easily do I call to mind the precise words of the dear promise you made to Eugenie last night.	true	1005.65	1013.1	24
7754_108640_000027_000004	Listen!	Listen!	true	1013.1	1013.86	23.770464
7754_108640_000027_000005	You spoke thus: 'It is done!--it is most cheerfully agreed!	You spoke thus: 'It is done!--it is most cheerfully agreed!	true	1013.93	1019.04	24.583324
7754_108640_000027_000006	I sacrifice every feeling for your sake.	I sacrifice every feeling for your sake.	true	1019.04	1022.26	23
7754_108640_000027_000007	To-night I wear this dear eye-glass as an eye-glass, and upon my heart; but with the earliest dawn of that morning which gives me the privilege of calling you wife, I will place it upon my--upon my nose,--and there wear it ever afterward, in the less romantic, and less fashionable, but certainly in the more serviceable, form which you desire.' These were the exact words, my beloved husband, were they not?"	To night I wear this dear eye glass as an eye glass, and upon my heart; but with the earliest dawn of that morning which gives me the privilege of calling you wife, I will place it upon my-upon my nose,--and there wear it ever afterward, in the less romantic, and less fashionable, but certainly in the more serviceable, form which you desire.' These were the exact words, my beloved husband, were they not?"	true	1022.27	1049.11	23.156195
7754_108640_000028_000000	"They were," I said; "you have an excellent memory; and assuredly, my beautiful Eugenie, there is no disposition on my part to evade the performance of the trivial promise they imply.	"They were," I said; "you have an excellent memory; and assuredly, my beautiful Eugenie, there is no disposition on my part to evade the performance of the trivial promise they imply.	true	1050.02	1061.02	18
7754_108640_000028_000001	See! Behold! they are becoming--rather--are they not?" And here, having arranged the glasses in the ordinary form of spectacles, I applied them gingerly in their proper position; while Madame Simpson, adjusting her cap, and folding her arms, sat bolt upright in her chair, in a somewhat stiff and prim, and indeed, in a somewhat undignified position.	See! Behold! they are becoming-rather-are they not?" And here, having arranged the glasses in the ordinary form of spectacles, I applied them gingerly in their proper position; while Madame Simpson, adjusting her cap, and folding her arms, sat bolt upright in her chair, in a somewhat stiff and prim, and indeed, in a somewhat undignified position.	false	1061.75	1086.85	23.46381
7754_108640_000029_000000	"Goodness gracious me!" I exclaimed, almost at the very instant that the rim of the spectacles had settled upon my nose--"My goodness gracious me!--why, what can be the matter with these glasses?" and taking them quickly off, I wiped them carefully with a silk handkerchief, and adjusted them again.	"Goodness gracious me!" I exclaimed, almost at the very instant that the rim of the spectacles had settled upon my nose-"My goodness gracious me!--why, what can be the matter with these glasses?" and taking them quickly off, I wiped them carefully with a silk handkerchief, and adjusted them again.	true	1088.03	1106.14	24.030725
7754_108640_000030_000000	But if, in the first instance, there had occurred something which occasioned me surprise, in the second, this surprise became elevated into astonishment; and this astonishment was profound--was extreme--indeed I may say it was horrific.	But if, in the first instance, there had occurred something which occasioned me surprise, in the second, this surprise became elevated into astonishment; and this astonishment was profound-was extreme-indeed I may say it was horrific.	true	1106.51	1122.91	23.49328
7754_108640_000030_000001	What, in the name of everything hideous, did this mean?	What, in the name of everything hideous, did this mean?	true	1123.22	1126.72	25.311354
7754_108640_000030_000002	Could I believe my eyes?--could I?--that was the question.	Could I believe my eyes?--could I?--that was the question.	true	1126.76	1130.95	25.599499
7754_108640_000030_000003	Was that--was that--was that rouge?	Was that-was that-was that rouge?	true	1131.2	1134.88	21.84622
7754_108640_000030_000004	And were those--and were those--were those wrinkles, upon the visage of Eugenie Lalande?	And were those-and were those-were those wrinkles, upon the visage of Eugenie Lalande?	false	1134.88	1141.51	21.027493
7754_108640_000030_000005	And oh!	And oh!	false	1141.61	1142.7	21.310383
7754_108640_000030_000006	Jupiter, and every one of the gods and goddesses, little and big!	Jupiter, and every one of the gods and goddesses, little and big!	true	1142.7	1146.73	23
