3615_14672_000002_000000	1.--Oriental Canapes.	one.--Oriental Canapes.
3615_14672_000021_000000	Peel and boil potatoes in salted water until tender; drain and mash with a lump of butter.	Peel and boil potatoes in salted water until tender; drain and mash with a lump of butter.
3615_14672_000021_000002	Put in the oven to brown.	Put in the oven to brown.
3615_14672_000021_000003	Serve with boiled fish.	Serve with boiled fish.
3615_14672_000022_000000	11.--Russian Stewed Chicken.	eleven.--Russian Stewed Chicken.
3615_14672_000023_000000	Cut a fat chicken into pieces at the joints and let stew, well seasoned with salt and pepper.	Cut a fat chicken into pieces at the joints and let stew, well seasoned with salt and pepper.
3615_14672_000023_000001	Then add some small whole onions, some cauliflower, mushrooms and 1 cup of French peas.	Then add some small whole onions, some cauliflower, mushrooms and one cup of French peas.
3615_14672_000023_000002	Let all cook until tender; then serve hot on a large platter.	Let all cook until tender; then serve hot on a large platter.
3615_14672_000024_000000	12.--Dutch Baked Mackerel.	twelve.--Dutch Baked Mackerel.
3615_14672_000025_000000	Place the mackerel in a baking-dish; sprinkle with pepper and chopped parsley.	Place the mackerel in a baking dish; sprinkle with pepper and chopped parsley.
3615_14672_000025_000001	Cover with fried bread-crumbs and bits of butter, and moisten with cream.	Cover with fried bread crumbs and bits of butter, and moisten with cream.
3615_14672_000025_000002	Then bake until brown on top and serve hot with stewed potatoes.	Then bake until brown on top and serve hot with stewed potatoes.
3615_14672_000026_000000	13.--Polish Roast Mutton.	thirteen.--Polish Roast Mutton.
3615_14672_000027_000000	Season a leg of mutton with salt, pepper and a pinch of cloves.	Season a leg of mutton with salt, pepper and a pinch of cloves.
3615_14672_000027_000001	Lay in a baking-pan with 1 sliced onion, 2 celery roots, 3 cloves of garlic and 2 carrots cut fine, 1 bay-leaf, a sprig of thyme and a few peppercorns.	Lay in a baking pan with one sliced onion, two celery roots, three cloves of garlic and two carrots cut fine, one bay leaf, a sprig of thyme and a few peppercorns.
3615_14672_000027_000002	Pour over 1 cup of vinegar and 1 cup of hot water.	Pour over one cup of vinegar and one cup of hot water.
3615_14672_000027_000003	Dredge with flour and let bake in a hot oven.	Dredge with flour and let bake in a hot oven.
3615_14672_000027_000004	Baste often with the sauce in the pan until nearly done; then add 1 pint of sour cream and let bake until done.	Baste often with the sauce in the pan until nearly done; then add one pint of sour cream and let bake until done.
3615_14672_000027_000005	Thicken with flour; boil up and pour over the roast.	Thicken with flour; boil up and pour over the roast.
3615_14672_000028_000000	14.--Italian Sugar Cakes.	fourteen.--Italian Sugar Cakes.
3615_14672_000030_000000	15.--Oriental Stewed Prawns.	fifteen.--Oriental Stewed Prawns.
3615_14672_000031_000000	Clean and pick 3 dozen prawns.	Clean and pick three dozen prawns.
3615_14672_000031_000002	Add 1 pint of stock and let simmer half an hour until tender.	Add one pint of stock and let simmer half an hour until tender.
3615_14672_000031_000003	Serve on a border of boiled rice; garnish with fried parsley.	Serve on a border of boiled rice; garnish with fried parsley.
3615_14672_000032_000000	16.--Swiss Steak.	sixteen.--Swiss Steak.
3615_14672_000033_000000	Season a round steak with salt, black pepper and paprica; dredge with flour and let fry in hot lard on both sides until brown.	Season a round steak with salt, black pepper and paprica; dredge with flour and let fry in hot lard on both sides until brown.
3615_14672_000033_000002	Cover and let simmer half an hour.	Cover and let simmer half an hour.
3615_14672_000034_000000	17.--Berlin Herring Salad.	seventeen.--Berlin Herring Salad.
3615_14672_000035_000000	Soak the herring over night; remove the milch and mash fine.	Soak the herring over night; remove the milch and mash fine.
3615_14672_000035_000001	Cut off the head, skin and bone; chop the herring; add chopped apples, pickles, potatoes, olives and capers.	Cut off the head, skin and bone; chop the herring; add chopped apples, pickles, potatoes, olives and capers.
3615_14672_000036_000000	18.--German Lentil Soup.	eighteen.--German Lentil Soup.
3615_14672_000037_000000	To 1 gallon of soup stock, add 1 quart of lentils.	To one gallon of soup stock, add one quart of lentils.
3615_14672_000037_000001	Let boil until lentils are soft, with 1 sliced onion.	Let boil until lentils are soft, with one sliced onion.
3615_14672_000037_000002	Then add some small sausages. Let boil five minutes.	Then add some small sausages. Let boil five minutes.
3615_14672_000037_000003	Season to taste and serve the soup with the sausages and croutons fried in butter.	Season to taste and serve the soup with the sausages and croutons fried in butter.
3615_14672_000038_000000	19.--French Spiced Venison.	nineteen.--French Spiced Venison.
3615_14672_000039_000000	Rub the venison with salt, pepper, vinegar, cloves and allspice; then put in a baking-pan.	Rub the venison with salt, pepper, vinegar, cloves and allspice; then put in a baking pan.
3615_14672_000039_000001	Pour over a cup of melted butter; add 1 onion sliced, some thyme, parsley, the juice of a lemon, and a cup of hot water.	Pour over a cup of melted butter; add one onion sliced, some thyme, parsley, the juice of a lemon, and a cup of hot water.
3615_14672_000039_000002	Let bake, covered, in a hot oven.	Let bake, covered, in a hot oven.
3615_14672_000039_000003	Baste often with the sauce when nearly done.	Baste often with the sauce when nearly done.
3615_14672_000039_000004	Sprinkle with flour; add a glass of sherry and let brown.	Sprinkle with flour; add a glass of sherry and let brown.
3615_14672_000039_000005	Serve with celery and currant jelly.	Serve with celery and currant jelly.
3615_14672_000040_000000	20.--Spanish Mushrooms.	twenty.--Spanish Mushrooms.
3615_14672_000041_000000	Drain 1 can of mushrooms and heat 2 tablespoonfuls of butter.	Drain one can of mushrooms and heat two tablespoonfuls of butter.
3615_14672_000041_000001	Add 6 shallots and 1 clove of garlic chopped fine, some parsley and thyme and the mushrooms.	Add six shallots and one clove of garlic chopped fine, some parsley and thyme and the mushrooms.
3615_14672_000041_000002	Let all fry a few minutes; then add the mushroom liquor and 2 tablespoonfuls of white wine, salt and pepper to taste. Let simmer five minutes and serve hot on slices of toast.	Let all fry a few minutes; then add the mushroom liquor and two tablespoonfuls of white wine, salt and pepper to taste. Let simmer five minutes and serve hot on slices of toast.
3615_14672_000043_000000	Boil some fine noodles in salted water for ten minutes; let drain. Beat the yolks of 5 eggs with 1 cup of pulverized sugar and mix with the noodles.	Boil some fine noodles in salted water for ten minutes; let drain. Beat the yolks of five eggs with one cup of pulverized sugar and mix with the noodles.
3615_14672_000043_000002	Put in a well-buttered pudding-dish and bake until brown.	Put in a well buttered pudding dish and bake until brown.
3615_14672_000044_000000	22.--Dutch Sweet Potato Puff.	twenty two.--Dutch Sweet Potato Puff.
3615_14672_000045_000000	Peel and boil 3 sweet potatoes in salted water until tender; then mash well with 3 beaten yolks of eggs, 1 cup of milk, 3 tablespoonfuls of butter, 2 tablespoonfuls of sugar, a pinch of nutmeg and lemon-juice. Beat the whites with a pinch of salt to a stiff froth; add to the potatoes and put in a well buttered baking-dish and bake.	Peel and boil three sweet potatoes in salted water until tender; then mash well with three beaten yolks of eggs, one cup of milk, three tablespoonfuls of butter, two tablespoonfuls of sugar, a pinch of nutmeg and lemon juice. Beat the whites with a pinch of salt to a stiff froth; add to the potatoes and put in a well buttered baking dish and bake.
3615_14672_000045_000001	Serve hot.	Serve hot.
3615_14672_000046_000000	23.--Spaghetti (ITALIAN).	twenty three.--Spaghetti (ITALIAN).
3615_14672_000047_000001	Drain.	Drain.
3615_14672_000047_000003	Then add 1 cup of milk; let boil and pour over the spaghetti.	Then add one cup of milk; let boil and pour over the spaghetti.
3615_14672_000047_000004	Sprinkle with salt, pepper and grated cheese and let bake in the oven until done. Serve hot.	Sprinkle with salt, pepper and grated cheese and let bake in the oven until done. Serve hot.
3615_14672_000048_000000	24.--Russian Beet Soup.	twenty four.--Russian Beet Soup.
3615_14672_000049_000000	Boil 5 medium-sized beets until tender; then chop and add to a highly seasoned chicken broth.	Boil five medium sized beets until tender; then chop and add to a highly seasoned chicken broth.
3615_14672_000049_000001	Add the juice of 1 lemon, some cinnamon and nutmeg; let boil fifteen minutes.	Add the juice of one lemon, some cinnamon and nutmeg; let boil fifteen minutes.
3615_14672_000049_000002	Then add 1 glass of red wine, mixed with a teaspoonful of brown sugar.	Then add one glass of red wine, mixed with a teaspoonful of brown sugar.
3615_14672_000049_000003	Let boil a few minutes longer and serve with fried croutons.	Let boil a few minutes longer and serve with fried croutons.
3615_14672_000050_000000	25.--Boulettes.	twenty five.--Boulettes.
3615_14672_000051_000001	Add 1 tablespoonful of lemon-juice, 2 tablespoonfuls of melted butter.	Add one tablespoonful of lemon juice, two tablespoonfuls of melted butter.
3615_14672_000051_000002	Season highly with salt, black pepper and a pinch of cayenne.	Season highly with salt, black pepper and a pinch of cayenne.
3615_14672_000051_000003	Mix with 1 egg and form into balls; roll in flour and fry in deep hot lard until brown.	Mix with one egg and form into balls; roll in flour and fry in deep hot lard until brown.
3615_14672_000051_000004	Serve hot with tomato-sauce.	Serve hot with tomato sauce.
3615_14672_000052_000000	26.--Baden Stewed Lentils.	twenty six.--Baden Stewed Lentils.
3615_14672_000053_000000	Boil 1 quart of lentils until tender; then heat 2 tablespoonfuls of butter.	Boil one quart of lentils until tender; then heat two tablespoonfuls of butter.
3615_14672_000053_000001	Add 1 chopped onion and stir in 1 tablespoonful of flour until brown; add some cold water mixed with vinegar.	Add one chopped onion and stir in one tablespoonful of flour until brown; add some cold water mixed with vinegar.
3615_14672_000053_000003	Season with salt and pepper, and serve with small boiled sausages.	Season with salt and pepper, and serve with small boiled sausages.
3615_14672_000053_000004	Sprinkle the top with bread-crumbs fried in butter until brown.	Sprinkle the top with bread crumbs fried in butter until brown.
3615_14672_000054_000000	27.--Duck aux Champignons.	twenty seven.--Duck aux Champignons.
3615_14672_000055_000001	Heat 2 tablespoonfuls of butter in a saucepan; add the ducks, 1 large onion chopped fine, 2 cloves of garlic and 1 herb bouquet chopped.	Heat two tablespoonfuls of butter in a saucepan; add the ducks, one large onion chopped fine, two cloves of garlic and one herb bouquet chopped.
3615_14672_000055_000002	Cover and brown a few minutes; add 1 cup of water and stew until tender.	Cover and brown a few minutes; add one cup of water and stew until tender.
