240_160593_000000_000000	XXVI.	twenty six.	false	0	0.81	64
240_160593_000072_000000	The hours slid fast, as hours will, Clutched tight by greedy hands; So faces on two decks look back, Bound to opposing lands.	The hours slid fast, as hours will, Clutched tight by greedy hands; So faces on two decks look back, Bound to opposing lands.	true	444.83	454.72	19.862698
240_160593_000073_000000	And so, when all the time had failed, Without external sound, Each bound the other's crucifix, We gave no other bond.	And so, when all the time had failed, Without external sound, Each bound the other's crucifix, We gave no other bond.	true	455.33	464.17	18.238934
240_160593_000074_000000	Sufficient troth that we shall rise -- Deposed, at length, the grave -- To that new marriage, justified Through Calvaries of Love!	Sufficient troth that we shall rise -- Deposed, at length, the grave -- To that new marriage, justified Through Calvaries of Love!	true	464.21	473.68	19.098246
240_160593_000075_000000	XIV.	fourteen.	true	476.6	477.58	22.488077
240_160593_000076_000000	LOVE'S BAPTISM.	LOVE'S BAPTISM.	true	477.89	479.32	22.357716
240_160593_000077_000000	I'm ceded, I've stopped being theirs; The name they dropped upon my face With water, in the country church, Is finished using now, And they can put it with my dolls, My childhood, and the string of spools I've finished threading too.	I'm ceded, I've stopped being theirs; The name they dropped upon my face With water, in the country church, Is finished using now, And they can put it with my dolls, My childhood, and the string of spools I've finished threading too.	true	479.96	495.13	20.392887
240_160593_000078_000000	Baptized before without the choice, But this time consciously, of grace Unto supremest name, Called to my full, the crescent dropped, Existence's whole arc filled up With one small diadem.	Baptized before without the choice, But this time consciously, of grace Unto supremest name, Called to my full, the crescent dropped, Existence's whole arc filled up With one small diadem.	true	495.68	509.95	21.237906
240_160593_000079_000000	My second rank, too small the first, Crowned, crowing on my father's breast, A half unconscious queen; But this time, adequate, erect, With will to choose or to reject. And I choose -- just a throne.	My second rank, too small the first, Crowned, crowing on my father's breast, A half unconscious queen; But this time, adequate, erect, With will to choose or to reject. And I choose -- just a throne.	false	510.53	526.69	20.730806
240_160593_000080_000000	XV.	fifteen.	true	528.71	529.69	22.15782
240_160593_000081_000000	RESURRECTION.	RESURRECTION.	true	529.91	530.94	25.0867
240_160593_000082_000000	'T was a long parting, but the time For interview had come; Before the judgment-seat of God, The last and second time	'T was a long parting, but the time For interview had come; Before the judgment seat of God, The last and second time	false	530.94	540.7	18.256855
240_160593_000083_000000	These fleshless lovers met, A heaven in a gaze, A heaven of heavens, the privilege Of one another's eyes.	These fleshless lovers met, A heaven in a gaze, A heaven of heavens, the privilege Of one another's eyes.	false	540.77	547.03	18
240_160593_000084_000000	No lifetime set on them, Apparelled as the new Unborn, except they had beheld, Born everlasting now.	No lifetime set on them, Apparelled as the new Unborn, except they had beheld, Born everlasting now.	true	547.64	556.69	21.112701
240_160593_000085_000000	Was bridal e'er like this? A paradise, the host, And cherubim and seraphim The most familiar guest.	Was bridal e'er like this? A paradise, the host, And cherubim and seraphim The most familiar guest.	true	556.88	566.5	19.70307
240_160593_000086_000000	XVI.	sixteen.	true	568.88	569.89	20.598747
240_160593_000087_000000	APOCALYPSE.	APOCALYPSE.	true	570.05	572.05	19.104246
240_160593_000088_000000	I'm wife; I've finished that, That other state; I'm Czar, I'm woman now: It's safer so.	I'm wife; I've finished that, That other state; I'm Czar, I'm woman now: It's safer so.	false	572.24	578.95	20.737297
240_160593_000089_000000	How odd the girl's life looks Behind this soft eclipse! I think that earth seems so To those in heaven now.	How odd the girl's life looks Behind this soft eclipse! I think that earth seems so To those in heaven now.	false	579.5	587.65	17.336258
240_160593_000090_000000	This being comfort, then That other kind was pain; But why compare? I'm wife! stop there!	This being comfort, then That other kind was pain; But why compare? I'm wife! stop there!	false	587.93	595.75	20.732517
240_160593_000091_000000	XVII.	seventeen.	true	598.22	599.32	18.270256
240_160593_000092_000000	THE WIFE.	THE WIFE.	true	599.6	600.55	20.607466
240_160593_000093_000000	She rose to his requirement, dropped The playthings of her life To take the honorable work Of woman and of wife.	She rose to his requirement, dropped The playthings of her life To take the honorable work Of woman and of wife.	false	601.88	609.22	20.036314
240_160593_000094_000000	If aught she missed in her new day Of amplitude, or awe, Or first prospective, or the gold In using wore away,	If aught she missed in her new day Of amplitude, or awe, Or first prospective, or the gold In using wore away,	false	609.68	617.5	18.134857
240_160593_000095_000000	It lay unmentioned, as the sea Develops pearl and weed, But only to himself is known The fathoms they abide.	It lay unmentioned, as the sea Develops pearl and weed, But only to himself is known The fathoms they abide.	true	618.29	625.96	17
240_160593_000096_000000	XVIII.	eighteen.	true	628.28	629.23	20.042675
240_160593_000097_000000	APOTHEOSIS.	APOTHEOSIS.	true	629.66	631	19.749964
240_160593_000098_000000	Come slowly, Eden! Lips unused to thee, Bashful, sip thy jasmines, As the fainting bee,	Come slowly, Eden! Lips unused to thee, Bashful, sip thy jasmines, As the fainting bee,	false	631.91	638.62	18.933336
240_160593_000099_000000	Reaching late his flower, Round her chamber hums, Counts his nectars -- enters, And is lost in balms!	Reaching late his flower, Round her chamber hums, Counts his nectars -- enters, And is lost in balms!	true	638.63	650.58	16.97401
240_160593_000100_000000	III.	three.	false	650.58	651	-20
240_160593_000101_000000	NATURE.	NATURE.	false	651	651.42	-7
240_160593_000102_000000	I.	I.	false	651.42	651.84	22
240_160593_000103_000000	New feet within my garden go, New fingers stir the sod; A troubadour upon the elm Betrays the solitude.	New feet within my garden go, New fingers stir the sod; A troubadour upon the elm Betrays the solitude.	false	651.84	658.11	18.132172
