55_121068_000000_000000	Chapter 50.	Chapter fifty.	true	13.29	14.31	17
55_121068_000002_000004	My sister is in the garden plucking the dead roses; my brother is reading his two papers, the Presse and the Debats, within six steps of her; for wherever you see Madame Herbault, you have only to look within a circle of four yards and you will find M. Emmanuel, and 'reciprocally,' as they say at the Polytechnic School." At the sound of their steps a young woman of twenty to five and twenty, dressed in a silk morning gown, and busily engaged in plucking the dead leaves off a noisette rose-tree, raised her head. This was Julie, who had become, as the clerk of the house of Thomson & French had predicted, Madame Emmanuel Herbault.	My sister is in the garden plucking the dead roses; my brother is reading his two papers, the Presse and the Debats, within six steps of her; for wherever you see Madame Herbault, you have only to look within a circle of four yards and you will find m Emmanuel, and 'reciprocally,' as they say at the Polytechnic School." At the sound of their steps a young woman of twenty to five and twenty, dressed in a silk morning gown, and busily engaged in plucking the dead leaves off a noisette rose tree, raised her head. This was Julie, who had become, as the clerk of the house of Thomson and French had predicted, Madame Emmanuel Herbault.	false	166.58	202.69	19.218655
55_121068_000002_000005	She uttered a cry of surprise at the sight of a stranger, and Maximilian began to laugh. "Don't disturb yourself, Julie," said he.	She uttered a cry of surprise at the sight of a stranger, and Maximilian began to laugh. "Don't disturb yourself, Julie," said he.	true	203.24	210.165	18
55_121068_000002_000006	"The count has only been two or three days in Paris, but he already knows what a fashionable woman of the Marais is, and if he does not, you will show him."	"The count has only been two or three days in Paris, but he already knows what a fashionable woman of the Marais is, and if he does not, you will show him."	true	210.165	217.77	16
55_121068_000003_000000	"Ah, monsieur," returned Julie, "it is treason in my brother to bring you thus, but he never has any regard for his poor sister.	"Ah, monsieur," returned Julie, "it is treason in my brother to bring you thus, but he never has any regard for his poor sister.	false	217.77	224.56	18
55_121068_000003_000001	Penelon, Penelon!" An old man, who was digging busily at one of the beds, stuck his spade in the earth, and approached, cap in hand, striving to conceal a quid of tobacco he had just thrust into his cheek.	Penelon, Penelon!" An old man, who was digging busily at one of the beds, stuck his spade in the earth, and approached, cap in hand, striving to conceal a quid of tobacco he had just thrust into his cheek.	true	224.66	236.29	20.117695
55_121068_000003_000002	A few locks of gray mingled with his hair, which was still thick and matted, while his bronzed features and determined glance well suited an old sailor who had braved the heat of the equator and the storms of the tropics.	A few locks of gray mingled with his hair, which was still thick and matted, while his bronzed features and determined glance well suited an old sailor who had braved the heat of the equator and the storms of the tropics.	true	236.36	248.59	18
55_121068_000003_000003	"I think you hailed me, Mademoiselle Julie?" said he.	"I think you hailed me, Mademoiselle Julie?" said he.	true	249.53	252.88	17.555962
55_121068_000003_000004	Penelon had still preserved the habit of calling his master's daughter "Mademoiselle Julie," and had never been able to change the name to Madame Herbault.	Penelon had still preserved the habit of calling his master's daughter "Mademoiselle Julie," and had never been able to change the name to Madame Herbault.	true	253.22	261.94	15
55_121068_000003_000005	"Penelon," replied Julie, "go and inform M. Emmanuel of this gentleman's visit, and Maximilian will conduct him to the salon." Then, turning to Monte Cristo,--"I hope you will permit me to leave you for a few minutes," continued she; and without awaiting any reply, disappeared behind a clump of trees, and escaped to the house by a lateral alley.	"Penelon," replied Julie, "go and inform m Emmanuel of this gentleman's visit, and Maximilian will conduct him to the salon." Then, turning to Monte Cristo,--"I hope you will permit me to leave you for a few minutes," continued she; and without awaiting any reply, disappeared behind a clump of trees, and escaped to the house by a lateral alley.	false	262.88	281.17	17
55_121068_000004_000000	"I am sorry to see," observed Monte Cristo to Morrel, "that I cause no small disturbance in your house."	"I am sorry to see," observed Monte Cristo to Morrel, "that I cause no small disturbance in your house."	true	281.9	287.92	15
55_121068_000005_000000	"Look there," said Maximilian, laughing; "there is her husband changing his jacket for a coat.	"Look there," said Maximilian, laughing; "there is her husband changing his jacket for a coat.	true	288.71	293.05	20.71421
55_121068_000005_000001	I assure you, you are well known in the Rue Meslay."	I assure you, you are well known in the Rue Meslay."	false	293.09	297.36	9.786431
55_121068_000006_000000	"Your family appears to be a very happy one," said the count, as if speaking to himself.	"Your family appears to be a very happy one," said the count, as if speaking to himself.	true	297.36	301.51	19
55_121068_000007_000000	"Oh, yes, I assure you, count, they want nothing that can render them happy; they are young and cheerful, they are tenderly attached to each other, and with twenty-five thousand francs a year they fancy themselves as rich as Rothschild."	"Oh, yes, I assure you, count, they want nothing that can render them happy; they are young and cheerful, they are tenderly attached to each other, and with twenty five thousand francs a year they fancy themselves as rich as Rothschild."	true	301.55	313.72	16
55_121068_000008_000000	"Five and twenty thousand francs is not a large sum, however," replied Monte Cristo, with a tone so sweet and gentle, that it went to Maximilian's heart like the voice of a father; "but they will not be content with that.	"Five and twenty thousand francs is not a large sum, however," replied Monte Cristo, with a tone so sweet and gentle, that it went to Maximilian's heart like the voice of a father; "but they will not be content with that.	true	314.06	325.72	16.579317
55_121068_000008_000001	Your brother-in-law is a barrister?	Your brother in law is a barrister?	true	325.88	327.63	16
55_121068_000008_000002	a doctor?"	a doctor?"	true	327.63	328.45	23.669363
55_121068_000009_000000	"He was a merchant, monsieur, and had succeeded to the business of my poor father.	"He was a merchant, monsieur, and had succeeded to the business of my poor father.	true	328.88	332.43	14
55_121068_000009_000001	M. Morrel, at his death, left 500,000 francs, which were divided between my sister and myself, for we were his only children.	M. Morrel, at his death, left five hundred thousand francs, which were divided between my sister and myself, for we were his only children.	false	332.43	340.63	19.924692
55_121068_000009_000002	Her husband, who, when he married her, had no other patrimony than his noble probity, his first-rate ability, and his spotless reputation, wished to possess as much as his wife.	Her husband, who, when he married her, had no other patrimony than his noble probity, his first rate ability, and his spotless reputation, wished to possess as much as his wife.	true	340.94	350.89	19
55_121068_000009_000003	He labored and toiled until he had amassed 250,000 francs; six years sufficed to achieve this object.	He labored and toiled until he had amassed two hundred fifty thousand francs; six years sufficed to achieve this object.	false	351.2	357.63	19
55_121068_000009_000004	Oh, I assure you, sir, it was a touching spectacle to see these young creatures, destined by their talents for higher stations, toiling together, and through their unwillingness to change any of the customs of their paternal house, taking six years to accomplish what less scrupulous people would have effected in two or three.	Oh, I assure you, sir, it was a touching spectacle to see these young creatures, destined by their talents for higher stations, toiling together, and through their unwillingness to change any of the customs of their paternal house, taking six years to accomplish what less scrupulous people would have effected in two or three.	false	357.63	374.37	17
55_121068_000009_000005	Marseilles resounded with their well-earned praises.	Marseilles resounded with their well earned praises.	false	374.37	377.2	16.732384
55_121068_000009_000006	At last, one day, Emmanuel came to his wife, who had just finished making up the accounts.	At last, one day, Emmanuel came to his wife, who had just finished making up the accounts.	true	377.69	382.27	17
55_121068_000009_000007	'Julie,' said he to her, 'Cocles has just given me the last rouleau of a hundred francs; that completes the 250,000 francs we had fixed as the limits of our gains. Can you content yourself with the small fortune which we shall possess for the future?	'Julie,' said he to her, 'Cocles has just given me the last rouleau of a hundred francs; that completes the two hundred fifty thousand francs we had fixed as the limits of our gains. Can you content yourself with the small fortune which we shall possess for the future?	false	382.58	395.47	17
55_121068_000009_000008	Listen to me.	Listen to me.	true	396.62	397.53	16
55_121068_000009_000009	Our house transacts business to the amount of a million a year, from which we derive an income of 40,000 francs. We can dispose of the business, if we please, in an hour, for I have received a letter from M. Delaunay, in which he offers to purchase the good-will of the house, to unite with his own, for 300,000 francs. Advise me what I had better do.'--'Emmanuel,' returned my sister, 'the house of Morrel can only be carried on by a Morrel.	Our house transacts business to the amount of a million a year, from which we derive an income of forty thousand francs. We can dispose of the business, if we please, in an hour, for I have received a letter from m Delaunay, in which he offers to purchase the good will of the house, to unite with his own, for three hundred thousand francs. Advise me what I had better do.'--'Emmanuel,' returned my sister, 'the house of Morrel can only be carried on by a Morrel.	false	397.53	421.9	17
55_121068_000009_000010	Is it not worth 300,000 francs to save our father's name from the chances of evil fortune and failure?'--'I thought so,' replied Emmanuel; 'but I wished to have your advice.'--'This is my counsel:--Our accounts are made up and our bills paid; all we have to do is to stop the issue of any more, and close our office.' This was done instantly.	Is it not worth three hundred thousand francs to save our father's name from the chances of evil fortune and failure?'--'I thought so,' replied Emmanuel; 'but I wished to have your advice.'--'This is my counsel:--Our accounts are made up and our bills paid; all we have to do is to stop the issue of any more, and close our office.' This was done instantly.	true	422.33	441.7	19
55_121068_000009_000011	It was three o'clock; at a quarter past, a merchant presented himself to insure two ships; it was a clear profit of 15,000. francs.	It was three o'clock; at a quarter past, a merchant presented himself to insure two ships; it was a clear profit of fifteen thousand. francs.	true	442.04	449.83	21
55_121068_000009_000012	'Monsieur,' said Emmanuel, 'have the goodness to address yourself to M. Delaunay.	'Monsieur,' said Emmanuel, 'have the goodness to address yourself to m Delaunay.	false	450.38	454.68	18.14328
55_121068_000009_000013	We have quitted business.'--'How long?' inquired the astonished merchant.	We have quitted business.'--'How long?' inquired the astonished merchant.	true	454.68	458.58	18.785395
55_121068_000009_000014	'A quarter of an hour,' was the reply.	'A quarter of an hour,' was the reply.	false	458.58	460.71	18.8242
55_121068_000009_000015	And this is the reason, monsieur," continued Maximilian, "of my sister and brother-in-law having only 25,000 francs a year."	And this is the reason, monsieur," continued Maximilian, "of my sister and brother in law having only twenty five thousand francs a year."	false	460.71	467.86	14
55_121068_000010_000000	Maximilian had scarcely finished his story, during which the count's heart had swelled within him, when Emmanuel entered wearing a hat and coat.	Maximilian had scarcely finished his story, during which the count's heart had swelled within him, when Emmanuel entered wearing a hat and coat.	true	468.05	475.54	18.00575
55_121068_000010_000001	He saluted the count with the air of a man who is aware of the rank of his guest; then, after having led Monte Cristo around the little garden, he returned to the house.	He saluted the count with the air of a man who is aware of the rank of his guest; then, after having led Monte Cristo around the little garden, he returned to the house.	true	475.7	485.11	16
55_121068_000010_000002	A large vase of Japan porcelain, filled with flowers that loaded the air with their perfume, stood in the salon.	A large vase of Japan porcelain, filled with flowers that loaded the air with their perfume, stood in the salon.	true	485.15	491.68	18
55_121068_000010_000003	Julie, suitably dressed, and her hair arranged (she had accomplished this feat in less than ten minutes), received the count on his entrance.	Julie, suitably dressed, and her hair arranged (she had accomplished this feat in less than ten minutes), received the count on his entrance.	true	491.96	499.78	16
55_121068_000010_000004	The songs of the birds were heard in an aviary hard by, and the branches of laburnums and rose acacias formed an exquisite framework to the blue velvet curtains.	The songs of the birds were heard in an aviary hard by, and the branches of laburnums and rose acacias formed an exquisite framework to the blue velvet curtains.	true	500.06	508.96	14
55_121068_000010_000005	Everything in this charming retreat, from the warble of the birds to the smile of the mistress, breathed tranquillity and repose.	Everything in this charming retreat, from the warble of the birds to the smile of the mistress, breathed tranquillity and repose.	true	509.33	516.7	17
55_121068_000010_000006	The count had felt the influence of this happiness from the moment he entered the house, and he remained silent and pensive, forgetting that he was expected to renew the conversation, which had ceased after the first salutations had been exchanged.	The count had felt the influence of this happiness from the moment he entered the house, and he remained silent and pensive, forgetting that he was expected to renew the conversation, which had ceased after the first salutations had been exchanged.	true	517.37	529.9	16
55_121068_000010_000007	The silence became almost painful when, by a violent effort, tearing himself from his pleasing reverie--"Madame," said he at length, "I pray you to excuse my emotion, which must astonish you who are only accustomed to the happiness I meet here; but contentment is so new a sight to me, that I could never be weary of looking at yourself and your husband."	The silence became almost painful when, by a violent effort, tearing himself from his pleasing reverie-"Madame," said he at length, "I pray you to excuse my emotion, which must astonish you who are only accustomed to the happiness I meet here; but contentment is so new a sight to me, that I could never be weary of looking at yourself and your husband."	false	530.39	549.37	18
55_121068_000011_000000	"We are very happy, monsieur," replied Julie; "but we have also known unhappiness, and few have ever undergone more bitter sufferings than ourselves." The Count's features displayed an expression of the most intense curiosity.	"We are very happy, monsieur," replied Julie; "but we have also known unhappiness, and few have ever undergone more bitter sufferings than ourselves." The Count's features displayed an expression of the most intense curiosity.	true	549.98	562.6	18
55_121068_000012_000000	"Oh, all this is a family history, as Chateau-Renaud told you the other day," observed Maximilian.	"Oh, all this is a family history, as Chateau Renaud told you the other day," observed Maximilian.	true	562.88	568.27	14
55_121068_000012_000001	"This humble picture would have but little interest for you, accustomed as you are to behold the pleasures and the misfortunes of the wealthy and industrious; but such as we are, we have experienced bitter sorrows."	"This humble picture would have but little interest for you, accustomed as you are to behold the pleasures and the misfortunes of the wealthy and industrious; but such as we are, we have experienced bitter sorrows."	false	568.7	579.19	14
55_121068_000013_000000	"And God has poured balm into your wounds, as he does into those of all who are in affliction?" said Monte Cristo inquiringly.	"And God has poured balm into your wounds, as he does into those of all who are in affliction?" said Monte Cristo inquiringly.	true	579.92	586.57	14
55_121068_000014_000000	"Yes, count," returned Julie, "we may indeed say he has, for he has done for us what he grants only to his chosen; he sent us one of his angels." The count's cheeks became scarlet, and he coughed, in order to have an excuse for putting his handkerchief to his mouth.	"Yes, count," returned Julie, "we may indeed say he has, for he has done for us what he grants only to his chosen; he sent us one of his angels." The count's cheeks became scarlet, and he coughed, in order to have an excuse for putting his handkerchief to his mouth.	true	587.21	602.74	17.965452
55_121068_000014_000001	"Those born to wealth, and who have the means of gratifying every wish," said Emmanuel, "know not what is the real happiness of life, just as those who have been tossed on the stormy waters of the ocean on a few frail planks can alone realize the blessings of fair weather."	"Those born to wealth, and who have the means of gratifying every wish," said Emmanuel, "know not what is the real happiness of life, just as those who have been tossed on the stormy waters of the ocean on a few frail planks can alone realize the blessings of fair weather."	true	603.41	618.49	17
55_121068_000015_000000	Monte Cristo rose, and without making any answer (for the tremulousness of his voice would have betrayed his emotion) walked up and down the apartment with a slow step.	Monte Cristo rose, and without making any answer (for the tremulousness of his voice would have betrayed his emotion) walked up and down the apartment with a slow step.	true	618.68	628.75	19
55_121068_000016_000000	"Our magnificence makes you smile, count," said Maximilian, who had followed him with his eyes.	"Our magnificence makes you smile, count," said Maximilian, who had followed him with his eyes.	true	629	633.79	16
55_121068_000016_000001	"No, no," returned Monte Cristo, pale as death, pressing one hand on his heart to still its throbbings, while with the other he pointed to a crystal cover, beneath which a silken purse lay on a black velvet cushion.	"No, no," returned Monte Cristo, pale as death, pressing one hand on his heart to still its throbbings, while with the other he pointed to a crystal cover, beneath which a silken purse lay on a black velvet cushion.	true	634.58	647.41	20
55_121068_000016_000002	"I was wondering what could be the significance of this purse, with the paper at one end and the large diamond at the other."	"I was wondering what could be the significance of this purse, with the paper at one end and the large diamond at the other."	false	647.93	653.89	19
55_121068_000017_000000	"Count," replied Maximilian, with an air of gravity, "those are our most precious family treasures."	"Count," replied Maximilian, with an air of gravity, "those are our most precious family treasures."	true	654.05	659.92	17
55_121068_000018_000000	"The stone seems very brilliant," answered the count.	"The stone seems very brilliant," answered the count.	true	660.23	662.74	16.86627
55_121068_000019_000000	"Oh, my brother does not allude to its value, although it has been estimated at 100,000 francs; he means, that the articles contained in this purse are the relics of the angel I spoke of just now."	"Oh, my brother does not allude to its value, although it has been estimated at one hundred thousand francs; he means, that the articles contained in this purse are the relics of the angel I spoke of just now."	false	663.26	673.99	18
55_121068_000020_000000	"This I do not comprehend; and yet I may not ask for an explanation, madame," replied Monte Cristo bowing.	"This I do not comprehend; and yet I may not ask for an explanation, madame," replied Monte Cristo bowing.	true	674.84	681.28	17
55_121068_000020_000001	"Pardon me, I had no intention of committing an indiscretion."	"Pardon me, I had no intention of committing an indiscretion."	true	681.53	684.61	13
55_121068_000021_000000	"Indiscretion,--oh, you make us happy by giving us an excuse for expatiating on this subject.	"Indiscretion,--oh, you make us happy by giving us an excuse for expatiating on this subject.	true	685.58	690.76	17
55_121068_000021_000001	If we wanted to conceal the noble action this purse commemorates, we should not expose it thus to view.	If we wanted to conceal the noble action this purse commemorates, we should not expose it thus to view.	true	691.31	696.55	16
55_121068_000021_000002	Oh, would we could relate it everywhere, and to every one, so that the emotion of our unknown benefactor might reveal his presence."	Oh, would we could relate it everywhere, and to every one, so that the emotion of our unknown benefactor might reveal his presence."	true	696.95	703.53	13
55_121068_000022_000000	"Ah, really," said Monte Cristo in a half-stifled voice.	"Ah, really," said Monte Cristo in a half stifled voice.	false	703.53	707.53	17.909151
55_121068_000023_000000	"Monsieur," returned Maximilian, raising the glass cover, and respectfully kissing the silken purse, "this has touched the hand of a man who saved my father from suicide, us from ruin, and our name from shame and disgrace,--a man by whose matchless benevolence we poor children, doomed to want and wretchedness, can at present hear every one envying our happy lot.	"Monsieur," returned Maximilian, raising the glass cover, and respectfully kissing the silken purse, "this has touched the hand of a man who saved my father from suicide, us from ruin, and our name from shame and disgrace,--a man by whose matchless benevolence we poor children, doomed to want and wretchedness, can at present hear every one envying our happy lot.	true	707.96	728.65	16
55_121068_000023_000001	This letter" (as he spoke, Maximilian drew a letter from the purse and gave it to the count)--"this letter was written by him the day that my father had taken a desperate resolution, and this diamond was given by the generous unknown to my sister as her dowry." Monte Cristo opened the letter, and read it with an indescribable feeling of delight.	This letter" (as he spoke, Maximilian drew a letter from the purse and gave it to the count)--"this letter was written by him the day that my father had taken a desperate resolution, and this diamond was given by the generous unknown to my sister as her dowry." Monte Cristo opened the letter, and read it with an indescribable feeling of delight.	true	728.96	746.98	16
55_121068_000023_000002	It was the letter written (as our readers know) to Julie, and signed "Sinbad the Sailor." "Unknown you say, is the man who rendered you this service--unknown to you?"	It was the letter written (as our readers know) to Julie, and signed "Sinbad the Sailor." "Unknown you say, is the man who rendered you this service-unknown to you?"	true	747.38	757.03	16
55_121068_000024_000000	"Yes; we have never had the happiness of pressing his hand," continued Maximilian.	"Yes; we have never had the happiness of pressing his hand," continued Maximilian.	true	757.67	761.65	17
55_121068_000024_000001	"We have supplicated heaven in vain to grant us this favor, but the whole affair has had a mysterious meaning that we cannot comprehend--we have been guided by an invisible hand,--a hand as powerful as that of an enchanter."	"We have supplicated heaven in vain to grant us this favor, but the whole affair has had a mysterious meaning that we cannot comprehend-we have been guided by an invisible hand,--a hand as powerful as that of an enchanter."	true	761.78	773.77	18
55_121068_000025_000000	"Oh," cried Julie, "I have not lost all hope of some day kissing that hand, as I now kiss the purse which he has touched.	"Oh," cried Julie, "I have not lost all hope of some day kissing that hand, as I now kiss the purse which he has touched.	true	774.65	780.61	15
55_121068_000025_000001	Four years ago, Penelon was at Trieste--Penelon, count, is the old sailor you saw in the garden, and who, from quartermaster, has become gardener--Penelon, when he was at Trieste, saw on the quay an Englishman, who was on the point of embarking on board a yacht, and he recognized him as the person who called on my father the fifth of June, 1829, and who wrote me this letter on the fifth of September.	Four years ago, Penelon was at Trieste-Penelon, count, is the old sailor you saw in the garden, and who, from quartermaster, has become gardener-Penelon, when he was at Trieste, saw on the quay an Englishman, who was on the point of embarking on board a yacht, and he recognized him as the person who called on my father the fifth of June, eighteen twenty nine, and who wrote me this letter on the fifth of September.	false	780.92	803.98	19.109516
55_121068_000025_000002	He felt convinced of his identity, but he did not venture to address him."	He felt convinced of his identity, but he did not venture to address him."	false	804.35	807.94	19
55_121068_000026_000000	"An Englishman," said Monte Cristo, who grew uneasy at the attention with which Julie looked at him.	"An Englishman," said Monte Cristo, who grew uneasy at the attention with which Julie looked at him.	true	808.19	813.19	13
55_121068_000026_000001	"An Englishman you say?"	"An Englishman you say?"	true	813.41	814.75	18
55_121068_000027_000000	"Yes," replied Maximilian, "an Englishman, who represented himself as the confidential clerk of the house of Thomson & French, at Rome.	"Yes," replied Maximilian, "an Englishman, who represented himself as the confidential clerk of the house of Thomson and French, at Rome.	true	815.51	822.16	14
55_121068_000027_000001	It was this that made me start when you said the other day, at M. de Morcerf's, that Messrs.	It was this that made me start when you said the other day, at m de Morcerf's, that Messrs.	false	822.53	827.73	18
55_121068_000027_000002	Thomson & French were your bankers.	Thomson and French were your bankers.	true	827.73	829.53	14
55_121068_000027_000003	That happened, as I told you, in 1829.	That happened, as I told you, in eighteen twenty nine.	true	829.53	832.12	14
55_121068_000027_000004	For God's sake, tell me, did you know this Englishman?"	For God's sake, tell me, did you know this Englishman?"	true	832.31	834.67	13
55_121068_000028_000000	"But you tell me, also, that the house of Thomson & French have constantly denied having rendered you this service?"	"But you tell me, also, that the house of Thomson and French have constantly denied having rendered you this service?"	true	835.64	840.79	11
55_121068_000029_000000	"Yes."	"Yes."	true	841.43	842.2	18.971909
55_121068_000030_000000	"Then is it not probable that this Englishman may be some one who, grateful for a kindness your father had shown him, and which he himself had forgotten, has taken this method of requiting the obligation?"	"Then is it not probable that this Englishman may be some one who, grateful for a kindness your father had shown him, and which he himself had forgotten, has taken this method of requiting the obligation?"	true	843.02	852.82	13
55_121068_000031_000000	"Everything is possible in this affair, even a miracle."	"Everything is possible in this affair, even a miracle."	true	853.58	856.36	17
55_121068_000032_000000	"What was his name?" asked Monte Cristo.	"What was his name?" asked Monte Cristo.	true	856.88	859.03	18
55_121068_000033_000000	"He gave no other name," answered Julie, looking earnestly at the count, "than that at the end of his letter--'Sinbad the Sailor.'"	"He gave no other name," answered Julie, looking earnestly at the count, "than that at the end of his letter-'Sinbad the Sailor.'"	true	859.31	865.69	17
55_121068_000034_000000	"Which is evidently not his real name, but a fictitious one."	"Which is evidently not his real name, but a fictitious one."	true	866.18	869.11	15
55_121068_000035_000000	Then, noticing that Julie was struck with the sound of his voice,--	Then, noticing that Julie was struck with the sound of his voice,--	true	869.96	873.07	14
55_121068_000036_000000	"Tell me," continued he, "was he not about my height, perhaps a little taller, with his chin imprisoned, as it were, in a high cravat; his coat closely buttoned up, and constantly taking out his pencil?"	"Tell me," continued he, "was he not about my height, perhaps a little taller, with his chin imprisoned, as it were, in a high cravat; his coat closely buttoned up, and constantly taking out his pencil?"	true	873.44	884.85	18.835281
55_121068_000037_000000	"Oh, do you then know him?" cried Julie, whose eyes sparkled with joy.	"Oh, do you then know him?" cried Julie, whose eyes sparkled with joy.	false	884.85	889.51	13.887994
55_121068_000038_000000	"No," returned Monte Cristo "I only guessed.	"No," returned Monte Cristo "I only guessed.	true	889.85	892.185	13
55_121068_000038_000001	I knew a Lord Wilmore, who was constantly doing actions of this kind."	I knew a Lord Wilmore, who was constantly doing actions of this kind."	true	892.185	895.66	14.864901
55_121068_000039_000000	"Without revealing himself?"	"Without revealing himself?"	true	896.18	897.79	18.414461
55_121068_000040_000000	"He was an eccentric being, and did not believe in the existence of gratitude."	"He was an eccentric being, and did not believe in the existence of gratitude."	true	898.01	901.99	17
55_121068_000041_000000	"Oh, heaven," exclaimed Julie, clasping her hands, "in what did he believe, then?"	"Oh, heaven," exclaimed Julie, clasping her hands, "in what did he believe, then?"	true	902.42	906.43	16
55_121068_000042_000000	"He did not credit it at the period which I knew him," said Monte Cristo, touched to the heart by the accents of Julie's voice; "but, perhaps, since then he has had proofs that gratitude does exist."	"He did not credit it at the period which I knew him," said Monte Cristo, touched to the heart by the accents of Julie's voice; "but, perhaps, since then he has had proofs that gratitude does exist."	true	907.25	917.8	18
55_121068_000043_000000	"And do you know this gentleman, monsieur?" inquired Emmanuel.	"And do you know this gentleman, monsieur?" inquired Emmanuel.	true	918.32	921.25	12
55_121068_000044_000000	"Oh, if you do know him," cried Julie, "can you tell us where he is--where we can find him?	"Oh, if you do know him," cried Julie, "can you tell us where he is-where we can find him?	true	921.8	926.35	17
55_121068_000044_000001	Maximilian--Emmanuel--if we do but discover him, he must believe in the gratitude of the heart!" Monte Cristo felt tears start into his eyes, and he again walked hastily up and down the room.	Maximilian-Emmanuel-if we do but discover him, he must believe in the gratitude of the heart!" Monte Cristo felt tears start into his eyes, and he again walked hastily up and down the room.	true	926.42	936.94	16
