7128_84121_000000_000000	"I'm afraid I shall have to do the proposing though," Dorothy added.	"I'm afraid I shall have to do the proposing though," Dorothy added.	false	0	1.95	20.0507
7128_84121_000012_000000	"He in?" John Dene jerked his head in the direction of Sir Lyster's room.	"He in?" john Dene jerked his head in the direction of Sir Lyster's room.	false	82.34	88.32	21.604572
7128_84121_000013_000000	"He's--he's rather busy," began Mr. Blair.	"He's-he's rather busy," began mr Blair.	true	88.32	91.23	21.846931
7128_84121_000014_000000	"Oh, shucks!" cried John Dene, and striding across to the door he passed into Sir Lyster's room.	"Oh, shucks!" cried john Dene, and striding across to the door he passed into Sir Lyster's room.	false	91.23	98.5	20.829851
7128_84121_000014_000001	"Morning," he cried, as Sir Lyster looked up from his table.	"Morning," he cried, as Sir Lyster looked up from his table.	true	98.87	102.85	19.542936
7128_84121_000014_000002	"Someone's following me around again," he announced, "and I want to know whether it's you or them."	"Someone's following me around again," he announced, "and I want to know whether it's you or them."	true	103.19	110.86	20.224566
7128_84121_000015_000000	"Me or who?" queried Sir Lyster.	"Me or who?" queried Sir Lyster.	true	111.8	114.61	22.546206
7128_84121_000016_000000	"Whether it's some of your boys, or the other lot."	"Whether it's some of your boys, or the other lot."	true	114.83	118.15	21.823366
7128_84121_000017_000000	After a moment's reflection Sir Lyster seemed to grasp John Dene's meaning.	After a moment's reflection Sir Lyster seemed to grasp john Dene's meaning.	false	118.82	123.73	19.996077
7128_84121_000017_000001	"I'll make enquiry," he said suavely.	"I'll make enquiry," he said suavely.	false	124.31	126.97	22.615244
7128_84121_000018_000000	"Well, you might suggest that it doesn't please me mightily.	"Well, you might suggest that it doesn't please me mightily.	true	127.43	130.78	21
7128_84121_000018_000001	I don't like being trailed in this fashion, so if it's any of your boys just you whistle 'em off."	I don't like being trailed in this fashion, so if it's any of your boys just you whistle 'em off."	true	130.82	139.51	20.357197
7128_84121_000019_000000	"I doubt if you would be aware of the fact if we were having you shadowed, Mr. Dene," said Sir Lyster quietly, "and in any case it would be for your own safety."	"I doubt if you would be aware of the fact if we were having you shadowed, mr Dene," said Sir Lyster quietly, "and in any case it would be for your own safety."	true	140.57	151.32	20.3388
7128_84121_000020_000000	"When John Dene can't take care of himself," was the reply, "he'd better give up and start a dairy."	"When john Dene can't take care of himself," was the reply, "he'd better give up and start a dairy."	false	151.32	158.47	20.399206
7128_84121_000021_000000	"How is the _Destroyer_ progressing?" enquired Sir Lyster with the object of changing the conversation.	"How is the underscore Destroyer underscore progressing?" enquired Sir Lyster with the object of changing the conversation.	false	159.74	166.33	21
7128_84121_000022_000000	"Fine," was the reply.	"Fine," was the reply.	false	166.88	168.73	18.992357
7128_84121_000022_000001	"Your man had better be ready on Friday.	"Your man had better be ready on Friday.	true	168.86	171.49	20.011087
7128_84121_000022_000002	One of my boys'll pick him up, Jim Grant's his name."	One of my boys'll pick him up, Jim Grant's his name."	true	171.65	175.72	21.041859
7128_84121_000023_000000	"Sir Goliath Maggie has appointed Commander Ryles," said Sir Lyster.	"Sir Goliath Maggie has appointed Commander Ryles," said Sir Lyster.	true	176.57	182.02	20.510334
7128_84121_000024_000000	"Well, let him be ready by Friday.	"Well, let him be ready by Friday.	true	182.72	185.2	19.028738
7128_84121_000024_000001	Grant'll pick him up on his way north.	Grant'll pick him up on his way north.	false	185.33	187.93	22.73413
7128_84121_000024_000002	Your man can't mistake him, little chap with red hair all over him.	Your man can't mistake him, little chap with red hair all over him.	false	187.97	193.23	21.500568
7128_84121_000024_000003	Don't forget to call off your boys;" and with that John Dene was gone.	Don't forget to call off your boys;" and with that john Dene was gone.	true	193.23	197.8	20.445065
7128_84121_000025_000000	Ten minutes later Sir Bridgman North found the First Lord sitting at his table, apparently deep in thought.	Ten minutes later Sir Bridgman North found the First Lord sitting at his table, apparently deep in thought.	true	199.16	207.01	21.644876
7128_84121_000026_000000	"I can see John Dene's been here," laughed Sir Bridgman.	"I can see john Dene's been here," laughed Sir Bridgman.	true	208.13	211.57	17
7128_84121_000026_000001	"You and Blair both show all the outward visible signs of having been 'gingered-up.'"	"You and Blair both show all the outward visible signs of having been 'gingered up.'"	true	212	217.6	18
7128_84121_000027_000000	Sir Lyster smiled feebly.	Sir Lyster smiled feebly.	true	218.54	220.69	21.325106
7128_84121_000027_000001	He felt that Sir Bridgman was wearing the joke a little threadbare.	He felt that Sir Bridgman was wearing the joke a little threadbare.	true	220.7	224.56	18
7128_84121_000028_000000	"He's been here about one of his men picking up Ryles on his way to Auchinlech," said Sir Lyster.	"He's been here about one of his men picking up Ryles on his way to Auchinlech," said Sir Lyster.	false	225.86	233.68	21
7128_84121_000028_000001	"A little man with red hair all over him was his description."	"A little man with red hair all over him was his description."	true	234.17	237.75	18
7128_84121_000029_000000	"That seems pretty comprehensive," remarked Sir Bridgman.	"That seems pretty comprehensive," remarked Sir Bridgman.	false	237.75	241.48	20.897161
7128_84121_000029_000001	"He'd better go right through and pick up Ryles at Scapa.	"He'd better go right through and pick up Ryles at Scapa.	false	241.85	245.56	21.119267
7128_84121_000029_000002	They'll probably appreciate him there.	They'll probably appreciate him there.	true	246.08	248.41	21.254057
7128_84121_000029_000003	It's rather dull for 'em."	It's rather dull for 'em."	false	248.48	251.43	17.27563
7128_84121_000030_000000	"I take it that Mr. Dene will follow in a day or two.	"I take it that mr Dene will follow in a day or two.	false	251.43	255.01	18
7128_84121_000030_000001	It----" Sir Lyster paused; then, seeing that he was expected to finish his sentence, he added, "It will really be something of a relief.	It----" Sir Lyster paused; then, seeing that he was expected to finish his sentence, he added, "It will really be something of a relief.	true	255.08	264.165	21.246325
7128_84121_000030_000002	He quite upset Rickards a few days ago over some requisitions.	He quite upset Rickards a few days ago over some requisitions.	false	264.165	268.54	17
7128_84121_000030_000003	I've never known him so annoyed."	I've never known him so annoyed."	true	268.55	271.09	15.570177
7128_84121_000031_000000	"Profane, you mean," laughed Sir Bridgman.	"Profane, you mean," laughed Sir Bridgman.	true	272.03	274.665	17.333784
7128_84121_000031_000001	"What happened?"	"What happened?"	true	274.665	275.71	24.264952
7128_84121_000032_000000	"Apparently he objected to being called a dancing lizard, and told to quit his funny work." Sir Lyster smiled as if finding consolation in the fact that another had suffered at the hands of John Dene.	"Apparently he objected to being called a dancing lizard, and told to quit his funny work." Sir Lyster smiled as if finding consolation in the fact that another had suffered at the hands of john Dene.	true	277.22	289.78	20.004456
7128_84121_000033_000000	"It's nothing to what he did to poor old Rayner," laughed Sir Bridgman. "A dear old chap, you know, but rather of the old blue-water school."	"It's nothing to what he did to poor old Rayner," laughed Sir Bridgman. "A dear old chap, you know, but rather of the old blue water school."	true	290.54	300.79	20.853813
7128_84121_000034_000000	Sir Lyster nodded.	Sir Lyster nodded.	false	301.94	303.54	21.399426
7128_84121_000034_000001	He remembered that Admiral Rayner seemed to take a delight in reminding him of his civilian status.	He remembered that Admiral Rayner seemed to take a delight in reminding him of his civilian status.	true	303.54	309.55	14
7128_84121_000034_000002	With Sir Lyster he was always as technical in his language as a midshipman back from his first cruise.	With Sir Lyster he was always as technical in his language as a midshipman back from his first cruise.	true	309.95	317.05	20
7128_84121_000035_000000	"Rayner wanted to fit up the Toronto with an Archie gun, and John Dene told him to cut it out.	"Rayner wanted to fit up the Toronto with an Archie gun, and john Dene told him to cut it out.	false	317.93	324.64	21.470972
7128_84121_000035_000001	Rayner protested that he was the better judge and all that sort of thing.	Rayner protested that he was the better judge and all that sort of thing.	false	325.04	330.34	18
7128_84121_000035_000002	John Dene ended by telling poor old Rayner that next time he'd better come in a dressing-gown, as he'd be damned if gold bands went with the colour of his skin.	john Dene ended by telling poor old Rayner that next time he'd better come in a dressing gown, as he'd be damned if gold bands went with the colour of his skin.	false	330.59	341.26	18
7128_84121_000035_000003	Rayner hasn't been civil to anyone since;" and Sir Bridgman laughed loudly.	Rayner hasn't been civil to anyone since;" and Sir Bridgman laughed loudly.	false	341.81	347.77	19.273838
7128_84121_000036_000000	"I think my sympathies are with Rayner," smiled Sir Lyster, as Sir Bridgman moved towards the door.	"I think my sympathies are with Rayner," smiled Sir Lyster, as Sir Bridgman moved towards the door.	true	348.8	356.02	19.622763
7128_84121_000036_000001	"Frankly, I don't like John Dene."	"Frankly, I don't like john Dene."	true	356.12	358.75	23.668148
7128_84121_000037_000000	"Don't like him!	"Don't like him!	true	359.48	360.525	20.485188
7128_84121_000037_000001	Why?"	Why?"	true	360.525	361.18	21.971247
7128_84121_000038_000000	"Well," Sir Lyster hesitated for the fraction of a second, "he will persist in treating us as equals."	"Well," Sir Lyster hesitated for the fraction of a second, "he will persist in treating us as equals."	false	362.03	368.8	20.563778
7128_84121_000039_000000	"Now I call that damned nice of him;" and Sir Bridgman left the First Lord gazing at the panels of the door that closed behind him.	"Now I call that damned nice of him;" and Sir Bridgman left the First Lord gazing at the panels of the door that closed behind him.	false	369.5	378	19
7128_84121_000040_000000	Whilst Sir Lyster and Sir Bridgman were discussing his unconventional methods with admirals, John Dene had returned to his office and was working at high pressure.	Whilst Sir Lyster and Sir Bridgman were discussing his unconventional methods with admirals, john Dene had returned to his office and was working at high pressure.	false	378	390.16	19.097734
7128_84121_000040_000001	Sometimes Dorothy wondered if his energy were like the widow's cruse.	Sometimes Dorothy wondered if his energy were like the widow's cruse.	true	390.53	395.35	16
7128_84121_000040_000002	Finishing touches had to be put to everything.	Finishing touches had to be put to everything.	true	395.84	398.92	19
7128_84121_000040_000003	Instructions had to be sent to Blake as to where to pick up Grant and Commander Ryles, and a hundred and one things "rounded-off," as John Dene phrased it.	Instructions had to be sent to Blake as to where to pick up Grant and Commander Ryles, and a hundred and one things "rounded off," as john Dene phrased it.	true	399.23	409.84	19.113642
7128_84121_000041_000000	During his absence, Dorothy was to be at the office each day until lunch time to attend to any matters that might crop up.	During his absence, Dorothy was to be at the office each day until lunch time to attend to any matters that might crop up.	true	411.32	420.04	20.60903
7128_84121_000041_000001	If John Dene required anything, it was arranged that he would wireless for it, and Dorothy was to see that his instructions were carried out to the letter.	If john Dene required anything, it was arranged that he would wireless for it, and Dorothy was to see that his instructions were carried out to the letter.	true	420.17	430.48	18
7128_84121_000042_000000	The quality about John Dene that had most impressed Dorothy was his power of concentration.	The quality about john Dene that had most impressed Dorothy was his power of concentration.	true	431.78	438.31	20.20211
7128_84121_000042_000001	He would become so absorbed in his work that nothing else seemed to have the power of penetrating to his brain.	He would become so absorbed in his work that nothing else seemed to have the power of penetrating to his brain.	true	438.71	445.84	19.82021
7128_84121_000042_000002	A question addressed to him that was unrelated to what was in hand he would ignore, appearing not to have heard it; on the other hand a remark germane to the trend of his thoughts would produce an instant reply.	A question addressed to him that was unrelated to what was in hand he would ignore, appearing not to have heard it; on the other hand a remark germane to the trend of his thoughts would produce an instant reply.	true	446.27	461.02	22
7128_84121_000042_000003	It appeared as if his mind were so attuned as to throw off all extraneous matter.	It appeared as if his mind were so attuned as to throw off all extraneous matter.	true	461.51	467.83	17
7128_84121_000043_000000	His quickness of decision and amazing vitality Dorothy found bewildering, accustomed as she was to the more methodical procedure of a Government department.	His quickness of decision and amazing vitality Dorothy found bewildering, accustomed as she was to the more methodical procedure of a Government department.	true	469.04	479.98	21
7128_84121_000043_000001	"When you know all you're likely to know about a thing, then make up your mind," he had said on one occasion. He had "no use for" a man who would wait until to-morrow afternoon to see how things looked then.	"When you know all you're likely to know about a thing, then make up your mind," he had said on one occasion. He had "no use for" a man who would wait until to morrow afternoon to see how things looked then.	false	481.19	497.05	21.641916
7128_84121_000043_000002	"I sleep on a bed, not on an idea," was another of his remarks that she remembered, and once when commenting upon the cautiousness of Sir Lyster Grayne he had said, "The man who takes risks makes dollars."	"I sleep on a bed, not on an idea," was another of his remarks that she remembered, and once when commenting upon the cautiousness of Sir Lyster Grayne he had said, "The man who takes risks makes dollars."	true	497.57	513.43	21.203297
7128_84121_000044_000000	Gradually Dorothy had fallen under the spell of John Dene's masterful personality.	Gradually Dorothy had fallen under the spell of john Dene's masterful personality.	true	514.64	520.27	19
7128_84121_000044_000001	She found herself becoming critical of others by the simple process of comparing them with the self-centred John Dene.	She found herself becoming critical of others by the simple process of comparing them with the self centred john Dene.	true	520.91	528.94	19
7128_84121_000045_000000	She would smile at his eccentricities, his intolerance, his supreme belief in himself, and his almost fanatical determination to "ginger-up" any and every one in the British Empire whose misfortune it was to exist outside the Dominion of Canada.	She would smile at his eccentricities, his intolerance, his supreme belief in himself, and his almost fanatical determination to "ginger up" any and every one in the British Empire whose misfortune it was to exist outside the Dominion of Canada.	false	529.37	548.65	18
7128_84121_000046_000000	At odd moments he told her much about Canada, and how little that country was understood in England.	At odd moments he told her much about Canada, and how little that country was understood in England.	false	550.04	558.88	20.804728
7128_84121_000046_000001	How blind British statesmen were to the fact that the eyes of many Canadians were turned anxiously towards the great republic upon their borders; how in the rapid growth of the U.S.A. they saw a convincing argument in favour of a tightening of the bonds that bound the Dominion to the Old Country.	How blind British statesmen were to the fact that the eyes of many Canadians were turned anxiously towards the great republic upon their borders; how in the rapid growth of the u s a they saw a convincing argument in favour of a tightening of the bonds that bound the Dominion to the Old Country.	true	559.31	581.53	20
7128_84121_000047_000000	When on the subject he would stride restlessly up and down the room, snapping out short, sharp sentences of protest and criticism.	When on the subject he would stride restlessly up and down the room, snapping out short, sharp sentences of protest and criticism.	true	582.62	591.73	20
7128_84121_000047_000001	His Imperialism was that of the enthusiast.	His Imperialism was that of the enthusiast.	false	592.28	595.42	18.392479
7128_84121_000047_000002	To him a Canada lost to the British Empire meant a British Empire lost to itself.	To him a Canada lost to the British Empire meant a British Empire lost to itself.	true	595.82	602.08	20
7128_84121_000047_000003	His great idea was to see the Old Country control the world by virtue of its power, its brain and its justice.	His great idea was to see the Old Country control the world by virtue of its power, its brain and its justice.	true	602.63	611.5	21
7128_84121_000048_000000	His memory was amazing.	His memory was amazing.	true	612.59	614.47	18.4106
7128_84121_000048_000001	If Dorothy found her notes obscure, and to complete a sentence happened to insert a word that was not the one he had dictated, John Dene would note it as he read the letter with a little grunt, sometimes of approval, sometimes of doubt or correction.	If Dorothy found her notes obscure, and to complete a sentence happened to insert a word that was not the one he had dictated, john Dene would note it as he read the letter with a little grunt, sometimes of approval, sometimes of doubt or correction.	false	614.54	633.97	20.342764
7128_84121_000049_000000	There were times when she felt, as she expressed it to her mother, as if she had been dining off beef essence and oxygen.	There were times when she felt, as she expressed it to her mother, as if she had been dining off beef essence and oxygen.	true	635.21	643.93	20.657593
7128_84121_000049_000001	Sometimes she wondered where John Dene obtained all his amazing vitality.	Sometimes she wondered where john Dene obtained all his amazing vitality.	false	644.51	649.84	15
7128_84121_000049_000002	He was a small eater, seeming to regard meals as a waste of time, and he seldom drank anything but water.	He was a small eater, seeming to regard meals as a waste of time, and he seldom drank anything but water.	true	650.33	658.42	20.388926
7128_84121_000050_000000	At the end of the day Dorothy would feel more tired than she had ever felt before; but she had caught something of John Dene's enthusiasm, which seemed to carry her along and defy the fatigues of the body.	At the end of the day Dorothy would feel more tired than she had ever felt before; but she had caught something of john Dene's enthusiasm, which seemed to carry her along and defy the fatigues of the body.	true	659.78	673.87	20.752285
7128_84121_000050_000001	Had it not been for the Saturday afternoons, and the whole day's rest on Sunday, she felt that she would not have been able to continue.	Had it not been for the Saturday afternoons, and the whole day's rest on Sunday, she felt that she would not have been able to continue.	true	674.63	684.07	19
7128_84121_000051_000000	In his intolerance John Dene was sometimes amusing, sometimes monotonous; but always uncompromising.	In his intolerance john Dene was sometimes amusing, sometimes monotonous; but always uncompromising.	true	685.22	693.28	19.743793
7128_84121_000051_000001	One day Dorothy ventured a word of expostulation.	One day Dorothy ventured a word of expostulation.	true	693.95	698.02	18
7128_84121_000051_000002	He had just been expressing his unmeasured contempt for Mr. Blair.	He had just been expressing his unmeasured contempt for mr Blair.	true	698.39	703.21	20
7128_84121_000052_000000	"You mustn't judge the whole British Navy by Mr. Blair," she said, looking up from her note-book with a smile.	"You mustn't judge the whole British Navy by mr Blair," she said, looking up from her note book with a smile.	true	704.6	711.73	20.471329
7128_84121_000053_000000	"One fool makes many," he had snapped decisively.	"One fool makes many," he had snapped decisively.	false	712.19	715.63	19.88692
7128_84121_000054_000000	"So that if I prove a fool," continued Dorothy quietly, "it convicts you of being a fool also."	"So that if I prove a fool," continued Dorothy quietly, "it convicts you of being a fool also."	true	716.39	722.71	20
7128_84121_000055_000000	"But that's another transaction," he objected.	"But that's another transaction," he objected.	true	723.38	726.25	21.22662
7128_84121_000056_000000	"Is it?" she asked, and became absorbed in her notes.	"Is it?" she asked, and became absorbed in her notes.	true	726.59	730.57	19.94901
7128_84121_000057_000000	For some time John Dene had continued to dictate.	For some time john Dene had continued to dictate.	true	731.33	734.68	21.519783
7128_84121_000057_000001	Presently he stopped in the middle of a letter.	Presently he stopped in the middle of a letter.	true	735.26	738.07	20
7128_84121_000057_000002	"I hadn't figured it out that way," he said.	"I hadn't figured it out that way," he said.	false	738.74	741.13	21
7128_84121_000058_000000	Dorothy looked up at him in surprise, then she realised that he was referring to her previous remark, and that he was making the amende honorable.	Dorothy looked up at him in surprise, then she realised that he was referring to her previous remark, and that he was making the amende honorable.	true	742.04	751.6	19.197493
7128_84121_000059_000000	His manner frequently puzzled Dorothy.	His manner frequently puzzled Dorothy.	true	753.2	755.8	20.770962
7128_84121_000059_000001	At times he seemed unaware of her existence; at others she would, on looking up from her work, find him regarding her intently.	At times he seemed unaware of her existence; at others she would, on looking up from her work, find him regarding her intently.	true	755.93	765.13	20.223057
7128_84121_000059_000002	He showed entire confidence in her discretion, allowing her access to documents of a most private and confidential nature.	He showed entire confidence in her discretion, allowing her access to documents of a most private and confidential nature.	true	765.77	774.34	19
7128_84121_000060_000000	For week after week they worked incessantly.	For week after week they worked incessantly.	true	775.46	778.6	22.908297
7128_84121_000060_000001	Dorothy was astonished at the mass of detail requisite for the commissioning of a ship.	Dorothy was astonished at the mass of detail requisite for the commissioning of a ship.	true	779	784.87	19
7128_84121_000060_000002	Indents for stores and equipment had to be prepared for the Admiralty, reports from Blake read and replied to, requisitions for materials required had to be confirmed, samples obtained, examined, and finally passed, and instructions sent to Blake.	Indents for stores and equipment had to be prepared for the Admiralty, reports from Blake read and replied to, requisitions for materials required had to be confirmed, samples obtained, examined, and finally passed, and instructions sent to Blake.	true	785.69	805.72	21.722628
7128_84121_000060_000003	Strange documents they seemed to Dorothy, rendered bewildering by their technicalities, and flung at her in short, jerky sentences as John Dene strode up and down the room.	Strange documents they seemed to Dorothy, rendered bewildering by their technicalities, and flung at her in short, jerky sentences as john Dene strode up and down the room.	true	806.3	818.26	18
7128_84121_000061_000000	"If you could only see John Dene prancing, mother mine," said Dorothy one day to Mrs. West, "and the demure Dorothy taking down whole dictionaries of funny words she never even knew existed, you'd be a proud woman."	"If you could only see john Dene prancing, mother mine," said Dorothy one day to mrs West, "and the demure Dorothy taking down whole dictionaries of funny words she never even knew existed, you'd be a proud woman."	true	820.07	835.12	19
7128_84121_000062_000000	Mrs. West had smiled at her daughter, as she sat at her favourite place on a stool at her feet.	mrs West had smiled at her daughter, as she sat at her favourite place on a stool at her feet.	false	835.76	842.86	19.40147
7128_84121_000063_000000	"You see, what John Dene wants is managing," continued Dorothy sagely, "and no one understands how to do it except Sir Bridgman and me.	"You see, what john Dene wants is managing," continued Dorothy sagely, "and no one understands how to do it except Sir Bridgman and me.	true	843.74	853.87	20.52126
7128_84121_000063_000001	With us he'll stand without hitching."	With us he'll stand without hitching."	true	854.3	856.96	18.997389
7128_84121_000064_000000	"Stand without what, dear," asked Mrs. West.	"Stand without what, dear," asked mrs West.	true	857.66	861.97	22.838846
7128_84121_000065_000000	"Without hitching," laughed Dorothy.	"Without hitching," laughed Dorothy.	true	862.76	865.33	21.254013
7128_84121_000065_000001	"That's one of his phrases.	"That's one of his phrases.	true	865.7	867.52	20.041958
7128_84121_000065_000002	It means that he's so tame that he'll eat out of your hand;" and she laughed gaily at the puzzled look on her mother's face.	It means that he's so tame that he'll eat out of your hand;" and she laughed gaily at the puzzled look on her mother's face.	true	867.68	876.22	19.895788
7128_84121_000066_000000	"Mr. Dene has been very kind," said Mrs. West presently.	"mr Dene has been very kind," said mrs West presently.	false	877.13	880.3	19.016813
7128_84121_000066_000001	"I should miss him very much if he went away." There was regret in her voice.	"I should miss him very much if he went away." There was regret in her voice.	true	880.67	885.79	19.93949
7128_84121_000067_000000	"Now, mother, no poaching," cried Dorothy.	"Now, mother, no poaching," cried Dorothy.	true	886.91	890.44	21.267284
7128_84121_000067_000001	"John Dene is mine for keeps, and if I let you come out with us and play gooseberry, you mustn't try and cut me out, because," looking critically at her mother, "you could if you liked.	"john Dene is mine for keeps, and if I let you come out with us and play gooseberry, you mustn't try and cut me out, because," looking critically at her mother, "you could if you liked.	true	890.48	903.3	21.661734
7128_84121_000067_000002	Nobody could help loving my little Victorian white mouse;" and she hugged her mother's knee, missing the faint flush of pleasure that her words had aroused.	Nobody could help loving my little Victorian white mouse;" and she hugged her mother's knee, missing the faint flush of pleasure that her words had aroused.	false	903.3	914.71	19.846806
7128_84121_000068_000000	Finding his welcome assured, John Dene had taken to joining Dorothy and her mother on their Saturday and Sunday excursions.	Finding his welcome assured, john Dene had taken to joining Dorothy and her mother on their Saturday and Sunday excursions.	true	916.25	924.25	17
7128_84121_000068_000001	The picnic had proved a great success, and Dorothy had been surprised at the change in John Dene's manner.	The picnic had proved a great success, and Dorothy had been surprised at the change in john Dene's manner.	true	924.83	931.54	20.149641
7128_84121_000068_000002	The hard, keen look of a man who is thinking how he can bring off some deal was entirely absent.	The hard, keen look of a man who is thinking how he can bring off some deal was entirely absent.	false	932.12	938.77	20
7128_84121_000068_000003	He seemed always ready to smile and be amused.	He seemed always ready to smile and be amused.	true	939.5	942.73	19.839128
7128_84121_000068_000004	Once he had almost laughed.	Once he had almost laughed.	false	943.04	945.54	18.157213
7128_84121_000068_000005	She was touched by the way in which he always looked after her mother, his gentleness and solicitude.	She was touched by the way in which he always looked after her mother, his gentleness and solicitude.	true	945.54	952.81	20
7128_84121_000069_000000	"Wessie, darling," Marjorie Rogers had said one day, "you're taming the bear.	"Wessie, darling," Marjorie Rogers had said one day, "you're taming the bear.	true	953.78	959.41	19.96264
7128_84121_000069_000001	He'll dance soon; but, my dear, his boots," and the comical grimace that had accompanied the remark had caused Dorothy to laugh in spite of herself.	He'll dance soon; but, my dear, his boots," and the comical grimace that had accompanied the remark had caused Dorothy to laugh in spite of herself.	true	959.81	971.11	22.092016
7128_84121_000070_000000	"If ever I marry a man," continued Marjorie, "it will be because of his boots.	"If ever I marry a man," continued Marjorie, "it will be because of his boots.	true	972.02	977.47	20.414762
7128_84121_000070_000001	Let him have silk socks and beautiful shoes or boots, and I am as clay in his hands.	Let him have silk socks and beautiful shoes or boots, and I am as clay in his hands.	true	977.57	983.89	18
7128_84121_000070_000002	For such a man I would sin like a 'temporary.'"	For such a man I would sin like a 'temporary.'"	true	984.08	987.37	17
7128_84121_000071_000000	"Marjorie, you're a little idiot," cried Dorothy.	"Marjorie, you're a little idiot," cried Dorothy.	true	988.25	991.9	23.935894
7128_84121_000072_000000	"I saw John Dene a few days ago," continued Marjorie.	"I saw john Dene a few days ago," continued Marjorie.	true	992.75	996.28	19
7128_84121_000073_000000	"Did you?"	"Did you?"	true	996.32	997.17	21.955828
7128_84121_000074_000000	"Yes, and I stopped him."	"Yes, and I stopped him."	true	997.17	998.95	24
7128_84121_000075_000000	"You didn't, Marjorie." There was incredulity in Dorothy's voice.	"You didn't, Marjorie." There was incredulity in Dorothy's voice.	true	999.23	1003.63	21.872768
7128_84121_000076_000000	"Didn't I, though," was the retort.	"Didn't I, though," was the retort.	false	1004.03	1006.62	21.677246
7128_84121_000076_000001	"I gave him a hint, too."	"I gave him a hint, too."	true	1006.62	1008.39	18
7128_84121_000077_000000	"A hint." Dorothy felt uncomfortable.	"A hint." Dorothy felt uncomfortable.	false	1008.39	1012.06	20.584118
7128_84121_000077_000001	The downrightness of Marjorie Rogers was both notorious and embarrassing.	The downrightness of Marjorie Rogers was both notorious and embarrassing.	true	1012.43	1017.79	20.446583
7128_84121_000078_000000	"Well," nonchalantly, "I just said that at the Admiralty men always kept their secretaries well-supplied with flowers and chocolates."	"Well," nonchalantly, "I just said that at the Admiralty men always kept their secretaries well supplied with flowers and chocolates."	true	1018.94	1028.17	20
7128_84121_000079_000000	"You little beast!" cried Dorothy, remembering the chocolates and flowers that had recently been reaching her.	"You little beast!" cried Dorothy, remembering the chocolates and flowers that had recently been reaching her.	false	1028.69	1034.95	20
7128_84121_000079_000001	"I should like to slap you."	"I should like to slap you."	true	1035.14	1036.9	22.770971
7128_84121_000080_000000	"Why not give me one of the chocolates instead," said Marjorie imperturbably.	"Why not give me one of the chocolates instead," said Marjorie imperturbably.	false	1037.87	1043.05	22
7128_84121_000080_000001	"I saw the box directly I came in," nodding at a large white and gold box that Dorothy had unsuccessfully striven to hide beneath a filing-cabinet as Marjorie entered.	"I saw the box directly I came in," nodding at a large white and gold box that Dorothy had unsuccessfully striven to hide beneath a filing cabinet as Marjorie entered.	false	1043.3	1056.31	20
