7240_92202_000000_000000	IV	i v	false	11.1	21.495	24.96895
7240_92202_000021_000004	Although he might well have styled himself one of the noble dead who had died for their country, yet he was not unmindful that he had _screamed_, and this weakness would be apt to recur to him many times in the future.	Although he might well have styled himself one of the noble dead who had died for their country, yet he was not unmindful that he had underscore screamed underscore, and this weakness would be apt to recur to him many times in the future.	false	475.49	490.66	21.944553
7240_92202_000022_000000	We had some quiet plays which we alternated with the more severe and warlike ones.	We had some quiet plays which we alternated with the more severe and warlike ones.	true	491.24	497.11	20
7240_92202_000022_000001	Among them were throwing wands and snow-arrows.	Among them were throwing wands and snow arrows.	true	497.24	501.19	21.813833
7240_92202_000022_000002	In the winter we coasted much.	In the winter we coasted much.	true	501.5	503.95	25.387413
7240_92202_000022_000003	We had no "double-rippers" or toboggans, but six or seven of the long ribs of a buffalo, fastened together at the larger end, answered all practical purposes.	We had no "double rippers" or toboggans, but six or seven of the long ribs of a buffalo, fastened together at the larger end, answered all practical purposes.	false	504.17	516.01	22.847895
7240_92202_000022_000004	Sometimes a strip of bass-wood bark, four feet long and about six inches wide, was used with considerable skill.	Sometimes a strip of bass wood bark, four feet long and about six inches wide, was used with considerable skill.	true	516.5	525.61	23.747095
7240_92202_000022_000005	We stood on one end and held the other, using the slippery inside of the bark for the outside, and thus coasting down long hills with remarkable speed.	We stood on one end and held the other, using the slippery inside of the bark for the outside, and thus coasting down long hills with remarkable speed.	true	525.8	536.95	24.008343
7240_92202_000023_000000	The spinning of tops was one of the all-absorbing winter sports.	The spinning of tops was one of the all absorbing winter sports.	true	537.47	541.81	25
7240_92202_000023_000001	We made our tops heart-shaped of wood, horn or bone.	We made our tops heart shaped of wood, horn or bone.	true	542.03	546.73	24.379574
7240_92202_000023_000002	We whipped them with a long thong of buckskin.	We whipped them with a long thong of buckskin.	true	546.95	550.39	27.765741
7240_92202_000023_000003	The handle was a stick about a foot long and sometimes we whittled the stick to make it spoon-shaped at one end.	The handle was a stick about a foot long and sometimes we whittled the stick to make it spoon shaped at one end.	true	550.61	558.49	24.653633
7240_92202_000024_000000	We played games with these tops--two to fifty boys at one time.	We played games with these tops-two to fifty boys at one time.	true	558.92	564.64	23.777077
7240_92202_000024_000001	Each whips his top until it hums; then one takes the lead and the rest follow in a sort of obstacle race.	Each whips his top until it hums; then one takes the lead and the rest follow in a sort of obstacle race.	true	564.89	573.37	23.297718
7240_92202_000024_000002	The top must spin all the way through.	The top must spin all the way through.	true	573.74	576.85	29.6542
7240_92202_000024_000003	There were bars of snow over which we must pilot our top in the spoon end of our whip; then again we would toss it in the air on to another open spot of ice or smooth snow-crust from twenty to fifty paces away.	There were bars of snow over which we must pilot our top in the spoon end of our whip; then again we would toss it in the air on to another open spot of ice or smooth snow crust from twenty to fifty paces away.	true	577.01	593.53	24.312145
7240_92202_000024_000004	The top that holds out the longest is the winner.	The top that holds out the longest is the winner.	true	593.84	597.22	25.656082
7240_92202_000025_000000	We loved to play in the water.	We loved to play in the water.	true	597.95	600.01	26.12275
7240_92202_000025_000001	When we had no ponies, we often had swimming matches of our own, and sometimes made rafts with which we crossed lakes and rivers.	When we had no ponies, we often had swimming matches of our own, and sometimes made rafts with which we crossed lakes and rivers.	true	600.2	609.79	24.384342
7240_92202_000025_000002	It was a common thing to "duck" a young or timid boy or to carry him into deep water to struggle as best he might.	It was a common thing to "duck" a young or timid boy or to carry him into deep water to struggle as best he might.	true	610.1	618.43	24.004631
7240_92202_000026_000000	I remember a perilous ride with a companion on an unmanageable log, when we were both less than seven years old.	I remember a perilous ride with a companion on an unmanageable log, when we were both less than seven years old.	true	619.01	627.07	22.815722
7240_92202_000026_000001	The older boys had put us on this uncertain bark and pushed us out into the swift current of the river.	The older boys had put us on this uncertain bark and pushed us out into the swift current of the river.	true	627.2	634.09	23.38978
7240_92202_000026_000002	I cannot speak for my comrade in distress, but I can say now that I would rather ride on a swift bronco any day than try to stay on and steady a short log in a river.	I cannot speak for my comrade in distress, but I can say now that I would rather ride on a swift bronco any day than try to stay on and steady a short log in a river.	false	634.34	647.11	20
7240_92202_000026_000003	I never knew how we managed to prevent a shipwreck on that voyage and to reach the shore.	I never knew how we managed to prevent a shipwreck on that voyage and to reach the shore.	true	647.45	653.23	20.144255
7240_92202_000027_000000	We had many curious wild pets.	We had many curious wild pets.	true	653.75	656.35	29.089409
7240_92202_000027_000001	There were young foxes, bears, wolves, raccoons, fawns, buffalo calves and birds of all kinds, tamed by various boys.	There were young foxes, bears, wolves, raccoons, fawns, buffalo calves and birds of all kinds, tamed by various boys.	true	656.48	667.48	25.795599
7240_92202_000027_000002	My pets were different at different times, but I particularly remember one.	My pets were different at different times, but I particularly remember one.	true	667.88	673.24	24.57475
7240_92202_000027_000003	I once had a grizzly bear for a pet, and so far as he and I were concerned, our relations were charming and very close.	I once had a grizzly bear for a pet, and so far as he and I were concerned, our relations were charming and very close.	true	673.52	681.88	22.521278
7240_92202_000027_000004	But I hardly know whether he made more enemies for me or I for him.	But I hardly know whether he made more enemies for me or I for him.	true	682.22	688.39	22.888865
7240_92202_000027_000005	It was his habit to treat every boy unmercifully who injured me.	It was his habit to treat every boy unmercifully who injured me.	true	688.55	693.57	22.771805
7240_92202_000028_000000	V	V	false	693.57	693.72	-20
7240_92202_000029_000000	AN INDIAN BOY'S TRAINING	AN INDIAN BOY'S TRAINING	false	693.72	694.32	-20
7240_92202_000030_000000	Very early, the Indian boy assumed the task of preserving and transmitting the legends of his ancestors and his race.	Very early, the Indian boy assumed the task of preserving and transmitting the legends of his ancestors and his race.	false	694.32	697.77	22.698944
7240_92202_000030_000001	Almost every evening a myth, or a true story of some deed done in the past, was narrated by one of the parents or grand-parents, while the boy listened with parted lips and glistening eyes.	Almost every evening a myth, or a true story of some deed done in the past, was narrated by one of the parents or grand parents, while the boy listened with parted lips and glistening eyes.	false	697.77	700.89	21.902739
7240_92202_000030_000002	On the following evening, he was usually required to repeat it.	On the following evening, he was usually required to repeat it.	false	700.89	701.73	-20
7240_92202_000030_000003	If he was not an apt scholar, he struggled long with his task; but, as a rule, the Indian boy is a good listener and has a good memory, so that the stories were tolerably well mastered.	If he was not an apt scholar, he struggled long with his task; but, as a rule, the Indian boy is a good listener and has a good memory, so that the stories were tolerably well mastered.	false	701.73	704.61	-20
7240_92202_000030_000004	The household became his audience, by which he was alternately criticized and applauded.	The household became his audience, by which he was alternately criticized and applauded.	false	704.61	705.63	-20
