6927_87732_000002_000000	CHAPTER V.	CHAPTER five
6927_87732_000012_000003	I was, in consequence, obliged to write you last night, asking a written reply, which you failed to give!	I was, in consequence, obliged to write you last night, asking a written reply, which you failed to give!
6927_87732_000012_000004	And this evening, instead of being doubly rejoiced at my presence, you, on the contrary, seem doubly annoyed!	And this evening, instead of being doubly rejoiced at my presence, you, on the contrary, seem doubly annoyed!
6927_87732_000013_000001	She pondered whether or not honesty should take the place of deceit--too often practised in women--and concluded to adopt the latter weapon of defence.	She pondered whether or not honesty should take the place of deceit-too often practised in women-and concluded to adopt the latter weapon of defence.
6927_87732_000013_000002	Raising her hazel eyes to his, and clearing the weft of truth that had been mixing with the warp of falsehood to form an answer of plausible texture, fringed with different shades of love, she thus began:	Raising her hazel eyes to his, and clearing the weft of truth that had been mixing with the warp of falsehood to form an answer of plausible texture, fringed with different shades of love, she thus began:
6927_87732_000014_000000	"My dearest and much beloved, I assure you your remarks have astounded me not a little!	"My dearest and much beloved, I assure you your remarks have astounded me not a little!
6927_87732_000014_000001	Your words sting like a wasp, though, I am quite convinced, unintentionally.	Your words sting like a wasp, though, I am quite convinced, unintentionally.
6927_87732_000014_000003	You are about to place me in a position which cannot fail to wring from jealousy and covetousness their flaming torch of abuse.	You are about to place me in a position which cannot fail to wring from jealousy and covetousness their flaming torch of abuse.
6927_87732_000014_000004	Yes, Sir John, on me you have not ceased to lavish every available treasure and token of your unbounded love.	Yes, Sir john, on me you have not ceased to lavish every available treasure and token of your unbounded love.
6927_87732_000014_000005	You have been to me not only a loyal admirer, but a thoroughly upright and estimable example of life's purest treasures.	You have been to me not only a loyal admirer, but a thoroughly upright and estimable example of life's purest treasures.
6927_87732_000014_000006	You have resolved to place me by your side as your equal, whilst wealth in boundless store is thirsting for your touch.	You have resolved to place me by your side as your equal, whilst wealth in boundless store is thirsting for your touch.
6927_87732_000015_000000	"I assure you your allusion to my verbal answer last night is very pronounced, and may be overlooked on the ground of pure disappointment. Our time of singleness is now short, and begging your forgiveness for my seeming neglect or indifference, I hope the tide, which until now has flown so gently, may not be stayed on the eve of entering the harbour of harmony, peace, and love."	"I assure you your allusion to my verbal answer last night is very pronounced, and may be overlooked on the ground of pure disappointment. Our time of singleness is now short, and begging your forgiveness for my seeming neglect or indifference, I hope the tide, which until now has flown so gently, may not be stayed on the eve of entering the harbour of harmony, peace, and love."
