2790_142824_000000_000000	_Time_.--About 1/2 hour.	underscore Time underscore.--About one half hour.	false	88.05	151.62	20.097538
2790_142824_000006_000000	RICH SWEET APPLE PUDDING.	RICH SWEET APPLE PUDDING.	true	242.93	244.87	18.675316
2790_142824_000007_000000	1230.	twelve thirty.	true	245.39	246.52	23.065645
2790_142824_000007_000001	INGREDIENTS.--1/2 lb. of bread crumbs, 1/2 lb. of suet, 1/2 lb. of currants, 1/2 lb. of apples, 1/2 lb. of moist sugar, 6 eggs, 12 sweet almonds, 1/2 saltspoonful of grated nutmeg, 1 wineglassful of brandy.	INGREDIENTS.-minus one half l b of bread crumbs, one half l b of suet, one half l b of currants, one half l b of apples, one half l b of moist sugar, six eggs, twelve sweet almonds, one half saltspoonful of grated nutmeg, one wineglassful of brandy.	false	246.95	265.8	20.685637
2790_142824_000008_000000	_Mode_.--Chop the suet very fine; wash the currants, dry them, and pick away the stalks and pieces of grit; pare, core, and chop the apple, and grate the bread into fine crumbs, and mince the almonds.	underscore Mode underscore.--Chop the suet very fine; wash the currants, dry them, and pick away the stalks and pieces of grit; pare, core, and chop the apple, and grate the bread into fine crumbs, and mince the almonds.	false	265.8	281.77	20.7591
2790_142824_000008_000001	Mix all these ingredients together, adding the sugar and nutmeg; beat up the eggs, omitting the whites of three; stir these to the pudding, and when all is well mixed, add the brandy, and put the pudding into a buttered mould; tie down with a cloth, put it into boiling water, and let it boil for 3 hours.	Mix all these ingredients together, adding the sugar and nutmeg; beat up the eggs, omitting the whites of three; stir these to the pudding, and when all is well mixed, add the brandy, and put the pudding into a buttered mould; tie down with a cloth, put it into boiling water, and let it boil for three hours.	true	282.53	303.6	19.899906
2790_142824_000009_000000	_Time_.--3 hours.	underscore Time underscore.-minus three hours.	false	303.6	306.96	18.076797
2790_142824_000010_000000	_Average cost_, 2s.	underscore Average cost underscore, twos.	false	306.96	309.39	19.890812
2790_142824_000011_000000	_Sufficient_ for 5 or 6 persons.	underscore Sufficient underscore for five or six persons.	false	309.39	312.36	19.920238
2790_142824_000012_000000	_Seasonable_ from August to March.	underscore Seasonable underscore from August to March.	false	312.36	313.5	15.539019
2790_142824_000013_000000	TO PRESERVE APPLES.--The best mode of preserving apples is to carry them at once to the fruit-room, where they should be put upon shelves, covered with white paper, after gently wiping each of the fruit.	TO PRESERVE APPLES.--The best mode of preserving apples is to carry them at once to the fruit room, where they should be put upon shelves, covered with white paper, after gently wiping each of the fruit.	false	313.5	325.57	21.68389
2790_142824_000013_000001	The room should be dry, and well aired, but should not admit the sun.	The room should be dry, and well aired, but should not admit the sun	true	325.67	329.82	20.367744
2790_142824_000013_000002	The finer and larger kinds of fruit should not be allowed to touch each other, but should be kept separate. For this purpose, a number of shallow trays should be provided, supported by racks or stands above each other.	The finer and larger kinds of fruit should not be allowed to touch each other, but should be kept separate. For this purpose, a number of shallow trays should be provided, supported by racks or stands above each other.	false	329.82	340.86	20.842077
2790_142824_000013_000003	In very cold frosty weather, means should be adopted for warming the room.	In very cold frosty weather, means should be adopted for warming the room.	false	340.86	346.15	20.914198
2790_142824_000014_000000	BAKED APPLE PUDDING.	BAKED APPLE PUDDING.	true	348.29	349.53	25.459736
2790_142824_000015_000000	(_Very Good_.)	(underscore Very Good underscore.)	false	349.53	351.33	19.592566
2790_142824_000016_000000	1231.	twelve thirty one.	true	351.33	352.54	21.354805
2790_142824_000016_000001	INGREDIENTS.--5 moderate-sized apples, 2 tablespoonfuls of finely-chopped suet, 3 eggs, 3 tablespoonfuls of flour, 1 pint of milk, a little grated nutmeg.	INGREDIENTS.-minus five moderate sized apples, two tablespoonfuls of finely chopped suet, three eggs, three tablespoonfuls of flour, one pint of milk, a little grated nutmeg.	false	353.12	367.47	20.744772
2790_142824_000017_000000	_Mode_.--Mix the flour to a smooth batter with the milk; add the eggs, which should be well whisked, and put this batter into a well-buttered pie-dish.	underscore Mode underscore.--Mix the flour to a smooth batter with the milk; add the eggs, which should be well whisked, and put this batter into a well buttered pie dish.	false	367.47	378.61	20.480993
2790_142824_000017_000001	Wipe the apples clean, but do not pare them; cut them in halves, and take out the cores; lay them in the batter, rind uppermost; shake the suet on the top, over which, also grate a little nutmeg; bake in a moderate oven for an hour, and cover, when served, with sifted loaf sugar.	Wipe the apples clean, but do not pare them; cut them in halves, and take out the cores; lay them in the batter, rind uppermost; shake the suet on the top, over which, also grate a little nutmeg; bake in a moderate oven for an hour, and cover, when served, with sifted loaf sugar.	false	379.04	399.91	21.161283
2790_142824_000017_000002	This pudding is also very good with the apples pared, sliced, and mixed with the batter.	This pudding is also very good with the apples pared, sliced, and mixed with the batter.	false	400.31	405.54	21.727737
2790_142824_000018_000000	_Time_.--1 hour.	underscore Time underscore.-minus one hour.	false	405.54	407.85	17.676865
2790_142824_000019_000000	_Average cost_, 9d.	underscore Average cost underscore, nine d.	false	407.85	410.46	20.147987
2790_142824_000020_000000	_Sufficient_ for 5 or 6 persons.	underscore Sufficient underscore for five or six persons.	false	410.46	413.23	19.141386
2790_142824_000021_000000	BOILED APPLE PUDDING.	BOILED APPLE PUDDING.	true	414.56	416.05	25.80524
2790_142824_000022_000000	1232.	twelve thirty two.	true	416.81	418.09	23.015484
2790_142824_000022_000001	INGREDIENTS.--Crust No. 1215, apples, sugar to taste, 1 small teaspoonful of finely-minced lemon-peel, 2 tablespoonfuls of lemon-juice.	INGREDIENTS.--Crust no twelve fifteen, apples, sugar to taste, one small teaspoonful of finely minced lemon peel, two tablespoonfuls of lemon juice.	false	418.55	430.89	20.4406
2790_142824_000023_000000	_Mode_.--Make a butter-crust by recipe No. 1213, or a suet one by recipe No. 1215, using for a moderate-sized pudding from 3/4 to 1 lb. of flour, with the other ingredients in proportion.	underscore Mode underscore.--Make a butter crust by recipe no twelve thirteen, or a suet one by recipe no twelve fifteen, using for a moderate sized pudding from three quarters to one l b of flour, with the other ingredients in proportion.	false	430.89	447.52	20.943205
2790_142824_000023_000001	Butter a basin; line it with some of the paste; pare, core, and cut the apples into slices, and fill the basin with these; add the sugar, the lemon-peel and juice, and cover with crust; pinch the edges together, flour the cloth, place it over the pudding, tie it securely, and put it into plenty of fast-boiling water. Let it boil from 1-1/2 to 2-1/2 hours, according to the size; then turn it out of the basin and send to table quickly.	Butter a basin; line it with some of the paste; pare, core, and cut the apples into slices, and fill the basin with these; add the sugar, the lemon peel and juice, and cover with crust; pinch the edges together, flour the cloth, place it over the pudding, tie it securely, and put it into plenty of fast boiling water. Let it boil from one minus one half to two to half a hour, according to the size; then turn it out of the basin and send to table quickly.	false	448.52	480.94	21.542292
2790_142824_000023_000002	Apple puddings may also be boiled in a cloth without a basin; but, when made in this way, must be served without the least delay, as the crust so soon becomes heavy. Apple pudding is a very convenient dish to have when the dinner-hour is rather uncertain, as it does not spoil by being boiled an extra hour; care, however, must be taken to keep it well covered with the water all the time, and not to allow it to stop boiling.	Apple puddings may also be boiled in a cloth without a basin; but, when made in this way, must be served without the least delay, as the crust so soon becomes heavy. Apple pudding is a very convenient dish to have when the dinner hour is rather uncertain, as it does not spoil by being boiled an extra hour; care, however, must be taken to keep it well covered with the water all the time, and not to allow it to stop boiling.	true	481.55	511.86	20.375185
2790_142824_000024_000000	_Time_.--From 1-1/2 to 2-1/2 hours, according to the size of the pudding and the quality of the apples.	underscore Time underscore.--From one minus one half to two to half a hour, according to the size of the pudding and the quality of the apples.	false	511.86	519.99	19.978254
2790_142824_000025_000000	_Average cost_, 10d.	underscore Average cost underscore, ten d.	false	519.99	523.35	16.797108
2790_142824_000026_000000	_Sufficient_, made with 1 lb. of flour, for 7 or 8 persons.	underscore Sufficient underscore, made with one l b of flour, for seven or eight persons.	false	523.35	527.79	19.454256
2790_142824_000027_000000	_Seasonable_ from August to March; but the apples become flavourless and scarce after February.	underscore Seasonable underscore from August to March; but the apples become flavourless and scarce after February.	false	527.79	534.28	20.207714
2790_142824_000028_000000	APPLE TART OR PIE.	APPLE TART o r PIE.	true	536.96	538.72	22.793558
2790_142824_000029_000000	1233.	twelve thirty three.	true	539.48	540.82	20.868902
2790_142824_000029_000001	INGREDIENTS.--Puff-paste No. 1205 or 1206, apples; to every lb.	INGREDIENTS.--Puff paste no twelve o five or twelve o six, apples; to every l b	false	541.25	547.92	20.498648
2790_142824_000029_000002	of unpared apples allow 2 oz. of moist sugar, 1/2 teaspoonful of finely-minced lemon-peel, 1 tablespoonful of lemon-juice.	of unpared apples allow two ounces. of moist sugar, one half teaspoonful of finely minced lemon peel, one tablespoonful of lemon juice.	true	547.92	557.25	21.795086
2790_142824_000030_000000	_Mode_.--Make 1/2 lb. of puff-paste by either of the above-named recipes, place a border of it round the edge of a pie-dish, and fill it with apples pared, cored, and cut into slices; sweeten with moist sugar, add the lemon-peel and juice, and 2 or 3 tablespoonfuls of water; cover with crust, cut it evenly round close to the edge of the pie-dish, and bake in a hot oven from 1/2 to 3/4 hour, or rather longer, should the pie be very large.	underscore Mode underscore.--Make one half l b of puff paste by either of the above named recipes, place a border of it round the edge of a pie dish, and fill it with apples pared, cored, and cut into slices; sweeten with moist sugar, add the lemon peel and juice, and two or three tablespoonfuls of water; cover with crust, cut it evenly round close to the edge of the pie dish, and bake in a hot oven from one half to three quarters hour, or rather longer, should the pie be very large.	false	557.25	591.76	20.648602
2790_142824_000030_000001	When it is three-parts done, take it out of the oven, put the white of an egg on a plate, and, with the blade of a knife, whisk it to a froth; brush the pie over with this, then sprinkle upon it some sifted sugar, and then a few drops of water.	When it is three parts done, take it out of the oven, put the white of an egg on a plate, and, with the blade of a knife, whisk it to a froth; brush the pie over with this, then sprinkle upon it some sifted sugar, and then a few drops of water.	true	593.3	609.4	21.17459
2790_142824_000030_000002	Put the pie back into the oven, and finish baking, and be particularly careful that it does not catch or burn, which it is very liable to do after the crust is iced.	Put the pie back into the oven, and finish baking, and be particularly careful that it does not catch or burn, which it is very liable to do after the crust is iced.	true	609.89	620.56	22.392794
2790_142824_000030_000003	If made with a plain crust, the icing may be omitted.	If made with a plain crust, the icing may be omitted.	true	620.72	624.06	19.983398
2790_142824_000031_000000	_Time_.--1/2 hour before the crust is iced; 10 to 15 minutes afterwards.	underscore Time underscore.-minus one half hour before the crust is iced; ten to fifteen minutes afterwards.	false	624.06	630.54	21.667486
2790_142824_000032_000000	_Average cost_, 9d.	underscore Average cost underscore, nine d.	false	630.54	633.21	22.80946
2790_142824_000033_000000	_Sufficient_.--Allow 2 lbs. of apples for a tart for 6 persons.	underscore Sufficient underscore.--Allow two pounds. of apples for a tart for six persons.	false	633.21	638.49	19.80418
2790_142824_000034_000000	_Seasonable_ from August to March; but the apples become flavourless after February.	underscore Seasonable underscore from August to March; but the apples become flavourless after February.	false	638.49	644.25	20.668514
2790_142824_000035_000000	_Note_.--Many things are suggested for the flavouring of apple pie; some say 2 or 3 tablespoonfuls of beer, others the same quantity of sherry, which very much improve the taste; whilst the old-fashioned addition of a few cloves is, by many persons, preferred to anything else, as also a few slices of quince.	underscore Note underscore.--Many things are suggested for the flavouring of apple pie; some say two or three tablespoonfuls of beer, others the same quantity of sherry, which very much improve the taste; whilst the old-fashioned addition of a few cloves is, by many persons, preferred to anything else, as also a few slices of quince.	false	644.25	666.57	20.345963
2790_142824_000036_000000	[Illustration: QUINCE.]	[Illustration: QUINCE.]	false	666.57	668.79	-20
2790_142824_000037_000000	QUINCES.--The environs of Corinth originally produced the most beautiful quinces, but the plant was subsequently introduced into Gaul with the most perfect success.	QUINCES.--The environs of Corinth originally produced the most beautiful quinces, but the plant was subsequently introduced into Gaul with the most perfect success.	true	668.79	678.85	20.420912
2790_142824_000037_000001	The ancients preserved the fruit by placing it, with its branches and leaves, in a vessel filled with honey or sweet wine, which was reduced to half the quantity by ebullition.	The ancients preserved the fruit by placing it, with its branches and leaves, in a vessel filled with honey or sweet wine, which was reduced to half the quantity by ebullition.	true	679.37	689.89	20.932234
2790_142824_000037_000002	Quinces may be profitably cultivated in this country as a variety with other fruit-trees, and may be planted in espaliers or as standards.	Quinces may be profitably cultivated in this country as a variety with other fruit trees, and may be planted in espaliers or as standards.	true	690.68	699.46	20.680939
2790_142824_000037_000003	A very fine-flavoured marmalade may be prepared from quinces, and a small portion of quince in apple pie much improves its flavour. The French use quinces for flavouring many sauces.	A very fine flavoured marmalade may be prepared from quinces, and a small portion of quince in apple pie much improves its flavour. The French use quinces for flavouring many sauces.	true	700.79	712.78	19.767773
2790_142824_000037_000004	This fruit has the remarkable peculiarity of exhaling an agreeable odour, taken singly; but when in any quantity, or when they are stowed away in a drawer or close room, the pleasant aroma becomes an intolerable stench, although the fruit may be perfectly sound; it is therefore desirable that, as but a few quinces are required for keeping, they should be kept in a high and dry loft, and out of the way of the rooms used by the family.	This fruit has the remarkable peculiarity of exhaling an agreeable odour, taken singly; but when in any quantity, or when they are stowed away in a drawer or close room, the pleasant aroma becomes an intolerable stench, although the fruit may be perfectly sound; it is therefore desirable that, as but a few quinces are required for keeping, they should be kept in a high and dry loft, and out of the way of the rooms used by the family.	false	713.36	740.44	20.632362
2790_142824_000038_000000	CREAMED APPLE TART.	CREAMED APPLE TART.	true	742.4	743.98	19.695639
2790_142824_000039_000000	1234.	twelve thirty four.	true	744.68	745.93	23.345387
2790_142824_000039_000001	INGREDIENTS.--Puff-crust No. 1205 or 1206, apples; to every lb.	INGREDIENTS.--Puff crust no twelve o five or twelve o six, apples; to every l b	false	746.18	752.7	21.764963
2790_142824_000039_000002	of pared and cored apples, allow 2 oz. of moist sugar, 1/2 teaspoonful of minced lemon-peel, 1 tablespoonful of lemon-juice, 1/2 pint of boiled custard.	of pared and cored apples, allow two ounces. of moist sugar, one half teaspoonful of minced lemon peel, one tablespoonful of lemon juice, one half pint of boiled custard.	true	752.7	764.67	21.545353
2790_142824_000040_000000	_Mode_.--Make an apple tart by the preceding recipe, with the exception of omitting the icing.	underscore Mode underscore.--Make an apple tart by the preceding recipe, with the exception of omitting the icing.	false	764.67	770.97	19.717804
2790_142824_000040_000001	When the tart is baked, cut out the middle of the lid or crust, leaving a border all round the dish.	When the tart is baked, cut out the middle of the lid or crust, leaving a border all round the dish.	false	770.97	777.61	21.86627
2790_142824_000040_000002	Fill up with a nicely-made boiled custard, grate a little nutmeg over the top, and the pie is ready for table.	Fill up with a nicely made boiled custard, grate a little nutmeg over the top, and the pie is ready for table.	true	778.04	784.57	21.207682
2790_142824_000040_000003	This tart is usually eaten cold; is rather an old-fashioned dish, but, at the same time, extremely nice.	This tart is usually eaten cold; is rather an old-fashioned dish, but, at the same time, extremely nice.	false	785.24	791.88	21.844652
2790_142824_000041_000000	_Time_.--1/2 to 3/4 hour.	underscore Time underscore.-minus one half to three quarters hour.	false	791.88	796.53	15.471765
2790_142824_000042_000000	_Average cost_, 1s. 3d.	underscore Average cost underscore, ones. three d.	false	796.53	799.53	19.444082
2790_142824_000043_000000	_Sufficient_ for 5 or 6 persons.	underscore Sufficient underscore for five or six persons.	false	799.53	802.14	19.704592
2790_142824_000044_000000	_Seasonable_ from August to March.	underscore Seasonable underscore from August to March.	false	802.14	804.7	20.249746
2790_142824_000045_000000	APPLE SNOWBALLS.	APPLE SNOWBALLS.	true	806.63	808.06	21.411886
2790_142824_000046_000000	1235.	twelve thirty five.	true	808.13	809.59	20.193329
2790_142824_000046_000001	INGREDIENTS.--2 teacupfuls of rice, apples, moist sugar, cloves.	INGREDIENTS.-minus two teacupfuls of rice, apples, moist sugar, cloves.	false	810.23	816.18	21.600842
2790_142824_000047_000000	_Mode_.--Boil the rice in milk until three-parts done; then strain it off, and pare and core the apples without dividing them.	underscore Mode underscore.--Boil the rice in milk until three parts done; then strain it off, and pare and core the apples without dividing them.	false	816.18	825.55	20.579287
2790_142824_000047_000001	Put a small quantity of sugar and a clove into each apple, put the rice round them, and tie each ball separately in a cloth.	Put a small quantity of sugar and a clove into each apple, put the rice round them, and tie each ball separately in a cloth.	true	825.83	833.59	19.299955
2790_142824_000047_000002	Boil until the apples are tender; then take them up, remove the cloths, and serve.	Boil until the apples are tender; then take them up, remove the cloths, and serve.	true	833.87	839.19	19.16533
2790_142824_000048_000000	_Time_.--1/2 hour to boil the rice separately; 1/2 to 1 hour with the apple.	underscore Time underscore.-minus one half hour to boil the rice separately; one half to one hour with the apple.	false	839.19	846.42	19.048586
2790_142824_000049_000000	_Seasonable_ from August to March.	underscore Seasonable underscore from August to March.	false	846.42	849.58	18.99504
2790_142824_000050_000000	APPLE TOURTE OR CAKE.	APPLE t o u r t e o r CAKE.	false	850.64	852.63	21.138424
2790_142824_000051_000000	(_German Recipe_.)	(underscore German Recipe underscore.)	false	852.63	855.33	15.138058
2790_142824_000052_000000	1236.	twelve thirty six.	true	855.33	856.6	20.650846
2790_142824_000052_000001	INGREDIENTS.--10 or 12 apples, sugar to taste, the rind of 1 small lemon, 3 eggs, 1/4 pint of cream or milk, 1/4 lb. of butter, 3/4 lb.	INGREDIENTS.-minus ten or twelve apples, sugar to taste, the rind of one small lemon, three eggs, one quarter pint of cream or milk, one quarter l b of butter, three quarters l b	false	857.09	870.9	19.71841
2790_142824_000052_000002	of good short crust No. 1211, 3 oz. of sweet almonds.	of good short crust no twelve eleven, three ounces. of sweet almonds.	false	870.9	876.54	19.521666
2790_142824_000053_000000	_Mode_.--Pare, core, and cut the apples into small pieces; put sufficient moist sugar to sweeten them into a basin; add the lemon-peel, which should be finely minced, and the cream; stir these ingredients well, whisk the eggs, and melt the butter; mix altogether, add the sliced apple, and let these be well stirred into the mixture.	underscore Mode underscore.--Pare, core, and cut the apples into small pieces; put sufficient moist sugar to sweeten them into a basin; add the lemon peel, which should be finely minced, and the cream; stir these ingredients well, whisk the eggs, and melt the butter; mix altogether, add the sliced apple, and let these be well stirred into the mixture.	false	876.54	898.75	20.534279
2790_142824_000053_000001	Line a large round plate with the paste, place a narrow rim of the same round the outer edge, and lay the apples thickly in the middle.	Line a large round plate with the paste, place a narrow rim of the same round the outer edge, and lay the apples thickly in the middle.	true	899.9	908.62	20.42877
2790_142824_000053_000002	Blanch the almonds, cut them into long shreds, and strew over the top of the apples, and bake from 1/2 to 3/4 hour, taking care that the almonds do not get burnt: when done, strew some sifted sugar over the top, and serve.	Blanch the almonds, cut them into long shreds, and strew over the top of the apples, and bake from one half to three quarters hour, taking care that the almonds do not get burnt: when done, strew some sifted sugar over the top, and serve.	false	908.93	924.61	19.907398
2790_142824_000053_000003	This tourte may be eaten either hot or cold, and is sufficient to fill 2 large-sized plates.	This tourte may be eaten either hot or cold, and is sufficient to fill two large sized plates.	true	924.95	931.2	21.53152
2790_142824_000054_000000	_Time_.--1/2 to 3/4 hour.	underscore Time underscore.-minus one half to three quarters hour.	false	931.2	935.28	18.47094
2790_142824_000055_000000	_Average cost_, 2s. 2d.	underscore Average cost underscore, twos. two d.	false	935.28	938.49	20.750076
2790_142824_000056_000000	_Sufficient_ for 2 large-sized tourtes.	underscore Sufficient underscore for two large sized tourtes.	false	938.49	941.61	20.029818
2790_142824_000057_000000	_Seasonable_ from August to March.	underscore Seasonable underscore from August to March.	false	941.61	944.8	18.712177
2790_142824_000058_000000	APPLES.--No fruit is so universally popular as the apple.	APPLES.--No fruit is so universally popular as the apple.	true	946.43	951.4	20.159458
2790_142824_000058_000001	It is grown extensively for cider, but many sorts are cultivated for the table.	It is grown extensively for cider, but many sorts are cultivated for the table.	true	951.74	956.38	19.753376
2790_142824_000058_000002	The apple, uncooked, is less digestible than the pear; the degree of digestibility varying according to the firmness of its texture and flavour.	The apple, uncooked, is less digestible than the pear; the degree of digestibility varying according to the firmness of its texture and flavour.	true	956.78	965.98	21.540195
2790_142824_000058_000003	Very wholesome and delicious jellies, marmalades, and sweetmeats are prepared from it.	Very wholesome and delicious jellies, marmalades, and sweetmeats are prepared from it.	true	966.56	971.29	19.655996
2790_142824_000058_000004	Entremets of apples are made in great variety.	Entremets of apples are made in great variety.	true	971.75	974.59	21.314224
2790_142824_000058_000005	Apples, when peeled, cored, and well cooked, are a most grateful food for the dyspeptic.	Apples, when peeled, cored, and well cooked, are a most grateful food for the dyspeptic.	true	975.83	981.7	21.52677
2790_142824_000059_000000	ALMA PUDDING.	ALMA PUDDING.	true	984.47	985.54	20.642672
2790_142824_000060_000000	1237.	twelve thirty seven.	true	985.97	987.22	17.515898
2790_142824_000060_000001	INGREDIENTS.--1/2 lb. of fresh butter, 1/2 lb. of powdered sugar, 1/2 lb. of flour, 1/4 lb. of currants, 4 eggs.	INGREDIENTS.-minus one half l b of fresh butter, one half l b of powdered sugar, one half l b of flour, one quarter l b of currants, four eggs.	false	987.77	998.61	20.382278
2790_142824_000061_000000	_Mode_.--Beat the butter to a thick cream, strew in, by degrees, the sugar, and mix both these well together; then dredge the flour in gradually, add the currants, and moisten with the eggs, which should be well beaten.	underscore Mode underscore.--Beat the butter to a thick cream, strew in, by degrees, the sugar, and mix both these well together; then dredge the flour in gradually, add the currants, and moisten with the eggs, which should be well beaten.	false	998.61	1014.55	21.107004
2790_142824_000061_000001	When all the ingredients are well stirred and mixed, butter a mould that will hold the mixture exactly, tie it down with a cloth, put the pudding into boiling water, and boil for 5 hours; when turned out, strew some powdered sugar over it, and serve.	When all the ingredients are well stirred and mixed, butter a mould that will hold the mixture exactly, tie it down with a cloth, put the pudding into boiling water, and boil for five hours; when turned out, strew some powdered sugar over it, and serve.	true	1014.98	1029.51	21.360542
2790_142824_000062_000000	_Time_.--6 hours.	underscore Time underscore.-minus six hours.	false	1029.51	1032.63	17.632317
2790_142824_000062_000001	_Average cost_, 1s. 6d.	underscore Average cost underscore, ones. six d.	false	1032.63	1035.99	20.221563
2790_142824_000063_000000	_Sufficient_ for 5 or 6 persons.	underscore Sufficient underscore for five or six persons.	false	1035.99	1038.57	20.549633
2790_142824_000064_000000	_Seasonable_ at any time.	underscore Seasonable underscore at any time.	false	1038.57	1040.8	17.84996
2790_142824_000065_000000	BAKED APRICOT PUDDING.	BAKED APRICOT PUDDING.	true	1042.19	1043.77	23.033833
2790_142824_000066_000000	1238.	twelve thirty eight.	true	1044.35	1045.69	19.54291
2790_142824_000066_000001	INGREDIENTS.--12 large apricots, 3/4 pint of bread crumbs, 1 pint of milk, 3 oz. of pounded sugar, the yolks of 4 eggs, 1 glass of sherry.	INGREDIENTS.-minus twelve large apricots, three quarters pint of bread crumbs, one pint of milk, three ounces. of pounded sugar, the yolks of four eggs, one glass of sherry.	false	1045.88	1058.31	20.320662
2790_142824_000067_000000	_Mode_.--Make the milk boiling hot, and pour it on to the bread crumbs; when half cold, add the sugar, the well-whisked yolks of the eggs, and the sherry.	underscore Mode underscore.--Make the milk boiling hot, and pour it on to the bread crumbs; when half cold, add the sugar, the well whisked yolks of the eggs, and the sherry.	false	1058.31	1069.96	20.260519
2790_142824_000067_000001	Divide the apricots in half, scald them until they are soft, and break them up with a spoon, adding a few of the kernels, which should be well pounded in a mortar; then mix the fruit and other ingredients together, put a border of paste round the dish, fill with the mixture, and bake the pudding from 1/2 to 3/4 hour.	Divide the apricots in half, scald them until they are soft, and break them up with a spoon, adding a few of the kernels, which should be well pounded in a mortar; then mix the fruit and other ingredients together, put a border of paste round the dish, fill with the mixture, and bake the pudding from one half to three quarters hour.	false	1070.54	1089.93	20.81481
2790_142824_000068_000000	_Time_.--1/2 to 3/4 hour.	underscore Time underscore.-minus one half to three quarters hour.	false	1089.93	1094.65	16.69602
2790_142824_000068_000001	Average cost, in full season, 1s.	Average cost, in full season, ones.	false	1094.87	1098.21	20.541374
2790_142824_000068_000002	6d.	six d.	false	1098.21	1099.17	15
2790_142824_000069_000000	_Sufficient_ for 4 or 5 persons.	underscore Sufficient underscore for four or five persons.	false	1099.17	1101.78	19.950214
2790_142824_000070_000000	_Seasonable_ in August, September, and October.	underscore Seasonable underscore in August, September, and October.	false	1101.78	1105.93	21.35921
2790_142824_000071_000000	APRICOT TART.	APRICOT TART.	true	1105.94	1107.37	21.855377
2790_142824_000072_000000	1239.	twelve thirty nine.	true	1107.62	1108.99	19.926407
2790_142824_000072_000001	INGREDIENTS.--12 or 14 apricots, sugar to taste, puff-paste or short crust.	INGREDIENTS.-minus twelve or fourteen apricots, sugar to taste, puff paste or short crust.	false	1109.18	1115.7	22.061249
2790_142824_000073_000000	_Mode_.--Break the apricots in half, take out the stones, and put them into a pie-dish, in the centre of which place a very small cup or jar, bottom uppermost; sweeten with good moist sugar, but add no water.	underscore Mode underscore.--Break the apricots in half, take out the stones, and put them into a pie dish, in the centre of which place a very small cup or jar, bottom uppermost; sweeten with good moist sugar, but add no water.	false	1115.7	1131.91	19.938456
2790_142824_000073_000001	Line the edge of the dish with paste, put on the cover, and ornament the pie in any of the usual modes.	Line the edge of the dish with paste, put on the cover, and ornament the pie in any of the usual modes.	true	1132.22	1138.72	21.536526
2790_142824_000073_000002	Bake from 1/2 to 3/4 hour, according to size; and if puff-paste is used, glaze it about 10 minutes before the pie is done, and put it into the oven again to set the glaze.	Bake from one half to three quarters hour, according to size; and if puff paste is used, glaze it about ten minutes before the pie is done, and put it into the oven again to set the glaze.	false	1139.21	1151.29	20.591698
2790_142824_000073_000003	Short crust merely requires a little sifted sugar sprinkled over it before being sent to table.	Short crust merely requires a little sifted sugar sprinkled over it before being sent to table.	true	1151.57	1157.4	20.720856
2790_142824_000074_000000	_Time_.--1/2 to 3/4 hour.	underscore Time underscore.-minus one half to three quarters hour.	false	1157.4	1161.78	17.853024
