8011_117866_000001_000000	MOTTO FOR THE MOTHER	MOTTO FOR THE MOTHER
8011_117866_000036_000000	"Is that my sunbeam coming home to roost?" which made Gauvain and the knight both laugh.	"Is that my sunbeam coming home to roost?" which made Gauvain and the knight both laugh.
8011_117866_000041_000000	Sir Tristram was so glad of this that he could scarcely wait for the time to come when he should meet his comrades under the oak tree.	Sir Tristram was so glad of this that he could scarcely wait for the time to come when he should meet his comrades under the oak tree.
8011_117866_000043_000000	"I have found a child whom you must see," he said, as soon as they came together.	"I have found a child whom you must see," he said, as soon as they came together.
8011_117866_000045_000000	"And I," exclaimed Kenneth the Kind.	"And I," exclaimed Kenneth the Kind.
8011_117866_000046_000000	"And I," said Brian the Brave.	"And I," said Brian the Brave.
8011_117866_000047_000000	"And I," said Percival the Pure; and they looked at each other in astonishment.	"And I," said Percival the Pure; and they looked at each other in astonishment.
8011_117866_000048_000000	"I do not know the child's name," continued Gerald the Glad; "but as I was riding in the forest I heard some one singing the merriest song!	"I do not know the child's name," continued Gerald the Glad; "but as I was riding in the forest I heard some one singing the merriest song!
8011_117866_000049_000000	"I rode by the highway," said Sir Brian the Brave, "and I came suddenly upon a crowd of great, rough fellows who were trying to torment a small black dog; and just as I saw them, a little boy ran up, as brave as a knight, and took the dog in his arms, and covered it with his coat.	"I rode by the highway," said Sir Brian the Brave, "and I came suddenly upon a crowd of great, rough fellows who were trying to torment a small black dog; and just as I saw them, a little boy ran up, as brave as a knight, and took the dog in his arms, and covered it with his coat.
8011_117866_000049_000001	The rest ran away when I rode up; but the child stayed, and told me his name--Gauvain."	The rest ran away when I rode up; but the child stayed, and told me his name-Gauvain."
8011_117866_000050_000001	I tarried all night at her cottage, and she told me of his kindness."	I tarried all night at her cottage, and she told me of his kindness."
8011_117866_000051_000000	"I saw a lad at the spring near by," said Percival the Pure.	"I saw a lad at the spring near by," said Percival the Pure.
8011_117866_000051_000002	I should like to find his home and see him there."	I should like to find his home and see him there."
8011_117866_000053_000000	"Come, and I will carry you to the child!" And when the knights followed him, he led them to the home where little Gauvain was working with his mother, as happy as a lark and as gentle as a dove.	"Come, and I will carry you to the child!" And when the knights followed him, he led them to the home where little Gauvain was working with his mother, as happy as a lark and as gentle as a dove.
8011_117866_000057_000000	"Greeting to you!	"Greeting to you!
8011_117866_000057_000001	The king, our wise ruler, has sent us here to see your good child; for a good child is more precious than a kingdom.	The king, our wise ruler, has sent us here to see your good child; for a good child is more precious than a kingdom.
8011_117866_000057_000002	And the king offers him his love and favor if you will let him ride with us to live at the king's court and learn to be a knight."	And the king offers him his love and favor if you will let him ride with us to live at the king's court and learn to be a knight."
8011_117866_000058_000000	Little Gauvain and his mother were greatly astonished.	Little Gauvain and his mother were greatly astonished.
8011_117866_000060_000000	"I cannot spare my good child from my home.	"I cannot spare my good child from my home.
8011_117866_000060_000001	The king's love is precious; but I love my child more than the whole world, and he is dearer to me than a thousand kingdoms."	The king's love is precious; but I love my child more than the whole world, and he is dearer to me than a thousand kingdoms."
8011_117866_000061_000001	All day and all night they rode, and it was the peep of day when they came to the king's highway.	All day and all night they rode, and it was the peep of day when they came to the king's highway.
8011_117866_000061_000002	Then they rode slowly, for they were sad because of their news; but the king rejoiced when he heard it, for he said: "Such a child, with such a mother, will grow into a knight at home."	Then they rode slowly, for they were sad because of their news; but the king rejoiced when he heard it, for he said: "Such a child, with such a mother, will grow into a knight at home."
8011_117866_000062_000000	The king's words were true; for when the king was an old, old man, Gauvain rode to his court and was knighted.	The king's words were true; for when the king was an old, old man, Gauvain rode to his court and was knighted.
8011_117866_000063_000000	Gauvain had a beautiful name of his own then, for he was called "Gauvain the Good"; and he was brave, happy, kind, pure, and true.	Gauvain had a beautiful name of his own then, for he was called "Gauvain the Good"; and he was brave, happy, kind, pure, and true.
