8011_117866_000000_000000	_THE SEARCH FOR A GOOD CHILD_	underscore THE SEARCH FOR A GOOD CHILD underscore	false	8.34	14.91	24.575157
8011_117866_000038_000000	She and little Gauvain lived all alone, for the father had gone to the wars when Gauvain was a baby, and had died fighting for the king.	She and little Gauvain lived all alone, for the father had gone to the wars when Gauvain was a baby, and had died fighting for the king.	false	428.96	436.62	22.26811
8011_117866_000039_000000	She had cows, horses, and pigs, hens, chickens, and a dog and a cat, and one treasure greater than a kingdom, for she had a good child in her house.	She had cows, horses, and pigs, hens, chickens, and a dog and a cat, and one treasure greater than a kingdom, for she had a good child in her house.	false	436.62	446.5	25.008888
8011_117866_000040_000000	Sir Tristram found this out very soon, for little Gauvain ran when he was called, remembered the cat and dog when he had eaten his own supper, and went to bed when he was told, without fretting, although the knight was telling of lions and bears and battles, and everything that little boys like to hear about.	Sir Tristram found this out very soon, for little Gauvain ran when he was called, remembered the cat and dog when he had eaten his own supper, and went to bed when he was told, without fretting, although the knight was telling of lions and bears and battles, and everything that little boys like to hear about.	false	446.6	463.33	22.131699
8011_117866_000041_000000	Sir Tristram was so glad of this that he could scarcely wait for the time to come when he should meet his comrades under the oak tree.	Sir Tristram was so glad of this that he could scarcely wait for the time to come when he should meet his comrades under the oak tree.	true	463.46	470.4	25.166746
8011_117866_000042_000000	[Illustration: And the mother called from the kitchen--'Is that my sunbeam coming home to roost?']	[Illustration: And the mother called from the kitchen-'Is that my sunbeam coming home to roost?']	false	470.4	470.88	26
8011_117866_000043_000000	"I have found a child whom you must see," he said, as soon as they came together.	"I have found a child whom you must see," he said, as soon as they came together.	true	470.88	475.36	22.112322
8011_117866_000044_000000	"And so have I," cried Gerald the Glad.	"And so have I," cried Gerald the Glad.	false	475.58	478.18	23.134844
8011_117866_000045_000000	"And I," exclaimed Kenneth the Kind.	"And I," exclaimed Kenneth the Kind.	true	478.25	481.12	22.988302
8011_117866_000046_000000	"And I," said Brian the Brave.	"And I," said Brian the Brave.	true	481.19	483.55	24.31717
8011_117866_000047_000000	"And I," said Percival the Pure; and they looked at each other in astonishment.	"And I," said Percival the Pure; and they looked at each other in astonishment.	true	483.59	488.05	26.159145
8011_117866_000048_000000	"I do not know the child's name," continued Gerald the Glad; "but as I was riding in the forest I heard some one singing the merriest song!	"I do not know the child's name," continued Gerald the Glad; "but as I was riding in the forest I heard some one singing the merriest song!	true	488.3	496.24	22.180975
8011_117866_000048_000001	And when I looked through the trees I saw a little boy bending under a heavy burden.	And when I looked through the trees I saw a little boy bending under a heavy burden.	false	496.37	500.1	18
8011_117866_000048_000002	I hastened to help him, but when I reached the spot he was gone. I should like to hear him sing again."	I hastened to help him, but when I reached the spot he was gone. I should like to hear him sing again."	false	500.1	505.9	23.76242
8011_117866_000049_000000	"I rode by the highway," said Sir Brian the Brave, "and I came suddenly upon a crowd of great, rough fellows who were trying to torment a small black dog; and just as I saw them, a little boy ran up, as brave as a knight, and took the dog in his arms, and covered it with his coat.	"I rode by the highway," said Sir Brian the Brave, "and I came suddenly upon a crowd of great, rough fellows who were trying to torment a small black dog; and just as I saw them, a little boy ran up, as brave as a knight, and took the dog in his arms, and covered it with his coat.	true	506.06	521.92	24.85596
8011_117866_000049_000001	The rest ran away when I rode up; but the child stayed, and told me his name--Gauvain."	The rest ran away when I rode up; but the child stayed, and told me his name-Gauvain."	true	521.93	528.27	22.22828
8011_117866_000050_000000	"Why!" exclaimed Kenneth the Kind, "he is the boy who brings wood and water for Granny Slowsteps.	"Why!" exclaimed Kenneth the Kind, "he is the boy who brings wood and water for Granny Slowsteps.	false	528.27	534.61	25.434738
8011_117866_000050_000001	I tarried all night at her cottage, and she told me of his kindness."	I tarried all night at her cottage, and she told me of his kindness."	true	534.77	538.45	25.241693
8011_117866_000051_000000	"I saw a lad at the spring near by," said Percival the Pure.	"I saw a lad at the spring near by," said Percival the Pure.	true	538.88	542.83	23.718723
8011_117866_000051_000001	"He hurried to fill his bucket, and some rude clown muddied the water as the child reached down; but he spoke no angry words, and waited patiently till the water was clear again.	"He hurried to fill his bucket, and some rude clown muddied the water as the child reached down; but he spoke no angry words, and waited patiently till the water was clear again.	false	542.93	552.61	24.119183
8011_117866_000051_000002	I should like to find his home and see him there."	I should like to find his home and see him there."	true	552.8	555.37	23.22175
8011_117866_000052_000000	Now Sir Tristram had waited to hear them all; but when Sir Percival had finished, he arose and cried:--	Now Sir Tristram had waited to hear them all; but when Sir Percival had finished, he arose and cried:--	false	555.59	561.61	25.758316
8011_117866_000053_000000	"Come, and I will carry you to the child!" And when the knights followed him, he led them to the home where little Gauvain was working with his mother, as happy as a lark and as gentle as a dove.	"Come, and I will carry you to the child!" And when the knights followed him, he led them to the home where little Gauvain was working with his mother, as happy as a lark and as gentle as a dove.	true	561.92	572.74	23.367287
8011_117866_000054_000000	It was noonday, and the sun was shining brightly on the shields of the knights, and their plumes were waving in the breeze; and when they reached the gate, Sir Tristram blew a loud blast on a silver trumpet.	It was noonday, and the sun was shining brightly on the shields of the knights, and their plumes were waving in the breeze; and when they reached the gate, Sir Tristram blew a loud blast on a silver trumpet.	false	572.9	584.04	21.846151
8011_117866_000055_000000	Then all the hens began to cackle, and the dog began to bark, and the horse began to neigh, and the pigs began to grunt; for they knew that it was a great day.	Then all the hens began to cackle, and the dog began to bark, and the horse began to neigh, and the pigs began to grunt; for they knew that it was a great day.	false	584.04	593.89	23.333914
8011_117866_000055_000001	And little Gauvain and his mother ran out to see what the matter was.	And little Gauvain and his mother ran out to see what the matter was.	true	594.14	597.51	16
8011_117866_000056_000000	When the knights saw Gauvain they looked at each other, and every one cried out: "He is the child!" And Tristram the True said to the mother:--	When the knights saw Gauvain they looked at each other, and every one cried out: "He is the child!" And Tristram the True said to the mother:--	false	597.51	605.95	24.503368
8011_117866_000057_000000	"Greeting to you!	"Greeting to you!	true	606.29	607.57	25.156418
8011_117866_000057_000001	The king, our wise ruler, has sent us here to see your good child; for a good child is more precious than a kingdom.	The king, our wise ruler, has sent us here to see your good child; for a good child is more precious than a kingdom.	true	607.73	615.19	22.27393
8011_117866_000057_000002	And the king offers him his love and favor if you will let him ride with us to live at the king's court and learn to be a knight."	And the king offers him his love and favor if you will let him ride with us to live at the king's court and learn to be a knight."	true	615.35	622.48	21.61653
8011_117866_000058_000000	Little Gauvain and his mother were greatly astonished.	Little Gauvain and his mother were greatly astonished.	true	622.88	625.725	21.408422
8011_117866_000058_000001	They could scarcely believe that such a thing had happened; for it seemed very wonderful and beautiful that the king should send messengers to little Gauvain.	They could scarcely believe that such a thing had happened; for it seemed very wonderful and beautiful that the king should send messengers to little Gauvain.	false	625.725	633.82	23.718315
8011_117866_000058_000002	After the knights had repeated it, though, they understood; and little Gauvain ran to his mother and put his arms around her; for he knew that if he went with the knights he must leave her, and the mother knew that if she let him go she must live without him.	After the knights had repeated it, though, they understood; and little Gauvain ran to his mother and put his arms around her; for he knew that if he went with the knights he must leave her, and the mother knew that if she let him go she must live without him.	false	634.04	648.61	24.248152
8011_117866_000059_000000	The rooster up on the fence crowed a very loud "Cock-a-doodle-doo!" to let everybody know he belonged to Gauvain; and a little chick that had lost its mother cried, "Peep! peep!" And when the mother heard this, she answered the knights and said:--	The rooster up on the fence crowed a very loud "Cock a doodle doo!" to let everybody know he belonged to Gauvain; and a little chick that had lost its mother cried, "Peep! peep!" And when the mother heard this, she answered the knights and said:--	false	648.98	663.22	22.018799
8011_117866_000060_000000	"I cannot spare my good child from my home.	"I cannot spare my good child from my home.	true	663.38	666.19	24.546785
8011_117866_000060_000001	The king's love is precious; but I love my child more than the whole world, and he is dearer to me than a thousand kingdoms."	The king's love is precious; but I love my child more than the whole world, and he is dearer to me than a thousand kingdoms."	true	666.29	673.48	22.226501
8011_117866_000061_000000	Little Gauvain was so glad when he heard her answer that he looked again at the knights with a smiling face, and waved his hand to them as they rode away.	Little Gauvain was so glad when he heard her answer that he looked again at the knights with a smiling face, and waved his hand to them as they rode away.	false	673.67	681.52	23.419207
8011_117866_000061_000001	All day and all night they rode, and it was the peep of day when they came to the king's highway.	All day and all night they rode, and it was the peep of day when they came to the king's highway.	true	681.86	686.92	23.892866
8011_117866_000061_000002	Then they rode slowly, for they were sad because of their news; but the king rejoiced when he heard it, for he said: "Such a child, with such a mother, will grow into a knight at home."	Then they rode slowly, for they were sad because of their news; but the king rejoiced when he heard it, for he said: "Such a child, with such a mother, will grow into a knight at home."	true	687.29	697.66	23.951788
8011_117866_000062_000000	The king's words were true; for when the king was an old, old man, Gauvain rode to his court and was knighted.	The king's words were true; for when the king was an old, old man, Gauvain rode to his court and was knighted.	true	698.24	705.16	21.517572
8011_117866_000063_000000	Gauvain had a beautiful name of his own then, for he was called "Gauvain the Good"; and he was brave, happy, kind, pure, and true.	Gauvain had a beautiful name of his own then, for he was called "Gauvain the Good"; and he was brave, happy, kind, pure, and true.	true	705.47	714.28	23.835575
8011_117866_000063_000001	And he was beloved by all the people in the world, but most of all by his mother.	And he was beloved by all the people in the world, but most of all by his mother.	false	714.47	733.56	22.378553
