1422_149735_000000_000000	CHAPTER VII	CHAPTER seven	false	0.81	25.59	22.758017
1422_149735_000017_000004	I never saw much shooting, but if that wasn't the nearest to miss I ever want to see!	I never saw much shooting, but if that wasn't the nearest to miss I ever want to see!	true	354.05	359.11	23.36932
1422_149735_000017_000005	Scared the life near out of me body with the fear that she'd drop one of them.	Scared the life near out of me body with the fear that she'd drop one of them.	true	359.54	363.55	26.547428
1422_149735_000017_000006	As long as I'd no one to help me but a couple of women that didn't dare be mixed up in it, all I could do was to let them get away."	As long as I'd no one to help me but a couple of women that didn't dare be mixed up in it, all I could do was to let them get away."	false	363.8	372.72	21.20895
1422_149735_000018_000000	"Now, will they come back?" asked McLean.	"Now, will they come back?" asked McLean.	true	372.72	375.34	26.83093
1422_149735_000019_000000	"Of course!" said Freckles.	"Of course!" said Freckles.	true	375.95	377.86	24.030655
1422_149735_000019_000001	"They're not going to be taking that.	"They're not going to be taking that.	true	378.17	379.96	27.523867
1422_149735_000019_000002	You could stake your life on it, they'll be coming back.	You could stake your life on it, they'll be coming back.	true	380.33	383.14	24.953358
1422_149735_000019_000003	At least, Black Jack will.	At least, Black Jack will.	true	383.45	385.33	29.498466
1422_149735_000019_000004	Wessner may not have the pluck, unless he is half drunk.	Wessner may not have the pluck, unless he is half drunk.	true	385.43	389.05	22.029295
1422_149735_000019_000005	Then he'd be a terror.	Then he'd be a terror.	true	389.18	390.46	21.852207
1422_149735_000019_000006	And the next time--" Freckles hesitated.	And the next time-" Freckles hesitated.	true	391.19	394.42	29.170301
1422_149735_000020_000000	"What?"	"What?"	true	394.91	395.59	31.150015
1422_149735_000021_000000	"It will be a question of who shoots first and straightest."	"It will be a question of who shoots first and straightest."	false	396.32	399.4	23.568132
1422_149735_000022_000000	"Then the only thing for me to do is to double the guard and bring the gang here the first minute possible.	"Then the only thing for me to do is to double the guard and bring the gang here the first minute possible.	true	400.46	405.91	19.84116
1422_149735_000022_000001	As soon as I feel that we have the rarest of the stuff out below, we will come.	As soon as I feel that we have the rarest of the stuff out below, we will come.	true	406.22	411.22	22.951267
1422_149735_000022_000002	The fact is, in many cases, until it is felled it's difficult to tell what a tree will prove to be.	The fact is, in many cases, until it is felled it's difficult to tell what a tree will prove to be.	false	411.44	417.73	25.614435
1422_149735_000022_000003	It won't do to leave you here longer alone.	It won't do to leave you here longer alone.	true	418.07	421.12	23.285978
1422_149735_000022_000004	Jack has been shooting twenty years to your one, and it stands to reason that you are no match for him.	Jack has been shooting twenty years to your one, and it stands to reason that you are no match for him.	true	421.16	427.09	25.11599
1422_149735_000022_000005	Who of the gang would you like best to have with you?"	Who of the gang would you like best to have with you?"	true	427.46	430.12	19.212654
1422_149735_000023_000000	"No one, sir," said Freckles emphatically.	"No one, sir," said Freckles emphatically.	true	430.94	433.78	24.004227
1422_149735_000023_000001	"Next time is where I run. I won't try to fight them alone.	"Next time is where I run. I won't try to fight them alone.	false	434.18	438.49	26.399267
1422_149735_000023_000002	I'll just be getting wind of them, and then make tracks for you.	I'll just be getting wind of them, and then make tracks for you.	true	438.77	442.48	27.8114
1422_149735_000023_000003	I'll need to come like lightning, and Duncan has no extra horse, so I'm thinking you'd best get me one--or perhaps a wheel would be better.	I'll need to come like lightning, and Duncan has no extra horse, so I'm thinking you'd best get me one-or perhaps a wheel would be better.	true	443.09	451.69	23.453936
1422_149735_000023_000004	I used to do extra work for the Home doctor, and he would let me take his bicycle to ride around the place.	I used to do extra work for the Home doctor, and he would let me take his bicycle to ride around the place.	true	452.3	458.38	28.122137
1422_149735_000023_000005	And at times the head nurse would loan me his for an hour.	And at times the head nurse would loan me his for an hour.	true	458.78	462.1	19
1422_149735_000023_000006	A wheel would cost less and be faster than a horse, and would take less care.	A wheel would cost less and be faster than a horse, and would take less care.	true	462.35	467.29	24.69464
1422_149735_000023_000007	I believe, if you are going to town soon, you had best pick up any kind of an old one at some second-hand store, for if I'm ever called to use it in a hurry there won't be the handlebars left after crossing the corduroy."	I believe, if you are going to town soon, you had best pick up any kind of an old one at some second-hand store, for if I'm ever called to use it in a hurry there won't be the handlebars left after crossing the corduroy."	true	467.69	480.16	22.376108
1422_149735_000024_000000	"Yes," said McLean; "and if you didn't have a first-class wheel, you never could cross the corduroy on it at all."	"Yes," said McLean; "and if you didn't have a first-class wheel, you never could cross the corduroy on it at all."	true	480.71	487.18	24.102991
1422_149735_000025_000000	As they walked to the cabin, McLean insisted on another guard, but Freckles was stubbornly set on fighting his battle alone.	As they walked to the cabin, McLean insisted on another guard, but Freckles was stubbornly set on fighting his battle alone.	true	488.09	495.52	23.686121
1422_149735_000025_000001	He made one mental condition.	He made one mental condition.	true	495.86	497.8	19.728909
1422_149735_000025_000002	If the Bird Woman was going to give up the Little Chicken series, he would yield to the second guard, solely for the sake of her work and the presence of the Angel in the Limberlost.	If the Bird Woman was going to give up the Little Chicken series, he would yield to the second guard, solely for the sake of her work and the presence of the Angel in the Limberlost.	true	498.14	508.6	25.897547
1422_149735_000025_000003	He did not propose to have a second man unless it were absolutely necessary, for he had been alone so long that he loved the solitude, his chickens, and flowers.	He did not propose to have a second man unless it were absolutely necessary, for he had been alone so long that he loved the solitude, his chickens, and flowers.	true	509.15	519.67	22.447437
1422_149735_000025_000004	The thought of having a stranger to all his ways come and meddle with his arrangements, frighten his pets, pull his flowers, and interrupt him when he wanted to study, so annoyed him that he was blinded to his real need for help.	The thought of having a stranger to all his ways come and meddle with his arrangements, frighten his pets, pull his flowers, and interrupt him when he wanted to study, so annoyed him that he was blinded to his real need for help.	true	519.98	533.47	21.444307
1422_149735_000026_000000	With McLean it was a case of letting his sober, better judgment be overridden by the boy he was growing so to love that he could not endure to oppose him, and to have Freckles keep his trust and win alone meant more than any money the Boss might lose.	With McLean it was a case of letting his sober, better judgment be overridden by the boy he was growing so to love that he could not endure to oppose him, and to have Freckles keep his trust and win alone meant more than any money the Boss might lose.	true	533.78	549.1	22.127867
1422_149735_000027_000000	The following morning McLean brought the wheel, and Freckles took it to the trail to test it.	The following morning McLean brought the wheel, and Freckles took it to the trail to test it.	true	549.77	555.13	22.102827
1422_149735_000027_000001	It was new, chainless, with as little as possible to catch in hurried riding, and in every way the best of its kind. Freckles went skimming around the trail on it on a preliminary trip before he locked it in his case and started his minute examination of his line on foot.	It was new, chainless, with as little as possible to catch in hurried riding, and in every way the best of its kind. Freckles went skimming around the trail on it on a preliminary trip before he locked it in his case and started his minute examination of his line on foot.	false	555.71	573.55	23.218018
1422_149735_000027_000002	He glanced around his room as he left it, and then stood staring.	He glanced around his room as he left it, and then stood staring.	true	574.04	578.8	18.381924
1422_149735_000028_000000	On the moss before his prettiest seat lay the Angel's hat.	On the moss before his prettiest seat lay the Angel's hat.	false	579.29	583.42	22.443987
1422_149735_000028_000001	In the excitement of yesterday all of them had forgotten it.	In the excitement of yesterday all of them had forgotten it.	true	583.91	587.44	21.040089
1422_149735_000028_000002	He went and picked it up, oh! so carefully, gazing at it with hungry eyes, but touching it only to carry it to his case, where he hung it on the shining handlebar of the new wheel and locked it among his treasures.	He went and picked it up, oh! so carefully, gazing at it with hungry eyes, but touching it only to carry it to his case, where he hung it on the shining handlebar of the new wheel and locked it among his treasures.	true	587.81	601.45	22.159409
1422_149735_000028_000003	Then he went to the trail, with a new expression on his face and a strange throbbing in his heart.	Then he went to the trail, with a new expression on his face and a strange throbbing in his heart.	true	602.27	608.2	23.65896
1422_149735_000028_000004	He was not in the least afraid of anything that morning.	He was not in the least afraid of anything that morning.	true	608.6	611.65	21.325937
1422_149735_000028_000005	He felt he was the veriest Daniel, but all his lions seemed weak and harmless.	He felt he was the veriest Daniel, but all his lions seemed weak and harmless.	false	612.02	617.35	22.003994
1422_149735_000029_000000	What Black Jack's next move would be he could not imagine, but that there would be a move of some kind was certain.	What Black Jack's next move would be he could not imagine, but that there would be a move of some kind was certain.	true	618.11	624.82	21.37855
1422_149735_000029_000001	The big bully was not a man to give up his purpose, or to have the hat swept from his head with a bullet and bear it meekly.	The big bully was not a man to give up his purpose, or to have the hat swept from his head with a bullet and bear it meekly.	true	624.89	632.14	23.315533
1422_149735_000029_000002	Moreover, Wessner would cling to his revenge with a Dutchman's singleness of mind.	Moreover, Wessner would cling to his revenge with a Dutchman's singleness of mind.	true	632.66	637.66	21.187927
1422_149735_000030_000000	Freckles tried to think connectedly, but there were too many places on the trail where the Angel's footprints were vet visible.	Freckles tried to think connectedly, but there were too many places on the trail where the Angel's footprints were vet visible.	false	638.33	644.92	24.189003
1422_149735_000030_000001	She had stepped in one mucky spot and left a sharp impression.	She had stepped in one mucky spot and left a sharp impression.	true	645.26	649.36	27.15452
1422_149735_000030_000002	The afternoon sun had baked it hard, and the horses' hoofs had not obliterated any part of it, as they had in so many places.	The afternoon sun had baked it hard, and the horses' hoofs had not obliterated any part of it, as they had in so many places.	true	649.64	657.64	21.48367
1422_149735_000030_000003	Freckles stood fascinated, gazing at it.	Freckles stood fascinated, gazing at it.	true	658.13	661	25.330196
1422_149735_000030_000004	He measured it lovingly with his eye.	He measured it lovingly with his eye.	false	661.34	663.93	21.776228
1422_149735_000030_000005	He would not have ventured a caress on her hat any more than on her person, but this was different. Surely a footprint on a trail might belong to anyone who found and wanted it.	He would not have ventured a caress on her hat any more than on her person, but this was different. Surely a footprint on a trail might belong to anyone who found and wanted it.	true	663.93	674.86	22.32414
1422_149735_000030_000006	He stooped under the wires and entered the swamp.	He stooped under the wires and entered the swamp.	true	675.38	678.37	23.64315
1422_149735_000030_000007	With a little searching, he found a big piece of thick bark loose on a log and carefully peeling it, carried it out and covered the print so that the first rain would not obliterate it.	With a little searching, he found a big piece of thick bark loose on a log and carefully peeling it, carried it out and covered the print so that the first rain would not obliterate it.	false	678.71	690.42	23.268324
1422_149735_000031_000000	When he reached his room, he tenderly laid the hat upon his bookshelf, and to wear off his awkwardness, mounted his wheel and went spinning on trail again.	When he reached his room, he tenderly laid the hat upon his bookshelf, and to wear off his awkwardness, mounted his wheel and went spinning on trail again.	true	690.42	699.28	22.373714
1422_149735_000031_000001	It was like flying, for the path was worn smooth with his feet and baked hard with the sun almost all the way.	It was like flying, for the path was worn smooth with his feet and baked hard with the sun almost all the way.	true	699.68	706.6	23.168997
1422_149735_000031_000002	When he came to the bark, he veered far to one side and smiled at it in passing.	When he came to the bark, he veered far to one side and smiled at it in passing.	true	707.06	712.42	24.140253
1422_149735_000031_000003	Suddenly he was off the wheel, kneeling beside it.	Suddenly he was off the wheel, kneeling beside it.	true	713.18	716.2	22.05663
1422_149735_000031_000004	He removed his hat, carefully lifted the bark, and gazed lovingly at the imprint.	He removed his hat, carefully lifted the bark, and gazed lovingly at the imprint.	true	716.51	722.29	23.206648
1422_149735_000032_000000	"I wonder what she was going to say of me voice," he whispered.	"I wonder what she was going to say of me voice," he whispered.	true	723.29	726.76	23.347828
1422_149735_000032_000001	"She never got it said, but from the face of her, I believe she was liking it fairly well.	"She never got it said, but from the face of her, I believe she was liking it fairly well.	true	727.19	732.7	20.82187
1422_149735_000032_000002	Perhaps she was going to say that singing was the big thing I was to be doing.	Perhaps she was going to say that singing was the big thing I was to be doing.	false	733.13	737.56	25
1422_149735_000032_000003	That's what they all thought at the Home.	That's what they all thought at the Home.	true	737.99	740.14	27.236757
1422_149735_000032_000004	Well, if it is, I'll just shut me eyes, think of me little room, the face of her watching, and the heart of her beating, and I'll raise them.	Well, if it is, I'll just shut me eyes, think of me little room, the face of her watching, and the heart of her beating, and I'll raise them.	true	740.45	750.19	20.892439
1422_149735_000032_000005	Damn them, if singing will do it, I'll raise them from the benches!"	Damn them, if singing will do it, I'll raise them from the benches!"	true	750.29	754	21.361746
1422_149735_000033_000000	With this dire threat, Freckles knelt, as at a wayside spring, and deliberately laid his lips on the footprint.	With this dire threat, Freckles knelt, as at a wayside spring, and deliberately laid his lips on the footprint.	true	754.64	761.56	24.498798
1422_149735_000033_000001	Then he arose, appearing as if he had been drinking at the fountain of gladness.	Then he arose, appearing as if he had been drinking at the fountain of gladness.	true	762.08	766.65	20.902645
1422_149735_000034_000000	CHAPTER VIII	CHAPTER eight	false	766.65	766.92	-20
1422_149735_000035_000000	Wherein Freckles Meets a Man of Affairs and Loses Nothing by the Encounter	Wherein Freckles Meets a Man of Affairs and Loses Nothing by the Encounter	false	766.92	768.21	100
1422_149735_000036_000000	"Weel, I be drawed on!" exclaimed Mrs. Duncan.	"Weel, I be drawed on!" exclaimed mrs Duncan.	false	768.21	768.21	
1422_149735_000037_000000	Freckles stood before her, holding the Angel's hat.	Freckles stood before her, holding the Angel's hat.	false	768.21	768.21	
1422_149735_000038_000000	"I've been thinking this long time that ye or Duncan would see that sunbonnets werena braw enough for a woman of my standing, and ye're a guid laddie to bring me this beautiful hat."	"I've been thinking this long time that ye or Duncan would see that sunbonnets werena braw enough for a woman of my standing, and ye're a guid laddie to bring me this beautiful hat."	false	768.21	773.82	16.850317
