1754_140639_000000_000000	COLORS--A CONTRAST	COLORS-A CONTRAST	false	0	3.45	-20
1754_140639_000007_000001	I had started betimes, fortified by nice strong coffee and a good breakfast (cook'd by the hands I love, my dear sister Lou's--how much better it makes the victuals taste, and then assimilate, strengthen you, perhaps make the whole day comfortable afterwards.) Five or six miles at the last, our track enter'd a broad region of salt grass meadows, intersected by lagoons, and cut up everywhere by watery runs.	I had started betimes, fortified by nice strong coffee and a good breakfast (cook'd by the hands I love, my dear sister Lou's-how much better it makes the victuals taste, and then assimilate, strengthen you, perhaps make the whole day comfortable afterwards.) Five or six miles at the last, our track enter'd a broad region of salt grass meadows, intersected by lagoons, and cut up everywhere by watery runs.	true	123.44	151.27	17
1754_140639_000007_000002	The sedgy perfume, delightful to my nostrils, reminded me of "the mash" and south bay of my native island.	The sedgy perfume, delightful to my nostrils, reminded me of "the mash" and south bay of my native island.	true	151.64	159.67	17
1754_140639_000007_000003	I could have journey'd contentedly till night through these flat and odorous sea-prairies.	I could have journey'd contentedly till night through these flat and odorous sea prairies.	true	160.34	165.88	13
1754_140639_000007_000004	From half-past 11 till 2 I was nearly all the time along the beach, or in sight of the ocean, listening to its hoarse murmur, and inhaling the bracing and welcome breezes.	From half past eleven till two I was nearly all the time along the beach, or in sight of the ocean, listening to its hoarse murmur, and inhaling the bracing and welcome breezes.	true	166.52	178.33	15
1754_140639_000007_000005	First, a rapid five-mile drive over the hard sand--our carriage wheels hardly made dents in it.	First, a rapid five mile drive over the hard sand-our carriage wheels hardly made dents in it.	true	179.06	185.59	17
1754_140639_000007_000006	Then after dinner (as there were nearly two hours to spare) I walk'd off in another direction, (hardly met or saw a person,) and taking possession of what appear'd to have been the reception-room of an old bath-house range, had a broad expanse of view all to myself--quaint, refreshing, unimpeded--a dry area of sedge and Indian grass immediately before and around me--space, simple, unornamented space.	Then after dinner (as there were nearly two hours to spare) I walk'd off in another direction, (hardly met or saw a person,) and taking possession of what appear'd to have been the reception room of an old bath house range, had a broad expanse of view all to myself-quaint, refreshing, unimpeded-a dry area of sedge and Indian grass immediately before and around me-space, simple, unornamented space.	true	185.93	217.96	18.923353
1754_140639_000007_000007	Distant vessels, and the far-off, just visible trailing smoke of an inward bound steamer; more plainly, ships, brigs, schooners, in sight, most of them with every sail set to the firm and steady wind.	Distant vessels, and the far off, just visible trailing smoke of an inward bound steamer; more plainly, ships, brigs, schooners, in sight, most of them with every sail set to the firm and steady wind.	true	218.21	232.66	14
1754_140639_000008_000000	The attractions, fascinations there are in sea and shore!	The attractions, fascinations there are in sea and shore!	false	233.24	237.75	17.880968
1754_140639_000008_000001	How one dwells on their simplicity, even vacuity!	How one dwells on their simplicity, even vacuity!	true	237.75	241.33	19.056177
1754_140639_000008_000002	What is it in us, arous'd by those indirections and directions?	What is it in us, arous'd by those indirections and directions?	true	241.76	246.28	17
1754_140639_000008_000003	That spread of waves and gray-white beach, salt, monotonous, senseless--such an entire absence of art, books, talk, elegance--so indescribably comforting, even this winter day--grim, yet so delicate-looking, so spiritual--striking emotional, impalpable depths, subtler than all the poems, paintings, music, I have ever read, seen, heard. (Yet let me be fair, perhaps it is because I have read those poems and heard that music.)	That spread of waves and gray white beach, salt, monotonous, senseless-such an entire absence of art, books, talk, elegance-so indescribably comforting, even this winter day-grim, yet so delicate looking, so spiritual-striking emotional, impalpable depths, subtler than all the poems, paintings, music, I have ever read, seen, heard. (Yet let me be fair, perhaps it is because I have read those poems and heard that music.)	true	246.56	286.96	18.83313
1754_140639_000009_000000	SEA-SHORE FANCIES	SEA SHORE FANCIES	true	287.87	289.63	11
1754_140639_000010_000000	Even as a boy, I had the fancy, the wish, to write a piece, perhaps a poem, about the sea-shore--that suggesting, dividing line, contact, junction, the solid marrying the liquid--that curious, lurking something, (as doubtless every objective form finally becomes to the subjective spirit,) which means far more than its mere first sight, grand as that is--blending the real and ideal, and each made portion of the other.	Even as a boy, I had the fancy, the wish, to write a piece, perhaps a poem, about the sea shore-that suggesting, dividing line, contact, junction, the solid marrying the liquid-that curious, lurking something, (as doubtless every objective form finally becomes to the subjective spirit,) which means far more than its mere first sight, grand as that is-blending the real and ideal, and each made portion of the other.	true	290.42	321.7	17.917208
1754_140639_000010_000001	Hours, days, in my Long Island youth and early manhood, I haunted the shores of Rockaway or Coney island, or away east to the Hamptons or Montauk.	Hours, days, in my Long Island youth and early manhood, I haunted the shores of Rockaway or Coney island, or away east to the Hamptons or Montauk.	true	322.55	331.9	15
1754_140639_000010_000002	Once, at the latter place, (by the old lighthouse, nothing but sea-tossings in sight in every direction as far as the eye could reach,) I remember well, I felt that I must one day write a book expressing this liquid, mystic theme.	Once, at the latter place, (by the old lighthouse, nothing but sea tossings in sight in every direction as far as the eye could reach,) I remember well, I felt that I must one day write a book expressing this liquid, mystic theme.	true	332.3	347.8	16
1754_140639_000010_000003	Afterward, I recollect, how it came to me that instead of any special lyrical or epical or literary attempt, the sea-shore should be an invisible _influence_, a pervading gauge and tally for me, in my composition.	Afterward, I recollect, how it came to me that instead of any special lyrical or epical or literary attempt, the sea shore should be an invisible underscore influence underscore, a pervading gauge and tally for me, in my composition.	false	348.38	365.05	15
1754_140639_000010_000004	(Let me give a hint here to young writers.	(Let me give a hint here to young writers.	true	365.84	368.44	13
1754_140639_000010_000005	I am not sure but I have unwittingly follow'd out the same rule with other powers besides sea and shores--avoiding them, in the way of any dead set at poetizing them, as too big for formal handling--quite satisfied if I could indirectly show that we have met and fused, even if only once, but enough--that we have really absorb'd each other and understand each other.)	I am not sure but I have unwittingly follow'd out the same rule with other powers besides sea and shores-avoiding them, in the way of any dead set at poetizing them, as too big for formal handling-quite satisfied if I could indirectly show that we have met and fused, even if only once, but enough-that we have really absorb'd each other and understand each other.)	false	369.29	394.6	16
1754_140639_000011_000000	There is a dream, a picture, that for years at intervals, (sometimes quite long ones, but surely again, in time,) has come noiselessly up before me, and I really believe, fiction as it is, has enter'd largely into my practical life--certainly into my writings, and shaped and color'd them.	There is a dream, a picture, that for years at intervals, (sometimes quite long ones, but surely again, in time,) has come noiselessly up before me, and I really believe, fiction as it is, has enter'd largely into my practical life-certainly into my writings, and shaped and color'd them.	true	395.06	414.94	16
1754_140639_000011_000001	It is nothing more or less than a stretch of interminable white-brown sand, hard and smooth and broad, with the ocean perpetually, grandly, rolling in upon it, with slow-measured sweep, with rustle and hiss and foam, and many a thump as of low bass drums.	It is nothing more or less than a stretch of interminable white brown sand, hard and smooth and broad, with the ocean perpetually, grandly, rolling in upon it, with slow measured sweep, with rustle and hiss and foam, and many a thump as of low bass drums.	true	415.52	437.41	16
1754_140639_000011_000002	This scene, this picture, I say, has risen before me at times for years.	This scene, this picture, I say, has risen before me at times for years.	true	438.26	443.86	13
1754_140639_000011_000003	Sometimes I wake at night and can hear and see it plainly.	Sometimes I wake at night and can hear and see it plainly.	true	444.26	452.59	15.319052
1754_140639_000012_000000	IN MEMORY OF THOMAS PAINE.	IN MEMORY OF THOMAS PAINE.	true	453.2	454.98	19
1754_140639_000013_000000	_Spoken at Lincoln Hall, Philadelphia, Sunday, Jan. 28, '77, for 140th anniversary of T. P.'s birthday._	underscore Spoken at Lincoln Hall, Philadelphia, sunday january twenty eighth, 'seventy seven, for one hundred fortieth anniversary of t p's birthday.underscore	false	454.98	466.8	17.35133
1754_140639_000014_000000	Some thirty-five years ago, in New York city, at Tammany hall, of which place I was then a frequenter, I happen'd to become quite well acquainted with Thomas Paine's perhaps most intimate chum, and certainly his later years' very frequent companion, a remarkably fine old man, Col.	Some thirty five years ago, in New York city, at Tammany hall, of which place I was then a frequenter, I happen'd to become quite well acquainted with Thomas Paine's perhaps most intimate chum, and certainly his later years' very frequent companion, a remarkably fine old man, col	false	466.8	484.71	16
1754_140639_000014_000001	Fellows, who may yet be remember'd by some stray relics of that period and spot.	Fellows, who may yet be remember'd by some stray relics of that period and spot.	true	484.71	490.36	17
1754_140639_000014_000002	If you will allow me, I will first give a description of the Colonel himself.	If you will allow me, I will first give a description of the Colonel himself.	true	490.64	495.28	19
1754_140639_000014_000003	He was tall, of military bearing, aged about 78, I should think, hair white as snow, clean-shaved on the face, dress'd very neatly, a tail-coat of blue cloth with metal buttons, buff vest, pantaloons of drab color, and his neck, breast and wrists showing the whitest of linen.	He was tall, of military bearing, aged about seventy eight, I should think, hair white as snow, clean shaved on the face, dress'd very neatly, a tail coat of blue cloth with metal buttons, buff vest, pantaloons of drab color, and his neck, breast and wrists showing the whitest of linen.	true	496.61	517.51	18
1754_140639_000014_000004	Under all circumstances, fine manners; a good but not profuse talker, his wits still fully about him, balanced and live and undimm'd as ever.	Under all circumstances, fine manners; a good but not profuse talker, his wits still fully about him, balanced and live and undimm'd as ever.	true	518.66	530.65	18.383993
1754_140639_000014_000005	He kept pretty fair health, though so old.	He kept pretty fair health, though so old.	true	531.05	533.92	20.225092
1754_140639_000014_000006	For employment--for he was poor--he had a post as constable of some of the upper courts.	For employment-for he was poor-he had a post as constable of some of the upper courts.	true	533.99	539.53	18
1754_140639_000014_000007	I used to think him very picturesque on the fringe of a crowd holding a tall staff, with his erect form, and his superb, bare, thick-hair'd, closely-cropt white head.	I used to think him very picturesque on the fringe of a crowd holding a tall staff, with his erect form, and his superb, bare, thick hair'd, closely cropt white head.	true	539.84	551.11	13
1754_140639_000014_000008	The judges and young lawyers, with whom he was ever a favorite, and the subject of respect, used to call him Aristides.	The judges and young lawyers, with whom he was ever a favorite, and the subject of respect, used to call him Aristides.	false	551.93	560.55	17.370262
1754_140639_000014_000009	It was the general opinion among them that if manly rectitude and the instincts of absolute justice remain'd vital anywhere about New York City Hall, or Tammany, they were to be found in Col. Fellows.	It was the general opinion among them that if manly rectitude and the instincts of absolute justice remain'd vital anywhere about New York City Hall, or Tammany, they were to be found in col Fellows.	false	560.55	573.49	14
1754_140639_000014_000010	He liked young men, and enjoy'd to leisurely talk with them over a social glass of toddy, after his day's work, (he on these occasions never drank but one glass,) and it was at reiterated meetings of this kind in old Tammany's back parlor of those days, that he told me much about Thomas Paine.	He liked young men, and enjoy'd to leisurely talk with them over a social glass of toddy, after his day's work, (he on these occasions never drank but one glass,) and it was at reiterated meetings of this kind in old Tammany's back parlor of those days, that he told me much about Thomas Paine.	true	573.98	593.14	15
1754_140639_000014_000011	At one of our interviews he gave me a minute account of Paine's sickness and death.	At one of our interviews he gave me a minute account of Paine's sickness and death.	false	593.54	598.54	14
1754_140639_000014_000012	In short, from those talks, I was and am satisfied that my old friend, with his mark'd advantages, had mentally, morally and emotionally gauged the author of "Common Sense," and besides giving me a good portrait of his appearance and manners, had taken the true measure of his interior character.	In short, from those talks, I was and am satisfied that my old friend, with his mark'd advantages, had mentally, morally and emotionally gauged the author of "Common Sense," and besides giving me a good portrait of his appearance and manners, had taken the true measure of his interior character.	false	598.88	618.49	16
1754_140639_000015_000000	Paine's practical demeanor, and much of his theoretical belief, was a mixture of the French and English schools of a century ago, and the best of both.	Paine's practical demeanor, and much of his theoretical belief, was a mixture of the French and English schools of a century ago, and the best of both.	true	619.67	629.17	16
1754_140639_000015_000001	Like most old-fashion'd people, he drank a glass or two every day, but was no tippler, nor intemperate, let alone being a drunkard. He lived simply and economically, but quite well--was always cheery and courteous, perhaps occasionally a little blunt, having very positive opinions upon politics, religion, and so forth.	Like most old fashion'd people, he drank a glass or two every day, but was no tippler, nor intemperate, let alone being a drunkard. He lived simply and economically, but quite well-was always cheery and courteous, perhaps occasionally a little blunt, having very positive opinions upon politics, religion, and so forth.	true	629.24	651.22	19.222122
1754_140639_000015_000002	That he labor'd well and wisely for the States in the trying period of their parturition, and in the seeds of their character, there seems to me no question.	That he labor'd well and wisely for the States in the trying period of their parturition, and in the seeds of their character, there seems to me no question.	false	651.56	661.84	14
1754_140639_000015_000003	I dare not say how much of what our Union is owning and enjoying to-day--its independence--its ardent belief in, and substantial practice of radical human rights--and the severance of its government from all ecclesiastical and superstitious dominion--I dare not say how much of all this is owing to Thomas Paine, but I am inclined to think a good portion of it decidedly is.	I dare not say how much of what our Union is owning and enjoying to day-its independence-its ardent belief in, and substantial practice of radical human rights-and the severance of its government from all ecclesiastical and superstitious dominion-I dare not say how much of all this is owing to Thomas Paine, but I am inclined to think a good portion of it decidedly is.	true	662.21	686.53	17
1754_140639_000016_000000	But I was not going either into an analysis or eulogium of the man. I wanted to carry you back a generation or two, and give you by indirection a moment's glance--and also to ventilate a very earnest and I believe authentic opinion, nay conviction, of that time, the fruit of the interviews I have mention'd, and of questioning and cross-questioning, clench'd by my best information since, that Thomas Paine had a noble personality, as exhibited in presence, face, voice, dress, manner, and what may be call'd his atmosphere and magnetism, especially the later years of his life.	But I was not going either into an analysis or eulogium of the man. I wanted to carry you back a generation or two, and give you by indirection a moment's glance-and also to ventilate a very earnest and I believe authentic opinion, nay conviction, of that time, the fruit of the interviews I have mention'd, and of questioning and cross questioning, clench'd by my best information since, that Thomas Paine had a noble personality, as exhibited in presence, face, voice, dress, manner, and what may be call'd his atmosphere and magnetism, especially the later years of his life.	true	687.47	726.28	17
1754_140639_000016_000001	I am sure of it.	I am sure of it.	true	726.68	727.93	17
1754_140639_000016_000002	Of the foul and foolish fictions yet told about the circumstances of his decease, the absolute fact is that as he lived a good life, after its kind, he died calmly and philosophically, as became him.	Of the foul and foolish fictions yet told about the circumstances of his decease, the absolute fact is that as he lived a good life, after its kind, he died calmly and philosophically, as became him.	true	728.57	742.39	18.688845
1754_140639_000016_000003	He served the embryo Union with most precious service--a service that every man, woman and child in our thirty-eight States is to some extent receiving the benefit of to-day--and I for one here cheerfully, reverently throw my pebble on the cairn of his memory.	He served the embryo Union with most precious service-a service that every man, woman and child in our thirty eight States is to some extent receiving the benefit of to day-and I for one here cheerfully, reverently throw my pebble on the cairn of his memory.	true	742.64	759.22	16
1754_140639_000016_000004	As we all know, the season demands--or rather, will it ever be out of season?--that America learn to better dwell on her choicest possession, the legacy of her good and faithful men--that she well preserve their fame, if unquestion'd--or, if need be, that she fail not to dissipate what clouds have intruded on that fame, and burnish it newer, truer and brighter, continually.	As we all know, the season demands-or rather, will it ever be out of season?--that America learn to better dwell on her choicest possession, the legacy of her good and faithful men-that she well preserve their fame, if unquestion'd-or, if need be, that she fail not to dissipate what clouds have intruded on that fame, and burnish it newer, truer and brighter, continually.	true	759.62	787.48	19.14999
1754_140639_000017_000000	A TWO HOURS ICE-SAIL	A TWO HOURS ICE SAIL	true	790.25	792.39	14
1754_140639_000018_000000	_Feb. 3, '77_--From 4 to 6 P. M. crossing the Delaware, (back again at my Camden home,) unable to make our landing, through the ice; our boat stanch and strong and skilfully piloted, but old and sulky, and poorly minding her helm. (_Power_, so important in poetry and war, is also first point of all in a winter steamboat, with long stretches of ice-packs to tackle.) For over two hours we bump'd and beat about, the invisible ebb, sluggish but irresistible, often carrying us long distances against our will.	underscore february third, 'seventy seven underscore--From four to six p m crossing the Delaware, (back again at my Camden home,) unable to make our landing, through the ice; our boat stanch and strong and skilfully piloted, but old and sulky, and poorly minding her helm. (underscore Power underscore, so important in poetry and war, is also first point of all in a winter steamboat, with long stretches of ice packs to tackle.) For over two hours we bump'd and beat about, the invisible ebb, sluggish but irresistible, often carrying us long distances against our will.	false	792.39	833.8	18.66288
1754_140639_000018_000001	In the first tinge of dusk, as I look'd around, I thought there could not be presented a more chilling, arctic, grim-extended, depressing scene.	In the first tinge of dusk, as I look'd around, I thought there could not be presented a more chilling, arctic, grim extended, depressing scene.	true	834.11	843.31	15
1754_140639_000018_000002	Everything was yet plainly visible; for miles north and south, ice, ice, ice, mostly broken, but some big cakes, and no clear water in sight.	Everything was yet plainly visible; for miles north and south, ice, ice, ice, mostly broken, but some big cakes, and no clear water in sight.	true	843.47	857.44	18.320103
1754_140639_000018_000003	The shores, piers, surfaces, roofs, shipping, mantled with snow.	The shores, piers, surfaces, roofs, shipping, mantled with snow.	true	858.32	864.43	16.786564
1754_140639_000018_000004	A faint winter vapor hung a fitting accompaniment around and over the endless whitish spread, and gave it just a tinge of steel and brown.	A faint winter vapor hung a fitting accompaniment around and over the endless whitish spread, and gave it just a tinge of steel and brown.	true	865.13	876.84	16.769907
1754_140639_000019_000000	_Feb. 6_.--As I cross home in the 6 P. M. boat again, the transparent shadows are filled everywhere with leisurely falling, slightly slanting, curiously sparse but very large, flakes of snow.	underscore february sixth underscore.--As I cross home in the six p m boat again, the transparent shadows are filled everywhere with leisurely falling, slightly slanting, curiously sparse but very large, flakes of snow.	false	876.84	896.19	17.624142
1754_140639_000019_000001	On the shores, near and far, the glow of just-lit gas-clusters at intervals.	On the shores, near and far, the glow of just lit gas clusters at intervals.	true	896.19	902.65	18
1754_140639_000019_000002	The ice, sometimes in hummocks, sometimes floating fields, through which our boat goes crunching.	The ice, sometimes in hummocks, sometimes floating fields, through which our boat goes crunching.	true	903.29	910	18
1754_140639_000019_000003	The light permeated by that peculiar evening haze, right after sunset, which sometimes renders quite distant objects so distinctly.	The light permeated by that peculiar evening haze, right after sunset, which sometimes renders quite distant objects so distinctly.	true	910.04	919.24	15
1754_140639_000020_000000	SPRING OVERTURES--RECREATIONS	SPRING OVERTURES-RECREATIONS	true	921.38	924.87	17
1754_140639_000021_000000	_Feb. 10_.--The first chirping, almost singing, of a bird to-day.	underscore february tenth underscore.--The first chirping, almost singing, of a bird to day.	false	924.87	932.35	17.50409
1754_140639_000021_000001	Then I noticed a couple of honey-bees spirting and humming about the open window in the sun.	Then I noticed a couple of honey bees spirting and humming about the open window in the sun	true	932.54	936.69	11
1754_140639_000022_000000	_Feb. 11_.--In the soft rose and pale gold of the declining light, this beautiful evening, I heard the first hum and preparation of awakening spring--very faint--whether in the earth or roots, or starting of insects, I know not--but it was audible, as I lean'd on a rail (I am down in my country quarters awhile,) and look'd long at the western horizon.	underscore february eleventh underscore.--In the soft rose and pale gold of the declining light, this beautiful evening, I heard the first hum and preparation of awakening spring-very faint-whether in the earth or roots, or starting of insects, I know not-but it was audible, as I lean'd on a rail (I am down in my country quarters awhile,) and look'd long at the western horizon.	false	936.69	963.16	18
1754_140639_000022_000001	Turning to the east, Sirius, as the shadows deepen'd, came forth in dazzling splendor.	Turning to the east, Sirius, as the shadows deepen'd, came forth in dazzling splendor.	true	963.5	969.43	15
1754_140639_000022_000002	And great Orion; and a little to the north-east the big Dipper, standing on end.	And great Orion; and a little to the north-east the big Dipper, standing on end.	true	969.8	974.7	16
1754_140639_000023_000000	_Feb. 20_.--A solitary and pleasant sundown hour at the pond, exercising arms, chest, my whole body, by a tough oak sapling thick as my wrist, twelve feet high--pulling and pushing, inspiring the good air.	underscore february twentieth underscore.--A solitary and pleasant sundown hour at the pond, exercising arms, chest, my whole body, by a tough oak sapling thick as my wrist, twelve feet high-pulling and pushing, inspiring the good air.	false	974.7	994.93	17.833004
1754_140639_000023_000001	After I wrestle with the tree awhile, I can feel its young sap and virtue welling up out of the ground and tingling through me from crown to toe, like health's wine.	After I wrestle with the tree awhile, I can feel its young sap and virtue welling up out of the ground and tingling through me from crown to toe, like health's wine.	true	995.57	1006.18	15
1754_140639_000023_000002	Then for addition and variety I launch forth in my vocalism; shout declamatory pieces, sentiments, sorrow, anger, &c., from the stock poets or plays--or inflate my lungs and sing the wild tunes and refrains I heard of the blacks down south, or patriotic songs I learn'd in the army.	Then for addition and variety I launch forth in my vocalism; shout declamatory pieces, sentiments, sorrow, anger, and c., from the stock poets or plays-or inflate my lungs and sing the wild tunes and refrains I heard of the blacks down south, or patriotic songs I learn'd in the army.	false	1006.55	1027.57	17.801462
1754_140639_000023_000003	I make the echoes ring, I tell you!	I make the echoes ring, I tell you!	true	1027.97	1030.66	15
1754_140639_000023_000004	As the twilight fell, in a pause of these ebullitions, an owl somewhere the other side of the creek sounded _too-oo-oo-oo-oo_, soft and pensive (and I fancied a little sarcastic) repeated four or five times.	As the twilight fell, in a pause of these ebullitions, an owl somewhere the other side of the creek sounded underscore too oo oo oo oo underscore, soft and pensive (and I fancied a little sarcastic) repeated four or five times.	false	1031.03	1049.08	18.255602
1754_140639_000023_000005	Either to applaud the negro songs--or perhaps an ironical comment on the sorrow, anger, or style of the stock poets.	Either to applaud the negro songs-or perhaps an ironical comment on the sorrow, anger, or style of the stock poets.	true	1049.18	1057.6	18
1754_140639_000024_000000	ONE OF THE HUMAN KINKS	ONE OF THE HUMAN KINKS	true	1061.39	1063.09	15
1754_140639_000025_000000	How is it that in all the serenity and lonesomeness of solitude, away off here amid the hush of the forest, alone, or as I have found in prairie wilds, or mountain stillness, one is never entirely without the instinct of looking around, (I never am, and others tell me the same of themselves, confidentially,) for somebody to appear, or start up out of the earth, or from behind some tree or rock?	How is it that in all the serenity and lonesomeness of solitude, away off here amid the hush of the forest, alone, or as I have found in prairie wilds, or mountain stillness, one is never entirely without the instinct of looking around, (I never am, and others tell me the same of themselves, confidentially,) for somebody to appear, or start up out of the earth, or from behind some tree or rock?	true	1064.12	1089.55	16
1754_140639_000025_000001	Is it a lingering, inherited remains of man's primitive wariness, from the wild animals?	Is it a lingering, inherited remains of man's primitive wariness, from the wild animals?	true	1090.16	1096.33	12
1754_140639_000025_000002	or from his savage ancestry far back?	or from his savage ancestry far back?	true	1096.76	1099.39	19
1754_140639_000025_000003	It is not at all nervousness or fear. Seems as if something unknown were possibly lurking in those bushes, or solitary places.	It is not at all nervousness or fear. Seems as if something unknown were possibly lurking in those bushes, or solitary places.	true	1100.15	1109.07	17.810112
1754_140639_000025_000004	Nay, it is quite certain there is--some vital unseen presence.	Nay, it is quite certain there is-some vital unseen presence.	false	1109.07	1116.58	15.037402
1754_140639_000026_000000	AN AFTERNOON SCENE	AN AFTERNOON SCENE	true	1118.75	1120.41	15
1754_140639_000027_000000	_Feb. 22_.--Last night and to-day rainy and thick, till mid-afternoon, when the wind chopp'd round, the clouds swiftly drew off like curtains, the clear appear'd, and with it the fairest, grandest, most wondrous rainbow I ever saw, all complete, very vivid at its earth-ends, spreading vast effusions of illuminated haze, violet, yellow, drab-green, in all directions overhead, through which the sun beam'd--an indescribable utterance of color and light, so gorgeous yet so soft, such as I had never witness'd before.	underscore february twenty second underscore.--Last night and to day rainy and thick, till mid afternoon, when the wind chopp'd round, the clouds swiftly drew off like curtains, the clear appear'd, and with it the fairest, grandest, most wondrous rainbow I ever saw, all complete, very vivid at its earth ends, spreading vast effusions of illuminated haze, violet, yellow, drab green, in all directions overhead, through which the sun beam'd-an indescribable utterance of color and light, so gorgeous yet so soft, such as I had never witness'd before.	false	1120.41	1163.92	18.870125
1754_140639_000027_000001	Then its continuance: a full hour pass'd before the last of those earth-ends disappear'd.	Then its continuance: a full hour pass'd before the last of those earth ends disappear'd.	true	1164.53	1171.45	18
1754_140639_000027_000002	The sky behind was all spread in translucent blue, with many little white clouds and edges.	The sky behind was all spread in translucent blue, with many little white clouds and edges.	true	1172	1178.23	11
1754_140639_000027_000003	To these a sunset, filling, dominating the esthetic and soul senses, sumptuously, tenderly, full.	To these a sunset, filling, dominating the esthetic and soul senses, sumptuously, tenderly, full.	true	1178.87	1188.46	16
1754_140639_000027_000004	I end this note by the pond, just light enough to see, through the evening shadows, the western reflections in its water-mirror surface, with inverted figures of trees. I hear now and then the _flup_ of a pike leaping out, and rippling the water.	I end this note by the pond, just light enough to see, through the evening shadows, the western reflections in its water mirror surface, with inverted figures of trees. I hear now and then the underscore flup underscore of a pike leaping out, and rippling the water.	false	1188.74	1207.18	18.309464
1754_140639_000028_000000	THE GATES OPENING	THE GATES OPENING	true	1208.33	1209.72	16
1754_140639_000029_000000	_April 6_.--Palpable spring indeed, or the indications of it.	underscore april sixth underscore.--Palpable spring indeed, or the indications of it.	false	1209.72	1216.3	17.605589
1754_140639_000029_000001	I am sitting in bright sunshine, at the edge of the creek, the surface just rippled by the wind.	I am sitting in bright sunshine, at the edge of the creek, the surface just rippled by the wind.	true	1216.46	1221.97	14
1754_140639_000029_000002	All is solitude, morning freshness, negligence. For companions my two kingfishers sailing, winding, darting, dipping, sometimes capriciously separate, then flying together.	All is solitude, morning freshness, negligence. For companions my two kingfishers sailing, winding, darting, dipping, sometimes capriciously separate, then flying together.	true	1222.28	1236.07	18
1754_140639_000029_000003	I hear their guttural twittering again and again; for awhile nothing but that peculiar sound.	I hear their guttural twittering again and again; for awhile nothing but that peculiar sound.	true	1237.07	1242.34	12
1754_140639_000029_000004	As noon approaches other birds warm up.	As noon approaches other birds warm up.	true	1243.25	1245.81	12
