6233_36633_000002_000000	CHAPTER 19	CHAPTER nineteen
6233_36633_000016_000002	Although the summer sun lavished its rays on us, we never suffered from the heat, because thirty or forty meters underwater, the temperature didn't go over 10 degrees to 12 degrees centigrade.	Although the summer sun lavished its rays on us, we never suffered from the heat, because thirty or forty meters underwater, the temperature didn't go over ten degrees to twelve degrees centigrade.
6233_36633_000018_000000	The Nautilus had cleared 8,100 miles.	The Nautilus had cleared eight thousand one hundred miles.
6233_36633_000020_000000	It was the Dutch navigator Tasman who discovered this group in 1643, the same year the Italian physicist Torricelli invented the barometer and King Louis XIV ascended the French throne.	It was the Dutch navigator Tasman who discovered this group in sixteen forty three, the same year the Italian physicist Torricelli invented the barometer and King Louis the fourteenth ascended the French throne.
6233_36633_000021_000000	This bay, repeatedly dredged, furnished a huge supply of excellent oysters.	This bay, repeatedly dredged, furnished a huge supply of excellent oysters.
6233_36633_000021_000001	As the Roman playwright Seneca recommended, we opened them right at our table, then stuffed ourselves. These mollusks belonged to the species known by name as Ostrea lamellosa, whose members are quite common off Corsica.	As the Roman playwright Seneca recommended, we opened them right at our table, then stuffed ourselves. These mollusks belonged to the species known by name as Ostrea lamellosa, whose members are quite common off Corsica.
6233_36633_000024_000000	That day it was yuletide, and it struck me that Ned Land badly missed celebrating "Christmas," that genuine family holiday where Protestants are such zealots.	That day it was yuletide, and it struck me that Ned Land badly missed celebrating "Christmas," that genuine family holiday where Protestants are such zealots.
6233_36633_000025_000000	I hadn't seen Captain Nemo for over a week, when, on the morning of the 27th, he entered the main lounge, as usual acting as if he'd been gone for just five minutes.	I hadn't seen Captain Nemo for over a week, when, on the morning of the twenty seventh, he entered the main lounge, as usual acting as if he'd been gone for just five minutes.
6233_36633_000025_000002	The captain approached, placed a finger over a position on the chart, and pronounced just one word:	The captain approached, placed a finger over a position on the chart, and pronounced just one word:
6233_36633_000027_000001	It was the name of those islets where vessels under the Count de La Pérouse had miscarried. I straightened suddenly.	It was the name of those islets where vessels under the Count de La Pérouse had miscarried. I straightened suddenly.
6233_36633_000028_000000	"The Nautilus is bringing us to Vanikoro?" I asked.	"The Nautilus is bringing us to Vanikoro?" I asked.
6233_36633_000029_000000	"Yes, professor," the captain replied.	"Yes, professor," the captain replied.
6233_36633_000031_000000	"If you like, professor."	"If you like, professor."
6233_36633_000033_000000	"We already have, professor."	"We already have, professor."
6233_36633_000034_000000	Followed by Captain Nemo, I climbed onto the platform, and from there my eyes eagerly scanned the horizon.	Followed by Captain Nemo, I climbed onto the platform, and from there my eyes eagerly scanned the horizon.
6233_36633_000035_000001	Its shores seemed covered with greenery from its beaches to its summits inland, crowned by Mt. Kapogo, which is 476 fathoms high.	Its shores seemed covered with greenery from its beaches to its summits inland, crowned by mount Kapogo, which is four hundred seventy six fathoms high.
6233_36633_000037_000000	Just then Captain Nemo asked me what I knew about the shipwreck of the Count de La Pérouse.	Just then Captain Nemo asked me what I knew about the shipwreck of the Count de La Pérouse.
6233_36633_000038_000000	"What everybody knows, captain," I answered him.	"What everybody knows, captain," I answered him.
6233_36633_000039_000000	"And could you kindly tell me what everybody knows?" he asked me in a gently ironic tone.	"And could you kindly tell me what everybody knows?" he asked me in a gently ironic tone.
6233_36633_000040_000000	"Very easily."	"Very easily."
6233_36633_000041_000000	I related to him what the final deeds of Captain Dumont d'Urville had brought to light, deeds described here in this heavily condensed summary of the whole matter.	I related to him what the final deeds of Captain Dumont d'Urville had brought to light, deeds described here in this heavily condensed summary of the whole matter.
6233_36633_000042_000001	They boarded two sloops of war, the Compass and the Astrolabe, which were never seen again.	They boarded two sloops of war, the Compass and the Astrolabe, which were never seen again.
6233_36633_000043_000000	In 1791, justly concerned about the fate of these two sloops of war, the French government fitted out two large cargo boats, the Search and the Hope, which left Brest on September 28 under orders from Rear Admiral Bruni d'Entrecasteaux.	In seventeen ninety one, justly concerned about the fate of these two sloops of war, the French government fitted out two large cargo boats, the Search and the Hope, which left Brest on september twenty eighth under orders from Rear Admiral Bruni d'Entrecasteaux.
6233_36633_000045_000000	It was an old hand at the Pacific, the English adventurer Captain Peter Dillon, who was the first to pick up the trail left by castaways from the wrecked vessels.	It was an old hand at the Pacific, the English adventurer Captain peter Dillon, who was the first to pick up the trail left by castaways from the wrecked vessels.
6233_36633_000047_000000	Dillon returned to Calcutta.	Dillon returned to Calcutta.
6233_36633_000049_000000	There Dillon collected many relics of the shipwreck: iron utensils, anchors, eyelets from pulleys, swivel guns, an eighteen-pound shell, the remains of some astronomical instruments, a piece of sternrail, and a bronze bell bearing the inscription "Made by Bazin," the foundry mark at Brest Arsenal around 1785. There could no longer be any doubt.	There Dillon collected many relics of the shipwreck: iron utensils, anchors, eyelets from pulleys, swivel guns, an eighteen pound shell, the remains of some astronomical instruments, a piece of sternrail, and a bronze bell bearing the inscription "Made by Bazin," the foundry mark at Brest Arsenal around seventeen eighty five. There could no longer be any doubt.
6233_36633_000051_000000	But just then the renowned French explorer Captain Dumont d'Urville, unaware of Dillon's activities, had already set sail to search elsewhere for the site of the shipwreck.	But just then the renowned French explorer Captain Dumont d'Urville, unaware of Dillon's activities, had already set sail to search elsewhere for the site of the shipwreck.
6233_36633_000053_000000	Pretty perplexed, Dumont d'Urville didn't know if he should give credence to these reports, which had been carried in some of the less reliable newspapers; nevertheless, he decided to start on Dillon's trail.	Pretty perplexed, Dumont d'Urville didn't know if he should give credence to these reports, which had been carried in some of the less reliable newspapers; nevertheless, he decided to start on Dillon's trail.
6233_36633_000058_000001	Where?	Where?
6233_36633_000058_000002	Nobody knew.	Nobody knew.
6233_36633_000062_000000	This is the substance of the account I gave Captain Nemo.	This is the substance of the account I gave Captain Nemo.
6233_36633_000063_000000	"So," he said to me, "the castaways built a third ship on Vanikoro Island, and to this day, nobody knows where it went and perished?"	"So," he said to me, "the castaways built a third ship on Vanikoro Island, and to this day, nobody knows where it went and perished?"
6233_36633_000064_000000	"Nobody knows."	"Nobody knows."
6233_36633_000065_000001	The Nautilus sank a few meters beneath the waves, and the panels opened.	The Nautilus sank a few meters beneath the waves, and the panels opened.
6233_36633_000067_000000	And as I stared at this desolate wreckage, Captain Nemo told me in a solemn voice:	And as I stared at this desolate wreckage, Captain Nemo told me in a solemn voice:
6233_36633_000069_000000	"And how do you know all this?" I exclaimed.	"And how do you know all this?" I exclaimed.
6233_36633_000070_000000	"Here's what I found at the very site of that final shipwreck!"	"Here's what I found at the very site of that final shipwreck!"
6233_36633_000071_000001	He opened it and I saw a bundle of papers, yellowed but still legible.	He opened it and I saw a bundle of papers, yellowed but still legible.
