4148_134149_000001_000000	CHAPTER 12.	CHAPTER twelve.
4148_134149_000019_000000	"I wouldn't like to be the grandchild of a pinched grandfather, would you, Mister Sir?" Bruno whispered.	"I wouldn't like to be the grandchild of a pinched grandfather, would you, Mister Sir?" Bruno whispered.
4148_134149_000019_000001	"It might come just when you wanted to be happy!"	"It might come just when you wanted to be happy!"
4148_134149_000020_000000	That would be awkward, I admitted, taking it quite as a matter of course that he had so suddenly caught sight of me.	That would be awkward, I admitted, taking it quite as a matter of course that he had so suddenly caught sight of me.
4148_134149_000020_000001	"But don't you always want to be happy, Bruno?"	"But don't you always want to be happy, Bruno?"
4148_134149_000021_000000	"Not always," Bruno said thoughtfully.	"Not always," Bruno said thoughtfully.
4148_134149_000021_000001	"Sometimes, when I's too happy, I wants to be a little miserable.	"Sometimes, when I's too happy, I wants to be a little miserable.
4148_134149_000021_000003	Then it's all right."	Then it's all right."
4148_134149_000022_000000	"I'm sorry you don't like lessons," I said.	"I'm sorry you don't like lessons," I said.
4148_134149_000024_000000	"Well, so am I!" said Bruno.	"Well, so am I!" said Bruno.
4148_134149_000025_000001	"You're as busy as the day is short!"	"You're as busy as the day is short!"
4148_134149_000026_000000	"Well, what's the difference?" Bruno asked.	"Well, what's the difference?" Bruno asked.
4148_134149_000026_000001	"Mister Sir, isn't the day as short as it's long?	"Mister Sir, isn't the day as short as it's long?
4148_134149_000026_000002	I mean, isn't it the same length?"	I mean, isn't it the same length?"
4148_134149_000027_000000	Never having considered the question in this light, I suggested that they had better ask the Professor; and they ran off in a moment to appeal to their old friend.	Never having considered the question in this light, I suggested that they had better ask the Professor; and they ran off in a moment to appeal to their old friend.
4148_134149_000027_000001	The Professor left off polishing his spectacles to consider.	The Professor left off polishing his spectacles to consider.
4148_134149_000027_000002	"My dears," he said after a minute, "the day is the same length as anything that is the same length as it." And he resumed his never-ending task of polishing.	"My dears," he said after a minute, "the day is the same length as anything that is the same length as it." And he resumed his never ending task of polishing.
4148_134149_000028_000000	The children returned, slowly and thoughtfully, to report his answer. "Isn't he wise?"	The children returned, slowly and thoughtfully, to report his answer. "Isn't he wise?"
4148_134149_000029_000000	Sylvie asked in an awestruck whisper.	Sylvie asked in an awestruck whisper.
4148_134149_000030_000000	"You appear to be talking to somebody--that isn't here," the Professor said, turning round to the children.	"You appear to be talking to somebody-that isn't here," the Professor said, turning round to the children.
4148_134149_000030_000001	"Who is it?"	"Who is it?"
4148_134149_000031_000000	Bruno looked puzzled.	Bruno looked puzzled.
4148_134149_000031_000001	"I never talks to nobody when he isn't here!" he replied.	"I never talks to nobody when he isn't here!" he replied.
4148_134149_000032_000000	The Professor looked anxiously in my direction, and seemed to look through and through me without seeing me.	The Professor looked anxiously in my direction, and seemed to look through and through me without seeing me.
4148_134149_000032_000001	"Then who are you talking to?" he said.	"Then who are you talking to?" he said.
4148_134149_000032_000003	"Children!	"Children!
4148_134149_000032_000004	Help to look for him!	Help to look for him!
4148_134149_000032_000005	Quick!	Quick!
4148_134149_000032_000006	He's got lost again!"	He's got lost again!"
4148_134149_000033_000000	The children were on their feet in a moment.	The children were on their feet in a moment.
4148_134149_000034_000000	"Where shall we look?" said Sylvie.	"Where shall we look?" said Sylvie.
4148_134149_000035_000000	"Anywhere!" shouted the excited Professor.	"Anywhere!" shouted the excited Professor.
4148_134149_000035_000001	"Only be quick about it!" And he began trotting round and round the room, lifting up the chairs, and shaking them.	"Only be quick about it!" And he began trotting round and round the room, lifting up the chairs, and shaking them.
4148_134149_000036_000000	Bruno took a very small book out of the bookcase, opened it, and shook it in imitation of the Professor.	Bruno took a very small book out of the bookcase, opened it, and shook it in imitation of the Professor.
4148_134149_000036_000001	"He isn't here," he said.	"He isn't here," he said.
4148_134149_000038_000001	"I should have shooked him out, if he'd been in there!"	"I should have shooked him out, if he'd been in there!"
4148_134149_000039_000000	"Has he ever been lost before?" Sylvie enquired, turning up a corner of the hearth-rug, and peeping under it.	"Has he ever been lost before?" Sylvie enquired, turning up a corner of the hearth rug, and peeping under it.
4148_134149_000040_000000	"Once before," said the Professor: "he once lost himself in a wood--"	"Once before," said the Professor: "he once lost himself in a wood-"
4148_134149_000041_000000	"And couldn't he find his-self again?" said Bruno.	"And couldn't he find his self again?" said Bruno.
4148_134149_000041_000001	"Why didn't he shout? He'd be sure to hear his-self, 'cause he couldn't be far off, oo know."	"Why didn't he shout? He'd be sure to hear his self, 'cause he couldn't be far off, oo know."
4148_134149_000042_000000	"Lets try shouting," said the Professor.	"Lets try shouting," said the Professor.
4148_134149_000043_000000	"What shall we shout?" said Sylvie.	"What shall we shout?" said Sylvie.
4148_134149_000044_000000	"On second thoughts, don't shout," the Professor replied.	"On second thoughts, don't shout," the Professor replied.
4148_134149_000044_000001	"The Vice-Warden might hear you.	"The Vice Warden might hear you.
4148_134149_000044_000002	He's getting awfully strict!"	He's getting awfully strict!"
4148_134149_000045_000000	This reminded the poor children of all the troubles, about which they had come to their old friend.	This reminded the poor children of all the troubles, about which they had come to their old friend.
4148_134149_000045_000001	Bruno sat down on the floor and began crying.	Bruno sat down on the floor and began crying.
4148_134149_000045_000002	"He is so cruel!" he sobbed.	"He is so cruel!" he sobbed.
4148_134149_000045_000003	"And he lets Uggug take away all my toys!	"And he lets Uggug take away all my toys!
4148_134149_000047_000000	"A little piece of a dead crow," was Bruno's mournful reply.	"A little piece of a dead crow," was Bruno's mournful reply.
4148_134149_000048_000000	"He means rook-pie," Sylvie explained.	"He means rook pie," Sylvie explained.
4148_134149_000049_000001	"And there were a apple-pudding--and Uggug ate it all--and I got nuffin but a crust!	"And there were a apple pudding-and Uggug ate it all-and I got nuffin but a crust!
4148_134149_000049_000003	"It's all true, Professor dear!	"It's all true, Professor dear!
4148_134149_000050_000001	"But what can I do?"	"But what can I do?"
4148_134149_000051_000000	"We know the way to Fairyland--where Father's gone--quite well," said Sylvie: "if only the Gardener would let us out."	"We know the way to Fairyland-where Father's gone-quite well," said Sylvie: "if only the Gardener would let us out."
4148_134149_000052_000000	"Won't he open the door for you?" said the Professor.	"Won't he open the door for you?" said the Professor.
4148_134149_000053_000000	"Not for us," said Sylvie: "but I'm sure he would for you.	"Not for us," said Sylvie: "but I'm sure he would for you.
4148_134149_000053_000001	Do come and ask him, Professor dear!"	Do come and ask him, Professor dear!"
4148_134149_000054_000000	"I'll come this minute!" said the Professor.	"I'll come this minute!" said the Professor.
4148_134149_000055_000000	Bruno sat up and dried his eyes.	Bruno sat up and dried his eyes.
4148_134149_000055_000001	"Isn't he kind, Mister Sir?"	"Isn't he kind, Mister Sir?"
4148_134149_000056_000000	"He is indeed," said I. But the Professor took no notice of my remark. He had put on a beautiful cap with a long tassel, and was selecting one of the Other Professor's walking-sticks, from a stand in the corner of the room.	"He is indeed," said i But the Professor took no notice of my remark. He had put on a beautiful cap with a long tassel, and was selecting one of the Other Professor's walking sticks, from a stand in the corner of the room.
4148_134149_000056_000001	"A thick stick in one's hand makes people respectful," he was saying to himself.	"A thick stick in one's hand makes people respectful," he was saying to himself.
4148_134149_000056_000002	"Come along, dear children!" And we all went out into the garden together.	"Come along, dear children!" And we all went out into the garden together.
4148_134149_000057_000000	"I shall address him, first of all," the Professor explained as we went along, "with a few playful remarks on the weather.	"I shall address him, first of all," the Professor explained as we went along, "with a few playful remarks on the weather.
4148_134149_000057_000001	I shall then question him about the Other Professor.	I shall then question him about the Other Professor.
4148_134149_000057_000002	This will have a double advantage.	This will have a double advantage.
4148_134149_000058_000000	On our way, we passed the target, at which Uggug had been made to shoot during the Ambassador's visit.	On our way, we passed the target, at which Uggug had been made to shoot during the Ambassador's visit.
4148_134149_000059_000000	"See!" said the Professor, pointing out a hole in the middle of the bull's-eye.	"See!" said the Professor, pointing out a hole in the middle of the bull's eye.
4148_134149_000059_000001	"His Imperial Fatness had only one shot at it; and he went in just here!"	"His Imperial Fatness had only one shot at it; and he went in just here!"
4148_134149_000060_000000	Bruno carefully examined the hole.	Bruno carefully examined the hole.
4148_134149_000062_000000	"He thought he saw an Albatross That fluttered round the lamp: He looked again, and found it was A Penny-Postage-Stamp. 'You'd best be getting home,' he said: 'The nights are very damp!'"	"He thought he saw an Albatross That fluttered round the lamp: He looked again, and found it was A Penny Postage Stamp. 'You'd best be getting home,' he said: 'The nights are very damp!'"
4148_134149_000064_000000	"Would it be afraid of catching cold?" said Bruno.	"Would it be afraid of catching cold?" said Bruno.
4148_134149_000065_000000	"If it got very damp," Sylvie suggested, "it might stick to something, you know."	"If it got very damp," Sylvie suggested, "it might stick to something, you know."
4148_134149_000066_000001	"Suppose it was a cow!	"Suppose it was a cow!
4148_134149_000066_000002	Wouldn't it be dreadful for the other things!"	Wouldn't it be dreadful for the other things!"
4148_134149_000067_000001	"That's what makes the song so interesting."	"That's what makes the song so interesting."
4148_134149_000068_000000	"He must have had a very curious life," said Sylvie.	"He must have had a very curious life," said Sylvie.
4148_134149_000069_000000	"You may say that!" the Professor heartily rejoined.	"You may say that!" the Professor heartily rejoined.
4148_134149_000070_000000	"Of course she may!" cried Bruno.	"Of course she may!" cried Bruno.
4148_134149_000071_000000	By this time we had come up to the Gardener, who was standing on one leg, as usual, and busily employed in watering a bed of flowers with an empty watering-can.	By this time we had come up to the Gardener, who was standing on one leg, as usual, and busily employed in watering a bed of flowers with an empty watering can.
4148_134149_000072_000000	"It hasn't got no water in it!" Bruno explained to him, pulling his sleeve to attract his attention.	"It hasn't got no water in it!" Bruno explained to him, pulling his sleeve to attract his attention.
4148_134149_000073_000000	"It's lighter to hold," said the Gardener.	"It's lighter to hold," said the Gardener.
4148_134149_000073_000001	"A lot of water in it makes one's arms ache." And he went on with his work, singing softly to himself,	"A lot of water in it makes one's arms ache." And he went on with his work, singing softly to himself,
4148_134149_000074_000000	"The nights are very damp!"	"The nights are very damp!"
4148_134149_000075_000000	"In digging things out of the ground which you probably do now and then," the Professor began in a loud voice; "in making things into heaps--which no doubt you often do; and in kicking things about with one heel--which you seem never to leave off doing; have you ever happened to notice another Professor something like me, but different?"	"In digging things out of the ground which you probably do now and then," the Professor began in a loud voice; "in making things into heaps-which no doubt you often do; and in kicking things about with one heel-which you seem never to leave off doing; have you ever happened to notice another Professor something like me, but different?"
4148_134149_000076_000001	"There ain't such a thing!"	"There ain't such a thing!"
4148_134149_000077_000000	"We will try a less exciting topic," the Professor mildly remarked to the children.	"We will try a less exciting topic," the Professor mildly remarked to the children.
4148_134149_000077_000001	"You were asking--"	"You were asking-"
4148_134149_000078_000000	"We asked him to let us through the garden-door," said Sylvie: "but he wouldn't: but perhaps he would for you!"	"We asked him to let us through the garden door," said Sylvie: "but he wouldn't: but perhaps he would for you!"
4148_134149_000079_000000	The Professor put the request, very humbly and courteously.	The Professor put the request, very humbly and courteously.
4148_134149_000080_000000	"I wouldn't mind letting you out," said the Gardener.	"I wouldn't mind letting you out," said the Gardener.
4148_134149_000080_000003	Not for one-and-sixpence!"	Not for one and sixpence!"
4148_134149_000081_000000	The Professor cautiously produced a couple of shillings.	The Professor cautiously produced a couple of shillings.
4148_134149_000082_000000	"That'll do it!" the Gardener shouted, as he hurled the watering-can across the flower-bed, and produced a handful of keys--one large one, and a number of small ones.	"That'll do it!" the Gardener shouted, as he hurled the watering can across the flower bed, and produced a handful of keys-one large one, and a number of small ones.
4148_134149_000083_000000	"But look here, Professor dear!" whispered Sylvie.	"But look here, Professor dear!" whispered Sylvie.
4148_134149_000083_000001	"He needn't open the door for us, at all.	"He needn't open the door for us, at all.
4148_134149_000083_000002	We can go out with you."	We can go out with you."
4148_134149_000084_000000	"True, dear child!" the Professor thankfully replied, as he replaced the coins in his pocket.	"True, dear child!" the Professor thankfully replied, as he replaced the coins in his pocket.
4148_134149_000084_000001	"That saves two shillings!" And he took the children's hands, that they might all go out together when the door was opened.	"That saves two shillings!" And he took the children's hands, that they might all go out together when the door was opened.
4148_134149_000085_000001	"Why not try the large one?	"Why not try the large one?
4148_134149_000087_000000	The Professor shook his head.	The Professor shook his head.
4148_134149_000087_000002	And now it's open, we are going out by Rule--the Rule of Three."	And now it's open, we are going out by Rule-the Rule of Three."
4148_134149_000088_000000	The Gardener looked puzzled, and let us go out; but, as he locked the door behind us, we heard him singing thoughtfully to himself,	The Gardener looked puzzled, and let us go out; but, as he locked the door behind us, we heard him singing thoughtfully to himself,
4148_134149_000089_000000	"He thought he saw a Garden-Door That opened with a key: He looked again, and found it was A Double Rule of Three: 'And all its mystery,' he said, 'Is clear as day to me!'"	"He thought he saw a Garden Door That opened with a key: He looked again, and found it was A Double Rule of Three: 'And all its mystery,' he said, 'Is clear as day to me!'"
4148_134149_000090_000000	"I shall now return," said the Professor, when we had walked a few yards: "you see, it's impossible to read here, for all my books are in the house."	"I shall now return," said the Professor, when we had walked a few yards: "you see, it's impossible to read here, for all my books are in the house."
4148_134149_000091_000000	But the children still kept fast hold of his hands.	But the children still kept fast hold of his hands.
4148_134149_000091_000001	"Do come with us!" Sylvie entreated with tears in her eyes.	"Do come with us!" Sylvie entreated with tears in her eyes.
4148_134149_000092_000001	"Perhaps I'll come after you, some day soon.	"Perhaps I'll come after you, some day soon.
4148_134149_000092_000002	But I must go back now.	But I must go back now.
4148_134149_000092_000003	You see I left off at a comma, and it's so awkward not knowing how the sentence finishes! Besides, you've got to go through Dogland first, and I'm always a little nervous about dogs.	You see I left off at a comma, and it's so awkward not knowing how the sentence finishes! Besides, you've got to go through Dogland first, and I'm always a little nervous about dogs.
4148_134149_000092_000004	But it'll be quite easy to come, as soon as I've completed my new invention--for carrying one's-self, you know.	But it'll be quite easy to come, as soon as I've completed my new invention-for carrying one's self, you know.
4148_134149_000094_000000	"Well, no, my child.	"Well, no, my child.
4148_134149_000094_000001	You see, whatever fatigue one incurs by carrying, one saves by being carried!	You see, whatever fatigue one incurs by carrying, one saves by being carried!
4148_134149_000094_000003	Good-bye, Sir!" he added to my intense surprise, giving my hand an affectionate squeeze.	Good bye, Sir!" he added to my intense surprise, giving my hand an affectionate squeeze.
