3728_105386_000000_000000	Sir Percy also made no attempt to detain his wife.	Sir Percy also made no attempt to detain his wife.	false	0	2.37	22.694733
3728_105386_000029_000000	"Nay!" he interrupted energetically, "I will distress myself on your account, my Margot.	"Nay!" he interrupted energetically, "I will distress myself on your account, my Margot.	true	326.69	332.38	23.457296
3728_105386_000029_000001	Listen, dear, I have not spoken of these things to you before; something always seemed to stop me when I wished to question you.	Listen, dear, I have not spoken of these things to you before; something always seemed to stop me when I wished to question you.	true	332.54	340.3	23.248032
3728_105386_000029_000002	But, somehow, I feel as if I could not go away and leave you now without asking you one question. . . .	But, somehow, I feel as if I could not go away and leave you now without asking you one question. . . .	true	340.37	346.39	21
3728_105386_000029_000003	You need not answer it if you do not wish," he added, as he noted a sudden hard look, almost of apprehension, darting through her eyes.	You need not answer it if you do not wish," he added, as he noted a sudden hard look, almost of apprehension, darting through her eyes.	false	346.91	354.52	21.683239
3728_105386_000030_000000	"What is it?" she asked simply.	"What is it?" she asked simply.	true	354.86	356.7	24.841154
3728_105386_000031_000000	"Does Sir Percy Blakeney know that . . .	"Does Sir Percy Blakeney know that . . .	false	356.7	359.89	22.700018
3728_105386_000031_000001	I mean, does he know the part you played in the arrest of the Marquis de St. Cyr?"	I mean, does he know the part you played in the arrest of the Marquis de st Cyr?"	true	360.35	364.96	22.1898
3728_105386_000032_000000	She laughed--a mirthless, bitter, contemptuous laugh, which was like a jarring chord in the music of her voice.	She laughed-a mirthless, bitter, contemptuous laugh, which was like a jarring chord in the music of her voice.	true	365.15	372.49	24.246836
3728_105386_000033_000000	"That I denounced the Marquis de St. Cyr, you mean, to the tribunal that ultimately sent him and all his family to the guillotine?	"That I denounced the Marquis de st Cyr, you mean, to the tribunal that ultimately sent him and all his family to the guillotine?	false	372.83	381.07	23.342554
3728_105386_000033_000001	Yes, he does know. . . . .	Yes, he does know. . . . .	true	381.56	382.96	20.332148
3728_105386_000033_000002	I told him after I married him. . . ."	I told him after I married him. . . ."	true	383	384.94	20.534418
3728_105386_000034_000000	"You told him all the circumstances--which so completely exonerated you from any blame?"	"You told him all the circumstances-which so completely exonerated you from any blame?"	true	385.34	390.64	21.757557
3728_105386_000035_000000	"It was too late to talk of 'circumstances'; he heard the story from other sources; my confession came too tardily, it seems.	"It was too late to talk of 'circumstances'; he heard the story from other sources; my confession came too tardily, it seems.	false	391.88	399.69	21.777428
3728_105386_000035_000001	I could no longer plead extenuating circumstances: I could not demean myself by trying to explain--"	I could no longer plead extenuating circumstances: I could not demean myself by trying to explain-"	true	399.69	406.96	21.636223
3728_105386_000036_000000	"And?"	"And?"	true	407.42	408.43	22.63254
3728_105386_000037_000000	"And now I have the satisfaction, Armand, of knowing that the biggest fool in England has the most complete contempt for his wife."	"And now I have the satisfaction, Armand, of knowing that the biggest fool in England has the most complete contempt for his wife."	true	408.53	416.98	22.001606
3728_105386_000038_000000	She spoke with vehement bitterness this time, and Armand St. Just, who loved her so dearly, felt that he had placed a somewhat clumsy finger upon an aching wound.	She spoke with vehement bitterness this time, and Armand st Just, who loved her so dearly, felt that he had placed a somewhat clumsy finger upon an aching wound.	false	417.44	427.6	24.641277
3728_105386_000039_000000	"But Sir Percy loved you, Margot," he repeated gently.	"But Sir Percy loved you, Margot," he repeated gently.	true	427.97	431.47	23.852072
3728_105386_000040_000000	"Loved me?--Well, Armand, I thought at one time that he did, or I should not have married him.	"Loved me?--Well, Armand, I thought at one time that he did, or I should not have married him.	true	431.72	438.34	22.058105
3728_105386_000040_000001	I daresay," she added, speaking very rapidly, as if she were about to lay down a heavy burden, which had oppressed her for months, "I daresay that even you thought--as everybody else did--that I married Sir Percy because of his wealth--but I assure you, dear, that it was not so.	I daresay," she added, speaking very rapidly, as if she were about to lay down a heavy burden, which had oppressed her for months, "I daresay that even you thought-as everybody else did-that I married Sir Percy because of his wealth-but I assure you, dear, that it was not so.	true	438.62	456.28	21.58534
3728_105386_000040_000002	He seemed to worship me with a curious intensity of concentrated passion, which went straight to my heart.	He seemed to worship me with a curious intensity of concentrated passion, which went straight to my heart.	false	456.95	464.8	21.231524
3728_105386_000040_000003	I had never loved any one before, as you know, and I was four-and-twenty then--so I naturally thought that it was not in my nature to love.	I had never loved any one before, as you know, and I was four and twenty then-so I naturally thought that it was not in my nature to love.	true	465.56	474.4	21.973642
3728_105386_000040_000004	But it has always seemed to me that it MUST be HEAVENLY to be loved blindly, passionately, wholly . . . worshipped, in fact--and the very fact that Percy was slow and stupid was an attraction for me, as I thought he would love me all the more.	But it has always seemed to me that it MUST be HEAVENLY to be loved blindly, passionately, wholly . . . worshipped, in fact-and the very fact that Percy was slow and stupid was an attraction for me, as I thought he would love me all the more.	true	475.04	492.91	23.569958
3728_105386_000040_000005	A clever man would naturally have other interests, an ambitious man other hopes. . . .	A clever man would naturally have other interests, an ambitious man other hopes. . . .	true	493.37	498.61	18.887037
3728_105386_000040_000006	I thought that a fool would worship, and think of nothing else.	I thought that a fool would worship, and think of nothing else.	true	498.62	502.08	21.885841
3728_105386_000040_000007	And I was ready to respond, Armand; I would have allowed myself to be worshipped, and given infinite tenderness in return. . . ."	And I was ready to respond, Armand; I would have allowed myself to be worshipped, and given infinite tenderness in return. . . ."	true	502.08	511.39	22.481382
3728_105386_000041_000000	She sighed--and there was a world of disillusionment in that sigh. Armand St. Just had allowed her to speak on without interruption: he listened to her, whilst allowing his own thoughts to run riot.	She sighed-and there was a world of disillusionment in that sigh. Armand st Just had allowed her to speak on without interruption: he listened to her, whilst allowing his own thoughts to run riot.	false	512	523.45	21.977835
3728_105386_000041_000001	It was terrible to see a young and beautiful woman--a girl in all but name--still standing almost at the threshold of her life, yet bereft of hope, bereft of illusions, bereft of all those golden and fantastic dreams, which should have made her youth one long, perpetual holiday.	It was terrible to see a young and beautiful woman-a girl in all but name-still standing almost at the threshold of her life, yet bereft of hope, bereft of illusions, bereft of all those golden and fantastic dreams, which should have made her youth one long, perpetual holiday.	false	523.67	542.44	22.60264
3728_105386_000042_000000	Yet perhaps--though he loved his sister dearly--perhaps he understood: he had studied men in many countries, men of all ages, men of every grade of social and intellectual status, and inwardly he understood what Marguerite had left unsaid.	Yet perhaps-though he loved his sister dearly-perhaps he understood: he had studied men in many countries, men of all ages, men of every grade of social and intellectual status, and inwardly he understood what Marguerite had left unsaid.	false	542.78	557.38	22.187298
3728_105386_000042_000001	Granted that Percy Blakeney was dull-witted, but in his slow-going mind, there would still be room for that ineradicable pride of a descendant of a long line of English gentlemen. A Blakeney had died on Bosworth field, another had sacrified life and fortune for the sake of a treacherous Stuart: and that same pride--foolish and prejudiced as the republican Armand would call it--must have been stung to the quick on hearing of the sin which lay at Lady Blakeney's door.	Granted that Percy Blakeney was dull witted, but in his slow going mind, there would still be room for that ineradicable pride of a descendant of a long line of English gentlemen. A Blakeney had died on Bosworth field, another had sacrified life and fortune for the sake of a treacherous Stuart: and that same pride-foolish and prejudiced as the republican Armand would call it-must have been stung to the quick on hearing of the sin which lay at Lady Blakeney's door.	true	557.39	586.12	22.704992
3728_105386_000042_000002	She had been young, misguided, ill-advised perhaps.	She had been young, misguided, ill advised perhaps.	true	586.52	590.26	20.915567
3728_105386_000042_000003	Armand knew that: her impulses and imprudence, knew it still better; but Blakeney was slow-witted, he would not listen to "circumstances," he only clung to facts, and these had shown him Lady Blakeney denouncing a fellow man to a tribunal that knew no pardon: and the contempt he would feel for the deed she had done, however unwittingly, would kill that same love in him, in which sympathy and intellectuality could never have a part.	Armand knew that: her impulses and imprudence, knew it still better; but Blakeney was slow witted, he would not listen to "circumstances," he only clung to facts, and these had shown him Lady Blakeney denouncing a fellow man to a tribunal that knew no pardon: and the contempt he would feel for the deed she had done, however unwittingly, would kill that same love in him, in which sympathy and intellectuality could never have a part.	false	590.39	618.19	22.16204
3728_105386_000043_000000	Yet even now, his own sister puzzled him.	Yet even now, his own sister puzzled him.	true	618.35	621.61	21.319195
3728_105386_000043_000001	Life and love have such strange vagaries.	Life and love have such strange vagaries.	false	621.83	624.88	21.750692
3728_105386_000043_000002	Could it be that with the waning of her husband's love, Marguerite's heart had awakened with love for him?	Could it be that with the waning of her husband's love, Marguerite's heart had awakened with love for him?	true	624.95	631.03	23.814236
3728_105386_000043_000003	Strange extremes meet in love's pathway: this woman, who had had half intellectual Europe at her feet, might perhaps have set her affections on a fool.	Strange extremes meet in love's pathway: this woman, who had had half intellectual Europe at her feet, might perhaps have set her affections on a fool.	false	631.07	641.05	20.949997
3728_105386_000043_000004	Marguerite was gazing out towards the sunset.	Marguerite was gazing out towards the sunset.	true	641.21	643.84	23.076973
3728_105386_000043_000005	Armand could not see her face, but presently it seemed to him that something which glittered for a moment in the golden evening light, fell from her eyes onto her dainty fichu of lace.	Armand could not see her face, but presently it seemed to him that something which glittered for a moment in the golden evening light, fell from her eyes onto her dainty fichu of lace.	true	644.27	654.46	22.897339
3728_105386_000044_000000	But he could not broach that subject with her.	But he could not broach that subject with her.	true	655.73	658.095	23.821524
3728_105386_000044_000001	He knew her strange, passionate nature so well, and knew that reserve which lurked behind her frank, open ways.	He knew her strange, passionate nature so well, and knew that reserve which lurked behind her frank, open ways.	true	658.095	665.07	22.019213
3728_105386_000044_000002	They had always been together, these two, for their parents had died when Armand was still a youth, and Marguerite but a child.	They had always been together, these two, for their parents had died when Armand was still a youth, and Marguerite but a child.	false	665.07	671.83	23.275969
3728_105386_000044_000003	He, some eight years her senior, had watched over her until her marriage; had chaperoned her during those brilliant years spent in the flat of the Rue de Richelieu, and had seen her enter upon this new life of hers, here in England, with much sorrow and some foreboding.	He, some eight years her senior, had watched over her until her marriage; had chaperoned her during those brilliant years spent in the flat of the Rue de Richelieu, and had seen her enter upon this new life of hers, here in England, with much sorrow and some foreboding.	false	671.99	689.98	21.1476
3728_105386_000045_000000	This was his first visit to England since her marriage, and the few months of separation had already seemed to have built up a slight, thin partition between brother and sister; the same deep, intense love was still there, on both sides, but each now seemed to have a secret orchard, into which the other dared not penetrate.	This was his first visit to England since her marriage, and the few months of separation had already seemed to have built up a slight, thin partition between brother and sister; the same deep, intense love was still there, on both sides, but each now seemed to have a secret orchard, into which the other dared not penetrate.	true	690.68	708.85	21.500198
3728_105386_000046_000000	There was much Armand St. Just could not tell his sister; the political aspect of the revolution in France was changing almost every day; she might not understand how his own views and sympathies might become modified, even as the excesses, committed by those who had been his friends, grew in horror and in intensity.	There was much Armand st Just could not tell his sister; the political aspect of the revolution in France was changing almost every day; she might not understand how his own views and sympathies might become modified, even as the excesses, committed by those who had been his friends, grew in horror and in intensity.	false	709.52	728.14	22.092398
3728_105386_000046_000001	And Marguerite could not speak to her brother about the secrets of her heart; she hardly understood them herself, she only knew that, in the midst of luxury, she felt lonely and unhappy.	And Marguerite could not speak to her brother about the secrets of her heart; she hardly understood them herself, she only knew that, in the midst of luxury, she felt lonely and unhappy.	true	728.66	739.6	24.062244
3728_105386_000047_000000	And now Armand was going away; she feared for his safety, she longed for his presence.	And now Armand was going away; she feared for his safety, she longed for his presence.	true	739.76	745.54	19.709978
3728_105386_000047_000001	She would not spoil these last few sadly-sweet moments by speaking about herself.	She would not spoil these last few sadly sweet moments by speaking about herself.	true	745.55	751.48	22.31661
3728_105386_000047_000002	She led him gently along the cliffs, then down to the beach; their arms linked in one another's, they had still so much to say that lay just outside that secret orchard of theirs.	She led him gently along the cliffs, then down to the beach; their arms linked in one another's, they had still so much to say that lay just outside that secret orchard of theirs.	false	751.79	769.11	22.591589
