5293_82020_000000_000000	Karl soon found himself before the house in which his friend Hoellenrachen resided.	Karl soon found himself before the house in which his friend Hoellenrachen resided.	true	22.8	27.55	22.86426
5293_82020_000019_000003	As much as possible, however, they avoided alarming Lilith, who, knowing all they knew, was as silent as they.	As much as possible, however, they avoided alarming Lilith, who, knowing all they knew, was as silent as they.	true	440.72	447.34	22.295525
5293_82020_000019_000004	But her mind was in a strange state of excitement, partly from the presence of a new sense of love, the pleasure of which all the atmosphere of grief into which it grew could not totally quench.	But her mind was in a strange state of excitement, partly from the presence of a new sense of love, the pleasure of which all the atmosphere of grief into which it grew could not totally quench.	true	447.62	459.19	23.317036
5293_82020_000019_000005	It comforted her somehow, as a child may comfort when his father is away.	It comforted her somehow, as a child may comfort when his father is away.	true	459.2	463.45	23.791897
5293_82020_000020_000000	Bedtime came, and no one made a move to go.	Bedtime came, and no one made a move to go.	true	464.75	467.44	26.71828
5293_82020_000020_000001	Without a word spoken on the subject, the three remained together all night; the elders nodding and slumbering occasionally, and Lilith getting some share of repose on a couch.	Without a word spoken on the subject, the three remained together all night; the elders nodding and slumbering occasionally, and Lilith getting some share of repose on a couch.	true	467.57	477.19	22.240288
5293_82020_000020_000002	All night the shape of death might be somewhere about the house; but it did not disturb them.	All night the shape of death might be somewhere about the house; but it did not disturb them.	true	477.53	482.67	26.155098
5293_82020_000020_000003	They heard no sound, saw no sight; and when the morning dawned, they separated, chilled and stupid, and for the time beyond fear, to seek repose in their private chambers.	They heard no sound, saw no sight; and when the morning dawned, they separated, chilled and stupid, and for the time beyond fear, to seek repose in their private chambers.	true	482.67	492.28	25.569603
5293_82020_000020_000004	There they remained equally undisturbed.	There they remained equally undisturbed.	true	492.68	495.07	22.650885
5293_82020_000021_000000	But when the painter approached his easel a few hours after, looking more pale and haggard still than he was wont, from the fears of the night, a new bewilderment took possession of him.	But when the painter approached his easel a few hours after, looking more pale and haggard still than he was wont, from the fears of the night, a new bewilderment took possession of him.	true	495.2	506.11	23.276283
5293_82020_000021_000001	He had been busy with a fresh embodiment of his favourite subject, into which he had sketched the form of the student as the sufferer.	He had been busy with a fresh embodiment of his favourite subject, into which he had sketched the form of the student as the sufferer.	true	506.78	513.67	23.100563
5293_82020_000021_000002	He had represented poor Wolkenlicht as just beginning to recover from a trance, while a group of surgeons, unaware of the signs of returning life, were absorbed in a minute dissection of one of the limbs.	He had represented poor Wolkenlicht as just beginning to recover from a trance, while a group of surgeons, unaware of the signs of returning life, were absorbed in a minute dissection of one of the limbs.	false	513.89	525.37	21.553543
5293_82020_000021_000003	At an open door he had painted Lilith passing, with her face buried in a bunch of sweet peas.	At an open door he had painted Lilith passing, with her face buried in a bunch of sweet peas.	true	525.83	531.45	26.170223
5293_82020_000021_000004	But when he came to the picture, he found, to his astonishment and terror, that the face of one of the group was now turned towards that of the victim, regarding his revival with demoniac satisfaction, and taking pains to prevent the others from discovering it.	But when he came to the picture, he found, to his astonishment and terror, that the face of one of the group was now turned towards that of the victim, regarding his revival with demoniac satisfaction, and taking pains to prevent the others from discovering it.	true	531.45	546.07	23.716822
5293_82020_000021_000005	The face of this prince of torturers was that of Teufelsbuerst himself.	The face of this prince of torturers was that of Teufelsbuerst himself.	true	546.35	550.9	25.439905
5293_82020_000021_000006	Lilith had altogether vanished, and in her place stood the dim vampire reiteration of the body that lay extended on the table, staring greedily at the assembled company.	Lilith had altogether vanished, and in her place stood the dim vampire reiteration of the body that lay extended on the table, staring greedily at the assembled company.	true	551.3	562.12	22.626158
5293_82020_000021_000007	With trembling hands the painter removed the picture from the easel, and turned its face to the wall.	With trembling hands the painter removed the picture from the easel, and turned its face to the wall.	true	562.64	568.09	21.851776
5293_82020_000022_000000	Of course this was the work of Lottchen.	Of course this was the work of Lottchen.	true	569.6	571.72	26.546005
5293_82020_000022_000001	When he left the house, he took with him the key of a small private door, which was so seldom used that, while it remained closed, the key would not be missed, perhaps for many months.	When he left the house, he took with him the key of a small private door, which was so seldom used that, while it remained closed, the key would not be missed, perhaps for many months.	true	572.09	582.16	23.612295
5293_82020_000022_000002	Watching the windows, he had chosen a safe time to enter, and had been hard at work all night on these alterations.	Watching the windows, he had chosen a safe time to enter, and had been hard at work all night on these alterations.	true	582.83	589.21	23.733809
5293_82020_000022_000003	Teufelsbuerst attributed them to the vampire, and left the picture as he found it, not daring to put brush to it again.	Teufelsbuerst attributed them to the vampire, and left the picture as he found it, not daring to put brush to it again.	true	589.58	596.26	24.145685
5293_82020_000023_000000	The next night was passed much after the same fashion.	The next night was passed much after the same fashion.	true	596.45	599.56	21.625465
5293_82020_000023_000001	But the fear had begun to die away a little in the hearts of the women, who did not know what had taken place in the studio on the previous night.	But the fear had begun to die away a little in the hearts of the women, who did not know what had taken place in the studio on the previous night.	true	599.69	606.58	21.58209
5293_82020_000023_000002	It burrowed, however, with gathered force in the vitals of Teufelsbuerst.	It burrowed, however, with gathered force in the vitals of Teufelsbuerst.	false	606.86	611.73	22.394102
5293_82020_000023_000003	But this night likewise passed in peace; and before it was over, the old woman had taken to speculating in her own mind as to the best way of disposing of the body, seeing it was not at all likely to be troublesome.	But this night likewise passed in peace; and before it was over, the old woman had taken to speculating in her own mind as to the best way of disposing of the body, seeing it was not at all likely to be troublesome.	true	611.73	623.08	22.638514
5293_82020_000023_000004	But when the painter entered his studio in trepidation the next morning, he found that the form of the lovely Lilith was painted out of every picture in the room.	But when the painter entered his studio in trepidation the next morning, he found that the form of the lovely Lilith was painted out of every picture in the room.	true	623.6	632.53	24.341618
5293_82020_000023_000005	This could not be concealed; and Lilith and the servant became aware that the studio was the portion of the house in haunting which the vampire left the rest in peace.	This could not be concealed; and Lilith and the servant became aware that the studio was the portion of the house in haunting which the vampire left the rest in peace.	true	632.72	641.53	22.07074
5293_82020_000024_000000	Karl recounted all the tricks he had played to his friend Heinrich, who begged to be allowed to bear him company the following night.	Karl recounted all the tricks he had played to his friend Heinrich, who begged to be allowed to bear him company the following night.	true	643.4	649.81	23.551647
5293_82020_000024_000001	To this Karl consented, thinking it would be considerably more agreeable to have a companion.	To this Karl consented, thinking it would be considerably more agreeable to have a companion.	false	650.15	655	23.217705
5293_82020_000024_000002	So they took a couple of bottles of wine and some provisions with them, and before midnight found themselves snug in the studio.	So they took a couple of bottles of wine and some provisions with them, and before midnight found themselves snug in the studio.	true	655.58	662.23	23.401775
5293_82020_000024_000003	They sat very quiet for some time, for they knew that if they were seen, two vampires would not be so terrible as one, and might occasion discovery.	They sat very quiet for some time, for they knew that if they were seen, two vampires would not be so terrible as one, and might occasion discovery.	true	662.9	670.78	23.618898
5293_82020_000024_000004	But at length Heinrich could bear it no longer.	But at length Heinrich could bear it no longer.	true	670.97	673.83	25.241045
5293_82020_000025_000000	"I say, Lottchen, let's go and look; for your dead body.	"I say, Lottchen, let's go and look; for your dead body.	false	673.83	678.49	22.232832
5293_82020_000025_000001	What has the old beggar done with it?"	What has the old beggar done with it?"	false	678.62	680.38	19.875881
5293_82020_000026_000000	"I think I know.	"I think I know.	true	681.11	682.24	25.92845
5293_82020_000026_000001	Stop; let me peep out.	Stop; let me peep out.	true	682.34	683.98	25.13115
5293_82020_000026_000002	All right!	All right!	true	684.68	685.23	27.913013
5293_82020_000026_000003	Come along."	Come along."	true	685.23	685.99	25.157692
5293_82020_000027_000000	With a lamp in his hand, he led the way to the cellars, and after searching about a little they discovered it.	With a lamp in his hand, he led the way to the cellars, and after searching about a little they discovered it.	true	686.45	692.14	22.98788
5293_82020_000028_000000	"It looks horrid enough," said Heinrich, "but think a drop or two of wine would brighten it up a little."	"It looks horrid enough," said Heinrich, "but think a drop or two of wine would brighten it up a little."	false	693.17	699.34	21.42854
5293_82020_000029_000000	So he took a bottle from his pocket, and after they had had a glass apiece, he dropped a third in blots all over the plaster.	So he took a bottle from his pocket, and after they had had a glass apiece, he dropped a third in blots all over the plaster.	true	699.89	707.41	23.553974
5293_82020_000029_000001	Being red wine, it had the effect Hoellenrachen desired.	Being red wine, it had the effect Hoellenrachen desired.	true	707.66	711.3	21.342636
5293_82020_000030_000000	"When they visit it next, they will know that the vampire can find the food he prefers," said he.	"When they visit it next, they will know that the vampire can find the food he prefers," said he.	false	711.3	718.39	23.815508
5293_82020_000031_000000	In a corner close by the plaster, they found the clothes Karl had worn.	In a corner close by the plaster, they found the clothes Karl had worn.	true	719.15	722.94	25.052141
5293_82020_000032_000000	"Hillo!" said Heinrich, "we'll make something of this find."	"Hillo!" said Heinrich, "we'll make something of this find."	false	722.94	728.19	24.532763
5293_82020_000033_000000	So he carried them with him to the studio.	So he carried them with him to the studio.	true	728.19	730.57	21.08148
5293_82020_000033_000001	There he got hold of the lay-figure.	There he got hold of the lay figure.	true	730.88	732.97	20.975178
5293_82020_000034_000000	"What are you about, Heinrich?"	"What are you about, Heinrich?"	true	733.55	735.1	25.843744
5293_82020_000035_000000	"Going to make a scarecrow to keep the ravens off old Teufel's pictures," answered Heinrich, as he went on dressing the lay-figure in Karl's clothes.	"Going to make a scarecrow to keep the ravens off old Teufel's pictures," answered Heinrich, as he went on dressing the lay figure in Karl's clothes.	false	735.77	744.22	22.493824
5293_82020_000035_000001	He next seated the creature at an easel with its back to the door, so that it should be the first thing the painter should see when he entered.	He next seated the creature at an easel with its back to the door, so that it should be the first thing the painter should see when he entered.	true	744.68	751.66	22.38943
5293_82020_000035_000002	Karl meant to remove this before he went, for it was too comical to fall in with the rest of his proceedings.	Karl meant to remove this before he went, for it was too comical to fall in with the rest of his proceedings.	true	751.85	757.45	23.89823
5293_82020_000035_000003	But the two sat down to their supper, and by the time they had finished the wine, they thought they should like to go to bed.	But the two sat down to their supper, and by the time they had finished the wine, they thought they should like to go to bed.	true	757.49	762.97	23.660646
5293_82020_000035_000004	So they got up and went home, and Karl forgot the lay-figure, leaving it in busy motionlessness all night before the easel.	So they got up and went home, and Karl forgot the lay figure, leaving it in busy motionlessness all night before the easel.	true	763.46	770.17	22.211357
5293_82020_000035_000005	When Teufelsbuerst saw it, he turned and fled with a cry that brought his daughter to his help.	When Teufelsbuerst saw it, he turned and fled with a cry that brought his daughter to his help.	true	770.33	775.96	25.234154
5293_82020_000035_000006	He rushed past her, able only to articulate:	He rushed past her, able only to articulate:	true	776.06	779.1	25.038544
5293_82020_000036_000000	"The vampire!	"The vampire!	false	779.1	779.98	21.339174
5293_82020_000036_000001	The vampire!	The vampire!	true	780.17	781.14	25.573833
5293_82020_000036_000002	Painting!"	Painting!"	false	781.14	783.54	26.700594
5293_82020_000037_000000	Far more courageous than he, because her conscience was more peaceful, Lilith passed on to the studio.	Far more courageous than he, because her conscience was more peaceful, Lilith passed on to the studio.	true	783.54	789.19	24.452974
5293_82020_000037_000001	She too recoiled a step or two when she saw the figure; but with the sight of the back of Karl, as she supposed it to be, came the longing to see the face that was on the other side. So she crept round and round by the wall, as far off as she could.	She too recoiled a step or two when she saw the figure; but with the sight of the back of Karl, as she supposed it to be, came the longing to see the face that was on the other side. So she crept round and round by the wall, as far off as she could.	true	789.65	803.17	24.021465
5293_82020_000037_000002	The figure remained motionless.	The figure remained motionless.	true	803.42	805.57	19.186304
5293_82020_000037_000003	It was a strange kind of shock that she experienced when she saw the face, disgusting from its inanity.	It was a strange kind of shock that she experienced when she saw the face, disgusting from its inanity.	true	805.7	812.02	25.437637
5293_82020_000037_000004	The absurdity next struck her; and with the absurdity flashed into her mind the conviction that this was not the doing of a vampire; for of all creatures under the moon, he could not be expected to be a humorist.	The absurdity next struck her; and with the absurdity flashed into her mind the conviction that this was not the doing of a vampire; for of all creatures under the moon, he could not be expected to be a humorist.	true	812.45	824.29	22.989462
5293_82020_000037_000005	A wild hope sprang up in her mind that Karl was not dead.	A wild hope sprang up in her mind that Karl was not dead.	true	825.05	828.58	23.013552
5293_82020_000037_000006	Of this she soon resolved to make herself sure.	Of this she soon resolved to make herself sure.	true	829.01	831.82	21.568142
5293_82020_000038_000000	She closed the door of the studio; in the strength of her new hope undressed the figure, put it in its place, concealed the garments--all the work of a few minutes; and then, finding her father just recovering from the worst of his fear, told him there was nothing in the studio but what ought to be there, and persuaded him to go and see.	She closed the door of the studio; in the strength of her new hope undressed the figure, put it in its place, concealed the garments-all the work of a few minutes; and then, finding her father just recovering from the worst of his fear, told him there was nothing in the studio but what ought to be there, and persuaded him to go and see.	true	832.31	850.18	23.828957
5293_82020_000038_000001	He not only saw no one, but found that no further liberties had been taken with his pictures.	He not only saw no one, but found that no further liberties had been taken with his pictures.	true	850.79	855.61	21.58677
5293_82020_000038_000002	Reassured, he soon persuaded himself that the spectre in this case had been the offspring of his own terror-haunted brain.	Reassured, he soon persuaded himself that the spectre in this case had been the offspring of his own terror haunted brain.	true	856.28	863.02	23.875101
5293_82020_000038_000003	But he had no spirit for painting now.	But he had no spirit for painting now.	true	863.18	865.21	28.577696
5293_82020_000038_000004	He wandered about the house, himself haunting it like a restless ghost.	He wandered about the house, himself haunting it like a restless ghost.	true	865.4	869.47	23.899178
5293_82020_000039_000000	When night came, Lilith retired to her own room.	When night came, Lilith retired to her own room.	true	869.96	873.06	24.331553
5293_82020_000039_000001	The waters of fear had begun to subside in the house; but the painter and his old attendant did not yet follow her example.	The waters of fear had begun to subside in the house; but the painter and his old attendant did not yet follow her example.	true	873.06	879.82	22.200819
5293_82020_000040_000000	As soon, however, as the house was quite still, Lilith glided noiselessly down the stairs, went into the studio, where as yet there assuredly was no vampire, and concealed herself in a corner.	As soon, however, as the house was quite still, Lilith glided noiselessly down the stairs, went into the studio, where as yet there assuredly was no vampire, and concealed herself in a corner.	true	880.22	891.58	22.905573
5293_82020_000041_000000	As it would not do for an earnest student like Heinrich to be away from his work very often, he had not asked to accompany Lottchen this time. And indeed Karl himself, a little anxious about the result of the scarecrow, greatly preferred going alone.	As it would not do for an earnest student like Heinrich to be away from his work very often, he had not asked to accompany Lottchen this time. And indeed Karl himself, a little anxious about the result of the scarecrow, greatly preferred going alone.	true	893.18	906.73	23.231718
5293_82020_000042_000000	While she was waiting for what might happen, the conviction grew upon Lilith, as she reviewed all the past of the story, that these phenomena were the work of the real Karl, and of no vampire.	While she was waiting for what might happen, the conviction grew upon Lilith, as she reviewed all the past of the story, that these phenomena were the work of the real Karl, and of no vampire.	true	907.25	917.08	23.508873
5293_82020_000042_000001	In a few moments she was still more sure of this.	In a few moments she was still more sure of this.	true	917.27	920.14	22.355452
5293_82020_000042_000002	Behind the screen where she had taken refuge, hung one of the pictures out of which her portrait had been painted the night before last.	Behind the screen where she had taken refuge, hung one of the pictures out of which her portrait had been painted the night before last.	true	920.27	926.92	23.537672
5293_82020_000042_000003	She had taken a lamp with her into the studio, with the intention of extinguishing it the moment she heard any sign of approach; but as the vampire lingered, she began to occupy herself with examining the picture beside her.	She had taken a lamp with her into the studio, with the intention of extinguishing it the moment she heard any sign of approach; but as the vampire lingered, she began to occupy herself with examining the picture beside her.	false	927.17	938.26	22.111897
5293_82020_000042_000004	She had not looked at it long, before she wetted the tip of her forefinger, and began to rub away at the obliteration.	She had not looked at it long, before she wetted the tip of her forefinger, and began to rub away at the obliteration.	true	938.75	944.74	21.809954
5293_82020_000042_000005	Her suspicions were instantly confirmed: the substance employed was only a gummy wash over the paint.	Her suspicions were instantly confirmed: the substance employed was only a gummy wash over the paint.	true	945.17	951.16	22.600544
5293_82020_000042_000006	The delight she experienced at the discovery threw her into a mischievous humour.	The delight she experienced at the discovery threw her into a mischievous humour.	true	951.5	956.38	24.743996
5293_82020_000043_000000	"I will see," she said to herself, "whether I cannot match Karl Wolkenlicht at this game."	"I will see," she said to herself, "whether I cannot match Karl Wolkenlicht at this game."	true	956.48	962.65	24.99543
