8011_111754_000000_000000	JAMES MONROE.	james MONROE.
8011_111754_000005_000000	The resolution was referred to a committee of which he was chairman, and a report was made in favor of the measure.	The resolution was referred to a committee of which he was chairman, and a report was made in favor of the measure.
8011_111754_000006_000001	In 1785 he married a daughter of Peter Kortright, a lady of refinement and culture.	In seventeen eighty five he married a daughter of peter Kortright, a lady of refinement and culture.
8011_111754_000007_000003	In the Senate he became a strong representative of the anti-Federal party, and acted with it until his term expired in 1794.	In the Senate he became a strong representative of the anti Federal party, and acted with it until his term expired in seventeen ninety four.
8011_111754_000009_000000	On his return to America he published a 'View of the conduct of the Executive in the Foreign Affairs of the United States,' which widened the breach between him and the administration, but socially Monroe remained upon good terms with both Washington and Jay.	On his return to America he published a 'View of the conduct of the Executive in the Foreign Affairs of the United States,' which widened the breach between him and the administration, but socially Monroe remained upon good terms with both Washington and Jay.
8011_111754_000011_000000	In the same year he was commissioned Minister Plenipotentiary to England, and endeavored to conclude a convention for the protection of neutral rights, and against the impressment of seamen.	In the same year he was commissioned Minister Plenipotentiary to England, and endeavored to conclude a convention for the protection of neutral rights, and against the impressment of seamen.
8011_111754_000011_000001	In the midst of these negotiations he was directed to proceed to Madrid as Minister Extraordinary and Plenipotentiary to adjust the difficulties between the United States and Spain, in relation to the boundaries of the new purchase of Louisiana.	In the midst of these negotiations he was directed to proceed to Madrid as Minister Extraordinary and Plenipotentiary to adjust the difficulties between the United States and Spain, in relation to the boundaries of the new purchase of Louisiana.
8011_111754_000011_000003	On the last day of that year a treaty was concluded, but because of the omission of any provision against the impressment of seamen, and its doubtfulness in relation to other leading points the president sent it back for revisal.	On the last day of that year a treaty was concluded, but because of the omission of any provision against the impressment of seamen, and its doubtfulness in relation to other leading points the president sent it back for revisal.
8011_111754_000012_000000	The time was approaching for the election of a president, and a considerable body of the Republican party had brought Monroe forward as their candidate, but the preference of Jefferson for Madison was well known and of course had its influence.	The time was approaching for the election of a president, and a considerable body of the Republican party had brought Monroe forward as their candidate, but the preference of Jefferson for Madison was well known and of course had its influence.
8011_111754_000012_000001	Monroe believed that the rejection of the treaty and the predilection expressed for his rival indicated hostility on the part of the retiring President, and a correspondence on the subject ensued.	Monroe believed that the rejection of the treaty and the predilection expressed for his rival indicated hostility on the part of the retiring President, and a correspondence on the subject ensued.
8011_111754_000015_000000	His attention was also directed to the defence of New Orleans, and finding the public credit completely prostrated, he pledged his private means as subsidary to the credit of the Government, and enabled the city to successfully oppose the forces of the enemy.	His attention was also directed to the defence of New Orleans, and finding the public credit completely prostrated, he pledged his private means as subsidary to the credit of the Government, and enabled the city to successfully oppose the forces of the enemy.
8011_111754_000016_000000	In that year he succeeded to the Presidency himself, by an electoral vote of 183 out of 217, as the candidate of the party now generally known as Democratic.	In that year he succeeded to the Presidency himself, by an electoral vote of one hundred eighty three out of two hundred seventeen, as the candidate of the party now generally known as Democratic.
8011_111754_000018_000000	On this tour he wore the undress uniform of a continental officer.	On this tour he wore the undress uniform of a continental officer.
8011_111754_000022_000000	He was chosen a justice of the peace, and as such sat in the county court.	He was chosen a justice of the peace, and as such sat in the county court.
8011_111754_000022_000001	In 1829 he became a member of the Virginia convention to revise the constitution, and was chosen to preside over the deliberations of that body but he was obliged, on account of ill-health, to resign his position in that body and return to his home.	In eighteen twenty nine he became a member of the Virginia convention to revise the constitution, and was chosen to preside over the deliberations of that body but he was obliged, on account of ill health, to resign his position in that body and return to his home.
8011_111754_000023_000000	Although Monroe had received $350,000 for his public services alone, he was greatly harrassed with creditors toward the latter part of his life. Toward the last he made his home with his son-in-law, Samuel L. Gouverneur of New York city, where he was originally buried, but in 1830 he was removed to Richmond with great pomp and re-interred in Holleywood Cemetery.	Although Monroe had received three hundred fifty thousand dollars for his public services alone, he was greatly harrassed with creditors toward the latter part of his life. Toward the last he made his home with his son in law, Samuel l Gouverneur of New York city, where he was originally buried, but in eighteen thirty he was removed to Richmond with great pomp and re interred in Holleywood Cemetery.
8011_111754_000024_000002	He encouraged the army, increased the navy, augmented the national defences, protected commerce, approved of the United States Bank, and infused vigor into every department of the public service.	He encouraged the army, increased the navy, augmented the national defences, protected commerce, approved of the United States Bank, and infused vigor into every department of the public service.
8011_111754_000025_000000	His honesty, good faith, and simplicity were generally acknowledged, and disarmed the political rancor of the strongest opponents.	His honesty, good faith, and simplicity were generally acknowledged, and disarmed the political rancor of the strongest opponents.
8011_111754_000025_000001	Madison thought the country had never fully appreciated the robust understanding of Monroe.	Madison thought the country had never fully appreciated the robust understanding of Monroe.
8011_111754_000025_000002	In person, Monroe was tall and well-formed, with light complexion and blue eyes.	In person, Monroe was tall and well formed, with light complexion and blue eyes.
