3171_7574_000001_000000	POSTSCRIPT	POSTSCRIPT
3171_7574_000012_000004	Philosophy, with its passion for unity, and mysticism with its monoideistic bent, both "pass to the limit" and identify the something with a unique God who is the all-inclusive soul of the world.	Philosophy, with its passion for unity, and mysticism with its monoideistic bent, both "pass to the limit" and identify the something with a unique God who is the all inclusive soul of the world.
3171_7574_000012_000005	Popular opinion, respectful to their authority, follows the example which they set.	Popular opinion, respectful to their authority, follows the example which they set.
3171_7574_000013_000001	All that the facts require is that the power should be both other and larger than our conscious selves.	All that the facts require is that the power should be both other and larger than our conscious selves.
3171_7574_000015_000000	Upholders of the monistic view will say to such a polytheism (which, by the way, has always been the real religion of common people, and is so still to-day) that unless there be one all-inclusive God, our guarantee of security is left imperfect.	Upholders of the monistic view will say to such a polytheism (which, by the way, has always been the real religion of common people, and is so still to day) that unless there be one all inclusive God, our guarantee of security is left imperfect.
3171_7574_000015_000001	In the Absolute, and in the Absolute only, ALL is saved.	In the Absolute, and in the Absolute only, ALL is saved.
3171_7574_000015_000002	If there be different gods, each caring for his part, some portion of some of us might not be covered with divine protection, and our religious consolation would thus fail to be complete.	If there be different gods, each caring for his part, some portion of some of us might not be covered with divine protection, and our religious consolation would thus fail to be complete.
3171_7574_000015_000005	The ordinary moralistic state of mind makes the salvation of the world conditional upon the success with which each unit does its part.	The ordinary moralistic state of mind makes the salvation of the world conditional upon the success with which each unit does its part.
3171_7574_000015_000006	Partial and conditional salvation is in fact a most familiar notion when taken in the abstract, the only difficulty being to determine the details.	Partial and conditional salvation is in fact a most familiar notion when taken in the abstract, the only difficulty being to determine the details.
3171_7574_000015_000007	Some men are even disinterested enough to be willing to be in the unsaved remnant as far as their persons go, if only they can be persuaded that their cause will prevail--all of us are willing, whenever our activity-excitement rises sufficiently high.	Some men are even disinterested enough to be willing to be in the unsaved remnant as far as their persons go, if only they can be persuaded that their cause will prevail-all of us are willing, whenever our activity excitement rises sufficiently high.
3171_7574_000015_000008	I think, in fact, that a final philosophy of religion will have to consider the pluralistic hypothesis more seriously than it has hitherto been willing to consider it.	I think, in fact, that a final philosophy of religion will have to consider the pluralistic hypothesis more seriously than it has hitherto been willing to consider it.
3171_7574_000015_000009	For practical life at any rate, the CHANCE of salvation is enough. No fact in human nature is more characteristic than its willingness to live on a chance.	For practical life at any rate, the CHANCE of salvation is enough. No fact in human nature is more characteristic than its willingness to live on a chance.
