3171_7574_000000_000000	So my objective and my subjective conscience both hold me to the over-belief which I express.	So my objective and my subjective conscience both hold me to the over belief which I express.	false	0	7.89	18.191334
3171_7574_000009_000001	In spite of its being so shocking to the reigning intellectual tastes, I believe that a candid consideration of piecemeal supernaturalism and a complete discussion of all its metaphysical bearings will show it to be the hypothesis by which the largest number of legitimate requirements are met.	In spite of its being so shocking to the reigning intellectual tastes, I believe that a candid consideration of piecemeal supernaturalism and a complete discussion of all its metaphysical bearings will show it to be the hypothesis by which the largest number of legitimate requirements are met.	false	494.15	513.4	20.887438
3171_7574_000009_000002	That of course would be a program for other books than this; what I now say sufficiently indicates to the philosophic reader the place where I belong.	That of course would be a program for other books than this; what I now say sufficiently indicates to the philosophic reader the place where I belong.	false	514.22	524.88	19.541098
3171_7574_000010_000000	If asked just where the differences in fact which are due to God's existence come in, I should have to say that in general I have no hypothesis to offer beyond what the phenomenon of "prayerful communion," especially when certain kinds of incursion from the subconscious region take part in it, immediately suggests.	If asked just where the differences in fact which are due to God's existence come in, I should have to say that in general I have no hypothesis to offer beyond what the phenomenon of "prayerful communion," especially when certain kinds of incursion from the subconscious region take part in it, immediately suggests.	false	524.88	545.53	20.731976
3171_7574_000010_000001	The appearance is that in this phenomenon something ideal, which in one sense is part of ourselves and in another sense is not ourselves, actually exerts an influence, raises our centre of personal energy, and produces regenerative effects unattainable in other ways.	The appearance is that in this phenomenon something ideal, which in one sense is part of ourselves and in another sense is not ourselves, actually exerts an influence, raises our centre of personal energy, and produces regenerative effects unattainable in other ways.	true	546.32	565.72	19.935177
3171_7574_000010_000002	If, then, there be a wider world of being than that of our every-day consciousness, if in it there be forces whose effects on us are intermittent, if one facilitating condition of the effects be the openness of the "subliminal" door, we have the elements of a theory to which the phenomena of religious life lend plausibility.	If, then, there be a wider world of being than that of our every day consciousness, if in it there be forces whose effects on us are intermittent, if one facilitating condition of the effects be the openness of the "subliminal" door, we have the elements of a theory to which the phenomena of religious life lend plausibility.	false	566.21	587.5	20.183401
3171_7574_000010_000003	I am so impressed by the importance of these phenomena that I adopt the hypothesis which they so naturally suggest.	I am so impressed by the importance of these phenomena that I adopt the hypothesis which they so naturally suggest.	true	588.11	595.33	21.584604
3171_7574_000010_000004	At these places at least, I say, it would seem as though transmundane energies, God, if you will, produced immediate effects within the natural world to which the rest of our experience belongs.	At these places at least, I say, it would seem as though transmundane energies, God, if you will, produced immediate effects within the natural world to which the rest of our experience belongs.	true	595.94	610.72	20.790892
3171_7574_000011_000000	The difference in natural "fact" which most of us would assign as the first difference which the existence of a God ought to make would, I imagine, be personal immortality.	The difference in natural "fact" which most of us would assign as the first difference which the existence of a God ought to make would, I imagine, be personal immortality.	true	611.78	623.65	20.55181
3171_7574_000011_000001	Religion, in fact, for the great majority of our own race MEANS immortality, and nothing else.	Religion, in fact, for the great majority of our own race MEANS immortality, and nothing else.	true	624.26	631.96	19.710833
3171_7574_000011_000002	God is the producer of immortality; and whoever has doubts of immortality is written down as an atheist without farther trial.	God is the producer of immortality; and whoever has doubts of immortality is written down as an atheist without farther trial.	true	632.39	641.65	20.743456
3171_7574_000011_000003	I have said nothing in my lectures about immortality or the belief therein, for to me it seems a secondary point.	I have said nothing in my lectures about immortality or the belief therein, for to me it seems a secondary point.	true	641.93	650.44	19.927217
3171_7574_000011_000004	If our ideals are only cared for in "eternity," I do not see why we might not be willing to resign their care to other hands than ours.	If our ideals are only cared for in "eternity," I do not see why we might not be willing to resign their care to other hands than ours.	true	650.87	661	18
3171_7574_000011_000005	Yet I sympathize with the urgent impulse to be present ourselves, and in the conflict of impulses, both of them so vague yet both of them noble, I know not how to decide.	Yet I sympathize with the urgent impulse to be present ourselves, and in the conflict of impulses, both of them so vague yet both of them noble, I know not how to decide.	true	661.79	674.44	21.422733
3171_7574_000011_000006	It seems to me that it is eminently a case for facts to testify.	It seems to me that it is eminently a case for facts to testify.	true	674.78	679.03	22.414724
3171_7574_000011_000007	Facts, I think, are yet lacking to prove "spirit-return," though I have the highest respect for the patient labors of Messrs.	Facts, I think, are yet lacking to prove "spirit return," though I have the highest respect for the patient labors of Messrs.	true	679.58	688.395	21.447199
3171_7574_000011_000008	Myers, Hodgson, and Hyslop, and am somewhat impressed by their favorable conclusions.	Myers, Hodgson, and Hyslop, and am somewhat impressed by their favorable conclusions.	true	688.395	694.84	20.880186
3171_7574_000011_000009	I consequently leave the matter open, with this brief word to save the reader from a possible perplexity as to why immortality got no mention in the body of this book.	I consequently leave the matter open, with this brief word to save the reader from a possible perplexity as to why immortality got no mention in the body of this book.	true	696.17	706.87	21
3171_7574_000012_000000	The ideal power with which we feel ourselves in connection, the "God" of ordinary men, is, both by ordinary men and by philosophers, endowed with certain of those metaphysical attributes which in the lecture on philosophy I treated with such disrespect.	The ideal power with which we feel ourselves in connection, the "God" of ordinary men, is, both by ordinary men and by philosophers, endowed with certain of those metaphysical attributes which in the lecture on philosophy I treated with such disrespect.	false	708.41	726.49	20.293123
3171_7574_000012_000001	He is assumed as a matter of course to be "one and only" and to be "infinite"; and the notion of many finite gods is one which hardly any one thinks it worth while to consider, and still less to uphold.	He is assumed as a matter of course to be "one and only" and to be "infinite"; and the notion of many finite gods is one which hardly any one thinks it worth while to consider, and still less to uphold.	false	727.07	741.04	20.270767
3171_7574_000012_000002	Nevertheless, in the interests of intellectual clearness, I feel bound to say that religious experience, as we have studied it, cannot be cited as unequivocally supporting the infinitist belief.	Nevertheless, in the interests of intellectual clearness, I feel bound to say that religious experience, as we have studied it, cannot be cited as unequivocally supporting the infinitist belief.	true	741.74	755.74	20.306484
3171_7574_000012_000003	The only thing that it unequivocally testifies to is that we can experience union with SOMETHING larger than ourselves and in that union find our greatest peace.	The only thing that it unequivocally testifies to is that we can experience union with SOMETHING larger than ourselves and in that union find our greatest peace.	false	755.96	767.02	20
3171_7574_000012_000004	Philosophy, with its passion for unity, and mysticism with its monoideistic bent, both "pass to the limit" and identify the something with a unique God who is the all-inclusive soul of the world.	Philosophy, with its passion for unity, and mysticism with its monoideistic bent, both "pass to the limit" and identify the something with a unique God who is the all inclusive soul of the world.	true	767.72	782.65	21.624641
3171_7574_000012_000005	Popular opinion, respectful to their authority, follows the example which they set.	Popular opinion, respectful to their authority, follows the example which they set.	true	783.14	788.86	20.672012
3171_7574_000013_000000	Meanwhile the practical needs and experiences of religion seem to me sufficiently met by the belief that beyond each man and in a fashion continuous with him there exists a larger power which is friendly to him and to his ideals.	Meanwhile the practical needs and experiences of religion seem to me sufficiently met by the belief that beyond each man and in a fashion continuous with him there exists a larger power which is friendly to him and to his ideals.	false	789.98	806.32	20.25312
3171_7574_000013_000001	All that the facts require is that the power should be both other and larger than our conscious selves.	All that the facts require is that the power should be both other and larger than our conscious selves.	true	806.78	813.73	21.431715
3171_7574_000013_000002	Anything larger will do, if only it be large enough to trust for the next step. It need not be infinite, it need not be solitary.	Anything larger will do, if only it be large enough to trust for the next step. It need not be infinite, it need not be solitary.	false	814.19	822.76	21.044231
3171_7574_000013_000003	It might conceivably even be only a larger and more godlike self, of which the present self would then be but the mutilated expression, and the universe might conceivably be a collection of such selves, of different degrees of inclusiveness, with no absolute unity realized in it at all.[364] Thus would a sort of polytheism return upon us--a polytheism which I do not on this occasion defend, for my only aim at present is to keep the testimony of religious experience clearly within its proper bounds. [Compare p. 130 above.]	It might conceivably even be only a larger and more godlike self, of which the present self would then be but the mutilated expression, and the universe might conceivably be a collection of such selves, of different degrees of inclusiveness, with no absolute unity realized in it at all.[three hundred sixty four] Thus would a sort of polytheism return upon us-a polytheism which I do not on this occasion defend, for my only aim at present is to keep the testimony of religious experience clearly within its proper bounds. [Compare p. one hundred thirty above.]	false	822.86	859.86	21.389387
3171_7574_000014_000000	[364] Such a notion is suggested in my Ingersoll Lecture On Human Immortality, Boston and London, 1899.	[three hundred sixty four] Such a notion is suggested in my Ingersoll Lecture On Human Immortality, Boston and London, eighteen ninety nine.	false	859.86	860.7	2
3171_7574_000015_000000	Upholders of the monistic view will say to such a polytheism (which, by the way, has always been the real religion of common people, and is so still to-day) that unless there be one all-inclusive God, our guarantee of security is left imperfect.	Upholders of the monistic view will say to such a polytheism (which, by the way, has always been the real religion of common people, and is so still to day) that unless there be one all inclusive God, our guarantee of security is left imperfect.	true	860.7	879.43	20.397226
3171_7574_000015_000001	In the Absolute, and in the Absolute only, ALL is saved.	In the Absolute, and in the Absolute only, ALL is saved.	true	879.74	885.07	21.952997
3171_7574_000015_000002	If there be different gods, each caring for his part, some portion of some of us might not be covered with divine protection, and our religious consolation would thus fail to be complete.	If there be different gods, each caring for his part, some portion of some of us might not be covered with divine protection, and our religious consolation would thus fail to be complete.	true	885.62	897.97	21.200632
3171_7574_000015_000003	It goes back to what was said on pages 129-131, about the possibility of there being portions of the universe that may irretrievably be lost.	It goes back to what was said on pages one hundred twenty nine to one hundred thirty one, about the possibility of there being portions of the universe that may irretrievably be lost.	false	898.52	907.33	20
3171_7574_000015_000004	Common sense is less sweeping in its demands than philosophy or mysticism have been wont to be, and can suffer the notion of this world being partly saved and partly lost.	Common sense is less sweeping in its demands than philosophy or mysticism have been wont to be, and can suffer the notion of this world being partly saved and partly lost.	false	907.97	919.66	21.359573
3171_7574_000015_000005	The ordinary moralistic state of mind makes the salvation of the world conditional upon the success with which each unit does its part.	The ordinary moralistic state of mind makes the salvation of the world conditional upon the success with which each unit does its part.	true	920.21	928.36	24
3171_7574_000015_000006	Partial and conditional salvation is in fact a most familiar notion when taken in the abstract, the only difficulty being to determine the details.	Partial and conditional salvation is in fact a most familiar notion when taken in the abstract, the only difficulty being to determine the details.	true	928.88	939.49	21.293356
3171_7574_000015_000007	Some men are even disinterested enough to be willing to be in the unsaved remnant as far as their persons go, if only they can be persuaded that their cause will prevail--all of us are willing, whenever our activity-excitement rises sufficiently high.	Some men are even disinterested enough to be willing to be in the unsaved remnant as far as their persons go, if only they can be persuaded that their cause will prevail-all of us are willing, whenever our activity excitement rises sufficiently high.	true	940.07	957.67	21.36143
3171_7574_000015_000008	I think, in fact, that a final philosophy of religion will have to consider the pluralistic hypothesis more seriously than it has hitherto been willing to consider it.	I think, in fact, that a final philosophy of religion will have to consider the pluralistic hypothesis more seriously than it has hitherto been willing to consider it.	true	958.43	968.32	20.683815
3171_7574_000015_000009	For practical life at any rate, the CHANCE of salvation is enough. No fact in human nature is more characteristic than its willingness to live on a chance.	For practical life at any rate, the CHANCE of salvation is enough. No fact in human nature is more characteristic than its willingness to live on a chance.	true	969.17	980.29	20.934774
3171_7574_000015_000010	The existence of the chance makes the difference, as Edmund Gurney says, between a life of which the keynote is resignation and a life of which the keynote is hope.[365] But all these statements are unsatisfactory from their brevity, and I can only say that I hope to return to the same questions in another book.	The existence of the chance makes the difference, as Edmund Gurney says, between a life of which the keynote is resignation and a life of which the keynote is hope.[three hundred sixty five] But all these statements are unsatisfactory from their brevity, and I can only say that I hope to return to the same questions in another book.	false	980.75	1015.59	19.764853
