6269_66176_000000_000000	Chapter Thirteen--The Snow Fort on Slatter's Hill	Chapter Thirteen-The Snow Fort on Slatter's Hill	true	23.595	27.82	22.191877
6269_66176_000011_000001	As it was impossible for the North-Enders to occupy the fort permanently, it was stipulated that the South-Enders should assault it only on Wednesday and Saturday afternoons between the hours of two and six.	As it was impossible for the North Enders to occupy the fort permanently, it was stipulated that the South Enders should assault it only on Wednesday and Saturday afternoons between the hours of two and six.	true	226.005	239.8	20.925581
6269_66176_000011_000002	For them to take possession of the place at any other time was not to constitute a capture, but on the contrary was to be considered a dishonorable and cowardly act.	For them to take possession of the place at any other time was not to constitute a capture, but on the contrary was to be considered a dishonorable and cowardly act.	true	240.02	250.78	22.34906
6269_66176_000012_000000	The North-Enders, on the other hand, agreed to give up the fort whenever ten of the storming party succeeded in obtaining at one time a footing on the parapet, and were able to hold the same for the space of two minutes.	The North Enders, on the other hand, agreed to give up the fort whenever ten of the storming party succeeded in obtaining at one time a footing on the parapet, and were able to hold the same for the space of two minutes.	false	251.24	266.11	22.31905
6269_66176_000012_000001	Both sides were to abstain from putting pebbles into their snow-balls, nor was it permissible to use frozen ammunition.	Both sides were to abstain from putting pebbles into their snow balls, nor was it permissible to use frozen ammunition.	false	266.39	273.55	20.951439
6269_66176_000012_000002	A snow-ball soaked in water and left out to cool was a projectile which in previous years had been resorted to with disastrous results.	A snow ball soaked in water and left out to cool was a projectile which in previous years had been resorted to with disastrous results.	true	273.65	283.78	21.908377
6269_66176_000013_000000	These preliminaries settled, the commanders retired to their respective corps.	These preliminaries settled, the commanders retired to their respective corps.	true	284.48	289.72	23.40799
6269_66176_000013_000001	The interview had taken place on the hillside between the opposing lines.	The interview had taken place on the hillside between the opposing lines.	true	290.24	294.97	21.531874
6269_66176_000014_000000	General Harris divided his men into two bodies; the first comprised the most skilful marksmen, or gunners; the second, the reserve force, was composed of the strongest boys, whose duty it was to repel the scaling parties, and to make occasional sallies for the purpose of capturing prisoners, who were bound by the articles of treaty to faithfully serve under our flag until they were exchanged at the close of the day.	General Harris divided his men into two bodies; the first comprised the most skilful marksmen, or gunners; the second, the reserve force, was composed of the strongest boys, whose duty it was to repel the scaling parties, and to make occasional sallies for the purpose of capturing prisoners, who were bound by the articles of treaty to faithfully serve under our flag until they were exchanged at the close of the day.	false	295.55	323.25	22.200684
6269_66176_000015_000000	The repellers were called light infantry; but when they carried on operations beyond the fort they became cavalry.	The repellers were called light infantry; but when they carried on operations beyond the fort they became cavalry.	true	323.25	330.34	21.592737
6269_66176_000015_000001	It was also their duty, when not otherwise engaged, to manufacture snow-balls.	It was also their duty, when not otherwise engaged, to manufacture snow balls.	true	330.92	335.955	20
6269_66176_000015_000002	The General's staff consisted of five Templars (I among the number, with the rank of Major), who carried the General's orders and looked after the wounded.	The General's staff consisted of five Templars (I among the number, with the rank of Major), who carried the General's orders and looked after the wounded.	false	335.955	346.41	21.017597
6269_66176_000016_000000	General Mat Ames, a veteran commander, was no less wide-awake in the disposition of his army.	General Mat Ames, a veteran commander, was no less wide awake in the disposition of his army.	true	346.41	352.45	23.112406
6269_66176_000016_000001	Five companies, each numbering but six men, in order not to present too big a target to our sharpshooters, were to charge the fort from different points, their advance being covered by a heavy fire from the gunners posted in the rear.	Five companies, each numbering but six men, in order not to present too big a target to our sharpshooters, were to charge the fort from different points, their advance being covered by a heavy fire from the gunners posted in the rear.	true	353.06	368.74	22.43025
6269_66176_000016_000002	Each scaler was provided with only two rounds of ammunition, which were not to be used until he had mounted the breastwork and could deliver his shots on our heads.	Each scaler was provided with only two rounds of ammunition, which were not to be used until he had mounted the breastwork and could deliver his shots on our heads.	true	369.23	378.43	21
6269_66176_000017_000000	The drawing below represents the interior of the fort just previous to the assault.	The drawing below represents the interior of the fort just previous to the assault.	false	378.56	383.29	19.35808
6269_66176_000017_000001	Nothing on earth could represent the state of things after the first volley.	Nothing on earth could represent the state of things after the first volley.	true	383.51	388.08	20
6269_66176_000018_000000	(Fort Slatter detail graphic)	(Fort Slatter detail graphic)	false	388.08	388.95	1
6269_66176_000019_000000	The thrilling moment had now arrived.	The thrilling moment had now arrived.	true	388.95	391.06	20.925823
6269_66176_000019_000001	If I had been going into a real engagement I could not have been more deeply impressed by the importance of the occasion.	If I had been going into a real engagement I could not have been more deeply impressed by the importance of the occasion.	true	391.31	397.63	21.679253
6269_66176_000020_000000	The fort opened fire first--a single ball from the dexterous band of General Harris taking General Ames in the very pit of his stomach.	The fort opened fire first-a single ball from the dexterous band of General Harris taking General Ames in the very pit of his stomach.	true	398.48	407.56	22.05322
6269_66176_000020_000001	A cheer went up from Fort Slatter.	A cheer went up from Fort Slatter.	false	408.02	410.55	22.073019
6269_66176_000020_000002	In an instant the air was thick with flying missiles, in the midst of which we dimly descried the storming parties sweeping up the hill, shoulder to shoulder.	In an instant the air was thick with flying missiles, in the midst of which we dimly descried the storming parties sweeping up the hill, shoulder to shoulder.	true	410.55	419.86	19
6269_66176_000020_000003	The shouts of the leaders, and the snowballs bursting like shells about our ears, made it very lively.	The shouts of the leaders, and the snowballs bursting like shells about our ears, made it very lively.	true	420.08	426.07	20.498667
6269_66176_000021_000000	Not more than a dozen of the enemy succeeded in reaching the crest of the hill; five of these clambered upon the icy walls, where they were instantly grabbed by the legs and jerked into the fort.	Not more than a dozen of the enemy succeeded in reaching the crest of the hill; five of these clambered upon the icy walls, where they were instantly grabbed by the legs and jerked into the fort.	false	426.41	437.56	20.827927
6269_66176_000021_000001	The rest retired confused and blinded by our well-directed fire.	The rest retired confused and blinded by our well directed fire.	true	437.69	442.39	21.58172
6269_66176_000022_000000	When General Harris (with his right eye bunged up) said, "Soldiers, I am proud of you!" my heart swelled in my bosom.	When General Harris (with his right eye bunged up) said, "Soldiers, I am proud of you!" my heart swelled in my bosom.	true	442.85	452.05	23.611841
6269_66176_000023_000000	The victory, however, had not been without its price.	The victory, however, had not been without its price.	true	452.39	455.92	22.582848
6269_66176_000023_000001	Six North-Enders, having rushed out to harass the discomfited enemy, were gallantly cut off by General Ames and captured.	Six North Enders, having rushed out to harass the discomfited enemy, were gallantly cut off by General Ames and captured.	true	456.14	464.95	23.121552
6269_66176_000023_000002	Among these were Lieutenant P. Whitcomb (who had no business to join in the charge, being weak in the knees), and Captain Fred Langdon, of General Harris's staff.	Among these were Lieutenant p Whitcomb (who had no business to join in the charge, being weak in the knees), and Captain Fred Langdon, of General Harris's staff.	false	464.99	475.5	21.820555
6269_66176_000023_000003	Whitcomb was one of the most notable shots on our side, though he was not much to boast of in a rough-and-tumble fight, owing to the weakness before mentioned.	Whitcomb was one of the most notable shots on our side, though he was not much to boast of in a rough and tumble fight, owing to the weakness before mentioned.	true	475.5	484.27	21.155848
6269_66176_000023_000004	General Ames put him among the gunners, and we were quickly made aware of the loss we had sustained, by receiving a frequent artful ball which seemed to light with unerring instinct on any nose that was the least bit exposed.	General Ames put him among the gunners, and we were quickly made aware of the loss we had sustained, by receiving a frequent artful ball which seemed to light with unerring instinct on any nose that was the least bit exposed.	true	484.91	500.145	22.249954
6269_66176_000023_000005	I have known one of Pepper's snow-balls, fired pointblank, to turn a corner and hit a boy who considered himself absolutely safe.	I have known one of Pepper's snow balls, fired pointblank, to turn a corner and hit a boy who considered himself absolutely safe.	false	500.145	509.17	21.648872
6269_66176_000024_000000	But we had no time for vain regrets.	But we had no time for vain regrets.	true	509.87	511.89	21.8341
6269_66176_000024_000001	The battle raged.	The battle raged.	true	511.89	513.255	20.672745
6269_66176_000024_000002	Already there were two bad cases of black eye, and one of nosebleed, in the hospital.	Already there were two bad cases of black eye, and one of nosebleed, in the hospital.	true	513.255	518.73	24.419233
6269_66176_000025_000000	It was glorious excitement, those pell-mell onslaughts and hand-to-hand struggles.	It was glorious excitement, those pell mell onslaughts and hand to hand struggles.	true	518.73	524.685	23.97229
6269_66176_000025_000001	Twice we were within an ace of being driven from our stronghold, when General Harris and his staff leaped recklessly upon the ramparts and hurled the besiegers heels over head down hill.	Twice we were within an ace of being driven from our stronghold, when General Harris and his staff leaped recklessly upon the ramparts and hurled the besiegers heels over head down hill.	true	524.685	536.56	21
6269_66176_000026_000000	At sunset, the garrison of Fort Slatter was still unconquered, and the South-Enders, in a solid phalanx, marched off whistling "Yankee Doodle," while we cheered and jeered them until they were out of hearing.	At sunset, the garrison of Fort Slatter was still unconquered, and the South Enders, in a solid phalanx, marched off whistling "Yankee Doodle," while we cheered and jeered them until they were out of hearing.	true	536.72	550.33	21.285303
6269_66176_000027_000000	General Ames remained behind to effect an exchange of prisoners.	General Ames remained behind to effect an exchange of prisoners.	true	550.58	554.77	20
6269_66176_000027_000001	We held thirteen of his men, and he eleven of ours.	We held thirteen of his men, and he eleven of ours.	true	555.02	558.94	20.233242
6269_66176_000027_000002	General Ames proposed to call it an even thing, since many of his eleven prisoners were officers, while nearly all our thirteen captives were privates.	General Ames proposed to call it an even thing, since many of his eleven prisoners were officers, while nearly all our thirteen captives were privates.	false	559.19	569.17	22.068493
6269_66176_000027_000003	A dispute arising on this point, the two noble generals came to fisticuffs, and in the fracas our brave commander got his remaining well eye badly damaged. This didn't prevent him from writing a general order the next day, on a slate, in which he complimented the troops on their heroic behavior.	A dispute arising on this point, the two noble generals came to fisticuffs, and in the fracas our brave commander got his remaining well eye badly damaged. This didn't prevent him from writing a general order the next day, on a slate, in which he complimented the troops on their heroic behavior.	false	569.36	588.52	22.010382
6269_66176_000028_000000	On the following Wednesday the siege was renewed.	On the following Wednesday the siege was renewed.	true	588.8	591.85	18.226633
6269_66176_000028_000001	I forget whether it was on that afternoon or the next that we lost Fort Slatter; but lose it we did, with much valuable ammunition and several men.	I forget whether it was on that afternoon or the next that we lost Fort Slatter; but lose it we did, with much valuable ammunition and several men.	true	592.04	601.095	20
6269_66176_000028_000002	After a series of desperate assaults, we forced General Ames to capitulate; and he, in turn, made the place too hot to hold us.	After a series of desperate assaults, we forced General Ames to capitulate; and he, in turn, made the place too hot to hold us.	false	601.095	609.72	23.214926
6269_66176_000028_000003	So from day to day the tide of battle surged to and fro, sometimes favoring our arms, and sometimes those of the enemy.	So from day to day the tide of battle surged to and fro, sometimes favoring our arms, and sometimes those of the enemy.	false	609.72	618.34	21.154915
6269_66176_000029_000000	General Ames handled his men with great skill; his deadliest foe could not deny that.	General Ames handled his men with great skill; his deadliest foe could not deny that.	true	618.98	625.03	23.281599
6269_66176_000029_000001	Once he outgeneralled our commander in the following manner: He massed his gunners on our left and opened a brisk fire, under cover of which a single company (six men) advanced on that angle of the fort.	Once he outgeneralled our commander in the following manner: He massed his gunners on our left and opened a brisk fire, under cover of which a single company (six men) advanced on that angle of the fort.	true	625.52	639.01	22.084444
6269_66176_000029_000002	Our reserves on the right rushed over to defend the threatened point.	Our reserves on the right rushed over to defend the threatened point.	false	639.56	644.74	21.86559
6269_66176_000029_000003	Meanwhile, four companies of the enemy's scalers made a detour round the foot of the hill, and dashed into Fort Slatter without opposition.	Meanwhile, four companies of the enemy's scalers made a detour round the foot of the hill, and dashed into Fort Slatter without opposition.	true	644.84	653.65	21.981411
6269_66176_000029_000004	At the same moment General Ames's gunners closed in on our left, and there we were between two fires.	At the same moment General Ames's gunners closed in on our left, and there we were between two fires.	true	654.05	661.18	17
6269_66176_000029_000005	Of course we had to vacate the fort.	Of course we had to vacate the fort.	true	661.34	663.49	22.389786
6269_66176_000029_000006	A cloud rested on General Harris's military reputation until his superior tactics enabled him to dispossess the enemy.	A cloud rested on General Harris's military reputation until his superior tactics enabled him to dispossess the enemy.	true	663.59	672.79	22
6269_66176_000030_000000	As the winter wore on, the war-spirit waxed fiercer and fiercer.	As the winter wore on, the war spirit waxed fiercer and fiercer.	false	672.98	677.44	19.872133
6269_66176_000030_000001	At length the provision against using heavy substances in the snow-balls was disregarded.	At length the provision against using heavy substances in the snow balls was disregarded.	true	677.66	684.46	21.12138
6269_66176_000030_000002	A ball stuck full of sand-bird shot came tearing into Fort Slatter.	A ball stuck full of sand bird shot came tearing into Fort Slatter.	true	684.74	689.32	22.250732
6269_66176_000030_000003	In retaliation, General Harris ordered a broadside of shells; i.	In retaliation, General Harris ordered a broadside of shells; i.	false	689.36	693.81	17.701578
6269_66176_000030_000004	e.	e.	false	693.81	694.65	19.774786
6269_66176_000030_000005	snow-balls containing marbles.	snow balls containing marbles.	true	694.65	697.12	20.797832
6269_66176_000030_000006	After this, both sides never failed to freeze their ammunition.	After this, both sides never failed to freeze their ammunition.	true	697.13	701.35	21.634304
6269_66176_000031_000000	It was no longer child's play to march up to the walls of Fort Slatter, nor was the position of the besieged less perilous.	It was no longer child's play to march up to the walls of Fort Slatter, nor was the position of the besieged less perilous.	true	702.2	709.425	20
6269_66176_000031_000001	At every assault three or four boys on each side were disabled.	At every assault three or four boys on each side were disabled.	true	709.425	714.01	21.77133
6269_66176_000031_000002	It was not an infrequent occurrence for the combatants to hold up a flag of truce while they removed some insensible comrade.	It was not an infrequent occurrence for the combatants to hold up a flag of truce while they removed some insensible comrade.	true	714.26	722.17	22
6269_66176_000032_000000	Matters grew worse and worse.	Matters grew worse and worse.	true	722.18	724.005	20.360966
6269_66176_000032_000001	Seven North-Enders had been seriously wounded, and a dozen South-Enders were reported on the sick list. The selectmen of the town awoke to the fact of what was going on, and detailed a posse of police to prevent further disturbance.	Seven North Enders had been seriously wounded, and a dozen South Enders were reported on the sick list. The selectmen of the town awoke to the fact of what was going on, and detailed a posse of police to prevent further disturbance.	true	724.005	738.73	21.100183
6269_66176_000032_000002	The boys at the foot of the hill, South-Enders as it happened, finding themselves assailed in the rear and on the flank, turned round and attempted to beat off the watchmen.	The boys at the foot of the hill, South Enders as it happened, finding themselves assailed in the rear and on the flank, turned round and attempted to beat off the watchmen.	true	739.37	748.87	18.690683
6269_66176_000032_000003	In this they were sustained by numerous volunteers from the fort, who looked upon the interference as tyrannical.	In this they were sustained by numerous volunteers from the fort, who looked upon the interference as tyrannical.	true	749.21	756.19	19
6269_66176_000033_000000	The watch were determined fellows, and charged the boys valiantly, driving them all into the fort, where we made common cause, fighting side by side like the best of friends.	The watch were determined fellows, and charged the boys valiantly, driving them all into the fort, where we made common cause, fighting side by side like the best of friends.	true	756.35	766.96	21.630058
6269_66176_000033_000001	In vain the four guardians of the peace rushed up the hill, flourishing their clubs and calling upon us to surrender.	In vain the four guardians of the peace rushed up the hill, flourishing their clubs and calling upon us to surrender.	true	767.81	775.335	20.9485
6269_66176_000033_000002	They could not get within ten yards of the fort, our fire was so destructive.	They could not get within ten yards of the fort, our fire was so destructive.	true	775.335	780.3	20.942959
6269_66176_000033_000003	In one of the onsets a man named Mugridge, more valorous than his peers, threw himself upon the parapet, when he was seized by twenty pairs of hands, and dragged inside the breastwork, where fifteen boys sat down on him to keep him quiet.	In one of the onsets a man named Mugridge, more valorous than his peers, threw himself upon the parapet, when he was seized by twenty pairs of hands, and dragged inside the breastwork, where fifteen boys sat down on him to keep him quiet.	false	780.3	796.39	21.664923
6269_66176_000034_000000	Perceiving that it was impossible with their small number to dislodge us, the watch sent for reinforcements.	Perceiving that it was impossible with their small number to dislodge us, the watch sent for reinforcements.	true	797.12	803.65	23.188423
6269_66176_000034_000001	Their call was responded to, not only by the whole constabulary force (eight men), but by a numerous body of citizens, who had become alarmed at the prospect of a riot.	Their call was responded to, not only by the whole constabulary force (eight men), but by a numerous body of citizens, who had become alarmed at the prospect of a riot.	true	804.11	815.86	22.688038
6269_66176_000034_000002	This formidable array brought us to our senses: we began to think that maybe discretion was the better part of valor.	This formidable array brought us to our senses: we began to think that maybe discretion was the better part of valor.	true	816.83	824.89	21.759165
6269_66176_000034_000003	General Harris and General Ames, with their respective staffs, held a council of war in the hospital, and a backward movement was decided on.	General Harris and General Ames, with their respective staffs, held a council of war in the hospital, and a backward movement was decided on.	false	825.05	834.75	22.530975
6269_66176_000034_000004	So, after one grand farewell volley, we fled, sliding, jumping, rolling, tumbling down the quarry at the rear of the fort, and escaped without losing a man.	So, after one grand farewell volley, we fled, sliding, jumping, rolling, tumbling down the quarry at the rear of the fort, and escaped without losing a man.	true	834.75	844.965	21.253262
6269_66176_000035_000000	But we lost Fort Slatter forever.	But we lost Fort Slatter forever.	true	844.965	847.24	20.027807
6269_66176_000035_000001	Those battle-scarred ramparts were razed to the ground, and humiliating ashes sprinkled over the historic spot, near which a solitary lynx-eyed policeman was seen prowling from time to time during the rest of the winter.	Those battle scarred ramparts were razed to the ground, and humiliating ashes sprinkled over the historic spot, near which a solitary lynx eyed policeman was seen prowling from time to time during the rest of the winter.	true	847.34	862.45	21.976685
6269_66176_000036_000000	The event passed into a legend, and afterwards, when later instances of pluck and endurance were spoken of, the boys would say, "By golly!	The event passed into a legend, and afterwards, when later instances of pluck and endurance were spoken of, the boys would say, "By golly!	true	863.6	874.3	22.877098
6269_66176_000036_000001	You ought to have been at the fights on Slatter's Hill!"	You ought to have been at the fights on Slatter's Hill!"	true	874.4	877.68	21
6269_66176_000037_000000	Chapter Fourteen--The Cruise of the Dolphin	Chapter Fourteen-The Cruise of the Dolphin	false	877.68	877.89	-20
6269_66176_000038_000000	It was spring again.	It was spring again.	false	877.89	878.01	-20
6269_66176_000038_000001	The snow had faded away like a dream, and we were awakened, so to speak, by the sudden chirping of robins in our back garden.	The snow had faded away like a dream, and we were awakened, so to speak, by the sudden chirping of robins in our back garden.	false	878.01	879.24	20.125233
6269_66176_000038_000002	Marvellous transformation of snowdrifts into lilacs, wondrous miracle of the unfolding leaf!	Marvellous transformation of snowdrifts into lilacs, wondrous miracle of the unfolding leaf!	false	879.24	880.53	20.829672
6269_66176_000038_000003	We read in the Holy Book how our Saviour, at the marriage-feast, changed the water into wine; we pause and wonder; but every hour a greater miracle is wrought at our very feet, if we have but eyes to see it.	We read in the Holy Book how our Saviour, at the marriage feast, changed the water into wine; we pause and wonder; but every hour a greater miracle is wrought at our very feet, if we have but eyes to see it.	false	880.53	885	-20
