6269_66176_000000_000000	Chapter Thirteen--The Snow Fort on Slatter's Hill	Chapter Thirteen-The Snow Fort on Slatter's Hill
6269_66176_000029_000003	Meanwhile, four companies of the enemy's scalers made a detour round the foot of the hill, and dashed into Fort Slatter without opposition.	Meanwhile, four companies of the enemy's scalers made a detour round the foot of the hill, and dashed into Fort Slatter without opposition.
6269_66176_000029_000005	Of course we had to vacate the fort.	Of course we had to vacate the fort.
6269_66176_000029_000006	A cloud rested on General Harris's military reputation until his superior tactics enabled him to dispossess the enemy.	A cloud rested on General Harris's military reputation until his superior tactics enabled him to dispossess the enemy.
6269_66176_000030_000001	At length the provision against using heavy substances in the snow-balls was disregarded.	At length the provision against using heavy substances in the snow balls was disregarded.
6269_66176_000030_000002	A ball stuck full of sand-bird shot came tearing into Fort Slatter.	A ball stuck full of sand bird shot came tearing into Fort Slatter.
6269_66176_000030_000005	snow-balls containing marbles.	snow balls containing marbles.
6269_66176_000030_000006	After this, both sides never failed to freeze their ammunition.	After this, both sides never failed to freeze their ammunition.
6269_66176_000031_000000	It was no longer child's play to march up to the walls of Fort Slatter, nor was the position of the besieged less perilous.	It was no longer child's play to march up to the walls of Fort Slatter, nor was the position of the besieged less perilous.
6269_66176_000031_000001	At every assault three or four boys on each side were disabled.	At every assault three or four boys on each side were disabled.
6269_66176_000031_000002	It was not an infrequent occurrence for the combatants to hold up a flag of truce while they removed some insensible comrade.	It was not an infrequent occurrence for the combatants to hold up a flag of truce while they removed some insensible comrade.
6269_66176_000032_000000	Matters grew worse and worse.	Matters grew worse and worse.
6269_66176_000032_000001	Seven North-Enders had been seriously wounded, and a dozen South-Enders were reported on the sick list. The selectmen of the town awoke to the fact of what was going on, and detailed a posse of police to prevent further disturbance.	Seven North Enders had been seriously wounded, and a dozen South Enders were reported on the sick list. The selectmen of the town awoke to the fact of what was going on, and detailed a posse of police to prevent further disturbance.
6269_66176_000033_000000	The watch were determined fellows, and charged the boys valiantly, driving them all into the fort, where we made common cause, fighting side by side like the best of friends.	The watch were determined fellows, and charged the boys valiantly, driving them all into the fort, where we made common cause, fighting side by side like the best of friends.
6269_66176_000033_000001	In vain the four guardians of the peace rushed up the hill, flourishing their clubs and calling upon us to surrender.	In vain the four guardians of the peace rushed up the hill, flourishing their clubs and calling upon us to surrender.
6269_66176_000033_000002	They could not get within ten yards of the fort, our fire was so destructive.	They could not get within ten yards of the fort, our fire was so destructive.
6269_66176_000034_000000	Perceiving that it was impossible with their small number to dislodge us, the watch sent for reinforcements.	Perceiving that it was impossible with their small number to dislodge us, the watch sent for reinforcements.
6269_66176_000034_000001	Their call was responded to, not only by the whole constabulary force (eight men), but by a numerous body of citizens, who had become alarmed at the prospect of a riot.	Their call was responded to, not only by the whole constabulary force (eight men), but by a numerous body of citizens, who had become alarmed at the prospect of a riot.
6269_66176_000034_000002	This formidable array brought us to our senses: we began to think that maybe discretion was the better part of valor.	This formidable array brought us to our senses: we began to think that maybe discretion was the better part of valor.
6269_66176_000034_000004	So, after one grand farewell volley, we fled, sliding, jumping, rolling, tumbling down the quarry at the rear of the fort, and escaped without losing a man.	So, after one grand farewell volley, we fled, sliding, jumping, rolling, tumbling down the quarry at the rear of the fort, and escaped without losing a man.
6269_66176_000035_000000	But we lost Fort Slatter forever.	But we lost Fort Slatter forever.
6269_66176_000035_000001	Those battle-scarred ramparts were razed to the ground, and humiliating ashes sprinkled over the historic spot, near which a solitary lynx-eyed policeman was seen prowling from time to time during the rest of the winter.	Those battle scarred ramparts were razed to the ground, and humiliating ashes sprinkled over the historic spot, near which a solitary lynx eyed policeman was seen prowling from time to time during the rest of the winter.
6269_66176_000036_000000	The event passed into a legend, and afterwards, when later instances of pluck and endurance were spoken of, the boys would say, "By golly!	The event passed into a legend, and afterwards, when later instances of pluck and endurance were spoken of, the boys would say, "By golly!
6269_66176_000036_000001	You ought to have been at the fights on Slatter's Hill!"	You ought to have been at the fights on Slatter's Hill!"
