6895_92805_000000_000000	A COSMOPOLITE IN A CAFE	A COSMOPOLITE IN A CAFE	false	17.13	19.33	22.791325
6895_92805_000006_000000	And as E. Rushmore Coglan prattled of this little planet I thought with glee of a great almost-cosmopolite who wrote for the whole world and dedicated himself to Bombay.	And as e Rushmore Coglan prattled of this little planet I thought with glee of a great almost cosmopolite who wrote for the whole world and dedicated himself to Bombay.	false	197.24	207.64	21
6895_92805_000006_000001	In a poem he has to say that there is pride and rivalry between the cities of the earth, and that "the men that breed from them, they traffic up and down, but cling to their cities' hem as a child to the mother's gown." And whenever they walk "by roaring streets unknown" they remember their native city "most faithful, foolish, fond; making her mere-breathed name their bond upon their bond." And my glee was roused because I had caught Mr. Kipling napping. Here I had found a man not made from dust; one who had no narrow boasts of birthplace or country, one who, if he bragged at all, would brag of his whole round globe against the Martians and the inhabitants of the Moon.	In a poem he has to say that there is pride and rivalry between the cities of the earth, and that "the men that breed from them, they traffic up and down, but cling to their cities' hem as a child to the mother's gown." And whenever they walk "by roaring streets unknown" they remember their native city "most faithful, foolish, fond; making her mere breathed name their bond upon their bond." And my glee was roused because I had caught mr Kipling napping. Here I had found a man not made from dust; one who had no narrow boasts of birthplace or country, one who, if he bragged at all, would brag of his whole round globe against the Martians and the inhabitants of the Moon.	false	207.95	250.33	19
6895_92805_000007_000000	Expression on these subjects was precipitated from E. Rushmore Coglan by the third corner to our table.	Expression on these subjects was precipitated from e Rushmore Coglan by the third corner to our table.	true	250.58	256.99	16
6895_92805_000007_000001	While Coglan was describing to me the topography along the Siberian Railway the orchestra glided into a medley.	While Coglan was describing to me the topography along the Siberian Railway the orchestra glided into a medley.	true	257.09	264.13	18
6895_92805_000007_000002	The concluding air was "Dixie," and as the exhilarating notes tumbled forth they were almost overpowered by a great clapping of hands from almost every table.	The concluding air was "Dixie," and as the exhilarating notes tumbled forth they were almost overpowered by a great clapping of hands from almost every table.	true	264.35	273.4	16
6895_92805_000008_000000	It is worth a paragraph to say that this remarkable scene can be witnessed every evening in numerous cafes in the City of New York.	It is worth a paragraph to say that this remarkable scene can be witnessed every evening in numerous cafes in the City of New York.	true	273.92	281.5	17
6895_92805_000008_000001	Tons of brew have been consumed over theories to account for it.	Tons of brew have been consumed over theories to account for it.	true	281.63	285.28	16
6895_92805_000008_000002	Some have conjectured hastily that all Southerners in town hie themselves to cafes at nightfall.	Some have conjectured hastily that all Southerners in town h i e themselves to cafes at nightfall.	false	285.41	291.58	18
6895_92805_000008_000003	This applause of the "rebel" air in a Northern city does puzzle a little; but it is not insolvable.	This applause of the "rebel" air in a Northern city does puzzle a little; but it is not insolvable.	true	291.83	297.91	16
6895_92805_000008_000004	The war with Spain, many years' generous mint and watermelon crops, a few long-shot winners at the New Orleans race-track, and the brilliant banquets given by the Indiana and Kansas citizens who compose the North Carolina Society have made the South rather a "fad" in Manhattan.	The war with Spain, many years' generous mint and watermelon crops, a few long shot winners at the New Orleans race track, and the brilliant banquets given by the Indiana and Kansas citizens who compose the North Carolina Society have made the South rather a "fad" in Manhattan.	false	298.07	314.8	15
6895_92805_000008_000005	Your manicure will lisp softly that your left forefinger reminds her so much of a gentleman's in Richmond, Va.	Your manicure will lisp softly that your left forefinger reminds her so much of a gentleman's in richmond virginia	true	315.02	321.37	15
6895_92805_000008_000006	Oh, certainly; but many a lady has to work now--the war, you know.	Oh, certainly; but many a lady has to work now-the war, you know.	true	321.62	326.23	17.480635
6895_92805_000009_000000	When "Dixie" was being played a dark-haired young man sprang up from somewhere with a Mosby guerrilla yell and waved frantically his soft-brimmed hat.	When "Dixie" was being played a dark haired young man sprang up from somewhere with a Mosby guerrilla yell and waved frantically his soft brimmed hat.	true	327.2	335.26	16
6895_92805_000009_000001	Then he strayed through the smoke, dropped into the vacant chair at our table and pulled out cigarettes.	Then he strayed through the smoke, dropped into the vacant chair at our table and pulled out cigarettes.	true	335.54	340.96	19
6895_92805_000010_000000	The evening was at the period when reserve is thawed.	The evening was at the period when reserve is thawed.	true	341.3	344.49	19
6895_92805_000010_000001	One of us mentioned three Wuerzburgers to the waiter; the dark-haired young man acknowledged his inclusion in the order by a smile and a nod.	One of us mentioned three Wuerzburgers to the waiter; the dark haired young man acknowledged his inclusion in the order by a smile and a nod.	true	344.49	352.42	14
6895_92805_000010_000002	I hastened to ask him a question because I wanted to try out a theory I had.	I hastened to ask him a question because I wanted to try out a theory I had.	true	352.55	356.77	15
6895_92805_000011_000000	"Would you mind telling me," I began, "whether you are from--"	"Would you mind telling me," I began, "whether you are from-"	true	356.9	360.345	15
6895_92805_000012_000000	The fist of E. Rushmore Coglan banged the table and I was jarred into silence.	The fist of e Rushmore Coglan banged the table and I was jarred into silence.	true	360.345	364.96	14
6895_92805_000013_000000	"Excuse me," said he, "but that's a question I never like to hear asked. What does it matter where a man is from?	"Excuse me," said he, "but that's a question I never like to hear asked. What does it matter where a man is from?	true	364.97	372.61	19.838259
6895_92805_000013_000001	Is it fair to judge a man by his post-office address?	Is it fair to judge a man by his post office address?	false	372.65	376.05	18.742384
6895_92805_000013_000002	Why, I've seen Kentuckians who hated whiskey, Virginians who weren't descended from Pocahontas, Indianians who hadn't written a novel, Mexicans who didn't wear velvet trousers with silver dollars sewed along the seams, funny Englishmen, spendthrift Yankees, cold-blooded Southerners, narrow-minded Westerners, and New Yorkers who were too busy to stop for an hour on the street to watch a one-armed grocer's clerk do up cranberries in paper bags.	Why, I've seen Kentuckians who hated whiskey, Virginians who weren't descended from Pocahontas, Indianians who hadn't written a novel, Mexicans who didn't wear velvet trousers with silver dollars sewed along the seams, funny Englishmen, spendthrift Yankees, cold blooded Southerners, narrow minded Westerners, and New Yorkers who were too busy to stop for an hour on the street to watch a one armed grocer's clerk do up cranberries in paper bags.	true	376.05	404.02	16
6895_92805_000013_000003	Let a man be a man and don't handicap him with the label of any section."	Let a man be a man and don't handicap him with the label of any section."	true	404.06	408.61	14
6895_92805_000014_000000	"Pardon me," I said, "but my curiosity was not altogether an idle one. I know the South, and when the band plays 'Dixie' I like to observe.	"Pardon me," I said, "but my curiosity was not altogether an idle one. I know the South, and when the band plays 'Dixie' I like to observe.	true	408.74	417.285	18.45449
6895_92805_000014_000001	I have formed the belief that the man who applauds that air with special violence and ostensible sectional loyalty is invariably a native of either Secaucus, N.J., or the district between Murray Hill Lyceum and the Harlem River, this city.	I have formed the belief that the man who applauds that air with special violence and ostensible sectional loyalty is invariably a native of either Secaucus, n j, or the district between Murray Hill Lyceum and the Harlem River, this city.	false	417.285	432.28	15
6895_92805_000014_000002	I was about to put my opinion to the test by inquiring of this gentleman when you interrupted with your own--larger theory, I must confess."	I was about to put my opinion to the test by inquiring of this gentleman when you interrupted with your own-larger theory, I must confess."	true	432.47	440.29	16
6895_92805_000015_000000	And now the dark-haired young man spoke to me, and it became evident that his mind also moved along its own set of grooves.	And now the dark haired young man spoke to me, and it became evident that his mind also moved along its own set of grooves.	true	440.54	447.85	15
6895_92805_000016_000000	"I should like to be a periwinkle," said he, mysteriously, "on the top of a valley, and sing tooralloo-ralloo."	"I should like to be a periwinkle," said he, mysteriously, "on the top of a valley, and sing tooralloo ralloo."	true	448.13	455.5	18
6895_92805_000017_000000	This was clearly too obscure, so I turned again to Coglan.	This was clearly too obscure, so I turned again to Coglan.	true	455.69	459.61	16
6895_92805_000018_000000	"I've been around the world twelve times," said he.	"I've been around the world twelve times," said he.	true	459.83	462.58	19
6895_92805_000018_000001	"I know an Esquimau in Upernavik who sends to Cincinnati for his neckties, and I saw a goat-herder in Uruguay who won a prize in a Battle Creek breakfast food puzzle competition.	"I know an Esquimau in Upernavik who sends to Cincinnati for his neckties, and I saw a goat herder in Uruguay who won a prize in a Battle Creek breakfast food puzzle competition.	true	462.71	474.07	21
6895_92805_000018_000002	I pay rent on a room in Cairo, Egypt, and another in Yokohama all the year around.	I pay rent on a room in Cairo, Egypt, and another in Yokohama all the year around.	false	474.38	480.27	21.57278
6895_92805_000018_000003	I've got slippers waiting for me in a tea-house in Shanghai, and I don't have to tell 'em how to cook my eggs in Rio de Janeiro or Seattle.	I've got slippers waiting for me in a tea house in Shanghai, and I don't have to tell 'em how to cook my eggs in Rio de Janeiro or Seattle.	true	480.27	488.23	12
6895_92805_000018_000004	It's a mighty little old world.	It's a mighty little old world.	true	488.54	490.71	18
6895_92805_000018_000005	What's the use of bragging about being from the North, or the South, or the old manor house in the dale, or Euclid avenue, Cleveland, or Pike's Peak, or Fairfax County, Va., or Hooligan's Flats or any place?	What's the use of bragging about being from the North, or the South, or the old manor house in the dale, or Euclid avenue, Cleveland, or Pike's Peak, or Fairfax county virginia, or Hooligan's Flats or any place?	true	490.71	503.8	17
6895_92805_000018_000006	It'll be a better world when we quit being fools about some mildewed town or ten acres of swampland just because we happened to be born there."	It'll be a better world when we quit being fools about some mildewed town or ten acres of swampland just because we happened to be born there."	true	503.9	512.08	17
6895_92805_000019_000000	"You seem to be a genuine cosmopolite," I said admiringly.	"You seem to be a genuine cosmopolite," I said admiringly.	false	512.45	515.98	12
6895_92805_000019_000001	"But it also seems that you would decry patriotism."	"But it also seems that you would decry patriotism."	true	516.08	519.19	21
6895_92805_000020_000000	"A relic of the stone age," declared Coglan, warmly.	"A relic of the stone age," declared Coglan, warmly.	true	519.35	522.46	21
6895_92805_000020_000001	"We are all brothers--Chinamen, Englishmen, Zulus, Patagonians and the people in the bend of the Kaw River.	"We are all brothers-Chinamen, Englishmen, Zulus, Patagonians and the people in the bend of the Kaw River.	true	522.5	529.24	17
6895_92805_000020_000002	Some day all this petty pride in one's city or State or section or country will be wiped out, and we'll all be citizens of the world, as we ought to be."	Some day all this petty pride in one's city or State or section or country will be wiped out, and we'll all be citizens of the world, as we ought to be."	true	529.46	538.69	17
6895_92805_000021_000000	"But while you are wandering in foreign lands," I persisted, "do not your thoughts revert to some spot--some dear and--"	"But while you are wandering in foreign lands," I persisted, "do not your thoughts revert to some spot-some dear and-"	true	539.6	546.465	17
6895_92805_000022_000000	"Nary a spot," interrupted E. R. Coglan, flippantly.	"Nary a spot," interrupted e r Coglan, flippantly.	true	546.465	549.82	19
6895_92805_000022_000001	"The terrestrial, globular, planetary hunk of matter, slightly flattened at the poles, and known as the Earth, is my abode.	"The terrestrial, globular, planetary hunk of matter, slightly flattened at the poles, and known as the Earth, is my abode.	true	550.01	557.65	18
6895_92805_000022_000002	I've met a good many object-bound citizens of this country abroad.	I've met a good many object bound citizens of this country abroad.	true	557.66	561.465	14
6895_92805_000022_000003	I've seen men from Chicago sit in a gondola in Venice on a moonlight night and brag about their drainage canal.	I've seen men from Chicago sit in a gondola in Venice on a moonlight night and brag about their drainage canal.	true	561.465	568.09	12
6895_92805_000022_000004	I've seen a Southerner on being introduced to the King of England hand that monarch, without batting his eyes, the information that his grand-aunt on his mother's side was related by marriage to the Perkinses, of Charleston.	I've seen a Southerner on being introduced to the King of England hand that monarch, without batting his eyes, the information that his grand aunt on his mother's side was related by marriage to the Perkinses, of Charleston.	false	568.25	581.29	14
6895_92805_000022_000005	I knew a New Yorker who was kidnapped for ransom by some Afghanistan bandits.	I knew a New Yorker who was kidnapped for ransom by some Afghanistan bandits.	true	581.48	586	14
6895_92805_000022_000006	His people sent over the money and he came back to Kabul with the agent.	His people sent over the money and he came back to Kabul with the agent.	true	586.07	589.98	17
6895_92805_000022_000007	'Afghanistan?' the natives said to him through an interpreter.	'Afghanistan?' the natives said to him through an interpreter.	true	589.98	593.35	13
6895_92805_000022_000008	'Well, not so slow, do you think?' 'Oh, I don't know,' says he, and he begins to tell them about a cab driver at Sixth avenue and Broadway.	'Well, not so slow, do you think?' 'Oh, I don't know,' says he, and he begins to tell them about a cab driver at Sixth avenue and Broadway.	true	593.39	601.3	17
6895_92805_000022_000009	Those ideas don't suit me.	Those ideas don't suit me.	true	601.61	603.3	22
6895_92805_000022_000010	I'm not tied down to anything that isn't 8,000 miles in diameter.	I'm not tied down to anything that isn't eight thousand miles in diameter.	false	603.3	607.78	15
6895_92805_000022_000011	Just put me down as E. Rushmore Coglan, citizen of the terrestrial sphere."	Just put me down as e Rushmore Coglan, citizen of the terrestrial sphere."	true	607.94	612.67	15
6895_92805_000023_000000	My cosmopolite made a large adieu and left me, for he thought he saw some one through the chatter and smoke whom he knew.	My cosmopolite made a large adieu and left me, for he thought he saw some one through the chatter and smoke whom he knew.	false	612.98	620.23	17
6895_92805_000023_000001	So I was left with the would-be periwinkle, who was reduced to Wuerzburger without further ability to voice his aspirations to perch, melodious, upon the summit of a valley.	So I was left with the would be periwinkle, who was reduced to Wuerzburger without further ability to voice his aspirations to perch, melodious, upon the summit of a valley.	false	620.48	631.27	18
6895_92805_000024_000000	I sat reflecting upon my evident cosmopolite and wondering how the poet had managed to miss him.	I sat reflecting upon my evident cosmopolite and wondering how the poet had managed to miss him.	false	631.52	637.3	17
6895_92805_000024_000001	He was my discovery and I believed in him.	He was my discovery and I believed in him.	true	637.43	640.275	20
6895_92805_000024_000002	How was it?	How was it?	true	640.275	641.26	17.942793
6895_92805_000024_000003	"The men that breed from them they traffic up and down, but cling to their cities' hem as a child to the mother's gown."	"The men that breed from them they traffic up and down, but cling to their cities' hem as a child to the mother's gown."	true	641.27	647.89	15
6895_92805_000025_000000	Not so E. Rushmore Coglan.	Not so e Rushmore Coglan.	true	648.02	650.17	18
6895_92805_000025_000001	With the whole world for his--	With the whole world for his-	true	650.18	652.03	20.542492
6895_92805_000026_000000	My meditations were interrupted by a tremendous noise and conflict in another part of the cafe.	My meditations were interrupted by a tremendous noise and conflict in another part of the cafe.	false	652.19	657.79	15
6895_92805_000026_000001	I saw above the heads of the seated patrons E. Rushmore Coglan and a stranger to me engaged in terrific battle.	I saw above the heads of the seated patrons e Rushmore Coglan and a stranger to me engaged in terrific battle.	true	657.98	664.6	16
6895_92805_000026_000002	They fought between the tables like Titans, and glasses crashed, and men caught their hats up and were knocked down, and a brunette screamed, and a blonde began to sing "Teasing."	They fought between the tables like Titans, and glasses crashed, and men caught their hats up and were knocked down, and a brunette screamed, and a blonde began to sing "Teasing."	true	664.79	674.47	18
6895_92805_000027_000000	My cosmopolite was sustaining the pride and reputation of the Earth when the waiters closed in on both combatants with their famous flying wedge formation and bore them outside, still resisting.	My cosmopolite was sustaining the pride and reputation of the Earth when the waiters closed in on both combatants with their famous flying wedge formation and bore them outside, still resisting.	false	674.63	685.3	15
6895_92805_000028_000000	I called McCarthy, one of the French _garcons_, and asked him the cause of the conflict.	I called McCarthy, one of the French underscore garcons underscore, and asked him the cause of the conflict.	false	685.55	690.64	22.581127
6895_92805_000029_000000	"The man with the red tie" (that was my cosmopolite), said he, "got hot on account of things said about the bum sidewalks and water supply of the place he come from by the other guy."	"The man with the red tie" (that was my cosmopolite), said he, "got hot on account of things said about the bum sidewalks and water supply of the place he come from by the other guy."	false	690.71	700.81	17
6895_92805_000030_000000	"Why," said I, bewildered, "that man is a citizen of the world--a cosmopolite.	"Why," said I, bewildered, "that man is a citizen of the world-a cosmopolite.	false	701	705.63	18
6895_92805_000030_000001	He--"	He-"	true	705.63	706.09	16
6895_92805_000031_000000	"Originally from Mattawamkeag, Maine, he said," continued McCarthy, "and he wouldn't stand for no knockin' the place."	"Originally from Mattawamkeag, Maine, he said," continued McCarthy, "and he wouldn't stand for no knockin' the place."	false	706.16	713.22	17
6895_92805_000032_000000	BETWEEN ROUNDS	BETWEEN ROUNDS	false	713.22	713.4	-20
6895_92805_000033_000000	The May moon shone bright upon the private boarding-house of Mrs. Murphy.	The May moon shone bright upon the private boarding house of mrs Murphy.	false	713.4	714.6	21.27976
6895_92805_000033_000001	By reference to the almanac a large amount of territory will be discovered upon which its rays also fell.	By reference to the almanac a large amount of territory will be discovered upon which its rays also fell.	false	714.6	716.79	16.277826
6895_92805_000033_000002	Spring was in its heydey, with hay fever soon to follow.	Spring was in its heydey, with hay fever soon to follow.	false	716.79	718.05	-20
6895_92805_000033_000003	The parks were green with new leaves and buyers for the Western and Southern trade.	The parks were green with new leaves and buyers for the Western and Southern trade.	false	718.05	719.79	-20
6895_92805_000033_000004	Flowers and summer-resort agents were blowing; the air and answers to Lawson were growing milder; hand-organs, fountains and pinochle were playing everywhere.	Flowers and summer resort agents were blowing; the air and answers to Lawson were growing milder; hand organs, fountains and pinochle were playing everywhere.	false	719.79	722.52	-20
