2294_161714_000000_000000	I remember seeing him there on hands and knees, and then the liquor I had had would not be denied.	I remember seeing him there on hands and knees, and then the liquor I had had would not be denied.	false	0	4.08	20.956469
2294_161714_000008_000002	"Good!" I shouted.	"Good!" I shouted.	true	211.605	212.895	23.499708
2294_161714_000008_000003	"Get me a horse and just a handful of your sleek kindred and we will pull the prize from the bear's paw even yet!	"Get me a horse and just a handful of your sleek kindred and we will pull the prize from the bear's paw even yet!	true	212.895	218.53	19
2294_161714_000008_000004	Surely," I said, turning to a knot of Martian youths who stood listening a few steps away, "surely some of you will come with me at this pinch?	Surely," I said, turning to a knot of Martian youths who stood listening a few steps away, "surely some of you will come with me at this pinch?	false	218.84	226.69	20.861052
2294_161714_000008_000005	The big bullies are very few; the sea runs behind them; the maid in their clutch is worth fighting for; it needs but one good onset, five minutes' gallantry, and she is ours again.	The big bullies are very few; the sea runs behind them; the maid in their clutch is worth fighting for; it needs but one good onset, five minutes' gallantry, and she is ours again.	true	226.7	236.71	22.032745
2294_161714_000008_000006	Think how fine it will look to bring her back before yon sleepy fellows have found their weapons. You, there, with the blue tunic! you look a proper fellow, and something of a heart should beat under such gay wrappings, will you come with me?"	Think how fine it will look to bring her back before yon sleepy fellows have found their weapons. You, there, with the blue tunic! you look a proper fellow, and something of a heart should beat under such gay wrappings, will you come with me?"	false	237.14	248.83	21.752268
2294_161714_000009_000000	But blue-mantle, biting his thumbs, murmured he had not breakfasted yet and edged away behind his companions.	But blue mantle, biting his thumbs, murmured he had not breakfasted yet and edged away behind his companions.	true	249.47	255.37	21.087639
2294_161714_000009_000001	Wherever I looked eyes dropped and timid hands fidgeted as their owners backed off from my dangerous enthusiasm.	Wherever I looked eyes dropped and timid hands fidgeted as their owners backed off from my dangerous enthusiasm.	true	255.68	261.64	22.033194
2294_161714_000009_000002	There was obviously no help to be had from them, and meantime the precious moments were flying, so with a disdainful glance I turned on my heels and set off alone as hard as I could go for the harbour.	There was obviously no help to be had from them, and meantime the precious moments were flying, so with a disdainful glance I turned on my heels and set off alone as hard as I could go for the harbour.	true	261.89	272.32	20.487947
2294_161714_000010_000000	But it was too late.	But it was too late.	true	272.72	274.065	22.885805
2294_161714_000010_000001	I rushed through the marketplace where all was silent and deserted; I ran on to the wharves beyond and they were empty save for the litter and embers of the fires Ar-hap's men had made during their stay; I dashed out to the landing-place, and there at the hythe the last boat-loads of the villains were just embarking, two boatloads of them twenty yards from shore, and another still upon the beach.	I rushed through the marketplace where all was silent and deserted; I ran on to the wharves beyond and they were empty save for the litter and embers of the fires Ar hap's men had made during their stay; I dashed out to the landing place, and there at the hythe the last boat loads of the villains were just embarking, two boatloads of them twenty yards from shore, and another still upon the beach.	false	274.065	293.5	20.911203
2294_161714_000010_000002	This latter was careening over as a dusky group of men lifted aboard to a heap of tumbled silks and stuffs in the stern such a sweet piece of insensible merchandise as no man, I at least of all, could mistake.	This latter was careening over as a dusky group of men lifted aboard to a heap of tumbled silks and stuffs in the stern such a sweet piece of insensible merchandise as no man, I at least of all, could mistake.	false	293.66	304.87	20.012505
2294_161714_000010_000003	It was Heru herself, and the rogues were ladling her on board like so much sandal-wood or cotton sheeting.	It was Heru herself, and the rogues were ladling her on board like so much sandal wood or cotton sheeting.	true	304.94	310.21	19.506105
2294_161714_000010_000004	I did not wait for more, but out came my sword, and yielding to a reckless impulse, for which perhaps last night's wine was as much to blame as anything, I sprang down the steps and leapt aboard of the boat just as it was pushed off upon the swift tide.	I did not wait for more, but out came my sword, and yielding to a reckless impulse, for which perhaps last night's wine was as much to blame as anything, I sprang down the steps and leapt aboard of the boat just as it was pushed off upon the swift tide.	false	310.67	323.98	21.248325
2294_161714_000010_000005	Full of Bersark rage, I cut one brawny copper-coloured thief down, and struck another with my fist between the eyes so that he went headlong into the water, sinking like lead, and deep into the great target of his neighbour's chest I drove my blade. Had there been a man beside me, had there been but two or three of all those silken triflers, too late come on the terraces above to watch, we might have won.	Full of Bersark rage, I cut one brawny copper coloured thief down, and struck another with my fist between the eyes so that he went headlong into the water, sinking like lead, and deep into the great target of his neighbour's chest I drove my blade. Had there been a man beside me, had there been but two or three of all those silken triflers, too late come on the terraces above to watch, we might have won.	true	324.5	346.33	21.060225
2294_161714_000010_000006	But all alone what could I do?	But all alone what could I do?	true	346.67	348.52	19.66632
2294_161714_000010_000007	That last red beast turned on my blade, and as he fell dragged me half down with him.	That last red beast turned on my blade, and as he fell dragged me half down with him.	true	349.01	353.5	21.243746
2294_161714_000010_000008	I staggered up, and tugging the metal from him turned on the next.	I staggered up, and tugging the metal from him turned on the next.	true	353.75	357.52	23.43124
2294_161714_000011_000000	At that moment the cause of all the turmoil, roused by the fighting, came to herself, and sitting up on the piled plunder in the boat stared round for a moment with a childish horror at the barbarians whose prize she was, then at me, then at the dead man at my feet whose blood was welling in a red tide from the wound in his breast.	At that moment the cause of all the turmoil, roused by the fighting, came to herself, and sitting up on the piled plunder in the boat stared round for a moment with a childish horror at the barbarians whose prize she was, then at me, then at the dead man at my feet whose blood was welling in a red tide from the wound in his breast.	false	357.95	375.25	21.602661
2294_161714_000011_000001	As the full meaning of the scene dawned upon her she started to her feet, looking wonderfully beautiful amongst those dusky forms, and extending her hands to me began to cry in the most piteous way.	As the full meaning of the scene dawned upon her she started to her feet, looking wonderfully beautiful amongst those dusky forms, and extending her hands to me began to cry in the most piteous way.	true	375.71	386.32	21.232431
2294_161714_000011_000002	I sprang forward, and as I did so saw an ape-man clap his hairy paw over her mouth and face--it was like an eclipse of the moon by a red earth-shadow, I thought at the moment--and drag her roughly back, but that was about the last I remembered.	I sprang forward, and as I did so saw an ape man clap his hairy paw over her mouth and face-it was like an eclipse of the moon by a red earth shadow, I thought at the moment-and drag her roughly back, but that was about the last I remembered.	false	386.69	400.03	22.326492
2294_161714_000011_000003	As I turned to hit him standing on the slippery thwart, another rogue crept up behind and let drive with a club he had in hand.	As I turned to hit him standing on the slippery thwart, another rogue crept up behind and let drive with a club he had in hand.	true	400.49	406.93	19
2294_161714_000011_000004	The cudgel caught me sideways on the head, a glancing shot. I can recall a blaze of light, a strange medley of sounds in my ears, and then, clutching at a pile of stuffs as I fell, a tall bower of spray rising on either hand, and the cool shock of the blue sea as I plunged headlong in--but nothing after that!	The cudgel caught me sideways on the head, a glancing shot. I can recall a blaze of light, a strange medley of sounds in my ears, and then, clutching at a pile of stuffs as I fell, a tall bower of spray rising on either hand, and the cool shock of the blue sea as I plunged headlong in-but nothing after that!	false	407.36	426.22	20.870241
2294_161714_000012_000000	How long after I know not, but presently a tissue of daylight crept into my eyes, and I awoke again.	How long after I know not, but presently a tissue of daylight crept into my eyes, and I awoke again.	true	427.01	432.25	22.019747
2294_161714_000012_000001	It was better than nothing perhaps, yet it was a poor awakening.	It was better than nothing perhaps, yet it was a poor awakening.	true	432.41	435.7	23.659544
2294_161714_000012_000002	The big sun lay low down, and the day was all but done; so much I guessed as I rocked in that light with an undulating movement, and then as my senses returned more fully, recognised with a start of wonder that I was still in the water, floating on a swift current into the unknown on an air-filled pile of silken stuffs which had been pulled down with me from the boat when I got my ganging from yonder rascal's mace.	The big sun lay low down, and the day was all but done; so much I guessed as I rocked in that light with an undulating movement, and then as my senses returned more fully, recognised with a start of wonder that I was still in the water, floating on a swift current into the unknown on an air filled pile of silken stuffs which had been pulled down with me from the boat when I got my ganging from yonder rascal's mace.	false	436.16	457.15	20.303968
2294_161714_000012_000003	It was a wet couch, sodden and chilly, but as the freshening evening wind blew on my face and the darkening water lapped against my forehead I revived more fully.	It was a wet couch, sodden and chilly, but as the freshening evening wind blew on my face and the darkening water lapped against my forehead I revived more fully.	false	457.49	466.24	22.417246
2294_161714_000013_000000	Where had we come to?	Where had we come to?	true	466.76	468.04	27.312662
2294_161714_000013_000001	I turned an aching neck, and all along on both sides seemed to stretch steep, straight coasts about a mile or so apart, in the shadow of the setting sun black as ebony.	I turned an aching neck, and all along on both sides seemed to stretch steep, straight coasts about a mile or so apart, in the shadow of the setting sun black as ebony.	true	468.23	477.22	19.891762
2294_161714_000013_000002	Between the two the hampered water ran quickly, with, away on the right, some shallow sandy spits and islands covered with dwarf bushes--chilly, inhospitable-looking places they seemed as I turned my eyes upon them; but he who rides helpless down an evening tide stands out for no great niceties of landing-place; could I but reach them they would make at least a drier bed than this of mine, and at that thought, turning over, I found all my muscles as stiff as iron, the sinews of my neck and forearms a mass of agonies and no more fit to swim me to those reedy swamps, which now, as pain and hunger began to tell, seemed to wear the aspects of paradise.	Between the two the hampered water ran quickly, with, away on the right, some shallow sandy spits and islands covered with dwarf bushes-chilly, inhospitable looking places they seemed as I turned my eyes upon them; but he who rides helpless down an evening tide stands out for no great niceties of landing place; could I but reach them they would make at least a drier bed than this of mine, and at that thought, turning over, I found all my muscles as stiff as iron, the sinews of my neck and forearms a mass of agonies and no more fit to swim me to those reedy swamps, which now, as pain and hunger began to tell, seemed to wear the aspects of paradise.	false	477.44	512.23	21.82105
2294_161714_000014_000000	With a groan I dropped back upon my raft and watched the islands slipping by, while over my feet the southern sky darkened to purple. There was no help there, but glancing round away on the left and a few furlongs from me, I noticed on the surface of the water two converging strands of brightness, an angle the point of which seemed to be coming towards me.	With a groan I dropped back upon my raft and watched the islands slipping by, while over my feet the southern sky darkened to purple. There was no help there, but glancing round away on the left and a few furlongs from me, I noticed on the surface of the water two converging strands of brightness, an angle the point of which seemed to be coming towards me.	false	512.63	531.73	21.988543
2294_161714_000014_000001	Nearer it came and nearer, right across my road, until I could see a black dot at the point, a head presently developed, then as we approached the ears and antlers of a swimming stag.	Nearer it came and nearer, right across my road, until I could see a black dot at the point, a head presently developed, then as we approached the ears and antlers of a swimming stag.	true	532.37	542.68	22.055536
2294_161714_000014_000002	It was a huge beast as it loomed up against the glow, bigger than any mortal stag ever was--the kind of fellow-traveller no one would willingly accost, but even if I had wished to get out of its path I had no power to do so.	It was a huge beast as it loomed up against the glow, bigger than any mortal stag ever was-the kind of fellow traveller no one would willingly accost, but even if I had wished to get out of its path I had no power to do so.	true	543.26	555.64	22.263672
2294_161714_000015_000000	Closer and closer we came, one of us drifting helplessly, and the other swimming strongly for the islands.	Closer and closer we came, one of us drifting helplessly, and the other swimming strongly for the islands.	true	556.19	561.79	21.499619
2294_161714_000015_000001	When we were about a furlong apart the great beast seemed to change its course, mayhap it took the wreckage on which I floated for an outlying shoal, something on which it could rest a space in that long swim.	When we were about a furlong apart the great beast seemed to change its course, mayhap it took the wreckage on which I floated for an outlying shoal, something on which it could rest a space in that long swim.	false	562.13	572.35	21.67155
2294_161714_000015_000002	Be this as it may, the beast came hurtling down on me lip deep in the waves, a mighty brown head with pricked ears that flicked the water from them now and then, small bright eyes set far back, and wide palmated antlers on a mighty forehead, like the dead branches of a tree.	Be this as it may, the beast came hurtling down on me lip deep in the waves, a mighty brown head with pricked ears that flicked the water from them now and then, small bright eyes set far back, and wide palmated antlers on a mighty forehead, like the dead branches of a tree.	true	572.72	587.41	21.2896
2294_161714_000015_000003	What that Martian mountain elk had hoped for can only be guessed, what he met with was a tangle of floating finery carrying a numbed traveller on it, and with a snort of disappointment he turned again.	What that Martian mountain elk had hoped for can only be guessed, what he met with was a tangle of floating finery carrying a numbed traveller on it, and with a snort of disappointment he turned again.	true	587.66	598.15	21.655853
2294_161714_000016_000000	It was a poor chance, but better than nothing, and as he turned I tried to throw a strand of silk I had unwound from the sodden mass over his branching tines.	It was a poor chance, but better than nothing, and as he turned I tried to throw a strand of silk I had unwound from the sodden mass over his branching tines.	false	598.7	606.93	21.582212
2294_161714_000016_000001	Quick as thought the beast twisted his head aside and tossed his antlers so that the try was fruitless.	Quick as thought the beast twisted his head aside and tossed his antlers so that the try was fruitless.	true	606.93	611.59	20
2294_161714_000016_000002	But was I to lose my only chance of shore?	But was I to lose my only chance of shore?	true	611.96	614.29	20.922672
2294_161714_000016_000003	With all my strength I hurled myself upon him, missing my clutch again by a hair's-breadth and going headlong into the salt furrow his chest was turning up.	With all my strength I hurled myself upon him, missing my clutch again by a hair's breadth and going headlong into the salt furrow his chest was turning up.	true	614.54	622.75	20.576128
2294_161714_000016_000004	Happily I kept hold of the web, for the great elk then turned back, passing between me and the ruck of stuff and getting thereby the silk under his chin, and as I came gasping to the top once more round came that dainty wreckage over his back, and I clutched it, and sooner than it takes to tell I was towing to the shore as perhaps no one was ever towed before.	Happily I kept hold of the web, for the great elk then turned back, passing between me and the ruck of stuff and getting thereby the silk under his chin, and as I came gasping to the top once more round came that dainty wreckage over his back, and I clutched it, and sooner than it takes to tell I was towing to the shore as perhaps no one was ever towed before.	true	623.15	642.85	20.909306
2294_161714_000017_000000	The big beast dragged the ruck like withered weed behind him, bellowing all the time with a voice which made the hills echo all round; and then, when he got his feet upon the shallows, rose dripping and mountainous, a very cliff of black hide and limb against the night shine, and with a single sweep of his antlers tore the webbing from me, who lay prone and breathless in the mud, and, thinking it was his enemy, hurled the limp bundle on the beach, and then, having pounded it with his cloven feet into formless shreds, bellowed again victoriously and went off into the darkness of the forests.	The big beast dragged the ruck like withered weed behind him, bellowing all the time with a voice which made the hills echo all round; and then, when he got his feet upon the shallows, rose dripping and mountainous, a very cliff of black hide and limb against the night shine, and with a single sweep of his antlers tore the webbing from me, who lay prone and breathless in the mud, and, thinking it was his enemy, hurled the limp bundle on the beach, and then, having pounded it with his cloven feet into formless shreds, bellowed again victoriously and went off into the darkness of the forests.	false	643.37	688.95	20.727982
