5868_66166_000000_000000	Chapter Three--On Board the Typhoon	Chapter Three-On Board the Typhoon	false	0.21	18.19	18.78792
5868_66166_000010_000000	It was grand sport to stand on the quarter-deck and watch all this. Before long there was nothing to be seen on other side but stretches of low swampy land, covered with stunted cypress trees, from which drooped delicate streamers of Spanish moss--a fine place for alligators and Congo snakes.	It was grand sport to stand on the quarter deck and watch all this. Before long there was nothing to be seen on other side but stretches of low swampy land, covered with stunted cypress trees, from which drooped delicate streamers of Spanish moss-a fine place for alligators and Congo snakes.	false	197.96	215.41	20.522625
5868_66166_000010_000001	Here and there we passed a yellow sand-bar, and here and there a snag lifted its nose out of the water like a shark.	Here and there we passed a yellow sand bar, and here and there a snag lifted its nose out of the water like a shark.	true	215.96	222.82	18
5868_66166_000011_000000	"This is your last chance to see the city, To see the city, Tom," said my father, as we swept round a bend of the river.	"This is your last chance to see the city, To see the city, Tom," said my father, as we swept round a bend of the river.	true	222.92	230.44	19.5848
5868_66166_000012_000000	I turned and looked.	I turned and looked.	true	230.81	232.3	17.827383
5868_66166_000012_000001	New Orleans was just a colorless mass of something in the distance, and the dome of the St. Charles Hotel, upon which the sun shimmered for a moment, was no bigger than the top of old Aunt Chloe's thimble.	New Orleans was just a colorless mass of something in the distance, and the dome of the saint Charles Hotel, upon which the sun shimmered for a moment, was no bigger than the top of old Aunt Chloe's thimble.	false	232.52	243.49	17
5868_66166_000013_000000	What do I remember next?	What do I remember next?	true	244.34	245.95	25.658907
5868_66166_000013_000001	The gray sky and the fretful blue waters of the Gulf.	The gray sky and the fretful blue waters of the Gulf.	false	246.05	249.57	17.75587
5868_66166_000013_000002	The steam-tug had long since let slip her hawsers and gone panting away with a derisive scream, as much as to say, "I've done my duty, now look out for yourself, old Typhoon!"	The steam tug had long since let slip her hawsers and gone panting away with a derisive scream, as much as to say, "I've done my duty, now look out for yourself, old Typhoon!"	true	249.57	259.93	17
5868_66166_000014_000000	The ship seemed quite proud of being left to take care of itself, and, with its huge white sails bulged out, strutted off like a vain turkey. I had been standing by my father near the wheel-house all this while, observing things with that nicety of perception which belongs only to children; but now the dew began falling, and we went below to have supper.	The ship seemed quite proud of being left to take care of itself, and, with its huge white sails bulged out, strutted off like a vain turkey. I had been standing by my father near the wheel house all this while, observing things with that nicety of perception which belongs only to children; but now the dew began falling, and we went below to have supper.	true	260.69	280.06	19
5868_66166_000015_000000	The fresh fruit and milk, and the slices of cold chicken, looked very nice; yet somehow I had no appetite There was a general smell of tar about everything.	The fresh fruit and milk, and the slices of cold chicken, looked very nice; yet somehow I had no appetite There was a general smell of tar about everything.	true	280.67	289.99	18
5868_66166_000015_000001	Then the ship gave sudden lurches that made it a matter of uncertainty whether one was going to put his fork to his mouth or into his eye.	Then the ship gave sudden lurches that made it a matter of uncertainty whether one was going to put his fork to his mouth or into his eye.	true	290.24	297.19	15
5868_66166_000015_000002	The tumblers and wineglasses, stuck in a rack over the table, kept clinking and clinking; and the cabin lamp, suspended by four gilt chains from the ceiling, swayed to and fro crazily.	The tumblers and wineglasses, stuck in a rack over the table, kept clinking and clinking; and the cabin lamp, suspended by four gilt chains from the ceiling, swayed to and fro crazily.	true	297.41	309.22	19
5868_66166_000015_000003	Now the floor seemed to rise, and now it seemed to sink under one's feet like a feather-bed.	Now the floor seemed to rise, and now it seemed to sink under one's feet like a feather bed.	false	309.53	314.46	16
5868_66166_000016_000000	There were not more than a dozen passengers on board, including ourselves; and all of these, excepting a bald-headed old gentleman--a retired sea-captain--disappeared into their staterooms at an early hour of the evening.	There were not more than a dozen passengers on board, including ourselves; and all of these, excepting a bald headed old gentleman-a retired sea captain-disappeared into their staterooms at an early hour of the evening.	false	314.46	327.22	19.057827
5868_66166_000017_000000	After supper was cleared away, my father and the elderly gentleman, whose name was Captain Truck, played at checkers; and I amused myself for a while by watching the trouble they had in keeping the men in the proper places.	After supper was cleared away, my father and the elderly gentleman, whose name was Captain Truck, played at checkers; and I amused myself for a while by watching the trouble they had in keeping the men in the proper places.	false	328.49	339.85	17
5868_66166_000017_000001	Just at the most exciting point of the game, the ship would careen, and down would go the white checkers pell-mell among the black.	Just at the most exciting point of the game, the ship would careen, and down would go the white checkers pell mell among the black.	true	340.31	346.93	20
5868_66166_000017_000002	Then my father laughed, but Captain Truck would grow very angry, and vow that he would have won the game in a move or two more, if the confounded old chicken-coop--that's what he called the ship--hadn't lurched.	Then my father laughed, but Captain Truck would grow very angry, and vow that he would have won the game in a move or two more, if the confounded old chicken coop-that's what he called the ship-hadn't lurched.	true	347.15	358.42	18.216476
5868_66166_000018_000000	"I--I think I will go to bed now, please," I said, laying my band on my father's knee, and feeling exceedingly queer.	"I-I think I will go to bed now, please," I said, laying my band on my father's knee, and feeling exceedingly queer.	false	358.91	366.61	18.421572
5868_66166_000019_000000	It was high time, for the Typhoon was plunging about in the most alarming fashion.	It was high time, for the Typhoon was plunging about in the most alarming fashion.	false	367.19	371.89	15
5868_66166_000019_000001	I was speedily tucked away in the upper berth, where I felt a trifle more easy at first.	I was speedily tucked away in the upper berth, where I felt a trifle more easy at first.	true	372.11	376.54	17
5868_66166_000019_000002	My clothes were placed on a narrow shelf at my feet, and it was a great comfort to me to know that my pistol was so handy, for I made no doubt we should fall in with Pirates before many hours.	My clothes were placed on a narrow shelf at my feet, and it was a great comfort to me to know that my pistol was so handy, for I made no doubt we should fall in with Pirates before many hours.	false	376.58	386.83	18
5868_66166_000019_000003	This is the last thing I remember with any distinctness.	This is the last thing I remember with any distinctness.	true	387.38	390.22	17
5868_66166_000019_000004	At midnight, as I was afterwards told, we were struck by a gale which never left us until we came in sight of the Massachusetts coast.	At midnight, as I was afterwards told, we were struck by a gale which never left us until we came in sight of the Massachusetts coast.	false	390.35	397.39	17
5868_66166_000020_000000	For days and days I had no sensible idea of what was going on around me. That we were being hurled somewhere upside-down, and that I didn't like it, was about all I knew.	For days and days I had no sensible idea of what was going on around me. That we were being hurled somewhere upside-down, and that I didn't like it, was about all I knew.	true	398.78	409.12	17.454279
5868_66166_000020_000001	I have, indeed, a vague impression that my father used to climb up to the berth and call me his "Ancient Mariner," bidding me cheer up.	I have, indeed, a vague impression that my father used to climb up to the berth and call me his "Ancient Mariner," bidding me cheer up.	true	409.61	417.19	17
5868_66166_000020_000002	But the Ancient Mariner was far from cheering up, if I recollect rightly; and I don't believe that venerable navigator would have cared much if it had been announced to him, through a speaking-trumpet, that "a low, black, suspicious craft, with raking masts, was rapidly bearing down upon us!"	But the Ancient Mariner was far from cheering up, if I recollect rightly; and I don't believe that venerable navigator would have cared much if it had been announced to him, through a speaking trumpet, that "a low, black, suspicious craft, with raking masts, was rapidly bearing down upon us!"	false	417.32	433.15	19
5868_66166_000021_000000	In fact, one morning, I thought that such was the case, for bang!	In fact, one morning, I thought that such was the case, for bang!	true	433.67	436.92	18.179005
5868_66166_000021_000001	went the big cannon I had noticed in the bow of the ship when we came on board, and which had suggested to me the idea of Pirates.	went the big cannon I had noticed in the bow of the ship when we came on board, and which had suggested to me the idea of Pirates.	false	436.92	444.03	20.596174
5868_66166_000021_000002	Bang! went the gun again in a few seconds.	Bang! went the gun again in a few seconds.	false	444.03	446.38	22.4105
5868_66166_000021_000003	I made a feeble effort to get at my trousers-pocket!	I made a feeble effort to get at my trousers pocket!	true	446.51	449.34	18.212088
5868_66166_000021_000004	But the Typhoon was only saluting Cape Cod--the first land sighted by vessels approaching the coast from a southerly direction.	But the Typhoon was only saluting Cape Cod-the first land sighted by vessels approaching the coast from a southerly direction.	false	449.34	456.67	17.90877
5868_66166_000022_000000	The vessel had ceased to roll, and my sea-sickness passed away as rapidly as it came.	The vessel had ceased to roll, and my sea sickness passed away as rapidly as it came.	true	457.04	461.565	14
5868_66166_000022_000001	I was all right now, "only a little shaky in my timbers and a little blue about the gills," as Captain Truck remarked to my mother, who, like myself, had been confined to the state-room during the passage.	I was all right now, "only a little shaky in my timbers and a little blue about the gills," as Captain Truck remarked to my mother, who, like myself, had been confined to the state room during the passage.	false	461.565	471.51	17
5868_66166_000023_000000	At Cape Cod the wind parted company with us without saying as much as "Excuse me"; so we were nearly two days in making the run which in favorable weather is usually accomplished in seven hours.	At Cape Cod the wind parted company with us without saying as much as "Excuse me"; so we were nearly two days in making the run which in favorable weather is usually accomplished in seven hours.	false	471.51	482.65	19.61896
5868_66166_000023_000001	That's what the pilot said.	That's what the pilot said.	true	482.78	484.3	20.542986
5868_66166_000024_000000	I was able to go about the ship now, and I lost no time in cultivating the acquaintance of the sailor with the green-haired lady on his arm. I found him in the forecastle--a sort of cellar in the front part of the vessel.	I was able to go about the ship now, and I lost no time in cultivating the acquaintance of the sailor with the green haired lady on his arm. I found him in the forecastle-a sort of cellar in the front part of the vessel.	false	485	495.88	16.554447
5868_66166_000024_000001	He was an agreeable sailor, as I had expected, and we became the best of friends in five minutes.	He was an agreeable sailor, as I had expected, and we became the best of friends in five minutes.	false	496.28	501.16	18.694597
5868_66166_000025_000000	He had been all over the world two or three times, and knew no end of stories.	He had been all over the world two or three times, and knew no end of stories.	true	501.65	505.66	15
5868_66166_000025_000001	According to his own account, he must have been shipwrecked at least twice a year ever since his birth.	According to his own account, he must have been shipwrecked at least twice a year ever since his birth.	true	505.67	510.49	17
5868_66166_000025_000002	He had served under Decatur when that gallant officer peppered the Algerines and made them promise not to sell their prisoners of war into slavery; he had worked a gun at the bombardment of Vera Cruz in the Mexican War, and he had been on Alexander Selkirk's Island more than once.	He had served under Decatur when that gallant officer peppered the Algerines and made them promise not to sell their prisoners of war into slavery; he had worked a gun at the bombardment of Vera Cruz in the Mexican War, and he had been on Alexander Selkirk's Island more than once.	true	510.71	525.88	17
5868_66166_000025_000003	There were very few things he hadn't done in a seafaring way.	There were very few things he hadn't done in a seafaring way.	false	526.43	530.05	15.301042
5868_66166_000026_000000	"I suppose, sir," I remarked, "that your name isn't Typhoon?"	"I suppose, sir," I remarked, "that your name isn't Typhoon?"	true	531.26	535.6	19.117748
5868_66166_000027_000000	"Why, Lord love ye, lad, my name's Benjamin Watson, of Nantucket.	"Why, Lord love ye, lad, my name's Benjamin Watson, of Nantucket.	false	536.03	540.07	18.13267
5868_66166_000027_000001	But I'm a true blue Typhooner," he added, which increased my respect for him; I don't know why, and I didn't know then whether Typhoon was the name of a vegetable or a profession.	But I'm a true blue Typhooner," he added, which increased my respect for him; I don't know why, and I didn't know then whether Typhoon was the name of a vegetable or a profession.	false	540.08	551.62	18.625181
5868_66166_000028_000000	Not wishing to be outdone in frankness, I disclosed to him that my name was Tom Bailey, upon which he said he was very glad to hear it.	Not wishing to be outdone in frankness, I disclosed to him that my name was Tom Bailey, upon which he said he was very glad to hear it.	false	552.68	561.66	19.055449
5868_66166_000029_000000	When we got more intimate, I discovered that Sailor Ben, as he wished me to call him, was a perfect walking picturebook.	When we got more intimate, I discovered that Sailor Ben, as he wished me to call him, was a perfect walking picturebook.	false	561.66	568.38	21.565453
5868_66166_000029_000001	He had two anchors, a star, and a frigate in full sail on his right arm; a pair of lovely blue hands clasped on his breast, and I've no doubt that other parts of his body were illustrated in the same agreeable manner.	He had two anchors, a star, and a frigate in full sail on his right arm; a pair of lovely blue hands clasped on his breast, and I've no doubt that other parts of his body were illustrated in the same agreeable manner.	false	568.38	580.42	17
5868_66166_000029_000002	I imagine he was fond of drawings, and took this means of gratifying his artistic taste. It was certainly very ingenious and convenient.	I imagine he was fond of drawings, and took this means of gratifying his artistic taste. It was certainly very ingenious and convenient.	true	581	589.26	17.572529
5868_66166_000029_000003	A portfolio might be misplaced, or dropped overboard; but Sailor Ben had his pictures wherever he went, just as that eminent person in the poem,	A portfolio might be misplaced, or dropped overboard; but Sailor Ben had his pictures wherever he went, just as that eminent person in the poem,	false	589.26	597.54	21.923985
5868_66166_000030_000000	"With rings on her fingers and bells on her toes"--was accompanied by music on all occasions.	"With rings on her fingers and bells on her toes"--was accompanied by music on all occasions.	false	597.54	603.37	18.567566
5868_66166_000031_000000	The two bands on his breast, he informed me, were a tribute to the memory of a dead messmate from whom he had parted years ago--and surely a more touching tribute was never engraved on a tombstone.	The two bands on his breast, he informed me, were a tribute to the memory of a dead messmate from whom he had parted years ago-and surely a more touching tribute was never engraved on a tombstone.	false	604.04	614.44	17
5868_66166_000031_000001	This caused me to think of my parting with old Aunt Chloe, and I told him I should take it as a great favor indeed if he would paint a pink hand and a black hand on my chest.	This caused me to think of my parting with old Aunt Chloe, and I told him I should take it as a great favor indeed if he would paint a pink hand and a black hand on my chest.	false	615.02	624.61	20
5868_66166_000031_000002	He said the colors were pricked into the skin with needles, and that the operation was somewhat painful.	He said the colors were pricked into the skin with needles, and that the operation was somewhat painful.	true	624.92	630.04	20
5868_66166_000031_000003	I assured him, in an off-hand manner, that I didn't mind pain, and begged him to set to work at once.	I assured him, in an off hand manner, that I didn't mind pain, and begged him to set to work at once.	false	630.2	635.89	17
5868_66166_000032_000000	The simple-hearted fellow, who was probably not a little vain of his skill, took me into the forecastle, and was on the point of complying with my request, when my father happened to own the gangway--a circumstance that rather interfered with the decorative art.	The simple hearted fellow, who was probably not a little vain of his skill, took me into the forecastle, and was on the point of complying with my request, when my father happened to own the gangway-a circumstance that rather interfered with the decorative art.	true	636.44	649.75	18.076973
5868_66166_000033_000000	I didn't have another opportunity of conferring alone with Sailor Ben, for the next morning, bright and early, we came in sight of the cupola of the Boston State House.	I didn't have another opportunity of conferring alone with Sailor Ben, for the next morning, bright and early, we came in sight of the cupola of the Boston State House.	false	650.54	660.84	18.282549
5868_66166_000034_000000	Chapter Four--Rivermouth	Chapter Four-Rivermouth	false	660.84	662.7	20
5868_66166_000035_000000	It was a beautiful May morning when the Typhoon hauled up at Long Wharf. Whether the Indians were not early risers, or whether they were away just then on a war-path, I couldn't determine; but they did not appear in any great force--in fact, did not appear at all.	It was a beautiful May morning when the Typhoon hauled up at Long Wharf. Whether the Indians were not early risers, or whether they were away just then on a war path, I couldn't determine; but they did not appear in any great force-in fact, did not appear at all.	false	662.7	674.58	18.282385
