5802_76043_000004_000000	Section 3	Section three
5802_76043_000011_000000	There was nothing for Dr. Martineau to say to that.	There was nothing for dr Martineau to say to that.
5802_76043_000012_000000	The two gentlemen smoked for some time in a slightly uncomfortable silence.	The two gentlemen smoked for some time in a slightly uncomfortable silence.
5802_76043_000012_000001	Dr. Martineau cleared his throat twice and lit a second cigar. They then agreed to admire the bridge and think well of Maidenhead.	dr Martineau cleared his throat twice and lit a second cigar. They then agreed to admire the bridge and think well of Maidenhead.
5802_76043_000012_000002	Sir Richmond communicated hopeful news about his car, which was to arrive the next morning before ten--he'd just ring the fellow up presently to make sure--and Dr. Martineau retired early and went rather thoughtfully to bed.	Sir Richmond communicated hopeful news about his car, which was to arrive the next morning before ten-he'd just ring the fellow up presently to make sure-and dr Martineau retired early and went rather thoughtfully to bed.
5802_76043_000012_000003	The spate of Sir Richmond's confidences, it was evident, was over.	The spate of Sir Richmond's confidences, it was evident, was over.
5802_76043_000013_000000	Section 4	Section four
5802_76043_000014_000002	They lunched in Marlborough and went on in the afternoon to Silbury Hill, that British pyramid, the largest artificial mound in Europe.	They lunched in Marlborough and went on in the afternoon to Silbury Hill, that British pyramid, the largest artificial mound in Europe.
5802_76043_000014_000003	They left the car by the roadside and clambered to the top and were very learned and inconclusive about the exact purpose of this vast heap of chalk and earth, this heap that men had made before the temples at Karnak were built or Babylon had a name.	They left the car by the roadside and clambered to the top and were very learned and inconclusive about the exact purpose of this vast heap of chalk and earth, this heap that men had made before the temples at Karnak were built or Babylon had a name.
5802_76043_000015_000003	There are drawings of Avebury before these things arose there, when it was a lonely wonder on the plain, but for the most part the destruction was already done before the MAYFLOWER sailed.	There are drawings of Avebury before these things arose there, when it was a lonely wonder on the plain, but for the most part the destruction was already done before the MAYFLOWER sailed.
5802_76043_000015_000005	Around this lonely place rise the Downs, now bare sheep pastures, in broad undulations, with a wart-like barrow here and there, and from it radiate, creeping up to gain and hold the crests of the hills, the abandoned trackways of that forgotten world.	Around this lonely place rise the Downs, now bare sheep pastures, in broad undulations, with a wart like barrow here and there, and from it radiate, creeping up to gain and hold the crests of the hills, the abandoned trackways of that forgotten world.
5802_76043_000015_000006	These trackways, these green roads of England, these roads already disused when the Romans made their highway past Silbury Hill to Bath, can still be traced for scores of miles through the land, running to Salisbury and the English Channel, eastward to the crossing at the Straits and westward to Wales, to ferries over the Severn, and southwestward into Devon and Cornwall.	These trackways, these green roads of England, these roads already disused when the romans made their highway past Silbury Hill to Bath, can still be traced for scores of miles through the land, running to Salisbury and the English Channel, eastward to the crossing at the Straits and westward to Wales, to ferries over the Severn, and southwestward into Devon and Cornwall.
5802_76043_000016_000000	The doctor and Sir Richmond walked round the walls, surveyed the shadow cast by Silbury upon the river flats, strolled up the down to the northward to get a general view of the village, had tea and smoked round the walls again in the warm April sunset.	The doctor and Sir Richmond walked round the walls, surveyed the shadow cast by Silbury upon the river flats, strolled up the down to the northward to get a general view of the village, had tea and smoked round the walls again in the warm April sunset.
5802_76043_000016_000002	Both were inclined to find fault with the archaeological work that had been done on the place.	Both were inclined to find fault with the archaeological work that had been done on the place.
5802_76043_000016_000003	"Clumsy treasure hunting," Sir Richmond said.	"Clumsy treasure hunting," Sir Richmond said.
5802_76043_000016_000006	These walls of earth ought to tell what these people ate, what clothes they wore, what woods they used.	These walls of earth ought to tell what these people ate, what clothes they wore, what woods they used.
5802_76043_000016_000007	Was this a sheep land then as it is now, or a cattle land?	Was this a sheep land then as it is now, or a cattle land?
5802_76043_000016_000008	Were these hills covered by forests?	Were these hills covered by forests?
5802_76043_000016_000009	I don't know.	I don't know.
5802_76043_000016_000010	These archaeologists don't know.	These archaeologists don't know.
5802_76043_000016_000011	Or if they do they haven't told me, which is just as bad.	Or if they do they haven't told me, which is just as bad.
5802_76043_000016_000012	I don't believe they know.	I don't believe they know.
5802_76043_000017_000002	But suppose one day someone were to find a potsherd here from early Knossos, or a fragment of glass from Pepi's Egypt."	But suppose one day someone were to find a potsherd here from early Knossos, or a fragment of glass from Pepi's Egypt."
5802_76043_000018_000000	The place had stirred up his imagination.	The place had stirred up his imagination.
5802_76043_000019_000000	The doctor had not realized before the boldness and liveliness of his companion's mind.	The doctor had not realized before the boldness and liveliness of his companion's mind.
5802_76043_000019_000002	These people must have done an enormous lot with wood.	These people must have done an enormous lot with wood.
5802_76043_000019_000003	This use of stones here was a freak.	This use of stones here was a freak.
5802_76043_000019_000004	It was the very strangeness of stones here that had made them into sacred things.	It was the very strangeness of stones here that had made them into sacred things.
5802_76043_000019_000005	One thought too much of the stones of the Stone Age.	One thought too much of the stones of the Stone Age.
5802_76043_000019_000006	Who would carve these lumps of quartzite when one could carve good oak?	Who would carve these lumps of quartzite when one could carve good oak?
5802_76043_000019_000007	Or beech--a most carvable wood. Especially when one's sharpest chisel was a flint.	Or beech-a most carvable wood. Especially when one's sharpest chisel was a flint.
5802_76043_000019_000008	"It's wood we ought to look for," said Sir Richmond.	"It's wood we ought to look for," said Sir Richmond.
5802_76043_000019_000010	"A peat bog here, even a few feet of clay, might have pickled some precious memoranda....	"A peat bog here, even a few feet of clay, might have pickled some precious memoranda....
5802_76043_000019_000011	No such luck.... Now in Glastonbury marshes one found the life of the early iron age--half way to our own times--quite beautifully pickled."	No such luck.... Now in Glastonbury marshes one found the life of the early iron age-half way to our own times-quite beautifully pickled."
5802_76043_000020_000000	Though they wrestled mightily with the problem, neither Sir Richmond nor the doctor could throw a gleam of light upon the riddle why the ditch was inside and not outside the great wall.	Though they wrestled mightily with the problem, neither Sir Richmond nor the doctor could throw a gleam of light upon the riddle why the ditch was inside and not outside the great wall.
5802_76043_000021_000000	"And what was our Mind like in those days?" said Sir Richmond.	"And what was our Mind like in those days?" said Sir Richmond.
5802_76043_000021_000001	"That, I suppose, is what interests you.	"That, I suppose, is what interests you.
5802_76043_000022_000000	The doctor pursed his lips.	The doctor pursed his lips.
5802_76043_000022_000001	"None," he delivered judicially.	"None," he delivered judicially.
5802_76043_000022_000002	"If one were able to recall one's childhood--at the age of about twelve or thirteen--when the artistic impulse so often goes into abeyance and one begins to think in a troubled, monstrous way about God and Hell, one might get something like the mind of this place."	"If one were able to recall one's childhood-at the age of about twelve or thirteen-when the artistic impulse so often goes into abeyance and one begins to think in a troubled, monstrous way about God and Hell, one might get something like the mind of this place."
5802_76043_000023_000000	"Thirteen.	"Thirteen.
5802_76043_000023_000001	You put them at that already?...	You put them at that already?...
5802_76043_000023_000002	These people, you think, were religious?"	These people, you think, were religious?"
5802_76043_000024_000000	"Intensely.	"Intensely.
5802_76043_000024_000001	In that personal way that gives death a nightmare terror. And as for the fading of the artistic impulse, they've left not a trace of the paintings and drawings and scratchings of the Old Stone people who came before them."	In that personal way that gives death a nightmare terror. And as for the fading of the artistic impulse, they've left not a trace of the paintings and drawings and scratchings of the Old Stone people who came before them."
5802_76043_000025_000000	"Adults with the minds of thirteen-year-old children.	"Adults with the minds of thirteen year old children.
5802_76043_000025_000001	Thirteen-year-old children with the strength of adults--and no one to slap them or tell them not to....	Thirteen year old children with the strength of adults-and no one to slap them or tell them not to....
5802_76043_000025_000002	After all, they probably only thought of death now and then.	After all, they probably only thought of death now and then.
5802_76043_000025_000003	And they never thought of fuel.	And they never thought of fuel.
5802_76043_000025_000004	They supposed there was no end to that.	They supposed there was no end to that.
5802_76043_000025_000005	So they used up their woods and kept goats to nibble and kill the new undergrowth.	So they used up their woods and kept goats to nibble and kill the new undergrowth.
5802_76043_000025_000006	DID these people have goats?"	DID these people have goats?"
5802_76043_000026_000000	"I don't know," said the doctor.	"I don't know," said the doctor.
5802_76043_000026_000001	"So little is known."	"So little is known."
5802_76043_000027_000000	"Very like children they must have been.	"Very like children they must have been.
5802_76043_000027_000001	The same unending days.	The same unending days.
5802_76043_000027_000005	When I was a child I believed that my father's garden had been there for ever....	When I was a child I believed that my father's garden had been there for ever....
5802_76043_000028_000000	"This is very like trying to remember some game one played when one was a child.	"This is very like trying to remember some game one played when one was a child.
5802_76043_000029_000000	"The life we lived here," said the doctor, "has left its traces in traditions, in mental predispositions, in still unanalyzed fundamental ideas."	"The life we lived here," said the doctor, "has left its traces in traditions, in mental predispositions, in still unanalyzed fundamental ideas."
5802_76043_000030_000000	"Archaeology is very like remembering," said Sir Richmond.	"Archaeology is very like remembering," said Sir Richmond.
5802_76043_000030_000004	We sowed our corn in blood here.	We sowed our corn in blood here.
5802_76043_000030_000005	We had strange fancies about the stars.	We had strange fancies about the stars.
5802_76043_000030_000006	Those we brought with us out of the south where the stars are brighter.	Those we brought with us out of the south where the stars are brighter.
5802_76043_000030_000007	And what like were those wooden gods of ours?	And what like were those wooden gods of ours?
5802_76043_000030_000008	I don't remember....	I don't remember....
5802_76043_000030_000009	But I could easily persuade myself that I had been here before."	But I could easily persuade myself that I had been here before."
5802_76043_000032_000001	And then I suppose that this ditch won't be the riddle it is now."	And then I suppose that this ditch won't be the riddle it is now."
5802_76043_000033_000000	"Life didn't seem so complicated then," Sir Richmond mused.	"Life didn't seem so complicated then," Sir Richmond mused.
5802_76043_000033_000001	"Our muddles were unconscious.	"Our muddles were unconscious.
5802_76043_000033_000002	We drifted from mood to mood and forgot.	We drifted from mood to mood and forgot.
5802_76043_000033_000003	There was more sunshine then, more laughter perhaps, and blacker despair.	There was more sunshine then, more laughter perhaps, and blacker despair.
5802_76043_000033_000004	Despair like the despair of children that can weep itself to sleep....	Despair like the despair of children that can weep itself to sleep....
5802_76043_000033_000005	It's over....	It's over....
5802_76043_000033_000006	Was it battle and massacre that ended that long afternoon here? Or did the woods catch fire some exceptionally dry summer, leaving black hills and famine?	Was it battle and massacre that ended that long afternoon here? Or did the woods catch fire some exceptionally dry summer, leaving black hills and famine?
5802_76043_000033_000007	Or did strange men bring a sickness--measles, perhaps, or the black death?	Or did strange men bring a sickness-measles, perhaps, or the black death?
5802_76043_000033_000008	Or was it cattle pest?	Or was it cattle pest?
5802_76043_000033_000010	I can't remember...."	I can't remember...."
5802_76043_000034_000000	Sir Richmond turned about.	Sir Richmond turned about.
5802_76043_000034_000001	"I would like to dig up the bottom of this ditch here foot by foot--and dry the stuff and sift it--very carefully....	"I would like to dig up the bottom of this ditch here foot by foot-and dry the stuff and sift it-very carefully....
