7241_90850_000002_000000	THE BIRD BOY	THE BIRD BOY
7241_90850_000017_000002	A great battle had been fought, the army of Rosabella's father had been completely defeated, and the troops of the wicked Malefico were hurrying toward the castle as fast as they could come.	A great battle had been fought, the army of Rosabella's father had been completely defeated, and the troops of the wicked Malefico were hurrying toward the castle as fast as they could come.
7241_90850_000019_000000	When Malefico saw the bird-boy, a look of surprise appeared on his face, for he had believed that the wonderful child was dead.	When Malefico saw the bird boy, a look of surprise appeared on his face, for he had believed that the wonderful child was dead.
7241_90850_000020_000000	"If it were known that the winged child is alive," he thought, "the people would thrust me from my place, and restore him to his father's throne.	"If it were known that the winged child is alive," he thought, "the people would thrust me from my place, and restore him to his father's throne.
7241_90850_000020_000001	Now that the bird-boy is in my hands, I will destroy him, and be sure of my power."	Now that the bird boy is in my hands, I will destroy him, and be sure of my power."
7241_90850_000021_000004	When it was over, he sent a soldier to tell the King and the bird-boy that they were to be punished the following day.	When it was over, he sent a soldier to tell the King and the bird boy that they were to be punished the following day.
7241_90850_000022_000000	And now dawned the unhappy day.	And now dawned the unhappy day.
7241_90850_000022_000002	The morning was fresh and fair; a pleasant southwest wind was blowing.	The morning was fresh and fair; a pleasant southwest wind was blowing.
7241_90850_000022_000004	The clock marked a quarter to twelve.	The clock marked a quarter to twelve.
7241_90850_000025_000001	And even if it were to come, what could it do to save us from these cruel people?"	And even if it were to come, what could it do to save us from these cruel people?"
7241_90850_000026_000000	When the clock stood at five minutes to twelve, there was a confused noise below, and Malefico and the judges who shared with him the guilt of the unrighteous punishment took their places on a kind of platform which overlooked the place of execution.	When the clock stood at five minutes to twelve, there was a confused noise below, and Malefico and the judges who shared with him the guilt of the unrighteous punishment took their places on a kind of platform which overlooked the place of execution.
7241_90850_000027_000000	"They will soon be coming to get us," said the King to the bird-boy.	"They will soon be coming to get us," said the King to the bird boy.
7241_90850_000028_000000	And sure enough, they heard the jangle of the jailer's keys at the foot of the stair.	And sure enough, they heard the jangle of the jailer's keys at the foot of the stair.
7241_90850_000030_000003	The doom which Malefico had intended for another had overtaken him.	The doom which Malefico had intended for another had overtaken him.
7241_90850_000031_000000	The King and the Queen, Rosabella and the bird-boy, rushed down the stairs and out into the sunlight.	The King and the Queen, Rosabella and the bird boy, rushed down the stairs and out into the sunlight.
7241_90850_000031_000003	She took her son in her arms, and told them all his history and her misfortunes, and how she had watched over him year after year and gathered the birds to save him.	She took her son in her arms, and told them all his history and her misfortunes, and how she had watched over him year after year and gathered the birds to save him.
7241_90850_000032_000000	Thus it came to pass that, when the troops of Malefico saw their former Queen and heard her story, they acclaimed the bird-boy as their rightful king, and carried him back in triumph into his own country.	Thus it came to pass that, when the troops of Malefico saw their former Queen and heard her story, they acclaimed the bird boy as their rightful king, and carried him back in triumph into his own country.
