8421_283462_000004_000000	The Water Ghost of Harrowby Hall	The Water Ghost of Harrowby Hall
8421_283462_000011_000003	Every time he would move she would follow him, with the result that everything she came in contact with got a ducking.	Every time he would move she would follow him, with the result that everything she came in contact with got a ducking.
8421_283462_000011_000004	In an effort to warm himself up he approached the fire, an unfortunate move as it turned out, because it brought the ghost directly over the fire, which immediately was extinguished.	In an effort to warm himself up he approached the fire, an unfortunate move as it turned out, because it brought the ghost directly over the fire, which immediately was extinguished.
8421_283462_000011_000005	The whiskey became utterly valueless as a comforter to his chilled system, because it was by this time diluted to a proportion of ninety per cent of water.	The whiskey became utterly valueless as a comforter to his chilled system, because it was by this time diluted to a proportion of ninety per cent of water.
8421_283462_000011_000006	The only thing he could do to ward off the evil effects of his encounter he did, and that was to swallow ten two-grain quinine pills, which he managed to put into his mouth before the ghost had time to interfere. Having done this, he turned with some asperity to the ghost, and said:	The only thing he could do to ward off the evil effects of his encounter he did, and that was to swallow ten two grain quinine pills, which he managed to put into his mouth before the ghost had time to interfere. Having done this, he turned with some asperity to the ghost, and said:
8421_283462_000012_000001	Go sit out on the lake, if you like that sort of thing; soak the water-butt, if you wish; but do not, I implore you, come into a gentleman's house and saturate him and his possessions in this way.	Go sit out on the lake, if you like that sort of thing; soak the water butt, if you wish; but do not, I implore you, come into a gentleman's house and saturate him and his possessions in this way.
8421_283462_000012_000002	It is damned disagreeable."	It is damned disagreeable."
8421_283462_000014_000000	"Madam," returned the unhappy householder, "I wish that remark were strictly truthful.	"Madam," returned the unhappy householder, "I wish that remark were strictly truthful.
8421_283462_000014_000001	I was talking about you.	I was talking about you.
8421_283462_000015_000000	"That is a bit of specious nonsense," returned the ghost, throwing a quart of indignation into the face of the master of Harrowby.	"That is a bit of specious nonsense," returned the ghost, throwing a quart of indignation into the face of the master of Harrowby.
8421_283462_000016_000000	"No, I don't," returned the master of Harrowby.	"No, I don't," returned the master of Harrowby.
8421_283462_000019_000000	"No doubt.	"No doubt.
8421_283462_000019_000001	I'm never dry.	I'm never dry.
8421_283462_000019_000003	I have been the incumbent of this highly unpleasant office for two hundred years to-night."	I have been the incumbent of this highly unpleasant office for two hundred years to night."
8421_283462_000020_000000	"How the deuce did you ever come to get elected?" asked the master.	"How the deuce did you ever come to get elected?" asked the master.
8421_283462_000021_000001	"I am the ghost of that fair maiden whose picture hangs over the mantelpiece in the drawing-room.	"I am the ghost of that fair maiden whose picture hangs over the mantelpiece in the drawing room.
8421_283462_000022_000000	"But what induced you to get this house into such a predicament?"	"But what induced you to get this house into such a predicament?"
8421_283462_000023_000000	"I was not to blame, sir," returned the lady.	"I was not to blame, sir," returned the lady.
8421_283462_000023_000001	"It was my father's fault. He it was who built Harrowby Hall, and the haunted chamber was to have been mine.	"It was my father's fault. He it was who built Harrowby Hall, and the haunted chamber was to have been mine.
8421_283462_000023_000002	My father had it furnished in pink and yellow, knowing well that blue and gray formed the only combination of color I could tolerate.	My father had it furnished in pink and yellow, knowing well that blue and gray formed the only combination of color I could tolerate.
8421_283462_000023_000003	He did it merely to spite me, and, with what I deem a proper spirit, I declined to live in the room; whereupon my father said I could live there or on the lawn, he didn't care which.	He did it merely to spite me, and, with what I deem a proper spirit, I declined to live in the room; whereupon my father said I could live there or on the lawn, he didn't care which.
8421_283462_000023_000004	That night I ran from the house and jumped over the cliff into the sea."	That night I ran from the house and jumped over the cliff into the sea."
8421_283462_000024_000000	"That was rash," said the master of Harrowby.	"That was rash," said the master of Harrowby.
8421_283462_000025_000000	"So I've heard," returned the ghost.	"So I've heard," returned the ghost.
8421_283462_000025_000001	"If I had known what the consequences were to be I should not have jumped; but I really never realized what I was doing until after I was drowned.	"If I had known what the consequences were to be I should not have jumped; but I really never realized what I was doing until after I was drowned.
8421_283462_000026_000000	"I'll sell the place."	"I'll sell the place."
8421_283462_000027_000000	"That you cannot do, for it is also required of me that I shall appear as the deeds are to be delivered to any purchaser, and divulge to him the awful secret of the house."	"That you cannot do, for it is also required of me that I shall appear as the deeds are to be delivered to any purchaser, and divulge to him the awful secret of the house."
8421_283462_000029_000000	"You have stated the case, Oglethorpe.	"You have stated the case, Oglethorpe.
8421_283462_000029_000001	And what is more," said the water ghost, "it doesn't make the slightest difference where you are, if I find that room empty, wherever you may be I shall douse you with my spectral pres----"	And what is more," said the water ghost, "it doesn't make the slightest difference where you are, if I find that room empty, wherever you may be I shall douse you with my spectral pres----"
8421_283462_000030_000000	Here the clock struck one, and immediately the apparition faded away.	Here the clock struck one, and immediately the apparition faded away.
8421_283462_000030_000001	It was perhaps more of a trickle than a fade, but as a disappearance it was complete.	It was perhaps more of a trickle than a fade, but as a disappearance it was complete.
8421_283462_000031_000000	"By St. George and his Dragon!" ejaculated the master of Harrowby, wringing his hands.	"By saint George and his Dragon!" ejaculated the master of Harrowby, wringing his hands.
8421_283462_000032_000000	But the master of Harrowby would have lost his wager had there been anyone there to take him up, for when Christmas Eve came again he was in his grave, never having recovered from the cold contracted that awful night.	But the master of Harrowby would have lost his wager had there been anyone there to take him up, for when Christmas Eve came again he was in his grave, never having recovered from the cold contracted that awful night.
8421_283462_000032_000001	Harrowby Hall was closed, and the heir to the estate was in London, where to him in his chambers came the same experience that his father had gone through, saving only that, being younger and stronger, he survived the shock.	Harrowby Hall was closed, and the heir to the estate was in London, where to him in his chambers came the same experience that his father had gone through, saving only that, being younger and stronger, he survived the shock.
8421_283462_000032_000002	Everything in his rooms was ruined--his clocks were rusted in the works; a fine collection of water-color drawings was entirely obliterated by the onslaught of the water ghost; and what was worse, the apartments below his were drenched with the water soaking through the floors, a damage for which he was compelled to pay, and which resulted in his being requested by his landlady to vacate the premises immediately.	Everything in his rooms was ruined-his clocks were rusted in the works; a fine collection of water color drawings was entirely obliterated by the onslaught of the water ghost; and what was worse, the apartments below his were drenched with the water soaking through the floors, a damage for which he was compelled to pay, and which resulted in his being requested by his landlady to vacate the premises immediately.
8421_283462_000034_000000	So the heir of Harrowby Hall resolved, as his ancestors for several generations before him had resolved, that something must be done.	So the heir of Harrowby Hall resolved, as his ancestors for several generations before him had resolved, that something must be done.
8421_283462_000034_000002	None of his friends would consent to sacrifice their personal comfort to his, nor was there to be found in all England a man so poor as to be willing to occupy the doomed chamber on Christmas Eve for pay.	None of his friends would consent to sacrifice their personal comfort to his, nor was there to be found in all England a man so poor as to be willing to occupy the doomed chamber on Christmas Eve for pay.
8421_283462_000035_000000	Then the thought came to the heir to have the fireplace in the room enlarged, so that he might evaporate the ghost at its first appearance, and he was felicitating himself upon the ingenuity of his plan, when he remembered what his father had told him--how that no fire could withstand the lady's extremely contagious dampness.	Then the thought came to the heir to have the fireplace in the room enlarged, so that he might evaporate the ghost at its first appearance, and he was felicitating himself upon the ingenuity of his plan, when he remembered what his father had told him-how that no fire could withstand the lady's extremely contagious dampness.
8421_283462_000035_000001	And then he bethought him of steam-pipes.	And then he bethought him of steam pipes.
8421_283462_000036_000001	The water ghost appeared at the specified time, and found the heir of Harrowby prepared; but hot as the room was, it shortened her visit by no more than five minutes in the hour, during which time the nervous system of the young master was well-nigh shattered, and the room itself was cracked and warped to an extent which required the outlay of a large sum of money to remedy.	The water ghost appeared at the specified time, and found the heir of Harrowby prepared; but hot as the room was, it shortened her visit by no more than five minutes in the hour, during which time the nervous system of the young master was well nigh shattered, and the room itself was cracked and warped to an extent which required the outlay of a large sum of money to remedy.
8421_283462_000036_000002	And worse than this, as the last drop of the water ghost was slowly sizzling itself out on the floor, she whispered to her would-be conqueror that his scheme would avail him nothing, because there was still water in great plenty where she came from, and that next year would find her rehabilitated and as exasperatingly saturating as ever.	And worse than this, as the last drop of the water ghost was slowly sizzling itself out on the floor, she whispered to her would be conqueror that his scheme would avail him nothing, because there was still water in great plenty where she came from, and that next year would find her rehabilitated and as exasperatingly saturating as ever.
8421_283462_000037_000000	It was then that the natural action of the mind, in going from one extreme to the other, suggested to the ingenious heir of Harrowby the means by which the water ghost was ultimately conquered, and happiness once more came within the grasp of the house of Oglethorpe.	It was then that the natural action of the mind, in going from one extreme to the other, suggested to the ingenious heir of Harrowby the means by which the water ghost was ultimately conquered, and happiness once more came within the grasp of the house of Oglethorpe.
8421_283462_000038_000000	The heir provided himself with a warm suit of fur under-clothing. Donning this with the furry side in, he placed over it a rubber garment, tight-fitting, which he wore just as a woman wears a jersey.	The heir provided himself with a warm suit of fur under clothing. Donning this with the furry side in, he placed over it a rubber garment, tight fitting, which he wore just as a woman wears a jersey.
8421_283462_000038_000001	On top of this he placed another set of under-clothing, this suit made of wool, and over this was a second rubber garment like the first.	On top of this he placed another set of under clothing, this suit made of wool, and over this was a second rubber garment like the first.
8421_283462_000038_000002	Upon his head he placed a light and comfortable diving helmet, and so clad, on the following Christmas Eve he awaited the coming of his tormentor.	Upon his head he placed a light and comfortable diving helmet, and so clad, on the following Christmas Eve he awaited the coming of his tormentor.
8421_283462_000039_000000	It was a bitterly cold night that brought to a close this twenty-fourth day of December.	It was a bitterly cold night that brought to a close this twenty fourth day of December.
8421_283462_000039_000001	The air outside was still, but the temperature was below zero.	The air outside was still, but the temperature was below zero.
8421_283462_000041_000000	The clock clanged out the hour of twelve.	The clock clanged out the hour of twelve.
8421_283462_000044_000001	"May I ask where did you get that hat?"	"May I ask where did you get that hat?"
8421_283462_000045_000000	"Certainly, madam," returned the master, courteously.	"Certainly, madam," returned the master, courteously.
8421_283462_000046_000000	"That is my delectable fate," returned the lady.	"That is my delectable fate," returned the lady.
8421_283462_000048_000000	"You can't get rid of me that way," returned the ghost.	"You can't get rid of me that way," returned the ghost.
8421_283462_000048_000001	"The water won't swallow me up; in fact, it will just add to my present bulk."	"The water won't swallow me up; in fact, it will just add to my present bulk."
8421_283462_000049_000000	"Nevertheless," said the master, firmly, "we will go out on the lake."	"Nevertheless," said the master, firmly, "we will go out on the lake."
8421_283462_000050_000000	"But, my dear sir," returned the ghost, with a pale reluctance, "it is fearfully cold out there.	"But, my dear sir," returned the ghost, with a pale reluctance, "it is fearfully cold out there.
8421_283462_000051_000002	Come!" This last in a tone of command that made the ghost ripple.	Come!" This last in a tone of command that made the ghost ripple.
8421_283462_000052_000000	And they started.	And they started.
8421_283462_000053_000000	They had not gone far before the water ghost showed signs of distress.	They had not gone far before the water ghost showed signs of distress.
8421_283462_000054_000000	"You walk too slowly," she said.	"You walk too slowly," she said.
8421_283462_000054_000001	"I am nearly frozen.	"I am nearly frozen.
8421_283462_000054_000003	I beseech you to accelerate your step."	I beseech you to accelerate your step."
8421_283462_000055_000000	"I should like to oblige a lady," returned the master, courteously, "but my clothes are rather heavy, and a hundred yards an hour is about my speed.	"I should like to oblige a lady," returned the master, courteously, "but my clothes are rather heavy, and a hundred yards an hour is about my speed.
8421_283462_000055_000001	Indeed, I think we would better sit down here on this snowdrift, and talk matters over."	Indeed, I think we would better sit down here on this snowdrift, and talk matters over."
8421_283462_000056_000000	"Do not!	"Do not!
8421_283462_000056_000001	Do not do so, I beg!" cried the ghost.	Do not do so, I beg!" cried the ghost.
8421_283462_000056_000004	If we stop here, I shall be frozen stiff."	If we stop here, I shall be frozen stiff."
8421_283462_000057_000000	"That, madam," said the master slowly, and seating himself on an ice-cake--"that is why I have brought you here.	"That, madam," said the master slowly, and seating himself on an ice cake-"that is why I have brought you here.
8421_283462_000057_000001	We have been on this spot just ten minutes; we have fifty more.	We have been on this spot just ten minutes; we have fifty more.
8421_283462_000057_000002	Take your time about it, madam, but freeze, that is all I ask of you."	Take your time about it, madam, but freeze, that is all I ask of you."
8421_283462_000059_000000	"Never, madam.	"Never, madam.
8421_283462_000059_000001	It cannot be.	It cannot be.
8421_283462_000059_000002	I have you at last."	I have you at last."
8421_283462_000060_000000	"Alas!" cried the ghost, a tear trickling down her frozen cheek.	"Alas!" cried the ghost, a tear trickling down her frozen cheek.
8421_283462_000060_000001	"Help me, I beg.	"Help me, I beg.
8421_283462_000060_000002	I congeal!"	I congeal!"
8421_283462_000061_000001	"You have drenched me and mine for two hundred and three years, madam.	"You have drenched me and mine for two hundred and three years, madam.
8421_283462_000061_000002	To-night you have had your last drench."	To night you have had your last drench."
8421_283462_000062_000000	"Ah, but I shall thaw out again, and then you'll see.	"Ah, but I shall thaw out again, and then you'll see.
8421_283462_000062_000001	Instead of the comfortably tepid, genial ghost I have been in my past, sir, I shall be iced-water," cried the lady, threateningly.	Instead of the comfortably tepid, genial ghost I have been in my past, sir, I shall be iced water," cried the lady, threateningly.
8421_283462_000063_000000	"No, you won't, either," returned Oglethorpe; "for when you are frozen quite stiff, I shall send you to a cold-storage warehouse, and there shall you remain an icy work of art forever more."	"No, you won't, either," returned Oglethorpe; "for when you are frozen quite stiff, I shall send you to a cold storage warehouse, and there shall you remain an icy work of art forever more."
8421_283462_000064_000000	"But warehouses burn."	"But warehouses burn."
8421_283462_000065_000000	"So they do, but this warehouse cannot burn.	"So they do, but this warehouse cannot burn.
8421_283462_000066_000000	"For the last time let me beseech you.	"For the last time let me beseech you.
8421_283462_000066_000002	I beg of you do not doo----"	I beg of you do not doo----"
8421_283462_000067_000001	There was a momentary tremor throughout the ice-bound form, and the moon, coming out from behind a cloud, shone down on the rigid figure of a beautiful woman sculptured in clear, transparent ice.	There was a momentary tremor throughout the ice bound form, and the moon, coming out from behind a cloud, shone down on the rigid figure of a beautiful woman sculptured in clear, transparent ice.
8421_283462_000067_000002	There stood the ghost of Harrowby Hall, conquered by the cold, a prisoner for all time.	There stood the ghost of Harrowby Hall, conquered by the cold, a prisoner for all time.
