4957_23295_000006_000000	CHAPTER V.	CHAPTER five
4957_23295_000032_000000	"My Lord, I do not presume--"	"My Lord, I do not presume-"
4957_23295_000033_000000	"Do not, Sandford, and we may still be good friends.	"Do not, Sandford, and we may still be good friends.
4957_23295_000033_000001	But I am not to be controlled as formerly; my temper is changed of late; changed to what it was originally; till your religious precepts reformed it.	But I am not to be controlled as formerly; my temper is changed of late; changed to what it was originally; till your religious precepts reformed it.
4957_23295_000034_000000	Sandford again repeated, "He should not presume--"	Sandford again repeated, "He should not presume-"
4957_23295_000035_000000	To which Lord Elmwood again made answer, "Do not, Sandford;" and added, "for I have a sincere regard for you, and should be loath, at these years, to quarrel with you seriously."	To which Lord Elmwood again made answer, "Do not, Sandford;" and added, "for I have a sincere regard for you, and should be loath, at these years, to quarrel with you seriously."
4957_23295_000036_000000	Sandford turned away his head to conceal his feelings.	Sandford turned away his head to conceal his feelings.
4957_23295_000037_000000	"Nay, if we do quarrel," resumed Lord Elmwood, "You know it must be your own fault; and as this is a theme the most likely of any, nay, the only one on which we can have a difference (such as we cannot forgive) take care never from this day to resume it; indeed that of itself, would be an offence I could not pardon.	"Nay, if we do quarrel," resumed Lord Elmwood, "You know it must be your own fault; and as this is a theme the most likely of any, nay, the only one on which we can have a difference (such as we cannot forgive) take care never from this day to resume it; indeed that of itself, would be an offence I could not pardon.
4957_23295_000037_000001	I have been clear and explicit in all I have said; there can be no fear of mistaking my meaning; therefore, all future explanation is unnecessary--nor will I permit a word, or a hint on the subject from any one, without shewing my resentment even to the hour of my death." He was going out of the room.	I have been clear and explicit in all I have said; there can be no fear of mistaking my meaning; therefore, all future explanation is unnecessary-nor will I permit a word, or a hint on the subject from any one, without shewing my resentment even to the hour of my death." He was going out of the room.
4957_23295_000038_000000	"But before we bid adieu to the subject for ever, my Lord--there was another person whom I named to you--"	"But before we bid adieu to the subject for ever, my Lord-there was another person whom I named to you-"
4957_23295_000039_000000	"Do you mean Miss Woodley?	"Do you mean Miss Woodley?
4957_23295_000039_000001	Oh, by all means let her live at Elmwood House too.	Oh, by all means let her live at Elmwood House too.
4957_23295_000040_000000	"She is a good woman, my Lord," cried Sandford, pleased.	"She is a good woman, my Lord," cried Sandford, pleased.
4957_23295_000041_000000	"You need not tell me that, Mr. Sandford; I know her worth." And he left the room.	"You need not tell me that, mr Sandford; I know her worth." And he left the room.
4957_23295_000042_000001	But before he left London, Giffard, the steward, took an opportunity to wait upon him, and let him know, that his Lord had acquainted him with the consent he had given for his daughter to be admitted at Elmwood Castle, and upon what restrictions: that he had farther uttered the severest threats, should these restrictions ever be infringed.	But before he left London, Giffard, the steward, took an opportunity to wait upon him, and let him know, that his Lord had acquainted him with the consent he had given for his daughter to be admitted at Elmwood Castle, and upon what restrictions: that he had farther uttered the severest threats, should these restrictions ever be infringed.
4957_23295_000042_000002	Sandford thanked Giffard for his friendly information.	Sandford thanked Giffard for his friendly information.
4957_23295_000042_000003	It served him as a second warning of the circumspection that was necessary; and having taken leave of his friend and patron, under the pretence that "He could not live in the smoke of London," he set out for the North.	It served him as a second warning of the circumspection that was necessary; and having taken leave of his friend and patron, under the pretence that "He could not live in the smoke of London," he set out for the North.
4957_23295_000043_000000	It is unnecessary to say with what delight Sandford was received by Miss Woodley, and the hapless daughter of Lady Elmwood, even before he told his errand.	It is unnecessary to say with what delight Sandford was received by Miss Woodley, and the hapless daughter of Lady Elmwood, even before he told his errand.
4957_23295_000043_000001	They both loved him sincerely; more especially Lady Matilda, whose forlorn state, and innocent sufferings, had ever excited his compassion and caused him to treat her with affection, tenderness, and respect.	They both loved him sincerely; more especially Lady Matilda, whose forlorn state, and innocent sufferings, had ever excited his compassion and caused him to treat her with affection, tenderness, and respect.
4957_23295_000043_000002	She knew, too, how much he had been her mother's friend; for that, she also loved him; and for being honoured with the friendship of her father, she looked up to him with reverence.	She knew, too, how much he had been her mother's friend; for that, she also loved him; and for being honoured with the friendship of her father, she looked up to him with reverence.
4957_23295_000043_000003	For Matilda (with an excellent understanding, a sedateness above her years, and early accustomed to the most private converse between Lady Elmwood and Miss Woodley) was perfectly acquainted with the whole fatal history of her mother; and was, by her, taught the respect and admiration of her father's virtues which they justly merited.	For Matilda (with an excellent understanding, a sedateness above her years, and early accustomed to the most private converse between Lady Elmwood and Miss Woodley) was perfectly acquainted with the whole fatal history of her mother; and was, by her, taught the respect and admiration of her father's virtues which they justly merited.
4957_23295_000044_000000	Notwithstanding the joy of Mr. Sandford's presence, once more to cheer their solitary dwelling; no sooner were the first kind greetings over, than the dread of what he might have to inform them of, possessed poor Matilda and Miss Woodley so powerfully, that all their gladness was changed into affright.	Notwithstanding the joy of mr Sandford's presence, once more to cheer their solitary dwelling; no sooner were the first kind greetings over, than the dread of what he might have to inform them of, possessed poor Matilda and Miss Woodley so powerfully, that all their gladness was changed into affright.
4957_23295_000044_000001	Their apprehensions were far more forcible than their curiosity; they dared not ask a question, and even began to wish he would continue silent upon the subject on which they feared to listen.	Their apprehensions were far more forcible than their curiosity; they dared not ask a question, and even began to wish he would continue silent upon the subject on which they feared to listen.
4957_23295_000044_000002	For near two hours he was so.----At length, after a short interval from speaking, (during which they waited with anxiety for what he might next say) he turned to Lady Matilda, and said,	For near two hours he was so.----At length, after a short interval from speaking, (during which they waited with anxiety for what he might next say) he turned to Lady Matilda, and said,
4957_23295_000045_000000	"You don't ask for your father, my dear."	"You don't ask for your father, my dear."
4957_23295_000046_000000	"I did not know it was proper:" she replied, timidly.	"I did not know it was proper:" she replied, timidly.
4957_23295_000049_000000	"Do not think I reproved you," said Sandford; "I only told you what was right."	"Do not think I reproved you," said Sandford; "I only told you what was right."
4957_23295_000050_000000	"Nay," said Miss Woodley, "she does not weep for that--she fears her father has not complied with her mother's request.	"Nay," said Miss Woodley, "she does not weep for that-she fears her father has not complied with her mother's request.
4957_23295_000050_000001	Perhaps--not even read her letter?"	Perhaps-not even read her letter?"
4957_23295_000052_000000	"Oh Heavens!" exclaimed Matilda, clasping her hands together, and the tears falling still faster.	"Oh Heavens!" exclaimed Matilda, clasping her hands together, and the tears falling still faster.
4957_23295_000053_000000	"Do not be so much alarmed, my dear," said Miss Woodley; "you know we are prepared for the worst; and you know you promised your mother, whatever your fate should be, to submit with patience."	"Do not be so much alarmed, my dear," said Miss Woodley; "you know we are prepared for the worst; and you know you promised your mother, whatever your fate should be, to submit with patience."
4957_23295_000054_000000	"Yes," replied Matilda, "and I am prepared for every thing, but my father's refusal to my dear mother."	"Yes," replied Matilda, "and I am prepared for every thing, but my father's refusal to my dear mother."
4957_23295_000055_000000	"Your father has not refused your mother's request," replied Sandford.	"Your father has not refused your mother's request," replied Sandford.
4957_23295_000056_000000	She was leaping from her seat in ecstasy.	She was leaping from her seat in ecstasy.
4957_23295_000058_000000	"Not entirely," replied Matilda, "and since it is granted, I am careless.	"Not entirely," replied Matilda, "and since it is granted, I am careless.
4957_23295_000058_000001	But she told me her letter concerned none but me."	But she told me her letter concerned none but me."
4957_23295_000059_000001	She listened sometimes with tears, sometimes with hope, but always with awe, and with terror, to every sentence in which her father was concerned.	She listened sometimes with tears, sometimes with hope, but always with awe, and with terror, to every sentence in which her father was concerned.
4957_23295_000059_000002	Once she called him cruel--then exclaimed "He was kind;" but at the end of Sandford's intelligence, concluded "that she was happy and grateful for the boon bestowed." Even her mother had not a more exalted idea of Lord Elmwood's worth than his daughter had formed; and this little bounty just obtained, would not have been greater in her mother's estimation, than it was now in hers.	Once she called him cruel-then exclaimed "He was kind;" but at the end of Sandford's intelligence, concluded "that she was happy and grateful for the boon bestowed." Even her mother had not a more exalted idea of Lord Elmwood's worth than his daughter had formed; and this little bounty just obtained, would not have been greater in her mother's estimation, than it was now in hers.
