7495_252342_000000_000000	Ay, good reader, utterly forgotten!	Ay, good reader, utterly forgotten!	false	0	1.38	27.82249
7495_252342_000010_000003	Fancy the poor fellow's ecstasy at being allowed to range at will through all ancient literature, of which hitherto a stray volume alone had reached him.	Fancy the poor fellow's ecstasy at being allowed to range at will through all ancient literature, of which hitherto a stray volume alone had reached him.	false	390.26	398.65	23.991518
7495_252342_000010_000004	Imagine his delight as each day opened new stores of knowledge to him, surrounded as he was by all that could encourage zeal and reward research.	Imagine his delight as each day opened new stores of knowledge to him, surrounded as he was by all that could encourage zeal and reward research.	true	399.23	407.68	21.639063
7495_252342_000010_000005	The boy's treatment of him pleases me much; it smacks of the gentle blood in his veins.	The boy's treatment of him pleases me much; it smacks of the gentle blood in his veins.	false	408.23	413.95	29.381256
7495_252342_000010_000006	Poor lad, there is something very sad in his case.	Poor lad, there is something very sad in his case.	true	414.23	417.25	24.089268
7495_252342_000011_000000	You need not have taken such trouble about accounts and expenditure; of course, whatever you have done I perfectly approve of.	You need not have taken such trouble about accounts and expenditure; of course, whatever you have done I perfectly approve of.	true	418.61	425.5	27.812416
7495_252342_000011_000001	You say that the boy has no idea of money or its value.	You say that the boy has no idea of money or its value.	true	425.81	429.76	23.917278
7495_252342_000011_000002	There is both good and evil in this.	There is both good and evil in this.	true	430.13	432.34	23.19966
7495_252342_000011_000003	And now as to his future.	And now as to his future.	true	433.07	434.98	23.722095
7495_252342_000011_000004	I should have no objection whatever to having him attached to my Legation here, and perhaps no great difficulty in effecting his appointment; but there is a serious obstacle in his position.	I should have no objection whatever to having him attached to my Legation here, and perhaps no great difficulty in effecting his appointment; but there is a serious obstacle in his position.	true	435.29	445.93	25.250282
7495_252342_000011_000005	The young men who figure at embassies and missions are all "cognate numbers." They each of them know who and what the other is, whence he came, and so on.	The young men who figure at embassies and missions are all "cognate numbers." They each of them know who and what the other is, whence he came, and so on.	true	446.33	456.13	24.165274
7495_252342_000011_000006	Now, our poor boy could not stand this ordeal, nor would it be fair he should be exposed to it.	Now, our poor boy could not stand this ordeal, nor would it be fair he should be exposed to it.	true	456.44	461.95	25.755463
7495_252342_000011_000007	Besides this, it was never Glencore's wish, but the very opposite to it, that he should be brought prominently forward in life.	Besides this, it was never Glencore's wish, but the very opposite to it, that he should be brought prominently forward in life.	true	462.26	468.99	28.836514
7495_252342_000011_000008	He even suggested one of the Colonies as the means of withdrawing him at once, and forever, from public gaze.	He even suggested one of the Colonies as the means of withdrawing him at once, and forever, from public gaze.	false	468.99	475.42	23.207945
7495_252342_000012_000000	You have interested me much by what you say of the boy's progress.	You have interested me much by what you say of the boy's progress.	true	476.57	480.07	29.492535
7495_252342_000012_000001	His tastes, I infer, lie in the direction which, in a worldly sense, are least profitable; but, after all, Harcourt, every one has brains enough, and to spare, for any career.	His tastes, I infer, lie in the direction which, in a worldly sense, are least profitable; but, after all, Harcourt, every one has brains enough, and to spare, for any career.	true	480.32	491.14	25.70743
7495_252342_000012_000002	Let us only decide upon that one most fitted for him, and, depend upon it, his faculties will day by day conform to his duties, and his tastes be merely dissipations, just as play or wine is to coarser natures.	Let us only decide upon that one most fitted for him, and, depend upon it, his faculties will day by day conform to his duties, and his tastes be merely dissipations, just as play or wine is to coarser natures.	false	491.51	504.76	24.780315
7495_252342_000013_000000	If you really press the question of his coming to me, I will not refuse, seeing that I can take my own time to consider what steps subsequently should be adopted.	If you really press the question of his coming to me, I will not refuse, seeing that I can take my own time to consider what steps subsequently should be adopted.	true	505.88	514.54	27
7495_252342_000013_000001	How is it that you know nothing of Glencore,--can he not be traced?	How is it that you know nothing of Glencore,--can he not be traced?	true	514.91	518.77	30.214668
7495_252342_000014_000000	Lord Selby, whom you may remember in the Blues formerly, dined here yesterday, and mentioned a communication he had received from his lawyer with regard to some property entail, which, if Glencore should leave no heir male, devolved upon him.	Lord Selby, whom you may remember in the Blues formerly, dined here yesterday, and mentioned a communication he had received from his lawyer with regard to some property entail, which, if Glencore should leave no heir male, devolved upon him.	true	519.71	533.98	23.331097
7495_252342_000014_000001	I tried to find out the whereabouts and the amount of this heritage; but, with the admirable indifference that characterizes him, he did not know or care.	I tried to find out the whereabouts and the amount of this heritage; but, with the admirable indifference that characterizes him, he did not know or care.	true	534.77	542.83	22
7495_252342_000015_000000	As to my Lady, I can give you no information whatever.	As to my Lady, I can give you no information whatever.	true	543.86	546.88	21.856771
7495_252342_000015_000001	Her house at Florence is uninhabited, the furniture is sold off; but no one seems even to guess whither she has betaken herself.	Her house at Florence is uninhabited, the furniture is sold off; but no one seems even to guess whither she has betaken herself.	true	547.16	554.44	25.052275
7495_252342_000015_000002	The fast and loose of that pleasant city are, as I hear, actually houseless since her departure.	The fast and loose of that pleasant city are, as I hear, actually houseless since her departure.	true	554.78	560.41	21.999859
7495_252342_000015_000003	No asylum opens there with fire and cigars.	No asylum opens there with fire and cigars.	true	560.96	564.07	19.766357
7495_252342_000015_000004	A number of the destitute have come down here in half despair, amongst the rest Scaresby,--Major Scaresby, an insupportable nuisance of flat stories and stale gossip; one of those fellows who cannot make even malevolence amusing, and who speak ill of their neighbors without a single spark of wit.	A number of the destitute have come down here in half despair, amongst the rest Scaresby,--Major Scaresby, an insupportable nuisance of flat stories and stale gossip; one of those fellows who cannot make even malevolence amusing, and who speak ill of their neighbors without a single spark of wit.	false	564.32	582.15	25.149994
7495_252342_000015_000005	He has left three cards upon me, each duly returned; but I am resolved that our inter-change of courtesies shall proceed no farther.	He has left three cards upon me, each duly returned; but I am resolved that our inter change of courtesies shall proceed no farther.	true	582.15	589.54	26.347073
7495_252342_000016_000000	I trust I have omitted nothing in reply to your last despatch, except it be to say that I look for you here about September, or earlier, if as convenient to you; you will, of course, write to me, however, meanwhile.	I trust I have omitted nothing in reply to your last despatch, except it be to say that I look for you here about September, or earlier, if as convenient to you; you will, of course, write to me, however, meanwhile.	true	590.06	602.83	26.849903
7495_252342_000017_000000	Do not mention having heard from me, at the clubs or in society.	Do not mention having heard from me, at the clubs or in society.	false	603.83	607.42	19.906195
7495_252342_000017_000001	I am, as I have the right to be, on the sick list, and it is as well my rest should remain undisturbed.	I am, as I have the right to be, on the sick list, and it is as well my rest should remain undisturbed.	true	607.73	614.68	26.049332
7495_252342_000018_000000	I wish you had any means of making it known that the article in the "Quarterly," on our Foreign relations, is not mine.	I wish you had any means of making it known that the article in the "Quarterly," on our Foreign relations, is not mine.	true	615.29	621.46	17.832785
7495_252342_000018_000001	The newspapers have coolly assumed me to be the author, and of course I am not going to give them the _eclat_ of a personal denial.	The newspapers have coolly assumed me to be the author, and of course I am not going to give them the underscore eclat underscore of a personal denial.	false	621.98	629.41	29.566708
7495_252342_000018_000002	The fellow who wrote it must be an ass; since had he known what he pretends, he had never revealed it. He who wants to bag his bird, Colonel, never bangs away at nothing.	The fellow who wrote it must be an ass; since had he known what he pretends, he had never revealed it. He who wants to bag his bird, Colonel, never bangs away at nothing.	false	629.81	640.48	25.992836
7495_252342_000018_000003	I have now completed a longer despatch to you than I intend to address to the Noble Secretary at F. O., and am yours, very faithfully,	I have now completed a longer despatch to you than I intend to address to the Noble Secretary at f o, and am yours, very faithfully,	false	640.82	648.94	27.09682
7495_252342_000019_000000	Horace Upton.	Horace Upton.	true	648.98	650.41	39.58207
7495_252342_000020_000000	Whose Magnesia is it that contains essence of Bark?	Whose Magnesia is it that contains essence of Bark?	true	651.59	655.33	24.7227
7495_252342_000020_000001	Tripley's or Chipley's, I think.	Tripley's or Chipley's, I think.	true	655.58	657.82	25.159168
7495_252342_000020_000002	Find it out for me, and send me a packet through the office; put up Fauchard's pamphlet with it, on Spain, and a small box of those new blisters,--Mouches they are called; they are to be had at Atkinson's.	Find it out for me, and send me a packet through the office; put up Fauchard's pamphlet with it, on Spain, and a small box of those new blisters,--Mouches they are called; they are to be had at Atkinson's.	false	657.89	669.79	28.228
7495_252342_000020_000003	I have got so accustomed to their stimulating power that I never write without one or two on my forehead.	I have got so accustomed to their stimulating power that I never write without one or two on my forehead.	true	670.13	675.73	23
7495_252342_000020_000004	They tell me the cautery, if dexterously applied, is better; but I have not tried it.	They tell me the cautery, if dexterously applied, is better; but I have not tried it.	false	676.01	689.61	28.058731
