8490_284269_000000_000000	CHAPTER FOUR	CHAPTER FOUR	false	0	8.61	19.053625
8490_284269_000007_000003	Some cut green saplings and thrust the thick ends in the ground to form a circle.	Some cut green saplings and thrust the thick ends in the ground to form a circle.	true	129.89	134.71	16
8490_284269_000007_000004	Next they bent the tops together and held them with buckskin thongs.	Next they bent the tops together and held them with buckskin thongs.	true	135.14	139.87	18.80437
8490_284269_000007_000005	Then they thatched the walls with deer skins or blankets.	Then they thatched the walls with deer skins or blankets.	true	140.15	143.71	19.827583
8490_284269_000008_000000	Geronimo started building such a wickiup for his mother, Alope, and his three children.	Geronimo started building such a wickiup for his mother, Alope, and his three children.	false	143.93	150.46	14
8490_284269_000008_000001	His two daughters, ten and five, and his seven-year-old son tried so enthusiastically to help him that the wickiup never would have been built if Alope hadn't taken charge.	His two daughters, ten and five, and his seven year old son tried so enthusiastically to help him that the wickiup never would have been built if Alope hadn't taken charge.	false	151.73	163.42	17
8490_284269_000009_000000	The Apaches had not stopped so far from Kas-Kai-Ya because they were afraid of the Mexicans.	The Apaches had not stopped so far from Kas Kai Ya because they were afraid of the Mexicans.	true	163.67	170.11	16
8490_284269_000009_000001	But, though Mexican women might roam at will in Apache villages, no Apache woman would think of showing herself in a Mexican town.	But, though Mexican women might roam at will in Apache villages, no Apache woman would think of showing herself in a Mexican town.	false	170.3	179.08	17
8490_284269_000009_000002	Besides, trading was a man's business.	Besides, trading was a man's business.	true	179.24	181.99	19
8490_284269_000010_000000	Leaving enough warriors to protect a peaceful camp, the eighty men who were going in town to trade set out, led by Mangus Coloradus himself. They took only thirty horses, twelve of which were laden with trade goods.	Leaving enough warriors to protect a peaceful camp, the eighty men who were going in town to trade set out, led by Mangus Coloradus himself. They took only thirty horses, twelve of which were laden with trade goods.	true	182.84	197.86	18
8490_284269_000010_000001	The rest of the trade goods and the pack horses and burros were saved for trading in Casas Grandes.	The rest of the trade goods and the pack horses and burros were saved for trading in Casas Grandes.	false	197.99	203.98	16
8490_284269_000011_000000	Every warrior except Geronimo had a hidden knife.	Every warrior except Geronimo had a hidden knife.	true	204.59	208.03	17
8490_284269_000011_000001	Some carried hidden pistols, and a few had carbines, or short rifles, thrust inside their breeches.	Some carried hidden pistols, and a few had carbines, or short rifles, thrust inside their breeches.	true	208.22	215.2	17
8490_284269_000011_000002	To enter the town openly armed would surely provoke a fight, and a fight would spoil the holiday.	To enter the town openly armed would surely provoke a fight, and a fight would spoil the holiday.	true	215.42	221.2	16
8490_284269_000011_000003	But even though they were supposedly at peace, no Apache ever trusted any Mexican and no Mexican ever trusted any Apache.	But even though they were supposedly at peace, no Apache ever trusted any Mexican and no Mexican ever trusted any Apache.	true	221.36	229.33	16
8490_284269_000012_000000	Geronimo carried only a buckskin pouch filled with yellow metal that, to him, hadn't the slightest value.	Geronimo carried only a buckskin pouch filled with yellow metal that, to him, hadn't the slightest value.	true	229.64	236.62	16
8490_284269_000012_000001	Made into arrow or lance heads, it blunted on almost any target.	Made into arrow or lance heads, it blunted on almost any target.	true	236.84	241.63	18
8490_284269_000012_000002	It was too heavy for hair or ear ornaments, and useless to the Apaches except as playthings for the children.	It was too heavy for hair or ear ornaments, and useless to the Apaches except as playthings for the children.	true	241.7	248.65	16
8490_284269_000012_000003	But the Mexicans, who called the metal _oro_--gold--prized it greatly.	But the Mexicans, who called the metal underscore oro underscore--gold-prized it greatly.	false	248.93	254.32	20.004496
8490_284269_000013_000000	The traders reached the sun-dried brick wall enclosing the town of Kas-Kai-Ya and found a squadron of _rurales_ drawn in formation across the gate.	The traders reached the sun dried brick wall enclosing the town of Kas Kai Ya and found a squadron of underscore rurales underscore drawn in formation across the gate.	false	255.47	265.48	19.677563
8490_284269_000013_000001	All these soldier police were mounted and armed, and their snapping black eyes were filled with hatred for Apaches.	All these soldier police were mounted and armed, and their snapping black eyes were filled with hatred for Apaches.	true	265.88	273.67	20
8490_284269_000013_000002	As Geronimo knew, there was good reason for this hate.	As Geronimo knew, there was good reason for this hate.	true	273.95	277.39	12
8490_284269_000013_000003	Apaches had raided too long, too often, and too successfully in Mexico to win any friendship from _rurales_ whose duty it was to stop them.	Apaches had raided too long, too often, and too successfully in Mexico to win any friendship from underscore rurales underscore whose duty it was to stop them.	false	277.58	287.38	15
8490_284269_000013_000004	Mangus Coloradus addressed the uniformed officer:	Mangus Coloradus addressed the uniformed officer:	true	287.48	290.79	14
8490_284269_000014_000000	"_Buenas tardes, Senor Rurale._ We would trade."	"underscore Buenas tardes, Senor Rurale.underscore We would trade."	false	290.79	296.77	16.799723
8490_284269_000015_000000	The officer made an effort to stare Mangus Coloradus down, and when he couldn't do it, flushed angrily.	The officer made an effort to stare Mangus Coloradus down, and when he couldn't do it, flushed angrily.	true	297.35	304.12	14
8490_284269_000015_000001	But he replied civilly:	But he replied civilly:	true	304.55	306.12	15
8490_284269_000016_000000	"_Buenas tardes_, good afternoon, Senor Apache.	"underscore Buenas tardes underscore, good afternoon, Senor Apache.	false	306.12	309.79	19.318483
8490_284269_000016_000001	You may enter."	You may enter."	true	309.86	310.81	22.709848
8490_284269_000017_000000	The _rurales_ drew aside, let the Apaches through the gate, and then reformed across it.	The underscore rurales underscore drew aside, let the Apaches through the gate, and then reformed across it.	false	311.39	317.53	19.577913
8490_284269_000017_000001	The Apaches braced themselves to meet the horde of peddlers that screeched and squawked down on them.	The Apaches braced themselves to meet the horde of peddlers that screeched and squawked down on them.	true	317.72	323.35	19
8490_284269_000018_000000	Geronimo was confronted by a lanky man whose only garment was a tattered _serape_, or blanket-like robe, that was draped over one shoulder and pinned at the sides with thorns.	Geronimo was confronted by a lanky man whose only garment was a tattered underscore serape underscore, or blanket like robe, that was draped over one shoulder and pinned at the sides with thorns.	false	323.66	336.28	16
8490_284269_000018_000001	His hair looked as though it hadn't been combed in years, his beard was as tangled.	His hair looked as though it hadn't been combed in years, his beard was as tangled.	true	336.56	342.21	17
8490_284269_000018_000002	His body was dirty.	His body was dirty.	true	342.21	343.78	20.859945
8490_284269_000018_000003	His eyes were both cunning and humble.	His eyes were both cunning and humble.	true	343.82	346.33	17.942724
8490_284269_000019_000000	In sharp contrast were the fierce eyes of a golden eagle that the Mexican had imprisoned in a wooden cage.	In sharp contrast were the fierce eyes of a golden eagle that the Mexican had imprisoned in a wooden cage.	true	346.52	354.19	15
8490_284269_000019_000001	In spite of broken and bedraggled feathers, the eagle still looked royal.	In spite of broken and bedraggled feathers, the eagle still looked royal.	true	354.47	359.65	17
8490_284269_000019_000002	The Mexican lifted the cage.	The Mexican lifted the cage.	true	359.81	361.96	16
8490_284269_000020_000000	"See?" he whined.	"See?" he whined.	true	362.51	364.24	18.633512
8490_284269_000020_000001	"See, Senor Apache?	"See, Senor Apache?	true	364.85	366.52	23
8490_284269_000020_000002	Grieved though I must be to part with anything so precious, this noble bird is yours for only three horses."	Grieved though I must be to part with anything so precious, this noble bird is yours for only three horses."	true	366.56	373.48	19.89655
8490_284269_000021_000000	Geronimo brushed haughtily past the man and walked on.	Geronimo brushed haughtily past the man and walked on.	true	374	377.83	17
8490_284269_000021_000001	The peddler called anxiously, "Will you give me some mescal?"	The peddler called anxiously, "Will you give me some mescal?"	true	377.84	382	20.584358
8490_284269_000022_000000	Geronimo's eyes expressed his disgust.	Geronimo's eyes expressed his disgust.	true	382.91	386.14	19
8490_284269_000022_000001	If wild things were not meant for the wilds, the god, Usan, would not have placed them there.	If wild things were not meant for the wilds, the god, u s a n, would not have placed them there.	false	386.39	392.8	18
8490_284269_000022_000002	They might be hunted for food but never should any be imprisoned.	They might be hunted for food but never should any be imprisoned.	false	393.23	397.15	19
8490_284269_000023_000000	"Some tobacco?" the eagle's captor wailed.	"Some tobacco?" the eagle's captor wailed.	true	398.03	401.32	20.101723
8490_284269_000024_000000	Geronimo turned, glared, and the Mexican scurried away.	Geronimo turned, glared, and the Mexican scurried away.	false	401.51	405.46	17
8490_284269_000024_000001	Geronimo continued his unhurried walk.	Geronimo continued his unhurried walk.	true	405.74	408.645	13
8490_284269_000024_000002	Kas-Kai-Ya was truly remarkable, largely, Geronimo thought, because so many people could live in such a small area.	Kas Kai Ya was truly remarkable, largely, Geronimo thought, because so many people could live in such a small area.	false	408.645	417.52	18
8490_284269_000024_000003	They were so crowded that Geronimo wondered how they kept from suffocating each other.	They were so crowded that Geronimo wondered how they kept from suffocating each other.	true	418.01	423.43	16
8490_284269_000025_000000	He saw a man lying with his head on a chunk of adobe, the same sun-dried brick from which the town walls and all the buildings were fashioned. Suddenly the man leaped up and began to scream.	He saw a man lying with his head on a chunk of adobe, the same sun dried brick from which the town walls and all the buildings were fashioned. Suddenly the man leaped up and began to scream.	true	424.58	437.71	17
8490_284269_000025_000001	Other Mexican men, women, even children at once started to scream or shout as loudly as they could.	Other Mexican men, women, even children at once started to scream or shout as loudly as they could.	true	437.93	444.79	14
8490_284269_000025_000002	The clamor was deafening.	The clamor was deafening.	true	444.92	446.68	18.37271
8490_284269_000026_000000	The amazed Apaches halted and gaped.	The amazed Apaches halted and gaped.	true	447.17	450.25	20.249
8490_284269_000026_000001	After a bit, assuring himself that this senseless yelling must be a sickness suffered by those who allow themselves too little room, Geronimo went on.	After a bit, assuring himself that this senseless yelling must be a sickness suffered by those who allow themselves too little room, Geronimo went on.	true	450.29	460.39	15
8490_284269_000027_000000	Presently he halted beside a Mexican who had a basket supported by a ragged rope over one shoulder.	Presently he halted beside a Mexican who had a basket supported by a ragged rope over one shoulder.	true	460.85	467.62	13
8490_284269_000027_000001	The basket was divided into compartments and filled with glass beads that were separated according to color.	The basket was divided into compartments and filled with glass beads that were separated according to color.	true	467.87	474.09	15
8490_284269_000028_000000	[Illustration: _He halted beside a Mexican_]	[Illustration: underscore He halted beside a Mexican underscore]	false	474.09	474.27	-20
8490_284269_000029_000000	The beads were so fascinating that Geronimo scarcely knew that the horrible din had quieted.	The beads were so fascinating that Geronimo scarcely knew that the horrible din had quieted.	true	474.27	481.12	16
8490_284269_000030_000000	He caught up a half dozen assorted beads and one by one put them back in the proper compartments.	He caught up a half dozen assorted beads and one by one put them back in the proper compartments.	false	481.82	488.59	18
8490_284269_000030_000001	He took out his pouch of gold.	He took out his pouch of gold.	true	488.66	490.96	20.797476
8490_284269_000030_000002	But though he yearned for the beads, and would gladly have given all his gold for them, he was too good a trader to offer everything at once.	But though he yearned for the beads, and would gladly have given all his gold for them, he was too good a trader to offer everything at once.	true	491.15	499.45	15
8490_284269_000030_000003	Geronimo dropped two small nuggets onto the palm of his hand and held them out.	Geronimo dropped two small nuggets onto the palm of his hand and held them out.	false	499.61	504.37	14
8490_284269_000031_000000	"No," the bead vendor refused.	"No," the bead vendor refused.	true	504.5	507.82	14.830698
8490_284269_000032_000000	But excitement made him breathe hard, and he could not take his eyes from the pouch.	But excitement made him breathe hard, and he could not take his eyes from the pouch.	true	507.89	512.98	15
8490_284269_000032_000001	Geronimo gave him two more nuggets.	Geronimo gave him two more nuggets.	true	513.02	515.35	17
8490_284269_000032_000002	The Mexican gasped and Geronimo thought he was once more refusing.	The Mexican gasped and Geronimo thought he was once more refusing.	true	515.48	520.18	14
8490_284269_000032_000003	Recklessly he poured half the gold into the bead vendor's palm.	Recklessly he poured half the gold into the bead vendor's palm.	true	520.55	525.22	15
8490_284269_000032_000004	The Mexican moaned, slipped the basket from his own shoulder and hung it on Geronimo's, cupped the gold with both hands, and ran.	The Mexican moaned, slipped the basket from his own shoulder and hung it on Geronimo's, cupped the gold with both hands, and ran.	true	525.35	534.07	16
8490_284269_000033_000000	Geronimo dropped the still half-filled pouch of gold into the dust and forgot it.	Geronimo dropped the still half filled pouch of gold into the dust and forgot it.	true	534.56	539.89	20
8490_284269_000033_000001	He noticed for the first time that his comrades were making their way toward the gate.	He noticed for the first time that his comrades were making their way toward the gate.	true	540.05	544.65	16
8490_284269_000033_000002	Trading had been brisk.	Trading had been brisk.	true	544.65	546.52	16.54081
8490_284269_000033_000003	The Apache trade goods were gone and each warrior had at least a double handful of knickknacks.	The Apache trade goods were gone and each warrior had at least a double handful of knickknacks.	true	546.74	553.92	18
8490_284269_000033_000004	The _rurales_ drew their horses aside and let the departing Apaches through the gate.	The underscore rurales underscore drew their horses aside and let the departing Apaches through the gate.	false	553.92	559.99	18.929735
8490_284269_000034_000000	The Indians started back to their camp.	The Indians started back to their camp.	true	560.36	563.01	18.57019
8490_284269_000034_000001	But when they were halfway there Mangus Coloradus halted suddenly.	But when they were halfway there Mangus Coloradus halted suddenly.	true	563.01	566.92	13
8490_284269_000034_000002	A split second later, every warrior was alert.	A split second later, every warrior was alert.	false	567.14	570.69	18.03824
8490_284269_000034_000003	From a brush-grown _arroyo_, or gully, came the hushed voice of Pedro Gonzalez, one of those who had stayed behind.	From a brush grown underscore arroyo underscore, or gully, came the hushed voice of Pedro Gonzalez, one of those who had stayed behind.	false	570.69	579.55	19
8490_284269_000035_000000	"This way."	"This way."	true	579.62	580.35	21.557407
8490_284269_000036_000000	[Illustration]	[Illustration]	false	580.35	581.79	-8
8490_284269_000037_000000	The eighty melted into the _arroyo_ as quietly as eighty quail might slip away from an approaching hunter.	The eighty melted into the underscore arroyo underscore as quietly as eighty quail might slip away from an approaching hunter.	false	581.79	588.52	14
8490_284269_000037_000001	They found Nadeze with Pedro.	They found Nadeze with Pedro.	false	588.74	591.22	17
8490_284269_000037_000002	The wives of five of the men who had gone into town and the wives of four who had stayed behind were there also.	The wives of five of the men who had gone into town and the wives of four who had stayed behind were there also.	true	591.35	597.97	14
8490_284269_000037_000003	And two girl children.	And two girl children.	true	598.31	600.04	21
8490_284269_000037_000004	The faces of all showed shocked, numbing grief.	The faces of all showed shocked, numbing grief.	true	600.23	604.24	18.923113
8490_284269_000037_000005	But the eyes of all, even the two children, blazed with fury.	But the eyes of all, even the two children, blazed with fury.	true	604.31	608.86	16
8490_284269_000038_000000	"Some _rurales_ came!" Pedro snarled.	"Some underscore rurales underscore came!" Pedro snarled.	false	609.65	613.03	18.661749
8490_284269_000038_000001	"I know not from where!	"I know not from where!	true	613.07	614.89	20
8490_284269_000038_000002	But they outnumbered us two to one.	But they outnumbered us two to one.	true	614.99	617.17	16
8490_284269_000038_000003	And when we warriors would have fought rather than let them enter the camp, they reminded us that this is a time of peace!	And when we warriors would have fought rather than let them enter the camp, they reminded us that this is a time of peace!	false	617.21	625.27	19
8490_284269_000038_000004	They said they wished only to trade and talk, but once among us they attacked without warning!	They said they wished only to trade and talk, but once among us they attacked without warning!	true	625.97	631.51	17
8490_284269_000038_000005	We slew many, but our horses, our arms, our trade goods, are now theirs!	We slew many, but our horses, our arms, our trade goods, are now theirs!	true	631.55	637	17
8490_284269_000038_000006	Of those men, women, and children who stayed behind, we alone live!"	Of those men, women, and children who stayed behind, we alone live!"	false	637.43	642.19	14
8490_284269_000039_000000	"Where are the _rurales_ now?" asked Mangus Coloradus.	"Where are the underscore rurales underscore now?" asked Mangus Coloradus.	false	643.07	647.62	17.221804
8490_284269_000040_000000	"In what was our camp, awaiting your return," Pedro said.	"In what was our camp, awaiting your return," Pedro said.	true	648.8	652.9	19.035778
8490_284269_000041_000000	Mangus Coloradus said, "When Apaches do not make fools of Mexicans, the Mexicans seem determined to make fools of themselves.	Mangus Coloradus said, "When Apaches do not make fools of Mexicans, the Mexicans seem determined to make fools of themselves.	true	653.33	663.4	17
8490_284269_000041_000001	The _rurales_ must have known that some escaped, and that we would be warned.	The underscore rurales underscore must have known that some escaped, and that we would be warned.	false	663.65	668.86	17
8490_284269_000041_000002	They should have ambushed us as we left the gates of Kas-Kai-Ya."	They should have ambushed us as we left the gates of Kas Kai Ya."	true	669.41	673.78	15
8490_284269_000042_000000	Sadly he thought of all who had been killed.	Sadly he thought of all who had been killed.	false	674.21	677.265	12
8490_284269_000042_000001	Then he added "I will take the wives of our brave men and these two children with me, and I will hold myself responsible for their safety.	Then he added "I will take the wives of our brave men and these two children with me, and I will hold myself responsible for their safety.	true	677.265	687.16	16
8490_284269_000042_000002	Of the rest, each seek a different path and hide his trail.	Of the rest, each seek a different path and hide his trail.	true	687.26	691.39	17
8490_284269_000042_000003	We will meet at the place we have chosen to be our rendezvous."	We will meet at the place we have chosen to be our rendezvous."	true	691.49	695.95	17
8490_284269_000043_000000	A moment later, the _arroyo_ was empty of Apaches.	A moment later, the underscore arroyo underscore was empty of Apaches.	false	696.2	700.08	12
8490_284269_000044_000000	CHAPTER FIVE	CHAPTER FIVE	false	700.08	700.17	-1
8490_284269_000045_000000	_Flight_	underscore Flight underscore	false	700.17	700.29	-20
8490_284269_000046_000000	Light from a thin slice of moon glanced from the Bavispe River, stole through thinly leaved trees, and painted a lichen-crusted boulder with moonbeams.	Light from a thin slice of moon glanced from the Bavispe River, stole through thinly leaved trees, and painted a lichen crusted boulder with moonbeams.	false	700.29	703.08	18.976776
