3876_174953_000000_000000	CHAPTER XXXVI.	CHAPTER thirty six.	false	0.57	23.08	22.270084
3876_174953_000004_000010	"I shan't be very long," said Phineas; "not above twenty minutes, I should think." He was able to assume an air of indifference, and yet at the moment he heartily wished himself back in Dublin.	"I shan't be very long," said Phineas; "not above twenty minutes, I should think." He was able to assume an air of indifference, and yet at the moment he heartily wished himself back in Dublin.	true	253.94	266.26	19.731817
3876_174953_000004_000011	It was not now that he feared the task immediately before him, but that he was overcome by the feeling of general failure which had come upon him.	It was not now that he feared the task immediately before him, but that he was overcome by the feeling of general failure which had come upon him.	true	266.75	275.5	18
3876_174953_000004_000012	Of what use was it to him or to any one else that he should be there in that assembly, with the privilege of making a speech that would influence no human being, unless his being there could be made a step to something beyond?	Of what use was it to him or to any one else that he should be there in that assembly, with the privilege of making a speech that would influence no human being, unless his being there could be made a step to something beyond?	true	276.35	290.14	17
3876_174953_000004_000013	While the usual preliminary work was being done, he looked round the House, and saw Lord Cantrip in the Peers' gallery.	While the usual preliminary work was being done, he looked round the House, and saw Lord Cantrip in the Peers' gallery.	true	290.66	297.79	18
3876_174953_000004_000014	Alas! of what avail was that?	Alas! of what avail was that?	true	297.83	300.37	21.122665
3876_174953_000004_000015	He had always been able to bind to him individuals with whom he had been brought into close contact; but more than that was wanted in this most precarious of professions, in which now, for a second time, he was attempting to earn his bread.	He had always been able to bind to him individuals with whom he had been brought into close contact; but more than that was wanted in this most precarious of professions, in which now, for a second time, he was attempting to earn his bread.	true	301.04	315.84	17
3876_174953_000005_000000	At half-past four he was on his legs in the midst of a crowded House. The chance,--perhaps the hope,--of some such encounter as that of the former day, brought members into their seats, and filled the gallery with strangers.	At half past four he was on his legs in the midst of a crowded House. The chance,--perhaps the hope,--of some such encounter as that of the former day, brought members into their seats, and filled the gallery with strangers.	false	315.84	330.64	20.936472
3876_174953_000005_000001	We may say, perhaps, that the highest duty imposed upon us as a nation is the management of India; and we may also say that in a great national assembly personal squabbling among its members is the least dignified work in which it can employ itself.	We may say, perhaps, that the highest duty imposed upon us as a nation is the management of India; and we may also say that in a great national assembly personal squabbling among its members is the least dignified work in which it can employ itself.	false	331.04	346.33	18
3876_174953_000005_000002	But the prospect of an explanation,--or otherwise of a fight,--between two leading politicians will fill the House; and any allusion to our Eastern Empire will certainly empty it.	But the prospect of an explanation,--or otherwise of a fight,--between two leading politicians will fill the House; and any allusion to our Eastern Empire will certainly empty it.	true	346.79	358.84	21
3876_174953_000005_000003	An aptitude for such encounters is almost a necessary qualification for a popular leader in Parliament, as is a capacity for speaking for three hours to the reporters, and to the reporters only,--a necessary qualification for an Under-Secretary of State for India.	An aptitude for such encounters is almost a necessary qualification for a popular leader in Parliament, as is a capacity for speaking for three hours to the reporters, and to the reporters only,--a necessary qualification for an under-secretary of State for India.	true	359.42	377.14	21
3876_174953_000006_000000	Phineas had the advantage of the temper of the moment in a House thoroughly crowded, and he enjoyed it.	Phineas had the advantage of the temper of the moment in a House thoroughly crowded, and he enjoyed it.	true	377.63	384.01	18
3876_174953_000006_000001	Let a man doubt ever so much his own capacity for some public exhibition which he has undertaken; yet he will always prefer to fail,--if fail he must,--before a large audience.	Let a man doubt ever so much his own capacity for some public exhibition which he has undertaken; yet he will always prefer to fail,--if fail he must,--before a large audience.	true	384.26	396.31	20
3876_174953_000006_000002	But on this occasion there was no failure.	But on this occasion there was no failure.	true	397.31	399.67	20
3876_174953_000006_000003	That sense of awe from the surrounding circumstances of the moment, which had once been heavy on him, and which he still well remembered, had been overcome, and had never returned to him.	That sense of awe from the surrounding circumstances of the moment, which had once been heavy on him, and which he still well remembered, had been overcome, and had never returned to him.	true	399.71	410.89	18
3876_174953_000006_000004	He felt now that he should not lack words to pour out his own individual grievances were it not that he was prevented by a sense of the indiscretion of doing so.	He felt now that he should not lack words to pour out his own individual grievances were it not that he was prevented by a sense of the indiscretion of doing so.	true	411.29	420.7	17
3876_174953_000006_000005	As it was, he did succeed in alluding to his own condition in a manner that brought upon him no reproach.	As it was, he did succeed in alluding to his own condition in a manner that brought upon him no reproach.	true	421.34	428.26	19
3876_174953_000006_000006	He began by saying that he should not have added to the difficulty of the debate,--which was one simply of length,--were it not that he had been accused in advance of voting against a measure as to which he had pledged himself at the hustings to do all that he could to further it.	He began by saying that he should not have added to the difficulty of the debate,--which was one simply of length,--were it not that he had been accused in advance of voting against a measure as to which he had pledged himself at the hustings to do all that he could to further it.	true	428.75	445.3	19
3876_174953_000006_000007	No man was more anxious than he, an Irish Roman Catholic, to abolish that which he thought to be the anomaly of a State Church, and he did not in the least doubt that he should now be doing the best in his power with that object in voting against the second reading of the present bill.	No man was more anxious than he, an Irish Roman Catholic, to abolish that which he thought to be the anomaly of a State Church, and he did not in the least doubt that he should now be doing the best in his power with that object in voting against the second reading of the present bill.	false	446.09	463.69	18
3876_174953_000006_000008	That such a measure should be carried by the gentlemen opposite, in their own teeth, at the bidding of the right honourable gentleman who led them, he thought to be impossible.	That such a measure should be carried by the gentlemen opposite, in their own teeth, at the bidding of the right honourable gentleman who led them, he thought to be impossible.	true	464.18	474.4	21
3876_174953_000006_000009	Upon this he was hooted at from the other side with many gestures of indignant denial, and was, of course, equally cheered by those around him.	Upon this he was hooted at from the other side with many gestures of indignant denial, and was, of course, equally cheered by those around him.	false	474.8	484.12	21
3876_174953_000006_000010	Such interruptions are new breath to the nostrils of all orators, and Phineas enjoyed the noise.	Such interruptions are new breath to the nostrils of all orators, and Phineas enjoyed the noise.	true	484.37	490.9	17
3876_174953_000006_000011	He repeated his assertion that it would be an evil thing for the country that the measure should be carried by men who in their hearts condemned it, and was vehemently called to order for this assertion about the hearts of gentlemen.	He repeated his assertion that it would be an evil thing for the country that the measure should be carried by men who in their hearts condemned it, and was vehemently called to order for this assertion about the hearts of gentlemen.	true	491.18	504.52	19
3876_174953_000006_000012	But a speaker who can certainly be made amenable to authority for vilipending in debate the heart of any specified opponent, may with safety attribute all manner of ill to the agglomerated hearts of a party.	But a speaker who can certainly be made amenable to authority for vilipending in debate the heart of any specified opponent, may with safety attribute all manner of ill to the agglomerated hearts of a party.	true	505.25	519.12	20
3876_174953_000006_000013	To have told any individual Conservative,--Sir Orlando Drought for instance,--that he was abandoning all the convictions of his life, because he was a creature at the command of Mr. Daubeny, would have been an insult that would have moved even the Speaker from his serenity; but you can hardly be personal to a whole bench of Conservatives,--to bench above bench of Conservatives.	To have told any individual Conservative,--Sir Orlando Drought for instance,--that he was abandoning all the convictions of his life, because he was a creature at the command of mr Daubeny, would have been an insult that would have moved even the Speaker from his serenity; but you can hardly be personal to a whole bench of Conservatives,--to bench above bench of Conservatives.	true	519.12	541.39	20
3876_174953_000006_000014	The charge had been made and repeated over and over again, till all the Orlando Droughts were ready to cut some man's throat,--whether their own, or Mr. Daubeny's, or Mr. Gresham's, they hardly knew.	The charge had been made and repeated over and over again, till all the Orlando Droughts were ready to cut some man's throat,--whether their own, or mr Daubeny's, or mr Gresham's, they hardly knew.	true	541.67	553.69	18
3876_174953_000006_000015	It might probably have been Mr. Daubeny's for choice, had any real cutting of a throat been possible.	It might probably have been mr Daubeny's for choice, had any real cutting of a throat been possible.	true	554.06	559.57	20
3876_174953_000006_000016	It was now made again by Phineas Finn,--with the ostensible object of defending himself,--and he for the moment became the target for Conservative wrath.	It was now made again by Phineas Finn,--with the ostensible object of defending himself,--and he for the moment became the target for Conservative wrath.	true	560.36	569.98	19.426943
3876_174953_000006_000017	Some one asked him in fury by what right he took upon himself to judge of the motives of gentlemen on that side of the House of whom personally he knew nothing.	Some one asked him in fury by what right he took upon himself to judge of the motives of gentlemen on that side of the House of whom personally he knew nothing.	true	570.32	580.54	18
3876_174953_000006_000018	Phineas replied that he did not at all doubt the motives of the honourable gentleman who asked the question, which he was sure were noble and patriotic.	Phineas replied that he did not at all doubt the motives of the honourable gentleman who asked the question, which he was sure were noble and patriotic.	true	580.55	589.09	19
3876_174953_000006_000019	But unfortunately the whole country was convinced that the Conservative party as a body was supporting this measure, unwillingly, and at the bidding of one man;--and, for himself, he was bound to say that he agreed with the country.	But unfortunately the whole country was convinced that the Conservative party as a body was supporting this measure, unwillingly, and at the bidding of one man;--and, for himself, he was bound to say that he agreed with the country.	true	589.22	603.01	20
3876_174953_000006_000020	And so the row was renewed and prolonged, and the gentlemen assembled, members and strangers together, passed a pleasant evening.	And so the row was renewed and prolonged, and the gentlemen assembled, members and strangers together, passed a pleasant evening.	true	603.26	611.62	18
3876_174953_000007_000000	Before he sat down, Phineas made one allusion to that former scuttling of the ship,--an accusation as to which had been made against him so injuriously by Mr. Bonteen.	Before he sat down, Phineas made one allusion to that former scuttling of the ship,--an accusation as to which had been made against him so injuriously by mr Bonteen.	true	612.65	624.22	18
3876_174953_000007_000001	He himself, he said, had been called impractical, and perhaps he might allude to a vote which he had given in that House when last he had the honour of sitting there, and on giving which he resigned the office which he had then held.	He himself, he said, had been called impractical, and perhaps he might allude to a vote which he had given in that House when last he had the honour of sitting there, and on giving which he resigned the office which he had then held.	true	624.68	638.11	19
3876_174953_000007_000002	He had the gratification of knowing that he had been so far practical as to have then foreseen the necessity of a measure which had since been passed.	He had the gratification of knowing that he had been so far practical as to have then foreseen the necessity of a measure which had since been passed.	true	638.24	646.75	19
3876_174953_000007_000003	And he did not doubt that he would hereafter be found to have been equally practical in the view that he had expressed on the hustings at Tankerville, for he was convinced that before long the anomaly of which he had spoken would cease to exist under the influence of a Government that would really believe in the work it was doing.	And he did not doubt that he would hereafter be found to have been equally practical in the view that he had expressed on the hustings at Tankerville, for he was convinced that before long the anomaly of which he had spoken would cease to exist under the influence of a Government that would really believe in the work it was doing.	true	646.94	668.02	20.707733
3876_174953_000008_000000	There was no doubt as to the success of his speech.	There was no doubt as to the success of his speech.	true	668.15	672.1	19.93209
3876_174953_000008_000001	The vehemence with which his insolence was abused by one after another of those who spoke later from the other side was ample evidence of its success. But nothing occurred then or at the conclusion of the debate to make him think that he had won his way back to Elysium.	The vehemence with which his insolence was abused by one after another of those who spoke later from the other side was ample evidence of its success. But nothing occurred then or at the conclusion of the debate to make him think that he had won his way back to Elysium.	true	672.41	689.47	19
3876_174953_000008_000002	During the whole evening he exchanged not a syllable with Mr. Gresham,--who indeed was not much given to converse with those around him in the House. Erle said a few good-natured words to him, and Mr. Monk praised him highly.	During the whole evening he exchanged not a syllable with mr Gresham,--who indeed was not much given to converse with those around him in the House. Erle said a few good-natured words to him, and mr Monk praised him highly.	true	689.81	703.45	19
3876_174953_000008_000003	But in reading the general barometer of the party as regarded himself, he did not find that the mercury went up.	But in reading the general barometer of the party as regarded himself, he did not find that the mercury went up.	true	703.7	710.32	20.935278
3876_174953_000008_000004	He was wretchedly anxious, and angry with himself for his own anxiety.	He was wretchedly anxious, and angry with himself for his own anxiety.	true	710.48	714.79	17
3876_174953_000008_000005	He scorned to say a word that should sound like an entreaty; and yet he had placed his whole heart on a thing which seemed to be slipping from him for the want of asking.	He scorned to say a word that should sound like an entreaty; and yet he had placed his whole heart on a thing which seemed to be slipping from him for the want of asking.	true	715.13	724.57	18
3876_174953_000008_000006	In a day or two it would be known whether the present Ministry would or would not go out.	In a day or two it would be known whether the present Ministry would or would not go out.	true	725.09	730.3	16
3876_174953_000008_000007	That they must be out of office before a month was over seemed to him the opinion of everybody.	That they must be out of office before a month was over seemed to him the opinion of everybody.	true	730.73	736.03	16
3876_174953_000008_000008	His fate,--and what a fate it was!--would then be absolutely in the hands of Mr. Gresham.	His fate,--and what a fate it was!--would then be absolutely in the hands of mr Gresham.	true	736.37	742.27	21.72607
3876_174953_000008_000009	Yet he could not speak a word of his hopes and fears even to Mr. Gresham.	Yet he could not speak a word of his hopes and fears even to mr Gresham.	true	742.49	746.77	19
3876_174953_000008_000010	He had given up everything in the world with the view of getting into office; and now that the opportunity had come,--an opportunity which if allowed to slip could hardly return again in time to be of service to him,--the prize was to elude his grasp!	He had given up everything in the world with the view of getting into office; and now that the opportunity had come,--an opportunity which if allowed to slip could hardly return again in time to be of service to him,--the prize was to elude his grasp!	true	746.96	762.58	22.086271
3876_174953_000009_000000	But yet he did not say a word to any one on the subject that was so near his heart, although in the course of the night he spoke to Lord Cantrip in the gallery of the House.	But yet he did not say a word to any one on the subject that was so near his heart, although in the course of the night he spoke to Lord Cantrip in the gallery of the House.	true	763.46	773.23	18
3876_174953_000009_000001	He told his friend that a correspondence had taken place between himself and Mr. Bonteen, in which he thought that he had been ill-used, and as to which he was quite anxious to ask His Lordship's advice.	He told his friend that a correspondence had taken place between himself and mr Bonteen, in which he thought that he had been ill used, and as to which he was quite anxious to ask His Lordship's advice.	true	773.6	785.98	20
3876_174953_000009_000002	"I heard that you and he had been tilting at each other," said Lord Cantrip, smiling.	"I heard that you and he had been tilting at each other," said Lord Cantrip, smiling.	true	786.77	792.1	20
3876_174953_000010_000000	"Have you seen the letters?"	"Have you seen the letters?"	true	792.5	793.99	19.388897
3876_174953_000011_000000	"No;--but I was told of them by Lord Fawn, who has seen them."	"No;--but I was told of them by Lord Fawn, who has seen them."	true	794.6	799.18	19.108856
3876_174953_000012_000000	"I knew he would show them to every newsmonger about the clubs," said Phineas angrily.	"I knew he would show them to every newsmonger about the clubs," said Phineas angrily.	true	799.22	804.76	19
3876_174953_000013_000000	"You can't quarrel with Bonteen for showing them to Fawn, if you intend to show them to me."	"You can't quarrel with Bonteen for showing them to Fawn, if you intend to show them to me."	true	805.25	810.76	20
3876_174953_000014_000000	"He may publish them at Charing Cross if he likes."	"He may publish them at Charing Cross if he likes."	true	811.28	814.09	22
3876_174953_000015_000000	"Exactly.	"Exactly.	true	814.37	815.44	26.96091
3876_174953_000015_000001	I am sure that there will have been nothing in them prejudicial to you.	I am sure that there will have been nothing in them prejudicial to you.	true	815.48	819.19	19
3876_174953_000015_000002	What I mean is that if you think it necessary, with a view to your own character, to show them to me or to another friend, you cannot complain that he should do the same."	What I mean is that if you think it necessary, with a view to your own character, to show them to me or to another friend, you cannot complain that he should do the same."	true	819.38	830.26	19.676056
3876_174953_000016_000000	An appointment was made at Lord Cantrip's house for the next morning, and Phineas could but acknowledge to himself that the man's manner to himself had been kind and constant.	An appointment was made at Lord Cantrip's house for the next morning, and Phineas could but acknowledge to himself that the man's manner to himself had been kind and constant.	true	830.33	840.61	17
3876_174953_000016_000001	Nevertheless, the whole affair was going against him.	Nevertheless, the whole affair was going against him.	true	841.01	844.09	18
3876_174953_000016_000002	Lord Cantrip had not said a word prejudicial to that wretch Bonteen; much less had he hinted at any future arrangements which would be comfortable to poor Phineas.	Lord Cantrip had not said a word prejudicial to that wretch Bonteen; much less had he hinted at any future arrangements which would be comfortable to poor Phineas.	true	844.31	853.93	18
3876_174953_000016_000003	They two, Lord Cantrip and Phineas, had at one period been on most intimate terms together;--had worked in the same office, and had thoroughly trusted each other.	They two, Lord Cantrip and Phineas, had at one period been on most intimate terms together;--had worked in the same office, and had thoroughly trusted each other.	true	854.54	864.31	20
3876_174953_000016_000004	The elder of the two,--for Lord Cantrip was about ten years senior to Phineas,--had frequently expressed the most lively interest in the prospects of the other; and Phineas had felt that in any emergency he could tell his friend all his hopes and fears.	The elder of the two,--for Lord Cantrip was about ten years senior to Phineas,--had frequently expressed the most lively interest in the prospects of the other; and Phineas had felt that in any emergency he could tell his friend all his hopes and fears.	true	864.65	880.45	21
3876_174953_000016_000005	But now he did not say a word of his position, nor did Lord Cantrip allude to it.	But now he did not say a word of his position, nor did Lord Cantrip allude to it.	true	880.73	885.91	21.050825
3876_174953_000016_000006	They were to meet on the morrow in order that Lord Cantrip might read the correspondence;--but Phineas was sure that no word would be said about the Government.	They were to meet on the morrow in order that Lord Cantrip might read the correspondence;--but Phineas was sure that no word would be said about the Government.	true	886.22	895.66	18.67692
3876_174953_000017_000000	At five o'clock in the morning the division took place, and the Government was beaten by a majority of 72.	At five o'clock in the morning the division took place, and the Government was beaten by a majority of seventy two.	true	895.79	902.71	19
3876_174953_000017_000001	This was much higher than any man had expected.	This was much higher than any man had expected.	true	903.17	906.13	20.416698
3876_174953_000017_000002	When the parties were marshalled in the opposite lobbies it was found that in the last moment the number of those Conservatives who dared to rebel against their Conservative leaders was swelled by the course which the debate had taken.	When the parties were marshalled in the opposite lobbies it was found that in the last moment the number of those Conservatives who dared to rebel against their Conservative leaders was swelled by the course which the debate had taken.	true	906.29	919.54	17
3876_174953_000017_000003	There were certain men who could not endure to be twitted with having deserted the principles of their lives, when it was clear that nothing was to be gained by the party by such desertion.	There were certain men who could not endure to be twitted with having deserted the principles of their lives, when it was clear that nothing was to be gained by the party by such desertion.	false	920.93	933.81	20.225569
3876_174953_000018_000000	CHAPTER XXXVII.	CHAPTER thirty seven.	false	933.81	934.95	25
3876_174953_000019_000000	THE CONSPIRACY.	THE CONSPIRACY.	false	934.95	934.98	-20
3876_174953_000020_000000	On the morning following the great division Phineas was with his friend, Lord Cantrip, by eleven o'clock; and Lord Cantrip, when he had read the two letters in which were comprised the whole correspondence, made to our unhappy hero the following little speech. "I do not think that you can do anything.	On the morning following the great division Phineas was with his friend, Lord Cantrip, by eleven o'clock; and Lord Cantrip, when he had read the two letters in which were comprised the whole correspondence, made to our unhappy hero the following little speech. "I do not think that you can do anything.	false	934.98	935.67	15
3876_174953_000020_000001	Indeed, I am sure that Mr. Monk is quite right.	Indeed, I am sure that mr Monk is quite right.	false	935.67	935.82	-20
3876_174953_000020_000002	I don't quite see what it is that you wish to do.	I don't quite see what it is that you wish to do.	false	935.82	935.97	-20
3876_174953_000020_000003	Privately,--between our two selves,--I do not hesitate to say that Mr. Bonteen has intended to be ill-natured.	Privately,--between our two selves,--I do not hesitate to say that mr Bonteen has intended to be ill natured.	false	935.97	936.24	-20
3876_174953_000020_000004	I fancy that he is an ill-natured--or at any rate a jealous--man; and that he would be willing to run down a competitor in the race who had made his running after a fashion different from his own.	I fancy that he is an ill natured-or at any rate a jealous-man; and that he would be willing to run down a competitor in the race who had made his running after a fashion different from his own.	false	936.24	936.78	-20
3876_174953_000020_000005	Bonteen has been a useful man,--a very useful man; and the more so perhaps because he has not entertained any high political theory of his own.	Bonteen has been a useful man,--a very useful man; and the more so perhaps because he has not entertained any high political theory of his own.	false	936.78	937.17	-20
3876_174953_000020_000006	You have chosen to do so,--and undoubtedly when you and Monk left us, to our very great regret, you did scuttle the ship."	You have chosen to do so,--and undoubtedly when you and Monk left us, to our very great regret, you did scuttle the ship."	false	937.17	937.47	-20
