724_123283_000000_000000	I dressed in haste.	I dressed in haste.	false	4.35	7.56	22.419275
724_123283_000006_000003	A light foam flew over the waves before the breath of a moderate breeze, and some of the spray fell upon my face. On this slightly inclining shore, about a hundred fathoms from the limit of the waves, came down the foot of a huge wall of vast cliffs, which rose majestically to an enormous height.	A light foam flew over the waves before the breath of a moderate breeze, and some of the spray fell upon my face. On this slightly inclining shore, about a hundred fathoms from the limit of the waves, came down the foot of a huge wall of vast cliffs, which rose majestically to an enormous height.	true	115.7	136.24	20.05913
724_123283_000006_000004	Some of these, dividing the beach with their sharp spurs, formed capes and promontories, worn away by the ceaseless action of the surf.	Some of these, dividing the beach with their sharp spurs, formed capes and promontories, worn away by the ceaseless action of the surf.	true	136.97	146.32	18.071909
724_123283_000006_000005	Farther on the eye discerned their massive outline sharply defined against the hazy distant horizon.	Farther on the eye discerned their massive outline sharply defined against the hazy distant horizon.	true	147.08	153.79	20.007908
724_123283_000007_000000	It was quite an ocean, with the irregular shores of earth, but desert and frightfully wild in appearance.	It was quite an ocean, with the irregular shores of earth, but desert and frightfully wild in appearance.	true	155.12	162.07	21.07159
724_123283_000008_000000	If my eyes were able to range afar over this great sea, it was because a peculiar light brought to view every detail of it.	If my eyes were able to range afar over this great sea, it was because a peculiar light brought to view every detail of it.	true	163.88	171.52	22.837387
724_123283_000008_000001	It was not the light of the sun, with his dazzling shafts of brightness and the splendour of his rays; nor was it the pale and uncertain shimmer of the moonbeams, the dim reflection of a nobler body of light.	It was not the light of the sun, with his dazzling shafts of brightness and the splendour of his rays; nor was it the pale and uncertain shimmer of the moonbeams, the dim reflection of a nobler body of light.	true	172.19	184.24	23.07325
724_123283_000008_000002	No; the illuminating power of this light, its trembling diffusiveness, its bright, clear whiteness, and its low temperature, showed that it must be of electric origin.	No; the illuminating power of this light, its trembling diffusiveness, its bright, clear whiteness, and its low temperature, showed that it must be of electric origin.	false	185.03	196.3	24.257479
724_123283_000008_000003	It was like an aurora borealis, a continuous cosmical phenomenon, filling a cavern of sufficient extent to contain an ocean.	It was like an aurora borealis, a continuous cosmical phenomenon, filling a cavern of sufficient extent to contain an ocean.	true	197.18	206.11	23.91046
724_123283_000009_000000	The vault that spanned the space above, the sky, if it could be called so, seemed composed of vast plains of cloud, shifting and variable vapours, which by their condensation must at certain times fall in torrents of rain.	The vault that spanned the space above, the sky, if it could be called so, seemed composed of vast plains of cloud, shifting and variable vapours, which by their condensation must at certain times fall in torrents of rain.	true	208.1	224.08	23.159748
724_123283_000009_000001	I should have thought that under so powerful a pressure of the atmosphere there could be no evaporation; and yet, under a law unknown to me, there were broad tracts of vapour suspended in the air.	I should have thought that under so powerful a pressure of the atmosphere there could be no evaporation; and yet, under a law unknown to me, there were broad tracts of vapour suspended in the air.	true	225.14	236.62	21.85286
724_123283_000009_000002	But then 'the weather was fine.' The play of the electric light produced singular effects upon the upper strata of cloud.	But then 'the weather was fine.' The play of the electric light produced singular effects upon the upper strata of cloud.	false	237.56	247.6	23.726965
724_123283_000009_000003	Deep shadows reposed upon their lower wreaths; and often, between two separated fields of cloud, there glided down a ray of unspeakable lustre.	Deep shadows reposed upon their lower wreaths; and often, between two separated fields of cloud, there glided down a ray of unspeakable lustre.	true	248.18	258.73	20.153063
724_123283_000009_000004	But it was not solar light, and there was no heat.	But it was not solar light, and there was no heat.	true	259.58	263.65	18.926405
724_123283_000009_000005	The general effect was sad, supremely melancholy.	The general effect was sad, supremely melancholy.	true	264.11	267.82	25.515064
724_123283_000009_000006	Instead of the shining firmament, spangled with its innumerable stars, shining singly or in clusters, I felt that all these subdued and shaded lights were ribbed in by vast walls of granite, which seemed to overpower me with their weight, and that all this space, great as it was, would not be enough for the march of the humblest of satellites.	Instead of the shining firmament, spangled with its innumerable stars, shining singly or in clusters, I felt that all these subdued and shaded lights were ribbed in by vast walls of granite, which seemed to overpower me with their weight, and that all this space, great as it was, would not be enough for the march of the humblest of satellites.	false	268.7	293.38	19.151468
724_123283_000010_000000	Then I remembered the theory of an English captain, who likened the earth to a vast hollow sphere, in the interior of which the air became luminous because of the vast pressure that weighed upon it; while two stars, Pluto and Proserpine, rolled within upon the circuit of their mysterious orbits.	Then I remembered the theory of an English captain, who likened the earth to a vast hollow sphere, in the interior of which the air became luminous because of the vast pressure that weighed upon it; while two stars, Pluto and Proserpine, rolled within upon the circuit of their mysterious orbits.	false	296	315.67	22.89507
724_123283_000011_000000	We were in reality shut up inside an immeasurable excavation.	We were in reality shut up inside an immeasurable excavation.	true	317.48	322.21	18.368883
724_123283_000011_000001	Its width could not be estimated, since the shore ran widening as far as eye could reach, nor could its length, for the dim horizon bounded the new.	Its width could not be estimated, since the shore ran widening as far as eye could reach, nor could its length, for the dim horizon bounded the new.	true	322.61	331.33	19.108047
724_123283_000011_000002	As for its height, it must have been several leagues.	As for its height, it must have been several leagues.	true	332.36	336.01	23.756758
724_123283_000011_000003	Where this vault rested upon its granite base no eye could tell; but there was a cloud hanging far above, the height of which we estimated at 12,000 feet, a greater height than that of any terrestrial vapour, and no doubt due to the great density of the air.	Where this vault rested upon its granite base no eye could tell; but there was a cloud hanging far above, the height of which we estimated at twelve thousand feet, a greater height than that of any terrestrial vapour, and no doubt due to the great density of the air.	true	336.8	354.16	21.845333
724_123283_000012_000000	The word cavern does not convey any idea of this immense space; words of human tongue are inadequate to describe the discoveries of him who ventures into the deep abysses of earth.	The word cavern does not convey any idea of this immense space; words of human tongue are inadequate to describe the discoveries of him who ventures into the deep abysses of earth.	true	356.09	368.74	23.599417
724_123283_000013_000000	Besides I could not tell upon what geological theory to account for the existence of such an excavation.	Besides I could not tell upon what geological theory to account for the existence of such an excavation.	true	370.07	376.63	22
724_123283_000013_000001	Had the cooling of the globe produced it?	Had the cooling of the globe produced it?	true	377.24	379.51	23.550585
724_123283_000013_000002	I knew of celebrated caverns from the descriptions of travellers, but had never heard of any of such dimensions as this.	I knew of celebrated caverns from the descriptions of travellers, but had never heard of any of such dimensions as this.	true	380.27	386.98	18.688305
724_123283_000014_000000	If the grotto of Guachara, in Colombia, visited by Humboldt, had not given up the whole of the secret of its depth to the philosopher, who investigated it to the depth of 2,500 feet, it probably did not extend much farther.	If the grotto of Guachara, in Colombia, visited by Humboldt, had not given up the whole of the secret of its depth to the philosopher, who investigated it to the depth of two thousand five hundred feet, it probably did not extend much farther.	true	389.84	404.89	22.394049
724_123283_000014_000001	The immense mammoth cave in Kentucky is of gigantic proportions, since its vaulted roof rises five hundred feet [1] above the level of an unfathomable lake and travellers have explored its ramifications to the extent of forty miles.	The immense mammoth cave in Kentucky is of gigantic proportions, since its vaulted roof rises five hundred feet [one] above the level of an unfathomable lake and travellers have explored its ramifications to the extent of forty miles.	false	405.89	419.23	21.670004
724_123283_000014_000002	But what were these cavities compared to that in which I stood with wonder and admiration, with its sky of luminous vapours, its bursts of electric light, and a vast sea filling its bed?	But what were these cavities compared to that in which I stood with wonder and admiration, with its sky of luminous vapours, its bursts of electric light, and a vast sea filling its bed?	true	420.44	432.55	21.929049
724_123283_000014_000003	My imagination fell powerless before such immensity.	My imagination fell powerless before such immensity.	true	433.64	437.26	21.177216
724_123283_000015_000000	I gazed upon these wonders in silence.	I gazed upon these wonders in silence.	true	439.91	442.24	19.527954
724_123283_000015_000001	Words failed me to express my feelings.	Words failed me to express my feelings.	true	443.39	446.14	24.783085
724_123283_000015_000002	I felt as if I was in some distant planet Uranus or Neptune--and in the presence of phenomena of which my terrestrial experience gave me no cognisance.	I felt as if I was in some distant planet Uranus or Neptune-and in the presence of phenomena of which my terrestrial experience gave me no cognisance.	true	446.57	456.64	23.230558
724_123283_000015_000003	For such novel sensations, new words were wanted; and my imagination failed to supply them.	For such novel sensations, new words were wanted; and my imagination failed to supply them.	true	457.82	464.5	18.014296
724_123283_000015_000004	I gazed, I thought, I admired, with a stupefaction mingled with a certain amount of fear.	I gazed, I thought, I admired, with a stupefaction mingled with a certain amount of fear.	true	465.14	473.44	19.735355
724_123283_000016_000000	The unforeseen nature of this spectacle brought back the colour to my cheeks.	The unforeseen nature of this spectacle brought back the colour to my cheeks.	false	475.34	479.29	23
724_123283_000016_000001	I was under a new course of treatment with the aid of astonishment, and my convalescence was promoted by this novel system of therapeutics; besides, the dense and breezy air invigorated me, supplying more oxygen to my lungs.	I was under a new course of treatment with the aid of astonishment, and my convalescence was promoted by this novel system of therapeutics; besides, the dense and breezy air invigorated me, supplying more oxygen to my lungs.	true	479.6	494.05	19.758585
724_123283_000017_000000	It will be easily conceived that after an imprisonment of forty seven days in a narrow gallery it was the height of physical enjoyment to breathe a moist air impregnated with saline particles.	It will be easily conceived that after an imprisonment of forty seven days in a narrow gallery it was the height of physical enjoyment to breathe a moist air impregnated with saline particles.	true	496.7	507.93	20
724_123283_000018_000000	[1] One hundred and twenty.	[one] One hundred and twenty.	false	507.93	509.13	-3
724_123283_000018_000001	(Trans.)	(Trans.)	false	509.13	509.37	-20
724_123283_000019_000000	I was delighted to leave my dark grotto.	I was delighted to leave my dark grotto.	true	509.37	511.9	15
724_123283_000019_000001	My uncle, already familiar with these wonders, had ceased to feel surprise.	My uncle, already familiar with these wonders, had ceased to feel surprise.	true	512.66	516.85	24.073542
724_123283_000020_000000	"You feel strong enough to walk a little way now?" he asked.	"You feel strong enough to walk a little way now?" he asked.	false	518.09	522.48	22.184717
724_123283_000021_000000	"Yes, certainly; and nothing could be more delightful."	"Yes, certainly; and nothing could be more delightful."	false	522.48	526.12	20.338907
724_123283_000022_000000	"Well, take my arm, Axel, and let us follow the windings of the shore."	"Well, take my arm, Axel, and let us follow the windings of the shore."	true	526.76	530.89	22.044268
724_123283_000023_000000	I eagerly accepted, and we began to coast along this new sea.	I eagerly accepted, and we began to coast along this new sea.	true	531.86	535.69	25
724_123283_000023_000001	On the left huge pyramids of rock, piled one upon another, produced a prodigious titanic effect.	On the left huge pyramids of rock, piled one upon another, produced a prodigious titanic effect.	true	536.87	543.4	25.998718
724_123283_000023_000002	Down their sides flowed numberless waterfalls, which went on their way in brawling but pellucid streams. A few light vapours, leaping from rock to rock, denoted the place of hot springs; and streams flowed softly down to the common basin, gliding down the gentle slopes with a softer murmur.	Down their sides flowed numberless waterfalls, which went on their way in brawling but pellucid streams. A few light vapours, leaping from rock to rock, denoted the place of hot springs; and streams flowed softly down to the common basin, gliding down the gentle slopes with a softer murmur.	true	544.01	562.75	19.833899
724_123283_000024_000000	Amongst these streams I recognised our faithful travelling companion, the Hansbach, coming to lose its little volume quietly in the mighty sea, just as if it had done nothing else since the beginning of the world.	Amongst these streams I recognised our faithful travelling companion, the Hansbach, coming to lose its little volume quietly in the mighty sea, just as if it had done nothing else since the beginning of the world.	true	564.05	576.82	21.676662
724_123283_000025_000000	"We shall see it no more," I said, with a sigh.	"We shall see it no more," I said, with a sigh.	true	578.93	582.01	21.334335
724_123283_000026_000000	"What matters," replied the philosopher, "whether this or another serves to guide us?"	"What matters," replied the philosopher, "whether this or another serves to guide us?"	true	583.19	587.83	19.571165
724_123283_000027_000000	I thought him rather ungrateful.	I thought him rather ungrateful.	true	588.71	590.92	17.970125
724_123283_000028_000000	But at that moment my attention was drawn to an unexpected sight.	But at that moment my attention was drawn to an unexpected sight.	true	591.83	595.3	26.657503
724_123283_000028_000001	At a distance of five hundred paces, at the turn of a high promontory, appeared a high, tufted, dense forest.	At a distance of five hundred paces, at the turn of a high promontory, appeared a high, tufted, dense forest.	true	596.06	603.25	23.408104
724_123283_000028_000002	It was composed of trees of moderate height, formed like umbrellas, with exact geometrical outlines.	It was composed of trees of moderate height, formed like umbrellas, with exact geometrical outlines.	true	603.92	609.76	22.211248
724_123283_000028_000003	The currents of wind seemed to have had no effect upon their shape, and in the midst of the windy blasts they stood unmoved and firm, just like a clump of petrified cedars.	The currents of wind seemed to have had no effect upon their shape, and in the midst of the windy blasts they stood unmoved and firm, just like a clump of petrified cedars.	true	610.13	620.8	22.503065
724_123283_000029_000000	I hastened forward.	I hastened forward.	true	622.19	623.56	18.70497
724_123283_000029_000001	I could not give any name to these singular creations.	I could not give any name to these singular creations.	true	623.93	626.77	21.373966
724_123283_000029_000002	Were they some of the two hundred thousand species of vegetables known hitherto, and did they claim a place of their own in the lacustrine flora?	Were they some of the two hundred thousand species of vegetables known hitherto, and did they claim a place of their own in the lacustrine flora?	true	627.44	635.17	23.70376
724_123283_000029_000003	No; when we arrived under their shade my surprise turned into admiration.	No; when we arrived under their shade my surprise turned into admiration.	true	636.2	642.31	20.303226
724_123283_000029_000004	There stood before me productions of earth, but of gigantic stature, which my uncle immediately named.	There stood before me productions of earth, but of gigantic stature, which my uncle immediately named.	true	643.7	650.98	24.024178
724_123283_000030_000000	"It is only a forest of mushrooms," said he.	"It is only a forest of mushrooms," said he.	true	652.43	655.48	25.105541
724_123283_000031_000000	And he was right.	And he was right.	true	656.45	657.55	25.16721
724_123283_000031_000001	Imagine the large development attained by these plants, which prefer a warm, moist climate.	Imagine the large development attained by these plants, which prefer a warm, moist climate.	true	658.07	663.31	18.34974
724_123283_000031_000002	I knew that the _Lycopodon giganteum_ attains, according to Bulliard, a circumference of eight or nine feet; but here were pale mushrooms, thirty to forty feet high, and crowned with a cap of equal diameter.	I knew that the underscore Lycopodon giganteum underscore attains, according to Bulliard, a circumference of eight or nine feet; but here were pale mushrooms, thirty to forty feet high, and crowned with a cap of equal diameter.	false	663.98	677.17	22.823885
724_123283_000031_000003	There they stood in thousands.	There they stood in thousands.	true	677.69	680.29	22.840443
724_123283_000031_000004	No light could penetrate between their huge cones, and complete darkness reigned beneath those giants; they formed settlements of domes placed in close array like the round, thatched roofs of a central African city.	No light could penetrate between their huge cones, and complete darkness reigned beneath those giants; they formed settlements of domes placed in close array like the round, thatched roofs of a central African city.	true	680.81	693.31	22.929565
724_123283_000032_000000	Yet I wanted to penetrate farther underneath, though a chill fell upon me as soon as I came under those cellular vaults.	Yet I wanted to penetrate farther underneath, though a chill fell upon me as soon as I came under those cellular vaults.	true	694.91	701.89	23
724_123283_000032_000001	For half an hour we wandered from side to side in the damp shades, and it was a comfortable and pleasant change to arrive once more upon the sea shore.	For half an hour we wandered from side to side in the damp shades, and it was a comfortable and pleasant change to arrive once more upon the sea shore.	true	702.59	711.07	19.43604
724_123283_000033_000000	But the subterranean vegetation was not confined to these fungi. Farther on rose groups of tall trees of colourless foliage and easy to recognise.	But the subterranean vegetation was not confined to these fungi. Farther on rose groups of tall trees of colourless foliage and easy to recognise.	true	712.46	721.81	22.463396
724_123283_000033_000001	They were lowly shrubs of earth, here attaining gigantic size; lycopodiums, a hundred feet high; the huge sigillaria, found in our coal mines; tree ferns, as tall as our fir-trees in northern latitudes; lepidodendra, with cylindrical forked stems, terminated by long leaves, and bristling with rough hairs like those of the cactus.	They were lowly shrubs of earth, here attaining gigantic size; lycopodiums, a hundred feet high; the huge sigillaria, found in our coal mines; tree ferns, as tall as our fir trees in northern latitudes; lepidodendra, with cylindrical forked stems, terminated by long leaves, and bristling with rough hairs like those of the cactus.	true	722.87	744.49	21.977205
724_123283_000034_000000	"Wonderful, magnificent, splendid!" cried my uncle.	"Wonderful, magnificent, splendid!" cried my uncle.	true	745.4	749.89	22.834938
724_123283_000034_000001	"Here is the entire flora of the second period of the world--the transition period.	"Here is the entire flora of the second period of the world-the transition period.	true	750.41	755.95	21.236256
724_123283_000034_000002	These, humble garden plants with us, were tall trees in the early ages.	These, humble garden plants with us, were tall trees in the early ages.	true	756.26	761.56	21.775002
724_123283_000034_000003	Look, Axel, and admire it all.	Look, Axel, and admire it all.	false	761.78	763.9	19.400621
724_123283_000034_000004	Never had botanist such a feast as this!"	Never had botanist such a feast as this!"	true	764	766.59	22.700285
724_123283_000035_000000	"You are right, my uncle.	"You are right, my uncle.	false	766.59	768.96	21.083118
724_123283_000035_000001	Providence seems to have preserved in this immense conservatory the antediluvian plants which the wisdom of philosophers has so sagaciously put together again."	Providence seems to have preserved in this immense conservatory the antediluvian plants which the wisdom of philosophers has so sagaciously put together again."	true	768.96	778.45	21.301306
724_123283_000036_000000	"It is a conservatory, Axel; but is it not also a menagerie?"	"It is a conservatory, Axel; but is it not also a menagerie?"	true	779.09	785.26	25.659536
724_123283_000037_000000	"Surely not a menagerie!"	"Surely not a menagerie!"	true	785.84	787.57	19.043032
724_123283_000038_000000	"Yes; no doubt of it.	"Yes; no doubt of it.	true	788.39	790.3	22.490791
724_123283_000038_000001	Look at that dust under your feet; see the bones scattered on the ground."	Look at that dust under your feet; see the bones scattered on the ground."	true	790.85	795.43	22.184294
724_123283_000039_000000	"So there are!" I cried; "bones of extinct animals."	"So there are!" I cried; "bones of extinct animals."	true	796.61	801.34	19.258774
724_123283_000040_000000	I had rushed upon these remains, formed of indestructible phosphates of lime, and without hesitation I named these monstrous bones, which lay scattered about like decayed trunks of trees.	I had rushed upon these remains, formed of indestructible phosphates of lime, and without hesitation I named these monstrous bones, which lay scattered about like decayed trunks of trees.	true	802.25	813.55	22.888607
724_123283_000041_000000	"Here is the lower jaw of a mastodon," [1] I said.	"Here is the lower jaw of a mastodon," [one] I said.	false	814.76	817.78	16.152824
724_123283_000041_000001	"These are the molar teeth of the deinotherium; this femur must have belonged to the greatest of those beasts, the megatherium.	"These are the molar teeth of the deinotherium; this femur must have belonged to the greatest of those beasts, the megatherium.	true	818.3	825.37	20.978275
724_123283_000041_000002	It certainly is a menagerie, for these remains were not brought here by a deluge.	It certainly is a menagerie, for these remains were not brought here by a deluge.	true	826.19	830.77	20.279945
724_123283_000041_000003	The animals to which they belonged roamed on the shores of this subterranean sea, under the shade of those arborescent trees.	The animals to which they belonged roamed on the shores of this subterranean sea, under the shade of those arborescent trees.	true	831.11	838.45	19
724_123283_000041_000004	Here are entire skeletons.	Here are entire skeletons.	true	839.18	841.3	22.039076
724_123283_000041_000005	And yet I cannot understand the appearance of these quadrupeds in a granite cavern."	And yet I cannot understand the appearance of these quadrupeds in a granite cavern."	true	842.9	850.47	28.130514
724_123283_000042_000000	[1] These animals belonged to a late geological period, the Pliocene, just before the glacial epoch, and therefore could have no connection with the carboniferous vegetation. (Trans.)	[one] These animals belonged to a late geological period, the Pliocene, just before the glacial epoch, and therefore could have no connection with the carboniferous vegetation. (Trans.)	false	850.47	851.895	-20
724_123283_000043_000000	"Why?"	"Why?"	true	851.895	852.79	21.419603
724_123283_000044_000000	"Because animal life existed upon the earth only in the secondary period, when a sediment of soil had been deposited by the rivers, and taken the place of the incandescent rocks of the primitive period."	"Because animal life existed upon the earth only in the secondary period, when a sediment of soil had been deposited by the rivers, and taken the place of the incandescent rocks of the primitive period."	true	853.73	865.96	23.922712
724_123283_000045_000000	"Well, Axel, there is a very simple answer to your objection that this soil is alluvial."	"Well, Axel, there is a very simple answer to your objection that this soil is alluvial."	true	867.26	872.71	17
724_123283_000046_000000	"What! at such a depth below the surface of the earth?"	"What! at such a depth below the surface of the earth?"	false	873.53	877.15	25.032887
724_123283_000047_000000	"No doubt; and there is a geological explanation of the fact.	"No doubt; and there is a geological explanation of the fact.	true	877.82	881.55	20.264206
724_123283_000047_000001	At a certain period the earth consisted only of an elastic crust or bark, alternately acted on by forces from above or below, according to the laws of attraction and gravitation.	At a certain period the earth consisted only of an elastic crust or bark, alternately acted on by forces from above or below, according to the laws of attraction and gravitation.	false	881.55	894.55	20.52632
724_123283_000047_000002	Probably there were subsidences of the outer crust, when a portion of the sedimentary deposits was carried down sudden openings."	Probably there were subsidences of the outer crust, when a portion of the sedimentary deposits was carried down sudden openings."	true	895.31	903.67	20.514933
724_123283_000048_000000	"That may be," I replied; "but if there have been creatures now extinct in these underground regions, why may not some of those monsters be now roaming through these gloomy forests, or hidden behind the steep crags?"	"That may be," I replied; "but if there have been creatures now extinct in these underground regions, why may not some of those monsters be now roaming through these gloomy forests, or hidden behind the steep crags?"	true	904.64	918.4	22.368633
724_123283_000049_000000	And as this unpleasant notion got hold of me, I surveyed with anxious scrutiny the open spaces before me; but no living creature appeared upon the barren strand.	And as this unpleasant notion got hold of me, I surveyed with anxious scrutiny the open spaces before me; but no living creature appeared upon the barren strand.	true	919.94	930.85	20.976753
724_123283_000050_000000	I felt rather tired, and went to sit down at the end of a promontory, at the foot of which the waves came and beat themselves into spray. Thence my eye could sweep every part of the bay; within its extremity a little harbour was formed between the pyramidal cliffs, where the still waters slept untouched by the boisterous winds.	I felt rather tired, and went to sit down at the end of a promontory, at the foot of which the waves came and beat themselves into spray. Thence my eye could sweep every part of the bay; within its extremity a little harbour was formed between the pyramidal cliffs, where the still waters slept untouched by the boisterous winds.	true	933.29	954.97	21.79338
724_123283_000050_000001	A brig and two or three schooners might have moored within it in safety.	A brig and two or three schooners might have moored within it in safety.	false	955.88	960.22	20.924568
724_123283_000050_000002	I almost fancied I should presently see some ship issue from it, full sail, and take to the open sea under the southern breeze.	I almost fancied I should presently see some ship issue from it, full sail, and take to the open sea under the southern breeze.	true	960.8	968.86	22.27396
724_123283_000051_000000	But this illusion lasted a very short time.	But this illusion lasted a very short time.	true	970.4	973.57	20.377775
724_123283_000051_000001	We were the only living creatures in this subterranean world.	We were the only living creatures in this subterranean world.	true	974.06	977.41	20.102615
724_123283_000051_000002	When the wind lulled, a deeper silence than that of the deserts fell upon the arid, naked rocks, and weighed upon the surface of the ocean.	When the wind lulled, a deeper silence than that of the deserts fell upon the arid, naked rocks, and weighed upon the surface of the ocean.	true	978.05	986.41	22.466942
724_123283_000051_000003	I then desired to pierce the distant haze, and to rend asunder the mysterious curtain that hung across the horizon.	I then desired to pierce the distant haze, and to rend asunder the mysterious curtain that hung across the horizon.	true	987.32	993.76	19.813854
724_123283_000051_000004	Anxious queries arose to my lips.	Anxious queries arose to my lips.	true	994.58	996.88	20.474401
724_123283_000051_000005	Where did that sea terminate?	Where did that sea terminate?	true	998	1000.06	24.135267
724_123283_000051_000006	Where did it lead to?	Where did it lead to?	true	1000.85	1002.31	22.408335
724_123283_000051_000007	Should we ever know anything about its opposite shores?	Should we ever know anything about its opposite shores?	true	1003.28	1006.63	19
724_123283_000052_000000	My uncle made no doubt about it at all; I both desired and feared.	My uncle made no doubt about it at all; I both desired and feared.	true	1008.86	1015.63	21.055262
724_123283_000053_000000	After spending an hour in the contemplation of this marvellous spectacle, we returned to the shore to regain the grotto, and I fell asleep in the midst of the strangest thoughts.	After spending an hour in the contemplation of this marvellous spectacle, we returned to the shore to regain the grotto, and I fell asleep in the midst of the strangest thoughts.	false	1017.44	1037.46	21.694082
