724_123283_000001_000000	CHAPTER XXX.	CHAPTER thirty.
724_123283_000008_000003	It was like an aurora borealis, a continuous cosmical phenomenon, filling a cavern of sufficient extent to contain an ocean.	It was like an aurora borealis, a continuous cosmical phenomenon, filling a cavern of sufficient extent to contain an ocean.
724_123283_000009_000000	The vault that spanned the space above, the sky, if it could be called so, seemed composed of vast plains of cloud, shifting and variable vapours, which by their condensation must at certain times fall in torrents of rain.	The vault that spanned the space above, the sky, if it could be called so, seemed composed of vast plains of cloud, shifting and variable vapours, which by their condensation must at certain times fall in torrents of rain.
724_123283_000009_000001	I should have thought that under so powerful a pressure of the atmosphere there could be no evaporation; and yet, under a law unknown to me, there were broad tracts of vapour suspended in the air.	I should have thought that under so powerful a pressure of the atmosphere there could be no evaporation; and yet, under a law unknown to me, there were broad tracts of vapour suspended in the air.
724_123283_000009_000003	Deep shadows reposed upon their lower wreaths; and often, between two separated fields of cloud, there glided down a ray of unspeakable lustre.	Deep shadows reposed upon their lower wreaths; and often, between two separated fields of cloud, there glided down a ray of unspeakable lustre.
724_123283_000009_000005	The general effect was sad, supremely melancholy.	The general effect was sad, supremely melancholy.
724_123283_000011_000002	As for its height, it must have been several leagues.	As for its height, it must have been several leagues.
724_123283_000011_000003	Where this vault rested upon its granite base no eye could tell; but there was a cloud hanging far above, the height of which we estimated at 12,000 feet, a greater height than that of any terrestrial vapour, and no doubt due to the great density of the air.	Where this vault rested upon its granite base no eye could tell; but there was a cloud hanging far above, the height of which we estimated at twelve thousand feet, a greater height than that of any terrestrial vapour, and no doubt due to the great density of the air.
724_123283_000012_000000	The word cavern does not convey any idea of this immense space; words of human tongue are inadequate to describe the discoveries of him who ventures into the deep abysses of earth.	The word cavern does not convey any idea of this immense space; words of human tongue are inadequate to describe the discoveries of him who ventures into the deep abysses of earth.
724_123283_000013_000000	Besides I could not tell upon what geological theory to account for the existence of such an excavation.	Besides I could not tell upon what geological theory to account for the existence of such an excavation.
724_123283_000013_000001	Had the cooling of the globe produced it?	Had the cooling of the globe produced it?
724_123283_000014_000000	If the grotto of Guachara, in Colombia, visited by Humboldt, had not given up the whole of the secret of its depth to the philosopher, who investigated it to the depth of 2,500 feet, it probably did not extend much farther.	If the grotto of Guachara, in Colombia, visited by Humboldt, had not given up the whole of the secret of its depth to the philosopher, who investigated it to the depth of two thousand five hundred feet, it probably did not extend much farther.
724_123283_000014_000002	But what were these cavities compared to that in which I stood with wonder and admiration, with its sky of luminous vapours, its bursts of electric light, and a vast sea filling its bed?	But what were these cavities compared to that in which I stood with wonder and admiration, with its sky of luminous vapours, its bursts of electric light, and a vast sea filling its bed?
724_123283_000014_000003	My imagination fell powerless before such immensity.	My imagination fell powerless before such immensity.
724_123283_000015_000001	Words failed me to express my feelings.	Words failed me to express my feelings.
724_123283_000015_000002	I felt as if I was in some distant planet Uranus or Neptune--and in the presence of phenomena of which my terrestrial experience gave me no cognisance.	I felt as if I was in some distant planet Uranus or Neptune-and in the presence of phenomena of which my terrestrial experience gave me no cognisance.
724_123283_000017_000000	It will be easily conceived that after an imprisonment of forty seven days in a narrow gallery it was the height of physical enjoyment to breathe a moist air impregnated with saline particles.	It will be easily conceived that after an imprisonment of forty seven days in a narrow gallery it was the height of physical enjoyment to breathe a moist air impregnated with saline particles.
724_123283_000019_000001	My uncle, already familiar with these wonders, had ceased to feel surprise.	My uncle, already familiar with these wonders, had ceased to feel surprise.
724_123283_000022_000000	"Well, take my arm, Axel, and let us follow the windings of the shore."	"Well, take my arm, Axel, and let us follow the windings of the shore."
724_123283_000023_000000	I eagerly accepted, and we began to coast along this new sea.	I eagerly accepted, and we began to coast along this new sea.
724_123283_000023_000001	On the left huge pyramids of rock, piled one upon another, produced a prodigious titanic effect.	On the left huge pyramids of rock, piled one upon another, produced a prodigious titanic effect.
724_123283_000024_000000	Amongst these streams I recognised our faithful travelling companion, the Hansbach, coming to lose its little volume quietly in the mighty sea, just as if it had done nothing else since the beginning of the world.	Amongst these streams I recognised our faithful travelling companion, the Hansbach, coming to lose its little volume quietly in the mighty sea, just as if it had done nothing else since the beginning of the world.
724_123283_000025_000000	"We shall see it no more," I said, with a sigh.	"We shall see it no more," I said, with a sigh.
724_123283_000028_000000	But at that moment my attention was drawn to an unexpected sight.	But at that moment my attention was drawn to an unexpected sight.
724_123283_000028_000001	At a distance of five hundred paces, at the turn of a high promontory, appeared a high, tufted, dense forest.	At a distance of five hundred paces, at the turn of a high promontory, appeared a high, tufted, dense forest.
724_123283_000028_000002	It was composed of trees of moderate height, formed like umbrellas, with exact geometrical outlines.	It was composed of trees of moderate height, formed like umbrellas, with exact geometrical outlines.
724_123283_000028_000003	The currents of wind seemed to have had no effect upon their shape, and in the midst of the windy blasts they stood unmoved and firm, just like a clump of petrified cedars.	The currents of wind seemed to have had no effect upon their shape, and in the midst of the windy blasts they stood unmoved and firm, just like a clump of petrified cedars.
724_123283_000029_000001	I could not give any name to these singular creations.	I could not give any name to these singular creations.
724_123283_000029_000002	Were they some of the two hundred thousand species of vegetables known hitherto, and did they claim a place of their own in the lacustrine flora?	Were they some of the two hundred thousand species of vegetables known hitherto, and did they claim a place of their own in the lacustrine flora?
724_123283_000029_000003	No; when we arrived under their shade my surprise turned into admiration.	No; when we arrived under their shade my surprise turned into admiration.
724_123283_000029_000004	There stood before me productions of earth, but of gigantic stature, which my uncle immediately named.	There stood before me productions of earth, but of gigantic stature, which my uncle immediately named.
724_123283_000030_000000	"It is only a forest of mushrooms," said he.	"It is only a forest of mushrooms," said he.
724_123283_000031_000000	And he was right.	And he was right.
724_123283_000031_000003	There they stood in thousands.	There they stood in thousands.
724_123283_000031_000004	No light could penetrate between their huge cones, and complete darkness reigned beneath those giants; they formed settlements of domes placed in close array like the round, thatched roofs of a central African city.	No light could penetrate between their huge cones, and complete darkness reigned beneath those giants; they formed settlements of domes placed in close array like the round, thatched roofs of a central African city.
724_123283_000032_000000	Yet I wanted to penetrate farther underneath, though a chill fell upon me as soon as I came under those cellular vaults.	Yet I wanted to penetrate farther underneath, though a chill fell upon me as soon as I came under those cellular vaults.
724_123283_000033_000000	But the subterranean vegetation was not confined to these fungi. Farther on rose groups of tall trees of colourless foliage and easy to recognise.	But the subterranean vegetation was not confined to these fungi. Farther on rose groups of tall trees of colourless foliage and easy to recognise.
724_123283_000033_000001	They were lowly shrubs of earth, here attaining gigantic size; lycopodiums, a hundred feet high; the huge sigillaria, found in our coal mines; tree ferns, as tall as our fir-trees in northern latitudes; lepidodendra, with cylindrical forked stems, terminated by long leaves, and bristling with rough hairs like those of the cactus.	They were lowly shrubs of earth, here attaining gigantic size; lycopodiums, a hundred feet high; the huge sigillaria, found in our coal mines; tree ferns, as tall as our fir trees in northern latitudes; lepidodendra, with cylindrical forked stems, terminated by long leaves, and bristling with rough hairs like those of the cactus.
724_123283_000034_000000	"Wonderful, magnificent, splendid!" cried my uncle.	"Wonderful, magnificent, splendid!" cried my uncle.
724_123283_000034_000001	"Here is the entire flora of the second period of the world--the transition period.	"Here is the entire flora of the second period of the world-the transition period.
724_123283_000034_000002	These, humble garden plants with us, were tall trees in the early ages.	These, humble garden plants with us, were tall trees in the early ages.
724_123283_000034_000004	Never had botanist such a feast as this!"	Never had botanist such a feast as this!"
724_123283_000035_000001	Providence seems to have preserved in this immense conservatory the antediluvian plants which the wisdom of philosophers has so sagaciously put together again."	Providence seems to have preserved in this immense conservatory the antediluvian plants which the wisdom of philosophers has so sagaciously put together again."
724_123283_000036_000000	"It is a conservatory, Axel; but is it not also a menagerie?"	"It is a conservatory, Axel; but is it not also a menagerie?"
724_123283_000038_000000	"Yes; no doubt of it.	"Yes; no doubt of it.
724_123283_000038_000001	Look at that dust under your feet; see the bones scattered on the ground."	Look at that dust under your feet; see the bones scattered on the ground."
724_123283_000040_000000	I had rushed upon these remains, formed of indestructible phosphates of lime, and without hesitation I named these monstrous bones, which lay scattered about like decayed trunks of trees.	I had rushed upon these remains, formed of indestructible phosphates of lime, and without hesitation I named these monstrous bones, which lay scattered about like decayed trunks of trees.
724_123283_000041_000001	"These are the molar teeth of the deinotherium; this femur must have belonged to the greatest of those beasts, the megatherium.	"These are the molar teeth of the deinotherium; this femur must have belonged to the greatest of those beasts, the megatherium.
724_123283_000041_000002	It certainly is a menagerie, for these remains were not brought here by a deluge.	It certainly is a menagerie, for these remains were not brought here by a deluge.
724_123283_000041_000004	Here are entire skeletons.	Here are entire skeletons.
724_123283_000041_000005	And yet I cannot understand the appearance of these quadrupeds in a granite cavern."	And yet I cannot understand the appearance of these quadrupeds in a granite cavern."
724_123283_000043_000000	"Why?"	"Why?"
724_123283_000044_000000	"Because animal life existed upon the earth only in the secondary period, when a sediment of soil had been deposited by the rivers, and taken the place of the incandescent rocks of the primitive period."	"Because animal life existed upon the earth only in the secondary period, when a sediment of soil had been deposited by the rivers, and taken the place of the incandescent rocks of the primitive period."
724_123283_000047_000000	"No doubt; and there is a geological explanation of the fact.	"No doubt; and there is a geological explanation of the fact.
724_123283_000047_000002	Probably there were subsidences of the outer crust, when a portion of the sedimentary deposits was carried down sudden openings."	Probably there were subsidences of the outer crust, when a portion of the sedimentary deposits was carried down sudden openings."
724_123283_000048_000000	"That may be," I replied; "but if there have been creatures now extinct in these underground regions, why may not some of those monsters be now roaming through these gloomy forests, or hidden behind the steep crags?"	"That may be," I replied; "but if there have been creatures now extinct in these underground regions, why may not some of those monsters be now roaming through these gloomy forests, or hidden behind the steep crags?"
724_123283_000049_000000	And as this unpleasant notion got hold of me, I surveyed with anxious scrutiny the open spaces before me; but no living creature appeared upon the barren strand.	And as this unpleasant notion got hold of me, I surveyed with anxious scrutiny the open spaces before me; but no living creature appeared upon the barren strand.
724_123283_000050_000000	I felt rather tired, and went to sit down at the end of a promontory, at the foot of which the waves came and beat themselves into spray. Thence my eye could sweep every part of the bay; within its extremity a little harbour was formed between the pyramidal cliffs, where the still waters slept untouched by the boisterous winds.	I felt rather tired, and went to sit down at the end of a promontory, at the foot of which the waves came and beat themselves into spray. Thence my eye could sweep every part of the bay; within its extremity a little harbour was formed between the pyramidal cliffs, where the still waters slept untouched by the boisterous winds.
724_123283_000050_000002	I almost fancied I should presently see some ship issue from it, full sail, and take to the open sea under the southern breeze.	I almost fancied I should presently see some ship issue from it, full sail, and take to the open sea under the southern breeze.
724_123283_000051_000000	But this illusion lasted a very short time.	But this illusion lasted a very short time.
724_123283_000051_000001	We were the only living creatures in this subterranean world.	We were the only living creatures in this subterranean world.
724_123283_000051_000002	When the wind lulled, a deeper silence than that of the deserts fell upon the arid, naked rocks, and weighed upon the surface of the ocean.	When the wind lulled, a deeper silence than that of the deserts fell upon the arid, naked rocks, and weighed upon the surface of the ocean.
724_123283_000051_000004	Anxious queries arose to my lips.	Anxious queries arose to my lips.
724_123283_000051_000005	Where did that sea terminate?	Where did that sea terminate?
724_123283_000051_000006	Where did it lead to?	Where did it lead to?
724_123283_000052_000000	My uncle made no doubt about it at all; I both desired and feared.	My uncle made no doubt about it at all; I both desired and feared.
