272_130227_000000_000000	Sunday	Sunday	false	0	0	
272_130227_000007_000002	About an hour after sunup, as I was riding through a flowery plain where thousands of animals were grazing, slumbering, or playing with each other, according to their wont, all of a sudden they broke into a tempest of frightful noises, and in one moment the plain was in a frantic commotion and every beast was destroying its neighbor.	About an hour after sunup, as I was riding through a flowery plain where thousands of animals were grazing, slumbering, or playing with each other, according to their wont, all of a sudden they broke into a tempest of frightful noises, and in one moment the plain was in a frantic commotion and every beast was destroying its neighbor.	false	15.08	34.39	23.049814
272_130227_000007_000003	I knew what it meant--Eve had eaten that fruit, and death was come into the world....	I knew what it meant-Eve had eaten that fruit, and death was come into the world....	true	34.67	40.9	23.139515
272_130227_000007_000004	The tigers ate my horse, paying no attention when I ordered them to desist, and they would even have eaten me if I had stayed--which I didn't, but went away in much haste....	The tigers ate my horse, paying no attention when I ordered them to desist, and they would even have eaten me if I had stayed-which I didn't, but went away in much haste....	false	41.12	50.56	22.254848
272_130227_000007_000005	I found this place, outside the Park, and was fairly comfortable for a few days, but she has found me out.	I found this place, outside the Park, and was fairly comfortable for a few days, but she has found me out.	true	50.99	57.52	23.708889
272_130227_000007_000006	Found me out, and has named the place Tonawanda--says it looks like that.	Found me out, and has named the place Tonawanda-says it looks like that.	true	57.74	63.13	25.68934
272_130227_000007_000007	In fact, I was not sorry she came, for there are but meagre pickings here, and she brought some of those apples.	In fact, I was not sorry she came, for there are but meagre pickings here, and she brought some of those apples.	false	63.5	69.58	22
272_130227_000007_000008	I was obliged to eat them, I was so hungry.	I was obliged to eat them, I was so hungry.	true	69.77	72.27	22.558311
272_130227_000007_000009	It was against my principles, but I find that principles have no real force except when one is well fed....	It was against my principles, but I find that principles have no real force except when one is well fed....	false	72.27	78.67	23.515085
272_130227_000007_000010	She came curtained in boughs and bunches of leaves, and when I asked her what she meant by such nonsense, and snatched them away and threw them down, she tittered and blushed.	She came curtained in boughs and bunches of leaves, and when I asked her what she meant by such nonsense, and snatched them away and threw them down, she tittered and blushed.	false	79.43	89.7	21.29352
272_130227_000007_000011	I had never seen a person titter and blush before, and to me it seemed unbecoming and idiotic.	I had never seen a person titter and blush before, and to me it seemed unbecoming and idiotic.	false	89.7	95.29	21.394089
272_130227_000007_000012	She said I would soon know how it was myself.	She said I would soon know how it was myself.	true	95.93	98.77	19.0975
272_130227_000007_000013	This was correct.	This was correct.	false	99.2	100.51	22.01827
272_130227_000007_000014	Hungry as I was, I laid down the apple half eaten--certainly the best one I ever saw, considering the lateness of the season--and arrayed myself in the discarded boughs and branches, and then spoke to her with some severity and ordered her to go and get some more and not make such a spectacle of herself.	Hungry as I was, I laid down the apple half eaten-certainly the best one I ever saw, considering the lateness of the season-and arrayed myself in the discarded boughs and branches, and then spoke to her with some severity and ordered her to go and get some more and not make such a spectacle of herself.	false	101	118.51	20.998466
272_130227_000007_000015	She did it, and after this we crept down to where the wild-beast battle had been, and collected some skins, and I made her patch together a couple of suits proper for public occasions.	She did it, and after this we crept down to where the wild beast battle had been, and collected some skins, and I made her patch together a couple of suits proper for public occasions.	true	119.18	130	23.453924
272_130227_000007_000016	They are uncomfortable, it is true, but stylish, and that is the main point about clothes. ...	They are uncomfortable, it is true, but stylish, and that is the main point about clothes. ...	true	130.37	135.52	21.831526
272_130227_000007_000017	I find she is a good deal of a companion.	I find she is a good deal of a companion.	true	136.4	138.91	19.535702
272_130227_000007_000018	I see I should be lonesome and depressed without her, now that I have lost my property.	I see I should be lonesome and depressed without her, now that I have lost my property.	true	139.52	144.22	18.697102
272_130227_000007_000019	Another thing, she says it is ordered that we work for our living hereafter. She will be useful.	Another thing, she says it is ordered that we work for our living hereafter. She will be useful.	true	144.83	151	17.874266
272_130227_000007_000020	I will superintend.	I will superintend.	true	151.04	152.77	25.47392
272_130227_000008_000000	Ten Days Later	Ten Days Later	true	153.41	154.78	19.452707
272_130227_000009_000000	She accuses me of being the cause of our disaster!	She accuses me of being the cause of our disaster!	true	155.09	158.68	20.577673
272_130227_000009_000001	She says, with apparent sincerity and truth, that the Serpent assured her that the forbidden fruit was not apples, it was chestnuts.	She says, with apparent sincerity and truth, that the Serpent assured her that the forbidden fruit was not apples, it was chestnuts.	true	158.81	167.05	22.083399
272_130227_000009_000002	I said I was innocent, then, for I had not eaten any chestnuts.	I said I was innocent, then, for I had not eaten any chestnuts.	true	167.75	171.915	24.159925
272_130227_000009_000003	She said the Serpent informed her that "chestnut" was a figurative term meaning an aged and mouldy joke.	She said the Serpent informed her that "chestnut" was a figurative term meaning an aged and mouldy joke.	true	171.915	179.14	23.411673
272_130227_000009_000004	I turned pale at that, for I have made many jokes to pass the weary time, and some of them could have been of that sort, though I had honestly supposed that they were new when I made them.	I turned pale at that, for I have made many jokes to pass the weary time, and some of them could have been of that sort, though I had honestly supposed that they were new when I made them.	true	179.36	188.41	21.196583
272_130227_000009_000005	She asked me if I had made one just at the time of the catastrophe.	She asked me if I had made one just at the time of the catastrophe.	true	188.9	192.1	20.222116
272_130227_000009_000006	I was obliged to admit that I had made one to myself, though not aloud.	I was obliged to admit that I had made one to myself, though not aloud.	true	192.2	196.99	19.769804
272_130227_000009_000007	It was this.	It was this.	true	197.57	198.61	21.202038
272_130227_000009_000008	I was thinking about the Falls, and I said to myself, "How wonderful it is to see that vast body of water tumble down there!" Then in an instant a bright thought flashed into my head, and I let it fly, saying, "It would be a deal more wonderful to see it tumble up there!"--and I was just about to kill myself with laughing at it when all nature broke loose in war and death, and I had to flee for my life. "There," she said, with triumph, "that is just it; the Serpent mentioned that very jest, and called it the First Chestnut, and said it was coeval with the creation." Alas, I am indeed to blame. Would that I were not witty; oh, would that I had never had that radiant thought!	I was thinking about the Falls, and I said to myself, "How wonderful it is to see that vast body of water tumble down there!" Then in an instant a bright thought flashed into my head, and I let it fly, saying, "It would be a deal more wonderful to see it tumble up there!"--and I was just about to kill myself with laughing at it when all nature broke loose in war and death, and I had to flee for my life. "There," she said, with triumph, "that is just it; the Serpent mentioned that very jest, and called it the First Chestnut, and said it was coeval with the creation." Alas, I am indeed to blame. Would that I were not witty; oh, would that I had never had that radiant thought!	false	198.71	239.74	21.981565
272_130227_000010_000000	Next Year	Next Year	true	240.32	241.78	23.868753
272_130227_000011_000000	We have named it Cain.	We have named it Cain.	true	242.33	244.9	26.46678
272_130227_000011_000001	She caught it while I was up country trapping on the North Shore of the Erie; caught it in the timber a couple of miles from our dug-out--or it might have been four, she isn't certain which.	She caught it while I was up country trapping on the North Shore of the Erie; caught it in the timber a couple of miles from our dug out-or it might have been four, she isn't certain which.	false	245.6	254.83	21.567482
272_130227_000011_000002	It resembles us in some ways, and may be a relation.	It resembles us in some ways, and may be a relation.	true	255.02	258.28	19.069336
272_130227_000011_000003	That is what she thinks, but this is an error, in my judgment.	That is what she thinks, but this is an error, in my judgment.	true	258.35	261.85	21.065472
272_130227_000011_000004	The difference in size warrants the conclusion that it is a different and new kind of animal--a fish, perhaps, though when I put it in the water to see, it sank, and she plunged in and snatched it out before there was opportunity for the experiment to determine the matter.	The difference in size warrants the conclusion that it is a different and new kind of animal-a fish, perhaps, though when I put it in the water to see, it sank, and she plunged in and snatched it out before there was opportunity for the experiment to determine the matter.	false	262.01	276.19	22.552118
272_130227_000011_000005	I still think it is a fish, but she is indifferent about what it is, and will not let me have it to try.	I still think it is a fish, but she is indifferent about what it is, and will not let me have it to try.	true	276.41	281.59	21
272_130227_000011_000006	I do not understand this.	I do not understand this.	true	281.78	283.33	20.45049
272_130227_000011_000007	The coming of the creature seems to have changed her whole nature and made her unreasonable about experiments.	The coming of the creature seems to have changed her whole nature and made her unreasonable about experiments.	false	283.64	289.71	21.497871
272_130227_000011_000008	She thinks more of it than she does of any of the other animals, but is not able to explain why.	She thinks more of it than she does of any of the other animals, but is not able to explain why.	false	289.71	294.37	19.896809
272_130227_000011_000009	Her mind is disordered--everything shows it.	Her mind is disordered-everything shows it.	true	294.38	296.98	23.721855
272_130227_000011_000010	Sometimes she carries the fish in her arms half the night when it complains and wants to get to the water.	Sometimes she carries the fish in her arms half the night when it complains and wants to get to the water.	true	296.99	302.19	22.9865
272_130227_000011_000011	At such times the water comes out of the places in her face that she looks out of, and she pats the fish on the back and makes soft sounds with her mouth to soothe it, and betrays sorrow and solicitude in a hundred ways.	At such times the water comes out of the places in her face that she looks out of, and she pats the fish on the back and makes soft sounds with her mouth to soothe it, and betrays sorrow and solicitude in a hundred ways.	true	302.19	313.42	20
272_130227_000011_000012	I have never seen her do like this with any other fish, and it troubles me greatly.	I have never seen her do like this with any other fish, and it troubles me greatly.	false	313.85	317.8	20.310154
272_130227_000011_000013	She used to carry the young tigers around so, and play with them, before we lost our property; but it was only play; she never took on about them like this when their dinner disagreed with them.	She used to carry the young tigers around so, and play with them, before we lost our property; but it was only play; she never took on about them like this when their dinner disagreed with them.	true	317.9	328.59	23.82144
