637_127595_000000_000000	The intricacy of these dialects is another peculiarity.	The intricacy of these dialects is another peculiarity.	false	0	3	12.708208
637_127595_000014_000000	. . . . . . . .	dot dot dot dot dot dot dot dot	false	271.41	273.66	-20
637_127595_000015_000000	Besides the sticks and the drums, there are no other musical instruments among the Typees, except one which might appropriately be denominated a nasal flute.	Besides the sticks and the drums, there are no other musical instruments among the Typees, except one which might appropriately be denominated a nasal flute.	true	273.66	283.33	22.09941
637_127595_000015_000001	It is somewhat longer than an ordinary fife; is made of a beautiful scarlet-coloured reed; and has four or five stops, with a large hole near one end, which latter is held just beneath the left nostril.	It is somewhat longer than an ordinary fife; is made of a beautiful scarlet coloured reed; and has four or five stops, with a large hole near one end, which latter is held just beneath the left nostril.	false	283.82	296.83	22.554094
637_127595_000015_000002	The other nostril being closed by a peculiar movement of the muscles about the nose, the breath is forced into the tube, and produces a soft dulcet sound which is varied by the fingers running at random over the stops.	The other nostril being closed by a peculiar movement of the muscles about the nose, the breath is forced into the tube, and produces a soft dulcet sound which is varied by the fingers running at random over the stops.	true	297.5	310.48	21.188139
637_127595_000015_000003	This is a favourite recreation with the females and one in which Fayaway greatly excelled.	This is a favourite recreation with the females and one in which Fayaway greatly excelled.	true	311.15	316.21	23.162373
637_127595_000015_000004	Awkward as such an instrument may appear, it was, in Fayaway's delicate little hands, one of the most graceful I have ever seen.	Awkward as such an instrument may appear, it was, in Fayaway's delicate little hands, one of the most graceful I have ever seen.	true	316.79	324.4	21.743149
637_127595_000015_000005	A young lady, in the act of tormenting a guitar strung about her neck by a couple of yards of blue ribbon, is not half so engaging.	A young lady, in the act of tormenting a guitar strung about her neck by a couple of yards of blue ribbon, is not half so engaging.	true	325.04	333.03	21.625462
637_127595_000016_000000	. . . . . . . .	dot dot dot dot dot dot dot dot	false	333.03	335.58	-20
637_127595_000017_000000	Singing was not the only means I possessed of diverting the royal Mehevi and his easy-going subject.	Singing was not the only means I possessed of diverting the royal Mehevi and his easy going subject.	false	335.58	341.82	20.107481
637_127595_000017_000001	Nothing afforded them more pleasure than to see me go through the attitude of pugilistic encounter.	Nothing afforded them more pleasure than to see me go through the attitude of pugilistic encounter.	false	341.82	347.05	18
637_127595_000017_000002	As not one of the natives had soul enough in him to stand up like a man, and allow me to hammer away at him, for my own personal gratification and that of the king, I was necessitated to fight with an imaginary enemy, whom I invariably made to knock under to my superior prowess.	As not one of the natives had soul enough in him to stand up like a man, and allow me to hammer away at him, for my own personal gratification and that of the king, I was necessitated to fight with an imaginary enemy, whom I invariably made to knock under to my superior prowess.	false	347.81	363.97	21.355312
637_127595_000017_000003	Sometimes when this sorely battered shadow retreated precipitately towards a group of the savages, and, following him up, I rushed among them dealing my blows right and left, they would disperse in all directions much to the enjoyment of Mehevi, the chiefs, and themselves.	Sometimes when this sorely battered shadow retreated precipitately towards a group of the savages, and, following him up, I rushed among them dealing my blows right and left, they would disperse in all directions much to the enjoyment of Mehevi, the chiefs, and themselves.	true	364.79	381.73	21.156887
637_127595_000018_000000	The noble art of self-defence appeared to be regarded by them as the peculiar gift of the white man; and I make little doubt that they supposed armies of Europeans were drawn up provided with nothing else but bony fists and stout hearts, with which they set to in column, and pummelled one another at the word of command.	The noble art of self defence appeared to be regarded by them as the peculiar gift of the white man; and I make little doubt that they supposed armies of Europeans were drawn up provided with nothing else but bony fists and stout hearts, with which they set to in column, and pummelled one another at the word of command.	false	382.91	401.55	23.17113
637_127595_000019_000000	. . . . . . . .	dot dot dot dot dot dot dot dot	false	401.55	404.46	15.611319
637_127595_000020_000000	One day, in company with Kory-Kory, I had repaired to the stream for the purpose of bathing, when I observed a woman sitting upon a rock in the midst of the current, and watching with the liveliest interest the gambols of something, which at first I took to be an uncommonly large species of frog that was sporting in the water near her.	One day, in company with Kory Kory, I had repaired to the stream for the purpose of bathing, when I observed a woman sitting upon a rock in the midst of the current, and watching with the liveliest interest the gambols of something, which at first I took to be an uncommonly large species of frog that was sporting in the water near her.	true	404.46	423.37	22.802734
637_127595_000020_000001	Attracted by the novelty of the sight, I waded towards the spot where she sat, and could hardly credit the evidence of my senses when I beheld a little infant, the period of whose birth could not have extended back many days, paddling about as if it had just risen to the surface, after being hatched into existence at the bottom.	Attracted by the novelty of the sight, I waded towards the spot where she sat, and could hardly credit the evidence of my senses when I beheld a little infant, the period of whose birth could not have extended back many days, paddling about as if it had just risen to the surface, after being hatched into existence at the bottom.	true	423.83	443.35	22.30446
637_127595_000020_000002	Occasionally, the delighted parent reached out her hand towards it, when the little thing, uttering a faint cry, and striking out its tiny limbs, would sidle for the rock, and the next moment be clasped to its mother's bosom.	Occasionally, the delighted parent reached out her hand towards it, when the little thing, uttering a faint cry, and striking out its tiny limbs, would sidle for the rock, and the next moment be clasped to its mother's bosom.	false	444.2	457.81	22.112068
637_127595_000020_000003	This was repeated again and again, the baby remaining in the stream about a minute at a time. Once or twice it made wry faces at swallowing a mouthful of water, and choked a spluttered as if on the point of strangling.	This was repeated again and again, the baby remaining in the stream about a minute at a time. Once or twice it made wry faces at swallowing a mouthful of water, and choked a spluttered as if on the point of strangling.	false	458.63	471.73	21.738268
637_127595_000020_000004	At such times however, the mother snatched it up and by a process scarcely to be mentioned obliged it to eject the fluid.	At such times however, the mother snatched it up and by a process scarcely to be mentioned obliged it to eject the fluid.	true	472.31	480.25	23.818163
637_127595_000020_000005	For several weeks afterwards I observed this woman bringing her child down to the stream regularly every day, in the cool of the morning and evening and treating it to a bath.	For several weeks afterwards I observed this woman bringing her child down to the stream regularly every day, in the cool of the morning and evening and treating it to a bath.	true	480.98	490.99	21.598763
637_127595_000020_000006	No wonder that the South Sea Islanders are so amphibious a race, when they are thus launched into the water as soon as they see the light.	No wonder that the South Sea Islanders are so amphibious a race, when they are thus launched into the water as soon as they see the light.	true	491.84	499.24	20.179111
637_127595_000020_000007	I am convinced that it is as natural for a human being to swim as it is for a duck.	I am convinced that it is as natural for a human being to swim as it is for a duck.	true	499.88	505.51	22.935616
637_127595_000020_000008	And yet in civilized communities how many able-bodied individuals die, like so many drowning kittens, from the occurrence of the most trivial accidents!	And yet in civilized communities how many able bodied individuals die, like so many drowning kittens, from the occurrence of the most trivial accidents!	true	506	515.07	22.390923
637_127595_000021_000000	. . . . . . . .	dot dot dot dot dot dot dot dot	false	515.07	518.01	-20
637_127595_000022_000000	The long luxuriant and glossy tresses of the Typee damsels often attracted my admiration.	The long luxuriant and glossy tresses of the Typee damsels often attracted my admiration.	true	518.01	524.02	21
637_127595_000022_000001	A fine head of hair is the pride and joy of every woman's heart.	A fine head of hair is the pride and joy of every woman's heart.	true	524.57	528.79	22.06267
637_127595_000022_000002	Whether against the express will of Providence, it is twisted upon the crown of the head and there coiled away like a rope on a ship's deck; whether it be stuck behind the ears and hangs down like the swag of a small window-curtain; or whether it be permitted to flow over the shoulders in natural ringlets, it is always the pride of the owner, and the glory of the toilette.	Whether against the express will of Providence, it is twisted upon the crown of the head and there coiled away like a rope on a ship's deck; whether it be stuck behind the ears and hangs down like the swag of a small window curtain; or whether it be permitted to flow over the shoulders in natural ringlets, it is always the pride of the owner, and the glory of the toilette.	false	529.34	551.17	23.355625
637_127595_000023_000000	The Typee girls devote much of their time to the dressing of their fair and redundant locks.	The Typee girls devote much of their time to the dressing of their fair and redundant locks.	true	552.56	558.19	22.358559
637_127595_000023_000001	After bathing, as they sometimes do five or six times every day, the hair is carefully dried, and if they have been in the sea, invariably washed in fresh water, and anointed with a highly scented oil extracted from the meat of the cocoanut.	After bathing, as they sometimes do five or six times every day, the hair is carefully dried, and if they have been in the sea, invariably washed in fresh water, and anointed with a highly scented oil extracted from the meat of the cocoanut.	true	558.68	573.22	22.12383
637_127595_000023_000002	This oil is obtained in great abundance by the following very simple process:	This oil is obtained in great abundance by the following very simple process:	true	573.8	578.11	19
637_127595_000024_000000	A large vessel of wood, with holes perforated in the bottom, is filled with the pounded meat, and exposed to the rays of the sun.	A large vessel of wood, with holes perforated in the bottom, is filled with the pounded meat, and exposed to the rays of the sun	true	578.96	586.87	22.06474
637_127595_000024_000001	As the oleaginous matter exudes, it falls in drops through the apertures into a wide-mouthed calabash placed underneath.	As the oleaginous matter exudes, it falls in drops through the apertures into a wide mouthed calabash placed underneath.	true	587.63	595.81	21.749266
637_127595_000024_000002	After a sufficient quantity has thus been collected, the oil undergoes a purifying process, and is then poured into the small spherical shells of the nuts of the moo-tree, which are hollowed out to receive it.	After a sufficient quantity has thus been collected, the oil undergoes a purifying process, and is then poured into the small spherical shells of the nuts of the moo tree, which are hollowed out to receive it.	false	596.24	607.63	23.3863
637_127595_000024_000003	These nuts are then hermetically sealed with a resinous gum, and the vegetable fragrance of their green rind soon imparts to the oil a delightful odour.	These nuts are then hermetically sealed with a resinous gum, and the vegetable fragrance of their green rind soon imparts to the oil a delightful odour.	true	608.3	617.53	20.847044
637_127595_000024_000004	After the lapse of a few weeks the exterior shell of the nuts becomes quite dry and hard, and assumes a beautiful carnation tint; and when opened they are found to be about two-thirds full of an ointment of a light yellow colour and diffusing the sweetest perfume.	After the lapse of a few weeks the exterior shell of the nuts becomes quite dry and hard, and assumes a beautiful carnation tint; and when opened they are found to be about two thirds full of an ointment of a light yellow colour and diffusing the sweetest perfume.	true	618.41	635.17	24.249605
637_127595_000024_000005	This elegant little odorous globe would not be out of place even upon the toilette of a queen.	This elegant little odorous globe would not be out of place even upon the toilette of a queen.	true	635.93	641.41	24
637_127595_000024_000006	Its merits as a preparation for the hair are undeniable--it imparts to it a superb gloss and a silky fineness.	Its merits as a preparation for the hair are undeniable-it imparts to it a superb gloss and a silky fineness.	true	641.99	650.88	25.78689
