637_127595_000001_000000	CHAPTER THIRTY-ONE	CHAPTER THIRTY ONE
637_127595_000015_000005	A young lady, in the act of tormenting a guitar strung about her neck by a couple of yards of blue ribbon, is not half so engaging.	A young lady, in the act of tormenting a guitar strung about her neck by a couple of yards of blue ribbon, is not half so engaging.
637_127595_000017_000003	Sometimes when this sorely battered shadow retreated precipitately towards a group of the savages, and, following him up, I rushed among them dealing my blows right and left, they would disperse in all directions much to the enjoyment of Mehevi, the chiefs, and themselves.	Sometimes when this sorely battered shadow retreated precipitately towards a group of the savages, and, following him up, I rushed among them dealing my blows right and left, they would disperse in all directions much to the enjoyment of Mehevi, the chiefs, and themselves.
637_127595_000020_000000	One day, in company with Kory-Kory, I had repaired to the stream for the purpose of bathing, when I observed a woman sitting upon a rock in the midst of the current, and watching with the liveliest interest the gambols of something, which at first I took to be an uncommonly large species of frog that was sporting in the water near her.	One day, in company with Kory Kory, I had repaired to the stream for the purpose of bathing, when I observed a woman sitting upon a rock in the midst of the current, and watching with the liveliest interest the gambols of something, which at first I took to be an uncommonly large species of frog that was sporting in the water near her.
637_127595_000020_000001	Attracted by the novelty of the sight, I waded towards the spot where she sat, and could hardly credit the evidence of my senses when I beheld a little infant, the period of whose birth could not have extended back many days, paddling about as if it had just risen to the surface, after being hatched into existence at the bottom.	Attracted by the novelty of the sight, I waded towards the spot where she sat, and could hardly credit the evidence of my senses when I beheld a little infant, the period of whose birth could not have extended back many days, paddling about as if it had just risen to the surface, after being hatched into existence at the bottom.
637_127595_000020_000004	At such times however, the mother snatched it up and by a process scarcely to be mentioned obliged it to eject the fluid.	At such times however, the mother snatched it up and by a process scarcely to be mentioned obliged it to eject the fluid.
637_127595_000020_000005	For several weeks afterwards I observed this woman bringing her child down to the stream regularly every day, in the cool of the morning and evening and treating it to a bath.	For several weeks afterwards I observed this woman bringing her child down to the stream regularly every day, in the cool of the morning and evening and treating it to a bath.
637_127595_000020_000006	No wonder that the South Sea Islanders are so amphibious a race, when they are thus launched into the water as soon as they see the light.	No wonder that the South Sea Islanders are so amphibious a race, when they are thus launched into the water as soon as they see the light.
637_127595_000020_000007	I am convinced that it is as natural for a human being to swim as it is for a duck.	I am convinced that it is as natural for a human being to swim as it is for a duck.
637_127595_000020_000008	And yet in civilized communities how many able-bodied individuals die, like so many drowning kittens, from the occurrence of the most trivial accidents!	And yet in civilized communities how many able bodied individuals die, like so many drowning kittens, from the occurrence of the most trivial accidents!
637_127595_000022_000000	The long luxuriant and glossy tresses of the Typee damsels often attracted my admiration.	The long luxuriant and glossy tresses of the Typee damsels often attracted my admiration.
637_127595_000022_000001	A fine head of hair is the pride and joy of every woman's heart.	A fine head of hair is the pride and joy of every woman's heart.
637_127595_000023_000000	The Typee girls devote much of their time to the dressing of their fair and redundant locks.	The Typee girls devote much of their time to the dressing of their fair and redundant locks.
637_127595_000023_000001	After bathing, as they sometimes do five or six times every day, the hair is carefully dried, and if they have been in the sea, invariably washed in fresh water, and anointed with a highly scented oil extracted from the meat of the cocoanut.	After bathing, as they sometimes do five or six times every day, the hair is carefully dried, and if they have been in the sea, invariably washed in fresh water, and anointed with a highly scented oil extracted from the meat of the cocoanut.
637_127595_000024_000000	A large vessel of wood, with holes perforated in the bottom, is filled with the pounded meat, and exposed to the rays of the sun.	A large vessel of wood, with holes perforated in the bottom, is filled with the pounded meat, and exposed to the rays of the sun
637_127595_000024_000001	As the oleaginous matter exudes, it falls in drops through the apertures into a wide-mouthed calabash placed underneath.	As the oleaginous matter exudes, it falls in drops through the apertures into a wide mouthed calabash placed underneath.
637_127595_000024_000003	These nuts are then hermetically sealed with a resinous gum, and the vegetable fragrance of their green rind soon imparts to the oil a delightful odour.	These nuts are then hermetically sealed with a resinous gum, and the vegetable fragrance of their green rind soon imparts to the oil a delightful odour.
637_127595_000024_000004	After the lapse of a few weeks the exterior shell of the nuts becomes quite dry and hard, and assumes a beautiful carnation tint; and when opened they are found to be about two-thirds full of an ointment of a light yellow colour and diffusing the sweetest perfume.	After the lapse of a few weeks the exterior shell of the nuts becomes quite dry and hard, and assumes a beautiful carnation tint; and when opened they are found to be about two thirds full of an ointment of a light yellow colour and diffusing the sweetest perfume.
637_127595_000024_000005	This elegant little odorous globe would not be out of place even upon the toilette of a queen.	This elegant little odorous globe would not be out of place even upon the toilette of a queen.
637_127595_000024_000006	Its merits as a preparation for the hair are undeniable--it imparts to it a superb gloss and a silky fineness.	Its merits as a preparation for the hair are undeniable-it imparts to it a superb gloss and a silky fineness.
